S_meliloti|Q.,O_anthropi|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SM_b21489,OANT_RS00260,58.730,189,77,1,22,209,21,209,6.11e-81,237
SM_b21490,OANT_RS18370,56.774,155,67,0,12,166,16,170,3.80e-61,190
SM_b21491,OANT_RS13380,44.366,142,78,1,34,175,33,173,7.26e-34,115
SM_b21492,OANT_RS22860,53.927,191,87,1,31,220,9,199,5.95e-74,220
SM_b21493,OANT_RS18070,44.030,134,75,0,17,150,2,135,7.78e-41,131
SM_b21494,OANT_RS07590,74.777,337,85,0,11,347,8,344,0.0,543
SM_b21497,OANT_RS12650,34.706,340,214,4,28,360,28,366,1.78e-50,171
SM_b21498,OANT_RS01980,45.793,1022,553,1,2,1023,1,1021,0.0,908
SM_b21499,OANT_RS02015,50.484,723,348,6,3,718,5,724,0.0,726
SM_b21500,OANT_RS02010,60.423,331,131,0,1,331,1,331,2.21e-146,414
SM_b21501,OANT_RS10440,42.202,109,63,0,4,112,2,110,3.97e-23,84.0
SM_b21502,OANT_RS02060,57.568,370,157,0,20,389,6,375,2.15e-151,430
SM_b21503,OANT_RS02055,63.476,397,144,1,5,401,10,405,0.0,523
SM_b21504,OANT_RS02050,50.917,218,104,2,36,250,42,259,4.73e-76,229
SM_b21505,OANT_RS02035,50.729,343,169,0,27,369,1,343,4.45e-127,369
SM_b21506,OANT_RS02030,42.222,450,247,5,80,525,56,496,7.05e-108,329
SM_b21507,OANT_RS02640,39.860,143,85,1,23,165,19,160,1.24e-17,75.1
SM_b21508,OANT_RS17065,66.330,297,100,0,6,302,3,299,1.58e-119,342
SM_b21512,OANT_RS02020,36.288,361,228,1,22,382,14,372,1.29e-74,233
SM_b21513,OANT_RS02025,54.680,406,184,0,19,424,8,413,1.62e-150,431
SM_b21514,OANT_RS05345,27.885,208,141,3,53,257,73,274,5.03e-17,76.3
SM_b21515,OANT_RS02020,26.171,363,257,4,4,365,16,368,1.29e-39,142
SM_b21516,OANT_RS14000,67.429,175,57,0,58,232,63,237,3.79e-88,258
SM_b21517,OANT_RS19735,35.036,137,89,0,124,260,642,778,3.17e-19,84.3
SM_b21519,OANT_RS02320,30.622,209,136,4,273,476,235,439,2.25e-15,75.1
SM_b21520,OANT_RS02325,35.025,197,119,3,5,200,7,195,1.13e-29,107
SM_b21522,OANT_RS15400,76.404,89,19,1,1,87,1,89,8.10e-44,134
SM_b21523,OANT_RS15395,87.823,271,33,0,1,271,1,271,2.38e-176,484
SM_b21524,OANT_RS15390,64.659,249,81,3,1,249,1,242,7.16e-114,324
SM_b21525,OANT_RS18135,71.488,484,138,0,6,489,4,487,0.0,717
SM_b21526,OANT_RS18130,73.178,343,86,2,1,339,1,341,2.10e-179,497
SM_b21527,OANT_RS18125,87.037,270,35,0,1,270,1,270,2.18e-176,484
SM_b21528,OANT_RS18120,81.091,275,52,0,1,275,1,275,3.04e-156,433
SM_b21529,OANT_RS18110,75.966,466,112,0,1,466,1,466,0.0,748
SM_b21530,OANT_RS18105,86.905,588,77,0,1,588,1,588,0.0,1083
SM_b21531,OANT_RS00145,33.700,273,158,6,23,282,11,273,7.57e-18,80.5
SM_b21532,OANT_RS18100,62.918,329,117,1,1,329,1,324,7.66e-146,411
SM_b21533,OANT_RS01425,33.051,236,155,2,14,247,6,240,5.45e-33,118
SM_b21534,OANT_RS09695,29.491,746,447,28,4,696,3,722,2.11e-72,251
SM_b21535,OANT_RS00140,33.197,244,157,2,1,238,1,244,7.93e-27,103
SM_b21536,OANT_RS08765,41.924,551,317,2,8,555,8,558,2.42e-140,415
SM_b21539,OANT_RS01470,32.278,474,301,8,17,479,8,472,7.66e-65,214
SM_b21540,OANT_RS19845,35.273,275,173,3,7,277,5,278,4.35e-43,149
SM_b21541,OANT_RS21825,49.186,307,141,3,49,351,19,314,4.11e-99,296
SM_b21542,OANT_RS19840,27.481,524,344,11,144,642,188,700,3.61e-49,181
SM_b21543,OANT_RS14450,34.892,278,115,8,425,641,168,440,1.16e-15,78.2
SM_b21549,OANT_RS11105,28.444,225,144,7,81,299,65,278,6.42e-19,82.0
SM_b21555,OANT_RS21460,52.703,592,271,5,1,590,1,585,0.0,601
SM_b21556,OANT_RS02370,24.404,713,462,22,18,686,31,710,1.15e-29,122
SM_b21557,OANT_RS02365,34.532,139,81,3,166,301,326,457,6.10e-13,66.2
SM_b21558,OANT_RS02365,39.869,153,80,5,56,197,13,164,1.26e-24,97.8
SM_b21559,OANT_RS17975,35.152,165,102,1,131,295,130,289,1.52e-23,94.7
SM_b21560,OANT_RS18170,29.609,358,225,11,73,411,111,460,2.28e-25,104
SM_b21561,OANT_RS03960,41.558,231,122,4,2,225,4,228,1.53e-50,162
SM_b21565,OANT_RS20915,39.726,219,96,6,10,199,5,216,1.90e-43,144
SM_b21566,OANT_RS15665,79.584,529,107,1,1,529,1,528,0.0,810
SM_b21568,OANT_RS05655,53.333,90,42,0,1,90,6,95,5.99e-35,112
SM_b21569,OANT_RS25175,37.500,96,59,1,98,193,131,225,6.03e-14,65.1
SM_b21570,OANT_RS16885,27.915,566,368,14,6,546,14,564,3.27e-41,157
SM_b21572,OANT_RS20050,24.611,321,190,13,11,322,10,287,3.42e-09,54.3
SM_b21573,OANT_RS05360,49.638,276,136,3,55,327,213,488,1.33e-82,256
SM_b21574,OANT_RS14900,42.105,114,65,1,5,117,342,455,2.16e-24,93.6
SM_b21575,OANT_RS16545,34.417,369,219,6,9,368,10,364,7.64e-41,146
SM_b21576,OANT_RS16570,64.646,99,34,1,1,98,1,99,8.69e-39,124
SM_b21578,OANT_RS01520,66.871,815,260,3,12,823,13,820,0.0,1070
SM_b21579,OANT_RS16755,70.312,128,38,0,1,128,1,128,1.19e-64,192
SM_b21580,OANT_RS16705,53.237,139,65,0,2,140,24,162,3.94e-46,145
SM_b21581,OANT_RS02055,28.986,138,91,2,172,309,239,369,9.50e-10,56.6
SM_b21586,OANT_RS04050,35.669,314,177,9,18,329,21,311,2.20e-45,154
SM_b21587,OANT_RS07320,82.253,293,52,0,28,320,27,319,0.0,500
SM_b21588,OANT_RS07315,62.551,494,183,1,8,499,14,507,0.0,591
SM_b21589,OANT_RS07310,63.265,343,124,1,1,341,1,343,6.51e-131,375
SM_b21590,OANT_RS07305,69.937,316,95,0,4,319,5,320,2.03e-146,413
SM_b21591,OANT_RS07300,52.423,227,108,0,9,235,11,237,1.19e-72,219
SM_b21592,OANT_RS20080,50.838,358,155,5,4,353,3,347,6.47e-119,346
SM_b21593,OANT_RS01640,30.370,270,179,5,13,275,24,291,9.05e-34,121
SM_b21594,OANT_RS15240,31.449,283,175,4,23,291,38,315,3.19e-42,145
SM_b21595,OANT_RS12895,29.529,403,255,14,25,409,20,411,1.55e-29,115
SM_b21597,OANT_RS15835,25.212,353,240,11,1,343,1,339,1.28e-16,77.0
SM_b21598,OANT_RS15230,31.884,345,209,7,4,337,3,332,4.11e-44,152
SM_b21600,OANT_RS13415,62.466,373,140,0,15,387,15,387,2.11e-177,496
SM_b21602,OANT_RS12885,29.670,273,190,2,2,274,13,283,8.94e-41,139
SM_b21603,OANT_RS15240,32.550,298,173,7,5,281,23,313,8.33e-40,139
SM_b21604,OANT_RS12895,24.713,348,223,15,19,348,17,343,7.47e-15,72.8
SM_b21605,OANT_RS19875,51.515,363,169,5,1,361,1,358,1.61e-121,353
SM_b21630,OANT_RS02300,84.019,413,66,0,1,413,1,413,0.0,737
SM_b21631,OANT_RS02295,83.288,365,61,0,1,365,1,365,0.0,652
SM_b21632,OANT_RS20725,42.455,391,214,6,20,404,271,656,7.36e-78,252
SM_b21633,OANT_RS03690,29.771,262,173,2,5,263,4,257,7.45e-36,125
SM_b21634,OANT_RS08615,28.814,118,80,2,10,125,11,126,5.87e-09,49.3
SM_b21635,OANT_RS06645,26.587,504,326,19,10,503,14,483,1.07e-26,111
SM_b21636,OANT_RS08895,26.822,343,225,8,21,347,32,364,2.01e-27,108
SM_b21642,OANT_RS13380,40.230,174,93,6,1,167,1,170,4.11e-35,118
SM_b21644,OANT_RS18610,52.462,528,245,3,25,552,6,527,0.0,548
SM_b21645,OANT_RS18605,40.756,238,106,3,151,374,158,374,2.66e-47,162
SM_b21646,OANT_RS15325,32.012,328,205,7,4,330,4,314,1.39e-49,165
SM_b21647,OANT_RS19645,25.824,364,213,15,114,473,39,349,1.12e-13,70.9
SM_b21649,OANT_RS09700,36.000,100,63,1,185,284,225,323,4.47e-13,65.9
SM_b21650,OANT_RS07105,26.346,353,223,12,2,338,5,336,6.59e-19,83.6
SM_b21652,OANT_RS12895,25.527,427,256,20,21,418,14,407,3.36e-09,55.5
SM_b21653,OANT_RS12890,33.916,286,179,7,17,297,16,296,3.93e-41,141
SM_b21654,OANT_RS12885,35.294,204,131,1,70,272,79,282,1.18e-35,126
SM_b21661,OANT_RS25915,39.316,117,68,3,1,115,1,116,7.94e-13,60.8
SM_b21662,OANT_RS12250,38.509,161,83,5,3,155,22,174,2.72e-25,94.4
SM_b21663,OANT_RS12315,56.250,64,28,0,73,136,187,250,2.17e-17,73.2
SM_b21670,OANT_RS18115,67.480,123,40,0,1,123,6,128,3.12e-59,176
SM_b21691,OANT_RS22465,42.361,432,240,5,3,432,5,429,3.29e-115,343
SM_b21706,OANT_RS04490,28.205,273,180,6,1,262,69,336,3.23e-19,83.2
SM_b21707,OANT_RS19305,37.220,223,137,1,2,224,6,225,9.35e-46,149
SM_b21712,OANT_RS11505,84.000,25,4,0,1,25,1,25,5.54e-11,47.0
SM_b22001,OANT_RS07435,32.824,131,82,2,7,132,8,137,7.34e-14,63.2
SM_b22020,OANT_RS18025,28.365,208,101,7,56,242,13,193,9.81e-14,66.6
SM_b22021,OANT_RS06775,36.250,80,46,2,1,77,67,144,1.19e-11,54.3
SM_b22023,OANT_RS15670,76.087,92,22,0,3,94,6,97,6.65e-49,148
SM_b22024,OANT_RS00265,53.659,123,52,3,13,133,3,122,1.42e-43,136
SMa0002,OANT_RS14840,78.642,810,171,1,222,1029,1,810,0.0,1376
SMa0005,OANT_RS14845,74.098,305,78,1,9,313,5,308,4.83e-166,462
SMa0007,OANT_RS14850,62.946,224,83,0,2,225,4,227,3.58e-106,303
SMa0009,OANT_RS14855,46.644,298,155,2,8,305,9,302,3.84e-89,265
SMa0011,OANT_RS14860,66.960,454,147,2,7,458,8,460,0.0,593
SMa0013,OANT_RS14865,57.676,241,101,1,30,270,3,242,4.23e-86,255
SMa0015,OANT_RS14870,57.722,641,267,3,1,638,1,640,0.0,661
SMa0018,OANT_RS25915,35.000,120,70,3,1,116,1,116,1.53e-10,54.7
SMa0021,OANT_RS11015,34.426,122,75,3,84,202,736,855,7.13e-10,55.1
SMa0022,OANT_RS14875,73.333,30,8,0,1,30,1,30,4.59e-12,50.1
SMa0025,OANT_RS14830,45.040,373,177,10,2,354,1,365,3.58e-97,290
SMa0028,OANT_RS14825,65.805,348,118,1,1,347,1,348,3.19e-167,467
SMa0034,OANT_RS17770,36.932,176,91,3,316,487,5,164,1.50e-14,70.1
SMa0036,OANT_RS11510,90.724,539,50,0,1,539,1,539,0.0,998
SMa0039,OANT_RS18665,42.907,289,161,3,1,288,1,286,1.50e-74,228
SMa0041,OANT_RS18770,30.699,329,219,4,1,327,1,322,2.82e-35,127
SMa0050,OANT_RS06555,53.247,77,28,1,1,69,298,374,7.56e-20,78.6
SMa0052,OANT_RS06555,59.701,67,26,1,2,67,378,444,2.41e-20,79.7
SMa0056,OANT_RS17300,23.746,299,180,11,22,283,11,298,1.96e-10,58.9
SMa0059,OANT_RS10720,36.822,258,142,4,4,254,3,246,1.57e-49,160
SMa0060,OANT_RS17305,30.822,292,184,10,1,286,1,280,7.43e-29,109
SMa0062,OANT_RS21095,37.383,214,133,1,7,220,11,223,6.25e-35,121
SMa0063,OANT_RS07300,29.612,206,118,3,37,227,33,226,1.34e-14,68.2
SMa0064,OANT_RS19440,75.000,396,99,0,1,396,1,396,0.0,647
SMa0065,OANT_RS21095,52.404,208,99,0,19,226,16,223,3.12e-67,204
SMa0067,OANT_RS09515,27.632,304,196,9,21,320,26,309,2.29e-18,81.3
SMa0070,OANT_RS01535,36.393,305,182,6,20,322,25,319,1.80e-41,144
SMa0072,OANT_RS09525,45.122,246,128,2,1,243,1,242,6.57e-71,215
SMa0074,OANT_RS23625,32.540,252,159,6,3,252,7,249,1.17e-32,117
SMa0078,OANT_RS19380,63.501,337,123,0,1,337,1,337,3.95e-162,454
SMa0079,OANT_RS19375,79.279,222,46,0,1,222,1,222,3.75e-132,368
SMa0081,OANT_RS19370,86.697,218,29,0,1,218,1,218,1.91e-132,369
SMa0082,OANT_RS19365,77.444,266,59,1,7,271,1,266,1.28e-148,414
SMa0083,OANT_RS19360,83.740,246,40,0,14,259,14,259,1.85e-161,445
SMa0085,OANT_RS19355,66.246,317,106,1,1,317,1,316,3.09e-151,424
SMa0087,OANT_RS19350,73.148,108,29,0,1,108,1,108,6.49e-56,166
SMa0089,OANT_RS21475,78.462,130,28,0,7,136,1,130,1.87e-79,228
SMa0091,OANT_RS09440,42.308,52,25,1,104,155,92,138,8.68e-09,50.1
SMa0093,OANT_RS18405,55.556,279,124,0,1,279,1,279,7.95e-118,337
SMa0095,OANT_RS18400,59.238,341,132,4,4,342,5,340,8.62e-135,385
SMa0097,OANT_RS18410,50.814,307,140,3,1,305,1,298,1.58e-99,292
SMa0101,OANT_RS19565,65.291,533,185,0,7,539,9,541,0.0,739
SMa0104,OANT_RS19560,62.963,513,189,1,18,529,19,531,0.0,687
SMa0105,OANT_RS19555,71.613,310,88,0,2,311,2,311,1.09e-166,463
SMa0106,OANT_RS19550,73.529,272,72,0,1,272,1,272,1.40e-137,386
SMa0108,OANT_RS19545,62.245,294,110,1,3,296,4,296,3.29e-130,370
SMa0110,OANT_RS19540,61.006,318,122,2,1,317,9,325,1.55e-139,395
SMa0112,OANT_RS22735,74.242,132,34,0,8,139,1,132,9.33e-71,206
SMa0113,OANT_RS18870,33.916,286,182,3,571,853,192,473,1.13e-45,168
SMa0114,OANT_RS22995,35.780,109,69,1,6,113,731,839,4.07e-16,70.1
SMa0116,OANT_RS02780,34.921,315,176,4,4,290,3,316,2.14e-52,172
SMa0118,OANT_RS18635,40.800,125,63,5,24,146,37,152,1.15e-18,79.3
SMa0124,OANT_RS15665,73.485,528,139,1,1,528,1,527,0.0,747
SMa0125,OANT_RS15670,75.532,94,23,0,1,94,4,97,1.03e-48,147
SMa0126,OANT_RS08720,63.768,69,25,0,1,69,1,69,3.01e-29,96.3
SMa0134,OANT_RS24130,67.513,197,59,2,1,196,1,193,3.47e-56,174
SMa0136,OANT_RS13285,67.045,616,201,1,34,649,18,631,0.0,821
SMa0137,OANT_RS16200,42.237,438,248,5,286,720,208,643,1.09e-104,332
SMa0139,OANT_RS13215,40.367,109,59,3,1,104,51,158,1.30e-23,86.3
SMa0143,OANT_RS06420,40.645,155,79,3,12,161,19,165,1.68e-30,107
SMa0149,OANT_RS14040,46.914,162,74,6,1,159,1,153,7.22e-34,114
SMa0150,OANT_RS13970,29.862,509,310,10,29,496,47,549,1.90e-70,232
SMa0151,OANT_RS20010,31.034,435,283,7,4,427,12,440,5.98e-52,186
SMa0157,OANT_RS22845,24.497,298,204,8,8,300,19,300,1.74e-17,79.3
SMa0160,OANT_RS16015,32.000,200,136,0,9,208,26,225,3.23e-24,93.6
SMa0163,OANT_RS03730,30.735,449,256,9,38,438,44,485,2.63e-52,181
SMa0169,OANT_RS08955,34.343,99,63,1,32,130,159,255,1.09e-08,52.0
SMa0172,OANT_RS01995,50.661,227,112,0,47,273,59,285,2.18e-74,228
SMa0175,OANT_RS11075,30.323,155,96,2,123,277,72,214,8.09e-14,68.2
SMa0179,OANT_RS13325,31.864,295,186,5,5,291,4,291,3.24e-43,147
SMa0180,OANT_RS09455,31.010,287,180,11,8,281,13,294,2.83e-16,74.7
SMa0181,OANT_RS23355,78.462,65,13,1,1,64,1,65,5.13e-31,100
SMa0185,OANT_RS09790,33.693,463,287,4,13,456,4,465,8.31e-61,205
SMa0187,OANT_RS22205,48.571,280,143,1,37,316,4,282,3.53e-92,273
SMa0193,OANT_RS13235,36.634,101,60,2,1,100,1,98,4.99e-16,65.1
SMa0196,OANT_RS20180,75.779,289,69,1,17,304,1,289,6.30e-170,470
SMa0197,OANT_RS20175,73.333,315,84,0,1,315,1,315,9.79e-171,473
SMa0198,OANT_RS20170,81.410,312,58,0,4,315,2,313,1.88e-166,462
SMa0199,OANT_RS20165,61.715,478,178,4,11,485,8,483,0.0,578
SMa0203,OANT_RS20160,78.402,338,73,0,1,338,1,338,0.0,509
SMa0204,OANT_RS20155,61.787,403,148,1,6,402,6,408,4.05e-177,498
SMa0206,OANT_RS20150,81.013,237,44,1,1,237,1,236,1.09e-142,396
SMa0216,OANT_RS09525,42.917,240,133,3,2,239,1,238,1.00e-63,197
SMa0217,OANT_RS20970,33.537,328,193,6,35,351,15,328,4.78e-43,149
SMa0218,OANT_RS09515,29.478,268,173,8,27,289,25,281,5.97e-17,77.0
SMa0220,OANT_RS04510,50.826,484,237,1,20,503,19,501,0.0,518
SMa0222,OANT_RS21095,42.925,212,115,3,32,241,16,223,5.83e-49,158
SMa0224,OANT_RS09790,32.755,461,291,5,14,462,4,457,1.89e-56,192
SMa0228,OANT_RS01585,33.240,358,232,3,50,407,27,377,1.60e-55,187
SMa0229,OANT_RS19010,39.200,125,76,0,11,135,9,133,2.93e-29,101
SMa0233,OANT_RS14075,67.396,457,148,1,1,456,1,457,0.0,644
SMa0235,OANT_RS07340,63.790,591,208,3,8,592,11,601,0.0,776
SMa0237,OANT_RS19435,68.070,285,91,0,6,290,4,288,5.87e-135,381
SMa0241,OANT_RS19430,83.436,326,54,0,1,326,1,326,0.0,555
SMa0244,OANT_RS19425,69.697,462,139,1,20,481,15,475,0.0,664
SMa0246,OANT_RS19420,64.935,231,81,0,6,236,2,232,6.69e-108,308
SMa0247,OANT_RS19445,69.948,386,116,0,7,392,1,386,0.0,566
SMa0249,OANT_RS19450,64.000,175,62,1,1,175,1,174,9.12e-83,239
SMa0250,OANT_RS19455,80.706,425,82,0,1,425,1,425,0.0,622
SMa0252,OANT_RS19460,80.597,335,63,2,1,334,1,334,0.0,560
SMa0255,OANT_RS06685,60.856,327,123,3,1,324,1,325,3.25e-131,374
SMa0257,OANT_RS16885,63.757,676,244,1,4,679,8,682,0.0,922
SMa0259,OANT_RS22645,28.517,263,177,7,17,272,28,286,1.47e-25,100
SMa0260,OANT_RS06555,47.182,479,247,3,12,487,6,481,2.71e-148,430
SMa0263,OANT_RS15270,36.494,348,199,4,35,375,41,373,3.52e-54,181
SMa0265,OANT_RS15030,35.055,271,174,2,7,275,11,281,1.88e-38,137
SMa0267,OANT_RS06640,30.189,212,135,5,19,225,10,213,1.86e-16,72.8
SMa0270,OANT_RS17625,53.414,498,231,1,11,508,3,499,9.21e-178,508
SMa0271,OANT_RS17630,56.881,327,138,2,6,331,9,333,1.39e-110,322
SMa0273,OANT_RS17635,48.161,299,150,4,26,321,24,320,5.99e-101,297
SMa0275,OANT_RS10365,51.795,195,93,1,1,195,1,194,9.88e-72,213
SMa0279,OANT_RS06795,33.333,81,51,2,57,134,102,182,2.29e-08,50.1
SMa0280,OANT_RS16795,68.400,250,79,0,11,260,6,255,2.83e-122,346
SMa0281,OANT_RS20880,36.585,123,75,2,10,129,1,123,1.19e-21,82.0
SMa0293,OANT_RS22090,31.933,119,72,4,6,120,4,117,5.95e-10,50.8
SMa0298,OANT_RS09550,43.750,336,175,7,1,328,1,330,1.27e-79,252
SMa0299,OANT_RS14435,36.882,263,161,3,21,283,3,260,1.83e-47,157
SMa0300,OANT_RS14430,42.628,312,179,0,6,317,4,315,1.05e-82,250
SMa0302,OANT_RS14425,31.906,467,303,9,28,489,47,503,2.44e-71,233
SMa0303,OANT_RS13420,35.932,295,172,7,1,288,1,285,5.66e-44,149
SMa0306,OANT_RS07410,28.216,482,304,11,71,544,50,497,7.36e-47,168
SMa0307,OANT_RS20570,29.874,318,201,3,19,315,3,319,8.59e-29,110
SMa0308,OANT_RS13040,32.292,288,186,6,35,318,44,326,3.17e-41,143
SMa0310,OANT_RS04100,42.308,234,133,2,4,236,61,293,5.60e-60,188
SMa0316,OANT_RS19265,35.802,81,49,1,313,393,44,121,4.49e-09,52.0
SMa0319,OANT_RS17975,28.846,156,109,1,177,332,135,288,1.80e-17,78.6
SMa0320,OANT_RS04745,37.200,250,145,4,3,247,2,244,9.10e-43,143
SMa0323,OANT_RS04060,32.609,92,62,0,3,94,4,95,2.68e-10,49.7
SMa0326,OANT_RS04745,37.234,188,115,2,1,186,1,187,5.81e-30,110
SMa0329,OANT_RS10720,39.918,243,143,3,4,243,2,244,4.80e-43,144
SMa0335,OANT_RS06100,38.583,254,146,5,7,255,3,251,8.82e-44,146
SMa0339,OANT_RS19415,37.795,254,146,5,4,251,7,254,6.75e-47,154
SMa0340,OANT_RS11070,62.944,197,73,0,1,197,1,197,1.88e-85,248
SMa0347,OANT_RS20570,31.104,299,180,6,2,275,3,300,1.61e-31,117
SMa0352,OANT_RS02840,45.238,294,155,4,5,295,16,306,2.20e-83,251
SMa0353,OANT_RS18535,31.010,287,191,5,9,292,5,287,1.30e-30,114
SMa0355,OANT_RS18535,34.783,138,89,1,9,146,5,141,6.50e-18,75.9
SMa0357,OANT_RS18180,54.839,93,42,0,1,93,91,183,1.29e-30,104
SMa0359,OANT_RS18180,59.211,76,31,0,6,81,11,86,1.42e-28,98.6
SMa0369,OANT_RS07125,41.270,63,36,1,15,76,685,747,1.18e-10,53.1
SMa0372,OANT_RS18665,29.932,294,199,3,1,290,1,291,4.97e-42,144
SMa0374,OANT_RS17240,67.213,305,100,0,1,305,1,305,1.61e-151,424
SMa0376,OANT_RS20565,33.500,200,125,4,14,212,15,207,8.21e-28,102
SMa0380,OANT_RS17360,26.306,517,357,11,39,544,54,557,1.35e-38,148
SMa0383,OANT_RS17400,38.447,515,315,2,11,524,8,521,9.80e-101,311
SMa0387,OANT_RS18470,61.453,358,138,0,8,365,12,369,3.35e-161,454
SMa0389,OANT_RS18475,68.254,252,79,1,5,255,6,257,2.55e-117,333
SMa0391,OANT_RS18480,71.507,365,101,2,13,375,13,376,5.91e-172,481
SMa0392,OANT_RS18485,84.507,355,55,0,17,371,1,355,0.0,626
SMa0394,OANT_RS18490,80.892,314,60,0,1,314,1,314,2.23e-174,483
SMa0396,OANT_RS18495,78.195,266,58,0,1,266,1,266,4.96e-137,384
SMa0398,OANT_RS18500,81.507,438,81,0,15,452,1,438,0.0,700
SMa0400,OANT_RS18505,61.261,333,129,0,1,333,1,333,1.76e-144,409
SMa0402,OANT_RS18510,62.979,235,86,1,4,238,17,250,2.18e-103,297
SMa0404,OANT_RS07475,41.274,361,212,0,3,363,4,364,4.06e-99,296
SMa0405,OANT_RS23180,52.632,95,44,1,1,94,251,345,1.94e-22,85.9
SMa0414,OANT_RS22270,45.129,503,241,10,1,493,1,478,1.59e-129,395
SMa0417,OANT_RS22270,50.602,166,74,3,109,271,669,829,2.25e-45,160
SMa0424,OANT_RS22270,43.548,310,162,7,34,336,223,526,6.70e-67,222
SMa0426,OANT_RS22265,59.690,258,104,0,6,263,5,262,6.57e-111,318
SMa0445,OANT_RS24385,48.413,126,64,1,1,126,1,125,1.41e-33,118
SMa0447,OANT_RS17730,28.909,339,203,8,19,337,12,332,1.08e-19,86.3
SMa0448,OANT_RS24130,64.912,114,40,0,11,124,73,186,7.35e-32,109
SMa0453,OANT_RS23970,34.783,138,84,2,1,132,1,138,6.39e-18,72.0
SMa0466,OANT_RS23765,26.637,443,284,13,83,513,70,483,1.71e-33,130
SMa0467,OANT_RS03250,39.482,309,179,3,26,333,4,305,9.97e-72,222
SMa0469,OANT_RS19635,38.824,255,150,2,7,259,22,272,4.83e-48,158
SMa0470,OANT_RS19650,39.008,605,305,12,9,602,13,564,1.17e-123,375
SMa0478,OANT_RS16055,32.031,256,163,4,106,356,66,315,4.49e-32,122
SMa0483,OANT_RS22080,41.071,224,120,3,92,307,39,258,2.36e-50,165
SMa0485,OANT_RS03115,40.000,445,249,8,2,442,1,431,2.06e-102,311
SMa0486,OANT_RS17940,40.789,304,176,3,16,315,17,320,4.24e-66,208
SMa0489,OANT_RS13250,67.490,243,79,0,12,254,27,269,6.91e-127,358
SMa0492,OANT_RS18195,48.214,224,112,1,8,227,8,231,1.90e-69,210
SMa0493,OANT_RS18190,36.889,225,137,3,5,229,15,234,8.03e-41,137
SMa0495,OANT_RS11600,38.403,263,144,6,15,272,18,267,4.71e-47,155
SMa0498,OANT_RS21390,29.323,266,184,3,1,264,1,264,2.96e-34,124
SMa0501,OANT_RS19375,44.762,210,114,2,3,211,2,210,2.96e-59,183
SMa0503,OANT_RS19370,49.770,217,109,0,1,217,2,218,6.86e-63,192
SMa0506,OANT_RS19365,41.525,236,137,1,29,264,29,263,1.77e-64,200
SMa0508,OANT_RS14780,52.893,242,108,1,3,238,10,251,1.47e-86,255
SMa0510,OANT_RS19355,43.226,310,174,2,5,314,8,315,7.93e-77,235
SMa0512,OANT_RS21115,51.009,347,165,2,2,343,8,354,4.03e-122,353
SMa0513,OANT_RS19415,68.504,254,76,2,2,251,4,257,2.24e-125,353
SMa0514,OANT_RS19410,47.059,153,81,0,10,162,4,156,3.09e-50,156
SMa0516,OANT_RS02410,35.461,282,178,2,4,283,3,282,8.90e-40,138
SMa0518,OANT_RS19350,46.226,106,56,1,1,106,1,105,8.11e-29,97.8
SMa0520,OANT_RS07265,26.545,275,194,5,6,277,11,280,5.37e-18,79.0
SMa0522,OANT_RS07550,29.146,199,115,8,1,193,1,179,1.48e-09,54.3
SMa0525,OANT_RS07555,26.858,592,382,14,26,598,5,564,1.41e-32,129
SMa0526,OANT_RS19400,48.057,283,136,4,2,281,4,278,2.93e-85,259
SMa0527,OANT_RS06860,31.818,176,107,5,2,164,3,178,7.84e-13,62.0
SMa0541,OANT_RS11040,38.144,97,55,4,31,123,61,156,2.12e-13,61.2
SMa0551,OANT_RS07420,31.500,200,111,6,161,345,210,398,5.04e-10,58.2
SMa0552,OANT_RS13595,40.288,139,79,3,3,140,6,141,3.26e-25,97.4
SMa0557,OANT_RS04100,46.392,291,155,1,1,291,1,290,2.08e-79,240
SMa0559,OANT_RS19265,35.616,73,47,0,170,242,53,125,8.90e-13,61.2
SMa0563,OANT_RS04105,52.439,328,153,1,1,328,1,325,9.46e-122,350
SMa0564,OANT_RS06115,34.409,279,132,13,60,302,50,313,4.23e-32,121
SMa0567,OANT_RS00195,72.143,140,39,0,44,183,520,659,1.13e-66,213
SMa0576,OANT_RS05775,46.240,359,190,2,2,357,3,361,1.10e-112,330
SMa0579,OANT_RS13815,30.556,144,85,5,406,546,365,496,2.22e-10,61.2
SMa0581,OANT_RS01830,40.081,247,139,5,2,245,21,261,2.72e-57,182
SMa0583,OANT_RS18120,33.516,182,121,0,102,283,80,261,3.82e-21,88.2
SMa0599,OANT_RS02225,55.243,391,166,5,35,418,21,409,1.55e-151,434
SMa0612,OANT_RS02455,54.191,513,226,4,42,551,35,541,0.0,581
SMa0615,OANT_RS02450,58.590,227,92,2,6,232,7,231,4.27e-95,276
SMa0617,OANT_RS02440,41.379,290,163,3,1,289,1,284,6.36e-75,228
SMa0620,OANT_RS01745,32.171,258,164,6,14,265,7,259,1.42e-26,102
SMa0621,OANT_RS02425,51.752,742,348,6,1,740,1,734,0.0,741
SMa0622,OANT_RS02420,65.957,47,16,0,1,47,1,47,5.38e-18,67.8
SMa0626,OANT_RS10320,38.614,101,62,0,81,181,112,212,1.63e-18,81.3
SMa0627,OANT_RS05065,73.423,222,59,0,1,222,1,222,2.13e-110,313
