Abortus2308|Q.,Melitensis16M|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS20120,BME_RS05550,99.588,243,1,0,1,243,1,243,2.72e-179,488
BAB_RS20125,BME_RS05545,98.945,379,4,0,1,379,1,379,0.0,763
BAB_RS20130,BME_RS05540,99.559,227,1,0,1,227,1,227,1.32e-165,452
BAB_RS20135,BME_RS05535,99.618,262,1,0,1,262,1,262,0.0,537
BAB_RS20140,BME_RS05530,99.706,340,1,0,1,340,1,340,0.0,695
BAB_RS20145,BME_RS05525,100.000,234,0,0,1,234,1,234,2.11e-168,460
BAB_RS20150,BME_RS05520,100.000,64,0,0,1,64,1,64,1.65e-44,133
BAB_RS20155,BME_RS05515,99.615,260,1,0,1,260,1,260,0.0,494
BAB_RS20160,BME_RS05510,99.115,339,3,0,1,339,1,339,0.0,673
BAB_RS20165,BME_RS05505,100.000,159,0,0,1,159,1,159,2.04e-116,323
BAB_RS20170,BME_RS05500,100.000,213,0,0,1,213,1,213,2.39e-163,446
BAB_RS20175,BME_RS05495,99.342,152,1,0,1,152,38,189,1.72e-113,316
BAB_RS20180,BME_RS05490,99.625,267,1,0,1,267,1,267,0.0,547
BAB_RS20185,BME_RS05485,99.615,260,1,0,1,260,1,260,0.0,537
BAB_RS20190,BME_RS05480,100.000,235,0,0,1,235,1,235,2.12e-172,470
BAB_RS20195,BME_RS05475,100.000,108,0,0,1,108,1,108,9.37e-77,218
BAB_RS20200,BME_RS05470,99.751,402,1,0,1,402,1,402,0.0,816
BAB_RS20205,BME_RS05465,99.316,585,4,0,1,585,1,585,0.0,1186
BAB_RS20210,BME_RS05460,98.687,990,7,1,1,990,1,984,0.0,1960
BAB_RS20215,BME_RS05455,99.410,339,2,0,1,339,1,339,0.0,684
BAB_RS20220,BME_RS05450,99.647,283,1,0,1,283,1,283,0.0,562
BAB_RS20225,BME_RS05445,99.585,241,1,0,1,241,1,241,5.26e-176,480
BAB_RS20230,BME_RS05440,100.000,72,0,0,1,72,1,72,3.74e-49,145
BAB_RS20235,BME_RS05435,99.482,193,1,0,1,193,1,193,1.56e-136,376
BAB_RS20240,BME_RS05430,99.635,274,1,0,1,274,1,274,0.0,546
BAB_RS20245,BME_RS05425,99.766,427,1,0,1,427,1,427,0.0,879
BAB_RS20250,BME_RS05420,99.216,255,2,0,1,255,1,255,0.0,510
BAB_RS20255,BME_RS05415,99.550,222,1,0,1,222,1,222,1.68e-166,454
BAB_RS20260,BME_RS05410,100.000,61,0,0,1,61,1,61,3.68e-40,122
BAB_RS20265,BME_RS05405,100.000,432,0,0,1,432,1,432,0.0,866
BAB_RS20270,BME_RS05400,100.000,288,0,0,1,288,1,288,0.0,594
BAB_RS20275,BME_RS05395,100.000,113,0,0,1,113,1,113,6.82e-79,224
BAB_RS20280,BME_RS05390,99.484,775,4,0,1,775,1,775,0.0,1537
BAB_RS20285,BME_RS05385,100.000,129,0,0,1,129,1,129,1.36e-92,260
BAB_RS20290,BME_RS05380,99.639,277,1,0,1,277,1,277,0.0,560
BAB_RS20295,BME_RS05375,99.785,466,1,0,1,466,1,466,0.0,962
BAB_RS20300,BME_RS05370,100.000,48,0,0,1,48,1,48,3.32e-31,99.0
BAB_RS20305,BME_RS05365,99.735,378,1,0,1,378,1,378,0.0,734
BAB_RS20310,BME_RS05360,99.471,189,1,0,1,189,1,189,1.09e-137,379
BAB_RS20315,BME_RS05355,100.000,27,0,0,1,27,1,27,2.34e-15,57.8
BAB_RS20320,BME_RS05350,98.763,485,0,1,1,479,1,485,0.0,949
BAB_RS20325,BME_RS05345,100.000,500,0,0,1,500,1,500,0.0,1023
BAB_RS20330,BME_RS05340,100.000,167,0,0,1,167,1,167,1.14e-126,349
BAB_RS20335,BME_RS05335,100.000,136,0,0,1,136,1,136,7.13e-101,281
BAB_RS20340,BME_RS05330,100.000,156,0,0,1,156,1,156,1.87e-117,325
BAB_RS20345,BME_RS05325,99.471,189,1,0,1,189,1,189,9.07e-141,387
BAB_RS20350,BME_RS05320,99.779,452,1,0,1,452,1,452,0.0,924
BAB_RS20355,BME_RS05315,100.000,156,0,0,1,156,1,156,3.22e-110,306
BAB_RS20360,BME_RS05310,98.726,157,2,0,1,157,1,157,1.46e-114,318
BAB_RS20365,BME_RS05305,99.623,265,1,0,1,265,1,265,0.0,543
BAB_RS20370,BME_RS05300,99.788,471,1,0,1,471,1,471,0.0,949
BAB_RS20375,BME_RS05295,99.369,317,2,0,1,317,1,317,0.0,634
BAB_RS20380,BME_RS05290,94.577,922,19,1,1,922,1,891,0.0,1747
BAB_RS20385,BME_RS05285,100.000,61,0,0,1,61,1,61,2.24e-38,118
BAB_RS20390,BME_RS05280,99.052,422,4,0,1,422,1,422,0.0,847
BAB_RS20395,BME_RS05275,99.756,819,2,0,1,819,1,819,0.0,1677
BAB_RS20400,BME_RS05270,100.000,344,0,0,1,344,1,344,0.0,706
BAB_RS20405,BME_RS08985,99.180,122,1,0,1,122,1,122,3.74e-86,243
BAB_RS20410,BME_RS08980,98.462,130,2,0,1,130,1,130,1.52e-95,267
BAB_RS20415,BME_RS08985,100.000,122,0,0,1,122,1,122,2.71e-87,246
BAB_RS20420,BME_RS04980,98.462,130,2,0,8,137,1,130,6.73e-95,266
BAB_RS20425,BME_RS05260,100.000,120,0,0,1,120,1,120,1.01e-84,239
BAB_RS20430,BME_RS05255,99.636,275,1,0,1,275,1,275,0.0,557
BAB_RS20435,BME_RS05250,99.351,154,1,0,1,154,1,154,4.86e-114,316
BAB_RS20440,BME_RS05245,99.470,1132,6,0,1,1132,1,1132,0.0,2261
BAB_RS20445,BME_RS05240,100.000,417,0,0,1,417,1,417,0.0,856
BAB_RS20450,BME_RS05235,99.464,373,2,0,1,373,1,373,0.0,751
BAB_RS20455,BME_RS05230,100.000,110,0,0,1,110,1,110,1.81e-73,210
BAB_RS20460,BME_RS05225,100.000,224,0,0,1,224,1,224,4.17e-172,469
BAB_RS20465,BME_RS05220,100.000,392,0,0,1,392,1,392,0.0,782
BAB_RS20470,BME_RS05215,99.803,507,1,0,1,507,1,507,0.0,1053
BAB_RS20475,BME_RS05210,100.000,251,0,0,1,251,1,251,0.0,507
BAB_RS20480,BME_RS05205,99.529,425,2,0,1,425,1,425,0.0,857
BAB_RS20485,BME_RS05200,100.000,414,0,0,1,414,1,414,0.0,856
BAB_RS20490,BME_RS05195,99.281,139,1,0,1,139,1,139,2.09e-99,278
BAB_RS20495,BME_RS05190,100.000,323,0,0,1,323,1,323,0.0,665
BAB_RS20500,BME_RS05185,100.000,25,0,0,1,25,1,25,2.64e-12,49.7
BAB_RS20505,BME_RS05180,100.000,257,0,0,1,257,1,257,0.0,528
BAB_RS20510,BME_RS05175,99.793,482,1,0,1,482,1,482,0.0,978
BAB_RS20515,BME_RS05170,100.000,126,0,0,1,126,1,126,5.24e-92,258
BAB_RS20520,BME_RS05165,100.000,84,0,0,1,84,124,207,1.43e-59,177
BAB_RS20525,BME_RS05160,100.000,66,0,0,1,66,1,66,3.94e-43,130
BAB_RS20530,BME_RS05155,100.000,222,0,0,1,222,1,222,7.10e-162,442
BAB_RS20535,BME_RS05150,100.000,456,0,0,1,456,1,456,0.0,918
BAB_RS20540,BME_RS05145,100.000,243,0,0,1,243,1,243,1.17e-174,477
BAB_RS20545,BME_RS05140,99.341,910,6,0,1,910,1,910,0.0,1861
BAB_RS20550,BME_RS05135,99.000,100,1,0,1,100,1,100,1.54e-70,202
BAB_RS20555,BME_RS05130,100.000,323,0,0,1,323,1,323,0.0,662
BAB_RS20565,BME_RS05125,74.000,300,59,6,1,290,1,291,7.95e-148,413
BAB_RS20570,BME_RS05120,100.000,95,0,0,1,95,1,95,3.91e-69,198
BAB_RS20575,BME_RS05115,99.324,148,1,0,1,148,1,148,2.01e-107,300
BAB_RS20580,BME_RS05110,100.000,167,0,0,1,167,1,167,1.26e-119,331
BAB_RS20585,BME_RS05105,99.548,221,1,0,1,221,1,221,2.03e-164,449
BAB_RS20590,BME_RS05100,99.419,344,2,0,1,344,1,344,0.0,709
BAB_RS20595,BME_RS05095,100.000,119,0,0,1,119,1,119,1.22e-87,246
BAB_RS20600,BME_RS05090,98.502,267,4,0,1,267,102,368,0.0,543
BAB_RS20605,BME_RS05085,100.000,539,0,0,1,539,1,539,0.0,1115
BAB_RS20610,BME_RS05075,99.408,338,2,0,129,466,1,338,0.0,695
BAB_RS20620,BME_RS05070,100.000,25,0,0,1,25,1,25,1.04e-12,50.8
BAB_RS20625,BME_RS05065,100.000,25,0,0,1,25,1,25,1.05e-13,53.1
BAB_RS20630,BME_RS05060,98.795,83,1,0,1,83,1,83,8.45e-48,143
BAB_RS20640,BME_RS05055,100.000,24,0,0,1,24,1,24,1.35e-10,45.4
BAB_RS20645,BME_RS05050,99.120,341,3,0,1,341,1,341,0.0,698
BAB_RS20650,BME_RS05045,98.507,67,1,0,1,67,1,67,3.37e-45,135
BAB_RS20655,BME_RS05040,98.592,71,1,0,1,71,1,71,1.46e-49,147
BAB_RS20660,BME_RS05035,100.000,67,0,0,1,67,1,67,2.97e-46,138
BAB_RS20675,BME_RS05025,100.000,76,0,0,1,76,1,76,1.27e-53,157
BAB_RS20680,BME_RS05020,100.000,91,0,0,1,91,1,91,2.69e-64,185
BAB_RS20685,BME_RS05015,100.000,158,0,0,1,158,1,158,8.22e-115,320
BAB_RS20700,BME_RS05005,98.214,56,1,0,1,56,1,56,1.29e-36,113
BAB_RS20705,BME_RS05000,98.077,104,2,0,1,104,1,104,1.86e-72,207
BAB_RS20710,BME_RS04995,98.765,81,1,0,1,81,1,81,1.05e-55,163
BAB_RS20715,BME_RS04435,99.524,210,1,0,1,210,168,377,4.12e-157,436
BAB_RS20720,BME_RS08985,100.000,122,0,0,1,122,1,122,2.71e-87,246
BAB_RS20725,BME_RS04980,96.923,130,4,0,1,130,1,130,1.83e-93,262
BAB_RS20730,BME_RS04975,100.000,97,0,0,1,97,1,97,9.46e-69,202
BAB_RS20735,BME_RS04975,99.306,144,1,0,1,144,114,257,3.90e-103,292
BAB_RS20740,BME_RS04970,100.000,483,0,0,1,483,1,483,0.0,977
BAB_RS20745,BME_RS04965,99.756,410,1,0,1,410,1,410,0.0,854
BAB_RS20750,BME_RS04960,99.615,519,2,0,1,519,1,519,0.0,1063
BAB_RS20755,BME_RS04955,98.016,252,5,0,1,252,1,252,0.0,502
BAB_RS20760,BME_RS04945,100.000,115,0,0,1,115,1,115,1.62e-81,231
BAB_RS20765,BME_RS04940,99.762,421,1,0,1,421,1,421,0.0,857
BAB_RS20770,BME_RS04935,99.747,396,1,0,1,396,1,396,0.0,798
BAB_RS20775,BME_RS04930,100.000,214,0,0,1,214,1,214,9.94e-157,429
BAB_RS20780,BME_RS04925,99.722,360,1,0,1,360,1,360,0.0,729
BAB_RS20785,BME_RS04920,99.417,515,3,0,1,515,1,515,0.0,1061
BAB_RS20790,BME_RS04915,100.000,263,0,0,1,263,1,263,0.0,536
BAB_RS20795,BME_RS04910,99.632,272,1,0,1,272,1,272,0.0,563
BAB_RS20800,BME_RS04905,99.666,599,2,0,1,599,1,599,0.0,1221
BAB_RS20805,BME_RS04900,99.693,326,1,0,1,326,1,326,0.0,667
BAB_RS20810,BME_RS04895,99.023,307,3,0,1,307,1,307,0.0,602
BAB_RS20815,BME_RS04890,97.285,221,1,1,1,221,1,216,1.19e-159,437
BAB_RS20820,BME_RS04885,99.615,260,1,0,1,260,1,260,0.0,525
BAB_RS20825,BME_RS04880,99.574,469,2,0,1,469,1,469,0.0,969
BAB_RS20830,BME_RS04875,100.000,112,0,0,1,112,1,112,4.70e-76,217
BAB_RS20835,BME_RS04870,99.601,501,2,0,1,501,1,501,0.0,1008
BAB_RS20840,BME_RS04865,100.000,90,0,0,1,90,1,90,5.91e-63,182
BAB_RS20845,BME_RS04860,100.000,234,0,0,1,234,1,234,4.59e-177,482
BAB_RS20850,BME_RS04855,100.000,232,0,0,1,232,1,232,1.68e-166,455
BAB_RS20855,BME_RS04850,98.315,178,3,0,1,178,1,178,1.75e-125,347
BAB_RS20860,BME_RS04845,99.784,464,1,0,1,464,1,464,0.0,947
BAB_RS20865,BME_RS04840,99.346,459,3,0,1,459,1,459,0.0,947
BAB_RS20870,BME_RS04835,100.000,116,0,0,1,116,1,116,1.42e-80,228
BAB_RS20875,BME_RS04830,99.821,559,1,0,1,559,1,559,0.0,1151
BAB_RS20880,BME_RS04825,99.344,457,3,0,1,457,1,457,0.0,928
BAB_RS20885,BME_RS04820,100.000,195,0,0,1,195,1,195,3.26e-142,395
BAB_RS20890,BME_RS04815,99.742,774,2,0,1,774,1,774,0.0,1563
BAB_RS20895,BME_RS04810,99.693,326,1,0,1,326,1,326,0.0,654
BAB_RS20900,BME_RS04805,99.744,391,1,0,1,391,1,391,0.0,770
BAB_RS20905,BME_RS04800,99.649,285,1,0,1,285,1,285,0.0,577
BAB_RS20910,BME_RS04795,100.000,331,0,0,1,331,1,331,0.0,665
BAB_RS20915,BME_RS04790,100.000,209,0,0,1,209,1,209,1.04e-156,429
BAB_RS20920,BME_RS04785,99.431,1582,5,1,1,1578,1,1582,0.0,3120
BAB_RS20930,BME_RS04775,100.000,107,0,0,1,107,1,107,4.86e-77,219
BAB_RS20935,BME_RS04770,100.000,68,0,0,1,68,1,68,7.76e-46,137
BAB_RS20940,BME_RS04765,99.065,107,1,0,1,107,1,107,2.09e-77,220
BAB_RS20945,BME_RS04760,99.029,206,2,0,1,206,1,206,2.53e-155,425
BAB_RS20950,BME_RS04755,100.000,279,0,0,1,279,1,279,0.0,561
BAB_RS20955,BME_RS04750,100.000,119,0,0,1,119,1,119,1.06e-86,244
BAB_RS20960,BME_RS04745,98.870,177,2,0,1,177,1,177,5.05e-128,353
BAB_RS20965,BME_RS04740,98.870,177,2,0,1,177,1,177,3.08e-128,354
BAB_RS20970,BME_RS04735,99.160,357,3,0,1,357,1,357,0.0,693
BAB_RS20975,BME_RS04730,99.588,486,2,0,1,486,1,486,0.0,970
BAB_RS20980,BME_RS04725,99.398,166,1,0,1,166,1,166,3.40e-121,335
BAB_RS20985,BME_RS04720,100.000,138,0,0,1,138,1,138,2.97e-99,278
BAB_RS20990,BME_RS04715,99.761,418,1,0,1,418,1,418,0.0,823
BAB_RS20995,BME_RS04710,98.246,57,1,0,1,57,1,57,7.66e-31,126
BAB_RS21000,BME_RS04705,99.751,402,1,0,1,402,1,402,0.0,809
BAB_RS21005,BME_RS04700,98.413,441,6,1,1,440,1,441,0.0,876
BAB_RS21010,BME_RS04695,100.000,408,0,0,1,408,1,408,0.0,829
BAB_RS21015,BME_RS04690,99.366,1261,4,1,1,1257,1,1261,0.0,2608
BAB_RS21020,BME_RS04685,100.000,162,0,0,1,162,1,162,6.55e-119,329
BAB_RS21025,BME_RS04680,100.000,166,0,0,1,166,1,166,2.88e-123,340
BAB_RS21030,BME_RS04675,99.644,281,1,0,1,281,1,281,0.0,566
BAB_RS21035,BME_RS04670,99.603,252,1,0,1,252,1,252,0.0,514
BAB_RS21040,BME_RS04665,99.497,199,1,0,1,199,1,199,1.42e-147,405
BAB_RS21045,BME_RS04660,100.000,28,0,0,1,28,1,28,1.04e-15,58.5
BAB_RS21050,BME_RS04655,99.284,419,3,0,1,419,1,419,0.0,845
BAB_RS21055,BME_RS04650,99.065,535,1,1,1,531,1,535,0.0,1060
BAB_RS21060,BME_RS04645,99.415,342,2,0,1,342,1,342,0.0,692
BAB_RS21065,BME_RS04640,100.000,247,0,0,1,247,1,247,0.0,513
BAB_RS21070,BME_RS04635,99.648,284,1,0,1,284,1,284,0.0,581
BAB_RS21075,BME_RS04630,100.000,173,0,0,1,173,1,173,2.29e-130,359
BAB_RS21080,BME_RS04620,100.000,496,0,0,1,496,1,496,0.0,1017
BAB_RS21095,BME_RS14075,34.932,146,93,2,43,187,200,344,5.70e-25,96.7
BAB_RS21100,BME_RS04595,91.940,335,27,0,31,365,46,380,0.0,593
BAB_RS21110,BME_RS04605,77.419,248,53,2,1,247,1,246,2.76e-133,379
BAB_RS21115,BME_RS04590,99.638,276,1,0,1,276,1,276,0.0,558
BAB_RS21120,BME_RS04585,99.377,321,2,0,1,321,1,321,0.0,632
BAB_RS21125,BME_RS04580,99.701,335,1,0,1,335,1,335,0.0,697
BAB_RS21130,BME_RS04575,99.270,274,2,0,1,274,1,274,0.0,551
BAB_RS21135,BME_RS04570,100.000,203,0,0,1,203,1,203,5.63e-155,424
BAB_RS21140,BME_RS04565,83.636,110,18,0,1,110,1,110,1.02e-60,184
BAB_RS21145,BME_RS04560,100.000,336,0,0,1,336,1,336,0.0,678
BAB_RS21150,BME_RS04555,99.696,658,2,0,1,658,1,658,0.0,1373
BAB_RS21155,BME_RS04545,100.000,192,0,0,1,192,1,192,1.13e-138,390
BAB_RS21160,BME_RS04540,100.000,123,0,0,1,123,1,123,1.23e-90,254
BAB_RS21165,BME_RS04535,100.000,146,0,0,1,146,1,146,1.54e-108,301
BAB_RS21170,BME_RS04530,100.000,213,0,0,1,213,1,213,1.95e-161,441
BAB_RS21175,BME_RS04525,100.000,139,0,0,1,139,1,139,1.52e-104,291
BAB_RS21180,BME_RS04520,100.000,315,0,0,1,315,1,315,0.0,639
BAB_RS21185,BME_RS04515,100.000,59,0,0,1,59,1,59,7.98e-40,121
BAB_RS21195,BME_RS04505,99.513,411,2,0,1,411,1,411,0.0,837
BAB_RS21200,BME_RS04500,100.000,134,0,0,1,134,1,134,5.09e-101,281
BAB_RS21205,BME_RS08260,99.315,292,2,0,1,292,1,292,0.0,597
BAB_RS21210,BME_RS04490,99.020,204,2,0,1,204,1,204,3.06e-146,402
BAB_RS21220,BME_RS04480,98.305,177,3,0,1,177,1,177,7.00e-130,358
BAB_RS21225,BME_RS04510,100.000,28,0,0,1,28,1,28,1.18e-13,53.5
BAB_RS21230,BME_RS04470,100.000,49,0,0,1,49,1,49,4.70e-28,110
BAB_RS21235,BME_RS04465,99.492,394,2,0,1,394,1,394,0.0,812
BAB_RS21240,BME_RS04460,99.355,310,2,0,1,310,1,310,0.0,619
BAB_RS21245,BME_RS04455,99.694,327,1,0,1,327,1,327,0.0,666
BAB_RS21250,BME_RS04450,99.708,1029,3,0,1,1029,1,1029,0.0,2066
BAB_RS21255,BME_RS04445,98.953,382,4,0,1,382,1,382,0.0,752
BAB_RS21260,BME_RS04440,99.468,188,1,0,1,188,1,188,1.01e-139,384
BAB_RS21265,BME_RS04435,99.735,377,1,0,1,377,1,377,0.0,777
BAB_RS21270,BME_RS04430,100.000,363,0,0,1,363,1,363,0.0,739
BAB_RS21275,BME_RS04425,100.000,168,0,0,1,168,1,168,9.52e-127,349
BAB_RS21280,BME_RS04420,99.490,196,1,0,1,196,1,196,2.17e-143,394
BAB_RS21285,BME_RS04415,100.000,164,0,0,1,164,1,164,1.88e-118,328
BAB_RS21295,BME_RS04405,99.892,922,1,0,1,922,1,922,0.0,1867
BAB_RS21300,BME_RS04400,100.000,209,0,0,1,209,1,209,2.96e-146,402
BAB_RS21305,BME_RS04395,99.479,192,1,0,1,192,1,192,3.43e-139,383
BAB_RS21310,BME_RS04390,99.209,253,2,0,1,253,1,253,0.0,511
BAB_RS21315,BME_RS16200,100.000,59,0,0,75,133,1,59,2.32e-38,120
BAB_RS21320,BME_RS04385,98.810,168,2,0,1,168,1,168,6.01e-121,335
BAB_RS21325,BME_RS04380,99.692,974,3,0,1,974,1,974,0.0,1994
BAB_RS21330,BME_RS04375,100.000,91,0,0,1,91,1,91,1.03e-60,176
BAB_RS21335,BME_RS04370,99.507,812,4,0,1,812,1,812,0.0,1631
BAB_RS21340,BME_RS04365,100.000,424,0,0,1,424,1,424,0.0,864
BAB_RS21345,BME_RS04360,99.522,209,1,0,1,209,1,209,7.96e-158,431
BAB_RS21350,BME_RS04355,98.941,472,5,0,1,472,1,472,0.0,928
BAB_RS21355,BME_RS04350,100.000,78,0,0,1,78,1,78,1.60e-55,162
BAB_RS21360,BME_RS04345,98.785,247,3,0,1,247,30,276,0.0,503
BAB_RS21365,BME_RS04340,100.000,458,0,0,1,458,1,458,0.0,927
BAB_RS21370,BME_RS04335,100.000,453,0,0,1,453,1,453,0.0,909
BAB_RS21375,BME_RS04330,99.871,774,1,0,1,774,1,774,0.0,1566
BAB_RS21380,BME_RS04325,99.593,491,2,0,1,491,1,491,0.0,988
BAB_RS21385,BME_RS04320,99.737,380,1,0,1,380,1,380,0.0,771
BAB_RS21390,BME_RS04315,99.399,333,2,0,1,333,1,333,0.0,670
BAB_RS21395,BME_RS04310,100.000,447,0,0,1,447,1,447,0.0,907
BAB_RS21400,BME_RS04305,99.394,165,1,0,1,165,1,165,1.19e-116,323
BAB_RS21405,BME_RS04300,100.000,247,0,0,1,247,1,247,0.0,508
BAB_RS21410,BME_RS04295,100.000,152,0,0,1,152,1,152,1.98e-113,314
BAB_RS21415,BME_RS04290,100.000,322,0,0,1,322,1,322,0.0,668
BAB_RS21420,BME_RS04285,98.462,65,1,0,1,65,1,65,8.50e-37,114
BAB_RS21425,BME_RS04280,100.000,487,0,0,1,487,1,487,0.0,991
BAB_RS21430,BME_RS04275,99.553,447,2,0,1,447,1,447,0.0,886
BAB_RS21435,BME_RS04270,99.783,461,1,0,1,461,1,461,0.0,922
BAB_RS21440,BME_RS04265,99.711,346,1,0,1,346,1,346,0.0,715
BAB_RS21445,BME_RS04260,99.083,109,1,0,1,109,1,109,9.84e-78,221
BAB_RS21450,BME_RS04255,100.000,193,0,0,1,193,1,193,1.59e-146,401
BAB_RS21455,BME_RS04250,99.765,425,1,0,1,425,1,425,0.0,861
BAB_RS21460,BME_RS04245,99.639,277,1,0,1,277,1,277,0.0,566
BAB_RS21465,BME_RS04240,99.631,542,2,0,1,542,1,542,0.0,1105
BAB_RS21470,BME_RS04235,99.565,230,1,0,1,230,1,230,4.16e-175,477
BAB_RS21475,BME_RS04230,100.000,148,0,0,1,148,1,148,8.26e-100,280
BAB_RS21480,BME_RS04225,99.606,254,1,0,1,254,1,254,0.0,510
BAB_RS21485,BME_RS04220,99.841,628,1,0,1,628,1,628,0.0,1269
BAB_RS21490,BME_RS04215,100.000,339,0,0,1,339,1,339,0.0,680
BAB_RS21495,BME_RS04210,100.000,268,0,0,1,268,1,268,0.0,536
BAB_RS21500,BME_RS04205,99.394,165,1,0,1,165,1,165,2.66e-118,328
BAB_RS21505,BME_RS04200,99.505,404,2,0,1,404,1,404,0.0,799
BAB_RS21510,BME_RS04195,99.583,240,1,0,1,240,1,240,1.76e-175,479
BAB_RS21515,BME_RS04190,99.646,565,2,0,279,843,1,565,0.0,1137
BAB_RS21520,BME_RS04180,99.789,473,1,0,1,473,1,473,0.0,956
BAB_RS21525,BME_RS04175,99.767,430,1,0,1,430,1,430,0.0,898
BAB_RS21530,BME_RS04170,100.000,395,0,0,1,395,1,395,0.0,792
BAB_RS21535,BME_RS04165,100.000,300,0,0,1,300,1,300,0.0,589
BAB_RS21540,BME_RS04160,100.000,278,0,0,1,278,1,278,0.0,565
BAB_RS21545,BME_RS04155,99.363,157,1,0,1,157,1,157,3.55e-115,319
BAB_RS21550,BME_RS04150,100.000,351,0,0,1,351,1,351,0.0,701
BAB_RS21555,BME_RS04145,99.616,781,3,0,1,781,1,781,0.0,1575
BAB_RS21560,BME_RS04140,99.736,379,1,0,1,379,1,379,0.0,757
BAB_RS21565,BME_RS04135,98.889,270,3,0,1,270,1,270,0.0,509
BAB_RS21570,BME_RS04130,100.000,254,0,0,1,254,1,254,0.0,508
BAB_RS21575,BME_RS04125,99.462,186,1,0,1,186,1,186,4.03e-135,372
BAB_RS21580,BME_RS04120,98.750,240,3,0,1,240,1,240,2.50e-174,476
BAB_RS21585,BME_RS04115,100.000,305,0,0,1,305,1,305,0.0,597
BAB_RS21590,BME_RS04110,99.219,256,2,0,1,256,1,256,0.0,522
BAB_RS21595,BME_RS04105,97.857,140,3,0,1,140,1,140,3.59e-99,278
BAB_RS21600,BME_RS04100,100.000,280,0,0,1,280,1,280,0.0,575
BAB_RS21605,BME_RS04095,99.351,154,1,0,1,154,1,154,1.44e-108,302
BAB_RS21610,BME_RS04090,100.000,246,0,0,1,246,1,246,0.0,509
BAB_RS21615,BME_RS04085,99.494,395,2,0,1,395,1,395,0.0,811
BAB_RS21620,BME_RS04080,100.000,140,0,0,1,140,1,140,5.90e-104,290
BAB_RS21625,BME_RS04075,100.000,824,0,0,1,824,1,824,0.0,1683
BAB_RS21630,BME_RS04070,99.138,116,1,0,1,116,1,116,7.91e-86,242
BAB_RS21635,BME_RS04065,99.788,472,1,0,1,472,1,472,0.0,953
BAB_RS21640,BME_RS04060,100.000,97,0,0,1,97,1,97,2.02e-70,201
BAB_RS21645,BME_RS04055,99.310,145,1,0,1,145,1,145,2.23e-105,293
BAB_RS21650,BME_RS04050,99.089,439,4,0,1,439,29,467,0.0,895
BAB_RS21655,BME_RS04045,100.000,264,0,0,1,264,1,264,0.0,536
BAB_RS21660,BME_RS04040,98.485,132,2,0,1,132,1,132,4.66e-88,264
BAB_RS21665,BME_RS04035,99.219,128,1,0,1,128,1,128,2.05e-88,249
BAB_RS21670,BME_RS04030,99.174,121,1,0,1,121,1,121,2.15e-89,251
BAB_RS21675,BME_RS04025,98.462,65,1,0,1,65,1,65,5.35e-40,126
BAB_RS21680,BME_RS04020,100.000,104,0,0,1,104,1,104,2.98e-72,206
BAB_RS21685,BME_RS04015,100.000,155,0,0,1,155,1,155,5.94e-117,323
BAB_RS21695,BME_RS04005,99.444,180,1,0,1,180,1,180,6.43e-133,366
BAB_RS21700,BME_RS04000,99.574,470,2,0,1,470,1,470,0.0,953
BAB_RS21705,BME_RS03995,99.412,510,3,0,1,510,1,510,0.0,1047
BAB_RS21710,BME_RS03990,100.000,667,0,0,1,667,1,667,0.0,1366
BAB_RS21715,BME_RS03985,99.719,712,2,0,1,712,1,712,0.0,1457
BAB_RS21720,BME_RS03980,100.000,120,0,0,1,120,1,120,1.75e-84,239
BAB_RS21725,BME_RS03975,99.707,682,2,0,1,682,1,682,0.0,1340
BAB_RS21730,BME_RS03970,100.000,329,0,0,1,329,1,329,0.0,652
BAB_RS21735,BME_RS03965,100.000,277,0,0,1,277,1,277,0.0,561
BAB_RS21740,BME_RS03960,100.000,276,0,0,1,276,1,276,0.0,555
BAB_RS21745,BME_RS03955,99.485,194,1,0,1,194,1,194,6.25e-146,400
BAB_RS21750,BME_RS03950,99.265,136,1,0,1,136,1,136,2.50e-99,278
BAB_RS21755,BME_RS03945,100.000,404,0,0,1,404,1,404,0.0,842
BAB_RS21760,BME_RS03940,99.792,481,1,0,1,481,1,481,0.0,988
BAB_RS21765,BME_RS03935,100.000,885,0,0,1,885,1,885,0.0,1798
BAB_RS21770,BME_RS03930,100.000,361,0,0,1,361,1,361,0.0,729
BAB_RS21775,BME_RS03925,99.091,220,2,0,1,220,1,220,1.32e-159,437
BAB_RS21780,BME_RS03920,99.485,194,1,0,1,194,1,194,1.02e-145,399
BAB_RS21785,BME_RS03915,99.314,437,3,0,1,437,1,437,0.0,892
BAB_RS21790,BME_RS03910,99.789,474,1,0,1,474,1,474,0.0,940
BAB_RS21795,BME_RS03905,100.000,142,0,0,1,142,1,142,5.31e-101,282
BAB_RS21800,BME_RS03900,99.407,337,2,0,1,337,1,337,0.0,682
BAB_RS21805,BME_RS03895,100.000,129,0,0,1,129,1,129,2.68e-94,264
BAB_RS21810,BME_RS03890,100.000,122,0,0,1,122,1,122,2.83e-87,246
BAB_RS21815,BME_RS03885,99.485,194,1,0,1,194,1,194,3.64e-141,388
BAB_RS21820,BME_RS03880,99.776,446,1,0,1,446,1,446,0.0,891
BAB_RS21825,BME_RS03875,100.000,156,0,0,1,156,1,156,4.26e-107,299
