Melitensis16M|Q.,C_crescentus|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS02655,CC_3047,66.324,680,177,6,10,672,8,652,0.0,850
BME_RS02665,CC_3276,54.545,143,64,1,4,146,5,146,6.08e-56,170
BME_RS02675,CC_2294,35.268,224,133,3,29,249,32,246,9.96e-33,116
BME_RS02735,CC_3005,70.423,71,20,1,4,73,3,73,2.85e-28,93.6
BME_RS02740,CC_2394,25.166,302,179,11,70,365,48,308,2.01e-14,70.1
BME_RS02745,CC_3122,28.070,228,148,5,17,237,36,254,2.52e-29,115
BME_RS02770,CC_2148,67.266,556,174,4,1,549,1,555,0.0,781
BME_RS02780,CC_1019,47.835,462,193,5,26,440,15,475,1.89e-139,405
BME_RS02790,CC_2141,45.912,318,169,1,4,321,1,315,1.81e-88,266
BME_RS02795,CC_2140,58.621,290,117,1,17,303,24,313,1.42e-116,335
BME_RS02805,CC_3322,34.203,345,220,6,20,359,83,425,2.48e-48,166
BME_RS02820,CC_2134,41.969,193,107,2,41,232,60,248,7.57e-46,150
BME_RS02825,CC_2567,52.814,231,106,2,29,259,9,236,1.28e-77,232
BME_RS02830,CC_2416,29.630,108,65,2,110,211,106,208,8.77e-08,47.8
BME_RS02840,CC_2562,55.911,313,124,6,18,326,6,308,5.08e-99,292
BME_RS02850,CC_2560,39.959,493,273,8,90,571,87,567,5.42e-105,326
BME_RS02855,CC_2559,51.078,464,220,3,24,481,19,481,3.32e-139,407
BME_RS02860,CC_2558,42.484,459,242,8,6,459,1,442,3.40e-101,308
BME_RS02865,CC_2557,50.368,272,129,3,4,269,8,279,7.33e-86,261
BME_RS02870,CC_2556,53.978,465,202,6,1,457,1,461,3.40e-158,454
BME_RS02875,CC_2552,51.226,367,177,2,3,367,10,376,6.86e-131,378
BME_RS02880,CC_2551,46.218,357,188,2,11,365,6,360,6.52e-94,282
BME_RS02885,CC_2546,62.635,463,171,1,3,465,8,468,0.0,556
BME_RS02890,CC_2545,52.721,294,136,2,15,306,6,298,1.19e-103,303
BME_RS02895,CC_2543,55.844,308,128,3,1,304,11,314,6.53e-109,317
BME_RS02900,CC_2542,31.556,225,146,1,68,284,59,283,3.29e-35,126
BME_RS02905,CC_2541,41.509,424,237,3,22,440,6,423,9.38e-97,294
BME_RS02910,CC_2540,59.955,447,133,6,1,441,1,407,8.48e-146,427
BME_RS02915,CC_1985,47.122,278,136,6,12,283,1,273,1.08e-74,227
BME_RS02920,CC_1984,47.303,241,124,2,27,267,24,261,3.68e-77,234
BME_RS02925,CC_1983,45.826,563,264,13,1,536,1,549,5.74e-118,357
BME_RS02930,CC_1522,55.497,573,229,8,1,564,1,556,0.0,580
BME_RS02940,CC_1525,48.852,610,298,6,4,608,3,603,0.0,539
BME_RS02945,CC_1526,39.273,275,163,3,12,285,15,286,1.99e-61,193
BME_RS02950,CC_3503,48.837,172,88,0,20,191,19,190,4.65e-57,175
BME_RS02965,CC_1528,53.846,858,330,11,10,856,1,803,0.0,883
BME_RS02980,CC_3389,32.802,439,246,17,55,463,37,456,2.07e-41,150
BME_RS03000,CC_1530,47.368,57,30,0,1,57,1,57,9.48e-08,41.2
BME_RS03010,CC_2102,50.000,114,56,1,3,115,8,121,3.68e-34,115
BME_RS03015,CC_3716,28.409,176,117,4,63,236,5,173,7.98e-12,60.1
BME_RS03020,CC_1230,37.643,263,164,0,7,269,14,276,9.56e-53,178
BME_RS03030,CC_2124,73.004,263,70,1,2,264,18,279,1.72e-145,405
BME_RS03035,CC_2126,48.538,171,87,1,1,170,1,171,9.17e-54,165
BME_RS03055,CC_2758,41.608,423,223,8,106,523,125,528,2.01e-94,294
BME_RS03060,CC_1477,69.720,393,117,2,1,392,1,392,0.0,558
BME_RS03065,CC_2097,57.021,235,101,0,63,297,60,294,1.17e-86,258
BME_RS03070,CC_2098,45.172,290,157,2,2,291,3,290,1.13e-67,210
BME_RS03075,CC_2100,69.060,585,177,2,24,607,1,582,0.0,874
BME_RS03080,CC_2101,55.435,184,76,1,7,190,8,185,2.86e-67,201
BME_RS03095,CC_1557,35.537,242,149,5,1,239,1,238,6.18e-34,120
BME_RS03100,CC_0131,51.177,637,290,6,34,651,62,696,0.0,637
BME_RS03105,CC_3716,26.316,190,134,4,23,211,16,200,2.23e-08,49.3
BME_RS03110,CC_2120,73.746,339,89,0,1,339,1,339,0.0,532
BME_RS03120,CC_2162,54.115,401,179,4,3,401,22,419,2.10e-153,437
BME_RS03155,CC_1981,34.109,129,70,4,5,126,3,123,6.30e-11,53.1
BME_RS03160,CC_1981,29.134,127,79,4,2,120,1,124,7.67e-08,47.0
BME_RS03240,CC_2092,31.308,214,99,6,37,249,53,219,3.63e-09,54.3
BME_RS03245,CC_3566,38.776,98,54,4,24,120,11,103,6.31e-12,64.3
BME_RS03255,CC_1750,26.984,630,390,22,38,620,44,650,4.17e-43,161
BME_RS03260,CC_1191,28.821,229,155,5,24,249,17,240,6.94e-15,69.7
BME_RS03265,CC_1192,47.312,279,146,1,53,331,66,343,4.11e-64,204
BME_RS03270,CC_1193,41.102,236,132,2,3,237,4,233,7.11e-54,172
BME_RS03275,CC_1630,28.289,304,194,6,72,365,76,365,7.31e-30,115
BME_RS03285,CC_0861,27.540,374,223,5,1,370,1,330,6.78e-18,80.5
BME_RS03290,CC_0860,34.836,244,147,5,5,244,3,238,2.31e-38,137
BME_RS03295,CC_2655,37.358,265,141,8,1,252,2,254,1.85e-30,112
BME_RS03310,CC_t13,76.000,25,6,0,1,25,1,25,4.12e-08,39.3
BME_RS03315,CC_1701,34.146,164,108,0,1,164,1,164,1.65e-26,98.6
BME_RS03320,CC_0347,47.619,252,110,4,10,241,52,301,1.29e-71,228
BME_RS03330,CC_0286,49.367,316,158,2,20,334,35,349,1.58e-110,322
BME_RS03335,CC_1596,53.160,269,126,0,2,270,50,318,2.44e-94,278
BME_RS03340,CC_1597,56.250,240,105,0,35,274,37,276,1.12e-88,262
BME_RS03360,CC_3496,29.116,577,359,11,11,569,13,557,2.21e-38,146
BME_RS03365,CC_1991,43.340,533,289,6,4,528,5,532,4.37e-143,431
BME_RS03375,CC_3000,31.683,202,128,3,556,752,15,211,2.23e-16,78.2
BME_RS03385,CC_3355,22.196,419,261,14,433,842,6,368,3.64e-11,62.4
BME_RS03395,CC_2960,25.155,322,227,5,7,326,1,310,6.86e-28,107
BME_RS03400,CC_3510,33.916,286,182,4,12,295,7,287,3.53e-42,144
BME_RS03410,CC_1354,58.844,294,120,1,1,293,1,294,3.88e-97,285
BME_RS03415,CC_1350,65.067,375,131,0,9,383,3,377,0.0,504
BME_RS03420,CC_2694,58.212,481,197,3,4,483,3,480,0.0,526
BME_RS03440,CC_0321,36.893,206,96,5,5,209,10,182,1.71e-33,124
BME_RS03475,CC_0618,30.660,212,133,5,3,205,10,216,1.18e-14,68.6
BME_RS03490,CC_1118,46.809,235,121,3,25,259,26,256,7.51e-53,172
BME_RS03500,CC_1071,29.688,192,127,6,129,315,182,370,9.73e-14,68.2
BME_RS03515,CC_2275,33.544,158,100,2,15,171,16,169,1.37e-17,72.8
BME_RS03565,CC_2680,52.222,180,85,1,30,208,37,216,1.87e-62,192
BME_RS03570,CC_2677,63.813,257,93,0,15,271,15,271,1.22e-125,356
BME_RS03575,CC_2675,50.224,223,111,0,1,223,1,223,4.96e-76,227
BME_RS03580,CC_3690,50.538,93,39,4,6,94,20,109,1.13e-19,73.9
BME_RS03600,CC_1382,64.646,396,140,0,1,396,1,396,0.0,563
BME_RS03605,CC_1383,46.617,399,205,2,39,437,38,428,4.12e-105,315
BME_RS03610,CC_1384,61.218,312,120,1,12,323,6,316,2.84e-134,381
BME_RS03615,CC_2543,31.056,322,189,10,52,353,11,319,3.63e-27,106
BME_RS03620,CC_1386,43.170,593,325,8,7,593,14,600,2.36e-131,394
BME_RS03630,CC_1315,60.588,170,60,2,4,173,2,164,1.51e-76,223
BME_RS03635,CC_1387,61.017,59,23,0,123,181,1,59,1.90e-20,77.8
BME_RS03640,CC_1388,34.711,121,78,1,32,152,62,181,1.82e-21,82.8
BME_RS03645,CC_1229,36.752,117,69,3,7,121,15,128,1.32e-14,69.3
BME_RS03650,CC_2651,49.425,261,132,0,14,274,11,271,6.21e-96,280
BME_RS03660,CC_2643,53.179,173,81,0,1,173,1,173,9.73e-69,204
BME_RS03665,CC_0167,40.678,118,64,2,77,189,155,271,3.51e-24,93.2
BME_RS03670,CC_2640,30.435,138,90,3,1,137,70,202,4.69e-08,48.9
BME_RS03675,CC_2627,35.000,220,106,10,15,225,8,199,2.11e-19,80.5
BME_RS03680,CC_2626,38.849,139,85,0,3,141,17,155,6.03e-30,103
BME_RS03685,CC_1239,37.121,264,154,6,25,281,11,269,8.70e-42,142
BME_RS03695,CC_t16,87.500,24,3,0,1,24,1,24,4.80e-08,39.3
BME_RS03700,CC_3199,80.808,396,71,1,1,391,1,396,0.0,637
BME_RS03710,CC_3206,45.161,62,34,0,3,64,18,79,1.65e-15,61.2
BME_RS03715,CC_3205,67.630,173,55,1,4,175,12,184,7.29e-86,247
BME_RS03720,CC_0641,63.121,141,52,0,1,141,1,141,3.56e-67,197
BME_RS03725,CC_0640,65.502,229,77,1,1,229,1,227,6.02e-93,269
BME_RS03730,CC_0496,50.581,172,84,1,1,171,1,172,6.53e-55,168
BME_RS03735,CC_0497,65.354,127,41,2,1,124,1,127,6.23e-38,122
BME_RS03740,CC_0502,75.092,1365,330,5,1,1364,1,1356,0.0,2100
BME_RS03745,CC_0503,71.510,1397,391,4,1,1393,1,1394,0.0,2040
BME_RS03755,CC_3202,84.553,123,19,0,1,123,1,123,5.06e-73,210
BME_RS03760,CC_3201,74.522,157,39,1,1,156,1,157,6.01e-87,248
BME_RS03765,CC_3200,72.023,697,187,4,1,694,1,692,0.0,1033
BME_RS03770,CC_3199,80.808,396,71,1,1,391,1,396,0.0,637
BME_RS03775,CC_1247,90.196,102,10,0,1,102,1,102,9.84e-65,187
BME_RS03780,CC_1248,65.766,222,76,0,2,223,7,228,1.93e-108,310
BME_RS03785,CC_1249,59.884,172,68,1,1,171,1,172,5.48e-68,204
BME_RS03790,CC_1250,75.269,93,23,0,5,97,6,98,4.77e-47,142
BME_RS03795,CC_1251,74.820,278,68,2,1,277,1,277,7.54e-140,392
BME_RS03800,CC_1252,75.904,83,20,0,1,83,1,83,3.05e-44,135
BME_RS03805,CC_1253,62.903,124,46,0,1,124,1,124,5.99e-51,155
BME_RS03810,CC_1254,75.229,218,54,0,1,218,1,218,2.31e-128,360
BME_RS03815,CC_1255,82.222,135,24,0,1,135,1,135,4.69e-83,237
BME_RS03820,CC_1256,66.129,62,21,0,1,62,1,62,1.54e-24,83.6
BME_RS03825,CC_1257,64.557,79,28,0,1,79,1,79,2.23e-31,102
BME_RS03830,CC_1258,81.967,122,22,0,1,122,1,122,1.33e-72,209
BME_RS03835,CC_1259,56.863,102,42,2,3,103,4,104,7.23e-36,115
BME_RS03840,CC_1260,70.492,183,54,0,1,183,1,183,1.10e-98,280
BME_RS03845,CC_1261,71.287,101,29,0,1,101,1,101,2.61e-48,146
BME_RS03850,CC_1262,67.424,132,43,0,1,132,1,132,2.92e-62,184
BME_RS03855,CC_1263,58.757,177,73,0,1,177,1,177,1.21e-70,208
BME_RS03860,CC_1264,69.492,118,31,1,3,120,4,116,1.46e-48,148
BME_RS03865,CC_1265,69.036,197,50,2,1,186,1,197,1.64e-87,253
BME_RS03870,CC_1266,61.905,63,22,1,1,63,1,61,3.42e-22,77.8
BME_RS03875,CC_1267,55.034,149,67,0,2,150,3,151,2.09e-52,161
BME_RS03880,CC_1268,60.592,439,165,5,12,443,1,438,0.0,538
BME_RS03885,CC_1269,52.332,193,86,1,1,193,1,187,2.34e-64,194
BME_RS03890,CC_1270,87.705,122,15,0,1,122,1,122,5.42e-74,213
BME_RS03895,CC_1271,80.620,129,25,0,1,129,1,129,3.15e-77,221
BME_RS03900,CC_1272,75.074,337,83,1,1,336,1,337,0.0,526
BME_RS03905,CC_1273,75.200,125,31,0,1,125,1,125,1.44e-68,200
BME_RS03910,CC_1282,45.745,470,235,8,11,472,15,472,1.77e-114,342
BME_RS03915,CC_1283,62.673,434,158,3,1,433,1,431,0.0,522
BME_RS03925,CC_0201,50.926,216,99,4,7,217,12,225,6.21e-51,162
BME_RS03930,CC_1087,74.203,345,88,1,2,346,3,346,0.0,519
BME_RS03935,CC_2529,65.424,885,300,4,1,885,1,879,0.0,1149
BME_RS03945,CC_2522,88.089,403,48,0,1,403,1,403,0.0,749
BME_RS03960,CC_2520,43.830,235,125,2,17,248,1,231,1.93e-60,189
BME_RS03965,CC_3703,27.536,276,151,10,21,262,9,269,1.26e-12,63.5
BME_RS03975,CC_1448,27.703,148,104,1,222,369,61,205,5.08e-08,52.4
BME_RS03985,CC_2374,60.815,712,272,4,4,712,2,709,0.0,848
BME_RS03990,CC_2179,57.292,672,277,5,1,666,1,668,0.0,748
BME_RS03995,CC_1975,74.314,510,131,0,1,510,1,510,0.0,802
BME_RS04000,CC_1763,37.668,446,272,4,26,467,1,444,4.21e-98,299
BME_RS04005,CC_2122,48.925,186,87,4,1,180,2,185,4.57e-51,159
BME_RS04015,CC_2654,69.863,146,44,0,10,155,6,151,1.91e-78,226
BME_RS04035,CC_0081,42.478,113,62,1,5,117,11,120,1.09e-23,87.0
BME_RS04050,CC_3108,56.051,471,194,4,1,467,1,462,1.72e-170,484
BME_RS04055,CC_2167,48.630,146,56,6,1,143,1,130,1.89e-35,116
BME_RS04065,CC_2161,42.155,427,206,9,44,468,46,433,5.63e-97,296
BME_RS04070,CC_2467,69.369,111,34,0,5,115,8,118,6.47e-55,164
BME_RS04075,CC_2468,72.617,745,204,0,1,745,1,745,0.0,1142
BME_RS04080,CC_2470,56.338,142,60,2,1,140,3,144,1.93e-52,160
BME_RS04085,CC_2156,52.062,388,178,4,9,394,2,383,4.75e-136,391
BME_RS04090,CC_2157,36.214,243,140,6,10,239,15,255,6.70e-34,120
BME_RS04095,CC_2158,48.507,134,67,2,21,153,2,134,4.42e-37,121
BME_RS04110,CC_1923,70.281,249,73,1,1,249,1,248,5.78e-127,358
BME_RS04115,CC_1922,57.566,304,124,2,3,301,4,307,2.66e-115,332
BME_RS04120,CC_1921,53.846,234,108,0,7,240,10,243,1.92e-91,266
BME_RS04125,CC_1920,58.046,174,73,0,13,186,15,188,4.50e-70,208
BME_RS04130,CC_1919,49.780,227,114,0,6,232,24,250,4.13e-76,228
BME_RS04135,CC_1918,38.224,259,139,7,3,250,14,262,2.96e-36,127
BME_RS04140,CC_1916,38.158,380,210,5,19,376,8,384,3.19e-83,256
BME_RS04145,CC_1915,37.612,779,462,9,16,781,1,768,4.58e-162,486
BME_RS04150,CC_1913,40.116,344,197,2,1,344,1,335,2.32e-72,225
BME_RS04155,CC_1912,46.711,152,79,2,1,150,1,152,1.31e-43,139
BME_RS04160,CC_1911,44.358,257,143,0,6,262,3,259,3.53e-73,222
BME_RS04165,CC_1910,40.221,271,158,3,20,288,3,271,3.86e-55,177
BME_RS04170,CC_1909,35.227,352,205,7,6,347,7,345,4.16e-54,181
BME_RS04175,CC_1906,69.697,429,127,2,1,429,1,426,0.0,646
BME_RS04180,CC_1905,53.782,476,206,5,1,472,1,466,1.67e-167,478
BME_RS04190,CC_1904,32.500,400,254,9,3,401,242,626,3.06e-33,131
BME_RS04195,CC_1902,65.702,242,72,3,1,240,12,244,9.45e-104,298
BME_RS04200,CC_3209,45.387,401,212,4,4,404,12,405,1.47e-94,286
BME_RS04205,CC_0014,61.392,158,59,1,4,161,31,186,3.09e-61,184
BME_RS04210,CC_1899,64.615,260,92,0,3,262,2,261,3.05e-113,323
BME_RS04215,CC_1898,50.595,336,165,1,1,335,1,336,3.49e-111,324
BME_RS04220,CC_1894,28.705,533,354,7,1,518,1,522,5.84e-54,192
BME_RS04225,CC_1893,52.049,244,116,1,6,249,9,251,9.50e-70,212
BME_RS04230,CC_1719,56.716,67,28,1,4,69,61,127,3.32e-16,69.3
BME_RS04240,CC_1720,73.273,550,139,2,1,542,1,550,0.0,810
BME_RS04245,CC_1429,68.182,264,84,0,13,276,23,286,6.88e-124,352
BME_RS04250,CC_1724,73.821,424,110,1,1,423,1,424,0.0,629
BME_RS04255,CC_1925,47.024,168,89,0,26,193,40,207,1.78e-45,146
BME_RS04260,CC_1725,37.363,91,56,1,15,104,8,98,1.98e-11,53.1
BME_RS04265,CC_1726,68.955,335,103,1,12,346,6,339,1.48e-160,450
BME_RS04270,CC_1727,65.570,456,148,2,4,459,3,449,0.0,586
BME_RS04275,CC_1729,55.531,452,172,4,1,447,1,428,2.59e-149,429
BME_RS04280,CC_1731,54.545,495,186,8,1,486,1,465,1.06e-178,506
BME_RS04290,CC_1735,68.308,325,99,1,1,321,1,325,4.75e-174,482
BME_RS04295,CC_1736,34.815,135,86,1,15,149,15,147,5.00e-24,88.2
BME_RS04300,CC_3175,38.342,193,118,1,3,194,6,198,6.90e-33,117
BME_RS04305,CC_1737,51.333,150,73,0,13,162,13,162,4.24e-48,150
BME_RS04310,CC_1738,43.557,388,206,7,56,442,6,381,3.26e-86,266
BME_RS04315,CC_1739,47.742,310,153,4,25,325,1,310,4.60e-80,243
BME_RS04320,CC_1740,46.328,354,183,4,7,358,3,351,2.35e-96,288
BME_RS04325,CC_1741,55.579,484,192,5,10,488,8,473,0.0,535
BME_RS04330,CC_1742,37.864,721,423,9,60,766,5,714,4.71e-136,416
BME_RS04335,CC_1743,62.115,454,170,2,1,453,1,453,0.0,548
BME_RS04350,CC_1745,79.452,73,15,0,2,74,3,75,7.36e-42,128
BME_RS04355,CC_1746,56.675,397,161,3,55,448,17,405,3.25e-135,394
BME_RS04360,CC_1963,77.451,204,46,0,1,204,2,205,1.01e-122,343
BME_RS04365,CC_1961,80.529,416,79,1,1,416,1,414,0.0,674
BME_RS04370,CC_1960,70.291,791,233,1,24,812,9,799,0.0,1145
BME_RS04375,CC_1959,48.864,88,45,0,3,90,4,91,5.22e-24,84.3
BME_RS04380,CC_2590,73.375,969,243,3,1,968,1,955,0.0,1438
BME_RS04385,CC_1468,67.857,168,53,1,1,168,1,167,7.09e-70,206
BME_RS04390,CC_0962,30.500,200,132,4,18,215,7,201,1.77e-15,70.5
BME_RS04400,CC_0106,33.810,210,125,4,11,207,11,219,1.99e-21,85.5
BME_RS04405,CC_1580,62.159,917,338,5,2,912,6,919,0.0,1142
BME_RS04415,CC_1581,44.099,161,88,1,1,161,1,159,1.77e-45,144
BME_RS04420,CC_1584,55.621,169,59,2,26,194,2,154,2.17e-58,177
BME_RS04425,CC_1584,63.190,163,48,1,5,167,4,154,6.05e-68,201
BME_RS04430,CC_1587,68.333,360,107,3,1,353,1,360,8.47e-171,477
BME_RS04435,CC_1588,60.784,357,139,1,6,361,4,360,1.90e-160,452
BME_RS04445,CC_1203,28.977,352,226,7,18,366,3,333,4.38e-39,140
BME_RS04450,CC_1204,35.882,1020,635,10,3,1006,2,1018,1.02e-163,506
BME_RS04455,CC_1957,61.491,322,123,1,3,324,14,334,1.79e-141,400
BME_RS04460,CC_1117,34.643,280,173,4,5,276,28,305,4.67e-40,140
BME_RS04465,CC_2172,31.830,377,248,3,18,389,5,377,2.53e-51,173
BME_RS04470,CC_3562,37.433,374,217,5,5,375,39,398,7.46e-81,251
BME_RS04475,CC_t30,96.429,28,1,0,1,28,1,28,3.45e-13,52.4
BME_RS04490,CC_3371,29.496,139,93,3,16,151,21,157,3.27e-09,51.2
BME_RS04510,CC_t30,100.000,28,0,0,1,28,1,28,1.48e-13,53.5
BME_RS04520,CC_2171,29.749,279,185,6,34,309,316,586,7.65e-26,104
BME_RS04525,CC_0457,60.484,124,47,2,3,126,5,126,1.32e-48,150
BME_RS04530,CC_0459,57.219,187,80,0,26,212,25,211,1.35e-77,229
BME_RS04535,CC_0462,50.725,138,68,0,1,138,1,138,3.15e-42,134
BME_RS04540,CC_0463,43.750,80,37,1,38,117,12,83,1.80e-19,73.9
BME_RS04545,CC_2161,45.912,159,85,1,34,192,50,207,1.41e-41,142
BME_RS04550,CC_2161,27.570,214,114,6,6,187,230,434,2.30e-15,70.1
BME_RS04555,CC_0464,58.257,654,258,3,5,653,2,645,0.0,785
BME_RS04565,CC_2653,35.632,87,48,1,8,94,3,81,2.45e-13,62.4
BME_RS04575,CC_1747,53.257,261,110,1,10,270,21,269,3.05e-96,281
BME_RS04580,CC_0092,42.249,329,175,6,2,327,3,319,6.92e-81,246
BME_RS04585,CC_1657,54.341,311,140,1,6,316,22,330,2.13e-110,321
BME_RS04590,CC_2448,42.180,211,111,4,66,275,197,397,1.71e-37,133
BME_RS04605,CC_3029,38.889,108,64,2,1,108,1,106,7.59e-17,77.4
BME_RS04610,CC_3714,43.243,74,39,2,26,96,41,114,2.91e-09,50.8
BME_RS04615,CC_3715,28.384,458,318,3,18,465,48,505,2.29e-59,201
BME_RS04620,CC_3724,49.901,503,244,3,1,495,11,513,1.34e-167,480
BME_RS04625,CC_2462,40.881,159,88,3,85,237,292,450,2.31e-27,106
BME_RS04635,CC_1425,48.070,285,147,1,1,284,1,285,2.59e-97,285
BME_RS04640,CC_2529,27.230,213,126,9,31,227,490,689,3.22e-11,59.7
BME_RS04645,CC_1426,71.560,327,93,0,4,330,6,332,3.60e-176,489
BME_RS04650,CC_0835,48.509,369,183,3,89,454,4,368,3.10e-111,336
BME_RS04655,CC_3105,31.269,323,206,6,2,318,1,313,2.88e-36,132
BME_RS04665,CC_0791,60.804,199,78,0,1,199,1,199,2.27e-84,245
BME_RS04670,CC_2674,45.714,245,124,4,9,251,5,242,8.60e-69,209
BME_RS04675,CC_1452,38.211,123,64,4,160,278,164,278,1.81e-09,54.3
BME_RS04685,CC_2271,43.972,141,78,1,19,159,22,161,5.18e-27,97.4
BME_RS04690,CC_1889,35.077,650,326,14,496,1119,299,878,7.79e-82,286
BME_RS04700,CC_0869,28.571,301,197,10,149,439,37,329,4.23e-19,84.7
BME_RS04705,CC_0638,48.737,396,197,4,6,397,21,414,9.29e-120,351
BME_RS04720,CC_2580,72.881,118,32,0,8,125,12,129,3.72e-63,187
BME_RS04725,CC_0526,31.818,154,99,4,1,150,1,152,3.84e-17,71.6
BME_RS04745,CC_1551,32.530,83,50,2,60,142,67,143,8.45e-10,52.4
BME_RS04755,CC_3224,40.154,259,148,2,21,272,9,267,1.02e-50,165
BME_RS04775,CC_3524,57.944,107,44,1,1,107,1,106,7.60e-44,135
BME_RS04795,CC_2320,26.935,323,213,6,1,319,1,304,6.34e-31,115
BME_RS04800,CC_2319,48.560,243,125,0,24,266,21,263,1.77e-68,211
BME_RS04805,CC_2318,38.211,369,218,4,23,390,11,370,1.34e-71,226
BME_RS04810,CC_3113,47.785,316,160,2,12,326,12,323,6.54e-84,254
BME_RS04815,CC_2622,58.366,759,311,3,13,770,4,758,0.0,864
BME_RS04825,CC_1905,37.425,334,173,6,3,326,9,316,3.72e-54,185
BME_RS04830,CC_3619,26.415,583,332,19,10,506,14,585,5.98e-31,124
BME_RS04840,CC_2300,66.519,451,149,2,1,449,1,451,0.0,643
BME_RS04845,CC_2302,53.524,454,205,3,1,449,1,453,1.24e-174,495
BME_RS04855,CC_2303,47.345,226,111,4,2,226,4,222,6.63e-55,172
BME_RS04860,CC_2305,42.439,205,118,0,10,214,12,216,1.41e-46,151
BME_RS04870,CC_1965,45.200,500,249,11,3,499,4,481,5.18e-115,345
BME_RS04875,CC_1968,77.679,112,25,0,1,112,1,112,3.86e-61,179
BME_RS04880,CC_1969,68.951,467,145,0,1,467,1,467,0.0,684
BME_RS04885,CC_1977,40.777,206,120,2,32,236,11,215,5.91e-47,154
BME_RS04895,CC_3033,26.941,219,144,5,92,302,96,306,1.03e-11,61.2
BME_RS04900,CC_1980,45.031,322,169,5,4,325,6,319,3.48e-91,272
BME_RS04905,CC_3420,34.021,582,325,17,18,566,269,824,5.64e-75,252
BME_RS04910,CC_1821,45.865,266,139,3,8,270,5,268,1.74e-80,241
BME_RS04915,CC_1822,48.649,259,133,0,1,259,4,262,1.37e-80,240
BME_RS04920,CC_1480,25.483,518,332,10,5,473,3,515,9.51e-34,131
BME_RS04925,CC_1823,35.913,323,189,8,38,354,26,336,4.47e-45,154
BME_RS04930,CC_1824,54.455,202,89,1,3,204,4,202,3.19e-70,210
BME_RS04935,CC_2161,38.683,243,141,2,42,284,49,283,1.78e-42,151
BME_RS04940,CC_1825,61.017,118,46,0,85,202,46,163,4.26e-46,158
BME_RS04945,CC_1503,51.327,113,55,0,3,115,8,120,9.20e-38,121
BME_RS04980,CC_2897,41.538,130,74,2,1,130,37,164,5.54e-26,92.8
BME_RS04985,CC_3595,48.760,121,61,1,1,120,1,121,3.35e-38,122
BME_RS04990,CC_1588,54.922,193,87,0,2,194,168,360,3.23e-77,233
BME_RS05065,CC_t02,92.000,25,2,0,1,25,1,25,1.06e-12,50.8
BME_RS05070,CC_t06,84.000,25,4,0,1,25,1,25,4.49e-09,42.0
BME_RS05075,CC_1511,27.778,432,271,9,99,523,98,495,3.50e-38,143
BME_RS05100,CC_0018,68.997,329,100,1,16,344,23,349,5.19e-165,461
BME_RS05115,CC_1441,43.373,83,47,0,35,117,40,122,3.62e-20,80.9
BME_RS05120,CC_2647,35.955,89,57,0,6,94,118,206,8.35e-15,63.5
BME_RS05125,CC_1574,59.375,288,113,2,4,291,1,284,2.99e-121,345
BME_RS05140,CC_1320,59.910,893,324,6,1,878,1,874,0.0,1061
BME_RS05145,CC_1319,51.220,41,20,0,201,241,134,174,2.38e-09,52.0
BME_RS05150,CC_1318,36.547,446,265,9,12,443,11,452,7.67e-70,226
BME_RS05155,CC_1317,35.874,223,109,6,1,222,1,190,1.44e-24,93.2
BME_RS05170,CC_1858,53.000,100,46,1,17,115,1,100,5.21e-35,114
BME_RS05175,CC_1847,61.111,378,144,2,1,377,1,376,1.13e-159,459
BME_RS05180,CC_1221,55.645,248,110,0,8,255,11,258,2.98e-94,275
BME_RS05190,CC_2277,25.379,264,166,7,5,260,3,243,2.85e-15,72.0
BME_RS05195,CC_1859,60.000,110,44,0,30,139,9,118,1.43e-47,146
BME_RS05200,CC_1860,60.546,403,157,2,11,413,7,407,0.0,511
BME_RS05205,CC_1861,31.880,367,202,6,42,407,5,324,1.86e-46,160
BME_RS05210,CC_1862,63.745,251,89,1,1,251,1,249,2.20e-116,330
BME_RS05215,CC_1864,74.016,508,112,4,1,507,1,489,0.0,800
BME_RS05220,CC_1865,43.570,381,198,6,8,383,8,376,2.89e-73,230
BME_RS05225,CC_1867,59.434,212,86,0,1,212,66,277,1.76e-95,277
BME_RS05230,CC_3443,36.275,102,65,0,4,105,3,104,1.58e-14,61.2
BME_RS05235,CC_1869,38.420,367,217,3,6,368,17,378,1.28e-74,233
BME_RS05240,CC_1870,57.108,415,177,1,2,416,5,418,3.23e-175,493
BME_RS05250,CC_1871,58.000,150,63,0,5,154,3,152,3.25e-64,190
BME_RS05265,CC_3595,48.760,121,61,1,1,120,1,121,2.12e-38,122
BME_RS05270,CC_1874,61.290,341,129,1,1,338,29,369,4.24e-154,434
BME_RS05275,CC_1875,46.556,784,356,16,10,782,5,736,0.0,664
BME_RS05280,CC_1876,35.859,396,222,11,22,410,17,387,6.84e-59,194
BME_RS05290,CC_1877,60.128,469,180,4,174,640,103,566,1.74e-176,531
BME_RS05295,CC_2455,43.155,336,184,4,7,341,2,331,7.10e-77,239
BME_RS05300,CC_1878,35.965,456,273,6,20,469,47,489,4.88e-83,262
BME_RS05305,CC_1879,38.739,222,125,6,47,265,31,244,8.16e-38,130
BME_RS05310,CC_1882,50.360,139,69,0,1,139,1,139,3.58e-49,152
