C_crescentus|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
CC_0620,BAB_RS28250,31.330,466,269,19,1,447,4,437,5.13e-46,166
CC_0621,BAB_RS28245,33.571,140,91,1,37,176,212,349,2.63e-20,89.0
CC_0623,BAB_RS28240,24.811,661,363,31,121,738,123,692,4.35e-25,108
CC_0629,BAB_RS29430,36.316,190,120,1,242,431,284,472,2.26e-36,136
CC_0630,BAB_RS16400,33.945,109,69,2,1,107,4,111,3.68e-11,53.1
CC_0634,BAB_RS18515,41.322,242,138,2,4,244,5,243,5.26e-60,187
CC_0635,BAB_RS18520,27.126,247,174,5,22,263,15,260,1.30e-24,95.9
CC_0637,BAB_RS30075,30.493,223,152,2,115,335,104,325,9.31e-21,87.8
CC_0638,BAB_RS21000,48.990,396,196,4,21,414,6,397,5.35e-124,362
CC_0640,BAB_RS21975,65.502,229,77,1,1,227,1,229,8.59e-95,274
CC_0641,BAB_RS21980,63.121,141,52,0,1,141,1,141,2.85e-67,197
CC_0644,BAB_RS21405,28.421,190,132,2,9,198,9,194,1.32e-14,67.8
CC_0648,BAB_RS23930,25.373,134,97,2,67,200,40,170,1.81e-08,48.9
CC_0652,BAB_RS18995,38.372,258,148,5,384,637,520,770,2.57e-43,164
CC_0653,BAB_RS24390,60.947,169,64,1,15,183,6,172,2.04e-72,214
CC_0654,BAB_RS24395,65.179,112,38,1,1,112,1,111,1.39e-50,152
CC_0655,BAB_RS16950,37.372,487,281,10,219,694,218,691,1.44e-94,304
CC_0656,BAB_RS24400,47.561,82,39,1,13,94,19,96,2.93e-17,68.2
CC_0657,BAB_RS24405,46.310,786,381,10,1,754,37,813,0.0,634
CC_0658,BAB_RS31735,27.758,562,364,16,15,544,9,560,3.69e-37,141
CC_0659,BAB_RS16790,48.603,179,92,0,1,179,1,179,9.61e-56,171
CC_0661,BAB_RS25530,55.682,88,39,0,1,88,1,88,2.57e-31,103
CC_0665,BAB_RS23120,68.116,69,22,0,1,69,1,69,1.89e-32,103
CC_0672,BAB_RS25560,56.158,609,254,5,9,612,22,622,0.0,662
CC_0684,BAB_RS18155,29.608,510,321,13,222,710,84,576,4.36e-46,171
CC_0685,BAB_RS27270,77.462,528,118,1,1,528,1,527,0.0,778
CC_0686,BAB_RS27275,77.660,94,21,0,1,94,4,97,2.53e-49,148
CC_0687,BAB_RS24995,73.913,46,12,0,18,63,77,122,1.20e-21,77.8
CC_0689,BAB_RS28025,39.752,161,92,3,60,217,187,345,2.29e-29,108
CC_0690,BAB_RS27390,28.500,400,245,10,14,408,13,376,3.32e-40,144
CC_0691,BAB_RS26790,32.432,185,116,4,18,197,17,197,7.55e-24,91.3
CC_0695,BAB_RS27380,53.446,653,258,10,1,637,1,623,0.0,625
CC_0700,BAB_RS16620,35.878,131,75,5,40,165,34,160,1.01e-15,67.4
CC_0701,BAB_RS27290,54.703,978,403,15,6,961,4,963,0.0,1023
CC_0702,BAB_RS18970,39.630,270,154,4,90,355,136,400,5.24e-53,179
CC_0703,BAB_RS27285,40.656,305,174,2,10,310,13,314,4.28e-72,223
CC_0705,BAB_RS27280,49.421,259,127,4,33,289,1,257,1.23e-76,233
CC_0709,BAB_RS17835,52.500,160,76,0,80,239,199,358,1.18e-47,158
CC_0710,BAB_RS18335,21.311,244,176,3,186,425,717,948,2.87e-08,52.4
CC_0713,BAB_RS27015,31.667,240,152,6,190,423,82,315,5.36e-25,102
CC_0715,BAB_RS25315,71.280,289,83,0,4,292,3,291,6.46e-157,436
CC_0721,BAB_RS24150,40.323,186,111,0,1,186,1,186,9.51e-56,171
CC_0723,BAB_RS18995,40.625,256,141,5,210,461,528,776,4.22e-43,161
CC_0726,BAB_RS25320,69.256,309,94,1,1,308,1,309,2.74e-139,393
CC_0727,BAB_RS25325,69.355,248,76,0,1,248,1,248,1.96e-122,345
CC_0729,BAB_RS25345,61.026,195,73,1,1,192,1,195,5.08e-81,236
CC_0730,BAB_RS25350,46.154,65,33,1,18,82,1,63,8.28e-12,52.0
CC_0732,BAB_RS17465,39.706,68,41,0,28,95,11,78,4.52e-08,48.1
CC_0736,BAB_RS31010,22.137,393,223,15,91,465,63,390,1.27e-11,62.4
CC_0738,BAB_RS23130,28.158,380,250,9,21,385,28,399,1.52e-36,134
CC_0740,BAB_RS16950,45.701,442,231,3,377,815,251,686,9.77e-125,388
CC_0741,BAB_RS28085,62.562,609,219,4,1,608,1,601,0.0,786
CC_0743,BAB_RS26580,46.565,262,137,1,15,276,25,283,4.64e-79,238
CC_0744,BAB_RS26575,62.185,119,44,1,1,118,1,119,1.16e-46,143
CC_0747,BAB_RS27875,28.708,209,119,7,23,213,38,234,2.19e-10,57.8
CC_0750,BAB_RS26960,33.217,286,188,2,4,288,4,287,1.63e-60,191
CC_0751,BAB_RS32575,29.814,161,94,4,25,182,13,157,7.97e-08,50.8
CC_0752,BAB_RS19160,35.354,198,124,1,18,211,43,240,7.86e-29,105
CC_0758,BAB_RS26565,42.188,192,110,1,5,195,9,200,1.70e-45,146
CC_0759,BAB_RS26560,35.391,243,156,1,251,493,111,352,4.01e-38,139
CC_0760,BAB_RS29815,36.685,537,293,14,11,512,10,534,3.76e-47,169
CC_0761,BAB_RS29820,37.805,492,271,13,82,546,79,562,2.58e-67,224
CC_0762,BAB_RS29810,62.428,519,184,3,1,514,1,513,0.0,653
CC_0763,BAB_RS29805,60.541,370,136,4,5,370,7,370,9.94e-158,446
CC_0766,BAB_RS30980,56.373,204,80,1,1,195,60,263,2.13e-70,212
CC_0767,BAB_RS30975,44.175,618,296,9,1,597,1,590,4.65e-174,504
CC_0768,BAB_RS30970,44.444,90,41,3,12,93,9,97,4.90e-14,62.0
CC_0769,BAB_RS30965,70.455,44,13,0,1,44,1,44,6.58e-17,62.8
CC_0770,BAB_RS24270,37.171,304,188,3,22,323,29,331,1.03e-49,165
CC_0772,BAB_RS26910,46.296,54,29,0,79,132,52,105,9.82e-11,57.0
CC_0779,BAB_RS28480,37.681,414,222,6,1,390,1,402,7.67e-79,245
CC_0783,BAB_RS27755,35.071,211,133,2,13,219,20,230,6.54e-31,111
CC_0784,BAB_RS27785,51.295,193,94,0,8,200,13,205,2.26e-60,184
CC_0785,BAB_RS27780,34.219,301,182,9,8,301,11,302,1.41e-40,140
CC_0790,BAB_RS16065,28.022,182,125,3,8,188,2,178,3.10e-09,53.5
CC_0791,BAB_RS21040,60.302,199,79,0,1,199,1,199,8.32e-84,243
CC_0792,BAB_RS31620,39.502,281,156,3,5,273,3,281,9.42e-38,131
CC_0793,BAB_RS31620,39.858,281,155,3,5,273,3,281,5.39e-39,134
CC_0794,BAB_RS31620,38.078,281,160,3,5,273,3,281,3.15e-36,127
CC_0804,BAB_RS28815,48.289,1023,482,15,6,1007,29,1025,0.0,843
CC_0805,BAB_RS23485,56.954,151,65,0,3,153,1,151,2.07e-62,186
CC_0806,BAB_RS20535,26.431,367,231,10,92,445,64,404,1.84e-12,65.5
CC_0807,BAB_RS17475,47.222,1044,540,7,2,1040,1,1038,0.0,934
CC_0808,BAB_RS17470,36.443,343,211,4,50,387,47,387,6.40e-52,175
CC_0810,BAB_RS30995,44.882,254,121,2,12,251,24,272,1.52e-77,233
CC_0814,BAB_RS27385,24.159,327,213,7,81,406,40,332,3.81e-11,61.6
CC_0819,BAB_RS27775,62.023,603,219,5,1,595,1,601,0.0,761
CC_0820,BAB_RS26090,32.857,280,182,4,13,288,14,291,3.44e-35,125
CC_0821,BAB_RS25640,36.626,243,146,5,11,246,2,243,4.70e-36,125
CC_0822,BAB_RS16905,53.602,472,217,2,6,476,5,475,8.43e-175,496
CC_0827,BAB_RS24880,44.366,142,78,1,1,142,1,141,2.28e-42,134
CC_0828,BAB_RS24885,50.000,274,131,2,7,280,4,271,1.68e-87,259
CC_0829,BAB_RS24890,69.512,82,25,0,1,82,1,82,6.64e-41,126
CC_0830,BAB_RS24895,41.429,210,123,0,48,257,50,259,8.29e-43,143
CC_0831,BAB_RS24900,49.324,296,133,5,7,295,10,295,3.14e-85,254
CC_0833,BAB_RS25175,65.385,130,45,0,5,134,9,138,3.38e-60,179
CC_0835,BAB_RS21055,48.780,369,182,3,4,368,89,454,2.87e-112,338
CC_0836,BAB_RS29430,35.110,319,198,4,434,750,158,469,6.44e-57,199
CC_0838,BAB_RS30685,34.234,222,141,2,6,226,23,240,4.25e-34,122
CC_0840,BAB_RS24870,56.356,236,102,1,12,247,8,242,4.97e-97,281
CC_0843,BAB_RS24865,60.849,424,155,5,1,414,1,423,1.02e-171,484
CC_0849,BAB_RS24860,52.727,715,333,5,10,720,7,720,0.0,709
CC_0851,BAB_RS24435,35.753,372,194,9,16,342,15,386,1.56e-49,169
CC_0855,BAB_RS27310,30.932,236,146,2,8,239,69,291,5.59e-29,111
CC_0856,BAB_RS24855,60.563,355,135,2,32,382,4,357,4.49e-156,440
CC_0857,BAB_RS18335,38.584,438,254,7,298,725,526,958,9.08e-84,282
CC_0859,BAB_RS23780,28.755,233,158,5,68,298,58,284,3.54e-18,80.5
CC_0860,BAB_RS23790,41.414,495,269,6,3,488,4,486,8.64e-120,358
CC_0861,BAB_RS23785,44.308,325,173,2,5,325,8,328,2.21e-77,237
CC_0869,BAB_RS21005,27.961,304,195,10,37,329,148,438,6.25e-19,83.6
CC_0875,BAB_RS24850,40.074,272,158,2,40,307,16,286,3.19e-60,191
CC_0876,BAB_RS24845,64.912,57,19,1,29,85,29,84,1.86e-18,80.9
CC_0877,BAB_RS24370,36.527,167,84,5,87,240,102,259,4.18e-22,91.3
CC_0878,BAB_RS24840,69.591,855,258,2,1,853,1,855,0.0,1212
CC_0884,BAB_RS24500,29.208,202,140,1,14,215,25,223,2.34e-15,69.3
CC_0885,BAB_RS19685,34.139,331,170,11,23,321,26,340,5.21e-30,114
CC_0886,BAB_RS19690,40.000,205,112,4,1,200,1,199,1.12e-39,131
CC_0887,BAB_RS18090,37.466,371,220,7,2,369,6,367,6.37e-73,229
CC_0888,BAB_RS28950,35.172,145,87,2,8,147,12,154,2.38e-20,79.0
CC_0894,BAB_RS30095,61.519,395,152,0,1,395,1,395,3.20e-162,458
CC_0896,BAB_RS16950,33.853,449,294,3,209,656,250,696,2.93e-64,222
CC_0897,BAB_RS23575,58.713,373,149,4,6,377,10,378,2.08e-156,442
CC_0899,BAB_RS31575,26.400,250,177,2,1,249,1,244,6.96e-09,55.1
CC_0901,BAB_RS31555,35.714,70,42,1,25,94,29,95,2.06e-08,48.1
CC_0902,BAB_RS31580,34.351,262,142,8,1,258,1,236,4.46e-20,89.4
CC_0903,BAB_RS23585,85.185,81,12,0,13,93,10,90,2.90e-48,145
CC_0905,BAB_RS31615,30.106,568,361,16,1,553,14,560,2.54e-71,236
CC_0908,BAB_RS26940,41.250,80,44,1,28,104,34,113,4.65e-19,72.8
CC_0909,BAB_RS21380,41.071,448,220,10,30,436,34,478,4.89e-93,287
CC_0910,BAB_RS31540,46.389,457,230,5,124,572,1,450,1.39e-119,366
CC_0915,BAB_RS28040,51.370,146,65,1,1,146,2,141,8.24e-48,148
CC_0916,BAB_RS28045,54.348,138,59,3,1,134,1,138,3.55e-43,135
CC_0918,BAB_RS18035,64.921,191,65,1,34,222,13,203,5.55e-91,263
CC_0919,BAB_RS26910,25.253,198,141,2,13,206,53,247,5.78e-08,48.1
CC_0921,BAB_RS18995,36.032,247,148,4,181,423,516,756,1.22e-37,145
CC_0922,BAB_RS26435,26.558,369,235,8,185,540,186,531,4.00e-27,113
CC_0923,BAB_RS18440,45.118,297,156,3,4,295,5,299,2.30e-80,242
CC_0924,BAB_RS28940,40.741,108,62,2,3,108,2,109,2.81e-20,77.0
CC_0927,BAB_RS17945,31.381,239,143,7,298,531,466,688,3.72e-17,81.6
CC_0928,BAB_RS28220,48.760,121,61,1,1,121,1,120,1.49e-38,123
CC_0929,BAB_RS28215,50.000,86,42,1,1,85,45,130,1.16e-22,81.6
CC_0930,BAB_RS27895,30.868,311,211,4,34,341,60,369,4.70e-22,92.8
CC_0931,BAB_RS19950,24.541,436,265,14,2,400,27,435,1.92e-26,106
CC_0932,BAB_RS19955,43.981,216,118,2,10,224,12,225,3.42e-53,168
CC_0933,BAB_RS18765,45.113,133,68,4,49,178,7,137,1.12e-29,103
CC_0934,BAB_RS18995,37.786,262,145,7,197,451,521,771,9.35e-36,139
CC_0935,BAB_RS23880,44.242,165,85,3,1,162,4,164,2.95e-39,128
CC_0936,BAB_RS18760,53.043,690,323,1,37,725,7,696,0.0,746
CC_0939,BAB_RS20485,25.587,383,232,14,6,361,51,407,2.09e-21,91.3
CC_0942,BAB_RS27640,43.885,139,60,4,13,140,14,145,2.29e-31,107
CC_0944,BAB_RS17460,26.195,523,329,14,22,501,73,581,1.09e-35,137
CC_0945,BAB_RS27685,45.055,546,278,6,8,550,6,532,2.00e-156,454
CC_0946,BAB_RS30290,27.034,381,223,10,47,420,30,362,2.28e-30,117
CC_0947,BAB_RS26345,31.734,271,169,4,6,276,3,257,2.91e-35,124
CC_0949,BAB_RS18765,58.140,129,50,2,49,176,14,139,1.12e-46,146
CC_0950,BAB_RS26385,38.361,305,182,3,1,301,8,310,1.20e-47,159
CC_0951,BAB_RS27110,49.793,241,113,4,26,260,7,245,8.60e-75,225
CC_0953,BAB_RS27060,32.000,100,50,3,8,106,16,98,1.49e-08,46.6
CC_0954,BAB_RS27065,52.273,132,59,2,10,138,8,138,6.35e-44,137
CC_0955,BAB_RS27070,36.986,73,46,0,31,103,39,111,1.67e-11,53.1
CC_0957,BAB_RS27820,78.221,551,120,0,4,554,5,555,0.0,879
CC_0958,BAB_RS27825,47.490,259,126,4,5,261,4,254,2.12e-78,235
CC_0959,BAB_RS27830,60.392,510,197,4,4,509,3,511,0.0,580
CC_0960,BAB_RS27835,68.182,396,125,1,6,400,8,403,0.0,514
CC_0961,BAB_RS27840,52.863,454,209,4,8,459,4,454,1.24e-158,453
CC_0962,BAB_RS27845,47.391,230,121,0,5,234,16,245,1.96e-65,200
CC_0964,BAB_RS28900,26.642,548,271,25,59,562,74,534,5.20e-27,111
CC_0966,BAB_RS17460,29.570,558,328,13,5,518,44,580,7.74e-67,223
CC_0967,BAB_RS27770,53.947,304,139,1,2,305,7,309,6.45e-109,316
CC_0969,BAB_RS16880,35.632,348,193,9,3,337,9,338,9.53e-53,174
CC_0977,BAB_RS19315,45.708,431,209,12,113,527,72,493,9.81e-107,325
CC_0979,BAB_RS21275,43.750,64,26,2,116,178,97,151,1.60e-09,51.6
CC_0980,BAB_RS28030,55.829,609,193,6,29,561,16,624,0.0,624
CC_0986,BAB_RS27180,30.189,212,138,4,15,217,18,228,1.52e-18,79.3
CC_0988,BAB_RS25295,26.419,458,281,12,6,433,3,434,7.69e-33,125
CC_0991,BAB_RS22470,32.680,153,85,6,18,161,19,162,7.55e-10,58.9
CC_0994,BAB_RS31195,67.299,211,69,0,3,213,6,216,1.39e-108,308
CC_0998,BAB_RS19330,34.783,529,328,5,1,527,1,514,5.77e-104,322
CC_1008,BAB_RS18155,37.089,213,130,3,343,553,375,585,2.16e-38,146
CC_1010,BAB_RS18530,51.003,349,145,4,1,325,1,347,5.05e-123,354
CC_1011,BAB_RS22040,29.134,127,76,4,95,210,19,142,3.55e-09,50.8
CC_1012,BAB_RS18525,47.191,356,182,3,7,362,3,352,3.97e-107,316
CC_1015,BAB_RS20535,28.062,449,311,5,7,452,5,444,1.36e-38,143
CC_1019,BAB_RS22940,47.403,462,195,5,15,475,26,440,2.42e-132,387
CC_1021,BAB_RS29345,38.655,119,65,2,9,123,25,139,9.18e-21,79.0
CC_1025,BAB_RS31290,25.092,271,186,8,167,431,211,470,3.83e-10,59.3
CC_1034,BAB_RS31055,79.035,601,125,1,49,648,2,602,0.0,995
CC_1035,BAB_RS23600,49.342,152,77,0,65,216,39,190,1.10e-49,157
CC_1039,BAB_RS31195,38.462,156,92,2,30,181,51,206,1.84e-27,100
CC_1043,BAB_RS26055,51.108,812,374,12,1,798,1,803,0.0,721
CC_1044,BAB_RS26050,58.424,368,142,2,1,357,1,368,4.46e-165,462
CC_1045,BAB_RS26040,70.085,117,35,0,1,117,1,117,1.35e-53,161
CC_1046,BAB_RS26035,62.121,66,25,0,1,66,1,66,3.72e-26,87.4
CC_1047,BAB_RS28575,24.528,371,259,8,2,360,31,392,7.28e-20,87.4
CC_1049,BAB_RS26025,72.515,171,47,0,3,173,8,178,5.40e-88,252
CC_1052,BAB_RS23165,30.000,220,140,5,126,343,144,351,3.37e-13,66.2
CC_1053,BAB_RS26015,50.612,245,114,4,12,252,16,257,3.43e-72,220
CC_1055,BAB_RS31080,41.812,287,162,3,1,284,1,285,2.71e-68,211
CC_1057,BAB_RS20115,40.541,296,162,8,7,297,7,293,6.40e-49,162
CC_1058,BAB_RS18775,37.209,86,54,0,29,114,58,143,1.99e-15,64.7
CC_1059,BAB_RS18780,39.850,133,77,1,90,219,102,234,6.09e-19,79.3
CC_1060,BAB_RS26770,53.420,307,134,3,4,308,6,305,1.11e-119,343
CC_1061,BAB_RS18790,56.028,141,56,2,1,139,1,137,9.16e-51,155
CC_1062,BAB_RS23650,34.335,233,144,2,37,260,795,1027,3.76e-42,150
CC_1063,BAB_RS18995,45.868,242,126,4,311,550,528,766,5.18e-59,207
CC_1065,BAB_RS18810,39.216,102,55,2,1,96,1,101,1.36e-18,71.6
CC_1070,BAB_RS31165,53.143,525,232,4,9,532,7,518,0.0,560
CC_1071,BAB_RS19080,29.032,341,212,9,65,388,37,364,3.08e-27,108
CC_1075,BAB_RS31550,40.741,81,48,0,4,84,4,84,6.38e-17,65.9
CC_1076,BAB_RS31530,30.396,227,136,7,13,228,15,230,2.46e-19,81.3
CC_1077,BAB_RS26925,40.282,355,208,4,1,353,1,353,3.22e-76,236
CC_1078,BAB_RS20995,48.284,408,207,2,283,689,450,854,4.60e-114,360
CC_1080,BAB_RS17585,39.474,114,61,4,17,127,92,200,1.78e-12,58.5
CC_1086,BAB_RS30405,30.120,249,163,5,284,526,260,503,3.70e-29,117
CC_1087,BAB_RS21770,74.148,352,89,2,3,352,2,353,0.0,546
CC_1093,BAB_RS22470,28.082,146,93,3,47,192,34,167,9.65e-08,52.0
CC_1096,BAB_RS19395,35.547,256,156,3,1,247,1,256,1.26e-44,149
CC_1098,BAB_RS19115,41.176,68,40,0,157,224,118,185,3.17e-11,57.8
CC_1099,BAB_RS22470,35.593,118,66,5,95,206,49,162,7.17e-10,59.3
CC_1103,BAB_RS27245,35.845,438,248,5,2,438,7,412,4.74e-73,232
CC_1109,BAB_RS27135,35.821,268,157,6,7,262,11,275,3.65e-40,137
CC_1110,BAB_RS28450,68.085,376,120,0,12,387,11,386,0.0,550
CC_1111,BAB_RS29215,66.667,399,106,2,1,398,1,373,0.0,513
CC_1117,BAB_RS27945,35.235,298,185,3,29,324,5,296,2.05e-56,182
CC_1118,BAB_RS16760,48.750,240,121,1,24,261,224,463,1.50e-62,202
CC_1119,BAB_RS16770,59.747,554,216,4,1,550,1,551,0.0,689
CC_1120,BAB_RS16780,39.496,119,71,1,16,134,17,134,3.26e-22,84.7
CC_1121,BAB_RS16775,51.131,221,101,3,26,242,30,247,1.88e-74,223
CC_1122,BAB_RS31290,22.553,470,291,16,29,440,16,470,5.32e-15,75.1
CC_1124,BAB_RS23125,43.814,194,106,1,3,193,2,195,3.83e-52,163
CC_1133,BAB_RS27245,24.251,367,249,11,21,367,30,387,3.91e-11,60.8
CC_1134,BAB_RS31820,27.039,233,147,8,17,241,104,321,1.23e-10,58.2
CC_1137,BAB_RS16880,31.153,321,208,8,12,327,7,319,3.47e-33,122
CC_1138,BAB_RS22470,24.521,261,158,8,351,609,393,616,2.98e-13,68.9
CC_1141,BAB_RS26695,25.283,265,160,9,2,233,9,268,1.93e-08,50.8
CC_1146,BAB_RS29665,61.613,310,119,0,4,313,18,327,1.59e-143,405
CC_1147,BAB_RS30685,29.154,319,200,8,18,319,16,325,4.33e-35,127
CC_1149,BAB_RS17695,25.786,318,202,7,87,390,145,442,1.35e-16,77.8
CC_1150,BAB_RS17700,33.000,200,131,1,2,198,7,206,7.79e-30,106
CC_1151,BAB_RS27880,48.649,370,186,3,8,375,9,376,8.09e-125,362
CC_1152,BAB_RS25940,31.897,116,70,2,3,115,4,113,4.23e-13,63.5
CC_1155,BAB_RS19305,24.138,348,239,11,9,339,8,347,6.26e-14,68.6
CC_1156,BAB_RS19310,26.816,179,115,2,12,174,2,180,1.25e-12,65.5
CC_1158,BAB_RS23460,39.203,301,173,5,3,295,1,299,5.55e-61,193
CC_1162,BAB_RS17600,34.366,355,225,4,43,390,45,398,1.24e-51,175
CC_1164,BAB_RS31060,29.583,240,160,4,8,240,14,251,4.48e-23,94.0
CC_1165,BAB_RS17460,34.807,181,103,5,382,557,410,580,7.48e-20,89.7
CC_1168,BAB_RS16650,24.615,195,136,2,20,207,37,227,6.41e-13,62.4
CC_1170,BAB_RS26430,28.856,201,116,6,9,202,28,208,3.28e-12,60.8
CC_1172,BAB_RS31800,24.950,505,291,18,34,501,2,455,2.80e-21,93.2
CC_1173,BAB_RS30765,33.929,112,53,4,161,260,126,228,1.75e-10,57.8
CC_1181,BAB_RS29965,36.013,311,188,4,170,474,162,467,8.17e-59,197
CC_1182,BAB_RS29960,50.431,232,113,2,20,250,5,235,1.22e-73,221
CC_1183,BAB_RS23225,55.502,209,92,1,44,251,6,214,4.05e-81,240
CC_1184,BAB_RS26620,28.736,261,152,9,265,510,213,454,1.26e-11,63.2
CC_1185,BAB_RS16540,59.826,575,224,3,2,573,52,622,0.0,613
CC_1187,BAB_RS16625,48.263,259,133,1,4,261,28,286,1.09e-86,257
CC_1188,BAB_RS16630,52.189,297,135,4,9,299,83,378,2.27e-98,291
CC_1189,BAB_RS17490,40.265,452,251,9,15,453,159,604,3.22e-91,286
CC_1190,BAB_RS22705,41.667,60,35,0,21,80,67,126,9.28e-11,56.6
CC_1191,BAB_RS22465,28.870,239,159,6,10,240,14,249,1.36e-14,68.6
CC_1192,BAB_RS22460,44.318,264,146,1,81,343,68,331,2.99e-44,152
CC_1193,BAB_RS22455,41.102,236,132,2,4,233,3,237,5.51e-54,172
CC_1194,BAB_RS19120,35.964,659,389,12,27,663,25,672,1.47e-98,315
CC_1195,BAB_RS19125,54.138,290,131,2,6,293,2,291,1.61e-111,321
CC_1196,BAB_RS19130,63.758,149,53,1,3,151,11,158,9.60e-65,192
CC_1203,BAB_RS17390,29.333,300,208,1,34,333,68,363,7.59e-37,133
CC_1204,BAB_RS17395,38.327,1028,601,9,5,1021,14,1019,0.0,634
CC_1206,BAB_RS20420,44.928,138,72,3,30,164,1,137,2.50e-31,107
CC_1207,BAB_RS28220,46.154,117,57,3,7,121,6,118,1.03e-30,103
CC_1210,BAB_RS27165,45.361,97,53,0,49,145,25,121,4.42e-30,103
CC_1211,BAB_RS17505,40.116,172,71,5,1,141,1,171,1.24e-30,106
CC_1213,BAB_RS28650,39.474,76,45,1,31,105,27,102,1.65e-09,50.4
CC_1214,BAB_RS25885,47.143,140,72,2,4,142,7,145,2.50e-30,103
CC_1215,BAB_RS25365,52.381,147,69,1,5,150,10,156,4.10e-49,152
CC_1216,BAB_RS27935,59.438,498,190,3,11,507,13,499,0.0,579
CC_1217,BAB_RS28550,58.784,296,116,4,51,343,2,294,8.01e-114,329
CC_1221,BAB_RS20505,55.645,248,110,0,11,258,8,255,6.05e-89,261
CC_1223,BAB_RS30125,54.374,423,192,1,71,493,11,432,1.75e-159,456
CC_1225,BAB_RS28865,28.571,336,222,6,37,366,6,329,4.52e-29,111
CC_1227,BAB_RS17580,55.449,312,139,0,4,315,1,312,6.50e-128,365
CC_1229,BAB_RS22055,36.752,117,69,3,15,128,7,121,1.66e-14,68.9
CC_1230,BAB_RS22700,37.643,263,164,0,14,276,7,269,3.66e-46,160
CC_1235,BAB_RS28220,46.154,117,57,3,7,121,6,118,1.03e-30,103
CC_1236,BAB_RS20420,44.928,138,72,3,30,164,1,137,2.50e-31,107
CC_1237,BAB_RS22400,21.463,205,137,4,18,210,16,208,9.06e-09,52.0
CC_1239,BAB_RS22015,37.500,264,153,6,11,269,25,281,1.43e-45,152
CC_1240,BAB_RS22000,80.808,396,71,1,1,396,1,391,0.0,635
CC_1242,BAB_RS28945,42.857,245,134,3,51,291,25,267,1.61e-53,172
CC_1243,BAB_RS27885,54.582,753,323,6,16,755,17,763,0.0,800
CC_1247,BAB_RS21925,90.196,102,10,0,1,102,1,102,7.81e-65,187
CC_1248,BAB_RS21920,65.766,222,76,0,7,228,2,223,9.02e-109,310
CC_1249,BAB_RS21915,62.136,206,77,1,1,206,1,205,1.43e-88,256
CC_1250,BAB_RS21910,75.269,93,23,0,6,98,5,97,1.54e-46,141
CC_1251,BAB_RS21905,75.180,278,67,2,1,277,1,277,5.54e-141,394
CC_1252,BAB_RS21900,77.174,92,21,0,1,92,1,92,3.45e-50,150
CC_1253,BAB_RS21895,62.903,124,46,0,1,124,1,124,4.65e-51,155
CC_1254,BAB_RS21890,72.650,234,63,1,1,234,1,233,6.08e-129,361
CC_1255,BAB_RS21885,82.222,135,24,0,1,135,1,135,3.88e-83,237
CC_1256,BAB_RS21880,66.129,62,21,0,1,62,1,62,1.16e-24,83.6
CC_1257,BAB_RS21875,64.557,79,28,0,1,79,1,79,1.75e-31,102
CC_1258,BAB_RS21870,81.148,122,23,0,1,122,1,122,5.86e-72,207
CC_1259,BAB_RS21865,56.863,102,42,2,4,104,3,103,5.79e-36,115
CC_1260,BAB_RS21860,69.945,183,55,0,1,183,1,183,3.95e-98,278
CC_1261,BAB_RS21855,70.297,101,30,0,1,101,1,101,5.14e-48,145
CC_1262,BAB_RS21850,66.667,132,44,0,1,132,1,132,7.73e-62,182
CC_1263,BAB_RS21845,59.322,177,72,0,1,177,1,177,8.43e-71,209
CC_1264,BAB_RS21840,70.339,118,30,1,4,116,3,120,1.34e-46,143
CC_1265,BAB_RS21835,74.850,167,42,0,31,197,20,186,5.85e-85,246
CC_1266,BAB_RS21830,61.905,63,22,1,1,61,1,63,2.55e-22,77.8
CC_1267,BAB_RS21825,54.248,153,70,0,3,155,2,154,9.78e-53,161
CC_1268,BAB_RS21820,60.364,439,166,5,1,438,12,443,0.0,536
CC_1269,BAB_RS21815,52.332,193,86,1,1,187,1,193,2.23e-64,194
CC_1270,BAB_RS21810,87.611,113,14,0,1,113,1,113,1.56e-68,199
CC_1271,BAB_RS21805,80.620,129,25,0,1,129,1,129,2.50e-77,221
CC_1272,BAB_RS21800,75.668,337,81,1,1,337,1,336,0.0,532
CC_1273,BAB_RS21795,75.200,125,31,0,1,125,1,125,2.96e-68,199
CC_1276,BAB_RS30685,41.232,211,113,4,3,207,31,236,1.16e-43,149
CC_1278,BAB_RS27685,56.981,530,226,1,11,540,5,532,0.0,611
CC_1281,BAB_RS28575,25.414,181,126,6,195,372,51,225,3.33e-09,55.5
CC_1282,BAB_RS21790,45.532,470,236,8,15,472,11,472,2.19e-125,370
CC_1283,BAB_RS21785,63.318,428,153,3,1,425,1,427,0.0,539
CC_1284,BAB_RS20805,42.035,226,125,3,36,256,95,319,1.28e-47,158
CC_1286,BAB_RS27585,38.645,251,144,3,7,256,5,246,2.43e-45,149
CC_1287,BAB_RS23450,28.402,169,114,2,58,226,66,227,1.36e-22,88.6
CC_1291,BAB_RS28220,48.760,121,61,1,1,121,1,120,1.49e-38,123
CC_1292,BAB_RS28215,50.000,86,42,1,1,85,45,130,1.16e-22,81.6
CC_1293,BAB_RS18975,42.975,242,128,2,1,242,1,232,1.17e-59,185
CC_1294,BAB_RS23650,29.134,254,165,4,274,515,780,1030,1.80e-26,110
