Melitensis16M|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS02565,AYT27_RS05930,59.783,460,185,0,5,464,1,460,0.0,551
BME_RS02570,AYT27_RS05925,73.734,316,83,0,1,316,1,316,0.0,500
BME_RS02575,AYT27_RS05920,68.439,301,95,0,1,301,1,301,6.47e-168,464
BME_RS02590,AYT27_RS05915,77.694,399,89,0,1,399,1,399,0.0,653
BME_RS02600,AYT27_RS05910,74.242,66,17,0,1,66,1,66,3.00e-35,110
BME_RS02615,AYT27_RS05905,80.603,1160,225,0,1,1160,1,1160,0.0,1967
BME_RS02635,AYT27_RS05895,70.175,399,118,1,1,398,1,399,0.0,602
BME_RS02645,AYT27_RS05880,60.682,557,219,0,1,557,1,557,0.0,694
BME_RS02650,AYT27_RS05870,47.920,649,314,6,1,645,1,629,0.0,603
BME_RS02655,AYT27_RS05865,78.487,674,136,4,1,672,1,667,0.0,1037
BME_RS02665,AYT27_RS05860,55.634,142,63,0,3,144,4,145,1.48e-62,185
BME_RS02675,AYT27_RS05855,39.474,228,119,4,27,249,31,244,1.09e-46,152
BME_RS02680,AYT27_RS05850,96.000,25,1,0,1,25,1,25,4.85e-12,48.5
BME_RS02685,AYT27_RS03545,28.859,149,94,3,9,157,206,342,2.79e-08,47.8
BME_RS02725,AYT27_RS05815,57.759,348,143,2,6,351,6,351,3.57e-143,405
BME_RS02730,AYT27_RS05810,59.799,199,80,0,1,199,1,199,4.28e-91,261
BME_RS02735,AYT27_RS06900,43.284,67,38,0,6,72,43,109,1.55e-14,58.9
BME_RS02770,AYT27_RS05800,85.792,549,78,0,1,549,1,549,0.0,969
BME_RS02780,AYT27_RS05610,62.269,432,160,3,13,442,2,432,0.0,549
BME_RS02790,AYT27_RS05795,40.683,322,168,1,6,327,5,303,6.45e-76,232
BME_RS02805,AYT27_RS00905,35.613,351,199,11,25,359,76,415,2.58e-57,188
BME_RS02825,AYT27_RS06350,29.452,292,124,9,44,259,21,306,3.01e-30,111
BME_RS02830,AYT27_RS05780,61.983,121,46,0,94,214,48,168,5.13e-52,161
BME_RS02840,AYT27_RS05770,64.174,321,109,1,17,337,24,338,7.92e-143,404
BME_RS02845,AYT27_RS05765,37.681,138,74,4,1,132,3,134,6.02e-28,96.3
BME_RS02850,AYT27_RS05760,68.727,534,164,2,49,581,35,566,0.0,753
BME_RS02855,AYT27_RS05755,60.168,477,189,1,10,485,6,482,0.0,593
BME_RS02860,AYT27_RS05750,52.452,469,221,2,10,477,4,471,3.89e-171,486
BME_RS02865,AYT27_RS05745,75.000,360,86,1,1,360,1,356,0.0,530
BME_RS02870,AYT27_RS05740,54.095,464,205,2,1,457,1,463,1.72e-171,486
BME_RS02875,AYT27_RS05735,64.690,371,130,1,1,370,1,371,6.27e-171,478
BME_RS02880,AYT27_RS05730,57.258,372,157,2,4,375,1,370,2.24e-147,418
BME_RS02885,AYT27_RS05725,73.876,467,118,2,1,466,1,464,0.0,679
BME_RS02890,AYT27_RS05720,66.134,313,106,0,5,317,9,321,3.57e-150,421
BME_RS02895,AYT27_RS05715,67.961,309,95,2,1,308,1,306,7.56e-153,426
BME_RS02900,AYT27_RS05710,39.493,276,167,0,29,304,20,295,1.40e-75,230
BME_RS02905,AYT27_RS05705,65.501,429,146,1,12,440,7,433,0.0,577
BME_RS02910,AYT27_RS05700,59.316,585,177,8,1,549,1,560,9.17e-180,515
BME_RS02915,AYT27_RS05695,48.763,283,144,1,1,282,5,287,5.20e-102,296
BME_RS02920,AYT27_RS05690,61.569,255,97,1,25,278,34,288,1.85e-113,325
BME_RS02925,AYT27_RS05685,65.280,553,191,1,1,552,1,553,0.0,693
BME_RS02930,AYT27_RS05680,65.042,718,245,5,1,716,1,714,0.0,961
BME_RS02940,AYT27_RS05670,57.990,607,254,1,3,608,2,608,0.0,752
BME_RS02945,AYT27_RS05665,55.594,286,124,1,3,285,4,289,7.08e-110,316
BME_RS02950,AYT27_RS05660,44.974,189,95,3,9,190,5,191,2.68e-54,167
BME_RS02955,AYT27_RS05655,61.538,208,80,0,20,227,1,208,3.51e-104,296
BME_RS02965,AYT27_RS05650,66.082,855,210,4,1,855,1,775,0.0,1164
BME_RS02980,AYT27_RS02210,30.626,431,266,13,61,467,48,469,1.11e-48,169
BME_RS02995,AYT27_RS05645,46.774,62,33,0,7,68,14,75,1.12e-16,63.9
BME_RS03000,AYT27_RS05640,50.909,55,27,0,1,55,1,55,1.04e-13,55.5
BME_RS03010,AYT27_RS05635,56.021,191,72,5,1,189,1,181,1.58e-66,197
BME_RS03020,AYT27_RS04985,30.855,269,178,6,9,272,24,289,2.11e-28,111
BME_RS03025,AYT27_RS05625,47.000,100,51,2,1,100,1,98,2.76e-26,89.7
BME_RS03030,AYT27_RS05605,79.545,264,54,0,1,264,1,264,1.26e-165,455
BME_RS03035,AYT27_RS05600,52.121,165,79,0,6,170,5,169,7.89e-68,200
BME_RS03040,AYT27_RS05595,45.932,381,194,5,1,379,1,371,9.79e-112,328
BME_RS03045,AYT27_RS05590,46.233,292,148,3,1,290,1,285,8.68e-83,248
BME_RS03055,AYT27_RS05585,57.143,497,191,5,29,524,30,505,0.0,542
BME_RS03070,AYT27_RS05580,49.825,285,141,1,7,291,4,286,4.66e-92,271
BME_RS03075,AYT27_RS05575,72.362,597,165,0,11,607,3,599,0.0,916
BME_RS03085,AYT27_RS05570,78.820,373,79,0,1,373,1,373,0.0,624
BME_RS03095,AYT27_RS05565,64.082,245,87,1,1,245,1,244,1.52e-111,317
BME_RS03110,AYT27_RS05560,81.121,339,64,0,1,339,1,339,0.0,586
BME_RS03245,AYT27_RS04240,29.730,111,75,2,14,124,3,110,1.30e-10,58.2
BME_RS03265,AYT27_RS02560,38.855,332,186,6,14,329,30,360,4.78e-53,174
BME_RS03270,AYT27_RS02555,35.686,255,150,5,14,257,12,263,2.61e-47,154
BME_RS03275,AYT27_RS06150,24.188,277,156,7,6,274,6,236,7.79e-10,55.1
BME_RS03290,AYT27_RS05410,29.386,228,149,4,1,225,1,219,3.78e-28,103
BME_RS03295,AYT27_RS02775,29.600,250,162,5,4,252,3,239,8.72e-24,92.4
BME_RS03310,AYT27_RS05545,92.000,25,2,0,1,25,1,25,1.51e-10,44.7
BME_RS03320,AYT27_RS05535,63.883,515,184,1,5,517,2,516,0.0,682
BME_RS03355,AYT27_RS05530,53.416,322,143,3,1,320,1,317,6.24e-112,323
BME_RS03360,AYT27_RS05525,57.951,566,237,1,1,566,1,565,0.0,588
BME_RS03365,AYT27_RS05520,62.605,837,309,4,1,836,1,834,0.0,1036
BME_RS03375,AYT27_RS05510,37.926,733,439,5,82,806,60,784,1.90e-165,496
BME_RS03380,AYT27_RS05505,32.099,81,55,0,16,96,10,90,5.39e-13,55.5
BME_RS03385,AYT27_RS06520,23.209,349,230,15,499,840,47,364,3.57e-11,61.2
BME_RS03400,AYT27_RS05920,33.071,127,83,1,12,136,5,131,7.25e-13,63.5
BME_RS03440,AYT27_RS06615,31.503,346,190,9,5,332,10,326,4.09e-48,161
BME_RS03515,AYT27_RS04935,54.217,166,76,0,8,173,12,177,1.01e-67,200
BME_RS03560,AYT27_RS02490,24.180,244,114,9,38,212,33,274,4.10e-08,47.8
BME_RS03565,AYT27_RS04290,54.545,264,105,4,1,249,1,264,1.34e-99,287
BME_RS03570,AYT27_RS04295,73.978,269,70,0,1,269,1,269,1.57e-157,436
BME_RS03575,AYT27_RS04300,55.319,235,105,0,1,235,1,235,1.20e-97,281
BME_RS03585,AYT27_RS05125,96.000,25,1,0,1,25,1,25,4.32e-11,45.8
BME_RS03600,AYT27_RS05915,28.312,385,253,11,19,388,19,395,8.93e-38,137
BME_RS03605,AYT27_RS05120,70.872,436,124,1,1,436,1,433,0.0,639
BME_RS03610,AYT27_RS05115,79.692,325,66,0,4,328,3,327,0.0,511
BME_RS03615,AYT27_RS05715,33.465,254,154,7,96,345,57,299,1.74e-35,127
BME_RS03620,AYT27_RS04025,57.770,592,248,2,1,591,1,591,0.0,672
BME_RS03635,AYT27_RS04265,67.027,185,60,1,1,185,1,184,2.27e-90,259
BME_RS03640,AYT27_RS04270,46.296,162,79,3,2,157,8,167,3.46e-44,140
BME_RS03645,AYT27_RS04275,66.667,252,84,0,5,256,5,256,1.06e-126,356
BME_RS03655,AYT27_RS04285,66.176,68,23,0,1,68,1,68,5.24e-31,99.4
BME_RS03675,AYT27_RS03100,45.045,222,114,3,14,231,19,236,1.85e-60,187
BME_RS03685,AYT27_RS03105,56.786,280,108,3,8,284,4,273,1.32e-107,309
BME_RS03695,AYT27_RS03115,95.833,24,1,0,1,24,1,24,4.78e-10,43.1
BME_RS03700,AYT27_RS05370,90.793,391,36,0,1,391,1,391,0.0,704
BME_RS03705,AYT27_RS03125,92.000,25,2,0,1,25,1,25,4.92e-11,45.8
BME_RS03710,AYT27_RS03130,67.241,58,19,0,1,58,1,58,5.50e-25,84.0
BME_RS03715,AYT27_RS03135,74.432,176,44,1,1,175,1,176,5.09e-94,266
BME_RS03720,AYT27_RS03140,84.507,142,22,0,1,142,1,142,2.24e-90,254
BME_RS03725,AYT27_RS03145,77.826,230,51,0,1,230,1,230,7.85e-132,367
BME_RS03730,AYT27_RS03150,75.000,172,43,0,1,172,1,172,3.66e-97,274
BME_RS03735,AYT27_RS03155,87.903,124,14,1,1,124,1,123,6.28e-56,166
BME_RS03740,AYT27_RS03160,87.083,1378,177,1,1,1377,5,1382,0.0,2501
BME_RS03745,AYT27_RS03165,87.759,1397,170,1,1,1396,1,1397,0.0,2571
BME_RS03755,AYT27_RS05385,95.935,123,5,0,1,123,1,123,4.33e-85,240
BME_RS03760,AYT27_RS05380,87.821,156,19,0,1,156,1,156,2.18e-104,291
BME_RS03765,AYT27_RS05375,91.210,694,61,0,1,694,1,694,0.0,1300
BME_RS03770,AYT27_RS05370,90.793,391,36,0,1,391,1,391,0.0,704
BME_RS03775,AYT27_RS05365,98.039,102,2,0,1,102,1,102,5.46e-71,202
BME_RS03780,AYT27_RS05360,88.106,227,27,0,1,227,1,227,4.80e-152,419
BME_RS03785,AYT27_RS05355,70.760,171,50,0,1,171,1,171,2.22e-89,257
BME_RS03790,AYT27_RS05350,84.536,97,15,0,1,97,1,97,9.59e-57,166
BME_RS03795,AYT27_RS05345,86.282,277,38,0,1,277,1,277,3.64e-173,475
BME_RS03800,AYT27_RS05340,91.304,92,8,0,1,92,1,92,9.30e-61,176
BME_RS03805,AYT27_RS05335,88.372,129,15,0,1,129,1,129,6.50e-82,232
BME_RS03810,AYT27_RS05330,89.407,236,25,0,1,236,1,236,5.30e-162,443
BME_RS03815,AYT27_RS05325,91.971,137,11,0,1,137,1,137,1.32e-93,262
BME_RS03820,AYT27_RS05320,71.212,66,19,0,1,66,1,66,1.64e-29,95.5
BME_RS03825,AYT27_RS05315,83.544,79,13,0,1,79,1,79,1.51e-45,136
BME_RS03830,AYT27_RS05310,94.262,122,7,0,1,122,1,122,1.38e-81,231
BME_RS03835,AYT27_RS05305,79.808,104,20,1,1,103,1,104,2.00e-56,166
BME_RS03840,AYT27_RS05300,81.081,185,35,0,1,185,1,185,3.56e-115,321
BME_RS03845,AYT27_RS05295,80.198,101,20,0,1,101,1,101,2.52e-58,170
BME_RS03850,AYT27_RS05290,81.818,132,24,0,1,132,1,132,1.16e-78,224
BME_RS03855,AYT27_RS05285,77.401,177,40,0,1,177,1,177,1.81e-103,291
BME_RS03860,AYT27_RS05280,70.833,120,35,0,1,120,1,120,1.00e-53,160
BME_RS03865,AYT27_RS05275,84.324,185,25,1,1,185,1,181,1.66e-112,314
BME_RS03870,AYT27_RS05270,72.059,68,16,1,1,65,1,68,1.91e-29,95.1
BME_RS03875,AYT27_RS05265,71.429,154,44,0,1,154,1,154,1.57e-76,221
BME_RS03880,AYT27_RS05260,78.222,450,92,2,1,446,1,448,0.0,714
BME_RS03885,AYT27_RS05255,63.874,191,69,0,1,191,1,191,1.34e-88,254
BME_RS03890,AYT27_RS05250,88.496,113,13,0,1,113,1,113,2.24e-70,202
BME_RS03895,AYT27_RS05245,93.798,129,8,0,1,129,1,129,3.73e-91,256
BME_RS03900,AYT27_RS05240,83.086,337,57,0,1,337,1,337,0.0,584
BME_RS03905,AYT27_RS05235,80.741,135,26,0,1,135,1,135,5.80e-79,226
BME_RS03910,AYT27_RS05230,60.793,454,173,5,23,474,13,463,0.0,545
BME_RS03915,AYT27_RS05225,76.620,432,101,0,3,434,4,435,0.0,706
BME_RS03920,AYT27_RS00385,51.149,174,85,0,18,191,20,193,3.66e-61,185
BME_RS03925,AYT27_RS07685,30.769,104,72,0,106,209,60,163,4.52e-10,52.8
BME_RS03930,AYT27_RS05220,87.021,339,44,0,14,352,1,339,0.0,614
BME_RS03935,AYT27_RS05215,73.190,884,234,2,1,882,1,883,0.0,1341
BME_RS03945,AYT27_RS05130,86.600,403,54,0,1,403,1,403,0.0,749
BME_RS03960,AYT27_RS04305,67.407,270,88,0,1,270,1,270,2.76e-135,379
BME_RS03965,AYT27_RS04310,55.985,259,114,0,18,276,3,261,2.03e-114,326
BME_RS03990,AYT27_RS04115,51.818,440,204,3,1,440,1,432,6.29e-152,443
BME_RS03995,AYT27_RS00175,27.273,209,140,5,6,206,39,243,2.15e-14,69.7
BME_RS04035,AYT27_RS03170,52.419,124,59,0,4,127,4,127,9.40e-43,133
BME_RS04050,AYT27_RS03180,68.094,467,147,1,1,467,1,465,0.0,663
BME_RS04065,AYT27_RS03190,50.000,430,192,4,43,469,39,448,1.13e-147,425
BME_RS04070,AYT27_RS03195,58.095,105,42,1,14,116,20,124,7.88e-43,132
BME_RS04075,AYT27_RS03200,71.974,760,206,2,1,760,1,753,0.0,1113
BME_RS04080,AYT27_RS03205,68.571,140,44,0,1,140,1,140,5.52e-70,203
BME_RS04090,AYT27_RS00950,39.815,108,60,3,13,118,3,107,2.36e-14,66.2
BME_RS04095,AYT27_RS03210,60.784,153,60,0,1,153,1,153,1.87e-63,187
BME_RS04100,AYT27_RS03215,42.481,266,152,1,14,278,7,272,2.01e-84,250
BME_RS04110,AYT27_RS03220,84.980,253,38,0,1,253,1,253,3.56e-169,463
BME_RS04115,AYT27_RS03225,75.896,307,72,1,1,305,1,307,1.09e-160,446
BME_RS04120,AYT27_RS03230,78.243,239,52,0,1,239,1,239,2.05e-136,379
BME_RS04125,AYT27_RS03235,79.570,186,38,0,1,186,1,186,2.61e-107,301
BME_RS04135,AYT27_RS03240,49.077,271,131,3,1,267,1,268,3.95e-76,228
BME_RS04140,AYT27_RS03245,43.132,364,194,4,23,378,21,379,8.37e-105,310
BME_RS04145,AYT27_RS03250,59.148,798,309,3,1,781,1,798,0.0,969
BME_RS04150,AYT27_RS03255,60.116,346,138,0,1,346,1,346,1.53e-158,444
BME_RS04155,AYT27_RS03260,61.333,150,58,0,1,150,2,151,1.57e-71,208
BME_RS04160,AYT27_RS03265,64.151,265,95,0,1,265,1,265,5.03e-129,363
BME_RS04165,AYT27_RS03270,52.174,276,132,0,18,293,11,286,1.86e-98,287
BME_RS04170,AYT27_RS03275,56.010,391,168,1,8,394,6,396,1.71e-155,440
BME_RS04175,AYT27_RS03300,80.420,429,84,0,1,429,1,429,0.0,751
BME_RS04180,AYT27_RS03305,75.906,469,113,0,4,472,2,470,0.0,751
BME_RS04185,AYT27_RS03310,33.482,224,138,4,9,231,15,228,1.87e-32,121
BME_RS04190,AYT27_RS03310,39.053,507,294,6,3,506,278,772,4.96e-110,342
BME_RS04195,AYT27_RS04330,63.333,240,82,1,1,240,1,234,3.43e-111,315
BME_RS04220,AYT27_RS02940,34.127,630,406,7,1,626,1,625,1.45e-130,393
BME_RS04225,AYT27_RS02945,66.535,254,85,0,1,254,1,254,3.94e-124,349
BME_RS04230,AYT27_RS02950,44.444,153,63,3,1,145,1,139,3.76e-25,90.1
BME_RS04235,AYT27_RS06030,52.229,157,74,1,75,230,61,217,1.44e-60,186
BME_RS04240,AYT27_RS02955,82.841,542,93,0,1,542,1,542,0.0,924
BME_RS04245,AYT27_RS02960,73.091,275,74,0,1,275,1,275,8.63e-155,429
BME_RS04250,AYT27_RS02965,76.555,418,98,0,1,418,1,418,0.0,674
BME_RS04260,AYT27_RS02975,56.863,102,44,0,1,102,1,102,1.84e-38,121
BME_RS04265,AYT27_RS02980,75.434,346,85,0,1,346,1,346,0.0,533
BME_RS04270,AYT27_RS02985,75.054,461,111,1,1,461,1,457,0.0,720
BME_RS04275,AYT27_RS02990,66.295,448,144,4,1,447,1,442,0.0,596
BME_RS04280,AYT27_RS02995,79.877,487,97,1,1,487,1,486,0.0,810
BME_RS04290,AYT27_RS03000,79.560,318,64,1,1,318,1,317,0.0,529
BME_RS04295,AYT27_RS03005,66.443,149,50,0,1,149,1,149,3.60e-76,219
BME_RS04300,AYT27_RS02775,29.851,201,137,2,9,208,10,207,9.69e-25,94.7
BME_RS04305,AYT27_RS03010,57.692,156,66,0,8,163,7,162,8.19e-60,179
BME_RS04310,AYT27_RS03015,61.168,394,153,0,54,447,2,395,2.19e-175,493
BME_RS04315,AYT27_RS04140,27.778,288,176,11,22,283,14,295,5.21e-18,79.3
BME_RS04320,AYT27_RS04920,26.923,260,176,6,110,360,444,698,1.48e-19,86.3
BME_RS04325,AYT27_RS03030,33.194,479,283,7,10,482,5,452,1.34e-85,267
BME_RS04330,AYT27_RS03025,56.159,755,325,3,15,767,1,751,0.0,847
BME_RS04335,AYT27_RS03030,75.330,454,108,2,1,453,1,451,0.0,707
BME_RS04340,AYT27_RS03035,65.721,458,157,0,1,458,1,458,0.0,627
BME_RS04345,AYT27_RS03040,47.273,220,106,4,1,215,1,215,2.43e-59,186
BME_RS04350,AYT27_RS03865,88.462,78,9,0,1,78,1,78,1.19e-50,149
BME_RS04355,AYT27_RS03870,57.788,443,175,3,16,457,9,440,9.12e-172,486
BME_RS04360,AYT27_RS03045,84.211,209,33,0,1,209,1,209,3.54e-137,379
BME_RS04365,AYT27_RS03050,87.736,424,52,0,1,424,1,424,0.0,779
BME_RS04370,AYT27_RS03055,79.151,801,165,2,14,812,7,807,0.0,1314
BME_RS04375,AYT27_RS03060,71.111,90,26,0,1,90,1,90,1.28e-42,130
BME_RS04380,AYT27_RS05175,77.433,966,217,1,1,966,1,965,0.0,1555
BME_RS04385,AYT27_RS05170,68.182,176,44,3,1,168,1,172,4.63e-80,231
BME_RS04405,AYT27_RS05165,81.859,893,161,1,10,902,14,905,0.0,1516
BME_RS04415,AYT27_RS05160,65.244,164,57,0,1,164,1,164,4.87e-76,220
BME_RS04420,AYT27_RS05155,66.848,184,51,3,13,193,13,189,9.45e-86,247
BME_RS04425,AYT27_RS05150,78.788,165,35,0,4,168,5,169,2.88e-100,282
BME_RS04435,AYT27_RS05145,74.797,369,93,0,4,372,3,371,0.0,588
BME_RS04445,AYT27_RS00675,25.444,338,228,5,36,371,49,364,1.63e-22,93.6
BME_RS04450,AYT27_RS00680,33.992,1012,648,8,6,1006,22,1024,1.46e-176,539
BME_RS04460,AYT27_RS05920,33.108,148,97,1,13,158,8,155,4.00e-21,87.4
BME_RS04475,AYT27_RS03970,92.857,28,2,0,1,28,1,28,7.85e-13,50.4
BME_RS04510,AYT27_RS03970,96.429,28,1,0,1,28,1,28,3.09e-13,51.6
BME_RS04530,AYT27_RS03965,63.636,187,68,0,26,212,17,203,2.56e-95,273
BME_RS04535,AYT27_RS03960,54.225,142,65,0,1,142,1,142,3.86e-57,171
BME_RS04540,AYT27_RS03955,70.476,105,31,0,15,119,10,114,1.27e-50,152
BME_RS04545,AYT27_RS03190,50.000,158,78,1,34,191,44,200,7.69e-48,157
BME_RS04550,AYT27_RS03190,28.000,225,117,5,6,186,224,447,4.06e-16,71.2
BME_RS04555,AYT27_RS03950,78.875,658,138,1,1,657,1,658,0.0,1122
BME_RS04560,AYT27_RS05080,50.000,262,128,3,69,328,54,314,7.49e-91,270
BME_RS04575,AYT27_RS03825,48.889,270,138,0,3,272,3,272,1.90e-92,270
BME_RS04610,AYT27_RS06430,33.000,100,59,3,38,133,24,119,9.85e-11,53.9
BME_RS04615,AYT27_RS06435,29.461,482,322,6,18,485,39,516,3.04e-66,218
BME_RS04625,AYT27_RS02320,25.786,159,109,6,85,236,532,688,2.75e-10,56.2
BME_RS04640,AYT27_RS05215,27.308,260,128,11,1,224,458,692,1.38e-10,56.6
BME_RS04645,AYT27_RS05490,24.038,312,207,9,7,302,21,318,1.49e-15,72.8
BME_RS04650,AYT27_RS05475,60.138,434,166,3,79,512,1,427,0.0,517
BME_RS04655,AYT27_RS05490,65.403,422,143,1,1,419,4,425,0.0,586
BME_RS04670,AYT27_RS06355,28.205,195,133,2,8,198,365,556,3.46e-17,76.3
BME_RS04695,AYT27_RS05875,55.473,402,177,1,3,404,3,402,7.68e-159,449
BME_RS04715,AYT27_RS04925,45.361,97,53,0,1,97,1,97,6.94e-20,82.4
BME_RS04720,AYT27_RS04930,82.609,138,24,0,1,138,1,138,1.83e-83,237
BME_RS04785,AYT27_RS03860,28.789,1643,961,29,26,1582,1,1520,0.0,645
BME_RS04800,AYT27_RS06570,35.652,230,143,3,23,249,6,233,1.24e-42,145
BME_RS04815,AYT27_RS03855,77.516,765,171,1,9,773,11,774,0.0,1191
BME_RS04825,AYT27_RS03340,59.382,453,183,1,3,455,2,453,0.0,552
BME_RS04830,AYT27_RS03335,64.051,548,196,1,11,558,5,551,0.0,745
BME_RS04840,AYT27_RS03330,79.778,450,91,0,1,450,1,450,0.0,783
BME_RS04845,AYT27_RS03325,61.739,460,175,1,4,463,4,462,0.0,607
BME_RS04850,AYT27_RS03320,48.052,154,79,1,6,158,6,159,1.16e-46,147
BME_RS04855,AYT27_RS03315,59.545,220,89,0,5,224,4,223,2.02e-86,252
BME_RS04875,AYT27_RS05180,75.000,112,28,0,1,112,1,112,7.70e-60,175
BME_RS04880,AYT27_RS05185,81.663,469,86,0,1,469,1,469,0.0,827
BME_RS04885,AYT27_RS05195,50.000,258,126,2,1,257,1,256,1.92e-91,267
BME_RS04900,AYT27_RS05205,73.231,325,87,0,1,325,1,325,0.0,514
BME_RS04905,AYT27_RS05210,63.272,599,215,1,1,599,1,594,0.0,816
BME_RS04910,AYT27_RS04370,59.924,262,105,0,9,270,6,267,1.08e-117,334
BME_RS04915,AYT27_RS04365,65.234,256,89,0,1,256,1,256,2.10e-130,365
BME_RS04920,AYT27_RS04360,63.708,507,183,1,4,509,3,509,0.0,713
BME_RS04925,AYT27_RS04355,43.529,340,186,2,9,348,8,341,1.17e-101,300
BME_RS04930,AYT27_RS04350,50.704,213,103,2,1,211,1,213,5.37e-78,229
BME_RS04935,AYT27_RS04345,49.444,360,182,0,37,396,28,387,1.25e-127,369
BME_RS04940,AYT27_RS04340,42.491,273,129,6,20,268,14,282,2.06e-65,207
BME_RS04990,AYT27_RS05145,75.610,205,50,0,1,205,167,371,2.16e-117,335
BME_RS05010,AYT27_RS01315,36.140,285,127,8,1,236,1,279,2.64e-56,177
BME_RS05015,AYT27_RS07545,36.464,181,111,2,9,186,1,180,2.29e-36,121
BME_RS05050,AYT27_RS03545,25.000,340,226,12,16,337,17,345,9.97e-13,63.9
BME_RS05060,AYT27_RS05885,67.901,81,26,0,1,81,1,81,1.26e-34,109
BME_RS05065,AYT27_RS03355,95.833,24,1,0,1,24,1,24,1.91e-12,49.3
BME_RS05070,AYT27_RS03760,84.000,25,4,0,1,25,1,25,1.82e-09,42.0
BME_RS05090,AYT27_RS05020,25.967,362,223,13,2,326,6,359,9.89e-19,82.8
BME_RS05115,AYT27_RS03295,39.535,129,75,1,18,146,9,134,2.30e-32,111
BME_RS05140,AYT27_RS05420,70.088,906,271,0,1,906,1,906,0.0,1377
BME_RS05150,AYT27_RS05430,50.463,432,210,3,4,434,10,438,6.43e-143,412
BME_RS05155,AYT27_RS05435,57.143,224,94,1,1,222,1,224,3.32e-86,251
BME_RS05170,AYT27_RS03820,66.116,121,40,1,1,121,1,120,2.95e-56,167
BME_RS05175,AYT27_RS03345,69.456,478,127,2,1,478,5,463,0.0,671
BME_RS05180,AYT27_RS03350,65.726,248,85,0,8,255,8,255,9.93e-125,351
BME_RS05185,AYT27_RS04110,100.000,25,0,0,1,25,1,25,1.34e-12,49.7
BME_RS05195,AYT27_RS04420,75.000,136,31,1,4,139,1,133,8.24e-71,205
BME_RS05200,AYT27_RS04425,68.370,411,130,0,3,413,2,412,0.0,612
BME_RS05205,AYT27_RS04430,45.833,408,219,2,15,421,12,418,2.73e-135,391
BME_RS05210,AYT27_RS04435,79.283,251,52,0,1,251,1,251,1.32e-149,413
BME_RS05215,AYT27_RS04440,86.588,507,64,1,1,507,1,503,0.0,934
BME_RS05220,AYT27_RS04445,51.969,381,176,3,6,383,4,380,2.35e-133,383
BME_RS05225,AYT27_RS04450,82.960,223,38,0,1,223,1,223,2.35e-145,400
BME_RS05240,AYT27_RS04455,72.222,414,115,0,3,416,3,416,0.0,642
BME_RS05250,AYT27_RS04460,61.745,149,56,1,7,154,3,151,1.40e-65,193
BME_RS05270,AYT27_RS04465,79.651,344,70,0,1,344,11,354,0.0,552
BME_RS05275,AYT27_RS04470,63.980,819,287,4,8,819,4,821,0.0,1088
BME_RS05280,AYT27_RS04475,48.387,403,186,6,18,415,18,403,6.76e-126,366
BME_RS05290,AYT27_RS04485,67.257,678,179,7,1,677,1,636,0.0,901
BME_RS05295,AYT27_RS05915,29.141,326,217,8,8,323,9,330,3.15e-33,124
BME_RS05305,AYT27_RS04125,46.919,211,109,2,49,256,71,281,2.79e-69,211
BME_RS05310,AYT27_RS00600,58.571,140,58,0,1,140,1,140,3.25e-53,161
BME_RS05315,AYT27_RS04120,57.143,154,65,1,4,156,10,163,4.69e-59,177
BME_RS05320,AYT27_RS04115,84.650,443,68,0,1,443,1,443,0.0,790
BME_RS05330,AYT27_RS03090,60.156,128,51,0,20,147,8,135,9.05e-59,175
BME_RS05335,AYT27_RS03085,60.448,134,49,1,1,134,1,130,2.05e-60,178
BME_RS05345,AYT27_RS03080,83.367,499,83,0,1,499,1,499,0.0,887
BME_RS05350,AYT27_RS03075,66.737,472,148,3,9,475,1,468,0.0,633
BME_RS05355,AYT27_RS03070,100.000,27,0,0,1,27,1,27,1.19e-15,57.8
BME_RS05370,AYT27_RS08340,64.444,45,16,0,1,45,1,45,1.77e-17,63.9
BME_RS05375,AYT27_RS03065,73.684,456,118,2,8,463,7,460,0.0,707
BME_RS05380,AYT27_RS02935,46.667,270,143,1,7,275,7,276,1.68e-84,251
BME_RS05385,AYT27_RS02930,65.891,129,43,1,1,129,1,128,1.51e-59,176
BME_RS05390,AYT27_RS05520,37.407,671,409,5,86,751,158,822,3.44e-146,445
BME_RS05395,AYT27_RS02925,66.667,114,37,1,1,113,1,114,7.12e-54,161
BME_RS05405,AYT27_RS02920,44.656,262,112,2,202,432,133,392,8.47e-77,240
BME_RS05415,AYT27_RS02915,48.804,209,106,1,15,222,11,219,3.70e-71,212
BME_RS05425,AYT27_RS02910,72.104,423,118,0,1,423,1,423,0.0,638
BME_RS05430,AYT27_RS02905,48.485,264,135,1,1,264,1,263,1.85e-86,255
BME_RS05435,AYT27_RS02900,39.062,128,68,2,1,118,1,128,4.65e-21,80.9
BME_RS05440,AYT27_RS02895,58.333,48,19,1,1,47,1,48,1.39e-11,51.2
BME_RS05460,AYT27_RS05100,23.689,515,325,14,489,984,374,839,3.47e-29,120
BME_RS05465,AYT27_RS05095,67.692,585,189,0,1,585,1,585,0.0,858
BME_RS05470,AYT27_RS05090,62.594,401,148,1,1,401,1,399,0.0,522
BME_RS05475,AYT27_RS05085,69.811,106,32,0,3,108,2,107,2.61e-54,160
