S_meliloti|Q.,C_crescentus|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SMa0372,CC_2517,29.054,296,203,3,1,294,1,291,2.35e-36,129
SMa0380,CC_0658,25.818,550,360,18,39,569,22,542,2.20e-24,104
SMa0383,CC_0403,27.296,392,248,12,10,377,24,402,1.56e-08,53.5
SMa0387,CC_2534,36.901,355,215,4,5,357,19,366,6.52e-70,221
SMa0389,CC_1492,43.969,257,137,4,1,253,1,254,7.12e-56,177
SMa0391,CC_3134,40.390,359,206,2,19,369,15,373,3.91e-81,250
SMa0392,CC_3137,26.144,306,205,13,9,307,12,303,2.84e-13,67.0
SMa0394,CC_3136,33.190,232,136,4,74,288,59,288,8.87e-26,101
SMa0396,CC_3135,28.629,248,161,6,7,243,47,289,1.12e-26,102
SMa0398,CC_2346,40.100,399,227,5,49,445,33,421,1.98e-77,244
SMa0400,CC_2837,28.530,347,230,6,1,333,1,343,1.24e-20,88.2
SMa0402,CC_0962,30.508,236,159,2,9,242,3,235,2.91e-28,104
SMa0404,CC_1151,44.032,377,199,4,1,371,1,371,6.47e-92,278
SMa0414,CC_3610,30.270,185,105,5,263,429,228,406,3.24e-11,62.4
SMa0424,CC_3610,30.366,191,100,6,55,224,228,406,2.79e-08,52.0
SMa0444,CC_2742,25.296,253,174,5,25,276,37,275,3.39e-17,76.6
SMa0470,CC_2669,42.739,241,128,7,359,599,9,239,3.59e-39,144
SMa0478,CC_3215,32.927,246,158,6,104,348,54,293,3.15e-29,115
SMa0483,CC_2252,41.262,206,117,2,92,293,55,260,1.19e-47,158
SMa0485,CC_3399,36.697,436,260,7,2,434,1,423,1.40e-83,263
SMa0489,CC_1439,48.684,228,117,0,22,249,11,238,1.03e-72,219
SMa0492,CC_1440,35.945,217,130,2,2,218,4,211,1.03e-36,125
SMa0493,CC_1440,31.343,201,117,3,30,230,34,213,2.40e-22,88.2
SMa0495,CC_1441,32.051,234,137,7,30,260,41,255,2.80e-32,116
SMa0498,CC_3510,27.338,278,173,7,2,264,6,269,1.02e-18,81.3
SMa0501,CC_1440,37.306,193,121,0,15,207,13,205,3.87e-35,121
SMa0503,CC_1440,36.923,195,123,0,18,212,21,215,1.04e-33,117
SMa0506,CC_1441,31.897,232,154,4,25,255,27,255,4.57e-27,102
SMa0508,CC_1439,55.882,238,105,0,1,238,1,238,2.52e-85,251
SMa0510,CC_2147,38.721,297,176,2,20,314,25,317,8.67e-63,199
SMa0512,CC_2837,29.326,341,217,12,1,328,1,330,8.30e-26,102
SMa0513,CC_3384,36.015,261,151,3,6,250,5,265,8.35e-48,156
SMa0516,CC_1574,30.605,281,191,2,4,283,2,279,1.43e-27,105
SMa0525,CC_3135,27.650,217,146,5,384,594,94,305,1.25e-09,56.6
SMa0526,CC_3134,48.117,239,118,1,1,239,14,246,3.54e-75,234
SMa0527,CC_1351,33.333,171,102,4,4,164,2,170,6.23e-14,64.3
SMa0551,CC_2616,24.227,388,249,13,5,375,63,422,3.82e-09,55.1
SMa0552,CC_0388,41.727,139,77,3,3,140,6,141,8.10e-22,87.8
SMa0557,CC_2517,32.042,284,186,2,12,295,10,286,1.88e-37,131
SMa0563,CC_3002,56.380,337,135,4,1,329,1,333,1.09e-125,360
SMa0564,CC_1507,31.834,289,151,12,55,308,66,343,1.83e-29,114
SMa0567,CC_3581,30.657,137,88,3,47,178,507,641,2.97e-10,55.5
SMa0579,CC_2482,28.033,239,130,8,422,642,449,663,9.62e-11,62.0
SMa0581,CC_0611,69.767,258,78,0,1,258,1,258,4.38e-135,379
SMa0583,CC_0610,64.885,262,92,0,34,295,33,294,6.14e-110,317
SMa0585,CC_0609,63.402,388,140,2,42,429,44,429,0.0,516
SMa0592,CC_2735,27.507,349,186,16,59,357,64,395,2.29e-10,58.5
SMa0607,CC_2518,29.412,153,101,5,368,515,295,445,1.30e-08,53.9
SMa0609,CC_2518,33.071,127,73,4,44,167,50,167,4.99e-13,63.5
SMa0610,CC_2518,33.846,195,107,9,74,263,252,429,4.21e-18,80.5
SMa0612,CC_1401,53.578,517,225,4,16,522,18,529,0.0,575
SMa0615,CC_1402,56.485,239,104,0,6,244,7,245,4.77e-91,266
SMa0617,CC_1404,42.160,287,162,1,1,287,1,283,3.88e-77,234
SMa0621,CC_1407,44.126,698,367,9,46,733,32,716,7.46e-160,478
SMa0622,CC_1408,50.980,51,25,0,1,51,1,51,1.47e-14,58.9
SMa0626,CC_0201,36.893,103,64,1,81,182,119,221,5.00e-16,73.9
SMa0627,CC_1504,30.526,190,114,6,3,188,8,183,7.69e-12,59.7
SMa0656,CC_1761,47.416,329,171,1,1,329,1,327,2.27e-94,281
SMa0662,CC_0752,41.463,205,108,3,13,210,16,215,1.63e-41,137
SMa0670,CC_3416,50.237,211,105,0,38,248,10,220,2.87e-70,214
SMa0678,CC_3126,29.909,438,288,7,10,438,1,428,1.86e-37,139
SMa0684,CC_3126,38.657,432,252,6,8,433,7,431,1.13e-76,242
SMa0695,CC_2242,35.862,290,157,9,45,333,47,308,1.44e-51,170
SMa0705,CC_0785,33.861,316,188,11,7,313,3,306,6.51e-42,144
SMa0707,CC_1195,25.000,260,163,9,17,256,5,252,1.33e-11,60.8
SMa0708,CC_0532,29.141,326,193,6,53,343,19,341,4.53e-26,105
SMa0713,CC_3134,48.101,158,82,0,4,161,15,172,2.06e-51,167
SMa0715,CC_2383,27.485,342,206,13,3,326,4,321,2.48e-15,72.4
SMa0717,CC_0820,37.895,285,170,6,281,563,3,282,1.79e-51,175
SMa0719,CC_3076,35.270,241,151,4,1,238,13,251,1.02e-33,119
SMa0738,CC_2903,63.492,63,21,1,1,61,1,63,4.91e-23,80.1
SMa0744,CC_0685,77.863,524,115,1,1,523,1,524,0.0,799
SMa0745,CC_0686,78.261,92,20,0,6,97,3,94,9.61e-50,149
SMa0748,CC_0949,54.472,123,55,1,11,133,50,171,3.82e-47,148
SMa0750,CC_1117,27.425,299,205,6,1,288,23,320,3.28e-32,119
SMa0751,CC_3122,26.110,383,236,10,16,387,34,380,5.19e-28,111
SMa0752,CC_2394,24.585,301,177,7,57,344,43,306,9.64e-17,76.6
SMa0753,CC_2275,46.324,136,73,0,7,142,16,151,9.06e-33,114
SMa0757,CC_2143,29.553,291,187,4,8,295,11,286,2.38e-27,105
SMa0758,CC_2275,46.324,136,73,0,7,142,16,151,4.27e-34,116
SMa0759,CC_0758,44.444,81,42,2,1,80,90,168,5.36e-13,60.1
SMa0762,CC_0752,38.389,211,123,1,8,211,6,216,7.88e-46,148
SMa0765,CC_1401,68.269,520,148,3,7,518,19,529,0.0,714
SMa0766,CC_1402,68.908,238,72,2,1,236,1,238,8.46e-115,326
SMa0769,CC_1404,46.713,289,151,2,1,287,1,288,6.63e-89,263
SMa0772,CC_1011,30.667,150,91,5,34,183,76,212,6.54e-10,53.1
SMa0789,CC_2392,33.835,133,78,2,27,151,16,146,2.03e-12,61.6
SMa0792,CC_2411,26.695,236,160,8,30,259,18,246,1.77e-10,57.8
SMa0793,CC_2275,42.384,151,86,1,7,156,16,166,1.50e-30,110
SMa0794,CC_1957,24.481,241,163,6,26,264,37,260,2.43e-10,57.8
SMa0796,CC_3141,39.496,476,276,7,5,471,19,491,3.80e-99,304
SMa0799,CC_3137,24.627,268,188,7,46,302,67,331,2.19e-10,57.8
SMa0800,CC_3136,34.909,275,153,5,29,279,26,298,1.44e-43,148
SMa0802,CC_3135,32.773,238,148,3,25,253,61,295,7.08e-32,116
SMa0803,CC_3134,45.608,296,157,3,3,296,12,305,1.17e-82,253
SMa0805,CC_3140,61.407,469,176,3,22,488,12,477,0.0,584
SMa0815,CC_3315,46.694,242,128,1,200,440,144,385,6.15e-70,229
SMa0817,CC_1334,24.304,395,263,10,5,373,11,395,2.87e-21,93.2
SMa0819,CC_0726,35.172,290,161,10,58,339,38,308,1.01e-34,126
SMa0822,CC_0727,31.507,219,138,6,1,217,1,209,3.85e-21,87.0
SMa0840,CC_2143,29.795,292,185,7,8,295,11,286,4.57e-28,107
SMa0841,CC_2741,65.079,63,22,0,73,135,22,84,1.66e-22,82.4
SMa0846,CC_2742,61.111,36,14,0,12,47,213,248,8.25e-12,55.8
SMa0849,CC_2143,29.333,300,186,7,27,318,4,285,2.03e-13,66.6
SMa0853,CC_1678,38.118,425,237,6,3,402,2,425,4.09e-82,255
SMa0854,CC_1675,59.350,246,99,1,1,245,1,246,1.16e-93,272
SMa0855,CC_1483,67.340,297,97,0,3,299,15,311,1.81e-153,429
SMa0857,CC_1482,59.905,631,245,2,1,627,1,627,0.0,767
SMa0863,CC_3372,23.830,235,172,2,18,246,8,241,9.90e-13,63.2
SMa0864,CC_0188,35.065,308,186,5,53,349,18,322,1.15e-47,161
SMa0870,CC_2143,31.741,293,187,6,3,295,7,286,4.43e-28,107
SMa0874,CC_0942,44.966,149,78,3,1,149,1,145,5.36e-39,127
SMa0875,CC_3197,32.315,1015,635,17,7,1004,21,1000,7.82e-150,471
SMa0876,CC_1203,25.083,303,201,8,54,349,37,320,2.78e-13,67.0
SMa0878,CC_0118,55.428,608,269,2,1,608,1,606,0.0,665
SMa0886,CC_2466,33.553,152,101,0,80,231,178,329,2.78e-22,91.3
SMa0888,CC_3213,41.784,213,111,5,25,226,3,213,3.38e-25,97.4
SMa0890,CC_3212,44.060,463,242,8,22,473,1,457,1.18e-91,283
SMa0892,CC_3211,50.046,1081,475,12,3,1038,6,1066,0.0,1008
SMa0939,CC_0759,38.136,236,141,4,397,630,260,492,1.67e-37,143
SMa0940,CC_0758,40.933,193,112,2,2,193,4,195,2.56e-43,141
SMa0941,CC_0758,35.345,116,75,0,7,122,6,121,2.22e-19,76.6
SMa0943,CC_1172,29.676,401,214,12,45,401,31,407,1.39e-24,103
SMa0951,CC_3135,28.455,246,160,3,40,274,55,295,4.08e-26,102
SMa0952,CC_3136,36.923,260,138,4,43,277,35,293,4.63e-45,152
SMa0953,CC_3134,43.529,340,177,3,6,335,15,349,1.62e-88,269
SMa0955,CC_3142,31.395,172,111,3,55,222,1,169,1.29e-15,69.3
SMa0956,CC_3139,30.825,412,258,9,42,443,69,463,6.52e-37,137
SMa0958,CC_2100,30.812,542,340,16,8,533,1,523,2.80e-54,190
SMa0959,CC_1816,35.606,264,148,9,1,256,1,250,6.87e-33,122
SMa0961,CC_0294,33.766,231,141,5,5,228,5,230,1.42e-26,100
SMa0969,CC_0294,33.193,238,141,5,14,245,3,228,5.40e-28,103
SMa0972,CC_1355,30.685,365,221,16,61,410,47,394,2.56e-24,100
SMa0977,CC_1761,47.416,329,171,1,1,329,1,327,2.37e-94,281
SMa0985,CC_2352,25.899,278,192,5,2,265,16,293,1.88e-12,63.2
SMa1001,CC_3058,40.099,202,106,6,191,390,133,321,6.75e-32,122
SMa1013,CC_2726,35.169,563,336,9,277,820,117,669,4.88e-93,303
SMa1014,CC_3082,43.333,60,34,0,2,61,10,69,8.05e-11,52.8
SMa1016,CC_2957,30.061,163,96,6,7,163,5,155,3.48e-09,55.1
SMa1029,CC_2742,25.296,253,174,5,25,276,37,275,4.87e-17,76.3
SMa1038,CC_0964,46.429,112,58,1,96,207,75,184,6.18e-22,95.1
SMa1050,CC_2862,52.727,110,52,0,4,113,4,113,1.21e-17,75.1
SMa1056,CC_2864,43.011,93,53,0,18,110,13,105,2.47e-24,87.0
SMa1057,CC_2866,53.030,264,121,3,162,423,1,263,9.59e-93,278
SMa1060,CC_2518,29.938,481,251,17,1,451,18,442,6.98e-38,140
SMa1062,CC_2518,27.887,355,160,13,9,275,99,445,2.72e-22,92.4
SMa1076,CC_1994,23.936,188,125,4,18,194,17,197,2.98e-09,51.2
SMa1077,CC_0414,48.649,148,64,2,22,157,30,177,9.46e-38,124
SMa1087,CC_2726,36.637,565,326,11,188,732,121,673,3.56e-90,293
SMa1095,CC_1452,40.984,61,35,1,32,92,211,270,4.44e-10,51.6
SMa1104,CC_1696,36.986,73,46,0,3,75,88,160,5.40e-10,49.7
SMa1120,CC_1929,45.413,218,114,1,75,287,6,223,1.70e-55,176
SMa1124,CC_2722,28.804,184,117,4,202,382,218,390,3.03e-08,52.0
SMa1128,CC_1282,34.677,372,218,9,83,434,99,465,4.55e-48,168
SMa1131,CC_0811,49.430,526,261,4,6,528,4,527,5.41e-159,460
SMa1138,CC_1182,48.750,160,79,2,1,160,96,252,5.13e-33,114
SMa1139,CC_1182,49.206,63,32,0,12,74,19,81,8.25e-16,66.6
SMa1141,CC_0752,36.813,182,112,2,37,218,28,206,2.91e-32,114
SMa1142,CC_3225,39.882,509,255,11,27,498,201,695,2.63e-91,291
SMa1147,CC_1452,34.821,112,69,2,154,265,164,271,2.29e-09,53.9
SMa1149,CC_1452,30.986,142,88,4,137,277,148,280,4.22e-09,53.1
SMa1155,CC_2726,25.085,590,326,16,95,675,128,610,3.69e-25,108
SMa1156,CC_2837,35.030,334,197,8,29,357,27,345,1.19e-51,172
SMa1158,CC_1452,27.948,229,127,9,68,280,74,280,4.97e-10,55.8
SMa1162,CC_1700,45.161,62,33,1,19,79,9,70,5.00e-08,47.4
SMa1163,CC_2726,34.281,563,329,13,115,644,116,670,1.10e-73,250
SMa1168,CC_0277,41.451,193,111,2,2,193,5,196,6.32e-49,155
SMa1184,CC_1518,38.961,231,132,3,4,232,6,229,1.32e-46,154
SMa1188,CC_3062,33.218,289,155,15,31,301,35,303,3.53e-22,92.4
SMa1207,CC_1410,28.713,202,135,6,29,226,26,222,4.92e-15,68.9
SMa1208,CC_1408,50.000,44,22,0,1,44,1,44,6.11e-12,51.2
SMa1209,CC_1407,44.924,719,373,11,24,733,12,716,2.78e-173,512
SMa1210,CC_1406,30.233,129,87,2,3,129,7,134,1.04e-09,51.6
SMa1211,CC_1405,50.324,463,197,5,25,486,30,460,2.72e-154,447
SMa1213,CC_1404,46.392,291,151,3,1,289,1,288,1.97e-91,270
SMa1216,CC_1402,67.227,238,76,2,1,236,1,238,1.66e-113,322
SMa1220,CC_1401,69.412,510,149,3,12,518,24,529,0.0,713
SMa1225,CC_0752,38.571,210,122,1,8,210,6,215,7.79e-46,148
SMa1227,CC_0758,53.202,203,91,3,1,200,1,202,1.63e-66,200
SMa1229,CC_0759,49.091,440,214,3,57,494,59,490,6.14e-135,397
SMa1231,CC_1452,32.593,135,82,5,137,268,148,276,5.97e-11,58.5
SMa1236,CC_0617,29.486,797,447,23,43,830,8,698,1.26e-82,280
SMa1245,CC_0752,22.396,192,139,4,2,191,12,195,3.34e-09,52.0
SMa1247,CC_1173,26.906,223,96,7,61,223,44,259,7.01e-08,49.7
SMa1255,CC_1859,32.990,97,65,0,6,102,12,108,5.05e-16,65.1
SMa1264,CC_1550,54.745,137,62,0,20,156,38,174,1.72e-53,166
SMa1266,CC_1411,47.846,441,229,1,9,449,14,453,2.99e-137,399
SMa1279,CC_1771,26.744,172,117,2,26,188,33,204,1.84e-09,52.0
SMa1285,CC_3290,53.061,147,68,1,38,184,1,146,8.71e-50,156
SMa1288,CC_0313,55.419,489,208,3,1,479,12,500,0.0,556
SMa1296,CC_3029,31.978,369,211,12,3,336,1,364,8.73e-41,143
SMa1297,CC_1700,46.774,62,32,1,19,79,9,70,8.91e-09,49.7
SMa1299,CC_0732,27.922,154,97,7,13,163,27,169,2.45e-08,49.3
SMa1302,CC_2423,41.214,313,178,4,14,325,11,318,2.60e-73,226
SMa1303,CC_2422,40.777,206,120,1,157,360,173,378,2.38e-48,165
SMa1306,CC_2421,31.466,232,138,4,27,256,25,237,1.55e-26,101
SMa1315,CC_2419,40.689,784,449,8,7,785,14,786,0.0,547
SMa1327,CC_2411,30.000,210,117,10,52,254,50,236,2.62e-11,60.1
SMa1328,CC_0980,49.844,321,159,2,12,330,34,354,2.22e-95,295
SMa1329,CC_2677,22.556,266,171,7,146,383,3,261,7.68e-09,53.1
SMa1344,CC_3134,41.892,296,165,2,4,299,15,303,2.46e-75,235
SMa1345,CC_3134,42.568,296,155,5,4,291,15,303,8.69e-71,223
SMa1347,CC_3215,38.767,227,131,5,62,285,67,288,1.20e-42,151
SMa1349,CC_2813,35.922,206,96,8,23,212,29,214,1.95e-18,78.2
SMa1351,CC_2812,28.684,380,212,9,49,392,21,377,2.73e-31,120
SMa1354,CC_1300,25.000,252,150,9,19,242,27,267,8.04e-08,49.3
SMa1358,CC_0687,60.345,58,23,0,63,120,4,61,1.02e-21,79.0
SMa1362,CC_3135,25.000,200,130,4,233,422,85,274,1.85e-10,58.9
SMa1367,CC_1675,31.963,219,134,4,35,249,36,243,1.49e-25,97.8
SMa1370,CC_2669,40.686,204,116,3,32,235,18,216,4.24e-40,140
SMa1371,CC_2669,39.344,244,126,8,22,260,18,244,2.23e-36,130
SMa1377,CC_2437,29.876,482,289,13,3,440,2,478,5.22e-46,164
SMa1387,CC_1621,23.577,246,174,4,13,250,3,242,2.52e-08,51.2
SMa1389,CC_0726,64.725,309,108,1,1,309,1,308,3.61e-130,370
SMa1391,CC_0727,67.470,249,80,1,1,249,1,248,5.64e-119,337
SMa1398,CC_0511,33.469,245,151,6,9,253,4,236,4.36e-28,104
SMa1400,CC_1350,41.755,376,216,3,3,376,5,379,4.29e-95,286
SMa1403,CC_3002,25.723,311,192,11,14,310,10,295,7.32e-10,56.2
SMa1408,CC_2575,33.203,256,152,8,13,254,12,262,2.47e-23,92.4
SMa1410,CC_3428,39.516,248,150,0,16,263,19,266,4.37e-63,197
SMa1414,CC_0945,42.193,538,295,4,6,527,8,545,7.82e-146,427
SMa1415,CC_3141,43.827,486,266,6,8,490,14,495,1.67e-120,359
SMa1417,CC_2837,30.631,333,217,8,11,334,13,340,1.59e-32,121
SMa1418,CC_0861,30.547,311,190,7,7,302,24,323,2.99e-19,83.6
SMa1421,CC_0860,34.661,502,295,11,1,487,3,486,1.63e-90,283
SMa1424,CC_0861,31.142,289,199,0,23,311,36,324,7.48e-27,105
SMa1428,CC_2608,39.362,188,114,0,13,200,19,206,2.13e-43,142
SMa1434,CC_2669,38.057,247,140,4,287,533,7,240,1.63e-45,160
SMa1440,CC_1195,32.461,191,120,5,48,233,42,228,5.88e-19,82.0
SMa1442,CC_0986,36.842,228,110,7,17,231,11,217,1.23e-26,100
SMa1447,CC_2412,29.512,410,223,17,12,399,6,371,1.48e-14,71.6
SMa1450,CC_0894,60.506,395,154,2,1,394,1,394,2.00e-169,476
SMa1452,CC_0124,49.237,262,124,3,1,255,1,260,3.34e-72,219
SMa1454,CC_0637,28.814,295,174,10,47,320,51,330,7.56e-15,71.2
SMa1461,CC_0532,24.523,367,236,7,35,365,21,382,3.56e-24,99.8
SMa1465,CC_0610,24.096,166,118,3,85,246,131,292,9.80e-08,48.5
SMa1466,CC_3134,41.079,241,134,3,1,241,14,246,4.89e-53,177
SMa1471,CC_1170,35.714,84,52,1,96,177,105,188,1.66e-09,52.8
SMa1476,CC_2960,28.435,313,210,9,1,308,9,312,1.80e-30,114
SMa1480,CC_1117,29.749,279,181,6,5,273,33,306,6.58e-35,126
SMa1483,CC_3355,22.449,392,271,10,409,795,2,365,2.42e-17,81.6
SMa1487,CC_1632,52.747,91,43,0,29,119,15,105,5.83e-30,101
SMa1488,CC_0021,35.328,702,403,19,64,741,55,729,3.78e-100,322
SMa1491,CC_0022,61.074,149,52,3,1,147,1,145,6.14e-61,183
SMa1493,CC_2517,37.079,267,159,4,12,277,10,268,1.20e-44,150
SMa1495,CC_2604,37.166,374,216,3,12,369,1,371,1.35e-77,241
SMa1497,CC_2434,25.628,199,120,8,12,194,14,200,3.59e-13,63.5
SMa1500,CC_2394,39.873,316,185,4,277,588,2,316,1.16e-66,217
SMa1505,CC_0986,27.128,188,120,6,11,183,13,198,2.15e-08,50.4
SMa1509,CC_0860,34.756,492,311,6,5,489,4,492,7.24e-88,276
SMa1516,CC_1945,43.269,312,142,6,32,317,38,340,2.98e-71,222
SMa1519,CC_1942,34.965,143,92,1,4,146,1,142,2.76e-29,103
SMa1521,CC_2626,29.787,141,97,2,3,142,17,156,6.88e-17,69.7
SMa1523,CC_1946,27.827,672,401,10,1,670,1,590,1.19e-73,251
SMa1525,CC_1947,51.181,381,177,5,40,416,44,419,1.88e-127,372
SMa1526,CC_1950,36.986,146,88,3,12,154,29,173,6.16e-27,98.6
SMa1529,CC_1952,50.130,385,189,2,22,404,15,398,8.39e-134,386
SMa1531,CC_1954,45.385,130,71,0,24,153,23,152,5.56e-34,116
SMa1532,CC_1955,54.248,153,68,2,3,153,36,188,2.70e-53,165
SMa1533,CC_1956,38.095,126,71,3,1,120,1,125,6.12e-24,86.3
SMa1535,CC_1937,38.194,432,259,5,14,440,11,439,2.57e-83,262
SMa1536,CC_1938,47.423,485,244,3,5,481,4,485,1.64e-151,438
SMa1538,CC_1939,29.552,335,196,8,106,403,129,460,3.65e-23,100
SMa1541,CC_1939,29.442,394,228,14,59,420,56,431,4.63e-23,99.4
SMa1544,CC_1940,46.535,101,53,1,1,100,1,101,3.66e-20,75.1
SMa1545,CC_1941,40.936,171,87,6,6,166,8,174,1.16e-20,81.6
SMa1547,CC_1997,44.086,186,103,1,33,217,26,211,2.86e-48,155
SMa1548,CC_3094,46.760,571,283,6,510,1066,134,697,1.22e-160,490
SMa1550,CC_1150,30.120,166,97,3,47,212,45,191,5.10e-12,59.7
SMa1552,CC_3472,37.500,200,115,5,52,247,53,246,2.04e-28,110
SMa1556,CC_2281,29.682,283,165,5,272,551,470,721,1.47e-26,111
SMa1558,CC_0594,31.805,349,225,3,239,578,258,602,3.53e-49,181
SMa1561,CC_0436,35.127,353,207,9,2,345,4,343,1.09e-43,151
SMa1562,CC_2940,43.519,324,175,3,1,318,36,357,3.42e-78,240
SMa1564,CC_2941,43.234,303,165,3,32,333,29,325,1.79e-73,227
SMa1568,CC_2942,73.923,441,113,1,54,492,61,501,0.0,677
SMa1570,CC_2948,53.704,54,25,0,1,54,1,54,9.38e-15,58.5
SMa1572,CC_2950,41.026,78,45,1,10,87,20,96,1.15e-10,53.9
SMa1573,CC_2943,43.939,396,219,2,28,423,124,516,1.56e-110,337
SMa1576,CC_2946,34.343,297,148,7,2,256,4,295,5.51e-37,129
SMa1578,CC_2947,38.028,142,87,1,23,163,21,162,1.38e-20,80.5
SMa1582,CC_3000,31.119,286,177,6,144,421,9,282,1.82e-24,100
SMa1583,CC_0119,26.923,156,114,0,407,562,175,330,4.11e-10,59.3
SMa1587,CC_0380,30.137,292,128,13,221,459,29,297,6.42e-23,95.5
SMa1600,CC_0204,29.630,567,359,10,6,564,5,539,1.03e-39,150
SMa1602,CC_2517,32.872,289,192,2,1,288,1,288,5.29e-46,154
SMa1604,CC_2129,35.021,237,132,8,3,232,1,222,9.73e-28,108
SMa1606,CC_1164,27.778,198,136,3,29,219,5,202,5.57e-08,50.4
SMa1614,CC_2742,25.296,253,174,5,25,276,37,275,4.87e-17,76.3
SMa1617,CC_0344,30.328,244,152,8,168,402,68,302,4.50e-12,63.2
SMa1619,CC_3006,29.600,250,156,6,56,300,68,302,9.68e-13,64.3
SMa1620,CC_3006,30.650,323,197,10,1,314,1,305,6.63e-25,99.4
SMa1625,CC_2143,32.281,285,181,4,9,292,8,281,1.50e-25,100
SMa1626,CC_2122,54.190,179,75,2,48,219,9,187,3.62e-55,171
SMa1629,CC_0511,26.908,249,159,4,12,254,5,236,2.37e-24,94.7
SMa1632,CC_1474,33.333,273,179,3,21,292,6,276,5.00e-32,118
SMa1646,CC_2669,40.887,203,116,3,27,229,18,216,7.21e-41,143
SMa1647,CC_2669,36.190,210,116,6,29,235,22,216,1.13e-26,104
SMa1654,CC_0986,27.660,235,144,7,9,225,7,233,2.63e-13,64.3
SMa1662,CC_0807,41.471,1020,585,6,3,1014,2,1017,0.0,771
SMa1664,CC_0808,30.655,336,226,4,34,365,42,374,2.85e-37,135
SMa1667,CC_3126,25.442,452,299,12,5,442,6,433,2.87e-19,86.7
SMa1668,CC_3126,28.160,451,282,14,2,436,6,430,7.66e-26,106
SMa1676,CC_2877,31.214,173,112,1,171,336,156,328,5.32e-26,103
SMa1677,CC_0300,32.361,377,212,11,113,472,78,428,1.64e-36,136
SMa1680,CC_0119,28.743,167,113,2,615,778,162,325,3.98e-08,53.5
SMa1683,CC_1172,32.024,509,246,21,17,484,16,465,3.48e-44,161
SMa1684,CC_0759,34.615,234,149,4,371,602,239,470,6.73e-27,111
SMa1686,CC_0758,38.947,190,115,1,6,195,5,193,7.03e-39,130
SMa1688,CC_0758,35.043,117,76,0,16,132,4,120,2.24e-16,69.3
SMa1696,CC_3058,39.000,200,110,6,191,389,133,321,8.88e-31,119
SMa1705,CC_0949,55.645,124,52,2,11,133,50,171,2.34e-46,145
SMa1717,CC_0186,39.278,443,255,4,23,464,2,431,1.02e-85,267
SMa1718,CC_0300,29.197,137,68,6,228,356,311,426,5.11e-08,52.4
SMa1720,CC_1474,30.403,273,187,1,2,274,6,275,2.69e-29,110
SMa1724,CC_1170,30.682,88,61,0,76,163,109,196,7.84e-08,47.4
SMa1725,CC_3367,37.849,251,146,5,77,323,78,322,2.85e-42,146
SMa1726,CC_3123,26.203,187,126,5,8,190,20,198,2.27e-09,52.0
SMa1727,CC_3725,23.636,275,178,9,43,295,3,267,1.54e-16,74.7
SMa1731,CC_3141,37.838,481,291,6,16,488,16,496,8.60e-103,313
SMa1732,CC_0616,32.039,103,53,3,11,112,13,99,3.89e-09,47.8
SMa1735,CC_2394,25.589,297,194,10,54,345,32,306,7.94e-14,68.2
SMa1736,CC_3510,28.205,156,111,1,1,156,7,161,1.54e-12,63.5
SMa1737,CC_0425,35.570,298,188,3,29,326,147,440,7.27e-32,121
SMa1741,CC_1193,30.894,246,161,4,11,256,10,246,6.48e-28,105
SMa1742,CC_1192,33.094,278,173,8,72,341,70,342,4.06e-21,89.7
SMa1745,CC_1192,35.897,273,158,4,90,354,70,333,3.19e-28,110
SMa1747,CC_1517,25.172,727,462,27,30,714,7,693,4.30e-39,150
SMa1749,CC_2960,33.721,86,57,0,209,294,225,310,3.25e-08,50.8
SMa1751,CC_3135,31.818,242,157,2,9,243,53,293,1.03e-29,110
SMa1753,CC_3136,35.319,235,135,2,174,392,76,309,2.10e-36,132
SMa1754,CC_3134,48.980,294,145,2,8,298,14,305,1.02e-96,289
SMa1757,CC_1816,34.252,254,147,8,14,256,6,250,3.42e-29,112
SMa1759,CC_0986,29.114,237,141,9,5,218,4,236,1.03e-11,59.7
SMa1761,CC_0584,28.173,394,231,13,42,420,13,369,1.83e-28,112
SMa1767,CC_2142,50.980,51,24,1,1,51,68,117,1.22e-10,49.7
SMa1779,CC_0400,37.681,69,43,0,63,131,53,121,4.38e-08,47.8
SMa1782,CC_0790,29.795,292,192,5,4,287,8,294,2.16e-28,107
SMa1798,CC_0131,50.377,663,293,6,2,633,39,696,0.0,636
SMa1809,CC_2395,27.304,293,176,9,1,275,1,274,4.64e-13,64.7
SMa1814,CC_0403,26.010,396,257,7,1,370,8,393,2.32e-14,72.0
SMa1819,CC_0658,26.679,551,358,17,38,570,20,542,1.72e-26,110
SMa1822,CC_3367,36.735,98,55,2,202,296,225,318,5.44e-13,65.1
SMa1823,CC_2960,30.337,89,61,1,201,288,220,308,3.32e-08,50.8
SMa1825,CC_3367,36.170,94,59,1,207,300,229,321,7.51e-10,55.8
SMa1828,CC_1474,37.597,258,158,3,1,257,4,259,4.31e-42,146
SMa1833,CC_0777,54.146,410,172,7,58,455,34,439,3.82e-148,427
SMa1836,CC_3631,40.650,369,203,6,2,358,11,375,3.14e-75,235
SMa1838,CC_3215,28.455,246,171,3,50,291,59,303,3.42e-20,87.4
SMa1844,CC_3141,39.256,484,280,6,13,487,17,495,7.41e-103,313
SMa1846,CC_0193,37.540,309,174,9,5,302,3,303,4.32e-48,162
