Melitensis16M|Q.,Melitensis16M|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS04365,BME_RS04365,100.000,424,0,0,1,424,1,424,0.0,864
BME_RS04370,BME_RS04370,100.000,812,0,0,1,812,1,812,0.0,1640
BME_RS04375,BME_RS04375,100.000,91,0,0,1,91,1,91,1.03e-60,176
BME_RS04380,BME_RS04380,100.000,974,0,0,1,974,1,974,0.0,1996
BME_RS04385,BME_RS04385,100.000,168,0,0,1,168,1,168,1.17e-122,339
BME_RS04390,BME_RS04390,100.000,253,0,0,1,253,1,253,0.0,515
BME_RS04395,BME_RS04395,100.000,192,0,0,1,192,1,192,9.70e-140,384
BME_RS04400,BME_RS04400,100.000,209,0,0,1,209,1,209,2.96e-146,402
BME_RS04405,BME_RS04405,100.000,922,0,0,1,922,1,922,0.0,1868
BME_RS04415,BME_RS04415,100.000,164,0,0,1,164,1,164,1.88e-118,328
BME_RS04420,BME_RS04420,100.000,196,0,0,1,196,1,196,9.94e-144,395
BME_RS04425,BME_RS04425,100.000,168,0,0,1,168,1,168,9.52e-127,349
BME_RS04430,BME_RS04430,100.000,363,0,0,1,363,1,363,0.0,739
BME_RS04435,BME_RS04435,100.000,377,0,0,1,377,1,377,0.0,779
BME_RS04440,BME_RS04440,100.000,188,0,0,1,188,1,188,5.80e-140,384
BME_RS04445,BME_RS04445,100.000,382,0,0,1,382,1,382,0.0,761
BME_RS04450,BME_RS04450,100.000,1029,0,0,1,1029,1,1029,0.0,2077
BME_RS04455,BME_RS04455,100.000,327,0,0,1,327,1,327,0.0,667
BME_RS04460,BME_RS04460,100.000,310,0,0,1,310,1,310,0.0,625
BME_RS04465,BME_RS04465,100.000,394,0,0,1,394,1,394,0.0,814
BME_RS04470,BME_RS04470,100.000,381,0,0,1,381,1,381,0.0,783
BME_RS04475,BME_RS04475,100.000,28,0,0,1,28,1,28,5.59e-14,54.3
BME_RS04480,BME_RS04480,100.000,177,0,0,1,177,1,177,1.62e-132,365
BME_RS04490,BME_RS04490,100.000,205,0,0,1,205,1,205,3.25e-149,409
BME_RS04495,BME_RS08260,100.000,454,0,0,1,454,1,454,0.0,931
BME_RS04500,BME_RS04500,100.000,134,0,0,1,134,1,134,5.09e-101,281
BME_RS04505,BME_RS04505,100.000,435,0,0,1,435,1,435,0.0,890
BME_RS04510,BME_RS04510,100.000,28,0,0,1,28,1,28,1.18e-13,53.5
BME_RS04515,BME_RS04515,100.000,59,0,0,1,59,1,59,7.98e-40,121
BME_RS04520,BME_RS04520,100.000,315,0,0,1,315,1,315,0.0,639
BME_RS04525,BME_RS04525,100.000,139,0,0,1,139,1,139,1.52e-104,291
BME_RS04530,BME_RS04530,100.000,213,0,0,1,213,1,213,1.95e-161,441
BME_RS04535,BME_RS04535,100.000,146,0,0,1,146,1,146,1.54e-108,301
BME_RS04540,BME_RS04540,100.000,123,0,0,1,123,1,123,1.23e-90,254
BME_RS04545,BME_RS04545,100.000,192,0,0,1,192,1,192,1.19e-141,389
BME_RS04550,BME_RS04550,100.000,188,0,0,1,188,1,188,3.96e-138,380
BME_RS04555,BME_RS04555,100.000,658,0,0,1,658,1,658,0.0,1376
BME_RS04560,BME_RS04560,100.000,336,0,0,1,336,1,336,0.0,678
BME_RS04565,BME_RS04565,100.000,194,0,0,1,194,1,194,6.75e-140,385
BME_RS04570,BME_RS04570,100.000,203,0,0,1,203,1,203,5.63e-155,424
BME_RS04575,BME_RS04575,100.000,274,0,0,1,274,1,274,0.0,553
BME_RS04580,BME_RS04580,100.000,335,0,0,1,335,1,335,0.0,699
BME_RS04585,BME_RS04585,100.000,321,0,0,1,321,1,321,0.0,635
BME_RS04590,BME_RS04590,100.000,276,0,0,1,276,1,276,0.0,560
BME_RS04595,BME_RS04595,100.000,380,0,0,1,380,1,380,0.0,769
BME_RS04605,BME_RS04605,100.000,327,0,0,1,327,1,327,0.0,656
BME_RS04610,BME_RS04610,100.000,140,0,0,1,140,1,140,7.04e-100,279
BME_RS04615,BME_RS04615,100.000,497,0,0,1,497,1,497,0.0,999
BME_RS04620,BME_RS04620,100.000,496,0,0,1,496,1,496,0.0,1017
BME_RS04625,BME_RS04625,100.000,264,0,0,1,264,1,264,0.0,541
BME_RS04630,BME_RS04630,100.000,173,0,0,1,173,1,173,2.29e-130,359
BME_RS04635,BME_RS04635,100.000,284,0,0,1,284,1,284,0.0,583
BME_RS04640,BME_RS04640,100.000,247,0,0,1,247,1,247,0.0,513
BME_RS04645,BME_RS04645,100.000,342,0,0,1,342,1,342,0.0,696
BME_RS04650,BME_RS04650,100.000,535,0,0,1,535,1,535,0.0,1076
BME_RS04655,BME_RS04655,100.000,419,0,0,1,419,1,419,0.0,853
BME_RS04660,BME_RS04660,100.000,28,0,0,1,28,1,28,1.04e-15,58.5
BME_RS04665,BME_RS04665,100.000,199,0,0,1,199,1,199,3.05e-148,406
BME_RS04670,BME_RS04670,100.000,252,0,0,1,252,1,252,0.0,516
BME_RS04675,BME_RS04675,100.000,281,0,0,1,281,1,281,0.0,570
BME_RS04680,BME_RS04680,100.000,166,0,0,1,166,1,166,2.88e-123,340
BME_RS04685,BME_RS04685,100.000,162,0,0,1,162,1,162,6.55e-119,329
BME_RS04690,BME_RS04690,100.000,1261,0,0,1,1261,1,1261,0.0,2628
BME_RS04695,BME_RS04695,100.000,408,0,0,1,408,1,408,0.0,829
BME_RS04700,BME_RS04700,100.000,441,0,0,1,441,1,441,0.0,899
BME_RS04705,BME_RS04705,100.000,402,0,0,1,402,1,402,0.0,811
BME_RS04710,BME_RS04710,100.000,857,0,0,1,857,1,857,0.0,1605
BME_RS04715,BME_RS04715,100.000,418,0,0,1,418,1,418,0.0,825
BME_RS04720,BME_RS04720,100.000,138,0,0,1,138,1,138,2.97e-99,278
BME_RS04725,BME_RS04725,100.000,166,0,0,1,166,1,166,7.89e-123,339
BME_RS04730,BME_RS04730,100.000,486,0,0,1,486,1,486,0.0,974
BME_RS04735,BME_RS04735,100.000,357,0,0,1,357,1,357,0.0,697
BME_RS04740,BME_RS04740,100.000,177,0,0,1,177,1,177,1.28e-129,357
BME_RS04745,BME_RS04745,100.000,177,0,0,1,177,1,177,2.95e-129,357
BME_RS04750,BME_RS04750,100.000,119,0,0,1,119,1,119,1.06e-86,244
BME_RS04755,BME_RS04755,100.000,279,0,0,1,279,1,279,0.0,561
BME_RS04760,BME_RS04760,100.000,206,0,0,1,206,1,206,2.21e-156,427
BME_RS04765,BME_RS04765,100.000,107,0,0,1,107,1,107,5.24e-78,221
BME_RS04770,BME_RS04770,100.000,68,0,0,1,68,1,68,7.76e-46,137
BME_RS04775,BME_RS04775,100.000,107,0,0,1,107,1,107,4.86e-77,219
BME_RS04780,BME_RS04780,100.000,76,0,0,1,76,1,76,5.99e-53,155
BME_RS04785,BME_RS04785,100.000,1582,0,0,1,1582,1,1582,0.0,3147
BME_RS04790,BME_RS04790,100.000,209,0,0,1,209,1,209,1.04e-156,429
BME_RS04795,BME_RS04795,100.000,331,0,0,1,331,1,331,0.0,665
BME_RS04800,BME_RS04800,100.000,285,0,0,1,285,1,285,0.0,580
BME_RS04805,BME_RS04805,100.000,391,0,0,1,391,1,391,0.0,774
BME_RS04810,BME_RS04810,100.000,326,0,0,1,326,1,326,0.0,655
BME_RS04815,BME_RS04815,100.000,774,0,0,1,774,1,774,0.0,1568
BME_RS04820,BME_RS04820,100.000,252,0,0,1,252,1,252,0.0,509
BME_RS04825,BME_RS04825,100.000,457,0,0,1,457,1,457,0.0,935
BME_RS04830,BME_RS04830,100.000,559,0,0,1,559,1,559,0.0,1152
BME_RS04835,BME_RS04835,100.000,116,0,0,1,116,1,116,1.42e-80,228
BME_RS04840,BME_RS04840,100.000,459,0,0,1,459,1,459,0.0,954
BME_RS04845,BME_RS04845,100.000,464,0,0,1,464,1,464,0.0,948
BME_RS04850,BME_RS04850,100.000,178,0,0,1,178,1,178,9.13e-128,353
BME_RS04855,BME_RS04855,100.000,232,0,0,1,232,1,232,1.68e-166,455
BME_RS04860,BME_RS04860,100.000,234,0,0,1,234,1,234,4.59e-177,482
BME_RS04865,BME_RS04865,100.000,90,0,0,1,90,1,90,5.91e-63,182
BME_RS04870,BME_RS04870,100.000,501,0,0,1,501,1,501,0.0,1011
BME_RS04875,BME_RS04875,100.000,112,0,0,1,112,1,112,4.70e-76,217
BME_RS04880,BME_RS04880,100.000,469,0,0,1,469,1,469,0.0,973
BME_RS04885,BME_RS04885,100.000,260,0,0,1,260,1,260,0.0,527
BME_RS04890,BME_RS04890,100.000,216,0,0,1,216,1,216,6.78e-163,445
BME_RS04895,BME_RS04895,100.000,307,0,0,1,307,1,307,0.0,607
BME_RS04900,BME_RS04900,100.000,326,0,0,1,326,1,326,0.0,671
BME_RS04905,BME_RS04905,100.000,599,0,0,1,599,1,599,0.0,1224
BME_RS04910,BME_RS04910,100.000,272,0,0,1,272,1,272,0.0,565
BME_RS04915,BME_RS04915,100.000,263,0,0,1,263,1,263,0.0,536
BME_RS04920,BME_RS04920,100.000,515,0,0,1,515,1,515,0.0,1067
BME_RS04925,BME_RS04925,100.000,360,0,0,1,360,1,360,0.0,730
BME_RS04930,BME_RS04930,100.000,214,0,0,1,214,1,214,9.94e-157,429
BME_RS04935,BME_RS04935,100.000,396,0,0,1,396,1,396,0.0,800
BME_RS04940,BME_RS04940,100.000,421,0,0,1,421,1,421,0.0,860
BME_RS04945,BME_RS04945,100.000,115,0,0,1,115,1,115,1.62e-81,231
BME_RS04950,BME_RS04950,100.000,86,0,0,1,86,1,86,1.35e-60,176
BME_RS04955,BME_RS04955,100.000,252,0,0,1,252,1,252,0.0,514
BME_RS04960,BME_RS04960,100.000,519,0,0,1,519,1,519,0.0,1067
BME_RS04965,BME_RS04965,100.000,410,0,0,1,410,1,410,0.0,855
BME_RS04970,BME_RS04970,100.000,483,0,0,1,483,1,483,0.0,977
BME_RS04975,BME_RS04975,100.000,257,0,0,1,257,1,257,0.0,528
BME_RS04980,BME_RS04980,100.000,130,0,0,1,130,1,130,2.41e-96,270
BME_RS04985,BME_RS13730,100.000,122,0,0,1,122,1,122,2.46e-87,246
BME_RS04990,BME_RS04435,100.000,210,0,0,1,210,168,377,7.71e-158,438
BME_RS04995,BME_RS04995,100.000,81,0,0,1,81,1,81,1.53e-56,165
BME_RS05000,BME_RS05000,100.000,104,0,0,1,104,1,104,1.60e-73,210
BME_RS05005,BME_RS05005,100.000,56,0,0,1,56,1,56,1.20e-37,115
BME_RS05010,BME_RS05010,100.000,236,0,0,1,236,1,236,1.19e-173,474
BME_RS05015,BME_RS05015,100.000,195,0,0,1,195,1,195,8.30e-147,402
BME_RS05020,BME_RS05020,100.000,91,0,0,1,91,1,91,2.69e-64,185
BME_RS05025,BME_RS05025,100.000,76,0,0,1,76,1,76,1.27e-53,157
BME_RS05030,BME_RS05030,100.000,234,0,0,1,234,1,234,1.75e-178,486
BME_RS05035,BME_RS05035,100.000,67,0,0,1,67,1,67,2.97e-46,138
BME_RS05040,BME_RS05040,100.000,71,0,0,1,71,1,71,2.52e-50,149
BME_RS05045,BME_RS05045,100.000,67,0,0,1,67,1,67,4.22e-46,137
BME_RS05050,BME_RS05050,100.000,341,0,0,1,341,1,341,0.0,703
BME_RS05055,BME_RS05055,100.000,24,0,0,1,24,1,24,1.35e-10,45.4
BME_RS05060,BME_RS05060,100.000,83,0,0,1,83,1,83,9.93e-49,145
BME_RS05065,BME_RS05065,100.000,25,0,0,1,25,1,25,1.05e-13,53.1
BME_RS05070,BME_RS05070,100.000,25,0,0,1,25,1,25,1.04e-12,50.8
BME_RS05075,BME_RS05075,100.000,538,0,0,1,538,1,538,0.0,1105
BME_RS05080,BME_RS05080,100.000,127,0,0,1,127,1,127,1.55e-87,247
BME_RS05085,BME_RS05085,100.000,539,0,0,1,539,1,539,0.0,1115
BME_RS05090,BME_RS05090,100.000,368,0,0,1,368,1,368,0.0,758
BME_RS05095,BME_RS05095,100.000,119,0,0,1,119,1,119,1.22e-87,246
BME_RS05100,BME_RS05100,100.000,344,0,0,1,344,1,344,0.0,713
BME_RS05105,BME_RS05105,100.000,221,0,0,1,221,1,221,2.33e-165,451
BME_RS05110,BME_RS05110,100.000,167,0,0,1,167,1,167,1.26e-119,331
BME_RS05115,BME_RS05115,100.000,148,0,0,1,148,1,148,6.65e-109,303
BME_RS05120,BME_RS05120,100.000,95,0,0,1,95,1,95,3.91e-69,198
BME_RS05125,BME_RS05125,100.000,291,0,0,1,291,1,291,0.0,595
BME_RS05130,BME_RS05130,100.000,323,0,0,1,323,1,323,0.0,662
BME_RS05135,BME_RS05135,100.000,100,0,0,1,100,1,100,6.95e-72,205
BME_RS05140,BME_RS05140,100.000,910,0,0,1,910,1,910,0.0,1872
BME_RS05145,BME_RS05145,100.000,243,0,0,1,243,1,243,1.17e-174,477
BME_RS05150,BME_RS05150,100.000,456,0,0,1,456,1,456,0.0,918
BME_RS05155,BME_RS05155,100.000,222,0,0,1,222,1,222,7.10e-162,442
BME_RS05160,BME_RS05160,100.000,66,0,0,1,66,1,66,3.94e-43,130
BME_RS05165,BME_RS05165,100.000,207,0,0,1,207,1,207,3.67e-155,424
BME_RS05170,BME_RS05170,100.000,126,0,0,1,126,1,126,5.24e-92,258
BME_RS05175,BME_RS05175,100.000,482,0,0,1,482,1,482,0.0,979
BME_RS05180,BME_RS05180,100.000,257,0,0,1,257,1,257,0.0,528
BME_RS05185,BME_RS05185,100.000,25,0,0,1,25,1,25,2.64e-12,49.7
BME_RS05190,BME_RS05190,100.000,323,0,0,1,323,1,323,0.0,665
BME_RS05195,BME_RS05195,100.000,139,0,0,1,139,1,139,5.06e-100,280
BME_RS05200,BME_RS05200,100.000,414,0,0,1,414,1,414,0.0,856
BME_RS05205,BME_RS05205,100.000,425,0,0,1,425,1,425,0.0,862
BME_RS05210,BME_RS05210,100.000,251,0,0,1,251,1,251,0.0,507
BME_RS05215,BME_RS05215,100.000,507,0,0,1,507,1,507,0.0,1054
BME_RS05220,BME_RS05220,100.000,392,0,0,1,392,1,392,0.0,782
BME_RS05225,BME_RS05225,100.000,224,0,0,1,224,1,224,4.17e-172,469
BME_RS05230,BME_RS05230,100.000,110,0,0,1,110,1,110,1.81e-73,210
BME_RS05235,BME_RS05235,100.000,373,0,0,1,373,1,373,0.0,755
BME_RS05240,BME_RS05240,100.000,417,0,0,1,417,1,417,0.0,856
BME_RS05245,BME_RS05245,100.000,1132,0,0,1,1132,1,1132,0.0,2275
BME_RS05250,BME_RS05250,100.000,154,0,0,1,154,1,154,7.12e-115,318
BME_RS05255,BME_RS05255,100.000,275,0,0,1,275,1,275,0.0,559
BME_RS05260,BME_RS05260,100.000,120,0,0,1,120,1,120,1.01e-84,239
BME_RS05265,BME_RS08985,100.000,122,0,0,1,122,1,122,2.71e-87,246
BME_RS05270,BME_RS05270,100.000,344,0,0,1,344,1,344,0.0,706
BME_RS05275,BME_RS05275,100.000,819,0,0,1,819,1,819,0.0,1681
BME_RS05280,BME_RS05280,100.000,422,0,0,1,422,1,422,0.0,857
BME_RS05285,BME_RS05285,100.000,61,0,0,1,61,1,61,2.24e-38,118
BME_RS05290,BME_RS05290,100.000,891,0,0,1,891,1,891,0.0,1805
BME_RS05295,BME_RS05295,100.000,388,0,0,1,388,1,388,0.0,779
BME_RS05300,BME_RS05300,100.000,471,0,0,1,471,1,471,0.0,951
BME_RS05305,BME_RS05305,100.000,265,0,0,1,265,1,265,0.0,546
BME_RS05310,BME_RS05310,100.000,157,0,0,1,157,1,157,3.32e-116,322
BME_RS05315,BME_RS05315,100.000,156,0,0,1,156,1,156,3.22e-110,306
BME_RS05320,BME_RS05320,100.000,452,0,0,1,452,1,452,0.0,926
BME_RS05325,BME_RS05325,100.000,189,0,0,1,189,1,189,2.74e-141,388
BME_RS05330,BME_RS05330,100.000,156,0,0,1,156,1,156,1.87e-117,325
BME_RS05335,BME_RS05335,100.000,136,0,0,1,136,1,136,7.13e-101,281
BME_RS05340,BME_RS05340,100.000,167,0,0,1,167,1,167,1.14e-126,349
BME_RS05345,BME_RS05345,100.000,500,0,0,1,500,1,500,0.0,1023
BME_RS05350,BME_RS05350,100.000,485,0,0,1,485,1,485,0.0,967
BME_RS05355,BME_RS05355,100.000,27,0,0,1,27,1,27,2.34e-15,57.8
BME_RS05360,BME_RS05360,100.000,189,0,0,1,189,1,189,1.76e-138,381
BME_RS05365,BME_RS05365,100.000,378,0,0,1,378,1,378,0.0,736
BME_RS05370,BME_RS05370,100.000,48,0,0,1,48,1,48,3.32e-31,99.0
BME_RS05375,BME_RS05375,100.000,466,0,0,1,466,1,466,0.0,963
BME_RS05380,BME_RS05380,100.000,277,0,0,1,277,1,277,0.0,561
BME_RS05385,BME_RS05385,100.000,129,0,0,1,129,1,129,1.36e-92,260
BME_RS05390,BME_RS05390,100.000,775,0,0,1,775,1,775,0.0,1544
BME_RS05395,BME_RS05395,100.000,113,0,0,1,113,1,113,6.82e-79,224
BME_RS05400,BME_RS05400,100.000,288,0,0,1,288,1,288,0.0,594
BME_RS05405,BME_RS05405,100.000,432,0,0,1,432,1,432,0.0,866
BME_RS05410,BME_RS05410,100.000,61,0,0,1,61,1,61,3.68e-40,122
BME_RS05415,BME_RS05415,100.000,222,0,0,1,222,1,222,3.81e-167,456
BME_RS05420,BME_RS05420,100.000,255,0,0,1,255,1,255,0.0,514
BME_RS05425,BME_RS05425,100.000,427,0,0,1,427,1,427,0.0,880
BME_RS05430,BME_RS05430,100.000,274,0,0,1,274,1,274,0.0,548
BME_RS05435,BME_RS05435,100.000,193,0,0,1,193,1,193,8.54e-137,377
BME_RS05440,BME_RS05440,100.000,72,0,0,1,72,1,72,3.74e-49,145
BME_RS05445,BME_RS05445,100.000,241,0,0,1,241,1,241,1.10e-176,482
BME_RS05450,BME_RS05450,100.000,283,0,0,1,283,1,283,0.0,565
BME_RS05455,BME_RS05455,100.000,339,0,0,1,339,1,339,0.0,689
BME_RS05460,BME_RS05460,100.000,984,0,0,1,984,1,984,0.0,1982
BME_RS05465,BME_RS05465,100.000,585,0,0,1,585,1,585,0.0,1194
BME_RS05470,BME_RS05470,100.000,402,0,0,1,402,1,402,0.0,818
BME_RS05475,BME_RS05475,100.000,108,0,0,1,108,1,108,9.37e-77,218
BME_RS05480,BME_RS05480,100.000,235,0,0,1,235,1,235,2.12e-172,470
BME_RS05485,BME_RS05485,100.000,260,0,0,1,260,1,260,0.0,539
BME_RS05490,BME_RS05490,100.000,267,0,0,1,267,1,267,0.0,548
BME_RS05495,BME_RS05495,100.000,189,0,0,1,189,1,189,7.42e-143,392
BME_RS05500,BME_RS05500,100.000,213,0,0,1,213,1,213,8.16e-163,444
BME_RS05505,BME_RS05505,100.000,159,0,0,1,159,1,159,2.04e-116,323
BME_RS05510,BME_RS05510,100.000,339,0,0,1,339,1,339,0.0,680
BME_RS05515,BME_RS05515,100.000,260,0,0,1,260,1,260,0.0,496
BME_RS05520,BME_RS05520,100.000,64,0,0,1,64,1,64,1.65e-44,133
BME_RS05525,BME_RS05525,100.000,234,0,0,1,234,1,234,2.11e-168,460
BME_RS05530,BME_RS05530,100.000,340,0,0,1,340,1,340,0.0,699
BME_RS05535,BME_RS05535,100.000,262,0,0,1,262,1,262,0.0,538
BME_RS05540,BME_RS05540,100.000,227,0,0,1,227,1,227,2.28e-166,454
BME_RS05545,BME_RS05545,100.000,379,0,0,1,379,1,379,0.0,771
BME_RS05550,BME_RS05550,100.000,243,0,0,1,243,1,243,0.0,493
BME_RS05555,BME_RS05555,100.000,305,0,0,1,305,1,305,0.0,620
BME_RS05560,BME_RS05560,100.000,340,0,0,1,340,1,340,0.0,703
BME_RS05565,BME_RS05565,100.000,253,0,0,1,253,1,253,0.0,512
BME_RS05570,BME_RS05570,100.000,93,0,0,1,93,1,93,3.08e-64,186
BME_RS05575,BME_RS05575,100.000,393,0,0,1,393,1,393,0.0,788
BME_RS05580,BME_RS05580,100.000,425,0,0,1,425,1,425,0.0,859
BME_RS05585,BME_RS05585,100.000,342,0,0,1,342,1,342,0.0,697
BME_RS05590,BME_RS05590,100.000,308,0,0,1,308,1,308,0.0,635
BME_RS05595,BME_RS05595,100.000,225,0,0,1,225,1,225,4.97e-166,453
BME_RS05600,BME_RS05600,100.000,433,0,0,1,433,1,433,0.0,888
BME_RS05605,BME_RS05605,100.000,291,0,0,1,291,1,291,0.0,597
BME_RS05610,BME_RS05610,100.000,188,0,0,1,188,1,188,2.18e-140,385
BME_RS05615,BME_RS05615,100.000,255,0,0,1,255,1,255,0.0,512
BME_RS05620,BME_RS05620,100.000,107,0,0,1,107,1,107,2.62e-71,204
BME_RS05625,BME_RS05625,100.000,254,0,0,1,254,1,254,0.0,520
BME_RS05630,BME_RS05630,100.000,80,0,0,1,80,1,80,1.61e-53,157
BME_RS05635,BME_RS05635,100.000,223,0,0,1,223,1,223,1.02e-167,457
BME_RS05640,BME_RS05640,100.000,215,0,0,1,215,1,215,8.06e-158,432
BME_RS05645,BME_RS05645,100.000,133,0,0,1,133,1,133,7.72e-98,273
BME_RS05650,BME_RS05650,100.000,740,0,0,1,740,1,740,0.0,1515
BME_RS05655,BME_RS05655,100.000,77,0,0,1,77,1,77,1.02e-53,157
BME_RS05660,BME_RS05660,100.000,110,0,0,1,110,1,110,7.41e-80,226
BME_RS05665,BME_RS05665,100.000,421,0,0,1,421,1,421,0.0,828
BME_RS05670,BME_RS05670,100.000,275,0,0,1,275,1,275,0.0,565
BME_RS05675,BME_RS05675,100.000,293,0,0,1,293,1,293,0.0,605
BME_RS05680,BME_RS05680,100.000,205,0,0,1,205,1,205,1.17e-152,418
BME_RS05685,BME_RS05685,100.000,323,0,0,1,323,1,323,0.0,671
BME_RS05690,BME_RS05690,100.000,137,0,0,1,137,1,137,2.04e-96,270
BME_RS05695,BME_RS05695,100.000,65,0,0,1,65,1,65,7.60e-43,129
BME_RS05700,BME_RS05700,100.000,1163,0,0,1,1163,1,1163,0.0,2382
BME_RS05705,BME_RS05705,100.000,227,0,0,1,227,1,227,1.14e-166,455
BME_RS05710,BME_RS05710,100.000,437,0,0,1,437,1,437,0.0,877
BME_RS05715,BME_RS05715,100.000,442,0,0,1,442,1,442,0.0,915
BME_RS05720,BME_RS05720,100.000,89,0,0,1,89,1,89,8.75e-62,179
BME_RS05725,BME_RS05725,100.000,134,0,0,1,134,1,134,7.43e-95,266
BME_RS05730,BME_RS05730,100.000,558,0,0,1,558,1,558,0.0,1117
BME_RS05735,BME_RS05735,100.000,265,0,0,1,265,1,265,0.0,535
BME_RS05740,BME_RS05740,100.000,478,0,0,1,478,1,478,0.0,929
BME_RS05745,BME_RS05745,100.000,502,0,0,1,502,1,502,0.0,1006
BME_RS05750,BME_RS05750,100.000,661,0,0,1,661,1,661,0.0,1329
BME_RS05755,BME_RS05755,100.000,102,0,0,1,102,1,102,1.37e-66,192
BME_RS05760,BME_RS05760,100.000,205,0,0,1,205,1,205,4.40e-145,399
BME_RS05765,BME_RS05765,100.000,163,0,0,1,163,1,163,9.64e-123,339
BME_RS05770,BME_RS05770,100.000,347,0,0,1,347,1,347,0.0,682
BME_RS05775,BME_RS05775,100.000,694,0,0,1,694,1,694,0.0,1421
BME_RS05780,BME_RS05780,100.000,435,0,0,1,435,1,435,0.0,901
BME_RS05785,BME_RS05785,100.000,237,0,0,1,237,1,237,0.0,493
BME_RS05790,BME_RS05790,100.000,396,0,0,1,396,1,396,0.0,820
BME_RS05795,BME_RS05795,100.000,202,0,0,1,202,1,202,1.04e-150,413
BME_RS05800,BME_RS05800,100.000,193,0,0,1,193,1,193,8.13e-146,400
BME_RS05805,BME_RS05805,100.000,121,0,0,1,121,1,121,1.09e-84,239
BME_RS05810,BME_RS05810,100.000,67,0,0,1,67,1,67,2.42e-45,135
BME_RS05815,BME_RS14705,100.000,25,0,0,1,25,1,25,2.33e-13,52.4
BME_RS05820,BME_RS05820,100.000,25,0,0,1,25,1,25,5.49e-13,51.6
BME_RS05825,BME_RS05825,100.000,133,0,0,1,133,1,133,5.55e-98,274
BME_RS05830,BME_RS05830,100.000,111,0,0,1,111,1,111,3.91e-80,227
BME_RS05835,BME_RS05835,100.000,131,0,0,1,131,1,131,2.05e-94,265
BME_RS05840,BME_RS05840,100.000,169,0,0,1,169,1,169,9.93e-122,337
BME_RS05845,BME_RS05845,100.000,122,0,0,1,122,1,122,1.83e-87,246
BME_RS05855,BME_RS05855,100.000,427,0,0,1,427,1,427,0.0,867
BME_RS05860,BME_RS05860,100.000,134,0,0,1,134,1,134,3.51e-96,270
BME_RS05865,BME_RS05865,100.000,65,0,0,1,65,1,65,9.85e-44,131
BME_RS05870,BME_RS05870,100.000,154,0,0,1,154,1,154,4.21e-114,316
BME_RS05875,BME_RS05875,100.000,158,0,0,1,158,1,158,7.32e-115,318
BME_RS05880,BME_RS05880,100.000,316,0,0,1,316,1,316,0.0,644
BME_RS05885,BME_RS05885,100.000,310,0,0,1,310,1,310,0.0,632
BME_RS05890,BME_RS05890,100.000,358,0,0,1,358,1,358,0.0,719
BME_RS05895,BME_RS05895,100.000,72,0,0,1,72,1,72,3.85e-47,140
BME_RS05900,BME_RS05900,100.000,190,0,0,1,190,1,190,2.01e-138,381
BME_RS05905,BME_RS05905,100.000,195,0,0,1,195,1,195,9.71e-145,397
BME_RS05910,BME_RS05910,100.000,71,0,0,1,71,1,71,5.37e-48,143
BME_RS05915,BME_RS05915,100.000,512,0,0,1,512,1,512,0.0,1045
BME_RS05920,BME_RS05920,100.000,25,0,0,1,25,1,25,1.11e-12,50.8
BME_RS05925,BME_RS05925,100.000,105,0,0,1,105,1,105,4.81e-68,196
BME_RS05930,BME_RS05930,100.000,179,0,0,1,179,1,179,1.52e-131,362
BME_RS05935,BME_RS05935,100.000,107,0,0,1,107,1,107,4.26e-77,219
BME_RS05940,BME_RS05940,100.000,323,0,0,1,323,1,323,0.0,649
BME_RS05945,BME_RS05945,100.000,346,0,0,1,346,1,346,0.0,703
BME_RS05950,BME_RS05950,100.000,185,0,0,1,185,1,185,1.44e-134,370
BME_RS05955,BME_RS05955,100.000,184,0,0,1,184,1,184,5.41e-137,377
BME_RS05960,BME_RS05960,100.000,168,0,0,1,168,1,168,1.75e-123,341
BME_RS05965,BME_RS05965,100.000,718,0,0,1,718,1,718,0.0,1409
BME_RS05970,BME_RS05970,100.000,171,0,0,1,171,1,171,8.53e-126,347
BME_RS05975,BME_RS05975,100.000,153,0,0,1,153,1,153,1.69e-110,307
BME_RS05980,BME_RS05980,100.000,202,0,0,1,202,1,202,4.98e-150,411
BME_RS05985,BME_RS05985,100.000,373,0,0,1,373,1,373,0.0,737
BME_RS05990,BME_RS05990,100.000,158,0,0,1,158,1,158,4.68e-114,317
BME_RS05995,BME_RS05995,100.000,438,0,0,1,438,1,438,0.0,858
BME_RS06000,BME_RS06000,100.000,433,0,0,1,433,1,433,0.0,892
BME_RS06005,BME_RS06005,100.000,171,0,0,1,171,1,171,3.86e-127,350
BME_RS06010,BME_RS06010,100.000,144,0,0,1,144,1,144,1.96e-103,288
BME_RS06015,BME_RS06015,100.000,349,0,0,1,349,1,349,0.0,716
BME_RS06020,BME_RS06020,100.000,345,0,0,1,345,1,345,0.0,707
BME_RS06025,BME_RS06025,100.000,156,0,0,1,156,1,156,7.15e-112,311
BME_RS06030,BME_RS06030,100.000,249,0,0,1,249,1,249,0.0,525
BME_RS06035,BME_RS06035,100.000,770,0,0,1,770,1,770,0.0,1573
BME_RS06040,BME_RS06040,100.000,398,0,0,1,398,1,398,0.0,802
BME_RS06045,BME_RS06045,100.000,595,0,0,1,595,1,595,0.0,1228
BME_RS06050,BME_RS06050,100.000,385,0,0,1,385,1,385,0.0,778
