Melitensis16M|Q.,S_meliloti|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS02075,SMc00838,26.849,622,382,15,31,641,40,599,7.55e-53,189
BME_RS02080,SMc00776,49.640,834,319,13,261,1035,343,1134,0.0,742
BME_RS02100,SMc00758,100.000,25,0,0,1,25,1,25,8.78e-11,46.6
BME_RS02105,SMa2313,30.303,198,118,6,53,232,60,255,1.70e-17,80.5
BME_RS02110,SM_b21248,30.000,360,217,6,33,367,29,378,4.12e-37,135
BME_RS02115,SMc00655,65.138,109,38,0,1,109,1,109,6.23e-44,137
BME_RS02120,SMc00654,92.920,226,16,0,1,226,1,226,8.74e-157,431
BME_RS02125,SMc00652,61.463,205,77,2,5,208,8,211,2.40e-88,257
BME_RS02130,SMc00651,67.066,167,53,1,34,198,34,200,2.64e-83,243
BME_RS02135,SMc00650,27.978,361,186,10,2,302,10,356,5.15e-23,95.1
BME_RS02140,SMc00656,48.864,88,45,0,5,92,1,88,6.42e-28,95.1
BME_RS02145,SMc00657,92.308,91,7,0,1,91,1,91,1.42e-61,179
BME_RS02155,SMc00659,74.607,382,92,1,3,379,1,382,0.0,588
BME_RS02160,SMc00649,50.566,265,128,1,15,276,8,272,1.23e-87,259
BME_RS02165,SMc05009,65.882,85,29,0,12,96,18,102,6.39e-30,101
BME_RS02180,SMc00787,75.150,334,83,0,1,334,1,334,0.0,519
BME_RS02185,SMc00788,70.530,302,89,0,1,302,1,302,1.19e-143,404
BME_RS02190,SMc00789,73.404,282,74,1,5,285,3,284,1.47e-151,422
BME_RS02195,SMc00790,78.309,272,59,0,5,276,4,275,2.94e-161,447
BME_RS02200,SMc02739,60.580,345,135,1,4,347,5,349,2.35e-146,414
BME_RS02205,SMc02738,63.538,277,101,0,1,277,1,277,2.96e-125,355
BME_RS02210,SMc02737,66.349,315,104,1,10,322,4,318,6.14e-146,411
BME_RS02215,SMc02729,53.808,407,166,5,10,398,5,407,8.02e-155,440
BME_RS02235,SMc00681,56.863,153,66,0,1,153,1,153,4.73e-64,191
BME_RS02245,SMc02725,74.894,709,178,0,12,720,12,720,0.0,1089
BME_RS02250,SMc02724,59.364,283,115,0,7,289,9,291,1.03e-104,305
BME_RS02255,SMc02717,81.541,558,103,0,16,573,7,564,0.0,969
BME_RS02260,SMc02712,56.098,287,123,2,1,285,1,286,1.16e-106,310
BME_RS02265,SMc02711,50.331,151,74,1,1,151,14,163,2.88e-48,150
BME_RS02275,SMc02708,67.273,330,103,1,1,325,1,330,7.59e-159,444
BME_RS02280,SMc02707,50.000,162,81,0,1,162,1,162,4.81e-51,159
BME_RS02285,SMc02706,61.014,690,265,3,1,688,1,688,0.0,808
BME_RS02290,SMc02705,50.835,958,434,14,4,949,5,937,0.0,875
BME_RS02295,SMc02704,62.671,292,109,0,3,294,4,295,4.32e-132,375
BME_RS02300,SMc02703,75.841,327,79,0,8,334,9,335,2.35e-178,494
BME_RS02305,SMc02702,66.990,206,64,2,13,218,23,224,1.28e-96,278
BME_RS02310,SMc02701,55.814,215,80,4,1,206,1,209,6.54e-75,222
BME_RS02315,SMc02700,56.296,405,177,0,13,417,9,413,7.55e-164,465
BME_RS02330,SMc00230,54.268,164,75,0,1,164,1,164,4.02e-55,169
BME_RS02335,SMc00180,71.053,304,86,2,1,303,1,303,4.40e-164,456
BME_RS02340,SMc00181,62.069,87,31,2,1,86,1,86,2.24e-29,97.8
BME_RS02350,SMc00184,67.347,147,48,0,2,148,3,149,6.04e-71,208
BME_RS02355,SMc00185,66.337,606,204,0,9,614,1,606,0.0,821
BME_RS02360,SMc00186,58.320,619,254,2,1,618,21,636,0.0,745
BME_RS02365,SMc00187,77.083,192,39,1,1,187,1,192,1.93e-105,298
BME_RS02370,SMc00188,82.824,425,73,0,1,425,1,425,0.0,747
BME_RS02375,SMc00189,71.587,271,72,2,25,295,26,291,3.07e-135,382
BME_RS02380,SMc02698,80.337,178,35,0,3,180,2,179,3.39e-105,297
BME_RS02385,SMc02697,51.049,143,70,0,9,151,11,153,8.47e-52,160
BME_RS02390,SMc02696,46.479,142,74,1,10,151,4,143,4.56e-47,148
BME_RS02395,SMc02695,79.837,367,74,0,1,367,1,367,0.0,609
BME_RS02400,SMc02693,62.151,251,79,3,1,249,1,237,5.60e-101,291
BME_RS02405,SMc02692,72.581,186,51,0,1,186,1,186,1.66e-97,279
BME_RS02410,SMc00484,69.380,516,143,5,1,513,1,504,0.0,691
BME_RS02415,SMc02686,84.194,310,49,0,1,310,1,310,0.0,540
BME_RS02425,SMc02685,48.649,111,57,0,65,175,173,283,1.35e-36,126
BME_RS02430,SMc02684,69.554,381,116,0,1,381,1,381,0.0,545
BME_RS02435,SMc02683,58.015,262,107,1,3,264,5,263,6.34e-107,308
BME_RS02440,SMc02682,50.829,362,171,3,6,364,10,367,4.48e-121,352
BME_RS02445,SMc02681,62.791,258,96,0,11,268,11,268,4.15e-113,325
BME_RS02450,SMc03744,71.951,82,23,0,1,82,1,82,3.06e-37,119
BME_RS02455,SMc02678,70.482,166,49,0,1,166,1,166,1.72e-87,251
BME_RS02460,SMc04456,77.064,109,25,0,7,115,5,113,2.46e-57,171
BME_RS02470,SMc01595,66.125,431,143,3,17,446,31,459,0.0,577
BME_RS02475,SMc01593,70.870,230,67,0,6,235,5,234,5.03e-124,349
BME_RS02480,SMc01592,63.971,136,49,0,18,153,19,154,6.05e-61,184
BME_RS02495,SMc01587,64.593,209,74,0,4,212,2,210,6.17e-100,286
BME_RS02500,SMc01586,49.123,114,43,3,66,166,29,140,7.31e-20,78.6
BME_RS02505,SMc01585,81.690,71,13,0,1,71,1,71,5.13e-40,123
BME_RS02510,SMc01230,45.455,165,85,3,35,198,65,225,9.29e-30,112
BME_RS02515,SMc04231,75.773,970,187,10,18,940,17,985,0.0,1463
BME_RS02520,SMc01590,39.706,68,40,1,20,86,31,98,5.27e-11,57.0
BME_RS02525,SMc04228,70.543,129,38,0,1,129,1,129,2.30e-65,192
BME_RS02530,SMc04225,55.947,227,97,2,78,302,172,397,5.63e-84,256
BME_RS02535,SMc04230,69.231,117,35,1,1,116,1,117,4.26e-53,160
BME_RS02540,SMc01584,54.795,292,131,1,1,291,1,292,8.56e-96,282
BME_RS02550,SMc01218,79.487,156,32,0,1,156,2,157,1.69e-89,255
BME_RS02555,SMc01219,55.301,349,152,2,7,351,2,350,2.40e-135,387
BME_RS02560,SMc01223,76.000,150,36,0,1,150,1,150,2.48e-82,237
BME_RS02565,SMa1691,43.348,466,263,1,1,466,20,484,1.13e-134,394
BME_RS02570,SMc01224,73.765,324,85,0,1,324,1,324,0.0,509
BME_RS02575,SMc01225,69.360,297,90,1,5,301,7,302,8.36e-164,455
BME_RS02590,SMc01578,83.500,400,66,0,1,400,1,400,0.0,706
BME_RS02595,SM_b20005,31.401,207,128,5,2,203,1,198,9.77e-23,88.6
BME_RS02600,SMc01428,76.471,68,16,0,1,68,1,68,1.44e-36,114
BME_RS02610,SM_b20937,52.787,574,267,2,45,615,19,591,0.0,631
BME_RS02615,SMc01215,84.179,1163,183,1,1,1162,1,1163,0.0,2003
BME_RS02630,SMc01213,62.739,314,108,3,1,308,1,311,1.17e-133,379
BME_RS02635,SMc01569,77.694,399,85,2,8,403,4,401,0.0,632
BME_RS02640,SMc01568,63.758,149,54,0,2,150,1,149,7.57e-70,205
BME_RS02645,SM_b21536,41.530,549,320,1,8,556,8,555,9.92e-135,400
BME_RS02650,SMc01567,56.737,668,269,9,1,653,1,663,0.0,720
BME_RS02655,SMc01563,83.212,685,101,6,1,672,1,684,0.0,1098
BME_RS02660,SMc00935,44.792,96,52,1,2,96,3,98,1.32e-20,76.6
BME_RS02665,SMc00064,63.399,153,53,2,1,152,1,151,1.34e-68,202
BME_RS02675,SMc01556,57.009,214,86,3,38,249,51,260,1.15e-71,218
BME_RS02710,SM_b20336,32.364,275,161,9,1,267,6,263,8.59e-32,115
BME_RS02725,SM_b21468,67.164,335,110,0,6,340,13,347,9.30e-147,416
BME_RS02730,SMc02275,70.352,199,59,0,1,199,13,211,1.35e-102,293
BME_RS02735,SMc00099,77.941,68,15,0,6,73,3,70,9.90e-33,105
BME_RS02740,SMc00981,59.569,371,139,2,2,372,5,364,5.52e-155,438
BME_RS02745,SMc00982,66.024,415,140,1,1,415,1,414,0.0,606
BME_RS02760,SMc02818,47.079,291,154,0,24,314,24,314,2.08e-93,277
BME_RS02770,SMc04454,88.342,549,64,0,1,549,1,549,0.0,1003
BME_RS02780,SMc04407,34.203,345,211,3,8,346,5,339,4.41e-58,199
BME_RS02790,SMc01842,59.748,318,125,2,6,322,7,322,9.59e-112,326
BME_RS02795,SMc01843,58.803,284,116,1,17,299,15,298,3.46e-117,337
BME_RS02800,SMc00317,32.792,308,200,5,7,311,7,310,8.27e-35,126
BME_RS02805,SMc01845,54.839,341,151,3,21,359,66,405,3.05e-134,386
BME_RS02810,SMc01846,49.091,275,119,3,1,273,1,256,2.15e-92,271
BME_RS02820,SMc01853,57.203,236,100,1,1,236,1,235,4.06e-95,276
BME_RS02825,SMc01854,59.839,249,100,0,15,263,1,249,1.92e-102,296
BME_RS02830,SMc01855,55.844,154,64,1,65,214,26,179,2.60e-54,169
BME_RS02835,SMa1115,23.284,408,272,14,43,425,26,417,2.05e-08,53.5
BME_RS02840,SMc01858,66.967,333,105,1,5,337,6,333,3.91e-152,429
BME_RS02845,SMc01859,43.284,134,67,3,1,128,1,131,7.13e-27,95.1
BME_RS02850,SMc01860,60.550,545,212,2,31,575,30,571,0.0,677
BME_RS02855,SMc01861,71.901,484,130,3,3,481,1,483,0.0,677
BME_RS02860,SMc01862,57.265,468,199,1,8,475,2,468,6.20e-180,510
BME_RS02865,SMc01863,77.596,366,76,1,1,360,1,366,0.0,569
BME_RS02870,SMc01864,69.783,460,138,1,1,460,1,459,0.0,576
BME_RS02875,SMc01865,68.478,368,116,0,1,368,1,368,0.0,514
BME_RS02880,SMc01866,65.676,370,127,0,6,375,2,371,1.85e-165,465
BME_RS02885,SMc01867,79.915,468,90,2,1,467,1,465,0.0,728
BME_RS02890,SMc01868,64.669,317,112,0,4,320,5,321,1.94e-147,415
BME_RS02895,SMc01871,76.299,308,73,0,1,308,1,308,1.29e-179,495
BME_RS02900,SMc01872,48.515,303,153,1,12,311,7,309,5.83e-97,286
BME_RS02905,SMc01873,67.136,426,135,2,17,440,20,442,0.0,593
BME_RS02910,SMc01874,68.460,539,115,10,1,499,1,524,0.0,581
BME_RS02915,SMc01875,59.044,293,106,3,1,285,10,296,7.66e-128,364
BME_RS02920,SMc01876,66.409,259,86,1,28,285,30,288,4.80e-126,358
BME_RS02925,SMc01877,70.480,542,158,1,1,540,1,542,0.0,727
BME_RS02930,SMc01878,71.349,719,191,3,5,717,7,716,0.0,1019
BME_RS02940,SMc01885,59.174,605,245,2,3,605,2,606,0.0,706
BME_RS02945,SMc01472,53.979,289,128,2,1,284,1,289,2.37e-106,308
BME_RS02950,SMc01471,54.787,188,80,2,10,192,12,199,3.26e-75,222
BME_RS02955,SM_b20765,50.259,193,96,0,32,224,8,200,2.95e-61,188
BME_RS02960,SMc01465,61.585,164,61,1,4,165,2,165,1.41e-73,216
BME_RS02965,SMc01461,76.362,863,183,6,6,858,6,857,0.0,1331
BME_RS02975,SMc03110,47.436,156,82,0,13,168,9,164,2.19e-40,131
BME_RS02980,SMc01455,64.240,467,167,0,1,467,1,467,0.0,624
BME_RS02990,SMc01454,32.920,1209,727,18,12,1203,1,1142,0.0,565
BME_RS02995,SMc01452,47.222,72,38,0,3,74,2,73,1.10e-19,73.2
BME_RS03000,SMc01451,53.704,54,25,0,2,55,3,56,5.97e-15,60.1
BME_RS03010,SMc01450,59.686,191,54,3,1,189,1,170,6.22e-72,213
BME_RS03015,SMc03169,28.767,219,146,4,46,262,20,230,2.48e-18,79.3
BME_RS03020,SMc03825,32.283,254,171,1,7,260,9,261,3.88e-38,139
BME_RS03025,SMc01449,64.078,103,36,1,1,103,1,102,5.80e-38,120
BME_RS03030,SMc01444,84.091,264,42,0,1,264,1,264,3.27e-173,476
BME_RS03035,SMc01442,56.805,169,73,0,3,171,4,172,5.80e-70,207
BME_RS03040,SMc01441,64.890,319,104,3,45,361,40,352,7.71e-150,425
BME_RS03045,SMc01440,68.792,298,93,0,1,298,1,298,8.27e-138,389
BME_RS03055,SMc01438,58.039,510,192,9,15,524,16,503,0.0,534
BME_RS03060,SMc00763,67.008,391,127,2,2,391,3,392,0.0,526
BME_RS03065,SMc01494,68.707,294,92,0,5,298,1,294,8.02e-144,404
BME_RS03070,SMc01435,55.789,285,126,0,8,292,10,294,1.85e-115,333
BME_RS03075,SMc01431,81.895,591,106,1,18,607,2,592,0.0,1031
BME_RS03080,SMc01430,78.947,190,40,0,1,190,1,190,3.33e-110,310
BME_RS03085,SMc01414,81.333,375,68,1,1,373,36,410,0.0,641
BME_RS03095,SMc01407,73.554,242,62,1,1,240,1,242,1.00e-125,354
BME_RS03100,SMc00873,53.376,622,286,2,33,651,2,622,0.0,647
BME_RS03105,SMc04348,50.704,213,105,0,1,213,1,213,2.29e-64,196
BME_RS03110,SMc04346,85.841,339,48,0,1,339,1,339,0.0,616
BME_RS03120,SMc04323,74.817,409,102,1,1,409,1,408,0.0,628
BME_RS03125,SMc00979,48.077,52,24,1,83,134,88,136,1.46e-13,60.8
BME_RS03130,SMc04274,63.836,365,131,1,4,368,5,368,6.32e-173,483
BME_RS03140,SMc04271,53.135,303,139,2,9,308,3,305,6.67e-100,293
BME_RS03145,SMa1151,36.735,147,88,2,1,143,1,146,8.33e-32,108
BME_RS03155,SMc01274,38.318,107,62,2,6,111,4,107,7.97e-16,66.2
BME_RS03200,SMc01942,24.060,133,97,1,39,171,26,154,4.49e-09,53.9
BME_RS03205,SMc01830,55.208,192,83,2,6,197,9,197,5.18e-72,215
BME_RS03220,SMc01837,55.692,571,247,5,3,572,4,569,0.0,673
BME_RS03225,SMc01939,54.167,96,44,0,27,122,4,99,5.23e-32,108
BME_RS03230,SMc01941,50.505,99,49,0,1,99,1,99,1.35e-33,109
BME_RS03240,SM_b21207,29.290,338,210,5,17,344,15,333,1.36e-21,91.7
BME_RS03245,SM_b21206,41.593,113,61,3,15,126,14,122,5.35e-13,70.1
BME_RS03250,SM_b21204,27.348,362,251,7,11,366,11,366,5.21e-29,113
BME_RS03255,SMc02726,24.727,275,167,8,383,620,472,743,9.89e-12,65.5
BME_RS03265,SMc01511,41.975,324,174,5,22,332,42,364,4.88e-61,197
BME_RS03270,SM_b20058,35.019,257,162,3,4,258,3,256,2.83e-43,145
BME_RS03275,SMc01163,60.109,366,146,0,6,371,10,375,4.86e-166,466
BME_RS03285,SMa0070,32.370,346,202,5,26,371,5,318,9.92e-37,133
BME_RS03290,SMa0072,43.496,246,132,2,1,242,1,243,7.21e-68,207
BME_RS03295,SMc00165,71.910,267,74,1,4,269,7,273,1.67e-141,396
BME_RS03300,SM_b21302,46.259,147,69,3,1,138,1,146,4.06e-38,124
BME_RS03310,SMc04364,88.000,25,3,0,1,25,1,25,1.09e-08,41.2
BME_RS03320,SMc03171,51.282,234,112,1,10,241,10,243,7.89e-72,227
BME_RS03330,SM_b21133,52.117,307,143,3,27,331,33,337,4.39e-108,317
BME_RS03335,SM_b21132,53.875,271,124,1,2,271,15,285,2.36e-94,277
BME_RS03340,SM_b21131,55.022,229,103,0,17,245,26,254,1.56e-91,270
BME_RS03355,SMc02853,58.013,312,131,0,2,313,3,314,1.15e-119,345
BME_RS03360,SMa1600,54.545,605,250,5,1,602,1,583,0.0,578
BME_RS03365,SMc02265,62.143,840,315,3,1,839,1,838,0.0,1008
BME_RS03375,SMc04176,43.575,856,444,8,4,837,4,842,0.0,695
BME_RS03380,SMc04174,45.783,83,42,1,17,96,6,88,2.59e-18,70.5
BME_RS03385,SMc01987,82.181,853,152,0,1,853,1,853,0.0,1495
BME_RS03395,SMc04169,76.636,321,75,0,8,328,8,328,0.0,532
BME_RS03400,SMc04163,55.254,295,131,1,1,295,1,294,1.86e-119,343
BME_RS03410,SM_b20751,66.897,290,96,0,1,290,1,290,3.30e-123,352
BME_RS03415,SM_b20753,67.905,377,121,0,9,385,3,379,0.0,528
BME_RS03420,SMc04309,69.895,475,143,0,1,475,1,475,0.0,672
BME_RS03435,SMc04305,69.277,166,50,1,9,173,10,175,7.96e-73,214
BME_RS03440,SMc04304,76.385,343,81,0,4,346,9,351,0.0,522
BME_RS03445,SMc04303,71.282,1271,334,6,1,1249,1,1262,0.0,1791
BME_RS03450,SMc04302,68.657,201,61,2,14,212,14,214,6.26e-96,276
BME_RS03470,SMc04285,45.082,122,65,1,5,124,11,132,2.10e-19,75.9
BME_RS03475,SMc03187,55.777,251,111,0,1,251,1,251,5.46e-95,276
BME_RS03480,SMc03189,42.742,248,134,4,6,247,14,259,2.43e-53,171
BME_RS03490,SMc04284,74.436,266,68,0,19,284,8,273,1.59e-149,417
BME_RS03495,SMc04282,61.574,432,162,2,1,432,1,428,3.24e-170,482
BME_RS03500,SMc04281,50.606,330,158,4,5,332,5,331,1.79e-88,266
BME_RS03505,SMc04279,51.839,299,144,0,15,313,16,314,2.80e-100,296
BME_RS03510,SMc00513,35.530,349,224,1,12,359,5,353,8.04e-50,168
BME_RS03515,SMc00514,46.875,160,85,0,12,171,16,175,7.45e-50,156
BME_RS03520,SMc01019,42.935,184,105,0,9,192,9,192,8.57e-45,151
BME_RS03535,SMc03190,52.000,250,116,3,314,562,3,249,2.69e-71,227
BME_RS03540,SMc03191,50.633,237,117,0,4,240,6,242,1.00e-79,238
BME_RS03545,SMc03192,67.327,202,66,0,3,204,5,206,5.67e-90,260
BME_RS03550,SMc03193,28.169,426,276,16,4,412,10,422,2.97e-21,93.2
BME_RS03555,SMc03188,52.261,398,190,0,4,401,15,412,1.83e-134,389
BME_RS03560,SMc00604,27.928,222,140,5,1,212,1,212,6.22e-13,62.8
BME_RS03565,SMc00299,69.683,221,66,1,30,249,42,262,9.55e-109,311
BME_RS03570,SMc00298,83.764,271,44,0,1,271,1,271,3.53e-175,482
BME_RS03575,SMc00297,63.203,231,85,0,3,233,3,233,8.34e-103,295
BME_RS03590,SMc00291,47.059,119,50,3,249,367,288,393,1.54e-24,101
BME_RS03600,SMc00294,85.396,404,59,0,3,406,2,405,0.0,729
BME_RS03605,SMc00293,70.252,437,129,1,1,437,1,436,0.0,635
BME_RS03615,SMc01871,29.769,346,187,9,7,345,5,301,7.01e-41,143
BME_RS03620,SMc00292,63.220,590,214,2,4,591,9,597,0.0,646
BME_RS03625,SMc04202,52.821,195,74,4,166,342,81,275,2.72e-59,190
BME_RS03630,SMc00290,73.973,146,38,0,28,173,1,146,4.24e-83,239
BME_RS03635,SMc00289,69.430,193,58,1,1,193,1,192,5.27e-97,277
BME_RS03640,SMc00288,47.863,117,61,0,31,147,34,150,1.64e-34,116
BME_RS03645,SMc02114,66.122,245,81,1,9,251,11,255,6.36e-114,325
BME_RS03650,SMc02113,69.742,271,82,0,1,271,1,271,2.00e-143,401
BME_RS03655,SMc02112,69.118,68,20,1,1,68,15,81,1.06e-31,102
BME_RS03660,SMc04241,62.500,168,63,0,1,168,1,168,2.16e-78,228
BME_RS03665,SMc00998,55.056,178,79,1,24,200,22,199,2.66e-69,207
BME_RS03670,SMc01000,27.778,216,134,6,1,212,21,218,6.36e-16,71.2
BME_RS03675,SMc01001,38.356,219,128,4,4,217,10,226,1.39e-46,152
BME_RS03680,SMc01002,43.262,141,80,0,1,141,1,141,1.62e-37,122
BME_RS03685,SMc01327,61.324,287,106,2,3,284,4,290,2.28e-118,339
BME_RS03690,SMc01378,96.429,28,1,0,1,28,1,28,5.28e-15,57.4
BME_RS03695,SMc01379,100.000,24,0,0,1,24,1,24,1.61e-10,45.8
BME_RS03700,SMc01311,91.816,391,32,0,1,391,1,391,0.0,708
BME_RS03705,SMc01381,84.000,25,4,0,1,25,1,25,1.66e-09,43.5
BME_RS03710,SMc01323,66.154,65,22,0,1,65,1,65,6.25e-22,77.8
BME_RS03715,SMc01322,82.955,176,29,1,1,175,1,176,8.84e-105,295
BME_RS03720,SMc01321,80.986,142,27,0,1,142,1,142,1.80e-85,244
BME_RS03725,SMc01320,81.659,229,42,0,1,229,1,229,1.49e-136,380
BME_RS03730,SMc01319,73.256,172,46,0,1,172,1,172,8.96e-93,265
BME_RS03735,SMc01318,84.127,126,18,1,1,124,1,126,3.21e-51,156
BME_RS03740,SMc01317,86.594,1380,182,1,1,1377,1,1380,0.0,2486
BME_RS03745,SMc01316,87.277,1399,177,1,1,1399,1,1398,0.0,2548
BME_RS03750,SMc01315,41.000,100,51,3,1,95,1,97,2.08e-19,73.9
BME_RS03755,SMc01314,95.935,123,5,0,1,123,1,123,9.44e-84,238
BME_RS03760,SMc01313,87.179,156,20,0,1,156,1,156,1.75e-104,293
BME_RS03765,SMc01312,84.483,696,106,2,1,694,1,696,0.0,1203
BME_RS03770,SMc01311,91.816,391,32,0,1,391,1,391,0.0,708
BME_RS03775,SMc01310,96.078,102,4,0,1,102,1,102,1.58e-70,203
BME_RS03780,SMc01309,79.439,214,44,0,1,214,1,214,5.07e-129,361
BME_RS03785,SMc01308,74.706,170,43,0,1,170,1,170,1.20e-93,270
BME_RS03790,SMc01307,85.567,97,14,0,1,97,1,97,7.03e-57,168
BME_RS03795,SMc01306,86.331,278,37,1,1,277,1,278,4.64e-172,474
BME_RS03800,SMc01305,100.000,92,0,0,1,92,1,92,1.82e-65,189
BME_RS03805,SMc01304,85.271,129,19,0,1,129,1,129,4.86e-77,221
BME_RS03810,SMc01303,86.076,237,32,1,1,236,1,237,4.15e-155,427
BME_RS03815,SMc01302,81.022,137,26,0,1,137,1,137,2.44e-82,235
BME_RS03820,SMc01301,80.303,66,13,0,1,66,1,66,1.08e-32,104
BME_RS03825,SMc01300,79.487,78,16,0,1,78,1,78,2.17e-45,137
BME_RS03830,SMc01299,96.721,122,4,0,1,122,1,122,8.98e-83,235
BME_RS03835,SMc01298,78.641,103,22,0,1,103,1,103,3.32e-56,167
BME_RS03840,SMc01297,80.000,185,37,0,1,185,1,185,1.07e-103,293
BME_RS03845,SMc01296,77.228,101,23,0,1,101,1,101,1.04e-55,165
BME_RS03850,SMc01295,82.576,132,23,0,1,132,1,132,4.03e-80,229
BME_RS03855,SMc01294,77.966,177,39,0,1,177,1,177,5.19e-99,281
BME_RS03860,SMc01293,82.500,120,21,0,1,120,1,120,3.53e-68,198
BME_RS03865,SMc01292,86.243,189,23,3,1,186,1,189,1.95e-110,310
BME_RS03870,SMc01291,78.788,66,12,1,1,64,1,66,2.49e-30,99.0
BME_RS03875,SMc01290,76.923,156,36,0,1,156,1,156,2.86e-81,234
BME_RS03880,SMc01289,82.735,446,77,0,1,446,1,446,0.0,759
BME_RS03885,SMc01288,78.534,191,41,0,1,191,1,191,4.48e-109,308
BME_RS03890,SMc01287,85.841,113,16,0,1,113,1,113,1.46e-67,197
BME_RS03895,SMc01286,96.124,129,5,0,1,129,1,129,2.08e-91,258
BME_RS03900,SMc01285,89.614,337,34,1,1,337,1,336,0.0,626
BME_RS03905,SMc01283,87.121,132,17,0,1,132,1,132,9.78e-83,237
BME_RS03910,SMc01280,56.512,453,190,3,22,474,20,465,1.83e-175,498
BME_RS03915,SMc01279,85.287,435,64,0,1,435,1,435,0.0,771
BME_RS03920,SMc01561,63.277,177,63,1,15,191,14,188,1.27e-78,230
BME_RS03925,SMc00354,71.689,219,61,1,1,218,1,219,5.82e-93,269
BME_RS03930,SMc00760,88.089,361,43,0,1,361,1,361,0.0,658
BME_RS03935,SMc00475,77.765,886,196,1,1,885,1,886,0.0,1415
BME_RS03945,SMc00480,92.079,404,32,0,1,404,1,404,0.0,784
BME_RS03955,SMa0275,53.093,194,90,1,1,193,1,194,1.87e-71,213
BME_RS03960,SMc00482,66.045,268,91,0,1,268,1,268,3.96e-128,362
BME_RS03965,SMc00483,72.868,258,69,1,19,276,7,263,4.20e-138,388
BME_RS03970,SM_b20292,35.562,329,197,7,7,329,8,327,7.09e-54,177
BME_RS03975,SM_b20291,38.739,333,186,4,51,376,4,325,4.01e-55,199
BME_RS03980,SM_b21473,46.789,109,52,2,8,113,30,135,3.77e-20,77.4
BME_RS03985,SM_b20757,81.461,712,132,0,1,712,1,712,0.0,1195
BME_RS03990,SM_b20756,76.162,667,159,0,1,667,4,670,0.0,1040
BME_RS03995,SM_b20755,90.000,510,51,0,1,510,1,510,0.0,963
BME_RS04000,SM_b20754,68.017,469,150,0,1,469,20,488,0.0,685
BME_RS04005,SMa1626,50.867,173,82,3,8,180,48,217,2.87e-53,166
BME_RS04015,SMc02723,74.342,152,39,0,4,155,3,154,3.46e-83,239
BME_RS04025,SM_b21501,43.373,83,47,0,9,91,11,93,1.34e-12,57.4
BME_RS04035,SMc01260,75.781,128,31,0,1,128,1,128,8.14e-69,201
BME_RS04040,SMc01258,54.331,127,58,0,6,132,13,139,2.56e-37,134
BME_RS04045,SMc00331,43.411,258,146,0,6,263,78,335,6.15e-65,203
BME_RS04050,SMc01256,75.803,467,112,1,1,467,1,466,0.0,706
BME_RS04055,SMc00995,61.379,145,55,1,1,145,1,144,1.75e-56,171
BME_RS04065,SMc00996,47.034,472,193,9,35,467,44,497,1.87e-129,382
BME_RS04070,SMc02110,81.481,108,20,0,9,116,10,117,2.76e-66,193
BME_RS04075,SMc02109,79.216,842,153,7,1,824,1,838,0.0,1333
BME_RS04080,SMc02106,72.143,140,38,1,1,140,1,139,7.22e-66,194
BME_RS04085,SMc02105,65.285,386,132,1,11,394,4,389,0.0,526
BME_RS04090,SMc02104,54.812,239,103,4,9,245,4,239,2.36e-83,246
BME_RS04095,SMc02103,65.584,154,53,0,1,154,1,154,4.56e-68,201
BME_RS04100,SMc02102,50.988,253,121,3,25,275,21,272,5.75e-91,268
BME_RS04110,SMc02101,84.646,254,39,0,1,254,1,254,4.75e-166,457
BME_RS04115,SMc02100,70.033,307,90,1,1,305,1,307,4.26e-153,428
BME_RS04120,SMc02099,79.167,240,50,0,1,240,1,240,1.45e-130,366
BME_RS04125,SMc02098,71.505,186,53,0,1,186,1,186,7.60e-99,281
BME_RS04130,SMc02097,66.812,229,76,0,4,232,10,238,1.10e-107,309
BME_RS04135,SMc02096,46.559,247,131,1,2,247,3,249,7.96e-62,194
BME_RS04140,SMc02095,50.872,344,169,0,33,376,26,369,4.27e-122,355
BME_RS04145,SMc02094,54.003,787,345,9,1,781,1,776,0.0,811
BME_RS04150,SMc02093,50.000,354,174,2,1,351,1,354,6.66e-109,320
BME_RS04155,SMc02092,67.586,145,44,2,7,150,6,148,5.71e-67,198
BME_RS04160,SMc02091,44.358,257,143,0,6,262,8,264,2.71e-79,238
BME_RS04165,SMc02090,51.471,272,129,3,19,288,13,283,7.03e-72,221
BME_RS04170,SMc02089,50.390,385,190,1,4,388,2,385,2.86e-126,367
BME_RS04175,SMc02087,86.946,429,56,0,1,429,1,429,0.0,803
BME_RS04180,SMc03172,37.975,474,261,8,5,461,6,463,1.81e-95,294
BME_RS04185,SMc02086,28.926,242,168,4,17,256,16,255,2.50e-16,76.3
BME_RS04190,SMc02086,35.261,536,299,10,3,524,286,787,7.08e-87,283
BME_RS04195,SMc01183,76.250,240,54,1,1,240,1,237,3.25e-126,355
BME_RS04200,SMc00238,53.202,406,184,3,1,404,1,402,3.59e-133,385
BME_RS04205,SMc00237,76.433,157,36,1,1,156,1,157,2.90e-82,238
BME_RS04210,SMc00236,78.707,263,56,0,3,265,2,264,7.79e-145,404
BME_RS04215,SMc00235,65.373,335,116,0,1,335,1,335,1.21e-160,450
BME_RS04220,SMc00234,47.695,629,326,3,1,627,1,628,0.0,538
