S_meliloti|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SM_b21370,AYT27_RS00610,33.083,532,336,8,26,542,51,577,1.90e-91,298
SM_b21376,AYT27_RS04245,28.033,239,159,3,7,232,3,241,1.56e-27,107
SM_b21383,AYT27_RS02775,31.276,243,158,4,57,296,7,243,1.01e-26,101
SM_b21384,AYT27_RS02775,29.064,203,139,4,2,200,3,204,2.45e-21,85.5
SM_b21410,AYT27_RS00200,36.364,99,58,1,62,155,75,173,8.90e-11,56.6
SM_b21422,AYT27_RS03280,24.554,224,165,3,6,227,17,238,9.67e-22,90.5
SM_b21427,AYT27_RS05655,29.825,114,71,4,50,161,61,167,2.53e-08,47.0
SM_b21429,AYT27_RS00430,32.692,208,129,7,30,228,32,237,7.11e-27,101
SM_b21430,AYT27_RS02560,34.615,338,205,7,27,352,27,360,6.24e-49,164
SM_b21434,AYT27_RS05920,22.008,259,191,4,1,254,1,253,6.07e-09,51.6
SM_b21448,AYT27_RS02510,30.208,192,118,4,18,205,86,265,4.06e-23,89.7
SM_b21458,AYT27_RS00960,27.237,257,172,6,40,284,25,278,2.25e-19,81.6
SM_b21459,AYT27_RS00965,24.242,264,181,7,19,273,18,271,2.92e-15,70.5
SM_b21460,AYT27_RS00955,54.132,242,110,1,1,241,1,242,6.38e-91,273
SM_b21461,AYT27_RS00970,28.807,243,141,12,123,348,132,359,4.15e-11,60.1
SM_b21466,AYT27_RS00240,31.884,276,183,4,287,562,300,570,1.02e-40,152
SM_b21468,AYT27_RS05815,60.117,341,136,0,11,351,4,344,3.62e-146,413
SM_b21474,AYT27_RS02775,29.528,254,160,6,8,259,9,245,3.66e-27,101
SM_b21484,AYT27_RS07060,42.953,149,85,0,15,163,8,156,3.71e-40,130
SM_b21486,AYT27_RS02845,36.782,435,264,6,15,445,2,429,1.58e-78,246
SM_b21487,AYT27_RS00605,41.914,303,152,4,11,299,11,303,6.60e-76,234
SM_b21488,AYT27_RS00610,56.203,669,279,6,11,666,1,668,0.0,754
SM_b21489,AYT27_RS00615,42.654,211,99,3,21,209,11,221,8.11e-57,175
SM_b21490,AYT27_RS08325,39.548,177,94,3,2,166,7,182,6.71e-41,137
SM_b21497,AYT27_RS00675,27.976,336,206,11,30,360,52,356,5.06e-15,71.2
SM_b21498,AYT27_RS00680,28.872,1046,694,17,5,1035,22,1032,1.06e-124,403
SM_b21507,AYT27_RS00110,22.872,188,143,1,23,210,25,210,1.53e-17,73.9
SM_b21508,AYT27_RS02590,29.779,272,178,5,16,282,11,274,1.76e-18,79.7
SM_b21514,AYT27_RS01010,25.481,208,146,3,53,257,82,283,7.04e-21,85.5
SM_b21516,AYT27_RS06030,48.908,229,106,3,7,235,2,219,4.36e-69,209
SM_b21517,AYT27_RS02320,32.090,134,89,1,110,243,810,941,5.75e-14,67.4
SM_b21523,AYT27_RS08695,25.651,269,161,13,3,250,5,255,4.06e-08,48.5
SM_b21527,AYT27_RS00955,31.308,214,133,5,4,211,4,209,2.71e-29,109
SM_b21529,AYT27_RS02030,25.995,377,257,11,54,425,29,388,2.18e-25,103
SM_b21530,AYT27_RS05575,25.946,555,376,10,2,544,15,546,3.34e-50,179
SM_b21531,AYT27_RS01175,29.329,283,179,7,11,282,3,275,5.06e-23,94.0
SM_b21532,AYT27_RS03855,31.737,334,213,8,1,329,441,764,2.90e-31,119
SM_b21534,AYT27_RS06520,28.261,368,221,12,412,772,4,335,8.52e-24,99.8
SM_b21535,AYT27_RS05920,29.688,192,129,2,1,189,5,193,1.44e-14,68.2
SM_b21536,AYT27_RS05880,37.615,545,339,1,8,551,8,552,1.60e-116,352
SM_b21539,AYT27_RS01985,28.322,459,267,13,50,481,51,474,2.77e-47,166
SM_b21541,AYT27_RS00955,49.309,217,110,0,49,265,20,236,3.39e-71,223
SM_b21555,AYT27_RS05525,26.969,508,324,11,28,491,26,530,9.18e-44,160
SM_b21560,AYT27_RS05970,27.875,287,186,7,137,412,170,446,1.80e-27,109
SM_b21561,AYT27_RS05965,39.640,222,129,2,2,222,12,229,2.10e-47,152
SM_b21566,AYT27_RS06905,79.962,529,105,1,1,529,1,528,0.0,840
SM_b21574,AYT27_RS02480,39.252,107,62,2,14,117,354,460,3.20e-17,72.0
SM_b21579,AYT27_RS03170,30.159,126,79,4,2,127,6,122,4.47e-12,55.5
SM_b21586,AYT27_RS01245,33.758,314,183,9,18,329,19,309,1.87e-43,148
SM_b21588,AYT27_RS04245,28.205,234,155,3,5,225,2,235,5.27e-27,105
SM_b21592,AYT27_RS00955,42.978,356,183,7,5,355,4,344,5.34e-94,281
SM_b21593,AYT27_RS00960,26.316,209,148,2,64,269,73,278,2.50e-13,64.3
SM_b21594,AYT27_RS00965,26.119,268,191,3,33,299,32,293,1.78e-25,99.0
SM_b21595,AYT27_RS00970,23.636,440,293,19,4,409,3,433,1.31e-17,79.7
SM_b21597,AYT27_RS06150,24.928,349,206,13,2,331,1,312,1.42e-10,57.0
SM_b21602,AYT27_RS00960,29.952,207,142,1,64,267,73,279,2.56e-29,108
SM_b21603,AYT27_RS00965,24.908,273,185,7,27,289,29,291,1.49e-17,76.6
SM_b21605,AYT27_RS00955,45.730,363,173,8,4,362,4,346,1.91e-103,305
SM_b21630,AYT27_RS08610,69.268,410,126,0,1,410,1,410,0.0,590
SM_b21631,AYT27_RS08605,70.411,365,108,0,1,365,1,365,0.0,556
SM_b21633,AYT27_RS04380,25.735,272,173,9,3,258,9,267,1.00e-14,68.6
SM_b21635,AYT27_RS01985,23.691,401,254,12,120,511,116,473,3.43e-22,95.9
SM_b21644,AYT27_RS01235,49.606,508,254,2,45,552,24,529,1.09e-168,485
SM_b21645,AYT27_RS06180,35.841,226,138,3,149,374,89,307,3.86e-35,127
SM_b21646,AYT27_RS06185,30.000,340,206,7,9,330,32,357,1.92e-36,130
SM_b21653,AYT27_RS00965,27.106,273,188,7,22,290,20,285,2.00e-21,87.8
SM_b21654,AYT27_RS00960,30.000,260,170,3,25,272,24,283,1.01e-33,120
SM_b21662,AYT27_RS04160,30.409,171,101,4,7,166,1,164,6.92e-27,95.9
SM_b21707,AYT27_RS04240,32.287,223,146,3,1,220,3,223,5.06e-39,131
SM_b21712,AYT27_RS03355,75.000,24,6,0,1,24,1,24,2.95e-09,41.2
SM_b22023,AYT27_RS06910,77.660,94,21,0,1,94,4,97,9.34e-51,151
SM_b22024,AYT27_RS00620,34.579,107,65,2,18,122,4,107,7.24e-13,58.9
SMa0009,AYT27_RS07110,27.425,299,204,7,14,303,14,308,1.85e-34,123
SMa0015,AYT27_RS05370,30.079,379,224,13,3,349,15,384,7.20e-30,117
SMa0021,AYT27_RS04920,28.571,140,92,3,70,202,707,845,4.75e-09,51.2
SMa0036,AYT27_RS02865,34.884,516,319,6,14,527,4,504,1.54e-108,333
SMa0039,AYT27_RS05920,30.350,257,169,5,9,261,12,262,1.96e-26,101
SMa0041,AYT27_RS03835,26.006,323,208,4,30,329,27,341,4.81e-24,96.7
SMa0052,AYT27_RS01985,46.296,54,29,0,10,63,384,437,1.07e-12,56.6
SMa0059,AYT27_RS02775,29.482,251,168,2,1,251,1,242,1.39e-28,105
SMa0072,AYT27_RS05410,30.901,233,144,4,1,228,1,221,3.23e-31,111
SMa0074,AYT27_RS02775,28.458,253,169,3,1,252,1,242,5.73e-24,92.8
SMa0079,AYT27_RS05400,33.793,145,91,2,58,197,78,222,3.60e-19,79.0
SMa0081,AYT27_RS03285,33.175,211,121,5,20,214,29,235,1.45e-25,95.9
SMa0082,AYT27_RS03295,25.397,252,174,5,15,259,1,245,6.48e-22,87.8
SMa0083,AYT27_RS03280,59.504,242,97,1,18,258,14,255,9.32e-107,305
SMa0104,AYT27_RS06215,24.209,537,369,20,7,514,15,542,4.45e-20,89.0
SMa0105,AYT27_RS06185,31.317,281,165,1,57,309,77,357,2.99e-42,145
SMa0106,AYT27_RS06180,40.152,264,157,1,4,267,46,308,6.87e-59,186
SMa0108,AYT27_RS01235,48.462,260,130,3,5,262,4,261,1.71e-73,231
SMa0110,AYT27_RS06170,42.264,265,138,4,2,265,4,254,2.73e-65,202
SMa0113,AYT27_RS07075,29.412,221,152,3,635,851,109,329,3.41e-27,109
SMa0114,AYT27_RS07070,33.036,112,72,2,7,115,142,253,3.89e-10,51.2
SMa0116,AYT27_RS02240,38.411,302,166,7,4,290,3,299,2.51e-62,196
SMa0124,AYT27_RS06905,74.200,531,136,1,1,531,1,530,0.0,781
SMa0125,AYT27_RS06910,74.737,95,24,0,1,95,4,98,3.59e-48,145
SMa0126,AYT27_RS05910,66.667,66,22,0,1,66,1,66,3.42e-31,99.8
SMa0137,AYT27_RS02320,25.720,486,328,11,247,719,486,951,2.40e-48,179
SMa0143,AYT27_RS07060,36.145,166,93,2,1,161,1,158,6.59e-29,102
SMa0149,AYT27_RS05940,36.449,107,55,4,61,159,53,154,5.61e-12,56.2
SMa0150,AYT27_RS08055,25.144,521,326,13,29,495,107,617,2.31e-30,120
SMa0179,AYT27_RS05920,26.887,212,140,4,12,213,10,216,1.18e-12,62.8
SMa0181,AYT27_RS05910,59.420,69,26,1,1,67,1,69,1.03e-24,83.2
SMa0185,AYT27_RS06435,22.594,478,312,13,6,459,10,453,9.11e-14,68.9
SMa0187,AYT27_RS02775,31.048,248,158,7,73,316,3,241,4.70e-28,105
SMa0199,AYT27_RS01235,23.719,527,282,21,29,473,24,512,2.98e-22,95.5
SMa0216,AYT27_RS06170,31.600,250,115,7,1,223,1,221,4.77e-30,108
SMa0220,AYT27_RS01985,37.333,450,252,7,57,492,40,473,2.50e-88,275
SMa0224,AYT27_RS04985,28.788,198,135,4,5,200,11,204,5.72e-12,62.8
SMa0235,AYT27_RS00495,30.860,593,331,17,44,578,33,604,1.18e-56,197
SMa0244,AYT27_RS02210,41.686,427,248,1,51,476,40,466,1.19e-102,311
SMa0255,AYT27_RS00025,36.792,106,57,5,68,169,1,100,8.61e-08,47.8
SMa0260,AYT27_RS01985,33.058,484,303,8,15,487,2,475,1.15e-84,265
SMa0270,AYT27_RS01235,23.587,513,320,19,35,498,23,512,7.31e-29,115
SMa0279,AYT27_RS00200,37.037,54,34,0,81,134,126,179,4.22e-08,47.8
SMa0293,AYT27_RS03765,31.624,117,75,3,6,120,4,117,3.13e-11,52.8
SMa0298,AYT27_RS01235,44.444,261,140,3,1,257,1,260,1.48e-63,214
SMa0299,AYT27_RS06180,32.567,261,172,1,30,290,52,308,3.75e-38,133
SMa0300,AYT27_RS06185,29.290,338,209,6,1,314,26,357,7.72e-35,125
SMa0302,AYT27_RS06190,24.000,450,281,14,69,472,73,507,2.40e-25,105
SMa0303,AYT27_RS05920,24.898,245,174,5,12,247,10,253,1.21e-13,65.5
SMa0306,AYT27_RS03360,27.593,511,319,12,38,532,10,485,3.53e-45,162
SMa0320,AYT27_RS02775,29.825,228,151,3,1,228,1,219,1.03e-25,97.4
SMa0326,AYT27_RS02775,31.414,191,119,4,10,193,10,195,1.52e-20,84.0
SMa0329,AYT27_RS02775,31.405,242,159,4,4,241,3,241,3.53e-34,119
SMa0335,AYT27_RS02775,29.600,250,163,7,7,254,4,242,2.24e-21,85.9
SMa0339,AYT27_RS02775,36.948,249,134,8,12,252,11,244,7.48e-33,116
SMa0355,AYT27_RS05920,25.874,143,104,2,9,151,7,147,1.07e-10,54.3
SMa0369,AYT27_RS02320,32.857,70,46,1,2,71,874,942,4.72e-08,44.3
SMa0372,AYT27_RS05920,25.600,250,168,5,3,241,6,248,1.61e-17,77.0
SMa0383,AYT27_RS01090,32.296,514,343,2,6,516,2,513,1.66e-89,281
SMa0387,AYT27_RS05915,27.586,174,115,4,78,240,77,250,1.02e-11,61.2
SMa0389,AYT27_RS02775,34.553,246,156,2,5,250,1,241,7.37e-42,139
SMa0391,AYT27_RS00955,39.015,264,158,2,46,306,32,295,1.49e-60,195
SMa0400,AYT27_RS03835,28.774,212,144,5,1,207,1,210,6.65e-15,70.5
SMa0404,AYT27_RS01410,40.000,375,215,3,1,370,1,370,6.57e-94,282
SMa0466,AYT27_RS06215,25.000,424,277,12,7,404,4,412,4.60e-24,101
SMa0467,AYT27_RS01225,27.027,370,213,4,23,335,1,370,2.96e-40,141
SMa0469,AYT27_RS06180,34.000,250,165,0,8,257,50,299,4.00e-40,137
SMa0470,AYT27_RS06170,40.467,257,142,5,354,609,10,256,9.30e-58,191
SMa0471,AYT27_RS01520,46.970,66,27,1,7,72,4,61,2.67e-13,56.6
SMa0473,AYT27_RS03625,50.549,91,44,1,1,91,1,90,4.92e-26,88.6
SMa0483,AYT27_RS07800,27.000,200,139,3,87,280,36,234,1.53e-16,73.9
SMa0485,AYT27_RS02330,38.073,436,253,7,2,434,1,422,5.65e-96,294
SMa0489,AYT27_RS03280,53.750,240,110,1,14,252,16,255,1.79e-95,276
SMa0492,AYT27_RS03285,34.272,213,138,2,12,223,21,232,3.97e-43,141
SMa0493,AYT27_RS03290,35.119,168,108,1,42,209,50,216,1.71e-30,109
SMa0495,AYT27_RS03295,27.668,253,174,5,13,265,7,250,2.91e-32,115
SMa0498,AYT27_RS05920,27.451,255,164,9,3,245,5,250,8.05e-12,60.5
SMa0501,AYT27_RS03285,29.665,209,132,5,5,200,8,214,3.48e-23,89.7
SMa0503,AYT27_RS05405,27.670,206,142,3,11,212,33,235,1.67e-20,82.4
SMa0506,AYT27_RS03295,24.893,233,152,6,37,255,22,245,6.72e-14,65.5
SMa0508,AYT27_RS03280,48.101,237,122,1,3,238,16,252,5.39e-79,234
SMa0512,AYT27_RS03835,26.176,340,227,13,1,327,1,329,3.30e-19,83.2
SMa0513,AYT27_RS02775,30.612,245,165,3,5,247,1,242,1.79e-36,125
SMa0526,AYT27_RS00955,42.456,285,154,4,1,283,3,279,2.12e-75,232
SMa0527,AYT27_RS06315,28.652,178,110,5,2,164,3,178,1.11e-11,57.4
SMa0541,AYT27_RS06040,39.597,149,69,4,1,131,1,146,2.65e-33,110
SMa0552,AYT27_RS02670,40.288,139,79,3,3,140,6,141,3.04e-26,99.0
SMa0557,AYT27_RS05920,28.782,271,184,5,9,275,10,275,2.83e-24,95.5
SMa0567,AYT27_RS08055,27.612,134,90,3,51,179,512,643,3.18e-09,51.2
SMa0576,AYT27_RS04260,27.586,348,239,6,8,346,12,355,3.63e-29,112
SMa0579,AYT27_RS02500,31.429,140,65,4,418,548,383,500,2.31e-12,66.2
SMa0581,AYT27_RS00955,35.808,229,135,4,6,228,4,226,6.10e-42,142
SMa0599,AYT27_RS03975,30.769,364,221,10,50,402,50,393,3.87e-45,157
SMa0626,AYT27_RS07685,30.208,96,67,0,83,178,68,163,6.70e-09,50.8
SMa0630,AYT27_RS05510,26.389,216,139,9,185,394,493,694,4.39e-08,51.2
SMa0677,AYT27_RS05395,17.857,280,201,6,31,305,22,277,4.16e-11,58.5
SMa0684,AYT27_RS01430,21.867,375,265,9,8,367,11,372,1.62e-12,64.7
SMa0695,AYT27_RS04210,27.488,211,141,6,7,206,12,221,4.35e-13,64.7
SMa0707,AYT27_RS02590,30.769,104,71,1,18,120,2,105,7.49e-10,54.7
SMa0710,AYT27_RS00965,26.429,280,200,3,49,327,9,283,4.66e-25,98.6
SMa0711,AYT27_RS00960,25.592,211,143,5,68,270,74,278,5.65e-16,72.0
SMa0713,AYT27_RS00955,55.556,162,71,1,1,161,1,162,3.01e-63,195
SMa0714,AYT27_RS00955,28.916,166,93,6,1,162,199,343,3.43e-14,64.7
SMa0719,AYT27_RS02775,30.544,239,159,2,1,239,11,242,1.03e-26,99.8
SMa0738,AYT27_RS05910,56.522,69,28,1,1,67,1,69,6.82e-22,76.3
SMa0744,AYT27_RS06905,84.906,530,80,0,1,530,1,530,0.0,897
SMa0745,AYT27_RS06910,81.633,98,18,0,1,98,1,98,4.48e-57,167
SMa0748,AYT27_RS02395,52.273,132,62,1,1,132,6,136,1.51e-46,144
SMa0750,AYT27_RS05920,24.476,286,203,6,13,288,10,292,1.52e-19,82.4
SMa0753,AYT27_RS04935,26.000,150,105,3,12,156,24,172,3.85e-11,55.8
SMa0758,AYT27_RS04935,25.325,154,109,3,8,156,20,172,8.12e-11,54.3
SMa0772,AYT27_RS05655,28.800,125,67,3,75,180,41,162,2.48e-11,55.8
SMa0793,AYT27_RS04935,32.895,152,96,3,12,158,24,174,5.60e-18,75.9
SMa0796,AYT27_RS01985,32.231,484,303,9,1,471,2,473,6.42e-80,253
SMa0803,AYT27_RS00955,37.394,353,191,7,5,342,3,340,1.24e-68,215
SMa0805,AYT27_RS01985,35.232,474,290,10,20,484,6,471,4.65e-84,263
SMa0815,AYT27_RS03030,38.189,254,152,2,179,431,121,370,3.96e-49,172
SMa0817,AYT27_RS06250,24.728,368,236,13,5,344,12,366,1.30e-18,83.6
SMa0819,AYT27_RS06245,32.453,265,163,8,78,339,55,306,2.65e-28,108
SMa0822,AYT27_RS06240,28.631,241,147,6,1,226,1,231,1.17e-20,84.7
SMa0853,AYT27_RS02785,38.902,419,233,6,3,401,2,417,4.28e-71,225
SMa0854,AYT27_RS02775,69.388,245,75,0,1,245,1,245,2.26e-128,359
SMa0857,AYT27_RS05370,27.273,275,181,9,79,341,45,312,7.71e-18,81.6
SMa0864,AYT27_RS00085,34.440,241,145,5,60,294,31,264,8.09e-33,119
SMa0874,AYT27_RS06585,50.649,154,75,1,2,155,3,155,1.52e-50,155
SMa0875,AYT27_RS00680,28.599,1035,704,14,8,1027,24,1038,1.31e-136,435
SMa0876,AYT27_RS00675,26.421,299,202,7,52,349,65,346,1.58e-15,72.8
SMa0878,AYT27_RS05065,60.691,608,238,1,1,608,1,607,0.0,778
SMa0892,AYT27_RS05025,27.281,1085,711,29,3,1024,18,1087,5.08e-100,338
SMa0911,AYT27_RS04640,29.796,245,152,10,82,319,60,291,3.86e-16,73.6
SMa0929,AYT27_RS06825,53.090,631,283,6,11,634,8,632,0.0,692
SMa0937,AYT27_RS05510,29.126,103,71,1,485,587,594,694,6.62e-09,54.7
SMa0939,AYT27_RS04920,26.429,280,173,7,368,632,439,700,3.12e-20,90.9
SMa0940,AYT27_RS00310,31.746,126,84,2,1,125,7,131,2.03e-15,68.2
SMa0941,AYT27_RS00310,34.483,116,75,1,6,121,9,123,1.06e-15,66.6
SMa0953,AYT27_RS00955,45.749,247,130,3,6,249,4,249,9.91e-72,224
SMa0956,AYT27_RS00540,26.347,334,185,12,45,354,18,314,8.91e-23,95.5
SMa0958,AYT27_RS05575,28.648,562,360,18,11,553,19,558,1.16e-53,188
SMa0959,AYT27_RS02775,34.016,244,150,3,10,253,9,241,8.87e-36,124
SMa0961,AYT27_RS00310,26.852,216,142,4,18,221,24,235,1.11e-16,72.4
SMa0969,AYT27_RS00310,29.747,158,109,2,85,240,78,235,6.22e-16,70.5
SMa1001,AYT27_RS07075,28.431,204,128,5,198,393,136,329,1.22e-14,70.1
SMa1057,AYT27_RS06735,33.945,109,72,0,1,109,1,109,3.36e-18,75.9
SMa1120,AYT27_RS08080,42.105,209,111,3,87,288,22,227,8.44e-45,157
SMa1124,AYT27_RS08085,23.547,327,204,11,77,383,88,388,8.67e-09,52.4
SMa1128,AYT27_RS02470,32.877,365,217,9,81,428,125,478,1.14e-51,177
SMa1138,AYT27_RS05965,36.184,152,87,4,1,152,88,229,2.74e-23,87.8
SMa1139,AYT27_RS05965,40.984,61,36,0,14,74,14,74,9.23e-15,62.4
SMa1142,AYT27_RS04920,38.791,397,225,7,144,527,452,843,2.29e-76,253
SMa1146,AYT27_RS08640,27.700,213,139,6,71,272,73,281,2.07e-09,55.5
SMa1156,AYT27_RS03835,25.633,316,212,11,29,339,27,324,1.64e-12,63.2
SMa1166,AYT27_RS04275,31.298,131,72,3,40,158,2,126,5.19e-11,58.2
SMa1184,AYT27_RS00085,30.769,221,146,3,1,215,24,243,6.26e-26,99.8
SMa1227,AYT27_RS00310,35.652,115,67,3,5,116,10,120,5.42e-13,61.6
SMa1229,AYT27_RS03025,27.935,247,153,7,265,495,499,736,4.54e-18,82.8
SMa1255,AYT27_RS04420,41.975,81,47,0,22,102,43,123,3.33e-18,70.1
SMa1266,AYT27_RS00265,28.866,194,132,4,45,236,2,191,1.40e-22,94.7
SMa1296,AYT27_RS03835,27.607,326,215,11,27,339,25,342,3.09e-19,83.2
SMa1301,AYT27_RS04985,25.862,174,103,6,43,198,34,199,6.12e-08,49.7
SMa1302,AYT27_RS06810,60.486,329,119,2,9,326,15,343,3.70e-142,402
SMa1303,AYT27_RS06805,49.242,396,175,6,5,389,6,386,4.23e-126,365
SMa1306,AYT27_RS06800,55.319,282,125,1,1,281,5,286,8.03e-115,328
SMa1308,AYT27_RS06795,52.252,222,104,2,2,222,1,221,5.64e-79,232
SMa1310,AYT27_RS06790,36.765,68,38,3,18,83,8,72,1.96e-10,49.3
SMa1311,AYT27_RS06785,34.737,285,173,5,17,297,19,294,2.48e-46,155
SMa1315,AYT27_RS06775,61.990,784,294,1,6,789,2,781,0.0,1041
SMa1318,AYT27_RS06770,52.525,99,47,0,9,107,2,100,8.00e-39,122
SMa1319,AYT27_RS06765,50.000,62,31,0,35,96,42,103,4.98e-18,68.9
SMa1328,AYT27_RS05620,29.885,435,279,9,5,429,7,425,1.67e-56,189
SMa1339,AYT27_RS00965,28.467,274,189,4,30,297,18,290,1.95e-24,96.3
SMa1341,AYT27_RS00960,30.317,221,140,7,101,312,63,278,2.25e-18,79.3
SMa1344,AYT27_RS00955,39.503,362,193,5,4,362,4,342,1.84e-86,261
SMa1345,AYT27_RS00955,48.699,269,130,3,1,263,1,267,3.19e-82,250
SMa1362,AYT27_RS00960,28.634,227,157,4,229,454,50,272,1.94e-20,87.0
SMa1363,AYT27_RS00965,26.667,345,173,11,12,352,16,284,2.67e-19,82.8
SMa1365,AYT27_RS01235,35.417,96,61,1,1,96,177,271,1.09e-14,64.7
SMa1367,AYT27_RS02775,30.579,242,159,5,8,249,10,242,1.68e-25,96.7
SMa1370,AYT27_RS01235,44.490,245,135,1,16,260,284,527,1.89e-67,216
SMa1371,AYT27_RS01235,46.964,247,126,3,23,265,24,269,4.17e-70,223
SMa1373,AYT27_RS06185,29.936,314,189,2,19,302,43,355,9.51e-44,149
SMa1374,AYT27_RS06180,36.131,274,169,1,24,297,42,309,4.37e-59,188
SMa1375,AYT27_RS06215,25.652,460,291,13,39,452,48,502,1.99e-22,95.9
SMa1377,AYT27_RS04230,28.310,491,293,12,1,440,1,483,8.31e-42,151
SMa1379,AYT27_RS06215,24.729,461,297,18,35,450,48,503,3.71e-20,89.0
SMa1389,AYT27_RS06245,62.581,310,111,2,1,309,1,306,2.18e-139,392
SMa1391,AYT27_RS06240,65.844,243,83,0,1,243,1,243,1.63e-116,329
SMa1398,AYT27_RS02775,30.612,245,159,5,10,254,9,242,4.34e-25,95.9
SMa1408,AYT27_RS04380,26.744,172,115,4,16,182,22,187,8.34e-12,60.1
SMa1415,AYT27_RS01985,34.639,485,282,10,19,486,7,473,3.02e-88,275
SMa1421,AYT27_RS04245,29.437,231,146,3,4,222,8,233,8.81e-24,96.3
SMa1434,AYT27_RS01235,42.471,518,292,4,19,534,14,527,7.97e-147,429
SMa1435,AYT27_RS06180,36.364,264,163,1,28,291,49,307,1.29e-48,160
SMa1437,AYT27_RS06185,33.851,322,180,5,14,303,37,357,1.98e-49,164
SMa1438,AYT27_RS06190,25.758,330,203,15,39,331,46,370,8.11e-17,78.6
SMa1440,AYT27_RS02590,26.531,294,189,11,13,293,4,283,5.06e-18,78.2
SMa1447,AYT27_RS05610,29.444,180,107,6,42,201,38,217,6.08e-08,50.1
SMa1452,AYT27_RS02775,27.953,254,168,6,2,252,3,244,5.12e-18,76.6
SMa1466,AYT27_RS00955,34.413,247,145,5,1,242,3,237,4.54e-42,146
SMa1480,AYT27_RS05920,33.600,125,79,2,6,126,4,128,1.25e-11,59.7
SMa1485,AYT27_RS05140,23.404,235,180,0,33,267,36,270,8.60e-11,58.9
SMa1487,AYT27_RS01220,34.737,95,58,4,29,120,71,164,2.77e-10,51.2
SMa1493,AYT27_RS05920,26.908,249,174,3,5,249,6,250,4.25e-20,84.3
SMa1509,AYT27_RS05410,28.571,224,157,2,5,225,6,229,2.58e-27,106
SMa1516,AYT27_RS04565,44.127,315,142,4,32,324,37,339,4.02e-77,236
SMa1519,AYT27_RS04560,35.338,133,82,3,16,146,12,142,1.08e-25,93.2
SMa1523,AYT27_RS04570,28.488,681,389,16,1,670,1,594,8.07e-73,248
SMa1525,AYT27_RS04575,48.579,387,195,4,32,415,33,418,9.01e-128,372
SMa1526,AYT27_RS04580,37.931,145,87,2,13,154,32,176,1.08e-30,107
SMa1529,AYT27_RS04585,46.565,393,207,1,15,404,4,396,2.20e-128,371
SMa1531,AYT27_RS04590,38.095,147,90,1,8,153,7,153,8.44e-30,104
SMa1532,AYT27_RS04595,55.172,145,64,1,13,156,47,191,5.09e-59,178
SMa1533,AYT27_RS04600,40.517,116,68,1,5,120,7,121,8.14e-28,95.1
SMa1535,AYT27_RS04535,39.451,474,268,7,15,476,14,480,4.49e-96,295
SMa1536,AYT27_RS04540,47.023,487,251,3,4,485,5,489,7.14e-154,443
SMa1538,AYT27_RS08595,28.536,403,257,10,60,432,75,476,2.73e-33,131
SMa1541,AYT27_RS08595,29.581,453,286,11,42,476,40,477,5.88e-42,155
SMa1544,AYT27_RS04550,48.864,88,44,1,14,100,15,102,5.64e-24,84.0
SMa1545,AYT27_RS04555,37.500,160,89,4,16,166,20,177,3.61e-18,73.9
SMa1547,AYT27_RS02915,30.286,175,122,0,24,198,14,188,2.46e-20,81.6
SMa1548,AYT27_RS02320,28.285,449,301,8,628,1066,514,951,1.48e-52,195
SMa1558,AYT27_RS05965,33.636,110,69,2,592,701,15,120,1.71e-14,69.3
SMa1568,AYT27_RS06810,30.606,330,177,13,141,427,22,342,2.22e-34,128
SMa1582,AYT27_RS05510,30.493,223,148,3,187,409,569,784,7.23e-27,109
SMa1593,AYT27_RS02030,26.549,226,152,5,25,240,20,241,2.39e-12,63.5
SMa1600,AYT27_RS05525,52.021,569,261,3,1,562,2,565,0.0,528
SMa1602,AYT27_RS05920,29.344,259,172,4,5,256,8,262,6.36e-29,108
SMa1619,AYT27_RS08545,26.070,257,165,8,33,280,47,287,9.62e-11,57.4
SMa1620,AYT27_RS08285,27.000,300,200,7,20,312,37,324,2.81e-21,88.6
SMa1629,AYT27_RS02775,32.046,259,150,7,4,254,1,241,5.23e-32,114
SMa1632,AYT27_RS05920,27.055,292,190,9,24,304,9,288,3.65e-21,87.4
SMa1646,AYT27_RS01235,40.517,232,136,2,24,254,297,527,2.21e-57,190
SMa1647,AYT27_RS01235,45.736,258,140,0,6,263,4,261,1.63e-76,240
SMa1649,AYT27_RS06180,39.925,268,155,1,4,271,40,301,4.14e-54,174
SMa1650,AYT27_RS06185,25.000,336,220,5,2,307,24,357,1.99e-20,86.3
SMa1651,AYT27_RS06190,22.454,432,259,20,22,401,4,411,2.64e-11,61.2
SMa1662,AYT27_RS00680,29.299,1041,691,17,7,1033,23,1032,7.00e-127,408
SMa1684,AYT27_RS04920,29.412,238,133,10,383,599,450,673,1.17e-13,69.7
SMa1686,AYT27_RS03030,35.537,121,76,1,10,128,7,127,2.55e-17,75.5
SMa1688,AYT27_RS00310,29.060,117,82,1,16,132,8,123,1.43e-11,55.8
SMa1691,AYT27_RS05930,45.671,462,250,1,24,484,1,462,1.88e-142,413
SMa1696,AYT27_RS07075,29.756,205,131,6,198,396,136,333,7.62e-15,70.9
SMa1705,AYT27_RS02395,53.030,132,61,1,1,132,6,136,3.37e-45,140
SMa1720,AYT27_RS05920,26.087,299,194,5,1,287,5,288,2.16e-21,88.2
