B_henselae|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
AYT27_RS01520,AYT27_RS01520,100.000,91,0,0,1,91,1,91,3.13e-63,182
AYT27_RS01525,AYT27_RS01525,100.000,96,0,0,1,96,1,96,4.84e-68,194
AYT27_RS01530,AYT27_RS01530,100.000,70,0,0,1,70,1,70,3.67e-47,140
AYT27_RS01535,AYT27_RS01535,100.000,67,0,0,1,67,1,67,5.12e-46,137
AYT27_RS01540,AYT27_RS01540,100.000,75,0,0,1,75,1,75,1.02e-49,147
AYT27_RS01545,AYT27_RS01545,100.000,220,0,0,1,220,1,220,8.17e-166,452
AYT27_RS01550,AYT27_RS01550,100.000,100,0,0,1,100,1,100,2.16e-71,203
AYT27_RS01555,AYT27_RS01555,100.000,106,0,0,1,106,1,106,7.07e-76,215
AYT27_RS01560,AYT27_RS01790,100.000,92,0,0,1,92,1,92,3.14e-64,184
AYT27_RS01565,AYT27_RS01565,100.000,243,0,0,1,243,1,243,0.0,505
AYT27_RS01570,AYT27_RS01570,100.000,76,0,0,1,76,1,76,4.09e-55,160
AYT27_RS01575,AYT27_RS01575,100.000,190,0,0,1,190,1,190,6.66e-144,394
AYT27_RS01580,AYT27_RS01580,100.000,182,0,0,1,182,1,182,1.30e-140,385
AYT27_RS01585,AYT27_RS01585,100.000,47,0,0,1,47,1,47,2.14e-32,101
AYT27_RS01590,AYT27_RS01590,100.000,435,0,0,1,435,1,435,0.0,899
AYT27_RS01595,AYT27_RS01595,100.000,74,0,0,1,74,1,74,6.64e-52,152
AYT27_RS01600,AYT27_RS01600,100.000,126,0,0,1,126,1,126,3.58e-92,258
AYT27_RS01605,AYT27_RS01605,100.000,766,0,0,1,766,1,766,0.0,1532
AYT27_RS01610,AYT27_RS01610,100.000,31,0,0,1,31,1,31,7.07e-19,65.9
AYT27_RS01615,AYT27_RS01615,100.000,94,0,0,1,94,1,94,1.42e-66,191
AYT27_RS01620,AYT27_RS01620,100.000,168,0,0,1,168,1,168,3.98e-126,347
AYT27_RS01625,AYT27_RS01625,100.000,410,0,0,1,410,1,410,0.0,831
AYT27_RS01630,AYT27_RS01630,100.000,173,0,0,1,173,1,173,3.61e-130,358
AYT27_RS01635,AYT27_RS01635,100.000,109,0,0,1,109,1,109,2.12e-79,224
AYT27_RS01640,AYT27_RS01640,100.000,59,0,0,1,59,1,59,2.53e-40,122
AYT27_RS01645,AYT27_RS01645,100.000,68,0,0,1,68,1,68,3.58e-46,137
AYT27_RS01650,AYT27_RS01650,100.000,441,0,0,1,441,1,441,0.0,866
AYT27_RS01655,AYT27_RS01655,100.000,1047,0,0,1,1047,1,1047,0.0,2154
AYT27_RS01660,AYT27_RS01660,100.000,368,0,0,1,368,1,368,0.0,756
AYT27_RS01665,AYT27_RS01665,100.000,275,0,0,1,275,1,275,0.0,559
AYT27_RS01670,AYT27_RS01670,100.000,113,0,0,1,113,1,113,1.30e-81,230
AYT27_RS01675,AYT27_RS01675,100.000,229,0,0,1,229,1,229,3.59e-167,456
AYT27_RS01680,AYT27_RS01680,100.000,180,0,0,1,180,1,180,2.53e-136,374
AYT27_RS01685,AYT27_RS01685,100.000,90,0,0,1,90,1,90,2.03e-65,187
AYT27_RS01690,AYT27_RS01690,100.000,105,0,0,1,105,1,105,1.44e-77,219
AYT27_RS01695,AYT27_RS01695,100.000,48,0,0,1,48,1,48,5.54e-31,97.8
AYT27_RS01700,AYT27_RS01700,100.000,92,0,0,1,92,1,92,5.85e-65,186
AYT27_RS01705,AYT27_RS01705,100.000,252,0,0,1,252,1,252,0.0,523
AYT27_RS01710,AYT27_RS01710,100.000,184,0,0,1,184,1,184,6.42e-141,386
AYT27_RS01715,AYT27_RS01715,100.000,50,0,0,1,50,1,50,1.15e-31,99.4
AYT27_RS01720,AYT27_RS01720,100.000,357,0,0,1,357,1,357,0.0,731
AYT27_RS01725,AYT27_RS01725,100.000,117,0,0,1,117,1,117,1.16e-87,246
AYT27_RS01730,AYT27_RS01730,100.000,358,0,0,1,358,1,358,0.0,745
AYT27_RS01735,AYT27_RS01735,100.000,122,0,0,1,122,1,122,6.92e-91,254
AYT27_RS01740,AYT27_RS01740,100.000,106,0,0,1,106,1,106,7.05e-73,207
AYT27_RS01745,AYT27_RS01745,100.000,347,0,0,1,347,1,347,0.0,722
AYT27_RS01750,AYT27_RS01750,100.000,518,0,0,1,518,1,518,0.0,1083
AYT27_RS01755,AYT27_RS01755,100.000,82,0,0,1,82,1,82,1.85e-56,164
AYT27_RS01760,AYT27_RS01760,100.000,642,0,0,1,642,1,642,0.0,1337
AYT27_RS01765,AYT27_RS01765,100.000,193,0,0,1,193,1,193,9.32e-146,399
AYT27_RS01770,AYT27_RS01770,100.000,104,0,0,1,104,1,104,8.54e-77,217
AYT27_RS01775,AYT27_RS01775,100.000,98,0,0,1,98,1,98,1.44e-70,201
AYT27_RS01780,AYT27_RS01780,100.000,87,0,0,1,87,1,87,5.80e-61,176
AYT27_RS01785,AYT27_RS01785,100.000,93,0,0,1,93,1,93,2.63e-66,190
AYT27_RS01790,AYT27_RS01790,100.000,92,0,0,1,92,1,92,3.14e-64,184
AYT27_RS01795,AYT27_RS01795,100.000,252,0,0,1,252,1,252,0.0,523
AYT27_RS01800,AYT27_RS01800,100.000,171,0,0,1,171,1,171,2.29e-132,363
AYT27_RS01805,AYT27_RS01805,100.000,188,0,0,1,188,1,188,3.17e-142,389
AYT27_RS01810,AYT27_RS01810,100.000,180,0,0,1,180,1,180,7.71e-138,378
AYT27_RS01815,AYT27_RS01815,100.000,69,0,0,1,69,1,69,5.73e-49,144
AYT27_RS01820,AYT27_RS01820,100.000,63,0,0,1,63,1,63,1.58e-42,127
AYT27_RS01825,AYT27_RS01825,100.000,192,0,0,1,192,1,192,7.19e-144,394
AYT27_RS01830,AYT27_RS01830,100.000,106,0,0,1,106,1,106,4.35e-73,208
AYT27_RS01835,AYT27_RS01835,100.000,131,0,0,1,131,1,131,1.78e-95,266
AYT27_RS01840,AYT27_RS01840,100.000,67,0,0,1,67,1,67,6.82e-42,126
AYT27_RS01845,AYT27_RS01845,100.000,179,0,0,1,179,1,179,2.86e-135,371
AYT27_RS01850,AYT27_RS01850,100.000,148,0,0,1,148,1,148,2.64e-112,310
AYT27_RS01855,AYT27_RS01855,100.000,94,0,0,1,94,1,94,1.22e-60,176
AYT27_RS01860,AYT27_RS04850,100.000,97,0,0,1,97,1,97,4.43e-70,200
AYT27_RS01865,AYT27_RS01865,100.000,109,0,0,1,109,1,109,1.97e-78,222
AYT27_RS01870,AYT27_RS01870,100.000,139,0,0,1,139,1,139,1.41e-100,280
AYT27_RS01875,AYT27_RS01875,100.000,370,0,0,1,370,1,370,0.0,778
AYT27_RS01880,AYT27_RS01880,100.000,115,0,0,1,115,1,115,6.63e-85,239
AYT27_RS01885,AYT27_RS01885,100.000,158,0,0,1,158,1,158,3.77e-120,331
AYT27_RS01890,AYT27_RS01890,100.000,258,0,0,1,258,1,258,0.0,532
AYT27_RS01895,AYT27_RS01895,100.000,140,0,0,1,140,1,140,1.23e-102,285
AYT27_RS01900,AYT27_RS01900,100.000,119,0,0,1,119,1,119,2.82e-89,250
AYT27_RS01905,AYT27_RS01905,100.000,205,0,0,1,205,1,205,1.26e-153,420
AYT27_RS01910,AYT27_RS01910,100.000,124,0,0,1,124,1,124,1.97e-87,246
AYT27_RS01915,AYT27_RS01915,100.000,130,0,0,1,130,1,130,2.12e-97,271
AYT27_RS01920,AYT27_RS01920,100.000,253,0,0,1,253,1,253,0.0,519
AYT27_RS01925,AYT27_RS03570,100.000,127,0,0,1,127,1,127,2.25e-93,261
AYT27_RS01930,AYT27_RS03565,100.000,121,0,0,1,121,1,121,2.48e-90,253
AYT27_RS01935,AYT27_RS03560,100.000,259,0,0,1,259,1,259,0.0,533
AYT27_RS01940,AYT27_RS01940,100.000,207,0,0,1,207,1,207,1.47e-159,435
AYT27_RS01945,AYT27_RS03555,100.000,163,0,0,1,163,45,207,8.46e-124,342
AYT27_RS01950,AYT27_RS01950,100.000,67,0,0,1,67,1,67,1.13e-47,141
AYT27_RS01955,AYT27_RS01955,100.000,25,0,0,1,25,1,25,2.03e-13,52.0
AYT27_RS01960,AYT27_RS01960,100.000,387,0,0,1,387,1,387,0.0,791
AYT27_RS01965,AYT27_RS01965,100.000,429,0,0,1,429,1,429,0.0,877
AYT27_RS01970,AYT27_RS01970,100.000,451,0,0,1,451,1,451,0.0,927
AYT27_RS01975,AYT27_RS01975,100.000,294,0,0,1,294,1,294,0.0,599
AYT27_RS01980,AYT27_RS01980,100.000,334,0,0,1,334,1,334,0.0,695
AYT27_RS01985,AYT27_RS01985,100.000,476,0,0,1,476,1,476,0.0,992
AYT27_RS01990,AYT27_RS01990,100.000,841,0,0,1,841,1,841,0.0,1741
AYT27_RS01995,AYT27_RS01995,100.000,73,0,0,1,73,1,73,2.68e-52,153
AYT27_RS02000,AYT27_RS02000,100.000,165,0,0,1,165,1,165,1.39e-116,323
AYT27_RS02005,AYT27_RS02005,100.000,437,0,0,1,437,1,437,0.0,902
AYT27_RS02010,AYT27_RS02010,100.000,137,0,0,1,137,1,137,1.11e-95,268
AYT27_RS02015,AYT27_RS02015,100.000,362,0,0,1,362,1,362,0.0,743
AYT27_RS02020,AYT27_RS02020,100.000,25,0,0,1,25,1,25,4.36e-14,53.5
AYT27_RS02025,AYT27_RS02025,100.000,475,0,0,1,475,1,475,0.0,988
AYT27_RS02030,AYT27_RS02030,100.000,427,0,0,1,427,1,427,0.0,892
AYT27_RS02035,AYT27_RS02035,100.000,491,0,0,1,491,1,491,0.0,1016
AYT27_RS02040,AYT27_RS02040,100.000,252,0,0,1,252,1,252,0.0,521
AYT27_RS02045,AYT27_RS02045,100.000,607,0,0,1,607,1,607,0.0,1248
AYT27_RS02050,AYT27_RS02050,100.000,299,0,0,1,299,1,299,0.0,608
AYT27_RS02055,AYT27_RS02055,100.000,624,0,0,1,624,1,624,0.0,1276
AYT27_RS02060,AYT27_RS02060,100.000,247,0,0,1,247,1,247,0.0,509
AYT27_RS02065,AYT27_RS02065,100.000,457,0,0,1,457,1,457,0.0,952
AYT27_RS02070,AYT27_RS02070,100.000,451,0,0,1,451,1,451,0.0,882
AYT27_RS02075,AYT27_RS02075,100.000,294,0,0,1,294,1,294,0.0,607
AYT27_RS02080,AYT27_RS02080,100.000,261,0,0,1,261,1,261,0.0,541
AYT27_RS02085,AYT27_RS02085,100.000,85,0,0,1,85,1,85,4.43e-62,179
AYT27_RS02090,AYT27_RS02090,100.000,247,0,0,1,247,1,247,0.0,513
AYT27_RS02095,AYT27_RS02095,100.000,418,0,0,1,418,1,418,0.0,852
AYT27_RS02100,AYT27_RS02100,100.000,453,0,0,1,453,1,453,0.0,900
AYT27_RS02105,AYT27_RS02105,100.000,562,0,0,1,562,1,562,0.0,1132
AYT27_RS02110,AYT27_RS02110,100.000,590,0,0,1,590,1,590,0.0,1177
AYT27_RS02115,AYT27_RS02115,100.000,223,0,0,1,223,1,223,1.91e-164,449
AYT27_RS02120,AYT27_RS02120,100.000,475,0,0,1,475,1,475,0.0,971
AYT27_RS02125,AYT27_RS02125,100.000,147,0,0,1,147,1,147,2.98e-103,288
AYT27_RS02130,AYT27_RS02130,100.000,141,0,0,1,141,1,141,4.84e-101,281
AYT27_RS02135,AYT27_RS02135,100.000,252,0,0,1,252,1,252,1.07e-179,489
AYT27_RS02140,AYT27_RS02140,100.000,76,0,0,1,76,1,76,4.69e-48,142
AYT27_RS02145,AYT27_RS02145,100.000,188,0,0,1,188,1,188,1.75e-137,377
AYT27_RS02150,AYT27_RS02150,100.000,164,0,0,1,164,1,164,2.23e-115,320
AYT27_RS02155,AYT27_RS02155,100.000,740,0,0,1,740,1,740,0.0,1514
AYT27_RS02160,AYT27_RS02160,100.000,317,0,0,1,317,1,317,0.0,665
AYT27_RS02165,AYT27_RS02165,100.000,564,0,0,1,564,1,564,0.0,1158
AYT27_RS02170,AYT27_RS02170,100.000,356,0,0,1,356,1,356,0.0,733
AYT27_RS02175,AYT27_RS02175,100.000,263,0,0,1,263,1,263,0.0,543
AYT27_RS02180,AYT27_RS02180,100.000,283,0,0,1,283,1,283,0.0,576
AYT27_RS02185,AYT27_RS02185,100.000,60,0,0,1,60,1,60,3.94e-39,119
AYT27_RS02190,AYT27_RS02190,100.000,302,0,0,1,302,1,302,0.0,618
AYT27_RS02195,AYT27_RS02195,100.000,346,0,0,1,346,1,346,0.0,660
AYT27_RS02200,AYT27_RS02200,100.000,223,0,0,1,223,1,223,2.41e-168,458
AYT27_RS02205,AYT27_RS02205,100.000,320,0,0,1,320,1,320,0.0,648
AYT27_RS02210,AYT27_RS02210,100.000,469,0,0,1,469,1,469,0.0,958
AYT27_RS02215,AYT27_RS02215,100.000,174,0,0,1,174,1,174,6.80e-131,360
AYT27_RS02220,AYT27_RS02220,100.000,427,0,0,1,427,1,427,0.0,880
AYT27_RS02225,AYT27_RS02225,100.000,334,0,0,1,334,1,334,0.0,681
AYT27_RS02230,AYT27_RS02230,100.000,61,0,0,1,61,1,61,5.37e-40,121
AYT27_RS02235,AYT27_RS02235,100.000,207,0,0,1,207,1,207,2.67e-158,432
AYT27_RS02240,AYT27_RS02240,100.000,300,0,0,1,300,1,300,0.0,613
AYT27_RS02245,AYT27_RS02245,100.000,272,0,0,1,272,1,272,0.0,553
AYT27_RS02250,AYT27_RS02250,100.000,366,0,0,1,366,1,366,0.0,751
AYT27_RS02255,AYT27_RS02255,100.000,368,0,0,1,368,1,368,0.0,754
AYT27_RS02260,AYT27_RS02260,100.000,84,0,0,1,84,1,84,1.44e-56,164
AYT27_RS02265,AYT27_RS02265,100.000,640,0,0,1,640,1,640,0.0,1297
AYT27_RS02270,AYT27_RS02270,100.000,249,0,0,1,249,1,249,0.0,495
AYT27_RS02275,AYT27_RS02275,100.000,417,0,0,1,417,1,417,0.0,862
AYT27_RS02280,AYT27_RS02280,100.000,472,0,0,1,472,1,472,0.0,976
AYT27_RS02285,AYT27_RS02285,100.000,179,0,0,1,179,1,179,1.85e-134,369
AYT27_RS02290,AYT27_RS02290,100.000,312,0,0,1,312,1,312,0.0,617
AYT27_RS02295,AYT27_RS02295,100.000,343,0,0,1,343,1,343,0.0,704
AYT27_RS02300,AYT27_RS02300,100.000,319,0,0,1,319,1,319,0.0,662
AYT27_RS02305,AYT27_RS02305,100.000,155,0,0,1,155,1,155,4.53e-117,323
AYT27_RS02310,AYT27_RS02310,100.000,284,0,0,1,284,1,284,0.0,578
AYT27_RS02315,AYT27_RS02315,100.000,194,0,0,1,194,1,194,5.49e-147,402
AYT27_RS02320,AYT27_RS02320,100.000,961,0,0,1,961,1,961,0.0,1967
AYT27_RS02325,AYT27_RS02325,100.000,426,0,0,1,426,1,426,0.0,878
AYT27_RS02330,AYT27_RS02330,100.000,465,0,0,1,465,1,465,0.0,969
AYT27_RS02335,AYT27_RS02335,100.000,122,0,0,1,122,1,122,4.04e-87,245
AYT27_RS02340,AYT27_RS02340,100.000,120,0,0,1,120,1,120,1.12e-84,238
AYT27_RS02345,AYT27_RS02345,100.000,111,0,0,1,111,1,111,3.07e-78,221
AYT27_RS02350,AYT27_RS02350,100.000,233,0,0,1,233,1,233,4.00e-176,479
AYT27_RS02355,AYT27_RS02355,100.000,378,0,0,1,378,1,378,0.0,784
AYT27_RS02360,AYT27_RS02360,100.000,368,0,0,1,368,1,368,0.0,766
AYT27_RS02365,AYT27_RS02365,100.000,166,0,0,1,166,1,166,3.37e-123,340
AYT27_RS02370,AYT27_RS02370,100.000,218,0,0,1,218,1,218,5.62e-166,452
AYT27_RS02375,AYT27_RS02375,100.000,891,0,0,1,891,1,891,0.0,1842
AYT27_RS02380,AYT27_RS02380,100.000,282,0,0,1,282,1,282,0.0,569
AYT27_RS02385,AYT27_RS02385,100.000,124,0,0,1,124,1,124,6.32e-91,254
AYT27_RS02390,AYT27_RS02390,100.000,136,0,0,1,136,1,136,4.57e-101,281
AYT27_RS02395,AYT27_RS02395,100.000,145,0,0,1,145,1,145,1.99e-108,300
AYT27_RS02400,AYT27_RS02400,100.000,698,0,0,1,698,1,698,0.0,1459
AYT27_RS02405,AYT27_RS02405,100.000,200,0,0,1,200,1,200,3.83e-152,416
AYT27_RS02410,AYT27_RS02410,100.000,25,0,0,1,25,1,25,1.03e-13,52.8
AYT27_RS02415,AYT27_RS02415,100.000,261,0,0,1,261,1,261,0.0,528
AYT27_RS02420,AYT27_RS02420,100.000,179,0,0,1,179,1,179,1.38e-132,364
AYT27_RS02425,AYT27_RS02425,100.000,198,0,0,1,198,1,198,2.15e-150,411
AYT27_RS02430,AYT27_RS02430,100.000,716,0,0,1,716,1,716,0.0,1484
AYT27_RS02435,AYT27_RS02435,100.000,77,0,0,1,77,1,77,3.53e-52,153
AYT27_RS02440,AYT27_RS02440,100.000,222,0,0,1,222,1,222,7.40e-167,454
AYT27_RS02445,AYT27_RS02445,100.000,470,0,0,1,470,1,470,0.0,954
AYT27_RS02450,AYT27_RS02450,100.000,244,0,0,1,244,1,244,0.0,499
AYT27_RS02455,AYT27_RS02455,100.000,159,0,0,1,159,1,159,6.69e-118,325
AYT27_RS02460,AYT27_RS02460,100.000,661,0,0,1,661,1,661,0.0,1321
AYT27_RS02465,AYT27_RS02465,100.000,152,0,0,1,152,1,152,9.72e-111,307
AYT27_RS02470,AYT27_RS02470,100.000,503,0,0,1,503,1,503,0.0,1012
AYT27_RS02475,AYT27_RS02475,100.000,228,0,0,1,228,1,228,8.22e-171,465
AYT27_RS02480,AYT27_RS02480,100.000,460,0,0,1,460,1,460,0.0,925
AYT27_RS02485,AYT27_RS02485,100.000,974,0,0,1,974,1,974,0.0,1996
AYT27_RS02490,AYT27_RS02490,100.000,274,0,0,1,274,1,274,0.0,556
AYT27_RS02495,AYT27_RS02495,100.000,174,0,0,1,174,1,174,1.84e-131,361
AYT27_RS02500,AYT27_RS02500,100.000,773,0,0,1,773,1,773,0.0,1601
AYT27_RS02505,AYT27_RS02505,100.000,875,0,0,1,875,1,875,0.0,1831
AYT27_RS02510,AYT27_RS02510,100.000,275,0,0,1,275,1,275,0.0,565
AYT27_RS02515,AYT27_RS02515,100.000,252,0,0,1,252,1,252,0.0,510
AYT27_RS02520,AYT27_RS02520,100.000,201,0,0,1,201,1,201,5.53e-149,407
AYT27_RS02525,AYT27_RS02525,100.000,257,0,0,1,257,1,257,0.0,529
AYT27_RS02530,AYT27_RS02530,100.000,65,0,0,1,65,1,65,2.86e-44,132
AYT27_RS02535,AYT27_RS02535,100.000,316,0,0,1,316,1,316,0.0,652
AYT27_RS02540,AYT27_RS02540,100.000,610,0,0,1,610,1,610,0.0,1273
AYT27_RS02545,AYT27_RS02545,100.000,326,0,0,1,326,1,326,0.0,679
AYT27_RS02550,AYT27_RS02550,100.000,70,0,0,1,70,1,70,2.18e-48,143
AYT27_RS02555,AYT27_RS02555,100.000,266,0,0,1,266,1,266,0.0,552
AYT27_RS02560,AYT27_RS02560,100.000,365,0,0,1,365,1,365,0.0,709
AYT27_RS02565,AYT27_RS02565,100.000,301,0,0,1,301,1,301,0.0,607
AYT27_RS02570,AYT27_RS02570,100.000,347,0,0,1,347,1,347,0.0,720
AYT27_RS02575,AYT27_RS02575,100.000,725,0,0,1,725,1,725,0.0,1501
AYT27_RS02580,AYT27_RS02580,100.000,263,0,0,1,263,1,263,0.0,535
AYT27_RS02585,AYT27_RS02585,100.000,700,0,0,1,700,1,700,0.0,1444
AYT27_RS02590,AYT27_RS02590,100.000,294,0,0,1,294,1,294,0.0,605
AYT27_RS02595,AYT27_RS02595,100.000,158,0,0,1,158,1,158,5.18e-115,318
AYT27_RS02600,AYT27_RS02600,100.000,222,0,0,1,222,1,222,1.69e-170,464
AYT27_RS02605,AYT27_RS02605,100.000,132,0,0,1,132,1,132,9.86e-95,265
AYT27_RS02610,AYT27_RS02610,100.000,741,0,0,1,741,1,741,0.0,1533
AYT27_RS02615,AYT27_RS02615,100.000,192,0,0,1,192,1,192,1.26e-141,388
AYT27_RS02620,AYT27_RS02620,100.000,200,0,0,1,200,1,200,4.37e-145,398
AYT27_RS02625,AYT27_RS02625,100.000,133,0,0,1,133,1,133,1.31e-99,277
AYT27_RS02630,AYT27_RS02630,100.000,270,0,0,1,270,1,270,0.0,550
AYT27_RS02635,AYT27_RS02635,100.000,235,0,0,1,235,1,235,4.54e-180,489
AYT27_RS02640,AYT27_RS02640,100.000,300,0,0,1,300,1,300,0.0,619
AYT27_RS02645,AYT27_RS02645,100.000,256,0,0,1,256,1,256,0.0,524
AYT27_RS02650,AYT27_RS02650,100.000,284,0,0,1,284,1,284,0.0,575
AYT27_RS02655,AYT27_RS02655,100.000,275,0,0,1,275,1,275,0.0,567
AYT27_RS02660,AYT27_RS02660,100.000,206,0,0,1,206,1,206,9.54e-157,427
AYT27_RS02665,AYT27_RS02665,100.000,285,0,0,1,285,1,285,0.0,593
AYT27_RS02670,AYT27_RS02670,100.000,442,0,0,1,442,1,442,0.0,902
AYT27_RS02675,AYT27_RS02675,100.000,123,0,0,1,123,1,123,5.97e-92,257
AYT27_RS02680,AYT27_RS02680,100.000,71,0,0,1,71,1,71,2.88e-46,137
AYT27_RS02685,AYT27_RS02685,100.000,503,0,0,1,503,1,503,0.0,1054
AYT27_RS02690,AYT27_RS02690,100.000,224,0,0,1,224,1,224,1.04e-165,452
AYT27_RS02695,AYT27_RS02695,100.000,627,0,0,1,627,1,627,0.0,1286
AYT27_RS02700,AYT27_RS02700,100.000,232,0,0,1,232,1,232,1.58e-173,472
AYT27_RS02705,AYT27_RS02705,100.000,279,0,0,1,279,1,279,0.0,568
AYT27_RS02710,AYT27_RS02710,100.000,249,0,0,1,249,1,249,0.0,513
AYT27_RS02715,AYT27_RS02715,100.000,496,0,0,1,496,1,496,0.0,1023
AYT27_RS02720,AYT27_RS02720,100.000,193,0,0,1,193,1,193,3.55e-139,382
AYT27_RS02725,AYT27_RS02725,100.000,457,0,0,1,457,1,457,0.0,935
AYT27_RS02730,AYT27_RS02730,100.000,495,0,0,1,495,1,495,0.0,1013
AYT27_RS02735,AYT27_RS02735,100.000,229,0,0,1,229,1,229,1.29e-162,444
AYT27_RS02740,AYT27_RS02740,100.000,206,0,0,1,206,1,206,7.65e-152,415
AYT27_RS02745,AYT27_RS02745,100.000,326,0,0,1,326,1,326,0.0,647
AYT27_RS02750,AYT27_RS02750,100.000,82,0,0,1,82,1,82,4.62e-58,168
AYT27_RS02755,AYT27_RS02755,100.000,135,0,0,1,135,1,135,1.66e-99,277
AYT27_RS02760,AYT27_RS02760,100.000,82,0,0,1,82,1,82,8.35e-58,167
AYT27_RS02765,AYT27_RS02765,100.000,195,0,0,1,195,1,195,1.28e-144,396
AYT27_RS02770,AYT27_RS02770,100.000,314,0,0,1,314,1,314,0.0,626
AYT27_RS02775,AYT27_RS02775,100.000,245,0,0,1,245,1,245,0.0,500
AYT27_RS02780,AYT27_RS02780,100.000,78,0,0,1,78,1,78,1.67e-50,149
AYT27_RS02785,AYT27_RS02785,100.000,420,0,0,1,420,1,420,0.0,853
AYT27_RS02790,AYT27_RS02790,100.000,368,0,0,1,368,1,368,0.0,746
AYT27_RS02795,AYT27_RS02795,100.000,222,0,0,1,222,1,222,3.07e-168,458
AYT27_RS02800,AYT27_RS02800,100.000,276,0,0,1,276,1,276,0.0,564
AYT27_RS02805,AYT27_RS02805,100.000,337,0,0,1,337,1,337,0.0,687
AYT27_RS02810,AYT27_RS02810,100.000,316,0,0,1,316,1,316,0.0,646
AYT27_RS02815,AYT27_RS02815,100.000,789,0,0,1,789,1,789,0.0,1644
AYT27_RS02820,AYT27_RS02820,100.000,365,0,0,1,365,1,365,0.0,737
AYT27_RS02825,AYT27_RS02825,100.000,396,0,0,1,396,1,396,0.0,801
AYT27_RS02830,AYT27_RS02830,100.000,148,0,0,1,148,1,148,1.72e-112,311
AYT27_RS02835,AYT27_RS02835,100.000,66,0,0,1,66,1,66,2.58e-40,122
AYT27_RS02840,AYT27_RS02840,100.000,88,0,0,1,88,1,88,4.34e-58,169
AYT27_RS02845,AYT27_RS02845,100.000,429,0,0,1,429,1,429,0.0,859
AYT27_RS02850,AYT27_RS02850,100.000,1291,0,0,1,1291,1,1291,0.0,2617
AYT27_RS02855,AYT27_RS02855,100.000,856,0,0,1,856,1,856,0.0,1744
AYT27_RS02860,AYT27_RS02860,100.000,874,0,0,1,874,1,874,0.0,1799
AYT27_RS02865,AYT27_RS02865,100.000,615,0,0,1,615,1,615,0.0,1260
AYT27_RS02870,AYT27_RS02870,100.000,140,0,0,1,140,1,140,1.80e-102,285
AYT27_RS02875,AYT27_RS02875,100.000,193,0,0,1,193,1,193,4.36e-141,387
AYT27_RS02880,AYT27_RS02880,100.000,661,0,0,1,661,1,661,0.0,1375
AYT27_RS02885,AYT27_RS02885,100.000,287,0,0,1,287,1,287,0.0,589
AYT27_RS02890,AYT27_RS02890,100.000,340,0,0,1,340,1,340,0.0,629
AYT27_RS02895,AYT27_RS02895,100.000,103,0,0,1,103,1,103,1.34e-71,204
AYT27_RS02900,AYT27_RS02900,100.000,146,0,0,1,146,1,146,1.82e-107,298
AYT27_RS02905,AYT27_RS02905,100.000,264,0,0,1,264,1,264,0.0,530
AYT27_RS02910,AYT27_RS02910,100.000,425,0,0,1,425,1,425,0.0,880
AYT27_RS02915,AYT27_RS02915,100.000,219,0,0,1,219,1,219,1.09e-163,446
AYT27_RS02920,AYT27_RS02920,100.000,392,0,0,1,392,1,392,0.0,799
AYT27_RS02925,AYT27_RS02925,100.000,148,0,0,1,148,1,148,8.82e-108,299
AYT27_RS02930,AYT27_RS02930,100.000,128,0,0,1,128,1,128,7.11e-93,260
AYT27_RS02935,AYT27_RS02935,100.000,286,0,0,1,286,1,286,0.0,588
AYT27_RS02940,AYT27_RS02940,100.000,629,0,0,1,629,1,629,0.0,1287
AYT27_RS02945,AYT27_RS02945,100.000,254,0,0,1,254,1,254,0.0,520
AYT27_RS02950,AYT27_RS02950,100.000,152,0,0,1,152,1,152,5.65e-108,300
AYT27_RS02955,AYT27_RS02955,100.000,542,0,0,1,542,1,542,0.0,1126
AYT27_RS02960,AYT27_RS02960,100.000,279,0,0,1,279,1,279,0.0,579
AYT27_RS02965,AYT27_RS02965,100.000,422,0,0,1,422,1,422,0.0,863
AYT27_RS02970,AYT27_RS02970,100.000,134,0,0,1,134,1,134,2.32e-97,271
AYT27_RS02975,AYT27_RS02975,100.000,109,0,0,1,109,1,109,3.68e-78,221
AYT27_RS02980,AYT27_RS02980,100.000,346,0,0,1,346,1,346,0.0,714
AYT27_RS02985,AYT27_RS02985,100.000,457,0,0,1,457,1,457,0.0,938
AYT27_RS02990,AYT27_RS02990,100.000,442,0,0,1,442,1,442,0.0,904
AYT27_RS02995,AYT27_RS02995,100.000,486,0,0,1,486,1,486,0.0,993
AYT27_RS03000,AYT27_RS03000,100.000,320,0,0,1,320,1,320,0.0,662
AYT27_RS03005,AYT27_RS03005,100.000,153,0,0,1,153,1,153,3.74e-116,321
AYT27_RS03010,AYT27_RS03010,100.000,162,0,0,1,162,1,162,3.48e-119,329
AYT27_RS03015,AYT27_RS03015,100.000,395,0,0,1,395,1,395,0.0,817
AYT27_RS03020,AYT27_RS03020,100.000,155,0,0,1,155,1,155,1.72e-114,317
AYT27_RS03025,AYT27_RS03025,100.000,754,0,0,1,754,1,754,0.0,1537
AYT27_RS03030,AYT27_RS03030,100.000,452,0,0,1,452,1,452,0.0,906
AYT27_RS03035,AYT27_RS03035,100.000,458,0,0,1,458,1,458,0.0,927
AYT27_RS03040,AYT27_RS03040,100.000,268,0,0,1,268,1,268,0.0,537
