Melitensis16M|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS03805,BAB_RS21895,100.000,129,0,0,1,129,1,129,3.77e-91,256
BME_RS03810,BAB_RS21890,99.576,236,1,0,1,236,1,236,7.33e-177,482
BME_RS03815,BAB_RS21885,100.000,137,0,0,1,137,1,137,1.77e-99,278
BME_RS03820,BAB_RS21880,100.000,66,0,0,1,66,1,66,2.77e-42,128
BME_RS03825,BAB_RS21875,100.000,80,0,0,1,80,1,80,9.29e-56,163
BME_RS03830,BAB_RS21870,99.180,122,1,0,1,122,1,122,5.07e-85,240
BME_RS03835,BAB_RS21865,100.000,103,0,0,1,103,1,103,9.96e-71,202
BME_RS03840,BAB_RS21860,99.459,185,1,0,1,185,1,185,6.54e-138,379
BME_RS03845,BAB_RS21855,99.010,101,1,0,1,101,1,101,1.49e-69,199
BME_RS03850,BAB_RS21850,98.485,132,2,0,1,132,1,132,9.26e-94,263
BME_RS03855,BAB_RS21845,98.870,177,2,0,1,177,1,177,1.90e-125,347
BME_RS03860,BAB_RS21840,100.000,120,0,0,1,120,1,120,2.87e-82,233
BME_RS03865,BAB_RS21835,100.000,186,0,0,1,186,1,186,7.92e-135,371
BME_RS03870,BAB_RS21830,100.000,65,0,0,1,65,1,65,2.18e-43,130
BME_RS03875,BAB_RS21825,100.000,156,0,0,1,156,1,156,4.24e-107,299
BME_RS03880,BAB_RS21820,99.776,446,1,0,1,446,1,446,0.0,891
BME_RS03885,BAB_RS21815,99.485,194,1,0,1,194,1,194,3.62e-141,388
BME_RS03890,BAB_RS21810,100.000,122,0,0,1,122,1,122,2.82e-87,246
BME_RS03895,BAB_RS21805,100.000,129,0,0,1,129,1,129,2.66e-94,264
BME_RS03900,BAB_RS21800,99.407,337,2,0,1,337,1,337,0.0,682
BME_RS03905,BAB_RS21795,100.000,142,0,0,1,142,1,142,5.28e-101,282
BME_RS03910,BAB_RS21790,99.789,474,1,0,1,474,1,474,0.0,940
BME_RS03915,BAB_RS21785,99.314,437,3,0,1,437,1,437,0.0,892
BME_RS03920,BAB_RS21780,99.485,194,1,0,1,194,1,194,1.02e-145,399
BME_RS03925,BAB_RS21775,99.091,220,2,0,1,220,1,220,1.31e-159,437
BME_RS03930,BAB_RS21770,100.000,361,0,0,1,361,1,361,0.0,729
BME_RS03935,BAB_RS21765,100.000,885,0,0,1,885,1,885,0.0,1798
BME_RS03940,BAB_RS21760,99.792,481,1,0,1,481,1,481,0.0,988
BME_RS03945,BAB_RS21755,100.000,404,0,0,1,404,1,404,0.0,842
BME_RS03950,BAB_RS21750,99.265,136,1,0,1,136,1,136,2.49e-99,278
BME_RS03955,BAB_RS21745,99.485,194,1,0,1,194,1,194,6.22e-146,400
BME_RS03960,BAB_RS21740,100.000,276,0,0,1,276,1,276,0.0,555
BME_RS03965,BAB_RS21735,100.000,277,0,0,1,277,1,277,0.0,561
BME_RS03970,BAB_RS21730,100.000,329,0,0,1,329,1,329,0.0,652
BME_RS03975,BAB_RS21725,99.707,682,2,0,1,682,1,682,0.0,1340
BME_RS03980,BAB_RS21720,100.000,120,0,0,1,120,1,120,1.74e-84,239
BME_RS03985,BAB_RS21715,99.719,712,2,0,1,712,1,712,0.0,1457
BME_RS03990,BAB_RS21710,100.000,667,0,0,1,667,1,667,0.0,1366
BME_RS03995,BAB_RS21705,99.412,510,3,0,1,510,1,510,0.0,1047
BME_RS04000,BAB_RS21700,99.574,470,2,0,1,470,1,470,0.0,953
BME_RS04005,BAB_RS21695,99.444,180,1,0,1,180,1,180,6.40e-133,366
BME_RS04015,BAB_RS21685,100.000,155,0,0,1,155,1,155,5.90e-117,323
BME_RS04020,BAB_RS21680,100.000,104,0,0,1,104,1,104,2.96e-72,206
BME_RS04025,BAB_RS21675,98.462,65,1,0,1,65,1,65,5.37e-40,126
BME_RS04030,BAB_RS21670,99.174,121,1,0,1,121,1,121,2.13e-89,251
BME_RS04035,BAB_RS21665,99.219,128,1,0,1,128,1,128,2.04e-88,249
BME_RS04040,BAB_RS21660,98.485,132,2,0,1,132,1,132,4.69e-88,264
BME_RS04045,BAB_RS21655,100.000,264,0,0,1,264,1,264,0.0,536
BME_RS04050,BAB_RS21650,99.089,439,4,0,29,467,1,439,0.0,895
BME_RS04055,BAB_RS21645,99.310,145,1,0,1,145,1,145,2.21e-105,293
BME_RS04060,BAB_RS21640,100.000,97,0,0,1,97,1,97,2.01e-70,201
BME_RS04065,BAB_RS21635,99.788,472,1,0,1,472,1,472,0.0,953
BME_RS04070,BAB_RS21630,99.138,116,1,0,1,116,1,116,7.87e-86,242
BME_RS04075,BAB_RS21625,100.000,824,0,0,1,824,1,824,0.0,1683
BME_RS04080,BAB_RS21620,100.000,140,0,0,1,140,1,140,5.87e-104,290
BME_RS04085,BAB_RS21615,99.494,395,2,0,1,395,1,395,0.0,811
BME_RS04090,BAB_RS21610,100.000,246,0,0,1,246,1,246,0.0,509
BME_RS04095,BAB_RS21605,99.351,154,1,0,1,154,1,154,1.43e-108,302
BME_RS04100,BAB_RS21600,100.000,280,0,0,1,280,1,280,0.0,575
BME_RS04105,BAB_RS21595,97.857,140,3,0,1,140,1,140,4.18e-99,278
BME_RS04110,BAB_RS21590,99.219,256,2,0,1,256,1,256,0.0,522
BME_RS04115,BAB_RS21585,100.000,305,0,0,1,305,1,305,0.0,597
BME_RS04120,BAB_RS21580,98.750,240,3,0,1,240,1,240,2.49e-174,476
BME_RS04125,BAB_RS21575,99.462,186,1,0,1,186,1,186,4.01e-135,372
BME_RS04130,BAB_RS21570,100.000,254,0,0,1,254,1,254,0.0,508
BME_RS04135,BAB_RS21565,98.889,270,3,0,1,270,1,270,0.0,509
BME_RS04140,BAB_RS21560,99.736,379,1,0,1,379,1,379,0.0,757
BME_RS04145,BAB_RS21555,99.616,781,3,0,1,781,1,781,0.0,1575
BME_RS04150,BAB_RS21550,100.000,351,0,0,1,351,1,351,0.0,701
BME_RS04155,BAB_RS21545,99.363,157,1,0,1,157,1,157,3.53e-115,319
BME_RS04160,BAB_RS21540,100.000,278,0,0,1,278,1,278,0.0,565
BME_RS04165,BAB_RS21535,100.000,300,0,0,1,300,1,300,0.0,589
BME_RS04170,BAB_RS21530,100.000,395,0,0,1,395,1,395,0.0,792
BME_RS04175,BAB_RS21525,99.767,430,1,0,1,430,1,430,0.0,898
BME_RS04180,BAB_RS21520,99.789,473,1,0,1,473,1,473,0.0,956
BME_RS04185,BAB_RS21515,91.016,256,23,0,1,256,1,256,3.32e-143,419
BME_RS04190,BAB_RS21515,99.646,565,2,0,1,565,279,843,0.0,1137
BME_RS04195,BAB_RS21510,99.583,240,1,0,1,240,1,240,1.75e-175,479
BME_RS04200,BAB_RS21505,99.505,404,2,0,1,404,1,404,0.0,799
BME_RS04205,BAB_RS21500,99.394,165,1,0,1,165,1,165,2.65e-118,328
BME_RS04210,BAB_RS21495,100.000,268,0,0,1,268,1,268,0.0,536
BME_RS04215,BAB_RS21490,100.000,339,0,0,1,339,1,339,0.0,680
BME_RS04220,BAB_RS21485,99.841,628,1,0,1,628,1,628,0.0,1269
BME_RS04225,BAB_RS21480,99.606,254,1,0,1,254,1,254,0.0,510
BME_RS04230,BAB_RS21475,100.000,148,0,0,1,148,1,148,8.21e-100,280
BME_RS04235,BAB_RS21470,99.565,230,1,0,1,230,1,230,4.14e-175,477
BME_RS04240,BAB_RS21465,99.631,542,2,0,1,542,1,542,0.0,1105
BME_RS04245,BAB_RS21460,99.639,277,1,0,1,277,1,277,0.0,566
BME_RS04250,BAB_RS21455,99.765,425,1,0,1,425,1,425,0.0,861
BME_RS04255,BAB_RS21450,100.000,193,0,0,1,193,1,193,1.58e-146,401
BME_RS04260,BAB_RS21445,99.083,109,1,0,1,109,1,109,9.79e-78,221
BME_RS04265,BAB_RS21440,99.711,346,1,0,1,346,1,346,0.0,715
BME_RS04270,BAB_RS21435,99.783,461,1,0,1,461,1,461,0.0,922
BME_RS04275,BAB_RS21430,99.553,447,2,0,1,447,1,447,0.0,886
BME_RS04280,BAB_RS21425,100.000,487,0,0,1,487,1,487,0.0,991
BME_RS04285,BAB_RS21420,98.462,65,1,0,1,65,1,65,8.45e-37,114
BME_RS04290,BAB_RS21415,100.000,322,0,0,1,322,1,322,0.0,668
BME_RS04295,BAB_RS21410,100.000,152,0,0,1,152,1,152,1.97e-113,314
BME_RS04300,BAB_RS21405,100.000,247,0,0,1,247,1,247,0.0,508
BME_RS04305,BAB_RS21400,99.394,165,1,0,1,165,1,165,1.18e-116,323
BME_RS04310,BAB_RS21395,100.000,447,0,0,1,447,1,447,0.0,907
BME_RS04315,BAB_RS21390,99.399,333,2,0,1,333,1,333,0.0,670
BME_RS04320,BAB_RS21385,99.737,380,1,0,1,380,1,380,0.0,771
BME_RS04325,BAB_RS21380,99.593,491,2,0,1,491,1,491,0.0,988
BME_RS04330,BAB_RS21375,99.871,774,1,0,1,774,1,774,0.0,1566
BME_RS04335,BAB_RS21370,100.000,453,0,0,1,453,1,453,0.0,909
BME_RS04340,BAB_RS21365,100.000,458,0,0,1,458,1,458,0.0,927
BME_RS04345,BAB_RS21360,98.785,247,3,0,30,276,1,247,0.0,503
BME_RS04350,BAB_RS21355,100.000,78,0,0,1,78,1,78,1.59e-55,162
BME_RS04355,BAB_RS21350,98.941,472,5,0,1,472,1,472,0.0,928
BME_RS04360,BAB_RS21345,99.522,209,1,0,1,209,1,209,7.92e-158,431
BME_RS04365,BAB_RS21340,100.000,424,0,0,1,424,1,424,0.0,864
BME_RS04370,BAB_RS21335,99.507,812,4,0,1,812,1,812,0.0,1631
BME_RS04375,BAB_RS21330,100.000,91,0,0,1,91,1,91,1.02e-60,176
BME_RS04380,BAB_RS21325,99.692,974,3,0,1,974,1,974,0.0,1994
BME_RS04385,BAB_RS21320,98.810,168,2,0,1,168,1,168,5.98e-121,335
BME_RS04390,BAB_RS21310,99.209,253,2,0,1,253,1,253,0.0,511
BME_RS04395,BAB_RS21305,99.479,192,1,0,1,192,1,192,3.41e-139,383
BME_RS04400,BAB_RS21300,100.000,209,0,0,1,209,1,209,2.94e-146,402
BME_RS04405,BAB_RS21295,99.892,922,1,0,1,922,1,922,0.0,1867
BME_RS04415,BAB_RS21285,100.000,164,0,0,1,164,1,164,1.87e-118,328
BME_RS04420,BAB_RS21280,99.490,196,1,0,1,196,1,196,2.16e-143,394
BME_RS04425,BAB_RS21275,100.000,168,0,0,1,168,1,168,9.47e-127,349
BME_RS04430,BAB_RS21270,100.000,363,0,0,1,363,1,363,0.0,739
BME_RS04435,BAB_RS21265,99.735,377,1,0,1,377,1,377,0.0,777
BME_RS04440,BAB_RS21260,99.468,188,1,0,1,188,1,188,1.01e-139,384
BME_RS04445,BAB_RS21255,98.953,382,4,0,1,382,1,382,0.0,752
BME_RS04450,BAB_RS21250,99.708,1029,3,0,1,1029,1,1029,0.0,2066
BME_RS04455,BAB_RS21245,99.694,327,1,0,1,327,1,327,0.0,666
BME_RS04460,BAB_RS21240,99.355,310,2,0,1,310,1,310,0.0,619
BME_RS04465,BAB_RS21235,99.492,394,2,0,1,394,1,394,0.0,812
BME_RS04470,BAB_RS27405,53.801,342,150,4,6,339,4,345,9.11e-128,370
BME_RS04475,BAB_RS21225,96.429,28,1,0,1,28,1,28,2.74e-13,52.4
BME_RS04480,BAB_RS21220,98.305,177,3,0,1,177,1,177,6.96e-130,358
BME_RS04490,BAB_RS21210,99.020,204,2,0,1,204,1,204,3.04e-146,402
BME_RS04495,BAB_RS21205,99.315,292,2,0,1,292,1,292,0.0,597
BME_RS04500,BAB_RS21200,100.000,134,0,0,1,134,1,134,5.06e-101,281
BME_RS04505,BAB_RS21195,99.513,411,2,0,1,411,1,411,0.0,837
BME_RS04510,BAB_RS21225,100.000,28,0,0,1,28,1,28,1.17e-13,53.5
BME_RS04515,BAB_RS21185,100.000,59,0,0,1,59,1,59,7.93e-40,121
BME_RS04520,BAB_RS21180,100.000,315,0,0,1,315,1,315,0.0,639
BME_RS04525,BAB_RS21175,100.000,139,0,0,1,139,1,139,1.51e-104,291
BME_RS04530,BAB_RS21170,100.000,213,0,0,1,213,1,213,1.93e-161,441
BME_RS04535,BAB_RS21165,100.000,146,0,0,1,146,1,146,1.53e-108,301
BME_RS04540,BAB_RS21160,100.000,123,0,0,1,123,1,123,1.22e-90,254
BME_RS04545,BAB_RS21155,100.000,192,0,0,1,192,1,192,5.45e-139,390
BME_RS04550,BAB_RS21155,100.000,188,0,0,1,188,210,397,3.79e-137,385
BME_RS04555,BAB_RS21150,99.696,658,2,0,1,658,1,658,0.0,1373
BME_RS04560,BAB_RS21145,100.000,336,0,0,1,336,1,336,0.0,678
BME_RS04565,BAB_RS21140,83.636,110,18,0,1,110,1,110,1.01e-60,184
BME_RS04570,BAB_RS21135,100.000,203,0,0,1,203,1,203,5.60e-155,424
BME_RS04575,BAB_RS21130,99.270,274,2,0,1,274,1,274,0.0,551
BME_RS04580,BAB_RS21125,99.701,335,1,0,1,335,1,335,0.0,697
BME_RS04585,BAB_RS21120,99.377,321,2,0,1,321,1,321,0.0,632
BME_RS04590,BAB_RS21115,99.638,276,1,0,1,276,1,276,0.0,558
BME_RS04595,BAB_RS21100,91.940,335,27,0,46,380,31,365,0.0,593
BME_RS04605,BAB_RS21110,77.419,248,53,2,1,246,1,247,2.75e-133,379
BME_RS04610,BAB_RS29970,43.939,66,37,0,49,114,39,104,2.82e-11,56.2
BME_RS04615,BAB_RS32575,99.792,480,1,0,18,497,34,513,0.0,960
BME_RS04620,BAB_RS21080,100.000,496,0,0,1,496,1,496,0.0,1017
BME_RS04625,BAB_RS29325,32.579,221,139,6,25,238,236,453,5.57e-25,99.8
BME_RS04630,BAB_RS21075,100.000,173,0,0,1,173,1,173,2.28e-130,359
BME_RS04635,BAB_RS21070,99.648,284,1,0,1,284,1,284,0.0,581
BME_RS04640,BAB_RS21065,100.000,247,0,0,1,247,1,247,0.0,513
BME_RS04645,BAB_RS21060,99.415,342,2,0,1,342,1,342,0.0,692
BME_RS04650,BAB_RS21055,99.065,535,1,1,1,535,1,531,0.0,1060
BME_RS04655,BAB_RS21050,99.284,419,3,0,1,419,1,419,0.0,845
BME_RS04660,BAB_RS21045,100.000,28,0,0,1,28,1,28,1.03e-15,58.5
BME_RS04665,BAB_RS21040,99.497,199,1,0,1,199,1,199,1.41e-147,405
BME_RS04670,BAB_RS21035,99.603,252,1,0,1,252,1,252,0.0,514
BME_RS04675,BAB_RS21030,99.644,281,1,0,1,281,1,281,0.0,566
BME_RS04680,BAB_RS21025,100.000,166,0,0,1,166,1,166,2.86e-123,340
BME_RS04685,BAB_RS21020,100.000,162,0,0,1,162,1,162,6.52e-119,329
BME_RS04690,BAB_RS21015,99.366,1261,4,1,1,1261,1,1257,0.0,2608
BME_RS04695,BAB_RS21010,100.000,408,0,0,1,408,1,408,0.0,829
BME_RS04700,BAB_RS21005,98.413,441,6,1,1,441,1,440,0.0,876
BME_RS04705,BAB_RS21000,99.751,402,1,0,1,402,1,402,0.0,809
BME_RS04710,BAB_RS20995,98.246,57,1,0,1,57,1,57,7.61e-31,126
BME_RS04715,BAB_RS20990,99.761,418,1,0,1,418,1,418,0.0,823
BME_RS04720,BAB_RS20985,100.000,138,0,0,1,138,1,138,2.95e-99,278
BME_RS04725,BAB_RS20980,99.398,166,1,0,1,166,1,166,3.38e-121,335
BME_RS04730,BAB_RS20975,99.588,486,2,0,1,486,1,486,0.0,970
BME_RS04735,BAB_RS20970,99.160,357,3,0,1,357,1,357,0.0,693
BME_RS04740,BAB_RS20965,98.870,177,2,0,1,177,1,177,3.07e-128,354
BME_RS04745,BAB_RS20960,98.870,177,2,0,1,177,1,177,5.03e-128,353
BME_RS04750,BAB_RS20955,100.000,119,0,0,1,119,1,119,1.06e-86,244
BME_RS04755,BAB_RS20950,100.000,279,0,0,1,279,1,279,0.0,561
BME_RS04760,BAB_RS20945,99.029,206,2,0,1,206,1,206,2.51e-155,425
BME_RS04765,BAB_RS20940,99.065,107,1,0,1,107,1,107,2.08e-77,220
BME_RS04770,BAB_RS20935,100.000,68,0,0,1,68,1,68,7.72e-46,137
BME_RS04775,BAB_RS20930,100.000,107,0,0,1,107,1,107,4.84e-77,219
BME_RS04780,BAB_RS32545,81.579,76,14,0,1,76,1,76,1.72e-40,124
BME_RS04785,BAB_RS20920,99.431,1582,5,1,1,1582,1,1578,0.0,3120
BME_RS04790,BAB_RS20915,100.000,209,0,0,1,209,1,209,1.03e-156,429
BME_RS04795,BAB_RS20910,100.000,331,0,0,1,331,1,331,0.0,665
BME_RS04800,BAB_RS20905,99.649,285,1,0,1,285,1,285,0.0,577
BME_RS04805,BAB_RS20900,99.744,391,1,0,1,391,1,391,0.0,770
BME_RS04810,BAB_RS20895,99.693,326,1,0,1,326,1,326,0.0,654
BME_RS04815,BAB_RS20890,99.742,774,2,0,1,774,1,774,0.0,1563
BME_RS04820,BAB_RS20885,100.000,195,0,0,1,195,1,195,3.25e-142,395
BME_RS04825,BAB_RS20880,99.344,457,3,0,1,457,1,457,0.0,928
BME_RS04830,BAB_RS20875,99.821,559,1,0,1,559,1,559,0.0,1151
BME_RS04835,BAB_RS20870,100.000,116,0,0,1,116,1,116,1.41e-80,228
BME_RS04840,BAB_RS20865,99.346,459,3,0,1,459,1,459,0.0,947
BME_RS04845,BAB_RS20860,99.784,464,1,0,1,464,1,464,0.0,947
BME_RS04850,BAB_RS20855,98.315,178,3,0,1,178,1,178,1.74e-125,347
BME_RS04855,BAB_RS20850,100.000,232,0,0,1,232,1,232,1.67e-166,455
BME_RS04860,BAB_RS20845,100.000,234,0,0,1,234,1,234,4.57e-177,482
BME_RS04865,BAB_RS20840,100.000,90,0,0,1,90,1,90,5.88e-63,182
BME_RS04870,BAB_RS20835,99.601,501,2,0,1,501,1,501,0.0,1008
BME_RS04875,BAB_RS20830,100.000,112,0,0,1,112,1,112,4.67e-76,217
BME_RS04880,BAB_RS20825,99.574,469,2,0,1,469,1,469,0.0,969
BME_RS04885,BAB_RS20820,99.615,260,1,0,1,260,1,260,0.0,525
BME_RS04890,BAB_RS20815,97.285,221,1,1,1,216,1,221,1.15e-159,437
BME_RS04895,BAB_RS20810,99.023,307,3,0,1,307,1,307,0.0,602
BME_RS04900,BAB_RS20805,99.693,326,1,0,1,326,1,326,0.0,667
BME_RS04905,BAB_RS20800,99.666,599,2,0,1,599,1,599,0.0,1221
BME_RS04910,BAB_RS20795,99.632,272,1,0,1,272,1,272,0.0,563
BME_RS04915,BAB_RS20790,100.000,263,0,0,1,263,1,263,0.0,536
BME_RS04920,BAB_RS20785,99.417,515,3,0,1,515,1,515,0.0,1061
BME_RS04925,BAB_RS20780,99.722,360,1,0,1,360,1,360,0.0,729
BME_RS04930,BAB_RS20775,100.000,214,0,0,1,214,1,214,9.88e-157,429
BME_RS04935,BAB_RS20770,99.747,396,1,0,1,396,1,396,0.0,798
BME_RS04940,BAB_RS20765,99.762,421,1,0,1,421,1,421,0.0,857
BME_RS04945,BAB_RS20760,100.000,115,0,0,1,115,1,115,1.61e-81,231
BME_RS04950,BAB_RS32530,88.000,50,3,1,1,50,1,47,6.78e-26,87.8
BME_RS04955,BAB_RS20755,98.016,252,5,0,1,252,1,252,0.0,502
BME_RS04960,BAB_RS20750,99.615,519,2,0,1,519,1,519,0.0,1063
BME_RS04965,BAB_RS20745,99.756,410,1,0,1,410,1,410,0.0,854
BME_RS04970,BAB_RS20740,100.000,483,0,0,1,483,1,483,0.0,977
BME_RS04975,BAB_RS20735,99.306,144,1,0,114,257,1,144,6.90e-103,292
BME_RS04980,BAB_RS29705,98.462,130,2,0,1,130,1,130,2.57e-95,267
BME_RS04985,BAB_RS20720,99.180,122,1,0,1,122,1,122,7.24e-87,245
BME_RS04990,BAB_RS21265,99.524,210,1,0,1,210,168,377,3.75e-157,436
BME_RS04995,BAB_RS20710,98.765,81,1,0,1,81,1,81,1.04e-55,163
BME_RS05000,BAB_RS20705,98.077,104,2,0,1,104,1,104,1.85e-72,207
BME_RS05005,BAB_RS20700,98.214,56,1,0,1,56,1,56,1.28e-36,113
BME_RS05010,BAB_RS16485,65.401,237,72,4,1,236,1,228,2.99e-98,283
BME_RS05015,BAB_RS20685,100.000,158,0,0,1,158,1,158,1.01e-114,320
BME_RS05020,BAB_RS20680,100.000,91,0,0,1,91,1,91,2.68e-64,185
BME_RS05025,BAB_RS20675,100.000,76,0,0,1,76,1,76,1.26e-53,157
BME_RS05030,BAB_RS32510,95.679,162,2,1,1,157,1,162,3.58e-109,310
BME_RS05035,BAB_RS20660,100.000,67,0,0,1,67,1,67,2.96e-46,138
BME_RS05040,BAB_RS20655,98.592,71,1,0,1,71,1,71,1.45e-49,147
BME_RS05045,BAB_RS20650,98.507,67,1,0,1,67,1,67,3.35e-45,135
BME_RS05050,BAB_RS20645,99.120,341,3,0,1,341,1,341,0.0,698
BME_RS05055,BAB_RS20640,100.000,24,0,0,1,24,1,24,1.34e-10,45.4
BME_RS05060,BAB_RS20630,98.795,83,1,0,1,83,1,83,8.40e-48,143
BME_RS05065,BAB_RS20625,100.000,25,0,0,1,25,1,25,1.04e-13,53.1
BME_RS05070,BAB_RS20620,100.000,25,0,0,1,25,1,25,1.03e-12,50.8
BME_RS05075,BAB_RS20610,99.408,338,2,0,1,338,129,466,0.0,695
BME_RS05080,BAB_RS20610,97.638,127,3,0,1,127,1,127,3.01e-80,245
BME_RS05085,BAB_RS20605,100.000,539,0,0,1,539,1,539,0.0,1115
BME_RS05090,BAB_RS20600,98.502,267,4,0,102,368,1,267,0.0,543
BME_RS05095,BAB_RS20595,100.000,119,0,0,1,119,1,119,1.22e-87,246
BME_RS05100,BAB_RS20590,99.419,344,2,0,1,344,1,344,0.0,709
BME_RS05105,BAB_RS20585,99.548,221,1,0,1,221,1,221,2.02e-164,449
BME_RS05110,BAB_RS20580,100.000,167,0,0,1,167,1,167,1.25e-119,331
BME_RS05115,BAB_RS20575,99.324,148,1,0,1,148,1,148,1.67e-107,300
BME_RS05120,BAB_RS20570,100.000,95,0,0,1,95,1,95,3.89e-69,198
BME_RS05125,BAB_RS20565,73.540,291,76,1,1,291,1,290,8.35e-147,410
BME_RS05130,BAB_RS20555,100.000,323,0,0,1,323,1,323,0.0,662
BME_RS05135,BAB_RS20550,99.000,100,1,0,1,100,1,100,1.53e-70,202
BME_RS05140,BAB_RS20545,99.341,910,6,0,1,910,1,910,0.0,1861
BME_RS05145,BAB_RS20540,100.000,243,0,0,1,243,1,243,1.17e-174,477
BME_RS05150,BAB_RS20535,100.000,456,0,0,1,456,1,456,0.0,918
BME_RS05155,BAB_RS20530,100.000,222,0,0,1,222,1,222,7.06e-162,442
BME_RS05160,BAB_RS20525,100.000,66,0,0,1,66,1,66,3.92e-43,130
BME_RS05165,BAB_RS20520,100.000,84,0,0,124,207,1,84,3.49e-59,177
BME_RS05170,BAB_RS20515,100.000,126,0,0,1,126,1,126,5.21e-92,258
BME_RS05175,BAB_RS20510,99.793,482,1,0,1,482,1,482,0.0,978
BME_RS05180,BAB_RS20505,100.000,257,0,0,1,257,1,257,0.0,528
BME_RS05185,BAB_RS20500,100.000,25,0,0,1,25,1,25,2.63e-12,49.7
BME_RS05190,BAB_RS20495,100.000,323,0,0,1,323,1,323,0.0,665
BME_RS05195,BAB_RS20490,99.281,139,1,0,1,139,1,139,2.08e-99,278
BME_RS05200,BAB_RS20485,100.000,414,0,0,1,414,1,414,0.0,856
BME_RS05205,BAB_RS20480,99.529,425,2,0,1,425,1,425,0.0,857
BME_RS05210,BAB_RS20475,100.000,251,0,0,1,251,1,251,0.0,507
BME_RS05215,BAB_RS20470,99.803,507,1,0,1,507,1,507,0.0,1053
BME_RS05220,BAB_RS20465,100.000,392,0,0,1,392,1,392,0.0,782
BME_RS05225,BAB_RS20460,100.000,224,0,0,1,224,1,224,4.15e-172,469
BME_RS05230,BAB_RS20455,100.000,110,0,0,1,110,1,110,1.80e-73,210
BME_RS05235,BAB_RS20450,99.464,373,2,0,1,373,1,373,0.0,751
BME_RS05240,BAB_RS20445,100.000,417,0,0,1,417,1,417,0.0,856
BME_RS05245,BAB_RS20440,99.470,1132,6,0,1,1132,1,1132,0.0,2261
BME_RS05250,BAB_RS20435,99.351,154,1,0,1,154,1,154,4.83e-114,316
BME_RS05255,BAB_RS20430,99.636,275,1,0,1,275,1,275,0.0,557
BME_RS05260,BAB_RS20425,100.000,120,0,0,1,120,1,120,1.01e-84,239
BME_RS05265,BAB_RS20720,100.000,122,0,0,1,122,1,122,2.70e-87,246
BME_RS05270,BAB_RS20400,100.000,344,0,0,1,344,1,344,0.0,706
BME_RS05275,BAB_RS20395,99.756,819,2,0,1,819,1,819,0.0,1677
BME_RS05280,BAB_RS20390,99.052,422,4,0,1,422,1,422,0.0,847
BME_RS05285,BAB_RS20385,100.000,61,0,0,1,61,1,61,2.23e-38,118
BME_RS05290,BAB_RS20380,96.421,922,2,1,1,891,1,922,0.0,1788
BME_RS05295,BAB_RS20375,99.369,317,2,0,1,317,1,317,0.0,634
BME_RS05300,BAB_RS20370,99.788,471,1,0,1,471,1,471,0.0,949
BME_RS05305,BAB_RS20365,99.623,265,1,0,1,265,1,265,0.0,543
BME_RS05310,BAB_RS20360,98.726,157,2,0,1,157,1,157,1.46e-114,318
BME_RS05315,BAB_RS20355,100.000,156,0,0,1,156,1,156,3.20e-110,306
BME_RS05320,BAB_RS20350,99.779,452,1,0,1,452,1,452,0.0,924
BME_RS05325,BAB_RS20345,99.471,189,1,0,1,189,1,189,9.02e-141,387
BME_RS05330,BAB_RS20340,100.000,156,0,0,1,156,1,156,1.86e-117,325
BME_RS05335,BAB_RS20335,100.000,136,0,0,1,136,1,136,7.10e-101,281
BME_RS05340,BAB_RS20330,100.000,167,0,0,1,167,1,167,1.13e-126,349
BME_RS05345,BAB_RS20325,100.000,500,0,0,1,500,1,500,0.0,1023
BME_RS05350,BAB_RS20320,98.763,485,0,1,1,485,1,479,0.0,949
BME_RS05355,BAB_RS20315,100.000,27,0,0,1,27,1,27,2.32e-15,57.8
BME_RS05360,BAB_RS20310,99.471,189,1,0,1,189,1,189,1.08e-137,379
BME_RS05365,BAB_RS20305,99.735,378,1,0,1,378,1,378,0.0,734
BME_RS05370,BAB_RS20300,100.000,48,0,0,1,48,1,48,3.31e-31,99.0
BME_RS05375,BAB_RS20295,99.785,466,1,0,1,466,1,466,0.0,962
BME_RS05380,BAB_RS20290,99.639,277,1,0,1,277,1,277,0.0,560
BME_RS05385,BAB_RS20285,100.000,129,0,0,1,129,1,129,1.36e-92,260
BME_RS05390,BAB_RS20280,99.484,775,4,0,1,775,1,775,0.0,1537
BME_RS05395,BAB_RS20275,100.000,113,0,0,1,113,1,113,6.79e-79,224
BME_RS05400,BAB_RS20270,100.000,288,0,0,1,288,1,288,0.0,594
BME_RS05405,BAB_RS20265,100.000,432,0,0,1,432,1,432,0.0,866
BME_RS05410,BAB_RS20260,100.000,61,0,0,1,61,1,61,3.66e-40,122
BME_RS05415,BAB_RS20255,99.550,222,1,0,1,222,1,222,1.67e-166,454
BME_RS05420,BAB_RS20250,99.216,255,2,0,1,255,1,255,0.0,510
BME_RS05425,BAB_RS20245,99.766,427,1,0,1,427,1,427,0.0,879
BME_RS05430,BAB_RS20240,99.635,274,1,0,1,274,1,274,0.0,546
BME_RS05435,BAB_RS20235,99.482,193,1,0,1,193,1,193,1.55e-136,376
BME_RS05440,BAB_RS20230,100.000,72,0,0,1,72,1,72,3.72e-49,145
BME_RS05445,BAB_RS20225,99.585,241,1,0,1,241,1,241,5.23e-176,480
BME_RS05450,BAB_RS20220,99.647,283,1,0,1,283,1,283,0.0,562
