Abortus2308|Q.,C_crescentus|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS18680,CC_3123,30.769,156,98,6,30,179,42,193,1.95e-08,49.3
BAB_RS18690,CC_2202,48.125,160,75,3,1,153,1,159,2.75e-36,120
BAB_RS18695,CC_3363,40.179,112,66,1,10,120,15,126,1.54e-25,90.9
BAB_RS18705,CC_3181,21.905,315,228,7,18,330,24,322,6.39e-10,56.2
BAB_RS18730,CC_0090,59.794,485,170,3,27,495,25,500,0.0,518
BAB_RS18750,CC_1777,42.857,203,110,3,2,199,36,237,2.53e-51,162
BAB_RS18760,CC_0936,53.043,690,323,1,7,696,37,725,0.0,738
BAB_RS18765,CC_0949,58.140,129,50,2,14,139,49,176,1.11e-46,146
BAB_RS18775,CC_1058,37.209,86,54,0,58,143,29,114,3.09e-15,64.7
BAB_RS18780,CC_1059,39.850,133,77,1,102,234,90,219,6.32e-19,80.1
BAB_RS18785,CC_2613,34.404,436,260,7,2,420,25,451,1.27e-40,147
BAB_RS18790,CC_1061,56.028,141,56,2,1,137,1,139,1.15e-50,155
BAB_RS18800,CC_1063,45.528,246,126,5,314,557,312,551,1.51e-55,195
BAB_RS18810,CC_1065,39.216,102,55,2,1,101,1,96,1.80e-18,71.6
BAB_RS18830,CC_0252,39.794,583,345,5,97,677,50,628,3.12e-141,426
BAB_RS18840,CC_2790,52.296,392,168,7,26,412,188,565,2.86e-107,325
BAB_RS18845,CC_2788,52.174,368,164,6,30,389,78,441,6.45e-115,339
BAB_RS18855,CC_2786,49.265,136,65,2,23,158,4,135,7.32e-39,128
BAB_RS18860,CC_2783,54.491,334,150,2,91,423,7,339,9.56e-121,352
BAB_RS18880,CC_2781,52.555,137,59,2,1,133,1,135,6.08e-49,150
BAB_RS18895,CC_2777,45.946,185,93,3,28,208,1,182,1.68e-41,136
BAB_RS18910,CC_2775,53.731,134,58,1,7,136,47,180,1.40e-42,137
BAB_RS18920,CC_2773,38.401,763,442,14,493,1246,1,744,9.26e-130,414
BAB_RS18935,CC_2766,68.981,216,67,0,1,216,1,216,1.98e-102,293
BAB_RS18940,CC_2765,33.913,460,259,11,1,435,25,464,5.04e-61,202
BAB_RS18950,CC_2762,29.178,353,231,6,1,349,2,339,2.05e-21,91.3
BAB_RS18955,CC_2761,45.139,144,78,1,23,165,7,150,1.18e-39,129
BAB_RS18960,CC_2760,48.913,644,325,1,1,640,1,644,0.0,602
BAB_RS18965,CC_2759,53.030,132,57,2,27,157,22,149,5.28e-36,119
BAB_RS18970,CC_2758,40.550,545,267,11,4,510,3,528,1.80e-108,330
BAB_RS18975,CC_2757,64.706,221,78,0,1,221,1,221,5.41e-100,287
BAB_RS18980,CC_2755,35.789,475,277,8,4,461,2,465,2.39e-66,217
BAB_RS18985,CC_2753,44.048,840,459,5,116,953,129,959,0.0,610
BAB_RS18995,CC_2482,38.512,605,342,10,181,769,240,830,1.26e-113,361
BAB_RS19000,CC_2481,49.153,885,426,9,1,883,1,863,0.0,771
BAB_RS19005,CC_0093,30.742,283,188,4,26,307,14,289,9.88e-31,114
BAB_RS19015,CC_1333,43.165,278,135,5,10,285,10,266,7.24e-61,191
BAB_RS19020,CC_1334,62.745,561,195,4,9,563,6,558,0.0,702
BAB_RS19025,CC_1585,29.841,315,196,12,11,311,19,322,6.99e-21,88.2
BAB_RS19030,CC_0264,44.990,489,252,8,24,500,1,484,2.32e-132,389
BAB_RS19045,CC_2434,55.833,240,98,2,5,236,2,241,5.84e-96,278
BAB_RS19060,CC_2433,35.938,64,40,1,20,82,26,89,4.63e-10,48.5
BAB_RS19080,CC_2534,33.333,318,199,6,35,347,51,360,4.12e-36,132
BAB_RS19085,CC_3006,26.429,280,174,9,50,304,24,296,5.53e-13,65.1
BAB_RS19115,CC_1098,41.176,68,40,0,118,185,157,224,9.99e-12,59.3
BAB_RS19120,CC_1194,36.452,620,372,10,64,672,55,663,2.10e-96,309
BAB_RS19125,CC_1195,54.138,290,131,2,2,291,6,293,2.02e-111,321
BAB_RS19130,CC_1196,63.758,149,53,1,11,158,3,151,1.26e-64,192
BAB_RS19135,CC_1549,57.820,211,86,1,3,213,16,223,5.38e-85,248
BAB_RS19140,CC_1550,64.324,185,64,1,2,186,3,185,3.56e-88,254
BAB_RS19145,CC_1552,71.233,73,21,0,1,73,1,73,3.30e-31,105
BAB_RS19150,CC_1553,47.160,757,359,7,1,750,20,742,0.0,667
BAB_RS19155,CC_1555,65.285,193,65,2,1,192,1,192,3.76e-84,244
BAB_RS19160,CC_0752,35.354,198,124,1,43,240,18,211,1.15e-28,105
BAB_RS19165,CC_1411,40.233,430,252,1,7,431,12,441,6.09e-110,329
BAB_RS19185,CC_1558,64.885,131,46,0,1,131,1,131,1.07e-59,177
BAB_RS19190,CC_1559,46.124,258,113,1,15,246,20,277,8.21e-75,226
BAB_RS19195,CC_1560,47.945,219,111,2,11,226,11,229,7.68e-51,162
BAB_RS19200,CC_1562,54.369,309,127,1,15,309,23,331,3.38e-117,338
BAB_RS19205,CC_1564,39.344,244,146,2,1,243,8,250,3.67e-51,164
BAB_RS19215,CC_1451,63.776,196,65,2,9,202,45,236,1.73e-84,248
BAB_RS19220,CC_0385,34.000,250,158,3,2,251,1,243,5.50e-42,142
BAB_RS19225,CC_0388,63.801,442,159,1,1,441,1,442,0.0,562
BAB_RS19245,CC_3382,38.462,117,65,2,8,121,4,116,1.99e-15,65.9
BAB_RS19265,CC_0460,44.200,500,223,8,8,495,3,458,7.66e-126,372
BAB_RS19270,CC_1541,29.478,536,319,20,3,521,12,505,3.41e-43,158
BAB_RS19275,CC_0254,38.047,297,175,4,1,295,1,290,1.20e-58,187
BAB_RS19280,CC_3034,37.255,255,150,5,308,555,181,432,5.68e-47,168
BAB_RS19285,CC_1685,55.039,258,110,4,19,275,1,253,9.85e-86,254
BAB_RS19290,CC_1686,52.584,329,150,3,8,335,5,328,1.18e-106,312
BAB_RS19300,CC_1689,25.992,781,490,20,54,789,71,808,3.32e-63,224
BAB_RS19305,CC_1690,29.155,367,244,4,6,362,8,368,2.67e-46,159
BAB_RS19310,CC_1691,24.928,349,255,4,1,346,1,345,8.00e-21,90.1
BAB_RS19315,CC_1692,55.694,483,196,9,22,496,20,492,9.13e-163,467
BAB_RS19320,CC_1693,43.243,148,84,0,2,149,6,153,4.38e-43,137
BAB_RS19330,CC_1698,47.573,618,313,4,1,615,1,610,0.0,542
BAB_RS19340,CC_1699,68.613,137,43,0,4,140,3,139,5.68e-65,191
BAB_RS19350,CC_0016,40.667,150,87,1,9,158,1,148,2.64e-39,127
BAB_RS19360,CC_2908,39.024,205,98,6,8,190,3,202,1.49e-25,95.1
BAB_RS19365,CC_2881,58.529,639,247,4,59,688,9,638,0.0,746
BAB_RS19370,CC_0417,54.839,248,109,2,22,267,1,247,9.21e-86,253
BAB_RS19380,CC_0147,38.674,181,106,4,3,181,2,179,1.54e-21,84.7
BAB_RS19385,CC_0030,31.250,176,100,7,42,210,60,221,3.09e-22,88.6
BAB_RS19395,CC_1096,35.547,256,156,3,1,256,1,247,1.68e-44,149
BAB_RS19405,CC_0617,23.577,738,469,22,14,704,12,701,8.09e-24,103
BAB_RS19415,CC_1702,56.383,188,81,1,4,190,5,192,5.60e-65,196
BAB_RS19420,CC_1703,61.607,336,127,2,11,345,6,340,4.54e-147,416
BAB_RS19425,CC_1711,36.444,225,130,4,403,620,4,222,6.65e-26,103
BAB_RS19430,CC_2899,30.814,172,78,6,1,149,1,154,2.97e-08,51.2
BAB_RS19440,CC_3076,33.061,245,146,4,5,231,9,253,1.59e-30,110
BAB_RS19455,CC_t19,84.000,25,4,0,1,25,1,25,1.75e-08,40.4
BAB_RS19460,CC_1389,60.396,101,40,0,1,101,1,101,3.04e-42,131
BAB_RS19560,CC_1424,46.053,380,199,5,14,389,4,381,3.28e-107,317
BAB_RS19565,CC_3019,33.333,117,53,7,140,242,145,250,3.33e-08,50.1
BAB_RS19595,CC_1439,48.319,238,123,0,29,266,3,240,4.86e-78,233
BAB_RS19610,CC_1710,59.410,712,284,2,27,734,72,782,0.0,845
BAB_RS19615,CC_1708,37.259,467,287,3,17,479,10,474,7.11e-80,255
BAB_RS19620,CC_1704,50.798,376,182,3,1,375,1,374,2.82e-127,369
BAB_RS19625,CC_1892,63.711,609,199,4,1,591,1,605,0.0,816
BAB_RS19635,CC_1566,55.453,761,302,5,20,770,23,756,0.0,838
BAB_RS19640,CC_1572,54.545,242,105,1,3,244,4,240,2.43e-92,270
BAB_RS19650,CC_1347,59.443,323,128,2,25,345,13,334,3.65e-132,377
BAB_RS19655,CC_1352,42.012,338,188,6,10,342,6,340,5.28e-66,209
BAB_RS19670,CC_1511,31.065,338,215,4,85,422,173,492,3.52e-50,174
BAB_RS19675,CC_1357,70.714,420,122,1,15,434,10,428,0.0,616
BAB_RS19680,CC_1358,61.290,155,60,0,1,155,1,155,2.17e-70,206
BAB_RS19685,CC_0885,34.146,287,137,8,70,340,71,321,3.30e-25,101
BAB_RS19690,CC_0886,40.000,205,112,4,1,199,1,200,1.39e-39,131
BAB_RS19695,CC_1359,50.000,146,72,1,7,151,4,149,7.92e-44,139
BAB_RS19700,CC_1360,49.265,136,69,0,20,155,9,144,7.27e-41,132
BAB_RS19705,CC_1363,70.042,711,206,5,8,716,5,710,0.0,894
BAB_RS19710,CC_1365,41.228,114,60,4,51,158,32,144,3.92e-22,84.3
BAB_RS19715,CC_1366,32.051,156,106,0,19,174,18,173,1.62e-23,89.0
BAB_RS19720,CC_1367,30.986,142,95,2,11,152,13,151,1.70e-12,59.7
BAB_RS19725,CC_1368,53.495,329,151,2,4,332,7,333,1.28e-125,362
BAB_RS19730,CC_1369,56.698,321,139,0,2,322,1,321,6.00e-125,358
BAB_RS19735,CC_1370,60.638,94,37,0,1,94,1,94,6.14e-35,112
BAB_RS19740,CC_1371,60.674,89,35,0,3,91,3,91,4.52e-37,122
BAB_RS19745,CC_3443,51.923,104,50,0,1,104,1,104,6.24e-29,97.8
BAB_RS19750,CC_t19,92.000,25,2,0,1,25,1,25,2.17e-10,45.1
BAB_RS19755,CC_2425,38.320,381,225,4,133,511,138,510,6.11e-82,261
BAB_RS19765,CC_0169,42.073,164,94,1,32,195,24,186,1.03e-38,128
BAB_RS19780,CC_1374,45.031,322,169,5,18,335,6,323,7.51e-71,222
BAB_RS19785,CC_1378,61.889,307,116,1,3,309,5,310,1.44e-134,381
BAB_RS19795,CC_1377,68.790,157,46,2,2,158,4,157,1.05e-74,217
BAB_RS19800,CC_1376,63.087,149,54,1,3,150,5,153,7.65e-65,192
BAB_RS19805,CC_3564,50.000,108,52,1,20,125,14,121,1.66e-31,107
BAB_RS19810,CC_3168,40.235,425,220,4,1,424,1,392,5.79e-96,291
BAB_RS19845,CC_t27,92.000,25,2,0,1,25,1,25,6.46e-12,48.9
BAB_RS19855,CC_1956,71.200,125,32,1,1,121,1,125,3.69e-59,175
BAB_RS19860,CC_1955,87.117,163,21,0,31,193,31,193,1.00e-97,278
BAB_RS19865,CC_1954,69.318,176,53,1,25,200,23,197,7.31e-90,259
BAB_RS19870,CC_1952,77.273,396,88,1,1,396,5,398,0.0,647
BAB_RS19875,CC_1950,55.024,209,83,4,1,206,1,201,1.44e-71,215
BAB_RS19880,CC_1947,72.477,436,119,1,1,435,4,439,0.0,653
BAB_RS19885,CC_1946,63.793,696,240,4,1,694,1,686,0.0,866
BAB_RS19890,CC_1945,61.329,331,95,6,37,347,38,355,4.05e-130,373
BAB_RS19895,CC_1942,76.875,160,36,1,4,163,5,163,3.75e-90,257
BAB_RS19900,CC_1941,60.199,201,80,0,5,205,3,203,6.20e-69,206
BAB_RS19905,CC_1940,77.000,100,23,0,3,102,2,101,2.24e-40,126
BAB_RS19910,CC_1939,54.985,682,263,8,6,653,8,679,0.0,677
BAB_RS19915,CC_1938,64.024,492,173,2,6,494,4,494,0.0,634
BAB_RS19920,CC_1937,47.575,433,221,3,7,435,5,435,9.13e-124,367
BAB_RS19925,CC_1936,39.431,246,135,4,19,260,15,250,1.81e-35,124
BAB_RS19930,CC_1934,46.346,561,295,3,1,557,1,559,2.93e-178,511
BAB_RS19935,CC_1933,52.593,135,61,2,1,134,1,133,3.36e-48,149
BAB_RS19940,CC_1932,38.554,83,50,1,1,82,1,83,1.78e-14,59.7
BAB_RS19945,CC_1931,66.743,439,145,1,1,439,1,438,0.0,612
BAB_RS19950,CC_1930,49.061,426,208,5,18,437,4,426,4.37e-137,397
BAB_RS19955,CC_1929,60.731,219,86,0,6,224,5,223,1.31e-84,248
BAB_RS19960,CC_1926,51.986,1158,522,13,18,1163,8,1143,0.0,1126
BAB_RS19990,CC_2511,74.020,204,53,0,1,204,1,204,1.05e-117,330
BAB_RS20000,CC_2252,27.799,259,163,7,15,262,18,263,6.21e-17,75.5
BAB_RS20005,CC_1230,29.610,385,233,6,21,387,14,378,6.39e-40,144
BAB_RS20010,CC_2505,62.000,100,38,0,6,105,11,110,1.42e-44,137
BAB_RS20015,CC_2503,44.928,69,38,0,8,76,28,96,1.88e-19,72.4
BAB_RS20020,CC_2500,59.756,738,289,6,1,733,1,735,0.0,867
BAB_RS20030,CC_3568,30.357,168,100,7,6,162,10,171,7.57e-09,50.8
BAB_RS20035,CC_2497,58.605,215,87,1,1,215,1,213,9.14e-89,258
BAB_RS20040,CC_2492,53.165,79,37,0,2,80,1,79,1.28e-23,82.4
BAB_RS20045,CC_2491,73.663,243,64,0,2,244,3,245,5.80e-138,385
BAB_RS20050,CC_2490,55.140,107,45,2,1,107,1,104,9.16e-31,102
BAB_RS20060,CC_2185,46.369,179,92,3,8,184,12,188,1.02e-52,164
BAB_RS20070,CC_2487,71.594,433,123,0,1,433,1,433,0.0,612
BAB_RS20075,CC_0101,61.502,213,79,2,6,216,13,224,1.43e-88,258
BAB_RS20080,CC_2250,30.108,279,188,2,30,307,23,295,2.50e-45,153
BAB_RS20085,CC_3759,32.047,337,188,6,12,339,15,319,6.34e-38,135
BAB_RS20090,CC_1678,35.417,432,242,9,13,420,4,422,1.02e-67,218
BAB_RS20095,CC_1678,26.552,290,168,9,5,267,3,274,1.60e-11,62.0
BAB_RS20110,CC_1418,40.058,347,192,7,6,336,29,375,4.16e-71,223
BAB_RS20115,CC_1057,40.541,296,162,8,7,293,7,297,1.54e-47,159
BAB_RS20135,CC_1441,31.276,243,150,5,18,256,29,258,1.85e-32,116
BAB_RS20140,CC_1306,57.632,321,135,1,18,337,11,331,2.26e-131,375
BAB_RS20145,CC_1307,44.828,116,63,1,117,232,56,170,7.73e-25,93.6
BAB_RS20150,CC_1308,48.000,50,26,0,5,54,10,59,9.84e-15,59.3
BAB_RS20160,CC_1309,44.444,315,144,6,7,320,8,292,6.59e-61,194
BAB_RS20165,CC_0424,57.718,149,63,0,1,149,13,161,1.56e-63,189
BAB_RS20170,CC_2084,48.768,203,91,2,7,209,3,192,2.41e-67,202
BAB_RS20185,CC_2011,59.690,258,100,2,1,255,1,257,1.13e-109,314
BAB_RS20195,CC_2009,55.238,105,47,0,4,108,6,110,2.59e-40,126
BAB_RS20200,CC_2008,52.742,383,177,1,13,395,10,388,9.69e-137,394
BAB_RS20205,CC_3359,24.831,592,366,24,44,584,37,600,2.44e-23,100
BAB_RS20215,CC_2006,50.147,341,161,2,1,336,1,337,1.01e-109,320
BAB_RS20220,CC_2005,47.104,259,123,5,24,273,15,268,1.75e-63,198
BAB_RS20225,CC_2004,52.020,198,88,1,34,224,11,208,2.37e-59,184
BAB_RS20230,CC_2003,53.521,71,22,3,1,61,1,70,1.40e-16,64.3
BAB_RS20235,CC_2002,40.659,91,47,1,3,93,4,87,1.17e-17,74.3
BAB_RS20240,CC_2001,52.041,294,113,3,1,268,5,296,2.87e-81,244
BAB_RS20245,CC_1999,55.439,478,158,3,1,423,1,478,0.0,512
BAB_RS20250,CC_1998,54.331,254,114,2,1,252,1,254,1.24e-93,273
BAB_RS20255,CC_1997,33.333,198,131,1,24,220,23,220,3.25e-33,116
BAB_RS20265,CC_1996,33.091,275,149,6,190,430,334,607,8.18e-33,127
BAB_RS20270,CC_1993,46.786,280,141,4,5,284,13,284,4.35e-72,221
BAB_RS20275,CC_1992,47.872,94,48,1,20,113,10,102,1.64e-27,94.4
BAB_RS20280,CC_1991,37.265,373,232,2,86,457,160,531,2.79e-85,277
BAB_RS20285,CC_1989,39.640,111,67,0,18,128,7,117,8.49e-18,70.5
BAB_RS20290,CC_1987,33.146,178,106,6,11,186,10,176,8.19e-12,60.5
BAB_RS20295,CC_2598,66.807,476,144,4,1,464,1,474,0.0,650
BAB_RS20320,CC_1964,44.196,448,244,2,9,453,1,445,6.61e-128,376
BAB_RS20325,CC_2436,65.669,501,156,4,10,499,3,498,0.0,672
BAB_RS20335,CC_1887,45.370,108,52,2,30,134,1,104,7.27e-29,99.0
BAB_RS20340,CC_1886,39.130,115,63,3,44,151,105,219,3.43e-22,85.5
BAB_RS20345,CC_1885,51.099,182,89,0,2,183,10,191,1.36e-65,197
BAB_RS20350,CC_1884,71.106,443,128,0,1,443,1,443,0.0,626
BAB_RS20355,CC_1883,59.355,155,57,1,8,156,16,170,1.78e-44,141
BAB_RS20360,CC_1882,51.079,139,68,0,1,139,1,139,8.19e-50,154
BAB_RS20365,CC_1879,38.739,222,125,6,47,265,31,244,8.79e-38,130
BAB_RS20370,CC_1878,35.965,456,273,6,20,469,47,489,6.02e-82,259
BAB_RS20375,CC_2455,43.717,382,209,3,7,387,2,378,2.61e-102,305
BAB_RS20380,CC_1877,60.128,469,180,4,174,640,103,566,2.27e-176,531
BAB_RS20390,CC_1876,36.364,396,220,11,22,410,17,387,3.29e-60,197
BAB_RS20395,CC_1875,46.429,784,357,16,10,782,5,736,0.0,664
BAB_RS20400,CC_1874,61.290,341,129,1,1,338,29,369,4.24e-154,434
BAB_RS20405,CC_3595,48.760,121,61,1,1,120,1,121,1.86e-38,123
BAB_RS20410,CC_2897,43.511,131,70,3,1,130,37,164,4.66e-27,95.9
BAB_RS20415,CC_3595,48.760,121,61,1,1,120,1,121,2.12e-38,122
BAB_RS20420,CC_2897,44.928,138,72,3,1,137,30,164,2.63e-31,107
BAB_RS20435,CC_1871,58.000,150,63,0,5,154,3,152,8.52e-64,189
BAB_RS20445,CC_1870,57.108,415,177,1,2,416,5,418,3.23e-175,493
BAB_RS20450,CC_1869,38.965,367,215,4,6,368,17,378,5.49e-75,234
BAB_RS20455,CC_3443,36.275,102,65,0,4,105,3,104,1.58e-14,61.2
BAB_RS20460,CC_1867,59.434,212,86,0,1,212,66,277,1.76e-95,277
BAB_RS20465,CC_1865,43.570,381,198,6,8,383,8,376,2.89e-73,230
BAB_RS20470,CC_1864,74.213,508,111,4,1,507,1,489,0.0,801
BAB_RS20475,CC_1862,63.745,251,89,1,1,251,1,249,2.20e-116,330
BAB_RS20480,CC_1861,31.608,367,203,6,42,407,5,324,5.50e-46,159
BAB_RS20485,CC_1860,60.546,403,157,2,11,413,7,407,0.0,511
BAB_RS20490,CC_1859,59.091,110,45,0,30,139,9,118,4.97e-47,145
BAB_RS20495,CC_2277,25.379,264,166,7,5,260,3,243,2.85e-15,72.0
BAB_RS20505,CC_1221,55.645,248,110,0,8,255,11,258,2.98e-94,275
BAB_RS20510,CC_1847,61.111,378,144,2,1,377,1,376,1.17e-159,459
BAB_RS20515,CC_1858,53.000,100,46,1,17,115,1,100,5.21e-35,114
BAB_RS20530,CC_1317,35.874,223,109,6,1,222,1,190,1.44e-24,93.2
BAB_RS20535,CC_1318,36.547,446,265,9,12,443,11,452,7.67e-70,226
BAB_RS20540,CC_1319,51.220,41,20,0,201,241,134,174,2.38e-09,52.0
BAB_RS20545,CC_1320,59.910,893,324,6,1,878,1,874,0.0,1061
BAB_RS20565,CC_1574,42.053,302,142,6,4,290,1,284,2.55e-68,211
BAB_RS20570,CC_2647,35.955,89,57,0,6,94,118,206,8.35e-15,63.5
BAB_RS20575,CC_1441,39.286,112,67,1,35,146,40,150,5.67e-20,81.3
BAB_RS20590,CC_0018,68.693,329,101,1,16,344,23,349,3.60e-164,459
BAB_RS20610,CC_1511,30.994,171,105,5,295,463,159,318,2.29e-09,57.0
BAB_RS20620,CC_t06,84.000,25,4,0,1,25,1,25,4.49e-09,42.0
BAB_RS20625,CC_t02,92.000,25,2,0,1,25,1,25,1.06e-12,50.8
BAB_RS20715,CC_1588,54.922,193,87,0,2,194,168,360,6.60e-77,233
BAB_RS20720,CC_3595,48.760,121,61,1,1,120,1,121,2.12e-38,122
BAB_RS20725,CC_2897,41.538,130,74,2,1,130,37,164,2.90e-26,93.6
BAB_RS20760,CC_1503,51.327,113,55,0,3,115,8,120,9.20e-38,121
BAB_RS20765,CC_1825,61.017,118,46,0,85,202,46,163,4.13e-46,158
BAB_RS20770,CC_2161,38.272,243,142,2,42,284,49,283,6.54e-42,149
BAB_RS20775,CC_1824,54.455,202,89,1,3,204,4,202,3.19e-70,210
BAB_RS20780,CC_1823,35.913,323,189,8,38,354,26,336,6.46e-45,154
BAB_RS20785,CC_1480,25.287,522,336,10,5,477,3,519,6.15e-34,132
BAB_RS20790,CC_1822,48.649,259,133,0,1,259,4,262,1.37e-80,240
BAB_RS20795,CC_1821,45.489,266,140,3,8,270,5,268,6.08e-80,239
BAB_RS20800,CC_3420,34.192,582,324,17,18,566,269,824,7.28e-75,252
BAB_RS20805,CC_1980,45.110,317,166,5,9,325,11,319,7.36e-90,269
BAB_RS20810,CC_3033,27.397,219,143,5,92,302,96,306,1.30e-11,61.2
BAB_RS20820,CC_1977,40.777,206,120,2,32,236,11,215,7.32e-47,153
BAB_RS20825,CC_1969,68.737,467,146,0,1,467,1,467,0.0,684
BAB_RS20830,CC_1968,77.679,112,25,0,1,112,1,112,3.86e-61,179
BAB_RS20835,CC_1965,45.000,500,250,11,3,499,4,481,1.05e-113,342
BAB_RS20845,CC_2305,42.439,205,118,0,10,214,12,216,1.41e-46,151
BAB_RS20850,CC_2303,47.345,226,111,4,2,226,4,222,6.63e-55,172
BAB_RS20860,CC_2302,53.304,454,206,3,1,449,1,453,2.55e-174,494
BAB_RS20865,CC_2300,66.519,451,149,2,1,449,1,451,0.0,643
BAB_RS20875,CC_3619,26.162,581,336,17,10,506,14,585,1.58e-31,126
BAB_RS20880,CC_1905,37.651,332,171,6,3,324,9,314,2.06e-54,185
BAB_RS20890,CC_2622,58.366,759,311,3,13,770,4,758,0.0,863
BAB_RS20895,CC_3113,48.101,316,159,2,12,326,12,323,1.76e-84,255
BAB_RS20900,CC_2318,38.211,369,218,4,23,390,11,370,1.03e-71,226
BAB_RS20905,CC_2319,48.971,243,124,0,24,266,21,263,1.65e-69,213
BAB_RS20910,CC_2320,26.935,323,213,6,1,319,1,304,6.34e-31,115
BAB_RS20930,CC_3524,57.944,107,44,1,1,107,1,106,7.60e-44,135
BAB_RS20950,CC_3224,40.154,259,148,2,21,272,9,267,1.02e-50,165
BAB_RS20960,CC_1551,33.735,83,49,2,60,142,67,143,6.43e-10,52.8
BAB_RS20980,CC_0526,32.468,154,98,4,1,150,1,152,3.84e-18,73.9
BAB_RS20985,CC_2580,72.881,118,32,0,8,125,12,129,3.72e-63,187
BAB_RS20995,CC_1078,48.284,408,207,2,450,854,283,689,4.57e-113,358
BAB_RS21000,CC_0638,48.990,396,196,4,6,397,21,414,3.20e-120,352
BAB_RS21005,CC_0869,27.961,304,195,10,148,438,37,329,1.03e-18,83.6
BAB_RS21015,CC_1889,34.515,649,327,14,496,1115,299,878,1.75e-81,285
BAB_RS21020,CC_2271,43.972,141,78,1,19,159,22,161,5.18e-27,97.4
BAB_RS21030,CC_1452,38.211,123,64,4,160,278,164,278,1.79e-09,54.3
BAB_RS21035,CC_2674,45.714,245,124,4,9,251,5,242,1.10e-68,209
BAB_RS21040,CC_0791,60.302,199,79,0,1,199,1,199,1.05e-83,243
BAB_RS21050,CC_3105,31.269,323,206,6,2,318,1,313,9.53e-37,134
BAB_RS21055,CC_0835,48.780,369,182,3,89,454,4,368,7.86e-112,338
BAB_RS21060,CC_1426,72.171,327,91,0,4,330,6,332,1.57e-177,492
BAB_RS21065,CC_2529,27.230,213,126,9,31,227,490,689,3.22e-11,59.7
BAB_RS21070,CC_1425,48.421,285,146,1,1,284,1,285,7.63e-98,286
BAB_RS21080,CC_3724,49.901,503,244,3,1,495,11,513,1.34e-167,480
BAB_RS21095,CC_3714,29.851,134,92,2,53,185,238,370,1.09e-18,80.1
BAB_RS21110,CC_3029,38.889,108,64,2,1,108,1,106,3.08e-16,75.5
BAB_RS21115,CC_2448,42.180,211,111,4,66,275,197,397,1.61e-37,134
BAB_RS21120,CC_1657,54.341,311,140,1,6,316,22,330,2.11e-110,321
BAB_RS21125,CC_0092,42.553,329,174,6,2,327,3,319,2.97e-81,247
BAB_RS21130,CC_1747,53.640,261,109,1,10,270,21,269,2.10e-96,281
BAB_RS21140,CC_2653,42.246,187,94,4,8,189,3,180,3.51e-40,132
BAB_RS21150,CC_0464,58.257,654,258,3,5,653,2,645,0.0,785
BAB_RS21155,CC_2161,35.443,395,213,7,34,396,50,434,6.04e-70,223
BAB_RS21160,CC_0463,43.750,80,37,1,38,117,12,83,1.80e-19,73.9
BAB_RS21165,CC_0462,50.725,138,68,0,1,138,1,138,3.15e-42,134
BAB_RS21170,CC_0459,57.219,187,80,0,26,212,25,211,1.35e-77,229
BAB_RS21175,CC_0457,60.484,124,47,2,3,126,5,126,1.32e-48,150
BAB_RS21180,CC_2171,29.749,279,185,6,34,309,316,586,7.65e-26,104
BAB_RS21210,CC_3371,29.496,139,93,3,16,151,21,157,2.42e-09,51.6
BAB_RS21225,CC_t30,100.000,28,0,0,1,28,1,28,1.48e-13,53.5
BAB_RS21230,CC_3562,55.319,47,20,1,5,50,39,85,1.10e-10,59.3
BAB_RS21235,CC_2172,32.361,377,246,3,18,389,5,377,3.72e-52,175
BAB_RS21240,CC_1117,35.000,280,172,4,5,276,28,305,2.49e-41,143
BAB_RS21245,CC_1957,61.180,322,124,1,3,324,14,334,4.79e-141,399
BAB_RS21250,CC_1204,36.078,1020,633,10,3,1006,2,1018,7.52e-165,509
BAB_RS21255,CC_1203,29.261,352,225,7,18,366,3,333,2.00e-40,143
BAB_RS21265,CC_1588,60.784,357,139,1,6,361,4,360,3.54e-160,451
BAB_RS21270,CC_1587,68.333,360,107,3,1,353,1,360,8.47e-171,477
BAB_RS21275,CC_1584,63.190,163,48,1,5,167,4,154,6.05e-68,201
BAB_RS21280,CC_1584,55.030,169,60,2,26,194,2,154,5.03e-58,176
BAB_RS21285,CC_1581,44.099,161,88,1,1,161,1,159,1.77e-45,144
BAB_RS21295,CC_1580,62.268,917,337,5,2,912,6,919,0.0,1143
BAB_RS21300,CC_0106,33.810,210,125,4,11,207,11,219,1.99e-21,85.5
BAB_RS21310,CC_0962,30.500,200,132,4,18,215,7,201,6.48e-15,68.9
BAB_RS21320,CC_1468,67.262,168,54,1,1,168,1,167,8.60e-69,203
BAB_RS21325,CC_2590,73.271,969,244,3,1,968,1,955,0.0,1434
BAB_RS21330,CC_1959,48.864,88,45,0,3,90,4,91,5.22e-24,84.3
BAB_RS21335,CC_1960,70.291,791,233,1,24,812,9,799,0.0,1144
BAB_RS21340,CC_1961,80.529,416,79,1,1,416,1,414,0.0,674
BAB_RS21345,CC_1963,77.941,204,45,0,1,204,2,205,2.98e-124,347
BAB_RS21350,CC_1746,57.179,397,159,3,55,448,17,405,1.34e-136,397
BAB_RS21355,CC_1745,79.452,73,15,0,2,74,3,75,7.36e-42,128
BAB_RS21370,CC_1743,62.115,454,170,2,1,453,1,453,0.0,548
BAB_RS21375,CC_1742,37.864,721,423,9,60,766,5,714,4.23e-136,416
