O_anthropi|Q.,S_meliloti|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS05175,SM_b20885,40.484,289,167,2,1,284,1,289,4.46e-66,206
OANT_RS05180,SMc00734,59.341,273,111,0,6,278,6,278,4.83e-108,313
OANT_RS05185,SMc00733,63.433,268,98,0,13,280,6,273,1.56e-120,343
OANT_RS05190,SMc00732,49.153,59,30,0,1,59,1,59,7.41e-13,54.7
OANT_RS05195,SMc00731,72.449,196,50,1,1,196,1,192,2.06e-100,286
OANT_RS05200,SM_b20938,69.456,239,73,0,8,246,7,245,4.52e-127,357
OANT_RS05205,SM_b20939,82.203,118,21,0,1,118,2,119,5.54e-73,210
OANT_RS05210,SM_b20940,79.646,226,46,0,1,226,1,226,1.21e-132,370
OANT_RS05215,SMc00729,79.116,249,51,1,1,248,1,249,5.51e-137,383
OANT_RS05220,SMc00728,79.612,309,63,0,1,309,1,309,5.45e-170,471
OANT_RS05225,SMc00727,79.585,289,59,0,5,293,2,290,8.05e-177,487
OANT_RS05230,SMc00421,77.188,320,72,1,8,327,2,320,1.12e-171,477
OANT_RS05240,SMc01666,80.660,424,82,0,1,424,1,424,0.0,712
OANT_RS05250,SM_b21211,51.206,539,261,2,2,539,17,554,0.0,541
OANT_RS05255,SMc00742,53.318,422,194,1,6,427,5,423,2.44e-159,454
OANT_RS05260,SMc00743,51.294,425,207,0,5,429,17,441,1.14e-140,408
OANT_RS05265,SMc04458,75.744,907,214,2,1,906,1,902,0.0,1442
OANT_RS05270,SMc02451,52.273,264,124,1,48,311,21,282,1.82e-94,280
OANT_RS05275,SMc02450,75.545,413,101,0,1,413,20,432,0.0,594
OANT_RS05280,SMc02449,47.154,246,125,2,9,251,61,304,2.14e-77,234
OANT_RS05285,SMc02448,82.222,135,24,0,4,138,1,135,4.45e-82,235
OANT_RS05290,SMc02447,42.697,89,44,2,26,114,24,105,1.10e-17,70.1
OANT_RS05295,SMc02445,61.702,282,108,0,10,291,4,285,7.11e-111,320
OANT_RS05300,SMc02444,48.760,242,120,1,19,260,7,244,7.51e-74,223
OANT_RS05305,SMc02443,59.036,83,33,1,1,82,4,86,4.13e-27,92.4
OANT_RS05310,SMc02442,62.313,268,101,0,4,271,3,270,6.34e-120,342
OANT_RS05315,SMc02441,48.592,142,72,1,1,141,1,142,9.24e-51,156
OANT_RS05325,SMc02440,68.016,247,79,0,1,247,1,247,6.25e-126,355
OANT_RS05330,SMc02438,86.761,423,56,0,1,423,1,423,0.0,747
OANT_RS05335,SMc02437,71.561,756,214,1,1,756,1,755,0.0,1107
OANT_RS05340,SMc02436,75.921,353,85,0,4,356,4,356,0.0,553
OANT_RS05345,SMc02435,46.909,275,146,0,1,275,9,283,5.38e-78,236
OANT_RS05350,SMc02434,57.037,135,39,2,28,143,31,165,4.19e-41,138
OANT_RS05355,SMc02433,80.070,863,168,2,1,861,1,861,0.0,1407
OANT_RS05360,SMc01575,51.230,447,170,10,46,488,52,454,2.86e-135,396
OANT_RS05365,SMc02432,53.712,633,285,7,12,639,12,641,0.0,662
OANT_RS05370,SMc03222,94.253,174,10,0,321,494,321,494,4.60e-98,302
OANT_RS05380,SMc03074,84.000,25,4,0,1,25,1,25,1.29e-09,43.9
OANT_RS05385,SMc03220,86.815,493,65,0,446,938,429,921,0.0,774
OANT_RS05390,SMc03221,78.947,38,8,0,1,38,2,39,1.35e-12,52.0
OANT_RS05395,SMc03075,100.000,25,0,0,1,25,1,25,1.43e-11,48.5
OANT_RS05410,SMc00038,42.391,460,236,7,46,477,52,510,8.81e-107,332
OANT_RS05420,SMc01275,33.953,215,126,7,21,221,97,309,3.21e-28,106
OANT_RS05435,SMc03779,73.333,30,8,0,1,30,1,30,5.06e-11,47.8
OANT_RS05440,SMc03770,72.277,101,24,1,1,97,1,101,1.13e-47,147
OANT_RS05445,SMc03772,87.640,89,11,0,1,89,1,89,2.32e-52,156
OANT_RS05450,SMc03773,56.906,181,77,1,50,229,26,206,1.06e-79,235
OANT_RS05455,SM_b21153,33.735,166,106,2,13,177,4,166,1.41e-18,76.3
OANT_RS05460,SMc03775,79.448,326,67,0,1,326,41,366,7.40e-165,462
OANT_RS05465,SMc03776,70.133,375,112,0,3,377,6,380,0.0,518
OANT_RS05470,SMc03777,73.239,426,114,0,1,426,1,426,0.0,628
OANT_RS05475,SMc03778,70.103,194,58,0,24,217,1,194,1.76e-97,279
OANT_RS05480,SMc03780,65.957,94,32,0,15,108,59,152,9.22e-44,138
OANT_RS05485,SMc03781,65.625,160,55,0,1,160,1,160,3.13e-73,214
OANT_RS05495,SMc03782,48.276,406,203,1,41,439,50,455,2.32e-123,364
OANT_RS05500,SMc03783,69.841,441,130,1,1,441,1,438,0.0,618
OANT_RS05505,SMc03784,46.283,417,192,9,3,407,4,400,3.55e-106,317
OANT_RS05510,SMc03785,75.460,163,40,0,11,173,4,166,1.24e-91,261
OANT_RS05515,SMc02320,55.952,84,37,0,1,84,1,84,1.93e-27,92.8
OANT_RS05520,SMa1162,33.503,197,115,6,8,200,16,200,1.55e-13,64.7
OANT_RS05525,SMc00780,65.068,292,102,0,1,292,1,292,1.67e-142,400
OANT_RS05530,SMc00781,71.084,498,144,0,1,498,1,498,0.0,737
OANT_RS05540,SMa0041,31.399,293,178,9,22,305,14,292,1.21e-18,82.8
OANT_RS05550,SMc04084,62.976,289,103,1,6,294,5,289,1.83e-120,345
OANT_RS05560,SMc04083,73.077,208,56,0,4,211,18,225,1.96e-119,336
OANT_RS05565,SMc04411,67.778,270,84,2,8,274,3,272,1.76e-133,376
OANT_RS05575,SMc03857,82.680,485,79,1,1,485,1,480,0.0,704
OANT_RS05580,SMc03858,77.528,89,20,0,11,99,9,97,2.81e-45,139
OANT_RS05585,SMc03859,80.583,103,19,1,1,102,1,103,1.77e-60,179
OANT_RS05590,SMc01462,33.981,103,56,4,193,286,49,148,1.09e-08,50.8
OANT_RS05595,SMc00853,39.752,161,87,3,15,175,2,152,1.66e-30,108
OANT_RS05610,SMc04085,52.919,1593,710,11,23,1596,20,1591,0.0,1592
OANT_RS05615,SMc04087,62.749,451,167,1,9,458,11,461,0.0,572
OANT_RS05620,SM_b21009,47.495,499,253,5,1,495,1,494,1.07e-159,460
OANT_RS05625,SMc04088,72.862,538,144,1,1,538,1,536,0.0,766
OANT_RS05630,SMc04089,47.594,561,289,2,14,573,3,559,1.75e-167,485
OANT_RS05635,SMc04090,55.202,471,196,5,2,467,7,467,1.54e-169,483
OANT_RS05640,SMc04091,68.923,325,91,4,1,321,1,319,1.44e-149,421
OANT_RS05645,SMc04092,74.510,51,13,0,19,69,34,84,1.83e-16,64.3
OANT_RS05650,SMc04093,84.462,650,99,1,1,650,1,648,0.0,1150
OANT_RS05655,SMc00137,54.762,84,38,0,12,95,5,88,4.20e-36,115
OANT_RS05660,SMc02812,72.300,213,59,0,8,220,7,219,1.64e-109,311
OANT_RS05665,SMc02804,73.696,882,219,4,1,876,1,875,0.0,1350
OANT_RS05670,SMc02803,37.879,198,100,6,1,192,1,181,1.54e-26,97.8
OANT_RS05680,SMc02491,57.808,365,153,1,1,364,1,365,7.02e-141,402
OANT_RS05685,SMc02495,86.636,217,29,0,1,217,1,217,6.59e-142,392
OANT_RS05690,SMc02496,71.930,741,200,3,1,740,1,734,0.0,1059
OANT_RS05700,SMc02498,74.731,186,47,0,1,186,3,188,7.92e-96,273
OANT_RS05705,SMc02499,91.356,509,44,0,1,509,1,509,0.0,944
OANT_RS05710,SMc02500,82.653,294,49,2,1,292,1,294,1.99e-168,466
OANT_RS05715,SMc02501,85.573,506,60,1,1,506,1,493,0.0,862
OANT_RS05720,SMc02502,57.778,135,56,1,1,135,3,136,7.11e-54,163
OANT_RS05725,SMc00562,53.191,141,66,0,1,141,1,141,1.05e-47,149
OANT_RS05730,SMa1250,36.071,280,160,5,80,342,92,369,1.48e-41,147
OANT_RS05735,SMa0065,29.508,183,128,1,28,210,14,195,2.18e-16,72.8
OANT_RS05740,SM_b20267,51.589,409,198,0,10,418,5,413,6.12e-149,426
OANT_RS05745,SM_b20268,77.083,336,73,1,1,336,1,332,0.0,546
OANT_RS05750,SMc01951,78.146,302,64,1,1,302,1,300,3.98e-177,489
OANT_RS05755,SMc01950,77.391,460,102,1,1,460,4,461,0.0,704
OANT_RS05760,SMc01949,80.000,260,52,0,16,275,10,269,1.35e-156,442
OANT_RS05765,SMc01948,81.092,238,45,0,11,248,4,241,3.07e-141,393
OANT_RS05770,SMc01947,58.772,114,47,0,1,114,1,114,2.65e-48,147
OANT_RS05775,SMc01946,72.703,370,101,0,1,370,1,370,0.0,572
OANT_RS05780,SMc01946,65.405,370,128,0,1,370,1,370,0.0,518
OANT_RS05785,SMc03895,85.030,1149,171,1,15,1163,3,1150,0.0,2024
OANT_RS05790,SMc03890,58.607,244,100,1,3,246,3,245,1.16e-80,241
OANT_RS05795,SMc03889,60.000,380,150,1,18,397,1,378,1.17e-149,426
OANT_RS05800,SM_b21010,57.977,257,108,0,7,263,2,258,8.62e-108,310
OANT_RS05805,SMc03888,86.064,409,57,0,11,419,8,416,0.0,691
OANT_RS05810,SMa1959,63.452,394,144,0,8,401,14,407,1.69e-132,384
OANT_RS05815,SMa1960,64.000,150,53,1,1,150,1,149,2.07e-67,199
OANT_RS05820,SMc03884,67.105,304,100,0,1,304,1,304,8.86e-119,341
OANT_RS05825,SMc03883,59.906,212,85,0,32,243,49,260,4.74e-94,274
OANT_RS05830,SMc03881,93.220,59,4,0,1,59,1,59,3.95e-37,115
OANT_RS05840,SMc03879,78.608,388,83,0,6,393,5,392,0.0,634
OANT_RS05845,SMc03877,73.113,848,223,1,11,853,6,853,0.0,1251
OANT_RS05850,SMc03876,57.851,121,47,2,8,127,12,129,2.81e-41,131
OANT_RS05855,SMc03875,83.036,112,19,0,1,112,1,112,1.06e-67,196
OANT_RS05860,SMc03874,85.638,188,26,1,1,188,1,187,3.88e-116,325
OANT_RS05865,SMc03122,29.123,285,186,4,4,277,7,286,5.03e-27,105
OANT_RS05870,SM_b20871,45.749,247,134,0,1,247,1,247,2.45e-70,214
OANT_RS05875,SMc03873,63.177,277,102,0,27,303,3,279,6.26e-125,356
OANT_RS05885,SMc03872,61.311,473,181,2,23,493,25,497,0.0,590
OANT_RS05890,SMc03871,46.522,230,123,0,9,238,8,237,1.39e-66,204
OANT_RS05895,SMc03870,53.433,466,209,1,54,511,38,503,7.26e-147,430
OANT_RS05900,SMc03869,68.506,308,97,0,27,334,34,341,1.01e-162,455
OANT_RS05905,SMc03867,50.000,206,103,0,2,207,4,209,2.04e-70,211
OANT_RS05915,SMc03866,70.289,589,170,2,1,585,1,588,0.0,831
OANT_RS05920,SMc00374,59.683,315,126,1,1,314,1,315,4.25e-134,381
OANT_RS06000,SMc04009,56.962,79,34,0,6,84,2,80,1.11e-19,73.6
OANT_RS06005,SMc04007,58.431,255,106,0,13,267,4,258,2.70e-97,284
OANT_RS06010,SMc04006,68.613,137,37,2,2,133,3,138,3.66e-67,197
OANT_RS06015,SMc04005,80.167,479,94,1,1,478,1,479,0.0,776
OANT_RS06020,SMc04004,48.603,179,91,1,52,230,27,204,8.50e-57,177
OANT_RS06025,SMc04003,80.488,41,8,0,1,41,1,41,1.57e-18,67.4
OANT_RS06030,SMc04002,66.077,339,114,1,23,361,11,348,1.11e-162,457
OANT_RS06035,SMc04001,84.810,158,24,0,7,164,9,166,7.80e-82,236
OANT_RS06040,SMc04000,74.627,67,17,0,1,67,1,67,5.29e-25,85.5
OANT_RS06045,SMc03999,58.929,56,23,0,1,56,1,56,3.77e-19,70.1
OANT_RS06050,SMc03987,54.211,380,174,0,29,408,30,409,1.40e-133,388
OANT_RS06055,SMc03988,52.381,63,29,1,1,63,1,62,2.42e-12,53.1
OANT_RS06060,SMc00034,55.521,326,144,1,9,333,1,326,1.04e-115,335
OANT_RS06065,SMc04094,75.325,231,55,1,1,229,1,231,1.95e-129,362
OANT_RS06075,SMc02406,43.195,338,181,4,327,654,1075,1411,1.53e-81,279
OANT_RS06085,SMc00950,25.954,131,93,3,37,165,40,168,5.40e-08,48.1
OANT_RS06090,SMc00107,40.094,212,126,1,1,211,1,212,2.64e-43,144
OANT_RS06100,SM_b20692,41.935,248,138,2,3,249,21,263,3.78e-51,166
OANT_RS06105,SMc04095,68.189,635,200,1,1,633,1,635,0.0,892
OANT_RS06110,SMc03983,75.660,341,83,0,1,341,1,341,0.0,537
OANT_RS06115,SM_b20301,43.413,334,181,7,50,380,46,374,1.00e-81,252
OANT_RS06120,SMc03981,71.144,402,110,2,1,401,1,397,0.0,541
OANT_RS06125,SMc03980,68.586,191,56,1,1,187,1,191,1.61e-92,266
OANT_RS06130,SMc03979,81.845,336,60,1,1,335,1,336,0.0,564
OANT_RS06135,SMc03978,73.676,661,173,1,1,661,1,660,0.0,969
OANT_RS06140,SMc03977,64.773,88,31,0,3,90,2,89,3.34e-32,105
OANT_RS06145,SMc03976,57.025,121,52,0,1,121,1,121,1.97e-47,146
OANT_RS06155,SMc03974,55.208,192,86,0,7,198,2,193,7.54e-70,208
OANT_RS06160,SMc03973,81.818,264,48,0,10,273,1,264,1.03e-164,454
OANT_RS06165,SMc03171,71.193,243,70,0,6,248,3,245,2.25e-111,318
OANT_RS06175,SMc00964,35.570,149,89,2,33,174,17,165,9.36e-14,63.9
OANT_RS06180,SMc03258,35.714,196,113,5,21,208,25,215,4.63e-23,90.9
OANT_RS06185,SMc03969,83.468,248,41,0,1,248,1,248,4.84e-157,433
OANT_RS06190,SMc03990,79.452,73,15,0,1,73,1,73,4.09e-41,126
OANT_RS06195,SMc03991,67.637,584,189,0,56,639,11,594,0.0,736
OANT_RS06200,SMc03992,72.012,343,95,1,1,343,3,344,0.0,507
OANT_RS06205,SMc03993,65.352,355,114,5,1,348,1,353,3.01e-142,405
OANT_RS06210,SMc03994,70.722,263,77,0,1,263,1,263,1.32e-137,385
OANT_RS06215,SMc00357,46.774,186,99,0,1,186,2,187,1.12e-60,184
OANT_RS06220,SMc03995,51.838,272,131,0,75,346,108,379,3.61e-88,268
OANT_RS06225,SMc03996,58.962,212,86,1,11,221,6,217,4.02e-82,241
OANT_RS06230,SMc04381,54.520,354,161,0,18,371,23,376,1.01e-136,394
OANT_RS06235,SMc03989,57.317,164,69,1,4,166,7,170,1.31e-57,176
OANT_RS06240,SMc03967,80.368,163,32,0,1,163,1,163,2.62e-91,261
OANT_RS06245,SMc03966,79.512,205,42,0,1,205,1,205,3.50e-102,291
OANT_RS06250,SMc03965,82.133,347,60,2,1,346,1,346,0.0,553
OANT_RS06255,SMc03960,48.921,139,71,0,12,150,5,143,2.12e-42,135
OANT_RS06260,SMc03958,79.487,234,47,1,1,234,1,233,9.74e-135,376
OANT_RS06265,SMc03957,79.195,149,31,0,1,149,1,149,6.85e-76,220
OANT_RS06270,SMc03956,53.022,364,155,8,1,356,1,356,8.41e-108,317
OANT_RS06275,SMc04461,76.212,433,101,2,11,443,6,436,0.0,686
OANT_RS06280,SMc02942,80.723,166,32,0,3,168,11,176,1.47e-84,244
OANT_RS06285,SMc02941,34.641,306,164,5,209,505,67,345,1.68e-50,173
OANT_RS06290,SMc02940,31.991,447,265,9,17,450,16,436,1.79e-49,172
OANT_RS06295,SMc04459,81.298,647,114,5,1,642,1,645,0.0,1050
OANT_RS06300,SMc00637,74.222,450,116,0,1,450,1,450,0.0,689
OANT_RS06305,SMc00638,47.312,279,121,7,6,271,2,267,1.71e-71,219
OANT_RS06310,SMc00638,37.548,261,106,12,11,227,9,256,2.04e-35,124
OANT_RS06320,SMc00640,82.353,391,69,0,1,391,1,391,0.0,659
OANT_RS06325,SMc00641,78.868,530,112,0,1,530,1,530,0.0,865
OANT_RS06335,SMc00643,75.231,432,104,2,1,429,1,432,0.0,676
OANT_RS06340,SMc00644,39.773,352,169,7,157,476,399,739,3.24e-64,219
OANT_RS06345,SMc03239,44.025,159,87,2,43,200,20,177,3.50e-42,137
OANT_RS06350,SM_b20215,32.188,320,207,5,4,319,4,317,8.72e-44,150
OANT_RS06360,SMc00646,80.399,301,59,0,1,301,1,301,0.0,509
OANT_RS06365,SMc00647,66.261,329,109,2,2,330,13,339,6.55e-153,430
OANT_RS06370,SMc00648,39.231,130,68,2,26,155,6,124,8.20e-21,80.1
OANT_RS06395,SMc02510,58.993,139,56,1,1,138,1,139,1.92e-56,170
OANT_RS06400,SM_b20515,35.749,207,124,4,126,330,953,1152,1.51e-30,119
OANT_RS06410,SMc01504,75.758,264,64,0,1,264,1,264,5.50e-147,409
OANT_RS06415,SMc01505,64.103,39,14,0,27,65,11,49,1.77e-14,58.9
OANT_RS06420,SMc01506,77.528,178,40,0,12,189,5,182,2.05e-105,298
OANT_RS06425,SM_b20515,28.934,197,124,7,237,429,943,1127,2.15e-09,57.4
OANT_RS06435,SMc01509,38.462,104,54,3,21,117,20,120,5.79e-13,58.5
OANT_RS06440,SMc00885,38.000,100,58,2,48,146,86,182,4.61e-15,70.1
OANT_RS06445,SMc02085,58.519,270,109,1,66,335,36,302,1.68e-93,280
OANT_RS06450,SMc02084,64.234,137,48,1,1,137,1,136,1.11e-56,172
OANT_RS06455,SMc01515,26.923,312,201,7,29,324,6,306,6.86e-13,65.5
OANT_RS06460,SMc04328,39.912,228,128,4,30,257,27,245,1.79e-48,158
OANT_RS06465,SMc04351,70.388,645,189,1,14,656,3,647,0.0,926
OANT_RS06470,SMc04350,58.915,387,154,4,28,414,36,417,1.92e-147,423
OANT_RS06480,SMc00159,48.485,132,67,1,34,165,10,140,9.27e-29,101
OANT_RS06485,SMc00158,33.731,587,353,12,7,576,10,577,1.16e-80,261
OANT_RS06490,SMc00461,69.536,151,46,0,6,156,9,159,1.70e-72,212
OANT_RS06495,SMc00131,49.333,150,76,0,5,154,1,150,3.59e-52,161
OANT_RS06505,SMc01162,61.446,249,96,0,1,249,1,249,2.39e-110,317
OANT_RS06510,SMc00359,75.535,327,80,0,1,327,1,327,9.37e-167,464
OANT_RS06515,SMa1328,30.162,431,277,10,19,432,8,431,8.10e-47,165
OANT_RS06520,SMc01229,64.596,161,56,1,5,164,3,163,1.57e-72,213
OANT_RS06525,SMc02581,73.538,718,189,1,10,727,4,720,0.0,1105
OANT_RS06530,SMc00735,63.636,286,104,0,4,289,9,294,3.25e-131,372
OANT_RS06535,SMc00736,54.460,213,97,0,1,213,1,213,2.94e-71,213
OANT_RS06540,SMc00737,80.526,190,32,1,1,190,1,185,7.35e-116,324
OANT_RS06545,SMc00738,46.541,159,85,0,11,169,9,167,4.37e-46,146
OANT_RS06555,SMc02780,62.213,479,179,1,2,478,1,479,0.0,629
OANT_RS06560,SMa0717,27.826,230,156,6,43,267,39,263,1.33e-16,76.6
OANT_RS06565,SMc03222,94.253,174,10,0,321,494,321,494,4.60e-98,302
OANT_RS06575,SMc03074,84.000,25,4,0,1,25,1,25,1.29e-09,43.9
OANT_RS06580,SMc03220,86.815,493,65,0,446,938,429,921,0.0,774
OANT_RS06585,SMc03221,78.947,38,8,0,1,38,2,39,1.35e-12,52.0
OANT_RS06590,SMc03075,100.000,25,0,0,1,25,1,25,1.43e-11,48.5
OANT_RS06595,SMa1632,41.356,295,173,0,2,296,16,310,8.66e-76,232
OANT_RS06600,SMc04252,63.081,344,124,3,1,343,1,342,7.44e-152,428
OANT_RS06605,SMc00001,43.314,344,189,4,6,348,9,347,5.61e-90,271
OANT_RS06610,SMc03902,92.000,25,2,0,1,25,1,25,8.18e-09,41.6
OANT_RS06615,SMc02892,33.247,388,246,4,42,421,44,426,7.84e-39,144
OANT_RS06625,SMc00905,37.000,100,63,0,1,100,1,100,6.63e-16,67.8
OANT_RS06630,SMc01158,68.041,194,62,0,39,232,3,196,4.36e-88,256
OANT_RS06635,SMa1979,43.548,248,134,4,1,244,1,246,9.97e-63,197
OANT_RS06640,SM_b20773,31.720,186,127,0,9,194,20,205,1.23e-20,84.3
OANT_RS06645,SMa2213,38.046,481,286,5,12,485,4,479,1.36e-107,326
OANT_RS06650,SMc02041,36.364,253,150,5,1,252,11,253,1.05e-39,135
OANT_RS06655,SM_b20476,34.012,491,267,18,25,474,31,505,2.53e-61,206
OANT_RS06660,SMc00787,39.157,332,181,2,1,311,1,332,7.88e-73,226
OANT_RS06665,SMc02028,42.308,260,150,0,24,283,10,269,1.70e-68,211
OANT_RS06670,SMc03125,50.314,318,145,5,14,330,13,318,7.43e-94,280
OANT_RS06675,SM_b20479,52.672,262,123,1,1,262,1,261,2.78e-91,269
OANT_RS06680,SMc01352,29.012,486,305,11,1,450,1,482,2.04e-35,135
OANT_RS06685,SMa0255,63.636,297,105,2,31,325,29,324,1.22e-128,368
OANT_RS06690,SM_b20101,70.153,392,117,0,4,395,13,404,0.0,577
OANT_RS06695,SM_b20523,33.891,239,149,4,137,370,144,378,5.14e-28,111
OANT_RS06705,SMc00036,35.437,206,120,6,1,197,2,203,2.88e-25,95.1
OANT_RS06720,SMc02184,40.449,89,52,1,6,93,1,89,1.06e-18,71.2
OANT_RS06745,SMc02287,31.658,199,108,5,5,198,4,179,5.44e-15,67.8
OANT_RS06760,SMc02915,90.000,30,3,0,1,30,1,30,1.05e-15,59.3
OANT_RS06770,SMc02885,67.907,215,68,1,1,214,1,215,4.90e-108,307
OANT_RS06775,SMc01545,32.222,90,59,1,63,150,24,113,7.24e-12,56.6
OANT_RS06780,SMc02883,55.385,65,29,0,4,68,6,70,3.52e-19,70.9
OANT_RS06785,SMc04217,44.898,98,54,0,63,160,122,219,1.73e-17,74.3
OANT_RS06790,SMc04121,84.541,207,32,0,3,209,3,209,1.41e-128,358
OANT_RS06795,SMc01155,72.549,255,70,0,9,263,16,270,1.41e-136,383
OANT_RS06800,SMc01156,69.407,523,160,0,1,523,1,523,0.0,733
OANT_RS06805,SMc01161,72.818,401,105,2,1,401,3,399,0.0,550
OANT_RS06810,SMc03094,55.039,258,114,1,9,266,6,261,1.72e-95,279
OANT_RS06815,SMc00427,76.108,519,124,0,7,525,9,527,0.0,833
OANT_RS06820,SMc00032,62.069,174,66,0,9,182,5,178,2.85e-67,201
OANT_RS06825,SMc02076,62.012,487,184,1,1,486,1,487,0.0,629
OANT_RS06830,SMc01813,65.019,263,91,1,5,266,3,265,7.19e-117,335
OANT_RS06835,SMc01971,30.641,421,264,11,23,430,60,465,2.33e-43,156
OANT_RS06845,SMc04173,52.838,229,97,3,1,228,1,219,6.48e-84,246
OANT_RS06850,SMc00166,36.041,197,125,1,3,198,15,211,1.93e-30,109
OANT_RS06855,SMc00434,96.552,29,1,0,1,29,1,29,3.80e-15,57.8
OANT_RS06860,SMc02838,79.412,204,42,0,1,204,1,204,4.04e-119,334
OANT_RS06865,SMc02837,71.587,271,77,0,6,276,2,272,1.48e-132,374
OANT_RS06870,SMc02836,58.923,594,243,1,5,597,4,597,0.0,730
OANT_RS06875,SMc02835,61.862,333,127,0,11,343,6,338,7.38e-148,418
OANT_RS06880,SMc02834,71.074,121,35,0,1,121,1,121,8.89e-61,180
OANT_RS06885,SMc02833,64.286,280,96,4,33,309,37,315,1.63e-126,363
OANT_RS06890,SMc00744,61.340,388,147,1,1,388,1,385,1.22e-158,450
OANT_RS06895,SMc00405,54.167,288,132,0,1,288,1,288,6.84e-113,325
OANT_RS06900,SMc00406,70.468,342,101,0,9,350,14,355,0.0,519
OANT_RS06905,SMc00407,62.174,230,87,0,1,230,1,230,7.70e-110,312
OANT_RS06910,SMc00408,67.323,254,83,0,5,258,5,258,2.66e-111,319
OANT_RS06915,SMc00410,60.372,323,126,1,8,328,3,325,9.79e-134,381
OANT_RS06920,SMc00349,85.524,601,86,1,3,602,8,608,0.0,1067
OANT_RS06930,SMc00345,70.103,97,24,2,1,97,1,92,2.16e-44,136
OANT_RS06935,SMc01102,62.287,411,130,4,7,409,8,401,0.0,515
OANT_RS06940,SMc01101,69.412,170,52,0,1,170,5,174,8.84e-88,252
OANT_RS06945,SMc01100,65.347,303,105,0,1,303,3,305,2.32e-143,404
OANT_RS06950,SMc01099,63.968,247,89,0,1,247,1,247,8.12e-118,334
OANT_RS06955,SMc00246,43.558,326,181,3,1,324,1,325,3.06e-81,247
OANT_RS06960,SMc03122,30.325,277,186,1,3,272,6,282,1.74e-39,137
OANT_RS06965,SMc01097,30.457,197,132,2,1,194,1,195,2.95e-18,76.6
OANT_RS06970,SMc01096,74.359,390,99,1,6,395,5,393,0.0,584
OANT_RS06980,SMc00360,41.279,172,95,4,7,173,23,193,3.62e-40,133
OANT_RS06995,SMc01732,81.754,285,51,1,1,284,12,296,1.26e-173,479
OANT_RS07000,SMc01731,72.963,270,73,0,9,278,16,285,8.96e-139,390
OANT_RS07010,SMc01730,64.035,228,82,0,4,231,30,257,1.01e-104,301
OANT_RS07015,SMc01726,85.813,289,41,0,8,296,7,295,0.0,507
OANT_RS07025,SMc01722,81.373,204,38,0,61,264,12,215,3.86e-123,347
OANT_RS07030,SMc01721,64.086,607,204,5,1,606,2,595,0.0,795
OANT_RS07035,SMc01720,58.559,111,39,1,9,119,12,115,1.70e-35,117
OANT_RS07040,SMc04434,90.909,44,4,0,1,44,1,44,6.94e-23,78.6
OANT_RS07045,SMa1589,63.415,123,45,0,5,127,5,127,1.02e-54,165
OANT_RS07050,SMc00791,69.298,114,35,0,1,114,1,114,4.04e-55,165
OANT_RS07060,SMc01282,66.851,181,60,0,19,199,15,195,2.80e-81,239
OANT_RS07065,SMc01281,66.559,311,103,1,9,319,4,313,3.61e-155,434
OANT_RS07070,SMc01956,45.588,204,110,1,77,280,315,517,4.28e-54,181
OANT_RS07085,SMc02979,65.854,328,107,1,1,323,1,328,6.30e-161,450
OANT_RS07090,SMc02978,76.517,379,75,3,16,393,2,367,0.0,535
OANT_RS07095,SMc02977,69.583,240,73,0,7,246,19,258,4.74e-113,323
OANT_RS07105,SMc02975,78.078,333,73,0,1,333,2,334,0.0,538
OANT_RS07110,SMc04462,60.518,309,121,1,8,316,6,313,3.11e-126,361
OANT_RS07115,SMc03943,56.967,244,105,0,5,248,2,245,1.81e-97,283
OANT_RS07120,SMa0513,34.553,246,154,4,5,246,4,246,3.80e-39,134
OANT_RS07125,SMc03942,41.809,763,427,5,1,750,1,759,0.0,585
OANT_RS07130,SM_b20965,30.476,315,170,11,83,381,25,306,4.01e-21,90.9
OANT_RS07140,SMc03941,62.162,74,26,2,1,73,1,73,3.34e-24,84.0
OANT_RS07145,SMc03950,75.862,377,91,0,1,377,1,377,0.0,588
OANT_RS07150,SMc03939,79.137,139,26,1,1,139,1,136,1.98e-73,213
OANT_RS07155,SMc03938,80.901,466,89,0,1,466,1,466,0.0,708
OANT_RS07165,SMc01502,42.935,184,104,1,9,191,10,193,1.52e-41,138
OANT_RS07170,SMc03927,58.599,157,65,0,1,157,1,157,1.70e-65,194
OANT_RS07180,SMc03934,89.855,69,7,0,1,69,15,83,3.58e-39,122
OANT_RS07185,SMc03935,67.969,256,82,0,29,284,37,292,2.54e-129,367
OANT_RS07190,SMa1358,33.846,130,77,2,3,132,1,121,3.17e-18,72.8
OANT_RS07195,SMc03158,48.387,217,109,1,7,220,4,220,2.30e-52,166
OANT_RS07200,SMc03159,51.506,332,154,3,24,349,28,358,9.68e-103,304
OANT_RS07205,SMc03157,50.628,239,116,2,40,277,21,258,2.19e-80,241
OANT_RS07210,SMc03116,72.075,530,148,0,3,532,2,531,0.0,826
OANT_RS07215,SMc03117,74.312,327,82,1,1,327,1,325,3.31e-178,494
OANT_RS07220,SMc03118,83.390,295,49,0,1,295,1,295,8.27e-157,437
OANT_RS07225,SMc03119,76.596,235,52,1,5,239,2,233,1.58e-131,368
OANT_RS07230,SMc03120,76.172,256,60,1,7,262,4,258,1.41e-138,388
