S_meliloti|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SM_b21412,BAB_RS29945,51.282,117,55,1,22,138,1,115,2.15e-34,113
SM_b21415,BAB_RS22740,26.939,245,154,10,55,278,53,293,1.03e-11,63.2
SM_b21417,BAB_RS21125,28.349,321,197,14,15,315,3,310,5.53e-15,71.6
SM_b21419,BAB_RS33310,34.375,96,63,0,197,292,38,133,9.75e-12,58.2
SM_b21422,BAB_RS18620,39.958,473,277,4,11,478,18,488,8.45e-102,311
SM_b21423,BAB_RS23785,39.564,321,178,5,18,326,16,332,5.12e-56,182
SM_b21429,BAB_RS28680,31.557,244,148,5,4,235,3,239,2.19e-29,108
SM_b21430,BAB_RS28675,36.697,327,175,6,45,354,20,331,1.19e-42,147
SM_b21433,BAB_RS22930,32.727,110,73,1,50,158,149,258,3.54e-09,53.1
SM_b21434,BAB_RS30110,25.000,280,198,6,5,278,1,274,3.14e-16,73.9
SM_b21435,BAB_RS17410,44.794,413,227,1,1,413,1,412,8.59e-116,341
SM_b21436,BAB_RS17710,28.538,431,273,10,21,420,26,452,1.54e-31,122
SM_b21439,BAB_RS28690,35.514,107,68,1,21,127,13,118,5.63e-15,63.2
SM_b21441,BAB_RS22020,30.252,119,76,5,9,123,12,127,6.49e-10,50.8
SM_b21448,BAB_RS19015,32.967,182,110,5,11,187,92,266,7.13e-24,92.8
SM_b21458,BAB_RS30565,59.606,203,82,0,89,291,1,203,8.27e-82,242
SM_b21459,BAB_RS30570,50.000,306,140,1,1,293,14,319,6.70e-99,293
SM_b21460,BAB_RS29760,51.685,356,148,4,1,356,1,332,2.01e-115,335
SM_b21461,BAB_RS17035,26.429,420,265,18,15,408,22,423,6.15e-20,87.8
SM_b21462,BAB_RS16705,26.277,274,164,11,45,293,55,315,1.49e-12,63.9
SM_b21464,BAB_RS31770,28.936,235,165,1,21,255,10,242,2.83e-22,89.0
SM_b21465,BAB_RS30150,25.888,197,127,3,112,299,177,363,3.09e-09,55.1
SM_b21466,BAB_RS31100,24.466,609,416,10,8,584,6,602,6.30e-38,144
SM_b21468,BAB_RS22995,66.864,338,112,0,10,347,3,340,6.31e-159,446
SM_b21473,BAB_RS21720,46.789,109,52,2,30,135,8,113,2.27e-20,77.4
SM_b21474,BAB_RS21405,38.424,203,117,4,1,199,1,199,4.83e-35,122
SM_b21475,BAB_RS33520,39.683,63,37,1,1,62,1,63,6.65e-10,47.4
SM_b21481,BAB_RS30375,28.689,122,68,5,21,132,104,216,9.32e-08,47.0
SM_b21484,BAB_RS23930,42.105,152,88,0,12,163,12,163,7.33e-39,128
SM_b21486,BAB_RS28890,40.852,399,235,1,39,437,22,419,5.55e-81,253
SM_b21487,BAB_RS16120,48.408,314,148,3,11,319,12,316,7.84e-115,335
SM_b21488,BAB_RS31950,75.405,370,91,0,11,380,1,370,0.0,561
SM_b21489,BAB_RS16130,58.201,189,78,1,22,209,21,209,3.44e-80,235
SM_b21490,BAB_RS29730,53.378,148,69,0,19,166,1,148,3.85e-56,176
SM_b21491,BAB_RS19410,42.254,142,81,1,34,175,33,173,4.46e-31,107
SM_b21492,BAB_RS26415,46.875,192,100,2,30,220,12,202,1.07e-60,186
SM_b21493,BAB_RS27970,45.588,136,74,0,17,152,2,137,3.40e-36,119
SM_b21494,BAB_RS27980,73.591,337,89,0,11,347,8,344,0.0,538
SM_b21497,BAB_RS30440,38.596,342,208,1,31,370,60,401,1.28e-64,208
SM_b21498,BAB_RS17475,45.665,1038,556,5,2,1035,1,1034,0.0,906
SM_b21501,BAB_RS21675,52.830,53,25,0,11,63,9,61,1.21e-12,56.6
SM_b21502,BAB_RS18565,30.270,185,111,7,147,321,122,298,3.06e-12,63.9
SM_b21503,BAB_RS18615,31.034,203,123,6,179,368,132,330,4.35e-12,63.5
SM_b21505,BAB_RS26855,30.288,416,274,9,18,425,26,433,5.10e-52,177
SM_b21506,BAB_RS26830,30.137,438,290,6,96,518,126,562,1.00e-44,162
SM_b21507,BAB_RS16270,27.044,159,113,2,1,159,10,165,1.59e-16,72.0
SM_b21508,BAB_RS30205,31.818,242,157,4,14,249,9,248,9.06e-26,100
SM_b21514,BAB_RS24850,28.846,208,139,3,53,257,85,286,5.28e-20,84.3
SM_b21516,BAB_RS18735,66.857,175,58,0,58,232,63,237,1.65e-88,258
SM_b21517,BAB_RS18335,26.271,236,163,6,16,244,716,947,1.30e-15,73.2
SM_b21519,BAB_RS17695,29.717,212,130,9,273,476,235,435,1.40e-10,59.7
SM_b21520,BAB_RS17700,35.533,197,118,3,5,200,7,195,1.13e-30,109
SM_b21522,BAB_RS30505,77.381,84,17,2,1,82,1,84,1.81e-41,127
SM_b21523,BAB_RS30510,83.395,271,45,0,1,271,1,271,4.80e-168,462
SM_b21524,BAB_RS30515,65.462,249,85,1,1,249,1,248,1.91e-114,325
SM_b21525,BAB_RS24970,25.688,436,299,8,30,455,40,460,4.67e-24,101
SM_b21526,BAB_RS31805,26.939,245,162,8,13,251,8,241,1.57e-10,57.8
SM_b21527,BAB_RS31810,43.629,259,135,2,4,262,5,252,1.36e-71,217
SM_b21528,BAB_RS31815,38.462,247,145,2,28,274,10,249,3.16e-49,160
SM_b21529,BAB_RS28605,28.054,442,287,16,34,465,8,428,3.49e-32,124
SM_b21530,BAB_RS22645,26.449,552,377,12,2,544,23,554,1.54e-49,178
SM_b21531,BAB_RS16060,33.974,312,177,9,23,318,14,312,1.43e-23,96.3
SM_b21532,BAB_RS20890,33.433,335,207,7,1,329,439,763,3.60e-40,146
SM_b21533,BAB_RS27040,32.653,245,162,2,14,256,6,249,2.18e-35,124
SM_b21534,BAB_RS22335,29.107,560,335,20,181,696,21,562,4.69e-50,184
SM_b21535,BAB_RS16065,32.787,244,158,2,1,238,1,244,1.45e-25,99.8
SM_b21536,BAB_RS23075,41.712,549,319,1,8,555,8,556,6.74e-141,416
SM_b21539,BAB_RS16905,33.333,474,296,8,17,479,8,472,1.03e-68,224
SM_b21540,BAB_RS28820,36.154,260,163,2,20,277,20,278,2.65e-45,154
SM_b21541,BAB_RS26875,48.377,308,140,3,49,350,19,313,6.29e-98,293
SM_b21542,BAB_RS28825,30.108,465,298,10,200,642,241,700,4.82e-51,186
SM_b21549,BAB_RS21070,27.273,275,177,8,27,299,25,278,7.87e-19,81.3
SM_b21555,BAB_RS27340,48.889,585,283,8,11,589,10,584,2.63e-171,497
SM_b21556,BAB_RS17740,23.347,711,455,19,18,686,31,693,1.83e-28,118
SM_b21557,BAB_RS17735,34.286,140,80,5,166,301,322,453,3.16e-11,60.5
SM_b21558,BAB_RS17735,39.568,139,73,4,69,197,23,160,2.00e-22,90.9
SM_b21559,BAB_RS33310,30.275,109,76,0,186,294,21,129,2.02e-16,71.2
SM_b21560,BAB_RS29965,28.966,290,193,7,128,411,185,467,2.26e-26,107
SM_b21561,BAB_RS29960,41.126,231,121,3,5,225,7,232,4.74e-54,170
SM_b21566,BAB_RS27270,80.151,529,104,1,1,529,1,528,0.0,818
SM_b21568,BAB_RS24570,53.333,90,42,0,1,90,6,95,3.04e-35,112
SM_b21570,BAB_RS27965,25.852,352,231,11,6,337,4,345,5.89e-18,82.8
SM_b21572,BAB_RS28750,24.528,318,194,15,11,322,10,287,3.33e-10,56.6
SM_b21573,BAB_RS24835,50.000,276,135,3,55,327,202,477,7.28e-84,258
SM_b21574,BAB_RS18980,41.667,108,60,1,14,118,355,462,3.99e-21,84.0
SM_b21578,BAB_RS16955,65.141,743,255,2,79,818,7,748,0.0,982
SM_b21579,BAB_RS16960,62.676,142,53,0,1,142,1,142,3.51e-63,187
SM_b21586,BAB_RS26095,35.647,317,173,10,18,329,21,311,7.39e-46,155
SM_b21587,BAB_RS23780,29.787,282,180,7,30,307,39,306,4.16e-25,99.8
SM_b21588,BAB_RS31640,37.378,511,304,6,5,504,2,507,7.98e-106,322
SM_b21589,BAB_RS28155,33.951,324,182,7,16,319,32,343,6.17e-39,138
SM_b21590,BAB_RS23785,35.443,316,170,7,8,309,33,328,1.73e-39,138
SM_b21591,BAB_RS27755,51.982,227,109,0,9,235,11,237,3.53e-72,217
SM_b21592,BAB_RS28715,52.422,351,160,4,4,353,3,347,3.94e-118,343
SM_b21593,BAB_RS17045,27.372,274,192,3,8,275,18,290,6.39e-33,119
SM_b21594,BAB_RS30570,30.137,292,185,4,23,300,36,322,1.02e-38,137
SM_b21595,BAB_RS28705,27.073,410,261,12,1,391,1,391,3.51e-28,111
SM_b21597,BAB_RS23625,24.151,265,169,7,5,264,4,241,6.55e-11,58.9
SM_b21598,BAB_RS25695,32.063,315,192,9,7,312,11,312,1.30e-31,118
SM_b21602,BAB_RS29110,27.899,276,189,3,1,266,2,277,8.79e-29,107
SM_b21603,BAB_RS31785,31.373,255,170,4,38,289,55,307,4.66e-37,130
SM_b21604,BAB_RS29120,27.976,168,84,5,9,155,11,162,1.12e-11,62.4
SM_b21605,BAB_RS29760,49.861,359,151,3,4,362,4,333,4.15e-116,337
SM_b21630,BAB_RS17670,84.746,413,63,0,1,413,1,413,0.0,743
SM_b21631,BAB_RS17665,82.466,365,64,0,1,365,1,365,0.0,645
SM_b21632,BAB_RS28485,29.504,383,242,6,40,407,322,691,3.83e-47,169
SM_b21633,BAB_RS26345,32.331,266,161,5,5,263,4,257,4.14e-37,128
SM_b21634,BAB_RS23195,27.559,127,91,1,1,126,1,127,2.81e-10,52.0
SM_b21635,BAB_RS30935,26.854,499,323,19,13,503,24,488,1.39e-27,113
SM_b21636,BAB_RS22980,27.035,344,223,9,21,347,32,364,4.68e-27,106
SM_b21642,BAB_RS19410,41.606,137,74,4,33,167,38,170,9.63e-32,109
SM_b21644,BAB_RS29695,52.652,528,244,4,25,552,6,527,0.0,552
SM_b21645,BAB_RS29690,39.496,238,109,3,151,374,158,374,1.36e-45,157
SM_b21646,BAB_RS31300,30.909,330,210,6,1,330,1,312,2.88e-45,154
SM_b21647,BAB_RS28520,21.795,546,321,20,144,657,61,532,4.89e-13,68.6
SM_b21649,BAB_RS22325,36.000,100,63,1,185,284,225,323,2.28e-13,66.2
SM_b21650,BAB_RS27570,25.779,353,225,12,2,338,5,336,6.25e-17,77.4
SM_b21652,BAB_RS28705,26.531,343,223,17,13,342,8,334,4.59e-10,57.4
SM_b21653,BAB_RS31785,34.448,299,174,13,9,298,21,306,1.86e-34,124
SM_b21654,BAB_RS29110,31.418,261,162,6,26,272,25,282,5.05e-28,105
SM_b21662,BAB_RS20175,39.597,149,80,5,13,159,1,141,1.01e-24,90.5
SM_b21663,BAB_RS20755,54.795,73,30,1,64,136,181,250,3.94e-19,77.0
SM_b21706,BAB_RS25695,28.159,277,183,6,1,266,69,340,3.97e-19,82.4
SM_b21707,BAB_RS29135,37.555,229,139,2,2,229,6,231,2.82e-45,148
SM_b21712,BAB_RS20625,80.000,25,5,0,1,25,1,25,1.43e-10,45.4
SM_b22023,BAB_RS27275,79.348,92,19,0,3,94,6,97,4.02e-51,153
SM_b22024,BAB_RS16135,53.659,123,51,3,13,133,3,121,3.35e-42,132
SMa0002,BAB_RS27885,22.835,381,212,8,116,477,113,430,1.21e-15,78.2
SMa0005,BAB_RS30585,32.500,80,54,0,117,196,183,262,7.34e-11,59.3
SMa0013,BAB_RS24145,31.148,244,153,5,17,259,59,288,5.24e-16,73.9
SMa0015,BAB_RS22000,27.749,382,229,12,3,349,15,384,1.10e-27,112
SMa0021,BAB_RS20995,31.206,141,88,4,65,202,721,855,3.41e-10,55.5
SMa0036,BAB_RS19330,33.210,539,343,5,1,537,1,524,3.65e-101,315
SMa0039,BAB_RS26815,34.021,291,191,1,1,291,1,290,5.83e-51,167
SMa0041,BAB_RS24270,28.875,329,223,3,5,329,12,333,1.74e-30,114
SMa0050,BAB_RS23845,53.247,77,28,1,1,69,298,374,1.82e-21,82.4
SMa0052,BAB_RS23845,61.667,60,23,0,9,68,386,445,4.98e-20,78.2
SMa0059,BAB_RS28570,32.016,253,162,3,1,250,1,246,1.74e-38,132
SMa0060,BAB_RS26090,25.614,285,169,11,28,295,29,287,6.46e-19,81.6
SMa0062,BAB_RS28375,34.101,217,142,1,6,221,41,257,1.01e-35,124
SMa0063,BAB_RS27755,29.717,212,122,3,40,236,36,235,9.19e-15,68.2
SMa0064,BAB_RS17055,24.796,367,217,8,20,379,35,349,1.26e-18,83.2
SMa0065,BAB_RS28375,36.364,209,131,2,20,226,48,256,4.05e-38,130
SMa0067,BAB_RS22445,26.733,303,200,8,21,320,26,309,1.78e-18,80.9
SMa0070,BAB_RS23785,35.197,304,183,6,16,309,26,325,3.41e-40,140
SMa0072,BAB_RS22430,43.902,246,131,2,1,243,1,242,5.91e-69,209
SMa0074,BAB_RS26510,35.714,252,145,8,3,251,4,241,5.58e-37,127
SMa0078,BAB_RS25695,40.774,336,194,4,8,339,3,337,1.15e-79,244
SMa0079,BAB_RS29005,39.766,171,103,0,48,218,48,218,3.30e-34,119
SMa0081,BAB_RS25255,37.306,193,121,0,20,212,22,214,8.52e-41,136
SMa0082,BAB_RS20135,28.440,218,144,4,52,259,38,253,3.23e-22,89.7
SMa0083,BAB_RS19595,70.711,239,70,0,20,258,29,267,5.70e-130,365
SMa0085,BAB_RS27575,44.980,249,136,1,60,307,56,304,1.47e-65,206
SMa0091,BAB_RS22595,45.833,48,25,1,109,155,87,134,7.25e-10,52.4
SMa0093,BAB_RS27810,48.387,279,143,1,2,279,10,288,1.65e-91,270
SMa0095,BAB_RS29720,57.864,337,140,2,3,339,4,338,8.17e-126,361
SMa0097,BAB_RS28875,41.667,72,42,0,1,72,4,75,6.44e-10,55.8
SMa0101,BAB_RS29220,30.667,525,340,14,26,540,65,575,4.24e-62,210
SMa0104,BAB_RS29675,27.887,459,300,13,41,478,34,482,2.14e-37,141
SMa0105,BAB_RS31300,41.009,317,178,2,1,311,1,314,9.91e-74,226
SMa0106,BAB_RS28435,39.919,248,148,1,25,272,42,288,6.88e-65,201
SMa0108,BAB_RS30210,47.039,304,148,5,3,296,4,304,1.83e-85,257
SMa0110,BAB_RS23525,49.621,264,131,2,1,264,1,262,3.78e-84,252
SMa0113,BAB_RS29430,42.788,208,118,1,647,853,265,472,1.26e-49,179
SMa0114,BAB_RS16400,34.259,108,70,1,7,113,8,115,3.99e-13,58.2
SMa0116,BAB_RS18045,37.097,310,171,4,4,290,3,311,1.95e-59,189
SMa0124,BAB_RS27270,72.538,528,144,1,1,528,1,527,0.0,738
SMa0125,BAB_RS27275,76.596,94,22,0,1,94,4,97,6.56e-50,150
SMa0126,BAB_RS18060,69.118,68,21,0,1,68,1,68,4.75e-32,102
SMa0136,BAB_RS19425,24.024,333,228,5,40,367,19,331,3.23e-15,75.5
SMa0137,BAB_RS16950,37.709,419,258,3,294,710,260,677,2.62e-84,278
SMa0143,BAB_RS23930,40.667,150,86,1,12,161,19,165,1.81e-30,106
SMa0149,BAB_RS18690,45.963,161,77,6,1,159,1,153,2.84e-32,109
SMa0150,BAB_RS17460,31.068,515,313,9,21,495,69,581,1.22e-71,235
SMa0151,BAB_RS17710,27.523,436,280,8,13,419,24,452,2.53e-40,153
SMa0160,BAB_RS30940,31.351,185,123,4,17,199,24,206,1.01e-16,72.8
SMa0169,BAB_RS22930,34.343,99,63,1,32,130,159,255,1.23e-08,51.2
SMa0172,BAB_RS17495,52.968,219,103,0,55,273,67,285,6.56e-76,232
SMa0179,BAB_RS27945,28.000,275,188,4,1,270,3,272,6.35e-29,109
SMa0180,BAB_RS22580,29.818,275,176,9,8,270,13,282,2.47e-17,77.0
SMa0181,BAB_RS23120,59.091,66,25,1,1,64,1,66,4.44e-25,85.1
SMa0185,BAB_RS28985,28.993,407,275,7,21,420,8,407,5.05e-31,122
SMa0187,BAB_RS26510,33.607,244,156,5,73,316,4,241,1.86e-38,133
SMa0196,BAB_RS26090,25.769,260,166,10,35,288,18,256,3.37e-10,56.2
SMa0197,BAB_RS23785,30.824,279,164,8,51,311,63,330,1.09e-22,93.2
SMa0198,BAB_RS27515,31.359,287,188,3,28,310,37,318,7.48e-23,93.2
SMa0199,BAB_RS27800,33.333,513,296,11,7,481,17,521,2.90e-75,243
SMa0203,BAB_RS33125,38.272,81,49,1,69,148,87,167,6.71e-09,53.1
SMa0204,BAB_RS17695,28.000,200,127,4,184,375,228,418,3.86e-15,73.2
SMa0206,BAB_RS17700,26.020,196,140,3,1,196,7,197,6.49e-11,57.0
SMa0216,BAB_RS22430,42.500,240,134,3,2,239,1,238,3.44e-63,195
SMa0217,BAB_RS23785,33.841,328,192,6,35,351,15,328,1.30e-42,147
SMa0218,BAB_RS22445,29.851,268,172,9,27,289,25,281,1.18e-19,84.3
SMa0220,BAB_RS25670,49.206,504,251,3,1,503,2,501,0.0,514
SMa0222,BAB_RS28375,36.449,214,136,0,28,241,43,256,1.41e-39,134
SMa0224,BAB_RS32575,25.935,401,290,4,21,417,19,416,1.28e-22,97.4
SMa0228,BAB_RS16990,31.738,397,262,4,50,446,27,414,4.52e-53,180
SMa0229,BAB_RS29310,42.500,120,69,0,11,130,9,128,8.21e-30,103
SMa0232,BAB_RS29310,29.412,170,99,4,25,183,10,169,6.38e-08,46.6
SMa0235,BAB_RS27775,64.129,591,206,3,8,592,11,601,0.0,777
SMa0237,BAB_RS22310,35.088,285,175,3,7,283,4,286,2.56e-32,117
SMa0241,BAB_RS27035,38.125,320,186,4,2,318,3,313,1.46e-73,226
SMa0244,BAB_RS17990,42.048,459,257,4,23,476,13,467,2.81e-112,337
SMa0246,BAB_RS26475,35.111,225,144,1,14,236,15,239,7.36e-36,124
SMa0250,BAB_RS17710,26.512,430,285,8,17,417,24,451,1.64e-33,128
SMa0255,BAB_RS30890,59.327,327,128,3,1,324,1,325,1.73e-136,387
SMa0257,BAB_RS27415,28.058,278,174,9,78,339,74,341,1.91e-14,72.4
SMa0260,BAB_RS23845,46.973,479,248,3,12,487,6,481,5.33e-151,436
SMa0263,BAB_RS28765,33.062,369,214,10,10,364,11,360,4.22e-39,140
SMa0265,BAB_RS30855,32.738,336,189,7,15,331,19,336,5.21e-38,135
SMa0267,BAB_RS30940,30.189,212,135,5,19,225,10,213,4.90e-17,73.9
SMa0270,BAB_RS18620,51.807,498,235,2,19,512,11,507,7.11e-167,479
SMa0271,BAB_RS18625,57.878,311,130,1,22,331,23,333,4.78e-106,310
SMa0273,BAB_RS18630,46.622,296,153,4,29,321,27,320,1.10e-96,285
SMa0275,BAB_RS21745,53.608,194,89,1,1,194,1,193,2.82e-72,214
SMa0279,BAB_RS31180,32.099,81,52,2,57,134,108,188,3.55e-08,48.9
SMa0281,BAB_RS16960,36.585,123,75,2,10,129,1,123,2.50e-20,77.8
SMa0293,BAB_RS26575,31.933,119,72,4,6,120,4,117,3.76e-10,50.8
SMa0298,BAB_RS31310,42.038,314,176,4,4,313,10,321,4.82e-77,244
SMa0299,BAB_RS23535,36.194,268,161,2,29,290,35,298,1.56e-43,147
SMa0300,BAB_RS30920,37.061,313,197,0,4,316,2,314,1.00e-59,191
SMa0302,BAB_RS32795,31.230,317,189,10,33,323,24,337,1.02e-35,136
SMa0303,BAB_RS27945,32.660,297,190,4,1,291,3,295,2.34e-38,134
SMa0306,BAB_RS27830,27.593,482,307,11,73,546,52,499,1.71e-46,167
SMa0310,BAB_RS16195,30.380,237,163,2,4,239,61,296,4.06e-34,121
SMa0316,BAB_RS29175,30.851,94,62,1,313,406,48,138,2.04e-09,52.4
SMa0319,BAB_RS22325,34.043,94,62,0,238,331,230,323,2.91e-15,72.0
SMa0320,BAB_RS30730,32.377,244,151,6,4,244,5,237,8.26e-34,119
SMa0323,BAB_RS26085,32.258,93,63,0,2,94,3,95,9.61e-10,47.8
SMa0326,BAB_RS25355,32.683,205,133,3,10,213,11,211,2.08e-24,95.9
SMa0329,BAB_RS24440,34.646,254,148,5,8,243,8,261,3.26e-40,136
SMa0335,BAB_RS26510,37.647,255,135,9,7,254,5,242,4.35e-41,138
SMa0339,BAB_RS28570,34.241,257,149,5,5,252,4,249,1.23e-38,132
SMa0340,BAB_RS21040,60.406,197,78,0,1,197,1,197,4.46e-81,236
SMa0352,BAB_RS18120,47.279,294,149,4,5,295,25,315,3.53e-89,265
SMa0353,BAB_RS16065,28.261,184,110,6,8,181,2,173,1.39e-11,60.5
SMa0355,BAB_RS22320,45.588,68,36,1,9,76,14,80,1.90e-10,54.7
SMa0369,BAB_RS16950,33.735,83,54,1,2,83,607,689,8.60e-10,50.1
SMa0372,BAB_RS26815,27.397,292,208,3,1,289,1,291,5.99e-33,119
SMa0380,BAB_RS31735,24.780,569,368,14,37,569,14,558,2.62e-33,131
SMa0383,BAB_RS30540,38.344,459,282,1,67,524,2,460,2.37e-91,285
SMa0387,BAB_RS25405,33.780,373,228,7,1,365,4,365,5.72e-55,181
SMa0389,BAB_RS18225,37.398,246,149,2,5,250,1,241,2.72e-49,159
SMa0391,BAB_RS30480,44.164,317,163,4,19,330,6,313,5.07e-90,272
SMa0394,BAB_RS31375,37.745,204,122,3,76,276,51,252,5.97e-35,125
SMa0396,BAB_RS31370,31.224,237,163,0,5,241,2,238,6.52e-34,120
SMa0398,BAB_RS17285,38.242,421,248,6,29,445,13,425,8.31e-80,251
SMa0400,BAB_RS20085,32.195,205,129,4,1,198,1,202,8.35e-17,76.6
SMa0402,BAB_RS27845,31.441,229,154,2,11,238,16,242,6.29e-30,108
SMa0404,BAB_RS27880,40.761,368,218,0,3,370,4,371,7.77e-99,295
SMa0445,BAB_RS29600,42.857,56,32,0,7,62,38,93,1.51e-09,49.7
SMa0447,BAB_RS30030,27.348,362,220,10,19,358,12,352,1.50e-19,85.5
SMa0466,BAB_RS29680,22.885,520,364,13,21,518,5,509,8.03e-27,110
SMa0467,BAB_RS31300,36.656,311,191,4,27,333,5,313,8.38e-64,202
SMa0469,BAB_RS23535,34.646,254,160,1,12,259,38,291,1.20e-41,141
SMa0470,BAB_RS30905,50.655,229,109,2,375,602,35,260,6.79e-70,224
SMa0478,BAB_RS30065,32.422,256,162,4,106,356,66,315,9.68e-32,121
SMa0483,BAB_RS26585,40.000,220,126,3,92,307,39,256,3.03e-46,154
SMa0485,BAB_RS18350,39.551,445,251,8,2,442,1,431,9.56e-100,304
SMa0486,BAB_RS27980,23.985,271,192,5,52,315,55,318,2.10e-13,66.6
SMa0489,BAB_RS19595,67.490,243,79,0,12,254,27,269,4.14e-127,358
SMa0492,BAB_RS29005,37.788,217,125,2,8,223,10,217,2.13e-38,130
SMa0493,BAB_RS29005,31.111,180,109,3,48,226,53,218,1.35e-21,86.3
SMa0495,BAB_RS20135,34.156,243,149,3,30,272,30,261,2.49e-42,142
SMa0498,BAB_RS22320,30.435,161,108,2,3,160,12,171,1.78e-15,72.0
SMa0501,BAB_RS25255,33.654,208,136,2,4,210,2,208,4.49e-32,114
SMa0503,BAB_RS29005,34.343,198,130,0,19,216,23,220,9.53e-27,99.4
SMa0506,BAB_RS20135,29.237,236,138,9,38,255,29,253,1.63e-20,84.7
SMa0508,BAB_RS25275,51.055,237,116,0,2,238,10,246,6.02e-80,237
SMa0510,BAB_RS27575,39.871,311,180,5,6,314,8,313,3.04e-65,205
SMa0512,BAB_RS30230,27.348,362,232,7,7,342,18,374,9.44e-23,94.4
SMa0513,BAB_RS18225,33.878,245,157,3,5,247,1,242,2.00e-42,141
SMa0516,BAB_RS22310,31.724,290,188,3,5,287,4,290,2.63e-28,107
SMa0520,BAB_RS28780,23.651,241,173,4,2,237,14,248,5.37e-10,55.5
SMa0525,BAB_RS28825,25.751,466,314,16,92,546,225,669,1.74e-20,92.0
SMa0526,BAB_RS28975,49.597,248,119,1,1,248,3,244,5.94e-86,261
SMa0527,BAB_RS31110,31.250,176,108,5,2,164,3,178,9.85e-13,60.8
SMa0541,BAB_RS23950,28.455,123,83,3,5,123,16,137,2.94e-09,50.1
SMa0551,BAB_RS27840,28.796,191,126,4,161,344,209,396,1.22e-10,59.3
SMa0552,BAB_RS19225,40.876,137,77,3,3,138,6,139,1.20e-23,92.4
SMa0557,BAB_RS16195,47.619,294,154,0,1,294,1,294,6.40e-103,299
SMa0559,BAB_RS29175,33.750,80,53,0,163,242,50,129,3.51e-13,61.6
SMa0563,BAB_RS27205,25.685,292,159,11,20,305,17,256,2.98e-09,53.5
SMa0567,BAB_RS24575,31.111,135,84,4,51,178,512,644,2.31e-11,58.2
SMa0576,BAB_RS24460,44.847,359,195,2,2,357,3,361,7.31e-112,327
SMa0579,BAB_RS18995,29.861,144,86,5,406,546,364,495,1.98e-10,60.8
SMa0581,BAB_RS31810,47.368,209,106,3,25,233,20,224,2.83e-57,181
SMa0583,BAB_RS31815,30.472,233,153,1,60,292,22,245,1.85e-33,119
SMa0599,BAB_RS17640,52.451,408,184,5,17,418,7,410,5.38e-152,434
SMa0612,BAB_RS17805,53.606,513,229,4,42,551,35,541,0.0,577
SMa0615,BAB_RS17800,60.793,227,87,2,6,232,7,231,1.53e-99,287
SMa0617,BAB_RS17790,42.414,290,160,3,1,289,1,284,1.13e-75,229
SMa0621,BAB_RS17775,52.053,755,349,8,1,752,1,745,0.0,760
SMa0622,BAB_RS17770,69.565,46,14,0,1,46,1,46,2.83e-11,50.4
SMa0626,BAB_RS21775,39.604,101,61,0,81,181,112,212,9.94e-18,78.2
SMa0627,BAB_RS25465,71.875,224,63,0,1,224,1,224,4.38e-106,302
SMa0630,BAB_RS22345,27.206,136,93,2,284,413,604,739,3.79e-08,52.4
SMa0636,BAB_RS22020,26.923,130,75,2,5,134,14,123,1.14e-09,51.6
SMa0639,BAB_RS22595,48.718,39,20,0,95,133,96,134,3.45e-11,53.9
SMa0645,BAB_RS28870,41.791,67,23,1,5,55,74,140,2.11e-08,46.6
SMa0647,BAB_RS28870,43.662,71,39,1,7,77,211,280,5.55e-13,58.9
SMa0649,BAB_RS28870,53.846,52,24,0,30,81,311,362,2.29e-12,58.2
SMa0662,BAB_RS19160,36.723,177,101,2,41,206,64,240,3.49e-31,111
SMa0665,BAB_RS30030,23.457,324,220,8,45,352,22,333,1.04e-13,68.2
SMa0670,BAB_RS17495,48.069,233,121,0,20,252,53,285,2.23e-72,222
SMa0678,BAB_RS30425,24.217,351,221,12,77,397,81,416,3.75e-13,67.8
SMa0684,BAB_RS30425,22.330,309,210,9,54,339,66,367,5.61e-09,54.3
SMa0695,BAB_RS17515,38.291,316,166,8,20,334,20,307,1.38e-60,193
SMa0705,BAB_RS27780,34.839,310,181,9,7,308,6,302,6.76e-45,152
SMa0707,BAB_RS19125,24.242,165,123,2,18,181,2,165,1.02e-08,52.0
SMa0708,BAB_RS17055,28.875,329,215,9,54,376,34,349,5.42e-20,87.0
SMa0709,BAB_RS28705,22.492,329,222,10,11,322,8,320,9.90e-11,59.7
SMa0710,BAB_RS30570,28.956,297,192,6,45,329,22,311,1.09e-40,144
SMa0711,BAB_RS17045,29.537,281,191,3,1,276,12,290,1.21e-44,149
SMa0713,BAB_RS29105,63.580,162,58,1,1,161,1,162,5.01e-71,216
SMa0714,BAB_RS17050,35.556,180,86,5,1,165,198,362,2.47e-26,99.0
SMa0715,BAB_RS29660,26.962,293,172,12,2,276,5,273,6.88e-16,73.9
SMa0717,BAB_RS26090,33.585,265,171,5,291,553,14,275,1.85e-33,125
SMa0719,BAB_RS18225,31.667,240,155,3,1,239,11,242,3.16e-24,94.0
SMa0738,BAB_RS23120,63.636,66,22,1,1,64,1,66,1.81e-25,85.9
SMa0744,BAB_RS27270,88.447,528,61,0,1,528,1,528,0.0,900
SMa0745,BAB_RS27275,82.653,98,17,0,1,98,1,98,1.72e-57,169
SMa0748,BAB_RS18765,55.639,133,59,0,2,134,6,138,1.76e-49,152
