Abortus2308|Q.,S_meliloti|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS18090,SMc00008,73.727,373,89,3,1,371,1,366,0.0,549
BAB_RS18095,SMc00969,63.091,317,108,2,1,316,1,309,1.20e-139,395
BAB_RS18100,SMc00970,64.474,76,27,0,9,84,8,83,1.24e-32,105
BAB_RS18115,SMa1765,37.838,111,59,2,62,171,44,145,2.90e-15,67.4
BAB_RS18120,SMc00971,67.327,303,99,0,12,314,3,305,2.59e-148,416
BAB_RS18125,SMc00972,76.923,624,144,0,4,627,10,633,0.0,994
BAB_RS18130,SMc00973,64.113,248,89,0,4,251,3,250,6.18e-112,320
BAB_RS18135,SMc00974,56.627,415,172,3,5,412,2,415,4.01e-153,437
BAB_RS18140,SMc02544,66.500,200,62,2,4,200,8,205,9.43e-99,282
BAB_RS18145,SMc03106,42.308,104,59,1,17,120,137,239,5.90e-25,92.4
BAB_RS18150,SMc02543,45.378,238,126,3,74,308,87,323,1.01e-52,182
BAB_RS18155,SMc00550,77.814,622,138,0,5,626,5,626,0.0,994
BAB_RS18160,SMc00551,66.810,232,77,0,20,251,1,232,1.33e-117,333
BAB_RS18165,SMc00552,69.721,251,75,1,11,261,22,271,2.65e-119,341
BAB_RS18170,SMc00553,68.163,245,78,0,1,245,1,245,3.13e-124,350
BAB_RS18175,SMc00554,81.855,496,90,0,1,496,1,496,0.0,840
BAB_RS18180,SMc00555,62.371,194,70,3,1,192,1,193,2.11e-80,235
BAB_RS18185,SMc00556,79.654,462,88,2,1,462,21,476,0.0,755
BAB_RS18190,SMc00561,82.530,498,83,3,5,501,4,498,0.0,838
BAB_RS18195,SMc02645,52.088,407,187,4,1,403,1,403,3.78e-146,420
BAB_RS18200,SMc00565,68.715,179,56,0,1,179,1,179,2.26e-89,258
BAB_RS18205,SMc00566,38.438,320,186,3,3,317,4,317,2.01e-62,198
BAB_RS18210,SMc00567,86.420,81,11,0,1,81,1,81,4.68e-50,149
BAB_RS18215,SMc00568,75.472,106,26,0,1,106,1,106,1.57e-56,171
BAB_RS18220,SMc00571,77.778,306,68,0,1,306,1,306,1.35e-171,476
BAB_RS18225,SMc00572,81.224,245,46,0,1,245,1,245,1.15e-151,419
BAB_RS18230,SMc00573,88.462,78,9,0,1,78,1,78,1.25e-44,135
BAB_RS18235,SMc00574,80.668,419,81,0,1,419,1,419,0.0,683
BAB_RS18240,SMc00575,59.563,366,147,1,22,387,7,371,1.51e-155,442
BAB_RS18245,SMc00576,53.512,299,135,1,1,299,1,295,1.31e-104,305
BAB_RS18250,SMc00577,70.000,210,60,2,10,218,11,218,5.13e-107,305
BAB_RS18255,SMc00960,75.966,466,112,0,3,468,4,469,0.0,736
BAB_RS18260,SMc00071,79.866,149,27,1,60,208,31,176,6.13e-87,251
BAB_RS18265,SMc00009,71.004,269,75,3,23,288,19,287,2.81e-134,380
BAB_RS18270,SMc00010,84.192,563,77,2,1,552,1,562,0.0,897
BAB_RS18275,SMc00450,65.068,292,99,1,6,294,47,338,1.18e-130,373
BAB_RS18280,SMc00012,49.689,161,78,2,1,159,1,160,2.50e-48,154
BAB_RS18290,SMc00013,81.507,292,54,0,1,292,1,292,6.70e-170,469
BAB_RS18295,SMc00014,64.474,76,25,1,3,78,4,77,5.29e-31,105
BAB_RS18300,SMc00085,58.222,225,92,2,21,245,20,242,8.05e-93,271
BAB_RS18305,SMc00016,79.027,329,69,0,5,333,22,350,0.0,548
BAB_RS18310,SMc00017,64.724,326,115,0,1,326,1,326,6.85e-162,452
BAB_RS18315,SMc00018,78.082,146,32,0,1,146,1,146,8.82e-85,243
BAB_RS18320,SMc00072,73.292,161,43,0,1,161,1,161,6.63e-84,241
BAB_RS18325,SMc00073,30.537,298,152,13,1,266,38,312,3.44e-29,110
BAB_RS18330,SMc00019,53.646,192,89,0,9,200,10,201,1.70e-77,228
BAB_RS18335,SMc00074,62.908,949,350,2,13,960,17,964,0.0,1249
BAB_RS18340,SMc00075,53.261,184,86,0,7,190,11,194,1.96e-70,211
BAB_RS18345,SMc00451,66.274,424,142,1,1,423,1,424,0.0,597
BAB_RS18350,SMc00077,70.563,462,136,0,1,462,2,463,0.0,685
BAB_RS18355,SMc00020,39.535,172,90,3,25,192,20,181,1.73e-37,125
BAB_RS18360,SMc00074,33.333,237,152,4,281,514,718,951,2.73e-34,135
BAB_RS18370,SMc00079,61.842,228,87,0,1,228,1,228,1.03e-102,294
BAB_RS18380,SMc00021,79.839,372,74,1,2,373,3,373,0.0,632
BAB_RS18385,SMc00081,66.500,200,67,0,1,200,1,200,2.25e-98,282
BAB_RS18390,SMc00452,64.689,354,120,1,6,354,13,366,5.67e-162,455
BAB_RS18395,SMc00022,42.262,168,93,2,1,165,21,187,3.31e-39,129
BAB_RS18400,SMc00023,61.735,196,75,0,22,217,74,269,2.38e-91,266
BAB_RS18405,SMc00024,65.712,1152,394,1,1,1151,4,1155,0.0,1294
BAB_RS18410,SMc04167,30.132,302,176,7,5,278,27,321,8.32e-27,104
BAB_RS18415,SMc04266,53.211,109,46,3,6,111,9,115,4.35e-34,112
BAB_RS18420,SMc00025,78.054,884,194,0,1,884,1,884,0.0,1437
BAB_RS18435,SMc00026,30.952,294,160,2,4,254,3,296,9.43e-38,132
BAB_RS18440,SMc00087,65.657,297,102,0,5,301,6,302,4.61e-146,410
BAB_RS18450,SM_b20873,59.477,153,62,0,6,158,5,157,6.77e-65,194
BAB_RS18455,SM_b21285,62.393,117,42,2,2,118,9,123,7.29e-47,144
BAB_RS18465,SM_b21232,45.062,324,164,4,261,578,295,610,2.18e-77,257
BAB_RS18475,SMc00125,100.000,25,0,0,1,25,1,25,5.32e-13,52.4
BAB_RS18505,SM_b21235,30.588,170,115,2,66,233,64,232,1.94e-18,80.5
BAB_RS18515,SM_b20832,34.010,197,124,3,53,248,25,216,5.75e-34,119
BAB_RS18525,SM_b21248,37.405,262,152,3,31,280,29,290,4.12e-50,170
BAB_RS18530,SM_b21326,26.496,351,220,12,6,342,4,330,4.57e-21,90.5
BAB_RS18565,SM_b21078,25.562,356,230,9,15,355,55,390,5.43e-19,85.1
BAB_RS18580,SMc03248,29.412,102,67,2,72,172,69,166,1.24e-10,56.2
BAB_RS18600,SMc00637,27.559,381,236,13,5,365,6,366,5.51e-23,98.2
BAB_RS18605,SM_b21082,35.989,364,224,6,10,368,9,368,8.71e-60,206
BAB_RS18610,SMc03111,53.906,384,175,2,8,390,5,387,1.05e-147,421
BAB_RS18615,SM_b21503,31.034,203,123,6,132,330,179,368,7.15e-12,63.5
BAB_RS18620,SMa0270,51.807,498,235,2,11,507,19,512,1.36e-166,479
BAB_RS18625,SM_b20719,80.062,321,64,0,13,333,15,335,0.0,516
BAB_RS18630,SM_b20720,79.062,320,63,1,1,320,1,316,0.0,531
BAB_RS18635,SMc03162,83.143,350,59,0,1,350,1,350,0.0,628
BAB_RS18640,SMc03161,67.259,394,100,2,1,365,1,394,0.0,514
BAB_RS18645,SMc03163,83.945,436,69,1,1,435,1,436,0.0,773
BAB_RS18650,SMc03164,71.816,479,135,0,1,479,1,479,0.0,707
BAB_RS18655,SMc03165,58.065,341,142,1,1,340,1,341,2.65e-119,345
BAB_RS18660,SM_b20457,38.393,112,62,2,22,130,247,354,3.38e-14,66.6
BAB_RS18665,SMc00479,27.273,99,62,2,19,112,17,110,7.60e-09,51.6
BAB_RS18670,SMc00094,69.121,489,147,3,1,487,1,487,0.0,689
BAB_RS18675,SMc00093,70.163,429,128,0,1,429,1,429,0.0,633
BAB_RS18680,SMc00095,56.989,186,80,0,1,186,1,186,3.92e-71,212
BAB_RS18685,SMc00035,61.656,326,125,0,3,328,2,327,1.72e-147,417
BAB_RS18690,SMa0149,45.963,161,77,6,1,153,1,159,5.51e-32,109
BAB_RS18705,SMc00399,49.186,307,149,4,27,330,27,329,3.63e-100,296
BAB_RS18725,SMc00041,56.489,131,46,1,1,120,1,131,5.94e-39,125
BAB_RS18730,SMc00100,67.308,520,153,3,1,503,1,520,0.0,694
BAB_RS18735,SMc00039,55.187,241,90,2,16,238,2,242,3.69e-91,266
BAB_RS18745,SMc00103,70.370,216,64,0,1,216,1,216,1.90e-115,326
BAB_RS18750,SMc00043,84.925,199,30,0,1,199,1,199,1.32e-127,355
BAB_RS18760,SMc00114,72.950,695,183,2,8,697,18,712,0.0,1050
BAB_RS18765,SMc00058,61.069,131,51,0,10,140,9,139,8.00e-54,164
BAB_RS18785,SMc03245,64.387,424,150,1,1,424,12,434,1.81e-163,465
BAB_RS18790,SMc00118,59.701,134,53,1,3,135,2,135,1.24e-55,168
BAB_RS18795,SMc00456,27.000,100,63,3,2,100,1,91,3.34e-08,47.4
BAB_RS18800,SMc00059,44.751,362,186,4,205,556,106,463,5.02e-80,259
BAB_RS18805,SMc00060,28.182,330,211,7,2,321,6,319,1.01e-21,91.3
BAB_RS18810,SMc00061,43.119,109,61,1,1,109,6,113,1.36e-24,87.8
BAB_RS18815,SMc00120,32.624,141,83,3,5,145,2,130,1.37e-10,59.3
BAB_RS18820,SMc00128,33.526,173,113,1,8,178,8,180,1.79e-38,127
BAB_RS18825,SMc00457,46.032,189,102,0,1,189,1,189,1.56e-51,162
BAB_RS18830,SMc00122,64.023,706,245,6,12,712,12,713,0.0,888
BAB_RS18930,SMc00065,51.613,62,26,2,35,96,25,82,6.98e-10,48.9
BAB_RS18935,SMc00458,81.081,222,42,0,1,222,1,222,5.04e-138,384
BAB_RS18940,SMc00129,47.552,429,218,1,11,432,30,458,2.51e-118,351
BAB_RS18945,SMc00067,50.758,132,61,3,22,150,6,136,1.82e-34,115
BAB_RS18950,SMc02361,42.969,384,211,5,1,379,1,381,1.92e-82,254
BAB_RS18955,SMc02362,58.451,142,57,2,25,164,3,144,2.72e-50,156
BAB_RS18960,SMc02363,68.030,660,210,1,1,660,1,659,0.0,860
BAB_RS18965,SMc02364,65.152,132,45,1,24,155,19,149,5.12e-55,168
BAB_RS18970,SMc02365,60.200,500,188,5,20,512,8,503,0.0,568
BAB_RS18975,SMc02366,75.556,225,55,0,1,225,5,229,1.05e-121,343
BAB_RS18980,SMc02367,53.996,463,208,3,2,461,1,461,1.09e-166,476
BAB_RS18985,SMc02368,56.218,973,416,5,14,978,13,983,0.0,1043
BAB_RS18995,SMc02369,49.595,740,368,3,32,768,34,771,0.0,689
BAB_RS19000,SMc02370,59.977,882,351,1,1,882,1,880,0.0,1066
BAB_RS19005,SMc02371,58.305,295,122,1,15,308,5,299,1.74e-113,328
BAB_RS19010,SMc02372,47.420,407,212,1,10,416,10,414,3.33e-128,374
BAB_RS19015,SMc02375,44.444,279,149,4,9,285,11,285,1.77e-67,209
BAB_RS19020,SMc02377,83.837,563,82,1,1,563,1,554,0.0,941
BAB_RS19030,SMc02386,73.800,500,131,0,1,500,1,500,0.0,778
BAB_RS19045,SMc02390,71.552,232,66,0,5,236,2,233,4.60e-126,354
BAB_RS19050,SMc02391,44.737,114,61,2,1,114,1,112,5.59e-21,78.6
BAB_RS19060,SMc02392,62.687,67,25,0,19,85,22,88,6.89e-16,63.9
BAB_RS19065,SMc02240,48.241,199,101,2,58,255,14,211,1.26e-47,155
BAB_RS19075,SMc01519,42.478,113,62,2,1,113,1,110,1.25e-11,55.1
BAB_RS19080,SMc02393,55.769,364,158,2,5,365,6,369,1.51e-141,404
BAB_RS19085,SMc02397,67.014,288,95,0,21,308,21,308,2.47e-143,404
BAB_RS19090,SMc02400,54.688,128,51,3,1,122,1,127,8.04e-22,91.7
BAB_RS19100,SMc02400,32.828,396,185,17,1,362,1,349,9.54e-27,106
BAB_RS19115,SMc01919,40.984,61,36,0,124,184,148,208,9.64e-09,51.2
BAB_RS19120,SMc02403,55.452,642,286,0,43,684,37,678,0.0,697
BAB_RS19125,SMc02404,71.429,294,83,1,1,293,1,294,3.66e-161,447
BAB_RS19130,SMc02405,70.064,157,45,1,4,158,3,159,2.74e-79,229
BAB_RS19140,SMc02407,83.152,184,31,0,1,184,1,184,1.62e-115,324
BAB_RS19145,SMc02408,77.037,135,29,1,1,133,1,135,5.98e-66,194
BAB_RS19150,SMc02659,70.628,749,209,3,1,748,1,739,0.0,1077
BAB_RS19160,SMa1141,36.364,220,137,2,29,247,12,229,2.73e-35,124
BAB_RS19165,SMa1266,44.344,442,240,2,1,436,1,442,1.08e-125,370
BAB_RS19170,SMc00990,64.691,388,137,0,13,400,11,398,3.38e-171,482
BAB_RS19175,SMc00994,50.199,251,123,1,11,261,17,265,6.41e-84,250
BAB_RS19180,SMc02655,40.659,182,105,2,1,181,30,209,1.74e-37,126
BAB_RS19185,SMc02654,78.788,132,28,0,1,132,1,132,6.03e-76,219
BAB_RS19190,SMc02653,62.753,247,91,1,3,249,1,246,5.24e-112,320
BAB_RS19195,SMc02652,60.909,220,86,0,11,230,14,233,3.59e-93,271
BAB_RS19200,SMc02651,76.768,297,69,0,14,310,16,312,6.71e-173,479
BAB_RS19205,SMc02635,59.916,237,94,1,1,237,13,248,1.99e-104,301
BAB_RS19210,SMc02561,47.977,173,85,4,1,169,1,172,2.76e-38,126
BAB_RS19215,SMc02559,64.824,199,65,2,12,206,5,202,2.99e-88,256
BAB_RS19220,SMc02558,46.715,274,140,3,8,279,2,271,4.52e-77,233
BAB_RS19225,SMc01821,28.924,446,287,15,5,426,1,440,1.06e-46,165
BAB_RS19230,SMc02557,42.387,243,132,3,18,253,5,246,6.30e-53,169
BAB_RS19235,SMc02556,45.977,87,47,0,2,88,3,89,2.03e-19,72.8
BAB_RS19240,SMc02555,43.119,109,57,3,24,127,39,147,6.07e-26,92.8
BAB_RS19245,SMc02554,41.176,119,66,3,17,133,11,127,1.83e-18,74.3
BAB_RS19250,SMc02553,61.832,262,91,3,1,259,21,276,2.21e-107,309
BAB_RS19265,SMc02551,55.159,504,174,9,6,504,5,461,6.48e-178,506
BAB_RS19270,SMc02546,73.978,538,139,1,1,537,1,538,0.0,825
BAB_RS19275,SMc02545,54.608,293,132,1,13,304,14,306,7.85e-111,321
BAB_RS19280,SMc02432,43.415,205,111,3,354,555,436,638,3.52e-49,178
BAB_RS19285,SMc00579,72.364,275,72,4,2,275,3,274,6.31e-136,382
BAB_RS19290,SMc00580,60.062,323,128,1,1,323,1,322,2.61e-125,360
BAB_RS19295,SMc00581,44.548,321,169,5,1,318,2,316,9.04e-86,258
BAB_RS19300,SMc00582,47.952,757,368,9,38,792,43,775,0.0,698
BAB_RS19305,SMc00583,55.801,362,158,1,1,362,1,360,4.71e-143,407
BAB_RS19310,SMc00584,47.105,380,198,2,1,380,1,377,2.08e-128,373
BAB_RS19315,SMc00585,67.615,457,143,2,44,497,43,497,0.0,609
BAB_RS19320,SMc00586,57.718,149,63,0,1,149,1,149,1.34e-60,181
BAB_RS19330,SMc00590,68.404,633,188,2,1,626,1,628,0.0,884
BAB_RS19335,SMc00593,54.118,170,77,1,1,170,1,169,5.17e-63,189
BAB_RS19340,SMc00595,93.571,140,9,0,1,140,1,140,2.35e-94,266
BAB_RS19345,SMc03106,43.000,100,57,0,164,263,36,135,8.10e-22,89.0
BAB_RS19350,SMc00599,59.060,149,61,0,8,156,4,152,5.35e-62,186
BAB_RS19355,SMc00600,61.905,84,32,0,2,85,3,86,3.24e-36,115
BAB_RS19360,SMc00601,82.888,187,32,0,8,194,8,194,3.25e-113,318
BAB_RS19365,SMc00602,77.308,639,141,2,53,689,34,670,0.0,1034
BAB_RS19370,SMc00603,59.756,246,97,1,29,272,9,254,2.65e-106,306
BAB_RS19375,SMc00604,41.395,215,121,4,1,213,1,212,8.76e-46,148
BAB_RS19380,SMc00605,57.143,189,81,0,3,191,8,196,1.20e-78,231
BAB_RS19385,SMc00606,45.503,189,97,2,39,226,66,249,5.02e-59,184
BAB_RS19390,SMc00607,38.194,144,86,3,14,156,6,147,8.94e-28,98.6
BAB_RS19395,SMc00608,57.143,287,119,1,1,287,1,283,3.34e-117,336
BAB_RS19400,SMc01807,47.955,269,134,3,5,272,5,268,2.48e-73,224
BAB_RS19405,SMc00609,66.572,703,233,2,1,702,1,702,0.0,988
BAB_RS19410,SM_b21642,38.012,171,101,4,1,170,1,167,9.36e-32,110
BAB_RS19415,SMc00614,73.545,189,50,0,3,191,7,195,6.32e-96,276
BAB_RS19420,SMc00615,80.226,354,67,2,8,359,4,356,0.0,536
BAB_RS19425,SMc00616,63.158,361,133,0,7,367,6,366,8.63e-156,450
BAB_RS19430,SM_b20415,28.405,257,138,10,2,234,3,237,3.97e-12,63.5
BAB_RS19440,SMc00136,73.077,234,63,0,1,234,1,234,8.13e-121,340
BAB_RS19460,SMc00287,63.366,101,37,0,1,101,1,101,1.07e-47,145
BAB_RS19465,SMc00308,84.000,25,4,0,1,25,1,25,1.27e-08,41.2
BAB_RS19545,SMa2297,37.662,77,48,0,5,81,6,82,4.58e-14,65.5
BAB_RS19560,SMc02117,65.729,391,131,1,1,388,1,391,0.0,538
BAB_RS19565,SMc04406,36.232,207,112,6,36,238,12,202,1.84e-18,79.3
BAB_RS19570,SMc02118,59.155,71,29,0,1,71,1,71,9.80e-24,89.0
BAB_RS19575,SMc02118,70.301,266,77,1,1,266,78,341,3.89e-147,413
BAB_RS19595,SMc02121,92.000,250,20,0,20,269,9,258,8.14e-179,490
BAB_RS19600,SMc02116,43.734,391,201,7,2,387,9,385,3.75e-97,293
BAB_RS19605,SMc02115,68.750,80,25,0,1,80,1,80,4.84e-40,124
BAB_RS19610,SMc00618,76.653,711,163,2,26,736,24,731,0.0,1120
BAB_RS19615,SMc00619,57.715,499,208,1,6,501,6,504,0.0,536
BAB_RS19620,SMc00622,66.667,381,127,0,3,383,1,381,0.0,560
BAB_RS19625,SMc01756,84.343,594,93,0,1,594,1,594,0.0,1068
BAB_RS19630,SMc01760,28.010,382,256,7,28,398,23,396,5.48e-45,157
BAB_RS19635,SMc01761,70.649,770,212,1,1,770,1,756,0.0,1147
BAB_RS19640,SMc01764,68.675,249,78,0,1,249,1,249,8.18e-129,362
BAB_RS19645,SMc01765,47.333,150,79,0,6,155,3,152,8.90e-43,137
BAB_RS19650,SMc01766,68.788,330,103,0,14,343,48,377,1.82e-161,454
BAB_RS19655,SM_b20752,38.372,344,198,7,10,343,9,348,2.45e-55,182
BAB_RS19660,SMc01767,37.984,129,80,0,11,139,10,138,1.67e-24,89.7
BAB_RS19665,SMc01768,73.373,169,45,0,3,171,2,170,1.37e-80,234
BAB_RS19670,SMc01769,67.062,422,130,4,15,433,12,427,0.0,565
BAB_RS19675,SMc01770,87.765,425,52,0,12,436,6,430,0.0,774
BAB_RS19680,SMc01771,69.595,148,45,0,1,148,1,148,1.17e-76,223
BAB_RS19685,SMc01772,51.990,402,144,4,14,373,7,401,1.09e-125,365
BAB_RS19690,SMc01773,73.500,200,53,0,1,200,1,200,8.20e-109,308
BAB_RS19695,SMc01777,79.167,144,30,0,10,153,8,151,6.51e-82,236
BAB_RS19700,SMc01778,67.097,155,51,0,9,163,5,159,3.27e-72,212
BAB_RS19705,SMc01780,86.020,701,98,0,5,705,1,701,0.0,1195
BAB_RS19710,SMc01781,60.563,142,51,2,13,154,15,151,4.28e-58,176
BAB_RS19715,SMc01782,50.000,172,85,1,1,172,1,171,4.79e-45,144
BAB_RS19720,SMc01783,45.556,180,95,2,4,183,6,182,1.64e-50,158
BAB_RS19725,SMc01784,71.681,339,96,0,1,339,1,339,0.0,516
BAB_RS19730,SMc01785,77.399,323,73,0,1,323,1,323,5.24e-180,498
BAB_RS19735,SMc01786,81.731,104,19,0,1,104,1,104,3.87e-61,179
BAB_RS19740,SMc01787,60.556,180,66,3,1,179,1,176,5.38e-71,210
BAB_RS19745,SMc01278,57.843,102,43,0,1,102,1,102,1.34e-34,112
BAB_RS19750,SMc02182,100.000,25,0,0,1,25,1,25,2.19e-12,50.8
BAB_RS19755,SMc01792,59.020,510,209,0,3,512,11,520,0.0,605
BAB_RS19765,SMc01794,61.658,193,71,1,3,195,2,191,1.07e-88,256
BAB_RS19770,SMc01795,37.778,180,111,1,11,189,523,702,9.45e-33,120
BAB_RS19775,SMc01799,55.172,58,26,0,9,66,1,58,1.21e-14,59.3
BAB_RS19780,SMc01800,61.584,341,128,2,18,356,18,357,1.30e-146,416
BAB_RS19785,SMc01801,73.052,308,83,0,1,308,1,308,3.22e-170,472
BAB_RS19790,SMc01802,78.233,317,68,1,1,316,1,317,0.0,516
BAB_RS19795,SMc01803,79.114,158,30,2,1,158,1,155,2.75e-87,249
BAB_RS19800,SMc01804,85.714,154,22,0,1,154,1,154,4.58e-99,279
BAB_RS19805,SMc01805,61.429,140,51,1,12,148,4,143,2.56e-58,175
BAB_RS19810,SMc01809,78.118,425,93,0,3,427,2,426,0.0,702
BAB_RS19840,SMc01938,96.000,25,1,0,1,25,1,25,7.10e-12,49.3
BAB_RS19845,SMc01937,96.000,25,1,0,1,25,1,25,4.15e-12,50.1
BAB_RS19855,SMc01912,82.645,121,21,0,1,121,1,121,1.24e-70,204
BAB_RS19860,SMc01913,89.894,188,19,0,6,193,5,192,1.37e-129,359
BAB_RS19865,SMc01914,73.096,197,53,0,4,200,3,199,1.82e-106,301
BAB_RS19870,SMc01915,88.131,396,47,0,1,396,1,396,0.0,738
BAB_RS19875,SMc01917,70.404,223,63,2,1,221,1,222,5.40e-114,325
BAB_RS19880,SMc01918,82.529,435,75,1,1,435,1,434,0.0,755
BAB_RS19885,SMc01920,76.945,694,159,1,1,694,1,693,0.0,1113
BAB_RS19890,SMc01921,77.522,347,78,0,1,347,1,347,0.0,534
BAB_RS19895,SMc01922,90.184,163,16,0,1,163,2,164,3.81e-111,310
BAB_RS19900,SMc01923,75.369,203,49,1,4,205,2,204,2.26e-107,304
BAB_RS19905,SMc01924,86.275,102,14,0,1,102,1,102,1.50e-53,160
BAB_RS19910,SMc01925,77.238,659,147,2,5,661,7,664,0.0,1039
BAB_RS19915,SMc01926,80.716,503,96,1,1,502,1,503,0.0,822
BAB_RS19920,SMc01927,69.053,475,146,1,5,478,6,480,0.0,660
BAB_RS19925,SMc01928,37.200,250,153,1,9,258,10,255,8.60e-41,139
BAB_RS19930,SMc01929,66.182,550,186,0,8,557,6,555,0.0,760
BAB_RS19935,SMc01930,80.597,134,26,0,1,134,1,134,8.00e-78,224
BAB_RS19940,SMc01931,55.172,87,39,0,1,87,40,126,2.51e-25,89.0
BAB_RS19945,SMc01934,72.273,440,122,0,1,440,1,440,0.0,673
BAB_RS19950,SMc01935,72.549,408,112,0,30,437,1,408,0.0,620
BAB_RS19955,SMc01376,73.128,227,61,0,1,227,1,227,3.05e-120,338
BAB_RS19960,SMc01375,72.507,1153,315,2,13,1163,17,1169,0.0,1688
BAB_RS19990,SMc00485,83.902,205,33,0,1,205,1,205,2.34e-129,360
BAB_RS19995,SMc00534,75.090,277,68,1,5,280,31,307,1.35e-156,437
BAB_RS20000,SMc00535,52.091,263,126,0,11,273,10,272,2.65e-95,279
BAB_RS20005,SMc00537,62.278,395,147,1,21,415,18,410,5.31e-153,437
BAB_RS20010,SMc00538,79.091,110,23,0,1,110,1,110,7.54e-64,187
BAB_RS20015,SMc00487,77.922,77,17,0,1,77,1,77,8.85e-42,128
BAB_RS20020,SMc00488,78.629,744,154,3,1,740,1,743,0.0,1147
BAB_RS20025,SMc00492,57.692,130,51,2,4,132,8,134,3.83e-46,144
BAB_RS20030,SMc04321,27.014,211,137,6,1,202,3,205,6.13e-12,60.1
BAB_RS20035,SMc00493,82.511,223,38,1,1,223,1,222,1.88e-139,387
BAB_RS20040,SMc00494,86.250,80,11,0,1,80,1,80,1.55e-46,140
BAB_RS20045,SMc00495,88.583,254,29,0,1,254,1,254,8.98e-173,474
BAB_RS20050,SMc00496,60.748,107,39,2,1,107,1,104,2.21e-30,102
BAB_RS20055,SMc02778,33.074,257,159,6,4,255,7,255,3.39e-35,124
BAB_RS20060,SMc00505,70.109,184,55,0,1,184,1,184,1.28e-101,288
BAB_RS20065,SMc00115,36.170,282,156,4,21,281,11,289,2.77e-55,178
BAB_RS20070,SMc00508,85.219,433,64,0,1,433,1,433,0.0,748
BAB_RS20075,SMc00511,67.568,222,72,0,2,223,4,225,3.35e-116,328
BAB_RS20080,SMc04268,58.746,303,125,0,5,307,4,306,1.47e-128,366
BAB_RS20085,SMc04270,85.673,342,49,0,1,342,1,342,0.0,612
BAB_RS20090,SMc04273,70.023,427,124,4,1,424,1,426,0.0,587
BAB_RS20095,SMc04275,54.453,393,172,5,4,390,6,397,4.42e-130,377
BAB_RS20100,SMc04278,90.323,93,9,0,1,93,3,95,1.39e-57,169
BAB_RS20105,SM_b20828,48.649,74,38,0,47,120,1,74,8.79e-20,79.0
BAB_RS20110,SMc03798,47.774,337,174,1,1,337,3,337,1.53e-112,328
BAB_RS20115,SMc01531,43.537,294,164,2,2,293,3,296,1.32e-69,216
BAB_RS20120,SM_b20876,46.531,245,126,2,1,242,1,243,1.14e-67,207
BAB_RS20125,SM_b21171,57.143,378,162,0,1,378,1,378,5.64e-159,449
BAB_RS20130,SM_b21214,54.839,217,97,1,2,218,20,235,4.42e-81,240
BAB_RS20135,SMc00140,61.923,260,99,0,1,260,1,260,3.39e-119,338
BAB_RS20140,SMc04235,56.125,351,115,3,24,335,1,351,5.07e-131,375
BAB_RS20145,SMc04217,47.393,211,111,0,22,232,21,231,9.20e-56,175
BAB_RS20150,SMc04216,48.214,56,29,0,6,61,1,56,7.27e-18,67.4
BAB_RS20155,SMc04215,41.797,256,142,3,9,260,10,262,3.76e-47,155
BAB_RS20160,SMc04214,78.869,336,70,1,1,336,1,335,7.22e-175,486
BAB_RS20165,SMc00131,83.648,159,26,0,1,159,1,159,3.42e-101,285
BAB_RS20170,SMc04210,55.825,206,87,2,5,208,4,207,3.67e-82,241
BAB_RS20175,SMc04211,43.624,149,77,2,5,146,20,168,1.11e-32,112
BAB_RS20180,SMc02078,50.575,261,127,2,1,260,1,260,6.36e-89,262
BAB_RS20185,SMc02077,72.973,259,70,0,1,259,1,259,2.43e-147,410
BAB_RS20190,SMc03152,66.383,235,76,2,1,235,1,232,2.07e-100,289
BAB_RS20195,SMc02075,72.381,105,29,0,4,108,5,109,2.49e-48,147
BAB_RS20200,SMc02074,64.912,399,139,1,4,401,6,404,0.0,509
BAB_RS20205,SMc02073,70.940,585,170,0,1,585,1,585,0.0,866
BAB_RS20210,SMc02072,40.050,402,191,15,629,990,554,945,1.83e-54,202
BAB_RS20215,SMc02071,58.209,335,140,0,1,335,7,341,1.47e-134,384
BAB_RS20220,SMc02070,65.283,265,89,2,15,278,14,276,1.28e-123,352
BAB_RS20225,SMc02069,65.403,211,72,1,31,241,27,236,3.90e-86,253
BAB_RS20230,SMc02067,74.242,66,12,1,1,61,1,66,3.48e-22,78.6
BAB_RS20235,SMc02066,47.619,126,53,1,1,113,1,126,1.11e-29,106
BAB_RS20240,SMc02065,76.613,248,58,0,7,254,4,251,4.96e-142,398
BAB_RS20245,SMc02064,74.239,427,110,0,1,427,1,427,0.0,659
BAB_RS20250,SMc02063,66.135,251,84,1,1,251,1,250,3.60e-116,330
BAB_RS20255,SMc02062,40.099,202,120,1,22,222,3,204,1.65e-49,158
BAB_RS20265,SMc02060,52.720,239,99,4,201,431,280,512,3.03e-70,228
BAB_RS20270,SMc02059,67.491,283,90,1,5,287,7,287,6.96e-141,396
BAB_RS20275,SMc02058,69.091,110,33,1,1,109,1,110,3.35e-51,155
BAB_RS20280,SMc02057,41.945,689,389,3,91,768,169,857,1.17e-153,467
BAB_RS20285,SMc02056,66.387,119,40,0,1,119,3,121,8.27e-56,168
BAB_RS20290,SMc02055,50.362,276,136,1,1,276,1,275,1.37e-89,265
BAB_RS20295,SMc02053,80.000,460,88,2,8,463,9,468,0.0,771
