O_anthropi|Q.,Melitensis16M|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS05920,BME_RS15345,31.852,135,76,4,25,158,22,141,4.21e-10,56.2
OANT_RS06000,BME_RS01405,57.831,83,35,0,2,84,3,85,1.93e-21,77.0
OANT_RS06005,BME_RS01410,79.554,269,55,0,1,269,1,269,5.08e-154,427
OANT_RS06010,BME_RS01415,95.862,145,6,0,1,145,9,153,3.35e-104,291
OANT_RS06015,BME_RS01420,97.490,478,12,0,1,478,1,478,0.0,935
OANT_RS06020,BME_RS01425,79.565,230,46,1,1,230,1,229,1.73e-134,374
OANT_RS06025,BME_RS15920,95.122,41,2,0,1,41,1,41,2.88e-24,80.9
OANT_RS06030,BME_RS01435,89.014,355,39,0,10,364,6,360,0.0,617
OANT_RS06035,BME_RS01440,96.296,162,6,0,3,164,1,162,5.67e-111,309
OANT_RS06040,BME_RS01445,97.015,67,2,0,1,67,1,67,1.90e-42,128
OANT_RS06045,BME_RS01450,89.831,59,6,0,1,59,1,59,3.18e-34,107
OANT_RS06050,BME_RS01455,93.204,412,28,0,1,412,1,412,0.0,755
OANT_RS06055,BME_RS01460,82.540,63,11,0,1,63,1,63,1.24e-31,101
OANT_RS06060,BME_RS01465,90.419,334,32,0,1,334,1,334,0.0,624
OANT_RS06065,BME_RS01470,94.323,229,13,0,1,229,1,229,1.19e-164,450
OANT_RS06075,BME_RS15805,52.680,653,288,7,19,654,792,1440,0.0,617
OANT_RS06085,BME_RS07900,72.093,172,46,2,2,172,3,173,1.20e-87,251
OANT_RS06090,BME_RS01480,93.182,176,12,0,1,176,1,176,2.65e-113,321
OANT_RS06095,BME_RS01485,86.885,61,8,0,1,61,1,61,2.74e-29,95.1
OANT_RS06100,BME_RS00140,38.554,249,142,5,5,249,2,243,7.02e-44,146
OANT_RS06105,BME_RS01490,90.094,636,63,0,1,636,1,636,0.0,1190
OANT_RS06120,BME_RS01500,92.519,401,25,1,1,401,1,396,0.0,739
OANT_RS06130,BME_RS01505,96.716,335,11,0,1,335,1,335,0.0,662
OANT_RS06135,BME_RS01510,92.609,663,49,0,1,663,1,663,0.0,1267
OANT_RS06140,BME_RS01515,95.556,90,4,0,1,90,1,90,5.80e-55,162
OANT_RS06145,BME_RS01520,91.667,120,10,0,1,120,1,120,1.19e-79,226
OANT_RS06155,BME_RS01525,84.239,184,29,0,11,194,11,194,5.76e-112,315
OANT_RS06160,BME_RS01530,93.796,274,17,0,1,274,1,274,0.0,532
OANT_RS06165,BME_RS01535,90.688,247,23,0,1,247,1,247,2.21e-158,436
OANT_RS06170,BME_RS01540,72.857,140,38,0,1,140,1,140,6.62e-73,211
OANT_RS06175,BME_RS01545,79.581,191,39,0,1,191,1,191,7.37e-107,301
OANT_RS06180,BME_RS01550,92.105,228,11,1,6,226,3,230,3.20e-150,414
OANT_RS06185,BME_RS01555,95.565,248,11,0,1,248,1,248,1.57e-178,487
OANT_RS06190,BME_RS01560,100.000,73,0,0,1,73,1,73,1.02e-51,152
OANT_RS06195,BME_RS01565,84.030,670,68,2,1,631,1,670,0.0,1052
OANT_RS06200,BME_RS01570,94.169,343,20,0,1,343,1,343,0.0,652
OANT_RS06205,BME_RS01575,90.313,351,30,2,1,349,1,349,0.0,545
OANT_RS06210,BME_RS01580,94.297,263,15,0,1,263,1,263,0.0,511
OANT_RS06215,BME_RS01585,96.774,186,6,0,1,186,1,186,1.90e-133,368
OANT_RS06220,BME_RS01590,80.571,350,66,1,1,348,1,350,0.0,543
OANT_RS06225,BME_RS01595,88.688,221,25,0,1,221,1,221,9.85e-136,377
OANT_RS06230,BME_RS01600,90.513,390,35,2,18,407,13,400,0.0,679
OANT_RS06235,BME_RS01605,90.361,166,16,0,1,166,1,166,8.70e-109,304
OANT_RS06240,BME_RS01610,97.093,172,5,0,1,172,1,172,4.35e-116,323
OANT_RS06245,BME_RS01615,97.073,205,6,0,1,205,1,205,6.47e-143,393
OANT_RS06250,BME_RS01620,97.977,346,7,0,1,346,1,346,0.0,671
OANT_RS06255,BME_RS01625,88.235,153,14,1,1,153,1,149,2.64e-99,279
OANT_RS06260,BME_RS01630,97.872,235,5,0,1,235,1,235,1.34e-166,456
OANT_RS06265,BME_RS01635,98.000,150,3,0,1,150,1,150,1.38e-106,297
OANT_RS06270,BME_RS01640,89.607,356,37,0,1,356,1,356,0.0,503
OANT_RS06275,BME_RS01645,97.743,443,10,0,1,443,1,443,0.0,889
OANT_RS06280,BME_RS01650,98.802,167,2,0,1,167,1,167,2.75e-123,341
OANT_RS06285,BME_RS01660,79.020,510,80,8,1,505,1,488,0.0,729
OANT_RS06290,BME_RS01665,70.833,456,125,2,1,456,1,448,0.0,609
OANT_RS06295,BME_RS01670,97.352,642,17,0,1,642,1,642,0.0,1279
OANT_RS06300,BME_RS01675,94.808,443,23,0,1,443,9,451,0.0,864
OANT_RS06305,BME_RS01680,69.565,276,78,3,5,279,4,274,1.43e-135,381
OANT_RS06310,BME_RS12030,33.214,280,122,9,9,226,5,281,1.90e-31,113
OANT_RS06315,BME_RS01685,92.453,318,24,0,1,318,1,318,0.0,551
OANT_RS06320,BME_RS01690,94.256,383,22,0,1,383,1,383,0.0,739
OANT_RS06325,BME_RS01695,96.435,533,19,0,1,533,1,533,0.0,1048
OANT_RS06330,BME_RS01700,95.266,169,8,0,1,169,1,169,6.76e-122,337
OANT_RS06335,BME_RS01705,97.203,429,12,0,1,429,1,429,0.0,845
OANT_RS06340,BME_RS01710,72.671,483,110,8,1,479,1,465,0.0,651
OANT_RS06345,BME_RS00340,43.137,153,85,2,43,194,20,171,4.57e-39,129
OANT_RS06350,BME_RS03395,29.279,222,151,3,100,318,105,323,2.67e-23,95.1
OANT_RS06360,BME_RS01860,95.050,303,15,0,1,303,1,303,0.0,571
OANT_RS06365,BME_RS01855,92.515,334,25,0,1,334,14,347,0.0,639
OANT_RS06370,BME_RS01850,87.421,159,19,1,1,159,1,158,4.10e-97,274
OANT_RS06375,BME_RS01845,100.000,25,0,0,1,25,1,25,1.33e-11,48.1
OANT_RS06395,BME_RS01840,90.071,141,14,0,1,141,1,141,1.33e-92,261
OANT_RS06400,BME_RS01835,82.143,336,59,1,1,336,1,335,0.0,550
OANT_RS06410,BME_RS01825,89.394,264,28,0,1,264,1,264,3.02e-176,483
OANT_RS06415,BME_RS01820,80.000,75,15,0,1,75,1,75,1.40e-42,129
OANT_RS06420,BME_RS01815,91.053,190,17,0,1,190,1,190,4.94e-129,357
OANT_RS06425,BME_RS01810,76.724,464,104,1,1,460,1,464,0.0,716
OANT_RS06430,BME_RS01805,74.468,141,36,0,1,141,1,141,4.73e-57,171
OANT_RS06435,BME_RS01800,82.906,117,20,0,1,117,1,117,1.88e-60,178
OANT_RS06440,BME_RS15950,69.935,153,45,1,1,153,1,152,6.14e-73,222
OANT_RS06445,BME_RS01780,93.496,246,16,0,105,350,74,319,1.29e-163,456
OANT_RS06450,BME_RS01775,94.406,143,8,0,1,143,1,143,2.10e-83,240
OANT_RS06455,BME_RS01770,60.615,325,86,3,1,325,1,283,2.36e-98,288
OANT_RS06460,BME_RS01765,58.140,258,106,1,1,258,1,256,5.93e-111,317
OANT_RS06465,BME_RS01755,87.936,373,45,0,14,386,9,381,0.0,633
OANT_RS06470,BME_RS01750,80.000,415,76,3,1,415,1,408,0.0,655
OANT_RS06490,BME_RS01745,92.357,157,12,0,1,157,1,157,7.20e-107,298
OANT_RS06495,BME_RS01740,83.117,154,26,0,1,154,1,154,2.03e-93,264
OANT_RS06500,BME_RS01735,94.366,71,4,0,1,71,1,71,7.86e-46,137
OANT_RS06505,BME_RS01730,89.583,240,25,0,26,265,1,240,2.64e-165,454
OANT_RS06510,BME_RS01725,94.444,306,17,0,22,327,1,306,0.0,597
OANT_RS06515,BME_RS01715,97.098,448,13,0,1,448,1,448,0.0,865
OANT_RS06520,BME_RS01865,90.854,164,15,0,1,164,1,164,1.10e-112,313
OANT_RS06525,BME_RS01870,94.207,725,42,0,1,725,1,725,0.0,1429
OANT_RS06530,BME_RS01875,86.942,291,38,0,1,291,1,291,0.0,524
OANT_RS06535,BME_RS01880,92.056,214,17,0,1,214,1,214,2.51e-141,390
OANT_RS06540,BME_RS01885,94.737,190,10,0,1,190,1,190,1.76e-139,384
OANT_RS06545,BME_RS01890,80.702,171,32,1,4,174,3,172,6.19e-102,287
OANT_RS06550,BME_RS01895,93.333,195,13,0,1,195,1,195,5.14e-129,357
OANT_RS06555,BME_RS01900,95.238,483,23,0,1,483,1,483,0.0,909
OANT_RS06560,BME_RS01905,82.156,269,48,0,3,271,5,273,5.29e-165,455
OANT_RS06565,BME_RS11060,98.423,317,5,0,1,317,1,317,0.0,581
OANT_RS06570,BME_RS11065,100.000,25,0,0,1,25,1,25,4.49e-11,46.6
OANT_RS06575,BME_RS11070,96.000,25,1,0,1,25,1,25,1.51e-12,50.4
OANT_RS06580,BME_RS11075,85.075,67,9,1,1,67,1,66,6.49e-25,108
OANT_RS06585,BME_RS11080,92.105,38,3,0,1,38,1,38,2.69e-18,65.9
OANT_RS06590,BME_RS11085,100.000,25,0,0,1,25,1,25,7.25e-12,48.5
OANT_RS06595,BME_RS09345,35.640,289,185,1,8,295,6,294,3.06e-58,186
OANT_RS06610,BME_RS12150,100.000,25,0,0,1,25,1,25,3.19e-11,47.0
OANT_RS06615,BME_RS11565,88.184,457,54,0,1,457,1,457,0.0,792
OANT_RS06620,BME_RS06910,29.319,382,251,5,7,378,34,406,3.86e-31,120
OANT_RS06625,BME_RS15250,40.777,103,61,0,2,104,10,112,1.04e-20,79.7
OANT_RS06635,BME_RS12760,35.985,264,161,2,1,260,1,260,6.05e-46,154
OANT_RS06640,BME_RS11570,94.690,226,12,0,1,226,1,226,9.81e-153,420
OANT_RS06645,BME_RS11575,93.456,489,30,1,2,490,9,495,0.0,926
OANT_RS06650,BME_RS11580,96.429,252,9,0,1,252,1,252,5.21e-178,486
OANT_RS06655,BME_RS11585,95.325,492,23,0,1,492,1,492,0.0,957
OANT_RS06660,BME_RS11590,98.107,317,6,0,1,317,1,317,0.0,599
OANT_RS06665,BME_RS11595,94.056,286,17,0,1,286,1,286,0.0,545
OANT_RS06670,BME_RS11600,92.262,336,26,0,1,336,1,336,0.0,622
OANT_RS06675,BME_RS11605,92.199,282,22,0,1,282,1,282,0.0,523
OANT_RS06680,BME_RS11610,91.757,461,38,0,1,461,1,461,0.0,796
OANT_RS06685,BME_RS11615,90.060,332,33,0,1,332,1,332,0.0,616
OANT_RS06690,BME_RS11620,86.567,402,54,0,1,402,1,402,0.0,738
OANT_RS06695,BME_RS11625,61.377,334,129,0,1,334,1,334,1.24e-137,393
OANT_RS06700,BME_RS11630,77.594,424,94,1,1,424,11,433,0.0,671
OANT_RS06705,BME_RS11635,83.500,200,33,0,1,200,1,200,8.76e-125,347
OANT_RS06745,BME_RS04490,30.476,210,115,7,3,205,17,202,4.24e-18,75.5
OANT_RS06760,BME_RS11315,100.000,30,0,0,1,30,1,30,1.26e-17,63.5
OANT_RS06765,BME_RS11320,85.981,107,15,0,1,107,1,107,7.94e-66,191
OANT_RS06770,BME_RS11325,86.239,218,30,0,1,218,1,218,3.54e-147,405
OANT_RS06780,BME_RS11330,82.353,68,12,0,1,68,1,68,3.41e-37,115
OANT_RS06785,BME_RS05525,33.621,116,77,0,57,172,117,232,1.50e-16,71.2
OANT_RS06790,BME_RS11335,94.712,208,11,0,2,209,1,208,1.23e-146,403
OANT_RS06795,BME_RS11340,92.937,269,13,1,1,263,1,269,0.0,516
OANT_RS06800,BME_RS11345,91.271,527,46,0,1,527,1,527,0.0,983
OANT_RS06805,BME_RS11350,93.781,402,25,0,1,402,4,405,0.0,731
OANT_RS06815,BME_RS11355,96.565,524,18,0,1,524,1,524,0.0,1048
OANT_RS06820,BME_RS11360,90.374,187,18,0,1,187,1,187,1.34e-117,328
OANT_RS06825,BME_RS11365,93.210,486,33,0,1,486,1,486,0.0,921
OANT_RS06830,BME_RS11370,90.493,284,27,0,1,284,1,284,0.0,521
OANT_RS06835,BME_RS11375,81.410,156,29,0,310,465,316,471,6.38e-87,271
OANT_RS06840,BME_RS11380,80.753,239,46,0,1,239,1,239,2.56e-141,392
OANT_RS06850,BME_RS11390,71.498,207,59,0,1,207,1,207,1.37e-113,319
OANT_RS06855,BME_RS11400,100.000,29,0,0,1,29,1,29,7.31e-16,58.9
OANT_RS06860,BME_RS11405,95.146,206,10,0,1,206,1,206,1.37e-148,408
OANT_RS06865,BME_RS11410,92.446,278,19,1,1,276,1,278,0.0,508
OANT_RS06870,BME_RS11415,92.282,609,47,0,1,609,1,609,0.0,1147
OANT_RS06875,BME_RS11420,88.955,335,37,0,11,345,8,342,0.0,611
OANT_RS06880,BME_RS11425,92.000,125,10,0,1,125,1,125,5.18e-84,238
OANT_RS06885,BME_RS11430,90.789,304,28,0,7,310,11,314,0.0,578
OANT_RS06890,BME_RS03020,31.600,250,156,5,19,261,15,256,8.49e-24,98.6
OANT_RS06895,BME_RS11435,82.986,288,49,0,1,288,1,288,0.0,508
OANT_RS06900,BME_RS11440,82.234,394,53,1,1,377,1,394,0.0,677
OANT_RS06905,BME_RS11445,98.261,230,4,0,1,230,1,230,8.04e-168,458
OANT_RS06910,BME_RS11450,92.164,268,21,0,1,268,1,268,0.0,497
OANT_RS06915,BME_RS11455,89.634,328,34,0,1,328,1,328,0.0,604
OANT_RS06920,BME_RS11460,96.844,602,19,0,1,602,1,602,0.0,1202
OANT_RS06930,BME_RS11470,90.099,101,10,0,1,101,1,101,5.46e-67,193
OANT_RS06935,BME_RS11475,94.621,409,20,1,1,409,1,407,0.0,766
OANT_RS06940,BME_RS11480,89.143,175,19,0,1,175,1,175,1.12e-115,322
OANT_RS06945,BME_RS11485,95.752,306,13,0,1,306,1,306,0.0,599
OANT_RS06950,BME_RS11490,94.422,251,14,0,1,251,1,251,0.0,498
OANT_RS06955,BME_RS13615,46.383,235,125,1,5,239,5,238,7.73e-67,206
OANT_RS06960,BME_RS11870,30.686,277,185,1,3,272,5,281,1.38e-40,139
OANT_RS06965,BME_RS11495,83.085,201,34,0,1,201,1,201,5.71e-123,343
OANT_RS06970,BME_RS11500,91.392,395,34,0,1,395,1,395,0.0,751
OANT_RS06980,BME_RS11505,90.217,184,17,1,1,183,12,195,1.33e-124,346
OANT_RS06985,BME_RS07670,88.000,75,6,2,1,75,1,72,1.77e-30,99.4
OANT_RS06990,BME_RS07670,62.651,83,20,3,1,83,1,72,7.18e-18,67.8
OANT_RS06995,BME_RS11510,97.183,284,8,0,1,284,1,284,0.0,570
OANT_RS07000,BME_RS11515,96.377,276,10,0,4,279,1,276,0.0,558
OANT_RS07010,BME_RS11520,91.453,234,20,0,1,234,1,234,2.79e-163,447
OANT_RS07015,BME_RS11525,97.973,296,6,0,1,296,1,296,0.0,589
OANT_RS07025,BME_RS11530,94.275,262,15,0,5,266,5,266,3.89e-172,473
OANT_RS07030,BME_RS11535,85.082,610,88,1,1,607,1,610,0.0,1082
OANT_RS07035,BME_RS11540,86.861,137,18,0,5,141,5,141,1.75e-83,238
OANT_RS07040,BME_RS11545,95.455,44,2,0,1,44,1,44,3.69e-24,80.9
OANT_RS07050,BME_RS11550,92.982,114,8,0,1,114,1,114,2.53e-76,218
OANT_RS07055,BME_RS11555,79.279,333,69,0,1,333,1,333,0.0,554
OANT_RS07060,BME_RS11690,83.636,220,36,0,1,220,1,220,5.76e-137,380
OANT_RS07065,BME_RS11695,89.342,319,34,0,1,319,1,319,0.0,601
OANT_RS07070,BME_RS11700,80.952,294,54,2,1,292,1,294,5.74e-175,482
OANT_RS07085,BME_RS11705,87.037,324,42,0,1,324,1,324,0.0,588
OANT_RS07090,BME_RS11710,92.204,372,17,2,21,392,13,372,0.0,652
OANT_RS07095,BME_RS11715,90.234,256,25,0,1,256,1,256,4.47e-176,481
OANT_RS07105,BME_RS11730,97.929,338,7,0,1,338,1,338,0.0,674
OANT_RS07110,BME_RS11735,80.625,320,62,0,1,320,1,320,0.0,525
OANT_RS07115,BME_RS11740,88.845,251,28,0,3,253,7,257,5.87e-169,465
OANT_RS07120,BME_RS11745,90.763,249,23,0,1,249,1,249,6.52e-173,473
OANT_RS07125,BME_RS11750,82.484,765,134,0,1,765,1,765,0.0,1333
OANT_RS07130,BME_RS17060,71.875,256,72,0,1,256,1,256,1.41e-138,393
OANT_RS07135,BME_RS17075,89.231,130,14,0,118,247,1,130,4.72e-85,246
OANT_RS07140,BME_RS11765,90.411,73,7,0,1,73,1,73,1.05e-34,109
OANT_RS07145,BME_RS11770,94.241,382,22,0,1,382,1,382,0.0,716
OANT_RS07150,BME_RS11775,98.561,139,2,0,1,139,1,139,9.12e-97,271
OANT_RS07155,BME_RS11780,97.639,466,11,0,1,466,1,466,0.0,902
OANT_RS07160,BME_RS11785,90.367,436,42,0,1,436,1,436,0.0,820
OANT_RS07165,BME_RS11790,82.511,223,39,0,1,223,1,223,4.97e-144,398
OANT_RS07170,BME_RS11795,94.937,158,8,0,1,158,1,158,3.49e-106,296
OANT_RS07175,BME_RS11800,84.615,299,46,0,100,398,1,299,0.0,535
OANT_RS07180,BME_RS11810,98.667,75,1,0,1,75,1,75,1.09e-47,142
OANT_RS07185,BME_RS11815,87.162,296,26,2,1,285,1,295,0.0,500
OANT_RS07190,BME_RS11820,84.444,135,21,0,1,135,1,135,1.06e-82,235
OANT_RS07195,BME_RS11825,96.833,221,7,0,1,221,1,221,8.46e-154,422
OANT_RS07200,BME_RS11830,89.773,352,36,0,1,352,1,352,0.0,635
OANT_RS07205,BME_RS11835,93.141,277,19,0,1,277,1,277,0.0,526
OANT_RS07210,BME_RS11840,93.609,532,34,0,1,532,1,532,0.0,1041
OANT_RS07215,BME_RS11845,90.030,331,31,1,1,329,1,331,0.0,566
OANT_RS07220,BME_RS11850,97.288,295,8,0,1,295,1,295,0.0,548
OANT_RS07225,BME_RS11855,93.361,241,14,1,1,239,1,241,5.37e-164,449
OANT_RS07230,BME_RS11860,93.870,261,16,0,4,264,11,271,3.16e-180,493
OANT_RS07235,BME_RS11865,96.010,401,16,0,1,401,1,401,0.0,796
OANT_RS07245,BME_RS11870,93.069,303,21,0,1,303,1,303,0.0,582
OANT_RS07250,BME_RS11880,94.483,145,8,0,1,145,1,145,9.45e-94,264
OANT_RS07255,BME_RS11885,82.230,574,95,1,1,567,1,574,0.0,974
OANT_RS07260,BME_RS11890,90.855,339,31,0,1,339,1,339,0.0,648
OANT_RS07265,BME_RS12910,23.404,282,195,10,3,272,6,278,4.21e-13,64.7
OANT_RS07270,BME_RS13815,25.390,449,294,10,14,446,5,428,5.84e-25,103
OANT_RS07280,BME_RS11905,91.979,561,45,0,1,561,1,561,0.0,1057
OANT_RS07290,BME_RS11895,82.239,518,92,0,1,518,1,518,0.0,905
OANT_RS07300,BME_RS11910,96.266,241,9,0,1,241,1,241,3.66e-166,455
OANT_RS07305,BME_RS01960,37.294,303,166,8,13,302,29,320,2.64e-38,135
OANT_RS07310,BME_RS01960,38.246,285,164,4,36,309,38,321,6.41e-40,140
OANT_RS07315,BME_RS10885,36.508,504,299,7,14,503,5,501,8.89e-105,320
OANT_RS07320,BME_RS01965,31.293,294,178,9,20,306,30,306,7.41e-24,96.3
OANT_RS07330,BME_RS11920,90.303,330,32,0,1,330,1,330,0.0,613
OANT_RS07335,BME_RS11925,82.958,311,53,0,1,311,1,311,0.0,533
OANT_RS07340,BME_RS11930,97.005,601,18,0,1,601,1,601,0.0,1210
OANT_RS07345,BME_RS11935,83.987,306,49,0,1,306,1,306,0.0,512
OANT_RS07350,BME_RS11940,88.571,210,24,0,1,210,1,210,2.76e-134,372
OANT_RS07355,BME_RS17095,93.976,83,5,0,3,85,2,84,4.21e-52,173
OANT_RS07360,BME_RS11955,92.803,528,38,0,1,528,1,528,0.0,1002
OANT_RS07365,BME_RS11960,91.750,400,29,2,1,400,1,396,0.0,716
OANT_RS07370,BME_RS11965,91.126,293,26,0,1,293,1,293,0.0,548
OANT_RS07375,BME_RS10710,47.500,240,103,1,28,267,18,234,6.07e-73,220
OANT_RS07380,BME_RS10705,36.916,214,135,0,41,254,33,246,4.43e-38,130
OANT_RS07385,BME_RS10715,27.692,260,174,8,1,252,1,254,2.17e-13,66.2
OANT_RS07390,BME_RS11970,77.778,189,42,0,1,189,1,189,5.30e-105,297
OANT_RS07400,BME_RS11975,96.230,557,21,0,1,557,1,557,0.0,1112
OANT_RS07405,BME_RS11980,92.105,266,21,0,1,266,1,266,0.0,515
OANT_RS07410,BME_RS15775,93.594,281,18,0,1,281,1,281,0.0,514
OANT_RS07415,BME_RS17100,90.370,405,39,0,1,405,1,405,0.0,726
OANT_RS07420,BME_RS11995,80.667,450,87,0,6,455,5,454,0.0,749
OANT_RS07425,BME_RS12000,87.045,247,32,0,1,247,1,247,6.12e-155,427
OANT_RS07445,BME_RS12005,94.570,442,24,0,1,442,1,442,0.0,862
OANT_RS07450,BME_RS12010,97.253,182,5,0,1,182,1,182,3.64e-132,364
OANT_RS07455,BME_RS12015,92.067,416,33,0,1,416,1,416,0.0,799
OANT_RS07460,BME_RS12020,83.763,388,46,1,1,371,1,388,0.0,660
OANT_RS07465,BME_RS12025,93.506,154,10,0,1,154,1,154,6.09e-104,291
OANT_RS07470,BME_RS12030,70.035,287,81,4,1,285,1,284,2.82e-151,421
OANT_RS07475,BME_RS12035,94.488,381,21,0,1,381,1,381,0.0,751
OANT_RS07480,BME_RS12040,88.442,770,89,0,1,770,1,770,0.0,1409
OANT_RS07485,BME_RS12045,68.750,96,30,0,1,96,1,96,2.93e-42,130
OANT_RS07490,BME_RS12050,75.000,352,86,1,14,365,37,386,0.0,530
OANT_RS07495,BME_RS12055,77.624,362,81,0,8,369,7,368,0.0,583
OANT_RS07500,BME_RS12060,91.723,1027,81,1,1,1027,1,1023,0.0,1914
OANT_RS07505,BME_RS12065,91.765,255,21,0,1,255,1,255,1.83e-171,469
OANT_RS07510,BME_RS12070,89.213,343,37,0,1,343,1,343,0.0,623
OANT_RS07515,BME_RS12075,92.268,388,30,0,1,388,1,388,0.0,729
OANT_RS07520,BME_RS12080,85.950,242,34,0,1,242,1,242,6.09e-146,404
OANT_RS07525,BME_RS12085,92.177,294,23,0,1,294,1,294,0.0,564
OANT_RS07530,BME_RS12090,96.275,510,19,0,1,510,1,510,0.0,1003
OANT_RS07535,BME_RS12095,92.623,122,9,0,345,466,112,233,6.21e-77,237
OANT_RS07540,BME_RS12100,95.161,310,15,0,1,310,1,310,0.0,588
OANT_RS07545,BME_RS12105,94.614,427,23,0,1,427,1,427,0.0,812
OANT_RS07550,BME_RS12950,36.000,150,89,2,130,272,131,280,5.32e-17,77.0
OANT_RS07555,BME_RS12955,23.974,463,312,12,59,503,224,664,2.99e-23,100
OANT_RS07560,BME_RS14690,41.718,326,162,4,3,314,5,316,1.34e-83,255
OANT_RS07565,BME_RS12110,92.177,767,60,0,1,767,1,767,0.0,1424
OANT_RS07570,BME_RS12115,96.667,90,3,0,1,90,1,90,4.22e-63,183
OANT_RS07575,BME_RS12120,88.140,371,44,0,1,371,1,371,0.0,687
OANT_RS07580,BME_RS12125,95.172,145,7,0,1,145,1,145,9.74e-97,272
OANT_RS07585,BME_RS12130,91.176,306,27,0,1,306,1,306,0.0,567
OANT_RS07590,BME_RS12135,91.899,358,29,0,1,358,1,358,0.0,687
OANT_RS07615,BME_RS09525,23.232,198,144,3,15,210,33,224,8.14e-08,50.1
OANT_RS07625,BME_RS12140,79.137,139,29,0,1,139,1,139,1.86e-81,233
OANT_RS07935,BME_RS06415,30.638,235,144,6,1,220,1,231,2.14e-33,117
OANT_RS07955,BME_RS05000,54.167,96,35,2,10,96,9,104,1.86e-25,88.6
OANT_RS07960,BME_RS04995,65.854,82,27,1,1,82,1,81,3.44e-33,106
OANT_RS07980,BME_RS04385,69.186,172,28,3,1,151,1,168,4.78e-79,228
OANT_RS08035,BME_RS01670,32.673,202,111,8,225,406,179,375,6.09e-16,77.0
OANT_RS08150,BME_RS02100,100.000,25,0,0,1,25,1,25,4.44e-11,46.6
OANT_RS08155,BME_RS02105,88.328,317,37,0,1,317,1,317,0.0,585
OANT_RS08160,BME_RS02110,93.316,374,25,0,1,374,1,374,0.0,718
OANT_RS08175,BME_RS02115,94.615,130,7,0,1,130,1,130,7.38e-87,246
OANT_RS08180,BME_RS02120,99.138,232,2,0,1,232,1,232,1.24e-170,466
OANT_RS08185,BME_RS13420,33.945,109,70,2,6,113,1,108,5.23e-09,49.3
OANT_RS08190,BME_RS02125,96.651,209,7,0,1,209,1,209,2.55e-150,412
OANT_RS08195,BME_RS02130,95.455,198,9,0,1,198,1,198,9.27e-129,357
OANT_RS08200,BME_RS02135,74.740,289,72,1,23,310,15,303,2.07e-144,405
OANT_RS08205,BME_RS02140,92.405,79,6,0,1,79,1,79,3.97e-51,152
OANT_RS08215,BME_RS02155,96.212,396,15,0,1,396,3,398,0.0,784
OANT_RS08225,BME_RS02160,83.764,271,44,0,4,274,5,275,2.53e-166,458
OANT_RS08230,BME_RS02165,90.351,114,11,0,1,114,1,114,1.21e-73,211
OANT_RS08235,BME_RS15995,46.809,94,48,2,62,153,2,95,9.54e-23,86.3
OANT_RS08240,BME_RS16000,94.083,338,20,0,1,338,1,338,0.0,642
OANT_RS08245,BME_RS02180,95.224,335,16,0,1,335,1,335,0.0,635
OANT_RS08250,BME_RS02185,89.073,302,33,0,1,302,1,302,0.0,525
OANT_RS08255,BME_RS02190,93.571,280,18,0,3,282,5,284,0.0,536
OANT_RS08260,BME_RS02195,96.454,282,10,0,1,282,1,282,0.0,556
OANT_RS08265,BME_RS02200,91.954,348,28,0,1,348,1,348,0.0,645
OANT_RS08270,BME_RS02205,89.928,278,28,0,1,278,1,278,9.51e-173,475
OANT_RS08275,BME_RS02210,90.683,322,30,0,1,322,1,322,0.0,603
OANT_RS08280,BME_RS02215,86.700,406,44,1,19,424,3,398,0.0,721
OANT_RS08285,BME_RS02220,83.489,321,53,0,1,321,1,321,0.0,542
OANT_RS08290,BME_RS13005,25.939,293,203,6,1,282,2,291,3.88e-23,93.2
OANT_RS08300,BME_RS02225,95.455,66,3,0,1,66,1,66,9.77e-34,127
OANT_RS08305,BME_RS02230,73.239,71,19,0,63,133,1,71,4.97e-33,108
OANT_RS08310,BME_RS02235,98.039,153,3,0,1,153,1,153,8.40e-110,305
OANT_RS08315,BME_RS02245,93.570,731,47,0,1,731,1,731,0.0,1430
OANT_RS08320,BME_RS02250,93.377,302,20,0,1,302,1,302,0.0,548
OANT_RS08330,BME_RS02255,93.565,575,35,1,1,573,1,575,0.0,1129
OANT_RS08340,BME_RS02260,89.000,300,33,0,1,300,1,300,0.0,563
OANT_RS08345,BME_RS02265,91.391,151,13,0,1,151,1,151,5.44e-104,290
OANT_RS08350,BME_RS02270,88.106,227,27,0,1,227,1,227,1.57e-135,377
OANT_RS08355,BME_RS02275,86.462,325,44,0,1,325,1,325,0.0,596
OANT_RS08360,BME_RS02280,91.071,168,15,0,1,168,1,168,2.62e-111,310
OANT_RS08365,BME_RS02285,90.290,690,65,1,1,690,1,688,0.0,1212
OANT_RS08370,BME_RS02290,85.893,957,127,1,1,957,1,949,0.0,1665
OANT_RS08375,BME_RS02295,88.997,309,34,0,1,309,1,309,0.0,545
OANT_RS08380,BME_RS02300,96.119,335,13,0,1,335,1,335,0.0,654
OANT_RS08385,BME_RS02305,86.425,221,30,0,1,221,1,221,1.41e-140,389
OANT_RS08390,BME_RS02310,90.821,207,19,0,1,207,1,207,7.38e-143,393
OANT_RS08395,BME_RS02315,89.130,414,45,0,1,414,5,418,0.0,752
