Abortus2308|Q.,O_anthropi|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS20180,OANT_RS12245,86.517,267,32,1,1,267,1,263,7.67e-173,474
BAB_RS20185,OANT_RS12240,89.231,260,28,0,1,260,1,260,0.0,498
BAB_RS20190,OANT_RS12235,93.191,235,16,0,1,235,1,235,1.02e-151,419
BAB_RS20195,OANT_RS12230,93.519,108,7,0,1,108,1,108,4.46e-72,207
BAB_RS20200,OANT_RS12225,88.806,402,45,0,1,402,1,402,0.0,715
BAB_RS20205,OANT_RS12220,94.188,585,34,0,1,585,1,585,0.0,1138
BAB_RS20210,OANT_RS12215,55.951,1067,319,28,1,990,1,993,0.0,951
BAB_RS20215,OANT_RS12205,90.265,339,33,0,1,339,1,339,0.0,631
BAB_RS20220,OANT_RS12200,85.816,282,40,0,1,282,1,282,8.75e-166,458
BAB_RS20225,OANT_RS12195,83.539,243,37,2,1,241,1,242,7.73e-136,379
BAB_RS20230,OANT_RS12190,86.842,76,6,1,1,72,1,76,1.75e-34,109
BAB_RS20235,OANT_RS12185,71.698,159,36,2,1,159,1,150,1.25e-65,198
BAB_RS20240,OANT_RS12180,94.891,274,14,0,1,274,1,274,0.0,527
BAB_RS20245,OANT_RS12175,92.037,427,34,0,1,427,1,427,0.0,798
BAB_RS20250,OANT_RS12170,92.885,253,18,0,1,253,1,253,2.54e-175,480
BAB_RS20255,OANT_RS12165,90.090,222,22,0,1,222,1,222,3.15e-144,399
BAB_RS20265,OANT_RS12160,79.684,443,74,4,1,432,1,438,0.0,660
BAB_RS20270,OANT_RS12155,91.986,287,23,0,1,287,1,287,0.0,544
BAB_RS20275,OANT_RS12150,92.035,113,9,0,1,113,1,113,1.04e-72,209
BAB_RS20280,OANT_RS12145,88.598,763,86,1,14,775,4,766,0.0,1303
BAB_RS20285,OANT_RS12140,90.698,129,12,0,1,129,1,129,3.17e-84,239
BAB_RS20290,OANT_RS12135,83.394,277,46,0,1,277,1,277,5.17e-179,491
BAB_RS20295,OANT_RS12130,94.156,462,27,0,1,462,1,462,0.0,911
BAB_RS20300,OANT_RS25670,91.667,48,4,0,1,48,1,48,1.85e-28,92.4
BAB_RS20305,OANT_RS12125,77.984,377,81,1,1,377,1,375,0.0,529
BAB_RS20310,OANT_RS12120,72.487,189,52,0,1,189,1,189,3.62e-100,285
BAB_RS20315,OANT_RS12115,100.000,27,0,0,1,27,1,27,3.67e-15,57.8
BAB_RS20320,OANT_RS11835,95.052,485,18,1,1,479,1,485,0.0,919
BAB_RS20325,OANT_RS11830,96.400,500,18,0,1,500,1,500,0.0,995
BAB_RS20330,OANT_RS11825,84.431,167,26,0,1,167,1,167,5.83e-108,302
BAB_RS20335,OANT_RS11820,91.912,136,11,0,1,136,1,136,3.52e-95,268
BAB_RS20340,OANT_RS11815,83.974,156,25,0,1,156,1,156,2.79e-99,280
BAB_RS20345,OANT_RS11810,86.243,189,26,0,1,189,5,193,2.26e-125,348
BAB_RS20350,OANT_RS11805,96.018,452,18,0,1,452,1,452,0.0,900
BAB_RS20355,OANT_RS11800,89.103,156,15,1,1,156,1,154,4.20e-87,249
BAB_RS20360,OANT_RS11795,90.446,157,15,0,1,157,1,157,2.88e-105,295
BAB_RS20365,OANT_RS11790,77.220,259,56,1,1,256,1,259,1.23e-147,411
BAB_RS20370,OANT_RS11785,88.110,471,56,0,1,471,1,471,0.0,771
BAB_RS20375,OANT_RS11780,91.473,387,33,0,1,387,1,387,0.0,704
BAB_RS20380,OANT_RS11775,84.227,932,131,6,1,922,1,926,0.0,1341
BAB_RS20385,OANT_RS11770,83.607,61,10,0,1,61,1,61,8.56e-30,97.1
BAB_RS20390,OANT_RS11765,79.449,399,77,2,26,422,1,396,0.0,640
BAB_RS20395,OANT_RS11760,92.063,819,65,0,1,819,1,819,0.0,1579
BAB_RS20400,OANT_RS11755,95.930,344,14,0,1,344,4,347,0.0,685
BAB_RS20405,OANT_RS25925,41.667,108,61,1,8,113,2,109,2.81e-23,88.2
BAB_RS20415,OANT_RS25925,41.667,108,61,1,8,113,2,109,3.55e-23,87.8
BAB_RS20425,OANT_RS11750,42.012,169,35,5,9,114,16,184,1.81e-28,104
BAB_RS20430,OANT_RS11745,95.273,275,13,0,1,275,1,275,0.0,537
BAB_RS20435,OANT_RS11740,88.312,154,18,0,1,154,1,154,3.18e-101,284
BAB_RS20440,OANT_RS11735,81.979,1132,203,1,1,1131,1,1132,0.0,1864
BAB_RS20445,OANT_RS11730,94.484,417,23,0,1,417,1,417,0.0,816
BAB_RS20450,OANT_RS16190,40.872,367,207,4,7,368,6,367,1.99e-82,253
BAB_RS20455,OANT_RS11725,86.364,110,15,0,1,110,1,110,1.75e-65,190
BAB_RS20460,OANT_RS11720,96.429,224,8,0,1,224,1,224,1.15e-166,456
BAB_RS20465,OANT_RS11715,81.250,384,72,0,1,384,1,384,0.0,639
BAB_RS20470,OANT_RS11705,99.014,507,5,0,1,507,1,507,0.0,1048
BAB_RS20475,OANT_RS11700,97.610,251,6,0,1,251,1,251,0.0,495
BAB_RS20480,OANT_RS11695,91.294,425,37,0,1,425,1,425,0.0,803
BAB_RS20485,OANT_RS11690,95.652,414,18,0,1,414,1,414,0.0,825
BAB_RS20490,OANT_RS11685,89.209,139,15,0,1,139,1,139,1.98e-89,253
BAB_RS20500,OANT_RS11680,100.000,25,0,0,1,25,1,25,4.15e-12,49.7
BAB_RS20505,OANT_RS11675,90.272,257,25,0,1,257,1,257,3.35e-167,459
BAB_RS20510,OANT_RS11670,86.831,486,58,3,1,482,1,484,0.0,830
BAB_RS20515,OANT_RS11660,88.889,126,14,0,1,126,1,126,3.63e-81,231
BAB_RS20520,OANT_RS11655,91.667,84,7,0,1,84,131,214,1.34e-54,165
BAB_RS20525,OANT_RS11650,71.212,66,19,0,1,66,1,66,1.74e-31,101
BAB_RS20530,OANT_RS11645,84.685,222,34,0,1,222,1,222,4.48e-138,383
BAB_RS20535,OANT_RS11640,82.353,459,78,2,1,456,1,459,0.0,770
BAB_RS20540,OANT_RS11635,54.478,268,88,7,1,243,1,259,4.04e-79,236
BAB_RS20545,OANT_RS11630,93.407,910,60,0,1,910,1,910,0.0,1671
BAB_RS20550,OANT_RS11625,62.000,100,30,2,1,100,1,92,1.69e-32,114
BAB_RS20555,OANT_RS11625,74.613,323,65,3,1,323,103,408,1.14e-173,485
BAB_RS20565,OANT_RS11620,66.890,299,80,6,2,290,3,292,1.36e-130,370
BAB_RS20570,OANT_RS11615,70.526,95,28,0,1,95,112,206,1.63e-47,147
BAB_RS20575,OANT_RS11600,90.541,148,14,0,1,148,1,148,1.88e-91,265
BAB_RS20580,OANT_RS11595,70.000,50,15,0,1,50,1,50,3.24e-21,82.4
BAB_RS20585,OANT_RS11590,57.416,209,88,1,13,220,2,210,4.78e-85,248
BAB_RS20590,OANT_RS11580,89.535,344,36,0,1,344,1,344,0.0,641
BAB_RS20595,OANT_RS11575,84.874,119,18,0,1,119,1,119,1.73e-76,219
BAB_RS20600,OANT_RS22655,25.101,247,166,8,17,251,117,356,5.27e-09,53.1
BAB_RS20605,OANT_RS11550,97.398,538,14,0,1,538,1,538,0.0,1087
BAB_RS20610,OANT_RS11545,75.693,469,110,2,1,466,1,468,0.0,688
BAB_RS20620,OANT_RS11540,100.000,25,0,0,1,25,1,25,1.63e-12,50.8
BAB_RS20625,OANT_RS11505,96.000,25,1,0,1,25,1,25,5.88e-13,52.0
BAB_RS20630,OANT_RS21490,90.769,65,6,0,17,81,17,81,3.91e-35,112
BAB_RS20640,OANT_RS10760,100.000,24,0,0,1,24,1,24,2.12e-10,45.4
BAB_RS20645,OANT_RS09305,25.220,341,233,12,3,331,10,340,3.84e-16,75.5
BAB_RS20680,OANT_RS12050,34.118,85,52,3,1,83,1,83,7.51e-09,45.8
BAB_RS20705,OANT_RS03190,94.231,104,6,0,1,104,1,104,8.26e-69,198
BAB_RS20710,OANT_RS07960,67.073,82,26,1,1,81,1,82,8.54e-34,108
BAB_RS20715,OANT_RS11300,93.810,210,13,0,1,210,174,383,4.29e-150,419
BAB_RS20720,OANT_RS25925,41.667,108,61,1,8,113,2,109,3.55e-23,87.8
BAB_RS20730,OANT_RS01360,96.875,64,2,0,34,97,344,407,3.70e-38,131
BAB_RS20735,OANT_RS01360,94.444,144,8,0,1,144,424,567,1.35e-93,279
BAB_RS20740,OANT_RS01365,87.500,72,9,0,1,72,66,137,5.22e-37,130
BAB_RS20755,OANT_RS12315,53.571,252,112,3,3,251,2,251,5.24e-98,284
BAB_RS20760,OANT_RS16560,57.391,115,49,0,1,115,1,115,4.89e-49,150
BAB_RS20765,OANT_RS10770,76.887,424,95,2,1,421,1,424,0.0,672
BAB_RS20770,OANT_RS10775,73.367,398,104,2,1,396,1,398,0.0,590
BAB_RS20775,OANT_RS10780,82.710,214,37,0,1,214,1,214,7.01e-130,362
BAB_RS20780,OANT_RS10785,80.392,357,70,0,1,357,1,357,0.0,598
BAB_RS20785,OANT_RS10790,93.786,515,32,0,1,515,1,515,0.0,1011
BAB_RS20790,OANT_RS10795,88.417,259,30,0,1,259,1,259,1.03e-175,481
BAB_RS20795,OANT_RS10800,87.407,270,34,0,1,270,1,270,0.0,498
BAB_RS20800,OANT_RS10805,93.656,599,36,1,1,599,1,597,0.0,1140
BAB_RS20805,OANT_RS10810,92.945,326,23,0,1,326,1,326,0.0,639
BAB_RS20810,OANT_RS10815,87.500,296,37,0,12,307,12,307,0.0,521
BAB_RS20815,OANT_RS10820,82.727,220,38,0,1,220,1,220,2.16e-131,366
BAB_RS20820,OANT_RS10825,90.385,260,25,0,1,260,1,260,6.96e-179,489
BAB_RS20825,OANT_RS10830,93.817,469,29,0,1,469,1,469,0.0,929
BAB_RS20830,OANT_RS10835,100.000,112,0,0,1,112,1,112,7.39e-76,217
BAB_RS20835,OANT_RS10840,74.950,499,122,1,1,499,1,496,0.0,726
BAB_RS20840,OANT_RS10845,54.762,84,36,2,5,88,2,83,9.24e-16,63.5
BAB_RS20845,OANT_RS10850,84.052,232,37,0,1,232,1,232,7.08e-149,411
BAB_RS20850,OANT_RS10855,89.655,232,24,0,1,232,1,232,2.83e-151,417
BAB_RS20855,OANT_RS10860,89.506,162,17,0,1,162,1,162,6.65e-97,275
BAB_RS20860,OANT_RS10865,84.914,464,70,0,1,464,1,464,0.0,829
BAB_RS20865,OANT_RS10870,93.900,459,28,0,1,459,1,459,0.0,883
BAB_RS20870,OANT_RS10875,81.897,116,21,0,1,116,1,116,2.59e-67,196
BAB_RS20875,OANT_RS10880,88.730,559,63,0,1,559,1,559,0.0,1026
BAB_RS20880,OANT_RS10885,85.996,457,64,0,1,457,1,457,0.0,788
BAB_RS20885,OANT_RS25645,41.892,222,122,5,21,241,21,236,4.20e-48,156
BAB_RS20890,OANT_RS10890,94.839,775,37,2,1,774,1,773,0.0,1412
BAB_RS20895,OANT_RS10920,83.129,326,55,0,1,326,1,326,0.0,553
BAB_RS20900,OANT_RS10925,87.468,391,49,0,1,391,1,391,0.0,662
BAB_RS20905,OANT_RS10930,91.579,285,24,0,1,285,3,287,0.0,513
BAB_RS20910,OANT_RS10935,82.175,331,59,0,1,331,1,331,0.0,553
BAB_RS20915,OANT_RS10940,77.512,209,47,0,1,209,1,209,5.18e-121,339
BAB_RS20920,OANT_RS10945,80.271,1622,249,10,26,1578,1,1620,0.0,2456
BAB_RS20930,OANT_RS10955,93.458,107,7,0,1,107,1,107,1.19e-72,208
BAB_RS20935,OANT_RS10960,73.134,67,18,0,1,67,1,67,1.10e-30,103
BAB_RS20940,OANT_RS10960,64.516,93,33,0,8,100,101,193,1.91e-39,127
BAB_RS20945,OANT_RS10965,83.251,203,34,0,1,203,1,203,7.81e-130,361
BAB_RS20950,OANT_RS10970,75.636,275,67,0,1,275,1,275,5.88e-150,418
BAB_RS20955,OANT_RS10975,87.395,119,15,0,1,119,1,119,1.52e-77,221
BAB_RS20960,OANT_RS10980,75.429,175,43,0,3,177,2,176,1.62e-97,277
BAB_RS20965,OANT_RS10985,90.960,177,16,0,1,177,1,177,2.78e-119,332
BAB_RS20970,OANT_RS10990,84.874,357,53,1,1,357,1,356,0.0,532
BAB_RS20975,OANT_RS10995,90.947,486,44,0,1,486,1,486,0.0,904
BAB_RS20980,OANT_RS11000,71.687,166,47,0,1,166,1,166,7.53e-86,246
BAB_RS20985,OANT_RS11005,97.101,138,4,0,1,138,1,138,4.39e-97,273
BAB_RS20990,OANT_RS11010,59.071,452,121,13,1,417,1,423,1.45e-144,416
BAB_RS20995,OANT_RS11015,91.482,857,73,0,1,857,1,857,0.0,1558
BAB_RS21000,OANT_RS11020,69.900,402,121,0,1,402,1,402,0.0,577
BAB_RS21005,OANT_RS11035,68.349,436,138,0,2,437,3,438,0.0,602
BAB_RS21010,OANT_RS25070,83.375,403,67,0,1,403,1,403,0.0,688
BAB_RS21015,OANT_RS11045,95.487,1263,48,4,1,1257,1,1260,0.0,2464
BAB_RS21020,OANT_RS11050,84.568,162,25,0,1,162,1,162,6.46e-101,284
BAB_RS21025,OANT_RS11055,89.630,135,14,0,1,135,1,135,2.29e-89,255
BAB_RS21030,OANT_RS11060,84.698,281,43,0,1,281,1,281,0.0,508
BAB_RS21035,OANT_RS11065,84.127,252,40,0,1,252,1,252,1.48e-161,445
BAB_RS21040,OANT_RS11070,91.919,198,16,0,1,198,1,198,1.08e-135,375
BAB_RS21045,OANT_RS11080,96.429,28,1,0,1,28,1,28,1.01e-14,56.6
BAB_RS21050,OANT_RS11085,91.866,418,34,0,2,419,1,418,0.0,782
BAB_RS21055,OANT_RS11090,86.481,466,52,5,74,531,1,463,0.0,758
BAB_RS21060,OANT_RS11095,90.058,342,34,0,1,342,1,342,0.0,635
BAB_RS21065,OANT_RS11100,87.045,247,32,0,1,247,1,247,5.11e-162,446
BAB_RS21070,OANT_RS11105,89.085,284,31,0,1,284,1,284,0.0,523
BAB_RS21075,OANT_RS11110,76.744,172,40,0,1,172,1,172,8.03e-103,290
BAB_RS21080,OANT_RS11120,90.726,496,46,0,1,496,1,496,0.0,934
BAB_RS21095,OANT_RS17560,34.483,145,93,2,43,186,200,343,1.85e-23,93.2
BAB_RS21100,OANT_RS16135,83.645,214,35,0,22,235,37,250,5.38e-129,372
BAB_RS21110,OANT_RS01445,39.286,224,128,4,1,221,5,223,5.66e-45,154
BAB_RS21115,OANT_RS11130,88.043,276,33,0,1,276,1,276,0.0,503
BAB_RS21120,OANT_RS11135,86.392,316,43,0,1,316,1,316,0.0,515
BAB_RS21125,OANT_RS11140,92.537,335,25,0,1,335,1,335,0.0,657
BAB_RS21130,OANT_RS11145,87.591,274,34,0,1,274,1,274,1.81e-179,492
BAB_RS21135,OANT_RS11150,81.683,202,37,0,1,202,1,202,1.88e-130,362
BAB_RS21140,OANT_RS11155,83.505,194,32,0,1,194,1,194,9.60e-123,342
BAB_RS21145,OANT_RS11160,79.091,330,60,2,16,336,16,345,0.0,521
BAB_RS21150,OANT_RS11165,96.201,658,25,0,1,658,1,658,0.0,1332
BAB_RS21155,OANT_RS11170,74.257,404,97,2,1,397,1,404,0.0,610
BAB_RS21160,OANT_RS11175,84.874,119,18,0,1,119,1,119,2.49e-75,216
BAB_RS21165,OANT_RS11180,87.671,146,18,0,1,146,1,146,2.70e-97,274
BAB_RS21170,OANT_RS11185,82.075,212,38,0,1,212,1,212,2.56e-125,350
BAB_RS21175,OANT_RS11190,86.525,141,17,1,1,139,1,141,8.39e-91,257
BAB_RS21180,OANT_RS11195,83.492,315,52,0,1,315,1,315,0.0,546
BAB_RS21185,OANT_RS11200,49.153,59,30,0,1,59,29,87,1.22e-12,54.3
BAB_RS21195,OANT_RS25030,26.190,252,158,9,154,394,185,419,2.09e-20,89.7
BAB_RS21210,OANT_RS24520,38.378,185,112,1,15,199,2,184,8.24e-36,122
BAB_RS21225,OANT_RS11205,100.000,28,0,0,1,28,1,28,1.86e-13,53.5
BAB_RS21230,OANT_RS11265,95.918,49,2,0,1,49,1,49,1.28e-25,103
BAB_RS21235,OANT_RS11270,96.447,394,14,0,1,394,2,395,0.0,793
BAB_RS21240,OANT_RS11275,86.250,240,33,0,1,240,1,240,3.29e-153,428
BAB_RS21245,OANT_RS11280,93.865,326,20,0,1,326,1,326,0.0,628
BAB_RS21250,OANT_RS11285,93.683,1029,65,0,1,1029,1,1029,0.0,1903
BAB_RS21255,OANT_RS11290,84.518,394,49,2,1,382,1,394,0.0,631
BAB_RS21260,OANT_RS11295,74.586,181,46,0,1,181,1,181,6.87e-101,286
BAB_RS21265,OANT_RS11300,94.947,376,19,0,2,377,8,383,0.0,744
BAB_RS21270,OANT_RS11305,88.981,363,40,0,1,363,1,363,0.0,675
BAB_RS21275,OANT_RS11310,94.643,168,9,0,1,168,1,168,1.01e-120,335
BAB_RS21280,OANT_RS11315,88.265,196,23,0,1,196,1,196,6.28e-128,355
BAB_RS21285,OANT_RS11320,91.463,164,14,0,1,164,1,164,1.18e-105,296
BAB_RS21295,OANT_RS11325,94.841,911,47,0,12,922,12,922,0.0,1761
BAB_RS21300,OANT_RS11330,93.780,209,13,0,1,209,1,209,4.45e-128,357
BAB_RS21305,OANT_RS11355,84.375,192,30,0,1,192,1,192,3.36e-117,328
BAB_RS21310,OANT_RS11400,73.878,245,64,0,4,248,3,247,6.20e-133,373
BAB_RS21320,OANT_RS11410,88.372,172,16,2,1,168,1,172,6.12e-90,257
BAB_RS21325,OANT_RS11420,95.688,974,42,0,1,974,1,974,0.0,1889
BAB_RS21330,OANT_RS11440,97.802,91,2,0,1,91,1,91,2.86e-59,173
BAB_RS21335,OANT_RS11445,94.335,812,46,0,1,812,1,812,0.0,1511
BAB_RS21340,OANT_RS11450,97.642,424,10,0,1,424,1,424,0.0,848
BAB_RS21345,OANT_RS11455,98.086,209,4,0,1,209,1,209,4.15e-156,427
BAB_RS21350,OANT_RS11460,90.466,472,45,0,1,472,1,472,0.0,818
BAB_RS21355,OANT_RS11465,100.000,78,0,0,1,78,1,78,2.51e-55,162
BAB_RS21365,OANT_RS11470,94.978,458,23,0,1,458,1,458,0.0,891
BAB_RS21370,OANT_RS11475,96.026,453,18,0,1,453,1,453,0.0,879
BAB_RS21375,OANT_RS11480,86.548,788,89,3,1,774,1,785,0.0,1355
BAB_RS21380,OANT_RS10745,94.262,488,28,0,1,488,1,488,0.0,942
BAB_RS21385,OANT_RS10740,89.211,380,35,2,1,380,1,374,0.0,694
BAB_RS21390,OANT_RS10735,85.890,326,46,0,1,326,1,326,0.0,573
BAB_RS21395,OANT_RS10730,86.946,406,53,0,42,447,2,407,0.0,728
BAB_RS21400,OANT_RS10725,77.778,162,36,0,1,162,1,162,1.50e-85,245
BAB_RS21405,OANT_RS10720,88.517,209,24,0,1,209,1,209,1.93e-138,386
BAB_RS21410,OANT_RS10715,90.000,150,15,0,1,150,1,150,1.21e-102,288
BAB_RS21415,OANT_RS10710,91.589,321,27,0,1,321,1,321,0.0,621
BAB_RS21420,OANT_RS25640,83.607,61,10,0,5,65,1,61,1.01e-27,92.0
BAB_RS21425,OANT_RS10705,93.634,487,31,0,1,487,1,487,0.0,941
BAB_RS21430,OANT_RS10695,85.969,449,56,3,1,447,1,444,0.0,711
BAB_RS21435,OANT_RS10690,95.484,465,17,1,1,461,1,465,0.0,894
BAB_RS21440,OANT_RS10685,91.329,346,30,0,1,346,1,346,0.0,670
BAB_RS21445,OANT_RS10680,89.908,109,11,0,1,109,1,109,3.73e-72,207
BAB_RS21455,OANT_RS10670,97.176,425,12,0,1,425,1,425,0.0,849
BAB_RS21460,OANT_RS10665,92.058,277,22,0,1,277,1,277,0.0,496
BAB_RS21465,OANT_RS10660,97.048,542,16,0,1,542,1,542,0.0,1082
BAB_RS21470,OANT_RS10655,86.522,230,31,0,1,230,1,230,1.10e-144,400
BAB_RS21475,OANT_RS10650,81.935,155,19,3,1,148,1,153,4.50e-65,192
BAB_RS21480,OANT_RS10645,92.126,254,20,0,1,254,1,254,4.08e-172,472
BAB_RS21485,OANT_RS10640,83.121,628,106,0,1,628,1,628,0.0,1020
BAB_RS21490,OANT_RS10635,90.265,339,33,0,1,339,1,339,0.0,592
BAB_RS21495,OANT_RS10630,89.773,264,27,0,1,264,1,264,4.27e-174,478
BAB_RS21500,OANT_RS10625,89.103,156,17,0,1,156,1,156,3.26e-100,282
BAB_RS21505,OANT_RS10620,72.772,404,110,0,1,404,1,404,0.0,577
BAB_RS21510,OANT_RS10610,89.167,240,25,1,1,240,1,239,2.16e-152,421
BAB_RS21515,OANT_RS10605,64.810,844,282,7,1,837,1,836,0.0,1073
BAB_RS21520,OANT_RS10600,90.275,473,46,0,1,473,1,473,0.0,877
BAB_RS21525,OANT_RS10595,96.047,430,17,0,1,430,1,430,0.0,873
BAB_RS21530,OANT_RS10590,85.604,389,56,0,1,389,1,389,0.0,684
BAB_RS21535,OANT_RS10585,79.798,297,57,2,1,296,1,295,1.02e-167,464
BAB_RS21540,OANT_RS10580,89.568,278,29,0,1,278,1,278,0.0,506
BAB_RS21545,OANT_RS10575,94.231,156,9,0,1,156,1,156,6.38e-109,304
BAB_RS21550,OANT_RS10570,84.615,351,54,0,1,351,1,351,0.0,611
BAB_RS21555,OANT_RS10565,91.592,785,62,1,1,781,1,785,0.0,1476
BAB_RS21560,OANT_RS10560,91.029,379,34,0,1,379,1,379,0.0,659
BAB_RS21565,OANT_RS10555,86.667,270,36,0,1,270,1,270,1.96e-138,388
BAB_RS21570,OANT_RS10550,90.980,255,22,1,1,254,1,255,1.20e-167,461
BAB_RS21575,OANT_RS10545,93.548,186,12,0,1,186,1,186,1.04e-128,356
BAB_RS21580,OANT_RS10540,97.917,240,5,0,1,240,1,240,5.84e-174,475
BAB_RS21585,OANT_RS10535,92.131,305,24,0,1,305,1,305,0.0,544
BAB_RS21590,OANT_RS10530,97.266,256,7,0,1,256,1,256,0.0,514
BAB_RS21600,OANT_RS10525,87.050,278,36,0,1,278,1,278,0.0,507
BAB_RS21605,OANT_RS10520,88.312,154,18,0,1,154,1,154,1.77e-94,267
BAB_RS21610,OANT_RS10515,87.083,240,31,0,7,246,2,241,3.36e-158,436
BAB_RS21615,OANT_RS10510,83.038,395,67,0,1,395,1,395,0.0,687
BAB_RS21620,OANT_RS10505,90.000,140,14,0,1,140,1,140,4.50e-94,265
BAB_RS21625,OANT_RS10490,94.539,824,45,0,1,824,1,824,0.0,1558
BAB_RS21630,OANT_RS10485,94.495,109,6,0,8,116,1,109,5.67e-77,219
BAB_RS21635,OANT_RS10480,84.322,472,69,3,1,470,1,469,0.0,776
BAB_RS21640,OANT_RS10475,69.388,98,29,1,1,97,1,98,3.99e-47,143
BAB_RS21645,OANT_RS10470,93.103,145,10,0,1,145,1,145,1.32e-99,280
BAB_RS21650,OANT_RS10465,90.433,439,42,0,1,439,29,467,0.0,780
BAB_RS21655,OANT_RS10460,73.764,263,69,0,1,263,1,263,3.64e-150,417
BAB_RS21660,OANT_RS10455,76.780,323,70,1,1,318,1,323,6.32e-176,487
BAB_RS21665,OANT_RS10450,92.969,128,9,0,1,128,1,128,1.37e-83,238
BAB_RS21670,OANT_RS10445,72.727,121,33,0,1,121,1,121,4.43e-69,200
BAB_RS21675,OANT_RS10440,76.923,65,15,0,1,65,1,65,2.30e-32,107
BAB_RS21680,OANT_RS10430,81.905,105,18,1,1,104,1,105,2.67e-58,172
BAB_RS21685,OANT_RS10425,89.677,155,16,0,1,155,1,155,1.65e-105,295
BAB_RS21695,OANT_RS10420,87.222,180,23,0,1,180,1,180,1.47e-119,333
BAB_RS21700,OANT_RS10415,93.191,470,32,0,1,470,1,470,0.0,903
BAB_RS21705,OANT_RS10410,96.667,510,17,0,1,510,1,510,0.0,1027
BAB_RS21710,OANT_RS10405,92.354,667,51,0,1,667,1,667,0.0,1263
BAB_RS21715,OANT_RS10400,95.621,708,31,0,5,712,7,714,0.0,1400
BAB_RS21720,OANT_RS10395,80.000,120,24,0,1,120,1,120,9.17e-69,199
BAB_RS21725,OANT_RS12620,92.273,660,51,0,1,660,1,660,0.0,1151
BAB_RS21730,OANT_RS12625,87.538,329,41,0,1,329,1,329,0.0,580
BAB_RS21735,OANT_RS10375,82.310,277,49,0,1,277,1,277,2.59e-170,469
BAB_RS21740,OANT_RS10370,91.636,275,23,0,1,275,1,275,0.0,511
BAB_RS21745,OANT_RS10365,94.301,193,11,0,1,193,1,193,2.12e-139,384
BAB_RS21750,OANT_RS10360,83.088,136,23,0,1,136,1,136,6.16e-82,234
BAB_RS21755,OANT_RS10355,95.050,404,20,0,1,404,1,404,0.0,808
BAB_RS21765,OANT_RS10330,93.333,870,58,0,1,870,1,870,0.0,1629
BAB_RS21770,OANT_RS10325,96.676,361,12,0,1,361,1,361,0.0,706
BAB_RS21775,OANT_RS10320,90.455,220,21,0,1,220,1,220,5.20e-122,342
BAB_RS21780,OANT_RS10315,86.598,194,26,0,1,194,1,194,4.99e-129,358
BAB_RS21785,OANT_RS10310,93.364,437,29,0,1,437,1,437,0.0,840
BAB_RS21790,OANT_RS10305,82.773,476,80,1,1,474,1,476,0.0,786
BAB_RS21795,OANT_RS10300,97.887,142,3,0,1,142,1,142,1.19e-98,277
BAB_RS21800,OANT_RS10295,97.923,337,7,0,1,337,1,337,0.0,679
BAB_RS21805,OANT_RS10290,100.000,129,0,0,1,129,1,129,4.21e-94,264
BAB_RS21810,OANT_RS10285,99.180,122,1,0,1,122,1,122,1.10e-85,242
BAB_RS21815,OANT_RS10280,97.423,194,5,0,1,194,1,194,1.17e-138,382
BAB_RS21820,OANT_RS10275,98.430,446,7,0,1,446,1,446,0.0,886
BAB_RS21825,OANT_RS10270,98.718,156,2,0,1,156,1,156,3.67e-106,297
BAB_RS21830,OANT_RS10265,100.000,65,0,0,1,65,1,65,3.45e-43,130
BAB_RS21835,OANT_RS10260,99.462,186,1,0,1,186,1,186,4.62e-134,370
BAB_RS21840,OANT_RS10255,95.833,120,5,0,1,120,1,120,8.33e-67,194
BAB_RS21845,OANT_RS10250,97.740,177,4,0,1,177,1,177,2.48e-123,342
BAB_RS21850,OANT_RS10245,96.212,132,5,0,1,132,1,132,7.78e-92,259
BAB_RS21855,OANT_RS10240,96.040,101,4,0,1,101,1,101,1.02e-67,195
BAB_RS21860,OANT_RS10235,95.135,185,9,0,1,185,1,185,6.72e-133,367
BAB_RS21865,OANT_RS10230,98.058,103,2,0,1,103,1,103,2.42e-69,199
BAB_RS21870,OANT_RS10225,99.180,122,1,0,1,122,1,122,8.01e-85,240
BAB_RS21875,OANT_RS10220,97.500,80,2,0,1,80,1,80,3.51e-54,159
BAB_RS21880,OANT_RS10215,98.485,66,1,0,1,66,1,66,4.26e-41,125
BAB_RS21885,OANT_RS10210,99.270,137,1,0,1,137,1,137,9.76e-99,276
BAB_RS21890,OANT_RS10205,99.576,236,1,0,1,236,1,236,1.31e-176,481
BAB_RS21895,OANT_RS10200,95.349,129,6,0,1,129,1,129,1.28e-86,245
BAB_RS21900,OANT_RS10195,96.739,92,3,0,1,92,1,92,3.38e-64,186
BAB_RS21905,OANT_RS10190,97.112,277,8,0,1,277,1,277,0.0,550
BAB_RS21910,OANT_RS10185,97.938,97,2,0,1,97,1,97,3.44e-66,191
BAB_RS21915,OANT_RS10180,96.602,206,7,0,1,206,1,206,6.45e-147,404
BAB_RS21920,OANT_RS10175,96.804,219,7,0,1,219,1,219,1.37e-159,439
BAB_RS21925,OANT_RS10170,100.000,102,0,0,1,102,1,102,3.82e-72,206
BAB_RS21930,OANT_RS10165,97.698,391,9,0,1,391,1,391,0.0,778
BAB_RS21935,OANT_RS10160,97.406,694,18,0,1,694,1,694,0.0,1388
