Melitensis16M|Q.,O_anthropi|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS04025,OANT_RS10440,76.106,113,27,0,1,113,1,113,2.42e-61,180
BME_RS04030,OANT_RS10445,72.727,121,33,0,1,121,1,121,6.57e-69,200
BME_RS04035,OANT_RS10450,93.750,128,8,0,1,128,1,128,1.25e-84,240
BME_RS04040,OANT_RS10455,85.496,131,19,0,1,131,1,131,2.09e-65,206
BME_RS04045,OANT_RS10460,73.764,263,69,0,1,263,1,263,3.64e-150,417
BME_RS04050,OANT_RS10465,90.792,467,43,0,1,467,1,467,0.0,836
BME_RS04055,OANT_RS10470,92.414,145,11,0,1,145,1,145,7.23e-99,278
BME_RS04060,OANT_RS10475,69.388,98,29,1,1,97,1,98,3.99e-47,143
BME_RS04065,OANT_RS10480,84.110,472,70,3,1,470,1,469,0.0,775
BME_RS04070,OANT_RS10485,94.495,109,6,0,8,116,1,109,9.19e-77,219
BME_RS04075,OANT_RS10490,94.539,824,45,0,1,824,1,824,0.0,1558
BME_RS04080,OANT_RS10505,90.000,140,14,0,1,140,1,140,4.50e-94,265
BME_RS04085,OANT_RS10510,83.038,395,67,0,1,395,1,395,0.0,686
BME_RS04090,OANT_RS10515,87.083,240,31,0,7,246,2,241,3.36e-158,436
BME_RS04095,OANT_RS10520,88.961,154,17,0,1,154,1,154,2.87e-95,269
BME_RS04100,OANT_RS10525,87.050,278,36,0,1,278,1,278,0.0,507
BME_RS04110,OANT_RS10530,96.484,256,9,0,1,256,1,256,0.0,511
BME_RS04115,OANT_RS10535,92.131,305,24,0,1,305,1,305,0.0,544
BME_RS04120,OANT_RS10540,96.667,240,8,0,1,240,1,240,4.03e-171,468
BME_RS04125,OANT_RS10545,93.011,186,13,0,1,186,1,186,2.34e-127,353
BME_RS04130,OANT_RS10550,90.980,255,22,1,1,254,1,255,1.20e-167,461
BME_RS04135,OANT_RS10555,87.037,270,35,0,1,270,1,270,1.39e-140,393
BME_RS04140,OANT_RS10560,90.765,379,35,0,1,379,1,379,0.0,656
BME_RS04145,OANT_RS10565,91.465,785,63,1,1,781,1,785,0.0,1474
BME_RS04150,OANT_RS10570,84.615,351,54,0,1,351,1,351,0.0,611
BME_RS04155,OANT_RS10575,93.590,156,10,0,1,156,1,156,3.61e-108,302
BME_RS04160,OANT_RS10580,89.568,278,29,0,1,278,1,278,0.0,506
BME_RS04165,OANT_RS10585,79.798,297,57,2,1,296,1,295,1.02e-167,464
BME_RS04170,OANT_RS10590,85.604,389,56,0,1,389,1,389,0.0,684
BME_RS04175,OANT_RS10595,96.279,430,16,0,1,430,1,430,0.0,875
BME_RS04180,OANT_RS10600,90.275,473,46,0,1,473,1,473,0.0,877
BME_RS04185,OANT_RS10605,55.556,261,108,3,1,256,1,258,7.33e-87,273
BME_RS04190,OANT_RS10605,66.310,561,182,4,1,559,281,836,0.0,726
BME_RS04195,OANT_RS10610,88.750,240,26,1,1,240,1,239,4.75e-152,420
BME_RS04200,OANT_RS10620,72.525,404,111,0,1,404,1,404,0.0,574
BME_RS04205,OANT_RS10625,89.103,156,17,0,1,156,1,156,2.30e-100,283
BME_RS04210,OANT_RS10630,89.773,264,27,0,1,264,1,264,4.27e-174,478
BME_RS04215,OANT_RS10635,90.265,339,33,0,1,339,1,339,0.0,592
BME_RS04220,OANT_RS10640,82.962,628,107,0,1,628,1,628,0.0,1019
BME_RS04225,OANT_RS10645,91.732,254,21,0,1,254,1,254,6.06e-172,471
BME_RS04230,OANT_RS10650,81.935,155,19,3,1,148,1,153,4.50e-65,192
BME_RS04235,OANT_RS10655,86.087,230,32,0,1,230,1,230,5.18e-144,399
BME_RS04240,OANT_RS10660,97.048,542,16,0,1,542,1,542,0.0,1081
BME_RS04245,OANT_RS10665,92.419,277,21,0,1,277,1,277,0.0,498
BME_RS04250,OANT_RS10670,96.941,425,13,0,1,425,1,425,0.0,846
BME_RS04260,OANT_RS10680,88.991,109,12,0,1,109,1,109,5.50e-71,204
BME_RS04265,OANT_RS10685,91.040,346,31,0,1,346,1,346,0.0,668
BME_RS04270,OANT_RS10690,95.699,465,16,1,1,461,1,465,0.0,895
BME_RS04275,OANT_RS10695,86.192,449,55,3,1,447,1,444,0.0,712
BME_RS04280,OANT_RS10705,93.634,487,31,0,1,487,1,487,0.0,941
BME_RS04285,OANT_RS25640,81.967,61,11,0,5,65,1,61,4.89e-27,90.1
BME_RS04290,OANT_RS10710,91.589,321,27,0,1,321,1,321,0.0,621
BME_RS04295,OANT_RS10715,90.000,150,15,0,1,150,1,150,1.21e-102,288
BME_RS04300,OANT_RS10720,88.517,209,24,0,1,209,1,209,1.93e-138,386
BME_RS04305,OANT_RS10725,78.395,162,35,0,1,162,1,162,3.00e-86,247
BME_RS04310,OANT_RS10730,86.946,406,53,0,42,447,2,407,0.0,728
BME_RS04315,OANT_RS10735,85.890,326,46,0,1,326,1,326,0.0,575
BME_RS04320,OANT_RS10740,89.474,380,34,2,1,380,1,374,0.0,696
BME_RS04325,OANT_RS10745,94.057,488,29,0,1,488,1,488,0.0,941
BME_RS04330,OANT_RS11480,86.421,788,90,3,1,774,1,785,0.0,1353
BME_RS04335,OANT_RS11475,96.026,453,18,0,1,453,1,453,0.0,879
BME_RS04340,OANT_RS11470,94.978,458,23,0,1,458,1,458,0.0,891
BME_RS04350,OANT_RS11465,100.000,78,0,0,1,78,1,78,2.51e-55,162
BME_RS04355,OANT_RS11460,90.042,472,47,0,1,472,1,472,0.0,813
BME_RS04360,OANT_RS11455,97.608,209,5,0,1,209,1,209,1.08e-154,424
BME_RS04365,OANT_RS11450,97.642,424,10,0,1,424,1,424,0.0,848
BME_RS04370,OANT_RS11445,94.335,812,46,0,1,812,1,812,0.0,1515
BME_RS04375,OANT_RS11440,97.802,91,2,0,1,91,1,91,2.86e-59,173
BME_RS04380,OANT_RS11420,95.791,974,41,0,1,974,1,974,0.0,1893
BME_RS04385,OANT_RS11410,88.953,172,15,2,1,168,1,172,5.55e-91,259
BME_RS04390,OANT_RS11400,73.878,245,64,0,4,248,3,247,1.86e-133,374
BME_RS04395,OANT_RS11355,84.896,192,29,0,1,192,1,192,5.27e-118,330
BME_RS04400,OANT_RS11330,93.780,209,13,0,1,209,1,209,4.45e-128,357
BME_RS04405,OANT_RS11325,94.731,911,48,0,12,922,12,922,0.0,1760
BME_RS04415,OANT_RS11320,91.463,164,14,0,1,164,1,164,1.18e-105,296
BME_RS04420,OANT_RS11315,88.776,196,22,0,1,196,1,196,2.12e-128,356
BME_RS04425,OANT_RS11310,94.643,168,9,0,1,168,1,168,1.01e-120,335
BME_RS04430,OANT_RS11305,88.981,363,40,0,1,363,1,363,0.0,675
BME_RS04435,OANT_RS11300,94.947,376,19,0,2,377,8,383,0.0,746
BME_RS04440,OANT_RS11295,75.138,181,45,0,1,181,1,181,3.76e-101,286
BME_RS04445,OANT_RS11290,83.756,394,52,2,1,382,1,394,0.0,624
BME_RS04450,OANT_RS11285,93.489,1029,67,0,1,1029,1,1029,0.0,1897
BME_RS04455,OANT_RS11280,94.172,326,19,0,1,326,1,326,0.0,630
BME_RS04460,OANT_RS11275,85.833,240,34,0,1,240,1,240,3.74e-152,426
BME_RS04465,OANT_RS11270,95.939,394,16,0,1,394,2,395,0.0,791
BME_RS04470,OANT_RS11265,90.000,380,38,0,1,380,1,380,0.0,710
BME_RS04475,OANT_RS11205,96.429,28,1,0,1,28,1,28,4.33e-13,52.4
BME_RS04490,OANT_RS24520,38.378,185,112,1,15,199,2,184,3.67e-36,122
BME_RS04505,OANT_RS25030,26.482,253,158,9,154,395,185,420,9.90e-21,90.9
BME_RS04510,OANT_RS11205,100.000,28,0,0,1,28,1,28,1.86e-13,53.5
BME_RS04515,OANT_RS11200,49.153,59,30,0,1,59,29,87,1.22e-12,54.3
BME_RS04520,OANT_RS11195,83.492,315,52,0,1,315,1,315,0.0,546
BME_RS04525,OANT_RS11190,86.525,141,17,1,1,139,1,141,8.39e-91,257
BME_RS04530,OANT_RS11185,82.075,212,38,0,1,212,1,212,2.56e-125,350
BME_RS04535,OANT_RS11180,87.671,146,18,0,1,146,1,146,2.70e-97,274
BME_RS04540,OANT_RS11175,84.874,119,18,0,1,119,1,119,2.49e-75,216
BME_RS04545,OANT_RS11170,82.292,192,34,0,1,192,1,192,5.08e-117,335
BME_RS04550,OANT_RS11170,65.128,195,61,2,1,188,210,404,6.80e-82,246
BME_RS04555,OANT_RS11165,96.201,658,25,0,1,658,1,658,0.0,1334
BME_RS04560,OANT_RS11160,79.091,330,60,2,16,336,16,345,0.0,521
BME_RS04565,OANT_RS11155,78.889,90,19,0,1,90,1,90,4.57e-47,150
BME_RS04570,OANT_RS11150,81.683,202,37,0,1,202,1,202,1.88e-130,362
BME_RS04575,OANT_RS11145,87.226,274,35,0,1,274,1,274,1.55e-179,492
BME_RS04580,OANT_RS11140,92.239,335,26,0,1,335,1,335,0.0,655
BME_RS04585,OANT_RS11135,86.392,316,43,0,1,316,1,316,0.0,517
BME_RS04590,OANT_RS11130,88.406,276,32,0,1,276,1,276,0.0,505
BME_RS04595,OANT_RS16135,78.644,295,61,1,6,298,6,300,2.27e-167,470
BME_RS04605,OANT_RS01445,34.911,338,205,5,1,325,5,340,8.06e-54,177
BME_RS04610,OANT_RS21800,35.537,121,66,3,5,113,41,161,5.22e-15,67.8
BME_RS04615,OANT_RS21805,29.857,489,321,8,18,491,41,522,1.77e-66,220
BME_RS04620,OANT_RS11120,90.726,496,46,0,1,496,1,496,0.0,934
BME_RS04625,OANT_RS11115,83.908,261,42,0,2,262,3,263,1.86e-163,451
BME_RS04630,OANT_RS11110,76.744,172,40,0,1,172,1,172,8.03e-103,290
BME_RS04635,OANT_RS11105,88.732,284,32,0,1,284,1,284,0.0,521
BME_RS04640,OANT_RS11100,87.045,247,32,0,1,247,1,247,5.11e-162,446
BME_RS04645,OANT_RS11095,89.474,342,36,0,1,342,1,342,0.0,631
BME_RS04650,OANT_RS11090,87.124,466,53,5,74,535,1,463,0.0,765
BME_RS04655,OANT_RS11085,91.627,418,35,0,2,419,1,418,0.0,779
BME_RS04660,OANT_RS11080,96.429,28,1,0,1,28,1,28,1.01e-14,56.6
BME_RS04665,OANT_RS11070,92.424,198,15,0,1,198,1,198,2.76e-136,377
BME_RS04670,OANT_RS11065,84.524,252,39,0,1,252,1,252,1.53e-162,447
BME_RS04675,OANT_RS11060,84.342,281,44,0,1,281,1,281,0.0,505
BME_RS04680,OANT_RS11055,89.630,135,14,0,1,135,1,135,2.29e-89,255
BME_RS04685,OANT_RS11050,84.568,162,25,0,1,162,1,162,6.46e-101,284
BME_RS04690,OANT_RS11045,95.724,1263,49,3,1,1261,1,1260,0.0,2475
BME_RS04695,OANT_RS25070,83.375,403,67,0,1,403,1,403,0.0,688
BME_RS04700,OANT_RS11035,68.879,437,135,1,2,438,3,438,0.0,608
BME_RS04705,OANT_RS11020,69.900,402,121,0,1,402,1,402,0.0,577
BME_RS04710,OANT_RS11015,82.456,57,10,0,1,57,1,57,5.99e-23,102
BME_RS04715,OANT_RS11010,58.850,452,122,13,1,417,1,423,2.01e-143,412
BME_RS04720,OANT_RS11005,97.101,138,4,0,1,138,1,138,4.39e-97,273
BME_RS04725,OANT_RS11000,71.084,166,48,0,1,166,1,166,1.77e-84,243
BME_RS04730,OANT_RS10995,90.947,486,44,0,1,486,1,486,0.0,904
BME_RS04735,OANT_RS10990,85.154,357,52,1,1,357,1,356,0.0,533
BME_RS04740,OANT_RS10985,91.525,177,15,0,1,177,1,177,4.31e-120,334
BME_RS04745,OANT_RS10980,74.857,175,44,0,3,177,2,176,6.73e-97,275
BME_RS04750,OANT_RS10975,87.395,119,15,0,1,119,1,119,1.52e-77,221
BME_RS04755,OANT_RS10970,75.636,275,67,0,1,275,1,275,5.88e-150,418
BME_RS04760,OANT_RS10965,83.744,203,33,0,1,203,1,203,1.02e-130,363
BME_RS04765,OANT_RS10960,65.591,93,32,0,8,100,101,193,4.75e-40,129
BME_RS04770,OANT_RS10960,73.134,67,18,0,1,67,1,67,1.10e-30,103
BME_RS04775,OANT_RS10955,93.458,107,7,0,1,107,1,107,1.19e-72,208
BME_RS04785,OANT_RS10945,79.951,1626,251,10,26,1582,1,1620,0.0,2450
BME_RS04790,OANT_RS10940,77.512,209,47,0,1,209,1,209,5.18e-121,339
BME_RS04795,OANT_RS10935,82.175,331,59,0,1,331,1,331,0.0,553
BME_RS04800,OANT_RS10930,91.228,285,25,0,1,285,3,287,0.0,510
BME_RS04805,OANT_RS10925,87.468,391,49,0,1,391,1,391,0.0,660
BME_RS04810,OANT_RS10920,82.822,326,56,0,1,326,1,326,0.0,551
BME_RS04815,OANT_RS10890,94.839,775,37,2,1,774,1,773,0.0,1412
BME_RS04820,OANT_RS25645,39.766,171,99,3,21,190,21,188,2.17e-33,119
BME_RS04825,OANT_RS10885,85.777,457,65,0,1,457,1,457,0.0,785
BME_RS04830,OANT_RS10880,88.909,559,62,0,1,559,1,559,0.0,1027
BME_RS04835,OANT_RS10875,81.897,116,21,0,1,116,1,116,2.59e-67,196
BME_RS04840,OANT_RS10870,94.118,459,27,0,1,459,1,459,0.0,886
BME_RS04845,OANT_RS10865,85.129,464,69,0,1,464,1,464,0.0,830
BME_RS04850,OANT_RS10860,90.123,162,16,0,1,162,1,162,1.48e-97,277
BME_RS04855,OANT_RS10855,89.655,232,24,0,1,232,1,232,2.83e-151,417
BME_RS04860,OANT_RS10850,84.052,232,37,0,1,232,1,232,7.08e-149,411
BME_RS04865,OANT_RS10845,54.762,84,36,2,5,88,2,83,9.24e-16,63.5
BME_RS04870,OANT_RS10840,75.351,499,120,1,1,499,1,496,0.0,731
BME_RS04875,OANT_RS10835,100.000,112,0,0,1,112,1,112,7.39e-76,217
BME_RS04880,OANT_RS10830,93.817,469,29,0,1,469,1,469,0.0,928
BME_RS04885,OANT_RS10825,90.000,260,26,0,1,260,1,260,5.97e-178,487
BME_RS04890,OANT_RS10820,78.636,220,42,1,1,215,1,220,2.43e-128,358
BME_RS04895,OANT_RS10815,88.176,296,35,0,12,307,12,307,0.0,525
BME_RS04900,OANT_RS10810,93.252,326,22,0,1,326,1,326,0.0,642
BME_RS04905,OANT_RS10805,93.656,599,36,1,1,599,1,597,0.0,1141
BME_RS04910,OANT_RS10800,87.037,270,35,0,1,270,1,270,0.0,498
BME_RS04915,OANT_RS10795,88.417,259,30,0,1,259,1,259,1.03e-175,481
BME_RS04920,OANT_RS10790,93.786,515,32,0,1,515,1,515,0.0,1009
BME_RS04925,OANT_RS10785,80.672,357,69,0,1,357,1,357,0.0,599
BME_RS04930,OANT_RS10780,82.710,214,37,0,1,214,1,214,7.01e-130,362
BME_RS04935,OANT_RS10775,73.618,398,103,2,1,396,1,398,0.0,591
BME_RS04940,OANT_RS10770,76.651,424,96,2,1,421,1,424,0.0,669
BME_RS04945,OANT_RS16560,57.391,115,49,0,1,115,1,115,4.89e-49,150
BME_RS04955,OANT_RS12315,53.175,252,113,3,3,251,2,251,3.84e-96,279
BME_RS04970,OANT_RS01365,87.500,72,9,0,1,72,66,137,5.22e-37,130
BME_RS04975,OANT_RS01360,95.982,224,9,0,34,257,344,567,1.60e-156,445
BME_RS04985,OANT_RS25925,41.667,108,61,1,8,113,2,109,3.47e-23,87.8
BME_RS04990,OANT_RS11300,93.810,210,13,0,1,210,174,383,2.18e-150,420
BME_RS04995,OANT_RS07960,65.854,82,27,1,1,81,1,82,5.10e-33,106
BME_RS05000,OANT_RS03190,92.308,104,8,0,1,104,1,104,9.55e-68,196
BME_RS05010,OANT_RS22255,72.152,237,56,6,1,236,1,228,1.12e-116,330
BME_RS05020,OANT_RS12050,34.118,85,52,3,1,83,1,83,7.51e-09,45.8
BME_RS05050,OANT_RS09305,24.633,341,235,12,3,331,10,340,1.06e-15,74.3
BME_RS05055,OANT_RS10760,100.000,24,0,0,1,24,1,24,2.12e-10,45.4
BME_RS05060,OANT_RS21490,92.308,65,5,0,17,81,17,81,5.38e-36,114
BME_RS05065,OANT_RS11505,96.000,25,1,0,1,25,1,25,5.88e-13,52.0
BME_RS05070,OANT_RS11540,100.000,25,0,0,1,25,1,25,1.63e-12,50.8
BME_RS05075,OANT_RS11545,84.572,538,83,0,1,538,131,668,0.0,964
BME_RS05080,OANT_RS11545,64.615,130,42,2,1,127,1,129,1.28e-30,111
BME_RS05085,OANT_RS11550,97.398,538,14,0,1,538,1,538,0.0,1087
BME_RS05090,OANT_RS13210,24.762,315,201,10,1,287,6,312,2.59e-13,67.8
BME_RS05095,OANT_RS11575,84.874,119,18,0,1,119,1,119,1.73e-76,219
BME_RS05100,OANT_RS11580,90.116,344,34,0,1,344,1,344,0.0,646
BME_RS05105,OANT_RS11590,57.416,209,88,1,13,220,2,210,9.95e-85,248
BME_RS05110,OANT_RS11595,70.000,50,15,0,1,50,1,50,3.24e-21,82.4
BME_RS05115,OANT_RS11600,91.096,146,13,0,1,146,1,146,3.08e-92,265
BME_RS05120,OANT_RS11615,70.526,95,28,0,1,95,112,206,1.63e-47,147
BME_RS05125,OANT_RS11620,90.345,290,28,0,2,291,3,292,0.0,546
BME_RS05130,OANT_RS11625,74.613,323,65,3,1,323,103,408,1.14e-173,485
BME_RS05135,OANT_RS11625,61.000,100,31,2,1,100,1,92,2.83e-31,110
BME_RS05140,OANT_RS11630,93.516,910,59,0,1,910,1,910,0.0,1672
BME_RS05145,OANT_RS11635,54.478,268,88,7,1,243,1,259,4.04e-79,236
BME_RS05150,OANT_RS11640,82.353,459,78,2,1,456,1,459,0.0,770
BME_RS05155,OANT_RS11645,84.685,222,34,0,1,222,1,222,4.48e-138,383
BME_RS05160,OANT_RS11650,71.212,66,19,0,1,66,1,66,1.74e-31,101
BME_RS05165,OANT_RS11655,77.315,216,38,3,1,207,1,214,3.29e-118,332
BME_RS05170,OANT_RS11660,88.889,126,14,0,1,126,1,126,3.63e-81,231
BME_RS05175,OANT_RS11670,87.037,486,57,3,1,482,1,484,0.0,830
BME_RS05180,OANT_RS11675,90.272,257,25,0,1,257,1,257,3.35e-167,459
BME_RS05185,OANT_RS11680,100.000,25,0,0,1,25,1,25,4.15e-12,49.7
BME_RS05195,OANT_RS11685,89.928,139,14,0,1,139,1,139,5.41e-90,254
BME_RS05200,OANT_RS11690,95.652,414,18,0,1,414,1,414,0.0,825
BME_RS05205,OANT_RS11695,91.294,425,37,0,1,425,1,425,0.0,801
BME_RS05210,OANT_RS11700,97.610,251,6,0,1,251,1,251,0.0,495
BME_RS05215,OANT_RS11705,98.817,507,6,0,1,507,1,507,0.0,1046
BME_RS05220,OANT_RS11715,81.250,384,72,0,1,384,1,384,0.0,639
BME_RS05225,OANT_RS11720,96.429,224,8,0,1,224,1,224,1.15e-166,456
BME_RS05230,OANT_RS11725,86.364,110,15,0,1,110,1,110,1.75e-65,190
BME_RS05235,OANT_RS16190,40.872,367,207,4,7,368,6,367,5.82e-83,254
BME_RS05240,OANT_RS11730,94.484,417,23,0,1,417,1,417,0.0,816
BME_RS05245,OANT_RS11735,81.979,1132,203,1,1,1131,1,1132,0.0,1867
BME_RS05250,OANT_RS11740,87.662,154,19,0,1,154,1,154,1.58e-100,283
BME_RS05255,OANT_RS11745,95.636,275,12,0,1,275,1,275,0.0,539
BME_RS05260,OANT_RS11750,42.012,169,35,5,9,114,16,184,1.81e-28,104
BME_RS05265,OANT_RS25925,41.667,108,61,1,8,113,2,109,3.55e-23,87.8
BME_RS05270,OANT_RS11755,95.930,344,14,0,1,344,4,347,0.0,685
BME_RS05275,OANT_RS11760,92.308,819,63,0,1,819,1,819,0.0,1580
BME_RS05280,OANT_RS11765,79.449,399,77,2,26,422,1,396,0.0,638
BME_RS05285,OANT_RS11770,83.607,61,10,0,1,61,1,61,8.56e-30,97.1
BME_RS05290,OANT_RS11775,81.545,932,125,8,1,891,1,926,0.0,1285
BME_RS05295,OANT_RS11780,91.167,317,28,0,1,317,1,317,0.0,563
BME_RS05300,OANT_RS11785,88.323,471,55,0,1,471,1,471,0.0,775
BME_RS05305,OANT_RS11790,77.606,259,55,1,1,256,1,259,1.02e-147,411
BME_RS05310,OANT_RS11795,90.446,157,15,0,1,157,1,157,1.46e-105,295
BME_RS05315,OANT_RS11800,89.103,156,15,1,1,156,1,154,4.20e-87,249
BME_RS05320,OANT_RS11805,95.796,452,19,0,1,452,1,452,0.0,899
BME_RS05325,OANT_RS11810,86.243,189,26,0,1,189,5,193,1.22e-125,349
BME_RS05330,OANT_RS11815,83.974,156,25,0,1,156,1,156,2.79e-99,280
BME_RS05335,OANT_RS11820,91.912,136,11,0,1,136,1,136,3.52e-95,268
BME_RS05340,OANT_RS11825,84.431,167,26,0,1,167,1,167,5.83e-108,302
BME_RS05345,OANT_RS11830,96.400,500,18,0,1,500,1,500,0.0,995
BME_RS05350,OANT_RS11835,96.289,485,18,0,1,485,1,485,0.0,936
BME_RS05355,OANT_RS12115,100.000,27,0,0,1,27,1,27,3.67e-15,57.8
BME_RS05360,OANT_RS12120,72.487,189,52,0,1,189,1,189,3.46e-100,285
BME_RS05365,OANT_RS12125,77.719,377,82,1,1,377,1,375,0.0,526
BME_RS05370,OANT_RS25670,91.667,48,4,0,1,48,1,48,1.85e-28,92.4
BME_RS05375,OANT_RS12130,94.372,462,26,0,1,462,1,462,0.0,913
BME_RS05380,OANT_RS12135,83.755,277,45,0,1,277,1,277,1.50e-179,493
BME_RS05385,OANT_RS12140,90.698,129,12,0,1,129,1,129,3.17e-84,239
BME_RS05390,OANT_RS12145,88.598,763,86,1,14,775,4,766,0.0,1300
BME_RS05395,OANT_RS12150,92.035,113,9,0,1,113,1,113,1.04e-72,209
BME_RS05400,OANT_RS12155,91.986,287,23,0,1,287,1,287,0.0,544
BME_RS05405,OANT_RS12160,79.684,443,74,4,1,432,1,438,0.0,660
BME_RS05415,OANT_RS12165,90.541,222,21,0,1,222,1,222,5.75e-145,400
BME_RS05420,OANT_RS12170,93.676,253,16,0,1,253,1,253,9.26e-177,484
BME_RS05425,OANT_RS12175,91.803,427,35,0,1,427,1,427,0.0,796
BME_RS05430,OANT_RS12180,94.526,274,15,0,1,274,1,274,0.0,525
BME_RS05435,OANT_RS12185,72.327,159,35,2,1,159,1,150,8.69e-66,198
BME_RS05440,OANT_RS12190,86.842,76,6,1,1,72,1,76,1.75e-34,109
BME_RS05445,OANT_RS12195,83.128,243,38,2,1,241,1,242,3.08e-135,377
BME_RS05450,OANT_RS12200,85.461,282,41,0,1,282,1,282,5.22e-165,456
BME_RS05455,OANT_RS12205,90.855,339,31,0,1,339,1,339,0.0,635
BME_RS05460,OANT_RS12215,55.951,1067,313,29,1,984,1,993,0.0,951
BME_RS05465,OANT_RS12220,94.530,585,32,0,1,585,1,585,0.0,1141
BME_RS05470,OANT_RS12225,88.806,402,45,0,1,402,1,402,0.0,715
BME_RS05475,OANT_RS12230,93.519,108,7,0,1,108,1,108,4.46e-72,207
BME_RS05480,OANT_RS12235,93.191,235,16,0,1,235,1,235,1.02e-151,419
BME_RS05485,OANT_RS12240,89.615,260,27,0,1,260,1,260,0.0,500
BME_RS05490,OANT_RS12245,86.891,267,31,1,1,267,1,263,1.51e-173,476
BME_RS05495,OANT_RS12250,63.690,168,61,0,22,189,22,189,1.26e-76,226
BME_RS05500,OANT_RS12255,90.995,211,19,0,3,213,3,213,1.37e-137,381
BME_RS05505,OANT_RS12260,96.855,159,5,0,1,159,1,159,4.34e-114,317
BME_RS05510,OANT_RS12265,94.395,339,19,0,1,339,1,339,0.0,585
BME_RS05515,OANT_RS12270,79.615,260,53,0,1,260,1,260,4.39e-140,391
BME_RS05520,OANT_RS12275,67.188,64,21,0,1,64,1,64,7.57e-29,94.7
BME_RS05525,OANT_RS12280,88.462,234,27,0,1,234,1,234,3.33e-151,417
BME_RS05530,OANT_RS12285,84.295,312,49,0,18,329,15,326,0.0,552
BME_RS05535,OANT_RS11490,88.806,268,24,1,1,262,1,268,9.25e-179,489
BME_RS05540,OANT_RS12290,87.665,227,28,0,1,227,1,227,3.14e-145,402
BME_RS05545,OANT_RS12295,86.807,379,50,0,1,379,1,379,0.0,688
BME_RS05550,OANT_RS12300,85.185,243,36,0,1,243,1,243,9.37e-156,429
BME_RS05555,OANT_RS12305,87.829,304,37,0,1,304,1,304,0.0,530
BME_RS05560,OANT_RS12310,87.021,339,44,0,1,339,1,339,0.0,626
BME_RS05565,OANT_RS12315,79.447,253,51,1,1,253,1,252,5.46e-149,413
BME_RS05570,OANT_RS12320,98.925,93,1,0,1,93,1,93,1.87e-63,184
BME_RS05575,OANT_RS12325,89.286,392,42,0,1,392,1,392,0.0,689
BME_RS05580,OANT_RS12330,94.588,425,23,0,1,425,1,425,0.0,813
BME_RS05585,OANT_RS12335,96.784,342,11,0,1,342,1,342,0.0,677
BME_RS05590,OANT_RS12340,91.883,308,25,0,1,308,1,308,0.0,577
BME_RS05595,OANT_RS12345,94.667,225,12,0,1,225,1,225,2.47e-159,437
BME_RS05600,OANT_RS12350,98.152,433,8,0,1,433,1,433,0.0,876
BME_RS05605,OANT_RS12355,88.448,277,32,0,15,291,9,285,0.0,511
BME_RS05610,OANT_RS12360,94.149,188,11,0,1,188,1,188,4.61e-134,370
BME_RS05615,OANT_RS12365,94.841,252,13,0,3,254,1,252,9.45e-167,458
BME_RS05620,OANT_RS12370,88.785,107,12,0,1,107,1,107,1.28e-63,186
BME_RS05625,OANT_RS12375,98.425,254,4,0,1,254,1,254,0.0,512
BME_RS05630,OANT_RS12380,94.937,79,4,0,1,79,1,79,2.86e-50,150
BME_RS05635,OANT_RS12385,97.309,223,6,0,1,223,1,223,2.59e-164,449
BME_RS05640,OANT_RS12390,92.093,215,17,0,1,215,1,215,1.26e-146,404
BME_RS05645,OANT_RS12395,93.233,133,9,0,1,133,1,133,2.20e-80,230
BME_RS05650,OANT_RS12410,95.946,740,30,0,1,740,1,740,0.0,1439
BME_RS05655,OANT_RS12415,98.701,77,1,0,1,77,1,77,4.76e-53,156
BME_RS05660,OANT_RS12420,91.818,110,9,0,1,110,1,110,1.15e-73,211
BME_RS05665,OANT_RS12425,89.549,421,44,0,1,421,1,421,0.0,728
BME_RS05670,OANT_RS12430,82.182,275,49,0,1,275,1,275,1.75e-175,482
BME_RS05675,OANT_RS12435,92.808,292,21,0,1,292,1,292,0.0,521
BME_RS05680,OANT_RS12445,96.098,205,8,0,1,205,1,205,8.03e-148,406
BME_RS05685,OANT_RS12450,60.331,363,103,6,1,323,1,362,7.03e-147,415
BME_RS05690,OANT_RS12455,76.866,134,31,0,1,134,1,134,1.15e-74,216
BME_RS05695,OANT_RS12460,90.164,61,6,0,1,61,1,61,6.80e-24,82.4
BME_RS05700,OANT_RS12475,92.949,1163,82,0,1,1163,1,1163,0.0,2233
BME_RS05705,OANT_RS12480,95.595,227,10,0,1,227,1,227,4.54e-162,444
BME_RS05710,OANT_RS12485,95.183,436,21,0,2,437,3,438,0.0,813
BME_RS05715,OANT_RS12490,95.249,442,21,0,1,442,1,442,0.0,881
BME_RS05720,OANT_RS12495,89.888,89,9,0,1,89,1,89,5.45e-56,165
BME_RS05725,OANT_RS12500,94.776,134,7,0,1,134,1,134,9.77e-91,256
BME_RS05730,OANT_RS12505,96.416,558,20,0,1,558,1,558,0.0,1085
BME_RS05735,OANT_RS12510,95.472,265,12,0,1,265,1,265,0.0,509
BME_RS05740,OANT_RS12515,93.305,478,32,0,1,478,1,478,0.0,834
BME_RS05745,OANT_RS12520,94.422,502,28,0,1,502,1,502,0.0,966
BME_RS05750,OANT_RS12525,92.470,664,47,1,1,661,1,664,0.0,1257
BME_RS05755,OANT_RS12530,99.020,102,1,0,1,102,1,102,3.93e-66,191
