O_anthropi|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS03840,AYT27_RS01095,62.733,322,116,1,1,322,1,318,1.77e-147,414
OANT_RS03845,AYT27_RS01100,66.667,126,39,1,14,136,7,132,3.91e-58,173
OANT_RS03850,AYT27_RS01105,65.424,966,211,12,1,964,1,845,0.0,1196
OANT_RS03855,AYT27_RS01110,50.254,197,98,0,44,240,1,197,2.96e-66,200
OANT_RS03865,AYT27_RS01115,79.317,527,109,0,1,527,1,527,0.0,863
OANT_RS03870,AYT27_RS01120,58.470,183,76,0,20,202,22,204,1.62e-77,228
OANT_RS03875,AYT27_RS01125,62.609,230,84,1,6,233,4,233,7.51e-107,304
OANT_RS03880,AYT27_RS01130,78.282,419,91,0,1,419,1,419,0.0,657
OANT_RS03885,AYT27_RS01135,67.647,136,40,2,1,135,1,133,8.14e-65,189
OANT_RS03890,AYT27_RS01140,43.750,512,285,2,13,523,28,537,1.09e-154,449
OANT_RS03895,AYT27_RS01145,54.574,317,134,2,32,348,28,334,1.56e-123,356
OANT_RS03900,AYT27_RS01150,56.494,154,67,0,6,159,2,155,4.67e-63,187
OANT_RS03905,AYT27_RS01155,67.812,320,102,1,3,321,35,354,3.32e-162,453
OANT_RS03910,AYT27_RS01160,67.544,456,139,3,4,459,8,454,0.0,654
OANT_RS03920,AYT27_RS01165,40.260,154,92,0,11,164,8,161,5.38e-43,137
OANT_RS03925,AYT27_RS01170,41.126,231,125,3,1,225,1,226,6.81e-49,156
OANT_RS03935,AYT27_RS01285,67.640,411,133,0,6,416,5,415,0.0,590
OANT_RS03945,AYT27_RS01280,42.951,305,140,8,9,310,6,279,3.89e-71,218
OANT_RS03960,AYT27_RS00310,39.565,230,127,3,7,227,11,237,1.78e-48,155
OANT_RS03965,AYT27_RS01270,63.559,236,86,0,1,236,1,236,1.50e-112,318
OANT_RS03970,AYT27_RS01265,78.800,250,53,0,24,273,3,252,1.46e-150,417
OANT_RS03975,AYT27_RS01260,73.934,422,110,0,16,437,8,429,0.0,627
OANT_RS03980,AYT27_RS01255,61.245,498,178,4,1,497,3,486,0.0,582
OANT_RS03985,AYT27_RS01250,68.103,348,111,0,1,348,1,348,0.0,522
OANT_RS03990,AYT27_RS05915,21.098,346,236,13,67,389,64,395,1.84e-09,54.3
OANT_RS03995,AYT27_RS00445,38.793,116,71,0,22,137,12,127,4.28e-22,81.3
OANT_RS04005,AYT27_RS04340,50.538,93,43,1,24,113,95,187,5.34e-25,91.7
OANT_RS04015,AYT27_RS01165,27.891,147,95,6,11,150,18,160,9.64e-09,50.1
OANT_RS04045,AYT27_RS00220,70.923,509,146,2,1,508,1,508,0.0,743
OANT_RS04050,AYT27_RS01245,75.161,310,77,0,3,312,1,310,0.0,498
OANT_RS04080,AYT27_RS00330,75.000,376,93,1,2,376,1,376,0.0,588
OANT_RS04085,AYT27_RS00325,85.804,634,86,1,1,634,1,630,0.0,1113
OANT_RS04090,AYT27_RS06150,29.341,167,106,5,31,196,29,184,3.12e-11,58.9
OANT_RS04100,AYT27_RS05920,28.276,290,195,5,8,291,9,291,1.46e-24,96.7
OANT_RS04110,AYT27_RS05140,29.275,386,261,7,12,393,7,384,1.60e-35,130
OANT_RS04120,AYT27_RS00420,63.930,804,288,2,1,803,1,803,0.0,1044
OANT_RS04125,AYT27_RS00415,72.480,367,92,1,1,367,1,358,0.0,563
OANT_RS04135,AYT27_RS00410,89.552,134,13,1,1,134,1,133,5.25e-83,235
OANT_RS04140,AYT27_RS00405,79.104,67,13,1,1,66,1,67,1.30e-35,110
OANT_RS04150,AYT27_RS00245,78.947,171,36,0,8,178,2,172,1.38e-98,278
OANT_RS04155,AYT27_RS00250,56.000,250,110,0,7,256,8,257,1.15e-105,303
OANT_RS04170,AYT27_RS00255,48.052,231,112,2,30,252,11,241,2.96e-77,230
OANT_RS04200,AYT27_RS00175,79.152,283,59,0,1,283,1,283,4.34e-175,482
OANT_RS04205,AYT27_RS00170,52.535,434,202,1,9,442,10,439,3.33e-168,476
OANT_RS04220,AYT27_RS00125,77.670,103,23,0,1,103,1,103,1.28e-59,174
OANT_RS04225,AYT27_RS00130,46.392,1164,598,12,7,1155,6,1158,0.0,1036
OANT_RS04230,AYT27_RS00135,48.659,1044,512,6,10,1043,4,1033,0.0,933
OANT_RS04240,AYT27_RS00150,50.323,155,77,0,7,161,2,156,2.94e-49,162
OANT_RS04245,AYT27_RS00155,44.796,759,411,3,89,847,63,813,0.0,663
OANT_RS04250,AYT27_RS00160,82.618,466,80,1,1,466,1,465,0.0,811
OANT_RS04255,AYT27_RS04310,24.413,213,157,4,16,225,5,216,4.03e-15,69.3
OANT_RS04260,AYT27_RS00290,63.736,91,33,0,13,103,8,98,2.56e-38,120
OANT_RS04265,AYT27_RS00295,66.667,132,42,1,1,130,1,132,4.61e-58,172
OANT_RS04270,AYT27_RS00300,39.597,149,87,2,10,158,8,153,1.14e-33,112
OANT_RS04275,AYT27_RS00305,65.841,565,186,3,38,602,34,591,0.0,717
OANT_RS04280,AYT27_RS00310,81.702,235,43,0,5,239,6,240,1.07e-142,395
OANT_RS04300,AYT27_RS01055,70.096,311,93,0,12,322,22,332,1.38e-168,468
OANT_RS04335,AYT27_RS01065,80.000,185,36,1,1,184,1,185,8.16e-109,305
OANT_RS04345,AYT27_RS01070,82.679,433,72,2,4,434,5,436,0.0,724
OANT_RS04360,AYT27_RS00530,45.918,196,97,3,1,187,1,196,9.11e-51,159
OANT_RS04370,AYT27_RS00525,47.368,228,120,0,4,231,3,230,7.82e-80,235
OANT_RS04375,AYT27_RS00520,32.919,161,97,2,11,169,17,168,3.25e-25,91.7
OANT_RS04380,AYT27_RS00515,64.151,159,54,1,5,163,2,157,2.64e-76,221
OANT_RS04385,AYT27_RS00025,54.113,231,106,0,1,231,1,231,3.64e-96,276
OANT_RS04390,AYT27_RS00020,51.042,192,93,1,1,191,1,192,3.72e-67,200
OANT_RS04395,AYT27_RS00015,55.596,277,120,2,4,278,15,290,4.16e-105,304
OANT_RS04400,AYT27_RS00010,50.746,201,93,2,1,199,2,198,4.53e-59,180
OANT_RS04405,AYT27_RS00005,60.949,274,105,1,1,274,1,272,1.03e-123,350
OANT_RS04420,AYT27_RS08715,90.736,421,39,0,1,421,1,421,0.0,786
OANT_RS04430,AYT27_RS08710,54.147,434,199,0,9,442,2,435,1.57e-176,497
OANT_RS04435,AYT27_RS08705,65.161,620,215,1,8,627,3,621,0.0,846
OANT_RS04440,AYT27_RS08700,53.365,208,97,0,2,209,4,211,2.72e-78,230
OANT_RS04445,AYT27_RS08695,77.358,265,59,1,1,265,1,264,1.20e-150,417
OANT_RS04450,AYT27_RS08690,61.639,305,101,2,1,293,1,301,8.88e-132,372
OANT_RS04455,AYT27_RS08480,50.872,344,169,0,1,344,1,344,1.97e-131,375
OANT_RS04465,AYT27_RS08485,64.173,254,91,0,1,254,1,254,5.52e-117,332
OANT_RS04470,AYT27_RS08490,60.690,290,110,2,1,286,1,290,1.11e-112,323
OANT_RS04475,AYT27_RS08495,55.593,295,131,0,19,313,27,321,1.49e-117,338
OANT_RS04495,AYT27_RS06150,21.429,224,161,4,28,251,27,235,3.99e-10,55.8
OANT_RS04505,AYT27_RS04380,29.457,129,91,0,12,140,18,146,2.06e-15,70.5
OANT_RS04510,AYT27_RS01985,37.037,486,284,10,15,491,2,474,3.11e-97,298
OANT_RS04520,AYT27_RS02775,31.148,244,160,5,8,251,9,244,4.23e-30,108
OANT_RS04535,AYT27_RS02775,30.041,243,164,3,2,244,6,242,4.53e-31,111
OANT_RS04545,AYT27_RS02695,46.122,245,128,2,358,601,360,601,2.86e-62,213
OANT_RS04565,AYT27_RS07445,25.967,181,124,4,17,190,22,199,3.76e-12,60.8
OANT_RS04635,AYT27_RS04195,36.979,192,103,5,52,240,83,259,5.46e-25,98.6
OANT_RS04665,AYT27_RS04860,79.167,24,5,0,1,24,1,24,6.66e-09,40.4
OANT_RS04675,AYT27_RS08520,51.411,319,153,2,2,320,1,317,1.15e-118,344
OANT_RS04680,AYT27_RS08525,44.800,375,179,2,5,379,8,354,3.47e-118,343
OANT_RS04690,AYT27_RS08535,60.086,233,93,0,4,236,5,237,7.63e-108,314
OANT_RS04695,AYT27_RS08540,76.972,317,73,0,1,317,1,317,1.39e-180,497
OANT_RS04700,AYT27_RS08545,58.117,308,127,2,1,307,1,307,4.52e-121,346
OANT_RS04710,AYT27_RS08550,46.512,172,92,0,21,192,22,193,1.22e-62,189
OANT_RS04715,AYT27_RS08555,61.247,369,138,1,12,375,5,373,4.80e-164,460
OANT_RS04720,AYT27_RS05535,29.915,234,157,3,189,420,288,516,4.41e-27,108
OANT_RS04725,AYT27_RS08290,52.174,92,40,1,3,94,1,88,1.10e-31,103
OANT_RS04730,AYT27_RS08295,58.852,209,83,1,1,209,1,206,1.60e-93,268
OANT_RS04735,AYT27_RS08300,76.615,325,76,0,1,325,1,325,0.0,548
OANT_RS04740,AYT27_RS08305,60.450,622,230,7,9,619,6,622,0.0,771
OANT_RS04745,AYT27_RS02775,28.889,180,125,1,12,188,10,189,2.33e-20,82.8
OANT_RS04750,AYT27_RS08315,65.327,199,69,0,16,214,22,220,1.89e-88,256
OANT_RS04755,AYT27_RS08320,91.011,89,8,0,1,89,1,89,4.22e-58,169
OANT_RS04780,AYT27_RS08685,56.972,251,108,0,10,260,3,253,7.83e-107,305
OANT_RS04785,AYT27_RS08680,56.502,223,93,2,2,220,7,229,1.02e-90,262
OANT_RS04790,AYT27_RS08675,73.476,328,85,1,167,492,86,413,3.66e-178,502
OANT_RS04795,AYT27_RS08670,69.139,418,129,0,1,418,1,418,0.0,641
OANT_RS04800,AYT27_RS08665,52.982,285,129,1,4,288,2,281,4.17e-95,278
OANT_RS04805,AYT27_RS08660,42.778,180,100,2,1,179,1,178,2.01e-43,139
OANT_RS04810,AYT27_RS08655,55.438,377,157,3,13,379,4,379,1.18e-146,417
OANT_RS04815,AYT27_RS08650,84.688,320,49,0,1,320,1,320,0.0,554
OANT_RS04820,AYT27_RS08645,86.650,397,53,0,1,397,1,397,0.0,690
OANT_RS04825,AYT27_RS08640,89.000,300,33,0,1,300,1,300,0.0,516
OANT_RS04830,AYT27_RS08635,76.124,1001,237,1,1,1001,1,999,0.0,1647
OANT_RS04835,AYT27_RS08630,69.784,417,107,4,1,409,1,406,0.0,581
OANT_RS04845,AYT27_RS00110,26.389,144,97,3,6,149,13,147,6.52e-12,58.2
OANT_RS04855,AYT27_RS08625,74.153,472,117,2,1,471,1,468,0.0,726
OANT_RS04870,AYT27_RS08285,57.468,308,131,0,8,315,15,322,2.96e-132,375
OANT_RS04875,AYT27_RS08275,47.619,168,87,1,3,170,7,173,1.64e-52,162
OANT_RS04880,AYT27_RS08270,66.957,230,75,1,14,243,3,231,1.63e-110,313
OANT_RS04890,AYT27_RS08265,76.552,145,32,1,3,145,2,146,5.67e-75,216
OANT_RS04895,AYT27_RS00575,26.804,388,250,8,97,460,186,563,2.19e-20,90.1
OANT_RS04915,AYT27_RS08260,50.758,132,64,1,1,131,1,132,2.40e-41,130
OANT_RS04920,AYT27_RS08255,51.562,128,62,0,4,131,1,128,2.13e-46,142
OANT_RS04925,AYT27_RS08250,84.202,614,97,0,1,614,1,614,0.0,1064
OANT_RS04930,AYT27_RS08245,82.625,259,45,0,1,259,1,259,2.16e-168,461
OANT_RS04945,AYT27_RS08110,53.676,408,188,1,5,411,16,423,4.53e-166,469
OANT_RS04960,AYT27_RS08105,57.126,870,302,11,1,858,1,811,0.0,904
OANT_RS04965,AYT27_RS08100,49.733,187,91,2,32,218,15,198,1.49e-66,200
OANT_RS04970,AYT27_RS08095,62.172,267,101,0,1,267,1,267,5.99e-127,357
OANT_RS04975,AYT27_RS02865,30.975,523,295,17,17,517,3,481,1.64e-64,217
OANT_RS04985,AYT27_RS08435,62.667,225,84,0,1,225,1,225,3.90e-107,304
OANT_RS05015,AYT27_RS08425,78.832,137,29,0,1,137,1,137,3.22e-81,231
OANT_RS05025,AYT27_RS00625,34.451,328,208,3,8,328,6,333,1.97e-68,213
OANT_RS05030,AYT27_RS08415,69.231,364,107,1,1,359,1,364,0.0,509
OANT_RS05045,AYT27_RS08410,32.743,339,197,10,92,416,49,370,4.74e-39,141
OANT_RS05050,AYT27_RS08405,35.125,558,316,7,1,553,1,517,2.08e-98,304
OANT_RS05060,AYT27_RS01090,28.045,353,243,6,8,353,2,350,9.83e-20,86.7
OANT_RS05080,AYT27_RS08060,79.452,219,45,0,1,219,1,219,9.89e-130,360
OANT_RS05085,AYT27_RS08065,47.333,300,158,0,41,340,11,310,2.62e-107,313
OANT_RS05090,AYT27_RS08070,43.000,200,109,3,87,285,28,223,1.61e-52,167
OANT_RS05095,AYT27_RS08515,63.178,258,95,0,1,258,4,261,9.92e-117,331
OANT_RS05100,AYT27_RS00880,77.011,174,40,0,1,174,1,174,6.08e-103,289
OANT_RS05105,AYT27_RS00870,66.279,86,29,0,3,88,4,89,2.84e-37,117
OANT_RS05115,AYT27_RS08395,26.571,350,211,7,35,339,3,351,2.49e-40,140
OANT_RS05120,AYT27_RS08475,71.845,309,87,0,1,309,1,309,7.11e-171,472
OANT_RS05125,AYT27_RS05915,26.425,193,125,6,87,267,93,280,6.11e-10,55.8
OANT_RS05130,AYT27_RS08440,47.458,236,124,0,4,239,2,237,7.07e-83,244
OANT_RS05140,AYT27_RS08445,37.775,863,469,13,38,897,14,811,0.0,570
OANT_RS05145,AYT27_RS08450,59.569,418,169,0,4,421,4,421,0.0,513
OANT_RS05150,AYT27_RS08455,37.037,54,34,0,7,60,5,58,4.01e-10,45.8
OANT_RS05155,AYT27_RS04945,27.893,337,207,14,46,364,28,346,1.66e-16,77.0
OANT_RS05160,AYT27_RS08460,37.500,232,137,4,5,235,3,227,2.45e-52,165
OANT_RS05165,AYT27_RS00110,34.014,147,96,1,4,149,8,154,1.64e-18,76.3
OANT_RS05170,AYT27_RS08465,55.629,151,66,1,8,158,15,164,2.83e-58,175
OANT_RS05180,AYT27_RS08470,52.650,283,133,1,1,283,2,283,7.01e-105,303
OANT_RS05185,AYT27_RS02775,29.730,185,126,3,12,193,7,190,8.16e-16,70.9
OANT_RS05215,AYT27_RS06240,64.516,248,88,0,1,248,1,248,2.04e-119,337
OANT_RS05220,AYT27_RS06245,62.903,310,110,2,1,309,1,306,4.87e-140,394
OANT_RS05245,AYT27_RS07585,96.429,28,1,0,1,28,1,28,1.19e-13,52.8
OANT_RS05265,AYT27_RS01025,76.243,905,214,1,1,905,1,904,0.0,1446
OANT_RS05270,AYT27_RS01030,45.752,306,157,2,22,318,11,316,3.49e-93,276
OANT_RS05275,AYT27_RS01035,63.325,409,147,1,5,413,5,410,0.0,511
OANT_RS05285,AYT27_RS01040,63.846,130,47,0,9,138,7,136,1.53e-61,181
OANT_RS05295,AYT27_RS02075,58.478,289,120,0,10,298,6,294,1.10e-122,349
OANT_RS05300,AYT27_RS02080,49.398,249,122,1,14,262,10,254,7.81e-85,250
OANT_RS05305,AYT27_RS02085,63.095,84,28,2,1,83,1,82,5.76e-35,110
OANT_RS05325,AYT27_RS02090,69.512,246,75,0,1,246,1,246,3.36e-140,389
OANT_RS05330,AYT27_RS02095,80.378,423,77,1,1,423,1,417,0.0,682
OANT_RS05335,AYT27_RS00710,29.575,541,365,7,183,718,275,804,1.45e-56,203
OANT_RS05340,AYT27_RS01015,79.272,357,74,0,1,357,1,357,0.0,583
OANT_RS05345,AYT27_RS01010,46.886,273,145,0,4,276,13,285,3.32e-87,258
OANT_RS05350,AYT27_RS07105,68.605,86,25,1,26,111,27,110,2.46e-36,125
OANT_RS05355,AYT27_RS07225,75.729,857,208,0,1,857,1,857,0.0,1345
OANT_RS05365,AYT27_RS07050,44.954,654,329,8,10,636,10,659,0.0,599
OANT_RS05370,AYT27_RS07045,88.679,318,35,1,1,317,1,318,7.53e-180,510
OANT_RS05375,AYT27_RS07040,92.000,25,2,0,1,25,1,25,6.23e-09,40.4
OANT_RS05380,AYT27_RS07035,96.000,25,1,0,1,25,1,25,7.67e-13,50.4
OANT_RS05385,AYT27_RS07030,78.571,42,9,0,108,149,73,114,1.68e-10,60.5
OANT_RS05390,AYT27_RS07025,86.486,37,5,0,2,38,2,38,2.91e-15,57.4
OANT_RS05395,AYT27_RS07020,100.000,25,0,0,1,25,1,25,3.69e-12,48.5
OANT_RS05410,AYT27_RS02320,29.714,175,120,2,302,473,517,691,3.06e-18,83.6
OANT_RS05420,AYT27_RS05205,30.698,215,133,5,21,221,95,307,4.61e-24,93.6
OANT_RS05435,AYT27_RS00695,70.000,30,9,0,1,30,1,30,1.17e-10,45.1
OANT_RS05440,AYT27_RS00700,64.844,128,41,1,1,124,1,128,3.22e-54,163
OANT_RS05445,AYT27_RS00705,79.775,89,18,0,1,89,1,89,1.30e-50,150
OANT_RS05460,AYT27_RS00820,79.091,330,69,0,1,330,1,330,0.0,515
OANT_RS05465,AYT27_RS00825,67.914,374,120,0,2,375,5,378,0.0,525
OANT_RS05470,AYT27_RS00830,66.586,413,135,3,15,426,7,417,0.0,570
OANT_RS05475,AYT27_RS00835,52.632,190,90,0,24,213,1,190,4.88e-71,211
OANT_RS05480,AYT27_RS00840,57.282,103,44,0,7,109,30,132,2.55e-42,132
OANT_RS05485,AYT27_RS00845,55.975,159,70,0,1,159,1,159,9.81e-63,186
OANT_RS05495,AYT27_RS00850,41.645,377,199,2,56,432,59,414,1.95e-103,310
OANT_RS05500,AYT27_RS00855,72.109,441,117,1,1,441,1,435,0.0,649
OANT_RS05510,AYT27_RS00860,52.761,163,77,0,8,170,5,167,2.49e-64,191
OANT_RS05525,AYT27_RS05920,26.280,293,199,3,1,281,5,292,1.71e-33,120
OANT_RS05530,AYT27_RS01985,31.279,438,267,9,35,457,36,454,6.44e-54,184
OANT_RS05560,AYT27_RS08385,59.048,210,86,0,1,210,1,210,1.20e-96,276
OANT_RS05565,AYT27_RS00905,29.185,233,157,4,13,237,20,252,2.28e-25,99.8
OANT_RS05575,AYT27_RS08380,74.225,516,124,3,1,515,1,508,0.0,714
OANT_RS05580,AYT27_RS08375,57.576,99,42,0,5,103,2,100,4.90e-37,117
OANT_RS05585,AYT27_RS08370,76.860,121,28,0,1,121,1,121,4.79e-61,179
OANT_RS05595,AYT27_RS04045,70.918,196,57,0,12,207,19,214,1.58e-106,301
OANT_RS05600,AYT27_RS04040,48.000,275,131,4,29,299,17,283,1.59e-66,206
OANT_RS05610,AYT27_RS08390,53.508,1568,699,9,34,1594,18,1562,0.0,1696
OANT_RS05625,AYT27_RS08345,69.517,538,164,0,1,538,1,538,0.0,775
OANT_RS05630,AYT27_RS08350,48.639,551,273,3,31,576,21,566,1.81e-170,492
OANT_RS05635,AYT27_RS08355,53.675,449,195,5,26,469,7,447,2.00e-170,483
OANT_RS05640,AYT27_RS08360,70.526,285,80,2,1,282,1,284,1.62e-147,415
OANT_RS05645,AYT27_RS08365,63.934,61,22,0,9,69,11,71,3.77e-22,77.0
OANT_RS05650,AYT27_RS08055,74.962,651,161,1,1,651,1,649,0.0,1062
OANT_RS05660,AYT27_RS08040,58.738,206,85,0,15,220,22,227,4.13e-89,258
OANT_RS05665,AYT27_RS08035,68.565,878,265,3,3,876,9,879,0.0,1272
OANT_RS05670,AYT27_RS08030,42.775,173,93,1,26,192,18,190,2.45e-44,142
OANT_RS05685,AYT27_RS08025,76.147,218,51,1,1,217,1,218,3.91e-126,351
OANT_RS05690,AYT27_RS08020,65.247,728,244,2,22,740,9,736,0.0,976
OANT_RS05700,AYT27_RS08005,43.575,179,96,1,11,184,13,191,5.92e-45,143
OANT_RS05705,AYT27_RS08000,84.736,511,76,1,1,509,1,511,0.0,889
OANT_RS05710,AYT27_RS07995,66.337,303,91,3,1,292,1,303,7.76e-147,410
OANT_RS05715,AYT27_RS07990,78.908,531,97,4,1,517,1,530,0.0,829
OANT_RS05720,AYT27_RS07985,40.496,121,71,1,5,125,13,132,1.26e-21,80.5
OANT_RS05750,AYT27_RS04255,36.056,355,173,6,2,302,4,358,5.30e-50,165
OANT_RS05755,AYT27_RS04250,34.718,337,162,9,139,448,39,344,5.77e-37,134
OANT_RS05760,AYT27_RS04245,46.565,262,131,3,17,278,3,255,1.87e-77,238
OANT_RS05765,AYT27_RS04240,48.511,235,119,2,12,245,3,236,2.33e-80,237
OANT_RS05775,AYT27_RS04260,27.882,373,247,11,11,371,10,372,1.19e-36,132
OANT_RS05780,AYT27_RS04260,27.247,356,237,10,25,369,26,370,5.82e-28,108
OANT_RS05785,AYT27_RS04115,45.833,456,230,5,15,470,2,440,3.04e-130,401
OANT_RS05800,AYT27_RS02775,30.952,252,157,3,8,259,7,241,1.67e-36,125
OANT_RS05805,AYT27_RS07965,76.716,408,95,0,6,413,4,411,0.0,655
OANT_RS05820,AYT27_RS07935,60.067,298,119,0,7,304,3,300,4.38e-126,358
OANT_RS05825,AYT27_RS02430,31.325,166,113,1,73,237,123,288,5.56e-19,81.3
OANT_RS05830,AYT27_RS07930,91.525,59,5,0,1,59,1,59,7.69e-37,113
OANT_RS05845,AYT27_RS07915,42.029,552,252,12,489,1025,6,504,2.18e-132,406
OANT_RS05855,AYT27_RS07920,82.143,112,20,0,1,112,1,112,2.13e-68,197
OANT_RS05860,AYT27_RS07925,72.727,176,47,1,1,176,1,175,8.65e-93,265
OANT_RS05865,AYT27_RS05920,26.154,260,167,8,4,245,7,259,3.00e-18,79.0
OANT_RS05870,AYT27_RS02775,31.873,251,163,2,1,249,1,245,2.25e-35,122
OANT_RS05875,AYT27_RS07910,63.380,284,104,0,26,309,18,301,1.88e-126,359
OANT_RS05885,AYT27_RS07905,47.863,468,243,1,26,493,15,481,2.43e-164,469
OANT_RS05890,AYT27_RS00955,33.333,246,161,1,4,246,1,246,4.88e-37,129
OANT_RS05905,AYT27_RS07900,51.905,210,101,0,1,210,1,210,9.96e-79,231
OANT_RS05910,AYT27_RS07895,44.444,108,45,2,1,93,1,108,4.50e-11,51.6
OANT_RS05915,AYT27_RS07890,61.745,596,214,3,1,583,1,595,0.0,733
OANT_RS06000,AYT27_RS07870,54.762,84,34,1,2,85,6,85,1.67e-14,58.5
OANT_RS06010,AYT27_RS07865,59.350,123,50,0,17,139,44,166,1.31e-53,163
OANT_RS06015,AYT27_RS07860,65.481,478,165,0,1,478,1,478,0.0,644
OANT_RS06020,AYT27_RS07345,42.949,156,89,0,69,224,104,259,1.95e-36,125
OANT_RS06025,AYT27_RS07340,78.049,41,9,0,1,41,1,41,4.22e-19,67.4
OANT_RS06030,AYT27_RS07325,50.430,349,173,0,13,361,59,407,6.30e-131,377
OANT_RS06035,AYT27_RS07320,75.460,163,40,0,1,163,2,164,3.34e-79,228
OANT_RS06060,AYT27_RS03835,30.061,326,188,4,37,333,27,341,9.50e-35,125
OANT_RS06065,AYT27_RS07690,68.966,232,69,1,1,229,1,232,3.24e-118,332
OANT_RS06085,AYT27_RS00865,37.736,159,95,3,17,172,29,186,8.59e-30,103
OANT_RS06100,AYT27_RS02775,34.137,249,155,3,1,249,2,241,1.29e-36,126
OANT_RS06105,AYT27_RS08055,38.654,639,365,14,7,629,21,648,2.78e-148,440
OANT_RS06110,AYT27_RS07825,71.637,342,96,1,1,341,1,342,1.33e-178,494
OANT_RS06120,AYT27_RS07830,61.596,401,149,1,1,401,2,397,0.0,506
OANT_RS06130,AYT27_RS07835,78.507,335,72,0,1,335,1,335,0.0,551
OANT_RS06135,AYT27_RS07840,73.939,660,171,1,1,660,1,659,0.0,1035
OANT_RS06140,AYT27_RS07845,62.766,94,28,3,1,90,1,91,1.95e-30,99.4
OANT_RS06145,AYT27_RS07850,48.276,116,53,1,1,116,1,109,4.21e-36,116
OANT_RS06155,AYT27_RS07375,41.026,195,111,1,2,192,5,199,1.52e-51,160
OANT_RS06160,AYT27_RS07380,65.934,273,93,0,1,273,1,273,1.38e-138,387
OANT_RS06165,AYT27_RS05535,47.303,241,123,2,8,246,2,240,4.35e-66,209
OANT_RS06175,AYT27_RS01445,33.793,145,91,4,34,174,18,161,1.34e-11,56.6
OANT_RS06185,AYT27_RS07695,80.242,248,49,0,1,248,1,248,1.63e-151,418
OANT_RS06190,AYT27_RS07810,82.192,73,13,0,1,73,1,73,2.30e-44,133
OANT_RS06195,AYT27_RS07805,59.359,593,237,1,44,632,1,593,0.0,664
OANT_RS06210,AYT27_RS07800,71.483,263,75,0,1,263,1,263,3.83e-136,380
OANT_RS06215,AYT27_RS07795,83.333,186,31,0,1,186,1,186,6.84e-119,330
OANT_RS06220,AYT27_RS07790,37.410,278,160,1,75,338,59,336,2.43e-52,172
OANT_RS06225,AYT27_RS07755,42.614,176,94,4,31,201,31,204,1.77e-41,136
OANT_RS06230,AYT27_RS07750,45.763,354,192,0,18,371,16,369,1.56e-112,330
OANT_RS06235,AYT27_RS07745,44.375,160,87,1,6,165,12,169,7.54e-39,126
OANT_RS06240,AYT27_RS07740,75.949,158,38,0,1,158,1,158,3.92e-83,239
OANT_RS06245,AYT27_RS07735,57.561,205,83,2,1,204,1,202,2.02e-73,217
OANT_RS06250,AYT27_RS07730,83.333,324,54,0,15,338,18,341,0.0,534
OANT_RS06255,AYT27_RS07725,51.969,127,61,0,19,145,13,139,1.15e-45,142
OANT_RS06260,AYT27_RS07720,61.017,236,91,1,1,236,1,235,1.97e-102,293
OANT_RS06265,AYT27_RS07715,45.695,151,77,3,1,147,1,150,2.23e-41,131
OANT_RS06270,AYT27_RS07710,29.487,390,226,12,1,352,9,387,2.06e-34,126
OANT_RS06275,AYT27_RS07705,65.287,435,147,3,11,442,7,440,0.0,581
OANT_RS06280,AYT27_RS07685,60.947,169,61,1,1,164,1,169,3.24e-72,211
OANT_RS06290,AYT27_RS07665,31.743,482,276,7,11,445,9,484,2.92e-70,227
OANT_RS06295,AYT27_RS07660,78.914,626,129,3,1,624,1,625,0.0,1026
OANT_RS06300,AYT27_RS07655,69.595,444,135,0,1,444,1,444,0.0,648
OANT_RS06320,AYT27_RS01960,71.059,387,112,0,1,387,1,387,0.0,587
OANT_RS06335,AYT27_RS01965,78.220,427,93,0,1,427,1,427,0.0,697
OANT_RS06340,AYT27_RS01970,35.124,242,136,5,240,477,211,435,1.36e-41,150
OANT_RS06345,AYT27_RS00880,42.384,151,86,1,48,198,26,175,8.52e-38,125
OANT_RS06360,AYT27_RS01975,79.932,294,59,0,1,294,1,294,0.0,505
OANT_RS06365,AYT27_RS01980,60.423,331,131,0,1,331,2,332,3.87e-146,411
OANT_RS06370,AYT27_RS07095,37.500,128,67,3,27,151,16,133,2.58e-21,80.5
OANT_RS06375,AYT27_RS05125,92.000,25,2,0,1,25,1,25,6.13e-11,45.4
OANT_RS06395,AYT27_RS01020,73.134,134,36,0,5,138,2,135,1.61e-72,209
OANT_RS06400,AYT27_RS07075,51.235,324,154,4,15,335,12,334,3.19e-113,328
OANT_RS06410,AYT27_RS07070,72.453,265,72,1,1,264,1,265,8.23e-144,400
OANT_RS06415,AYT27_RS07065,41.304,46,27,0,22,67,17,62,3.29e-09,44.3
OANT_RS06420,AYT27_RS07060,76.667,180,42,0,10,189,3,182,7.41e-104,292
OANT_RS06425,AYT27_RS07055,37.862,449,274,3,12,458,19,464,2.22e-90,279
OANT_RS06435,AYT27_RS07635,35.417,96,62,0,22,117,13,108,2.01e-17,68.2
OANT_RS06440,AYT27_RS06040,30.612,147,83,5,1,137,1,138,8.52e-13,60.5
OANT_RS06445,AYT27_RS07630,47.348,264,105,1,106,335,7,270,2.00e-71,220
OANT_RS06450,AYT27_RS07625,48.438,128,65,1,11,137,12,139,1.10e-37,124
