O_anthropi|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS05315,BAB_RS24880,82.979,141,24,0,1,141,1,141,7.08e-92,259
OANT_RS05320,BAB_RS24875,84.589,292,45,0,1,292,5,296,3.04e-159,443
OANT_RS05325,BAB_RS24870,93.145,248,17,0,1,248,1,248,1.71e-177,484
OANT_RS05330,BAB_RS24865,96.690,423,14,0,1,423,1,423,0.0,837
OANT_RS05335,BAB_RS24860,92.328,756,58,0,1,756,1,756,0.0,1403
OANT_RS05340,BAB_RS24855,94.944,356,18,0,1,356,1,356,0.0,687
OANT_RS05345,BAB_RS24850,77.580,281,63,0,1,281,13,293,2.38e-159,442
OANT_RS05350,BAB_RS24845,73.764,263,65,3,1,261,1,261,7.41e-96,279
OANT_RS05355,BAB_RS24840,94.508,874,47,1,1,873,1,874,0.0,1675
OANT_RS05360,BAB_RS24835,82.787,488,73,4,1,488,1,477,0.0,802
OANT_RS05365,BAB_RS24830,89.094,651,71,0,1,651,1,651,0.0,1187
OANT_RS05370,BAB_RS23835,75.097,514,95,6,1,497,1,498,0.0,654
OANT_RS05375,BAB_RS31460,100.000,25,0,0,1,25,1,25,4.46e-11,46.6
OANT_RS05380,BAB_RS31455,96.000,25,1,0,1,25,1,25,1.50e-12,50.4
OANT_RS05385,BAB_RS31445,85.075,67,9,1,1,67,1,66,6.35e-25,108
OANT_RS05390,BAB_RS31440,92.105,38,3,0,1,38,1,38,2.68e-18,65.9
OANT_RS05395,BAB_RS31435,100.000,25,0,0,1,25,1,25,7.21e-12,48.5
OANT_RS05410,BAB_RS16950,35.028,177,113,2,302,477,258,433,2.74e-27,112
OANT_RS05420,BAB_RS20805,32.110,218,128,8,21,222,95,308,1.79e-24,95.5
OANT_RS05435,BAB_RS24760,80.000,30,6,0,1,30,1,30,2.34e-12,50.1
OANT_RS05440,BAB_RS24755,88.028,142,4,1,1,129,1,142,6.25e-83,236
OANT_RS05445,BAB_RS24750,97.753,89,2,0,1,89,1,89,7.74e-61,176
OANT_RS05450,BAB_RS24745,82.379,227,28,1,5,231,2,216,1.33e-138,384
OANT_RS05455,BAB_RS24740,77.838,185,41,0,1,185,1,185,1.81e-98,279
OANT_RS05460,BAB_RS24730,95.015,341,17,0,1,341,1,341,0.0,613
OANT_RS05465,BAB_RS24725,93.915,378,23,0,1,378,1,378,0.0,689
OANT_RS05470,BAB_RS24720,90.867,427,39,0,1,427,1,427,0.0,778
OANT_RS05475,BAB_RS24715,90.654,214,20,0,1,214,1,214,3.80e-149,410
OANT_RS05480,BAB_RS24710,89.683,126,10,1,1,126,1,123,4.54e-80,228
OANT_RS05485,BAB_RS24705,89.941,169,8,1,1,160,1,169,8.07e-107,299
OANT_RS05495,BAB_RS24695,87.893,413,50,0,28,440,33,445,0.0,706
OANT_RS05500,BAB_RS24690,93.891,442,27,0,1,442,1,442,0.0,835
OANT_RS05510,BAB_RS24685,89.326,178,15,1,1,174,1,178,8.10e-118,327
OANT_RS05515,BAB_RS24680,95.238,84,4,0,1,84,1,84,5.46e-47,141
OANT_RS05520,BAB_RS24675,92.991,214,15,0,1,214,1,214,1.78e-131,365
OANT_RS05525,BAB_RS24670,93.515,293,19,0,1,293,1,293,0.0,552
OANT_RS05530,BAB_RS24665,97.189,498,14,0,1,498,1,498,0.0,1000
OANT_RS05540,BAB_RS24270,24.332,337,209,13,24,339,23,334,2.55e-13,66.2
OANT_RS05545,BAB_RS24660,87.097,93,12,0,1,93,1,93,1.04e-42,131
OANT_RS05550,BAB_RS24655,92.593,297,22,0,1,297,1,297,0.0,556
OANT_RS05560,BAB_RS24650,92.019,213,16,1,1,212,1,213,1.36e-149,411
OANT_RS05565,BAB_RS24645,93.091,275,19,0,1,275,1,275,0.0,528
OANT_RS05570,BAB_RS19450,28.746,574,331,19,8,554,18,540,3.09e-40,150
OANT_RS05575,BAB_RS24640,92.745,510,34,1,1,510,1,507,0.0,799
OANT_RS05580,BAB_RS24635,93.137,102,7,0,1,102,1,102,1.29e-59,174
OANT_RS05585,BAB_RS24630,89.815,108,11,0,1,108,1,108,1.96e-72,209
OANT_RS05595,BAB_RS24625,94.203,207,12,0,1,207,1,207,7.62e-148,406
OANT_RS05600,BAB_RS24620,86.667,225,30,0,31,255,1,225,1.04e-144,404
OANT_RS05605,BAB_RS24615,88.732,213,24,0,1,213,1,213,2.59e-139,385
OANT_RS05610,BAB_RS24610,92.625,1600,114,1,1,1596,1,1600,0.0,2936
OANT_RS05615,BAB_RS24605,80.670,388,75,0,1,388,14,401,0.0,640
OANT_RS05620,BAB_RS30125,47.489,438,221,5,62,495,2,434,4.70e-136,397
OANT_RS05625,BAB_RS24600,97.212,538,15,0,1,538,1,538,0.0,1058
OANT_RS05630,BAB_RS24595,97.586,580,14,0,1,580,1,580,0.0,1160
OANT_RS05635,BAB_RS24590,94.444,468,21,2,1,467,1,464,0.0,890
OANT_RS05640,BAB_RS24585,94.769,325,13,1,1,321,1,325,0.0,588
OANT_RS05645,BAB_RS24580,80.556,72,11,1,1,69,1,72,8.99e-28,92.0
OANT_RS05650,BAB_RS24575,94.316,651,37,0,1,651,1,651,0.0,1280
OANT_RS05655,BAB_RS24570,92.632,95,7,0,1,95,1,95,5.47e-65,187
OANT_RS05660,BAB_RS24560,84.753,223,34,0,1,223,1,223,4.10e-141,390
OANT_RS05665,BAB_RS24555,91.676,877,73,0,1,877,1,877,0.0,1694
OANT_RS05670,BAB_RS24550,83.420,193,32,0,1,193,1,193,4.42e-118,330
OANT_RS05685,BAB_RS24545,98.157,217,4,0,1,217,1,217,4.23e-159,435
OANT_RS05690,BAB_RS24540,94.220,744,39,1,1,740,1,744,0.0,1422
OANT_RS05695,BAB_RS24535,94.161,137,8,0,1,137,1,137,1.65e-81,233
OANT_RS05700,BAB_RS24530,93.548,186,12,0,1,186,1,186,3.03e-124,345
OANT_RS05705,BAB_RS24525,95.472,508,23,0,1,508,1,508,0.0,990
OANT_RS05710,BAB_RS24520,92.808,292,21,0,1,292,1,292,0.0,536
OANT_RS05715,BAB_RS24515,94.027,452,27,0,51,502,55,506,0.0,868
OANT_RS05720,BAB_RS24510,94.815,135,7,0,1,135,1,135,2.91e-94,265
OANT_RS05725,BAB_RS24505,91.034,145,13,0,1,145,1,145,1.02e-90,256
OANT_RS05730,BAB_RS30770,36.170,282,161,6,80,344,92,371,8.00e-39,139
OANT_RS05735,BAB_RS24500,83.983,231,37,0,1,231,1,231,3.57e-140,389
OANT_RS05740,BAB_RS24495,87.857,420,51,0,1,420,1,420,0.0,738
OANT_RS05745,BAB_RS24490,93.472,337,18,1,1,337,1,333,0.0,661
OANT_RS05750,BAB_RS24485,95.364,302,14,0,1,302,1,302,0.0,569
OANT_RS05755,BAB_RS24480,92.609,460,33,1,1,460,1,459,0.0,844
OANT_RS05760,BAB_RS24475,83.920,398,53,3,12,402,3,396,0.0,666
OANT_RS05765,BAB_RS24470,95.968,248,10,0,1,248,1,248,6.03e-179,488
OANT_RS05770,BAB_RS24465,88.596,114,13,0,1,114,1,114,4.14e-73,209
OANT_RS05775,BAB_RS24460,88.949,371,41,0,1,371,1,371,0.0,677
OANT_RS05780,BAB_RS24455,89.757,371,38,0,1,371,1,371,0.0,669
OANT_RS05785,BAB_RS24450,94.987,1157,58,0,8,1164,1,1157,0.0,2277
OANT_RS05790,BAB_RS27040,30.631,222,148,4,9,227,5,223,5.03e-20,83.6
OANT_RS05800,BAB_RS24440,88.973,263,29,0,1,263,1,263,8.80e-175,479
OANT_RS05805,BAB_RS24435,96.667,420,14,0,1,420,1,420,0.0,835
OANT_RS05820,BAB_RS24430,87.829,304,37,0,1,304,1,304,0.0,507
OANT_RS05825,BAB_RS24425,86.066,244,34,0,1,244,8,251,1.13e-161,444
OANT_RS05830,BAB_RS24420,96.610,59,2,0,1,59,1,59,3.32e-38,117
OANT_RS05835,BAB_RS24415,87.413,143,18,0,1,143,1,143,3.20e-78,225
OANT_RS05840,BAB_RS24410,90.863,394,36,0,1,394,1,394,0.0,731
OANT_RS05845,BAB_RS24405,91.288,1033,79,6,1,1027,1,1028,0.0,1816
OANT_RS05850,BAB_RS24400,81.890,127,17,1,1,127,10,130,2.15e-71,206
OANT_RS05855,BAB_RS24395,96.429,112,4,0,1,112,1,112,2.84e-77,220
OANT_RS05860,BAB_RS24390,97.409,193,3,1,1,193,1,191,1.18e-135,374
OANT_RS05865,BAB_RS24670,30.357,280,176,6,3,270,2,274,1.02e-30,113
OANT_RS05870,BAB_RS28570,34.921,252,155,4,1,247,1,248,6.65e-43,142
OANT_RS05875,BAB_RS24380,93.248,311,21,0,1,311,1,311,0.0,576
OANT_RS05880,BAB_RS24375,77.130,223,51,0,3,225,2,224,1.14e-132,370
OANT_RS05885,BAB_RS24370,91.075,493,44,0,1,493,1,493,0.0,928
OANT_RS05890,BAB_RS24365,77.966,236,52,0,5,240,5,240,5.41e-132,369
OANT_RS05895,BAB_RS24360,82.560,539,92,1,1,537,1,539,0.0,811
OANT_RS05900,BAB_RS24355,86.527,334,45,0,1,334,1,334,0.0,592
OANT_RS05905,BAB_RS24350,88.073,218,26,0,1,218,1,218,6.25e-144,397
OANT_RS05910,BAB_RS24345,93.333,30,2,0,1,30,1,30,1.37e-14,60.1
OANT_RS05915,BAB_RS24340,92.699,589,43,0,1,589,1,589,0.0,1105
OANT_RS05920,BAB_RS27205,31.852,135,76,4,25,158,22,141,4.19e-10,56.2
OANT_RS06000,BAB_RS24335,57.831,83,35,0,2,84,3,85,1.92e-21,77.0
OANT_RS06005,BAB_RS24330,79.554,269,55,0,1,269,1,269,5.05e-154,427
OANT_RS06010,BAB_RS24325,95.862,145,6,0,1,145,9,153,3.33e-104,291
OANT_RS06015,BAB_RS24320,97.490,478,12,0,1,478,1,478,0.0,933
OANT_RS06020,BAB_RS24315,80.000,230,45,1,1,230,1,229,1.24e-135,377
OANT_RS06025,BAB_RS24310,95.122,41,2,0,1,41,1,41,2.86e-24,80.9
OANT_RS06030,BAB_RS24305,88.547,358,41,0,7,364,3,360,0.0,618
OANT_RS06035,BAB_RS24300,96.296,162,6,0,3,164,1,162,5.64e-111,309
OANT_RS06040,BAB_RS24295,97.015,67,2,0,1,67,1,67,1.89e-42,128
OANT_RS06045,BAB_RS24290,89.831,59,6,0,1,59,1,59,3.17e-34,107
OANT_RS06050,BAB_RS24285,92.202,218,17,0,195,412,2,219,8.36e-144,405
OANT_RS06055,BAB_RS24275,82.540,63,11,0,1,63,1,63,1.23e-31,101
OANT_RS06060,BAB_RS24270,90.120,334,33,0,1,334,1,334,0.0,621
OANT_RS06065,BAB_RS24265,94.323,229,13,0,1,229,1,229,1.18e-164,450
OANT_RS06075,BAB_RS32980,53.139,653,285,7,19,654,792,1440,0.0,624
OANT_RS06085,BAB_RS17690,72.674,172,45,2,2,172,3,173,1.71e-88,253
OANT_RS06090,BAB_RS24255,96.567,233,8,0,1,233,1,233,3.09e-165,452
OANT_RS06095,BAB_RS24250,86.885,61,8,0,1,61,1,61,2.72e-29,95.1
OANT_RS06100,BAB_RS25640,37.903,248,145,5,5,249,2,243,3.12e-42,142
OANT_RS06105,BAB_RS24245,90.252,636,62,0,1,636,1,636,0.0,1193
OANT_RS06120,BAB_RS24235,92.768,401,24,1,1,401,1,396,0.0,739
OANT_RS06130,BAB_RS24230,97.015,335,10,0,1,335,1,335,0.0,666
OANT_RS06135,BAB_RS24225,92.760,663,48,0,1,663,1,663,0.0,1268
OANT_RS06140,BAB_RS24220,95.556,90,4,0,1,90,1,90,5.77e-55,162
OANT_RS06145,BAB_RS24215,91.667,120,10,0,1,120,1,120,1.18e-79,226
OANT_RS06155,BAB_RS24210,83.696,184,30,0,11,194,11,194,2.21e-111,313
OANT_RS06160,BAB_RS24205,93.796,274,17,0,1,274,1,274,0.0,532
OANT_RS06165,BAB_RS24200,90.688,247,23,0,1,247,1,247,5.46e-158,435
OANT_RS06170,BAB_RS24195,72.857,140,38,0,1,140,1,140,6.58e-73,211
OANT_RS06175,BAB_RS24190,79.581,191,39,0,1,191,1,191,7.33e-107,301
OANT_RS06180,BAB_RS24185,91.667,228,12,1,6,226,3,230,1.70e-149,412
OANT_RS06185,BAB_RS24180,95.565,248,11,0,1,248,1,248,1.57e-178,487
OANT_RS06190,BAB_RS24175,100.000,73,0,0,1,73,1,73,1.01e-51,152
OANT_RS06195,BAB_RS24170,84.478,670,65,2,1,631,1,670,0.0,1057
OANT_RS06200,BAB_RS24165,94.169,343,20,0,1,343,1,343,0.0,652
OANT_RS06205,BAB_RS24160,90.598,351,29,2,1,349,1,349,0.0,549
OANT_RS06210,BAB_RS24155,93.536,263,17,0,1,263,1,263,0.0,508
OANT_RS06215,BAB_RS24150,96.774,186,6,0,1,186,1,186,1.89e-133,368
OANT_RS06220,BAB_RS24145,80.571,350,66,1,1,348,1,350,0.0,542
OANT_RS06225,BAB_RS24140,88.688,221,25,0,1,221,1,221,9.79e-136,377
OANT_RS06230,BAB_RS24135,90.513,390,35,2,18,407,13,400,0.0,679
OANT_RS06235,BAB_RS24130,89.759,166,17,0,1,166,1,166,1.14e-107,301
OANT_RS06240,BAB_RS24125,97.093,172,5,0,1,172,1,172,4.33e-116,323
OANT_RS06245,BAB_RS24120,97.073,205,6,0,1,205,1,205,6.44e-143,393
OANT_RS06250,BAB_RS24115,98.266,346,6,0,1,346,1,346,0.0,673
OANT_RS06255,BAB_RS24110,88.235,153,14,1,1,153,1,149,6.51e-100,280
OANT_RS06260,BAB_RS24105,97.872,235,5,0,1,235,1,235,1.33e-166,456
OANT_RS06265,BAB_RS24100,98.667,150,2,0,1,150,1,150,4.47e-107,298
OANT_RS06270,BAB_RS24095,89.607,356,37,0,1,356,1,356,0.0,509
OANT_RS06275,BAB_RS24090,97.968,443,9,0,1,443,1,443,0.0,891
OANT_RS06280,BAB_RS24085,98.802,167,2,0,1,167,1,167,2.73e-123,341
OANT_RS06285,BAB_RS24075,78.824,510,81,8,1,505,1,488,0.0,727
OANT_RS06290,BAB_RS24070,71.053,456,124,2,1,456,1,448,0.0,610
OANT_RS06295,BAB_RS24065,97.196,642,18,0,1,642,1,642,0.0,1278
OANT_RS06300,BAB_RS24060,94.582,443,24,0,1,443,9,451,0.0,865
OANT_RS06305,BAB_RS24055,69.928,276,77,3,5,279,4,274,4.88e-136,382
OANT_RS06310,BAB_RS27875,33.214,280,122,9,9,226,5,281,1.99e-31,113
OANT_RS06315,BAB_RS24050,92.767,318,23,0,1,318,1,318,0.0,555
OANT_RS06320,BAB_RS24045,94.517,383,21,0,1,383,1,383,0.0,740
OANT_RS06325,BAB_RS24040,96.248,533,20,0,1,533,1,533,0.0,1046
OANT_RS06330,BAB_RS24035,95.266,169,8,0,1,169,1,169,1.79e-121,336
OANT_RS06335,BAB_RS24030,97.203,429,12,0,1,429,1,429,0.0,845
OANT_RS06340,BAB_RS24025,71.843,483,114,8,1,479,1,465,0.0,646
OANT_RS06345,BAB_RS25435,43.137,153,85,2,43,194,20,171,4.54e-39,129
OANT_RS06350,BAB_RS22325,29.730,222,150,3,100,318,105,323,2.39e-24,97.8
OANT_RS06360,BAB_RS23885,95.050,303,15,0,1,303,1,303,0.0,571
OANT_RS06365,BAB_RS23890,92.814,334,24,0,1,334,14,347,0.0,641
OANT_RS06370,BAB_RS23895,87.421,159,19,1,1,159,1,158,4.08e-97,274
OANT_RS06375,BAB_RS23900,100.000,25,0,0,1,25,1,25,1.32e-11,48.1
OANT_RS06395,BAB_RS23905,90.780,141,13,0,1,141,1,141,1.35e-93,263
OANT_RS06400,BAB_RS23910,82.143,336,59,1,1,336,1,335,0.0,551
OANT_RS06410,BAB_RS23920,89.394,264,28,0,1,264,1,264,3.00e-176,483
OANT_RS06415,BAB_RS23925,80.000,75,15,0,1,75,1,75,1.39e-42,129
OANT_RS06420,BAB_RS23930,91.579,190,16,0,1,190,1,190,5.48e-130,359
OANT_RS06425,BAB_RS23935,75.855,468,105,1,1,460,1,468,0.0,712
OANT_RS06430,BAB_RS23940,73.759,141,37,0,1,141,1,141,8.98e-57,171
OANT_RS06435,BAB_RS23945,82.906,117,20,0,1,117,1,117,1.87e-60,178
OANT_RS06440,BAB_RS23950,75.704,284,65,1,1,284,1,280,4.58e-159,441
OANT_RS06445,BAB_RS23960,93.496,246,16,0,105,350,74,319,1.28e-163,456
OANT_RS06450,BAB_RS23965,93.706,143,9,0,1,143,1,143,3.44e-83,239
OANT_RS06455,BAB_RS23970,60.923,325,85,3,1,325,1,283,1.61e-99,291
OANT_RS06465,BAB_RS23985,87.399,373,47,0,14,386,9,381,0.0,630
OANT_RS06470,BAB_RS23990,80.000,415,76,3,1,415,1,408,0.0,655
OANT_RS06490,BAB_RS23995,92.357,157,12,0,1,157,1,157,7.16e-107,298
OANT_RS06495,BAB_RS24000,83.117,154,26,0,1,154,1,154,2.02e-93,264
OANT_RS06500,BAB_RS24005,92.958,71,5,0,1,71,1,71,3.02e-45,136
OANT_RS06505,BAB_RS24010,90.189,265,26,0,1,265,1,265,0.0,506
OANT_RS06510,BAB_RS24015,94.190,327,19,0,1,327,1,327,0.0,635
OANT_RS06515,BAB_RS24020,96.875,448,14,0,1,448,1,448,0.0,864
OANT_RS06520,BAB_RS23880,90.854,164,15,0,1,164,1,164,2.10e-112,313
OANT_RS06525,BAB_RS23875,93.931,725,44,0,1,725,1,725,0.0,1425
OANT_RS06530,BAB_RS23870,87.285,291,37,0,1,291,1,291,0.0,526
OANT_RS06535,BAB_RS23865,92.056,214,17,0,1,214,1,214,2.50e-141,390
OANT_RS06540,BAB_RS23860,94.211,190,11,0,1,190,1,190,6.88e-139,382
OANT_RS06545,BAB_RS23855,80.117,171,33,1,4,174,3,172,2.65e-101,285
OANT_RS06550,BAB_RS23850,93.333,195,13,0,1,195,1,195,5.11e-129,357
OANT_RS06555,BAB_RS23845,95.445,483,22,0,1,483,1,483,0.0,909
OANT_RS06560,BAB_RS23840,82.156,269,48,0,3,271,5,273,5.27e-165,455
OANT_RS06565,BAB_RS23835,75.097,514,95,6,1,497,1,498,0.0,654
OANT_RS06570,BAB_RS31460,100.000,25,0,0,1,25,1,25,4.46e-11,46.6
OANT_RS06575,BAB_RS31455,96.000,25,1,0,1,25,1,25,1.50e-12,50.4
OANT_RS06580,BAB_RS31445,85.075,67,9,1,1,67,1,66,6.35e-25,108
OANT_RS06585,BAB_RS31440,92.105,38,3,0,1,38,1,38,2.68e-18,65.9
OANT_RS06590,BAB_RS31435,100.000,25,0,0,1,25,1,25,7.21e-12,48.5
OANT_RS06595,BAB_RS16195,35.294,289,186,1,8,295,6,294,7.59e-58,185
OANT_RS06610,BAB_RS27995,96.000,25,1,0,1,25,1,25,2.66e-11,47.4
OANT_RS06615,BAB_RS30945,87.965,457,55,0,1,457,1,457,0.0,772
OANT_RS06620,BAB_RS32330,35.172,145,89,2,7,147,34,177,7.24e-12,63.2
OANT_RS06625,BAB_RS27305,40.777,103,61,0,2,104,10,112,1.04e-20,79.7
OANT_RS06635,BAB_RS28630,35.985,264,161,2,1,260,1,260,5.83e-46,154
OANT_RS06640,BAB_RS30940,94.248,226,13,0,1,226,1,226,1.33e-151,417
OANT_RS06645,BAB_RS30935,93.661,489,29,1,2,490,9,495,0.0,928
OANT_RS06650,BAB_RS30930,96.429,252,9,0,1,252,1,252,5.18e-178,486
OANT_RS06655,BAB_RS30925,95.325,492,23,0,1,492,1,492,0.0,937
OANT_RS06660,BAB_RS30920,97.792,317,7,0,1,317,1,317,0.0,596
OANT_RS06665,BAB_RS30915,94.056,286,17,0,1,286,1,286,0.0,545
OANT_RS06670,BAB_RS30910,91.964,336,27,0,1,336,1,336,0.0,619
OANT_RS06675,BAB_RS30905,92.908,282,20,0,1,282,1,282,0.0,527
OANT_RS06680,BAB_RS33475,92.258,155,12,0,118,272,1,155,2.69e-84,259
OANT_RS06685,BAB_RS30890,90.060,332,33,0,1,332,1,332,0.0,616
OANT_RS06690,BAB_RS30885,85.511,352,51,0,1,352,1,352,0.0,637
OANT_RS06695,BAB_RS18020,31.900,279,181,6,98,372,107,380,1.15e-29,114
OANT_RS06700,BAB_RS27465,77.295,414,93,1,11,424,2,414,0.0,653
OANT_RS06705,BAB_RS27470,83.500,200,33,0,1,200,1,200,8.71e-125,347
OANT_RS06745,BAB_RS21210,30.476,210,115,7,3,205,17,202,9.17e-18,74.7
OANT_RS06760,BAB_RS31205,100.000,30,0,0,1,30,1,30,1.25e-17,63.5
OANT_RS06765,BAB_RS31200,85.047,107,16,0,1,107,1,107,1.37e-64,187
OANT_RS06770,BAB_RS31195,86.239,218,30,0,1,218,1,218,3.49e-147,405
OANT_RS06780,BAB_RS31190,83.824,68,11,0,1,68,1,68,3.38e-38,118
OANT_RS06785,BAB_RS20145,33.621,116,77,0,57,172,117,232,1.49e-16,71.2
OANT_RS06790,BAB_RS31185,94.231,208,12,0,2,209,1,208,7.53e-146,401
OANT_RS06795,BAB_RS31180,92.937,269,13,1,1,263,1,269,0.0,516
OANT_RS06800,BAB_RS31175,91.461,527,45,0,1,527,1,527,0.0,986
OANT_RS06805,BAB_RS31170,93.781,402,25,0,1,402,4,405,0.0,731
OANT_RS06815,BAB_RS31165,96.756,524,17,0,1,524,1,524,0.0,1051
OANT_RS06820,BAB_RS31160,92.391,92,7,0,96,187,1,92,4.84e-54,164
OANT_RS06825,BAB_RS31150,93.210,486,33,0,1,486,1,486,0.0,922
OANT_RS06830,BAB_RS31145,90.845,284,26,0,1,284,1,284,0.0,524
OANT_RS06835,BAB_RS31140,84.934,458,69,0,8,465,13,470,0.0,814
OANT_RS06840,BAB_RS31135,81.172,239,45,0,1,239,1,239,5.20e-142,394
OANT_RS06850,BAB_RS31125,71.498,207,59,0,1,207,1,207,1.36e-113,319
OANT_RS06855,BAB_RS31115,100.000,29,0,0,1,29,1,29,7.27e-16,58.9
OANT_RS06860,BAB_RS31110,95.631,206,9,0,1,206,1,206,3.69e-149,409
OANT_RS06865,BAB_RS31105,92.446,278,19,1,1,276,1,278,0.0,508
OANT_RS06870,BAB_RS31100,92.118,609,48,0,1,609,1,609,0.0,1145
OANT_RS06875,BAB_RS31095,88.955,335,37,0,11,345,8,342,0.0,613
OANT_RS06880,BAB_RS31090,92.000,125,10,0,1,125,1,125,5.15e-84,238
OANT_RS06885,BAB_RS31085,91.118,304,27,0,7,310,11,314,0.0,580
OANT_RS06890,BAB_RS22700,31.600,250,156,5,19,261,15,256,8.53e-24,98.6
OANT_RS06895,BAB_RS31080,82.986,288,49,0,1,288,1,288,0.0,508
OANT_RS06900,BAB_RS31075,82.234,394,53,1,1,377,1,394,0.0,676
OANT_RS06905,BAB_RS31070,98.261,230,4,0,1,230,1,230,8.00e-168,458
OANT_RS06910,BAB_RS31065,92.164,268,21,0,1,268,1,268,0.0,497
OANT_RS06915,BAB_RS31060,89.634,328,34,0,1,328,1,328,0.0,604
OANT_RS06920,BAB_RS31055,96.678,602,20,0,1,602,1,602,0.0,1199
OANT_RS06930,BAB_RS31040,90.099,101,10,0,1,101,1,101,5.43e-67,193
OANT_RS06935,BAB_RS31035,94.621,409,20,1,1,409,1,407,0.0,766
OANT_RS06940,BAB_RS31030,89.143,175,19,0,1,175,1,175,1.12e-115,322
OANT_RS06945,BAB_RS31025,95.425,306,14,0,1,306,1,306,0.0,597
OANT_RS06950,BAB_RS31020,94.422,251,14,0,1,251,1,251,0.0,498
OANT_RS06955,BAB_RS29520,46.383,235,125,1,5,239,5,238,7.69e-67,206
OANT_RS06960,BAB_RS27715,30.686,277,185,1,3,272,5,281,1.38e-40,139
OANT_RS06965,BAB_RS31015,83.085,201,34,0,1,201,1,201,5.68e-123,343
OANT_RS06970,BAB_RS31010,91.392,395,34,0,1,395,1,395,0.0,753
OANT_RS06980,BAB_RS26110,42.857,175,96,3,2,173,21,194,1.18e-46,149
OANT_RS06985,BAB_RS17930,89.744,78,5,2,1,78,1,75,9.41e-34,107
OANT_RS06990,BAB_RS17925,77.108,83,14,2,1,83,1,78,3.65e-37,116
OANT_RS06995,BAB_RS31000,97.183,284,8,0,1,284,1,284,0.0,570
OANT_RS07000,BAB_RS30995,96.377,276,10,0,4,279,1,276,0.0,558
OANT_RS07010,BAB_RS30990,91.453,234,20,0,1,234,1,234,2.78e-163,447
OANT_RS07015,BAB_RS30985,97.973,296,6,0,1,296,1,296,0.0,589
OANT_RS07025,BAB_RS30980,94.275,262,15,0,5,266,5,266,3.87e-172,473
OANT_RS07030,BAB_RS30975,85.246,610,87,1,1,607,1,610,0.0,1083
OANT_RS07035,BAB_RS30970,87.591,137,17,0,5,141,5,141,2.52e-84,240
OANT_RS07040,BAB_RS30965,95.455,44,2,0,1,44,1,44,3.67e-24,80.9
OANT_RS07050,BAB_RS33490,92.105,114,9,0,1,114,1,114,2.52e-75,215
OANT_RS07055,BAB_RS30955,79.279,333,69,0,1,333,1,333,0.0,554
OANT_RS07060,BAB_RS27530,84.091,220,35,0,1,220,1,220,1.45e-137,381
OANT_RS07065,BAB_RS27535,89.342,319,34,0,1,319,1,319,0.0,601
OANT_RS07070,BAB_RS27540,80.952,294,54,2,1,292,1,294,1.67e-174,481
OANT_RS07085,BAB_RS27545,87.346,324,41,0,1,324,1,324,0.0,590
OANT_RS07090,BAB_RS27550,93.011,372,21,1,21,392,13,379,0.0,641
OANT_RS07095,BAB_RS27555,90.234,256,25,0,1,256,1,256,4.44e-176,481
OANT_RS07105,BAB_RS27570,97.633,338,8,0,1,338,1,338,0.0,671
OANT_RS07110,BAB_RS27575,80.938,320,61,0,1,320,1,320,0.0,527
OANT_RS07115,BAB_RS27580,88.142,253,30,0,1,253,5,257,7.85e-169,463
OANT_RS07120,BAB_RS27585,90.763,249,23,0,1,249,1,249,6.48e-173,473
OANT_RS07125,BAB_RS27590,80.272,588,116,0,1,588,1,588,0.0,1020
OANT_RS07130,BAB_RS27600,75.062,405,101,0,1,405,1,405,0.0,649
OANT_RS07135,BAB_RS27605,92.308,247,19,0,1,247,1,247,5.80e-174,475
OANT_RS07140,BAB_RS27610,90.411,73,7,0,1,73,1,73,1.05e-34,109
OANT_RS07145,BAB_RS27615,94.241,382,22,0,1,382,1,382,0.0,714
OANT_RS07150,BAB_RS27620,98.561,139,2,0,1,139,1,139,9.07e-97,271
OANT_RS07155,BAB_RS27625,97.639,466,11,0,1,466,1,466,0.0,902
OANT_RS07160,BAB_RS27630,90.596,436,41,0,1,436,1,436,0.0,823
OANT_RS07165,BAB_RS27635,82.511,223,39,0,1,223,1,223,4.95e-144,398
OANT_RS07170,BAB_RS27640,94.937,158,8,0,1,158,1,158,3.47e-106,296
OANT_RS07175,BAB_RS27645,85.284,299,44,0,100,398,1,299,0.0,540
OANT_RS07180,BAB_RS27655,98.667,75,1,0,1,75,1,75,1.09e-47,142
OANT_RS07185,BAB_RS27660,87.162,296,26,2,1,285,1,295,0.0,500
OANT_RS07190,BAB_RS27665,84.444,135,21,0,1,135,1,135,1.06e-82,235
OANT_RS07195,BAB_RS27670,97.285,221,6,0,1,221,1,221,1.27e-154,424
OANT_RS07200,BAB_RS27675,89.773,352,36,0,1,352,1,352,0.0,635
OANT_RS07205,BAB_RS27680,92.419,277,21,0,1,277,1,277,0.0,523
OANT_RS07210,BAB_RS27685,93.609,532,34,0,1,532,1,532,0.0,1041
OANT_RS07215,BAB_RS27690,91.185,329,27,1,1,329,1,327,0.0,595
OANT_RS07220,BAB_RS27695,97.288,295,8,0,1,295,1,295,0.0,548
OANT_RS07225,BAB_RS27700,93.361,241,14,1,1,239,1,241,5.34e-164,449
OANT_RS07230,BAB_RS27705,94.253,261,15,0,4,264,11,271,0.0,496
