Abortus2308,Melitensis16M,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BAB_RS18020,BME_RS07585,0,732,99.449,0,732,99.449
BAB_RS18025,BME_RS07580,0,857,99.532,0,857,99.532
BAB_RS18030,BME_RS07575,0,662,99.7,0,662,99.7
BAB_RS18035,BME_RS07570,8.96e-153,418,100,8.91e-153,418,100
BAB_RS18040,BME_RS16575,4.38e-33,110,100,5.71e-33,110,100
BAB_RS18045,BME_RS07560,0,615,99.681,0,615,99.681
BAB_RS18050,BME_RS07555,0,553,100,0,553,100
BAB_RS18055,BME_RS07550,4.43e-148,405,99.49,4.41e-148,405,99.49
BAB_RS18060,BME_RS07545,5.28e-47,140,100,5.25e-47,140,100
BAB_RS18070,BME_RS07535,1.47e-46,139,100,1.47e-46,139,100
BAB_RS18075,BME_RS07530,3.38e-166,454,99.115,3.34e-166,454,99.115
BAB_RS18080,BME_RS07525,1.29e-56,166,100,1.28e-56,166,100
BAB_RS18085,BME_RS07520,0,744,100,0,744,100
BAB_RS18090,BME_RS07515,0,755,99.73,0,755,99.73
BAB_RS18095,BME_RS07510,0,644,99.684,0,644,99.684
BAB_RS18100,BME_RS07505,1.07e-57,168,100,1.07e-57,168,100
BAB_RS18105,BME_RS07500,1.14e-122,339,100,1.13e-122,339,100
BAB_RS18110,BME_RS07495,6.87e-53,156,98.837,6.83e-53,156,98.837
BAB_RS18115,BME_RS07490,1.01e-122,340,99.454,1.01e-122,340,99.454
BAB_RS18120,BME_RS07485,0,630,99.048,0,630,99.048
BAB_RS18125,BME_RS07480,0,1291,99.378,0,1291,99.378
BAB_RS18130,BME_RS07475,0,507,99.605,0,507,99.605
BAB_RS18135,BME_RS07470,0,832,99.036,0,832,99.036
BAB_RS18140,BME_RS07465,1.01e-147,405,99,1e-147,405,99
BAB_RS18145,BME_RS07460,5e-85,240,100,4.97e-85,240,100
BAB_RS18150,BME_RS07455,0,803,100,0,803,100
BAB_RS18155,BME_RS07450,0,1274,99.522,0,1274,99.522
BAB_RS18160,BME_RS07445,0,510,99.602,0,510,99.602
BAB_RS18165,BME_RS07440,0,551,99.64,0,551,99.64
BAB_RS18170,BME_RS07435,0,501,100,0,501,100
BAB_RS18175,BME_RS07430,0,1019,100,0,1019,100
BAB_RS18180,BME_RS07425,2.62e-136,375,100,2.6e-136,375,100
BAB_RS18185,BME_RS07420,0,937,99.358,0,937,99.358
BAB_RS18190,BME_RS07415,0,1025,100,0,1025,100
BAB_RS18195,BME_RS07410,0,890,99.765,0,890,99.765
BAB_RS18200,BME_RS07405,1.88e-137,378,99.471,1.87e-137,378,99.471
BAB_RS18205,BME_RS07400,0,606,97.833,0,606,97.833
BAB_RS18210,BME_RS07395,5.26e-57,166,100,5.23e-57,166,100
BAB_RS18215,BME_RS07390,5.44e-106,295,99.324,5.41e-106,295,99.324
BAB_RS18220,BME_RS07385,0,619,99.363,0,619,99.363
BAB_RS18225,BME_RS07380,0,497,100,0,497,100
BAB_RS18230,BME_RS07375,5.45e-50,148,100,5.42e-50,148,100
BAB_RS18235,BME_RS07370,0,848,100,0,848,100
BAB_RS18240,BME_RS07365,0,840,100,0,840,100
BAB_RS18245,BME_RS07360,0,558,99.645,0,558,99.645
BAB_RS18250,BME_RS07355,3.07e-164,448,100,3.06e-164,448,100
BAB_RS18255,BME_RS07350,0,957,99.362,0,957,99.362
BAB_RS18260,BME_RS07345,1.48e-153,421,100,1.47e-153,421,100
BAB_RS18265,BME_RS07340,0,599,99.661,0,599,99.661
BAB_RS18270,BME_RS07335,0,1097,99.457,0,1097,99.457
BAB_RS18275,BME_RS07330,0,603,99.032,0,603,99.032
BAB_RS18280,BME_RS07320,4.69e-91,262,99.206,4.71e-91,262,99.206
BAB_RS18290,BME_RS07315,0,587,100,0,587,100
BAB_RS18295,BME_RS07310,2.17e-49,150,94.872,2.14e-49,150,94.872
BAB_RS18300,BME_RS07305,0,499,99.197,0,499,99.197
BAB_RS18305,BME_RS07300,0,706,99.711,0,706,99.711
BAB_RS18310,BME_RS07295,0,671,99.387,0,671,99.387
BAB_RS18315,BME_RS07290,3.5e-113,314,100,3.48e-113,314,100
BAB_RS18320,BME_RS07285,1.22e-116,323,100,1.21e-116,323,100
BAB_RS18325,BME_RS07280,0,539,100,0,539,100
BAB_RS18330,BME_RS07275,3.59e-149,409,99.5,3.57e-149,409,99.5
BAB_RS18335,BME_RS07270,0,1953,99.896,0,1953,99.896
BAB_RS18340,BME_RS07265,2.32e-154,422,99.515,2.31e-154,422,99.515
BAB_RS18345,BME_RS07260,0,878,99.535,0,878,99.535
BAB_RS18350,BME_RS07255,0,955,100,0,955,100
BAB_RS18355,BME_RS07250,1.96e-143,394,99.479,1.95e-143,394,99.479
BAB_RS18360,BME_RS07245,0,1114,99.632,0,1114,99.632
BAB_RS18365,BME_RS07240,8.16e-41,124,100,8.12e-41,124,100
BAB_RS18370,BME_RS07235,4.12e-168,459,99.561,4.09e-168,459,99.561
BAB_RS18375,BME_RS07230,0,1123,100,0,1123,100
BAB_RS18380,BME_RS07225,0,779,99.469,0,779,99.469
BAB_RS18385,BME_RS07220,4.89e-154,421,100,4.86e-154,421,100
BAB_RS18390,BME_RS07215,0,731,99.721,0,731,99.721
BAB_RS18395,BME_RS07210,6.29e-123,340,98.857,6.25e-123,340,98.857
BAB_RS18400,BME_RS07205,3.32e-164,448,100,3.3e-164,448,100
BAB_RS18405,BME_RS07200,0,2243,99.74,0,2243,99.74
BAB_RS18410,BME_RS07195,0,567,100,0,567,100
BAB_RS18415,BME_RS07190,8.83e-81,229,100,8.78e-81,229,100
BAB_RS18420,BME_RS07185,0,1808,99.775,0,1808,99.775
BAB_RS18425,BME_RS07180,0,557,99.632,0,557,99.632
BAB_RS18430,BME_RS07175,2.72e-70,202,100,3.44e-70,202,100
BAB_RS18435,BME_RS07170,0,527,99.618,0,527,99.618
BAB_RS18440,BME_RS07165,0,607,99.668,0,607,99.668
BAB_RS18445,BME_RS07160,1.51e-136,377,98.995,1.5e-136,377,98.995
BAB_RS18450,BME_RS07155,2.4e-124,343,98.817,2.39e-124,343,98.817
BAB_RS18455,BME_RS07150,8.05e-86,242,100,8e-86,242,100
BAB_RS18460,BME_RS07145,0,559,100,0,559,100
BAB_RS18465,BME_RS07140,0,1257,99.518,0,1257,99.518
BAB_RS18470,BME_RS07135,0,644,100,0,644,100
BAB_RS18475,BME_RS07130,2.69e-13,52.4,100,2.67e-13,52.4,100
BAB_RS18505,BME_RS07110,0,536,100,0,536,100
BAB_RS18510,BME_RS07105,0,592,100,0,592,100
BAB_RS18515,BME_RS07100,0,504,99.603,0,504,99.603
BAB_RS18520,BME_RS07095,0,515,99.615,0,515,99.615
BAB_RS18525,BME_RS07090,0,769,100,0,769,100
BAB_RS18530,BME_RS07085,0,751,100,0,751,100
BAB_RS18560,BME_RS16500,3.91e-55,161,100,3.89e-55,161,100
BAB_RS18565,BME_RS07060,0,765,99.731,0,765,99.731
BAB_RS18580,BME_RS07045,1.39e-136,375,99.457,1.38e-136,375,99.457
BAB_RS18595,BME_RS07030,9.54e-74,210,100,9.49e-74,210,100
BAB_RS18600,BME_RS07025,0,910,99.335,0,910,99.335
BAB_RS18605,BME_RS07020,0,976,99.789,0,976,99.789
BAB_RS18610,BME_RS07015,0,813,100,0,813,100
BAB_RS18615,BME_RS07010,0,765,100,0,765,100
BAB_RS18620,BME_RS07005,0,1012,99.609,0,1012,99.609
BAB_RS18625,BME_RS07000,0,644,99.399,0,644,99.399
BAB_RS18630,BME_RS06995,0,645,100,0,645,100
BAB_RS18635,BME_RS06990,0,723,99.429,0,723,99.429
BAB_RS18640,BME_RS06985,0,729,92.821,0,729,92.821
BAB_RS18645,BME_RS06980,0,904,100,0,904,100
BAB_RS18650,BME_RS06975,0,968,98.965,0,968,98.965
BAB_RS18655,BME_RS06970,0,674,98.834,0,674,98.834
BAB_RS18660,BME_RS06965,1.01e-126,350,98.837,1.01e-126,350,98.837
BAB_RS18665,BME_RS16465,4.28e-143,392,99.471,4.26e-143,392,99.471
BAB_RS18670,BME_RS06955,0,992,100,0,992,100
BAB_RS18675,BME_RS06950,0,1125,99.454,0,1125,99.454
BAB_RS18680,BME_RS06945,3.35e-144,396,99.495,3.34e-144,396,99.495
BAB_RS18685,BME_RS06940,0,699,100,0,699,100
BAB_RS18690,BME_RS06935,1.68e-112,312,99.359,1.67e-112,312,99.359
BAB_RS18695,BME_RS06930,3.53e-93,261,100,3.52e-93,261,100
BAB_RS18700,BME_RS06925,9.41e-51,150,98.684,9.36e-51,150,98.684
BAB_RS18705,BME_RS06920,0,679,100,0,679,100
BAB_RS18725,BME_RS06905,1.71e-80,229,100,1.7e-80,229,100
BAB_RS18730,BME_RS06900,0,1014,100,0,1014,100
BAB_RS18735,BME_RS06895,3.33e-180,490,100,3.31e-180,490,100
BAB_RS18740,BME_RS06890,5.87e-57,166,100,5.83e-57,166,100
BAB_RS18745,BME_RS06885,1.06e-117,330,94.413,1.05e-117,330,94.413
BAB_RS18750,BME_RS06880,6.81e-147,403,98.995,6.77e-147,403,98.995
BAB_RS18755,BME_RS06875,2.93e-81,230,100,2.91e-81,230,100
BAB_RS18760,BME_RS06870,0,1448,99.858,0,1448,99.858
BAB_RS18765,BME_RS06865,7e-105,292,100,6.96e-105,292,100
BAB_RS18770,BME_RS06860,3.59e-73,209,100,3.57e-73,209,100
BAB_RS18775,BME_RS06855,1.21e-109,305,99.338,1.2e-109,305,99.338
BAB_RS18780,BME_RS06850,0,508,98.054,0,508,98.054
BAB_RS18785,BME_RS06845,0,869,100,0,869,100
BAB_RS18790,BME_RS06840,3.72e-104,290,100,3.7e-104,290,100
BAB_RS18795,BME_RS06835,1.11e-107,300,96.753,1.14e-107,300,96.753
BAB_RS18800,BME_RS06830,0,1230,99.836,0,1230,99.836
BAB_RS18805,BME_RS06825,0,645,100,0,645,100
BAB_RS18810,BME_RS06820,1.09e-82,234,100,1.08e-82,234,100
BAB_RS18815,BME_RS06815,0,692,97.486,0,692,97.486
BAB_RS18820,BME_RS06810,1.15e-133,368,99.444,1.14e-133,368,99.444
BAB_RS18825,BME_RS06805,2.12e-149,409,100,2.11e-149,409,100
BAB_RS18830,BME_RS06800,0,1487,100,0,1487,100
BAB_RS18835,BME_RS06795,5.21e-120,332,100,5.18e-120,332,100
BAB_RS18840,BME_RS06790,0,831,99.045,0,831,99.045
BAB_RS18845,BME_RS06785,0,803,100,0,803,100
BAB_RS18850,BME_RS06780,2.44e-86,244,99.2,2.43e-86,244,99.2
BAB_RS18880,BME_RS06775,1.09e-97,273,100,1.08e-97,273,100
BAB_RS18885,BME_RS06770,1.85e-79,225,99.115,1.84e-79,225,99.115
BAB_RS18890,BME_RS06765,1.03e-125,348,100,1.03e-125,348,100
BAB_RS18895,BME_RS06760,3.98e-153,419,100,3.96e-153,419,100
BAB_RS18910,BME_RS06750,6.12e-100,280,96.528,6.26e-100,280,96.528
BAB_RS18920,BME_RS06745,0,1840,94.422,0,1844,94.422
BAB_RS18925,BME_RS06740,1.23e-43,131,100,1.22e-43,131,100
BAB_RS18930,BME_RS06735,6.68e-66,190,100,6.64e-66,190,100
BAB_RS18935,BME_RS06730,2.4e-169,462,100,2.39e-169,462,100
BAB_RS18940,BME_RS06725,0,874,100,0,874,100
BAB_RS18945,BME_RS06720,3.18e-109,303,99.333,3.16e-109,303,99.333
BAB_RS18950,BME_RS06715,0,745,99.472,0,745,99.472
BAB_RS18955,BME_RS06710,1.6e-119,331,100,1.6e-119,331,100
BAB_RS18960,BME_RS06705,0,1303,100,0,1303,100
BAB_RS18965,BME_RS06700,2.25e-112,312,98.734,2.24e-112,312,98.734
BAB_RS18970,BME_RS06695,0,1012,99.805,0,1012,99.805
BAB_RS18975,BME_RS06690,6.43e-172,469,99.149,6.4e-172,469,99.149
BAB_RS18980,BME_RS06685,0,924,99.145,0,924,99.145
BAB_RS18985,BME_RS06680,0,1977,99.593,0,1977,99.593
BAB_RS18990,BME_RS06675,0,1447,99.858,0,1447,99.858
BAB_RS18995,BME_RS06670,0,1599,99.872,0,1599,99.872
BAB_RS19000,BME_RS06665,0,1810,99.547,0,1810,99.547
BAB_RS19005,BME_RS06660,0,631,100,0,631,100
BAB_RS19010,BME_RS06655,0,836,99.761,0,836,99.761
BAB_RS19015,BME_RS06650,0,587,100,0,587,100
BAB_RS19020,BME_RS06645,0,1157,99.822,0,1157,99.822
BAB_RS19025,BME_RS06640,0,647,99.689,0,647,99.689
BAB_RS19030,BME_RS06635,0,1036,99.6,0,1036,99.6
BAB_RS19045,BME_RS06620,1.45e-177,483,99.576,1.44e-177,483,99.576
BAB_RS19050,BME_RS06615,7.11e-82,232,100,7.07e-82,232,100
BAB_RS19055,BME_RS06610,3.48e-49,146,97.468,3.55e-49,146,97.468
BAB_RS19060,BME_RS06605,2.23e-60,175,98.824,2.21e-60,175,98.824
BAB_RS19065,BME_RS06600,0,508,99.609,0,508,99.609
BAB_RS19070,BME_RS06595,6.13e-157,430,99.537,6.1e-157,430,99.537
BAB_RS19075,BME_RS06590,1.57e-85,242,100,1.56e-85,242,100
BAB_RS19080,BME_RS06585,1.99e-127,368,100,1.98e-127,368,100
BAB_RS19085,BME_RS06580,0,635,99.351,0,635,99.351
BAB_RS19095,BME_RS06570,3.83e-16,59.7,100,3.81e-16,59.7,100
BAB_RS19100,BME_RS06565,0,726,99.448,0,726,99.448
BAB_RS19105,BME_RS06560,5.24e-159,435,100,5.21e-159,435,100
BAB_RS19110,BME_RS06555,7.91e-40,121,100,7.87e-40,121,100
BAB_RS19115,BME_RS06550,8.72e-156,427,99.541,8.68e-156,427,99.541
BAB_RS19120,BME_RS06545,0,1380,99.708,0,1380,99.708
BAB_RS19125,BME_RS06540,0,603,100,0,603,100
BAB_RS19130,BME_RS06535,7.64e-116,321,100,7.59e-116,321,100
BAB_RS19135,BME_RS06530,3.37e-169,461,100,3.35e-169,461,100
BAB_RS19140,BME_RS06525,6.12e-140,385,99.476,6.09e-140,385,99.476
BAB_RS19145,BME_RS06520,1.8e-93,263,100,1.79e-93,263,100
BAB_RS19150,BME_RS06515,0,1536,99.467,0,1536,99.467
BAB_RS19155,BME_RS06510,3.27e-140,385,100,3.25e-140,385,100
BAB_RS19160,BME_RS06505,0,498,98.406,0,498,98.406
BAB_RS19165,BME_RS06500,0,907,99.775,0,907,99.775
BAB_RS19170,BME_RS06495,0,798,99.256,0,798,99.256
BAB_RS19175,BME_RS06490,0,572,100,0,572,100
BAB_RS19180,BME_RS06485,1.78e-137,379,100,1.77e-137,379,100
BAB_RS19185,BME_RS06480,4.55e-98,274,100,4.52e-98,274,100
BAB_RS19190,BME_RS06475,0,526,100,0,526,100
BAB_RS19195,BME_RS06470,1.92e-174,475,100,1.91e-174,475,100
BAB_RS19200,BME_RS06465,0,633,99.035,0,633,99.035
BAB_RS19205,BME_RS06460,0,504,99.595,0,504,99.595
BAB_RS19210,BME_RS06455,1.09e-122,339,100,1.09e-122,339,100
BAB_RS19215,BME_RS06450,1.26e-153,421,100,1.25e-153,421,100
BAB_RS19220,BME_RS06445,0,586,99.652,0,586,99.652
BAB_RS19225,BME_RS06440,0,907,99.775,0,907,99.775
BAB_RS19230,BME_RS06435,0,510,99.606,0,510,99.606
BAB_RS19235,BME_RS06430,5.81e-61,177,100,5.78e-61,177,100
BAB_RS19240,BME_RS06425,3.64e-92,259,99.213,3.62e-92,259,99.213
BAB_RS19245,BME_RS06420,1.38e-107,299,99.32,1.37e-107,299,99.32
BAB_RS19250,BME_RS06415,0,533,100,0,533,100
BAB_RS19255,BME_RS06410,1.38e-142,392,99.51,1.37e-142,392,99.51
BAB_RS19260,BME_RS06405,2.98e-37,114,100,2.96e-37,114,100
BAB_RS19265,BME_RS06400,0,1046,99.802,0,1046,99.802
BAB_RS19270,BME_RS06395,0,1103,100,0,1103,100
BAB_RS19275,BME_RS06390,0,597,99.02,0,597,99.02
BAB_RS19280,BME_RS06385,0,1169,99.827,0,1169,99.827
BAB_RS19285,BME_RS06380,0,558,99.638,0,558,99.638
BAB_RS19290,BME_RS06375,0,678,99.708,0,678,99.708
BAB_RS19295,BME_RS06370,0,653,99.371,0,653,99.371
BAB_RS19300,BME_RS06365,0,1625,99.369,0,1625,99.369
BAB_RS19305,BME_RS06360,0,731,99.724,0,731,99.724
BAB_RS19310,BME_RS06355,0,802,99.254,0,802,99.254
BAB_RS19320,BME_RS06345,1.05e-110,307,100,1.04e-110,307,100
BAB_RS19325,BME_RS06340,2.69e-135,372,99.465,2.67e-135,372,99.465
BAB_RS19330,BME_RS06335,0,1265,99.681,0,1265,99.681
BAB_RS19335,BME_RS06330,1.55e-128,354,100,1.54e-128,354,100
BAB_RS19340,BME_RS06325,4.57e-101,282,99.286,4.54e-101,282,99.286
BAB_RS19345,BME_RS06320,0,535,99.62,0,535,99.62
BAB_RS19350,BME_RS06315,1.88e-122,338,100,1.87e-122,338,100
BAB_RS19355,BME_RS06310,1.99e-58,170,100,1.98e-58,170,100
BAB_RS19360,BME_RS06305,1.03e-140,387,100,1.03e-140,387,100
BAB_RS19365,BME_RS06300,0,1407,100,0,1407,100
BAB_RS19370,BME_RS06295,0,556,99.632,0,556,99.632
BAB_RS19375,BME_RS06290,9.1e-157,429,99.531,9.05e-157,429,99.531
BAB_RS19380,BME_RS06285,7.74e-149,408,99.497,7.7e-149,408,99.497
BAB_RS19385,BME_RS06280,8.43e-173,471,99.563,8.38e-173,471,99.563
BAB_RS19390,BME_RS06275,1.03e-113,315,98.718,1.03e-113,315,98.718
BAB_RS19395,BME_RS06270,0,587,99.655,0,587,99.655
BAB_RS19400,BME_RS06265,0,536,98.932,0,536,98.932
BAB_RS19405,BME_RS06260,0,1465,99.435,0,1465,99.435
BAB_RS19410,BME_RS06255,7.56e-125,345,100,7.52e-125,345,100
BAB_RS19415,BME_RS06250,3.5e-150,412,100,3.49e-150,412,100
BAB_RS19420,BME_RS06245,0,713,99.721,0,713,99.721
BAB_RS19425,BME_RS06240,0,754,99.738,0,754,99.738
BAB_RS19430,BME_RS06230,0,575,99.654,0,575,99.654
BAB_RS19435,BME_RS06225,0,504,100,0,504,100
BAB_RS19440,BME_RS06220,4.56e-175,477,100,4.53e-175,477,100
BAB_RS19450,BME_RS16415,0,672,98.82,0,672,98.82
BAB_RS19455,BME_RS06205,1.51e-12,50.4,100,1.5e-12,50.4,100
BAB_RS19460,BME_RS06200,2.01e-74,212,100,2e-74,212,100
BAB_RS19465,BME_RS06195,2.17e-12,50.1,100,2.15e-12,50.1,100
BAB_RS19470,BME_RS06190,1.89e-146,402,100,1.88e-146,402,100
BAB_RS19475,BME_RS06185,1.2e-152,418,100,1.2e-152,418,100
BAB_RS19480,BME_RS06180,1.95e-126,350,99.448,1.94e-126,350,99.448
BAB_RS19485,BME_RS06175,0,1042,99.413,0,1042,99.413
BAB_RS19490,BME_RS06170,0,533,100,0,533,100
BAB_RS19495,BME_RS06165,2.09e-180,491,98.77,2.07e-180,491,98.77
BAB_RS19500,BME_RS06160,0,1436,99.858,0,1436,99.858
BAB_RS19505,BME_RS06155,1.2e-119,338,98.837,6.71e-120,338,98.837
BAB_RS19510,BME_RS16395,0,570,99.639,0,570,99.639
BAB_RS19515,BME_RS06135,4.83e-46,137,100,4.81e-46,137,100
BAB_RS19520,BME_RS06130,0,883,98.851,0,883,98.851
BAB_RS19535,BME_RS06125,7.41e-136,385,99.471,1.84e-135,385,99.471
BAB_RS19540,BME_RS06120,0,598,99.315,0,598,99.315
BAB_RS19545,BME_RS06115,6.88e-82,236,100,4.05e-90,257,96.599
BAB_RS19550,BME_RS06110,1.57e-50,150,98.78,1.57e-50,150,98.78
BAB_RS19555,BME_RS16390,1.58e-43,131,100,1.58e-43,131,100
BAB_RS19560,BME_RS06105,0,804,99.743,0,804,99.743
BAB_RS19565,BME_RS06095,0,500,99.216,0,500,99.216
BAB_RS19575,BME_RS06090,0,550,100,0,550,100
BAB_RS19590,BME_RS06080,0,700,99.221,0,700,99.221
BAB_RS19595,BME_RS06075,0,560,100,0,560,100
BAB_RS19600,BME_RS06070,0,806,99.747,0,806,99.747
BAB_RS19605,BME_RS06065,1.32e-59,173,97.619,1.32e-59,173,97.619
BAB_RS19610,BME_RS06060,0,1524,100,0,1524,100
BAB_RS19615,BME_RS06055,0,1029,99.609,0,1029,99.609
BAB_RS19620,BME_RS06050,0,775,99.481,0,775,99.481
BAB_RS19625,BME_RS06045,0,1227,99.832,0,1227,99.832
BAB_RS19630,BME_RS06040,0,798,99.246,0,798,99.246
BAB_RS19635,BME_RS06035,0,1570,99.74,0,1570,99.74
BAB_RS19640,BME_RS06030,0,522,99.598,0,522,99.598
BAB_RS19645,BME_RS06025,7.15e-112,311,100,7.11e-112,311,100
BAB_RS19650,BME_RS06020,0,707,100,0,707,100
BAB_RS19655,BME_RS06015,0,714,99.713,0,714,99.713
BAB_RS19660,BME_RS06010,1.96e-103,288,100,1.95e-103,288,100
BAB_RS19665,BME_RS06005,4.51e-126,348,99.415,4.49e-126,348,99.415
BAB_RS19670,BME_RS06000,0,884,99.307,0,884,99.307
BAB_RS19675,BME_RS05995,3.13e-136,395,99.465,3.1e-136,395,99.465
BAB_RS19680,BME_RS05990,4.68e-114,317,100,4.65e-114,317,100
BAB_RS19685,BME_RS05985,0,735,99.732,0,735,99.732
BAB_RS19690,BME_RS05980,4.98e-150,411,100,4.95e-150,411,100
BAB_RS19695,BME_RS05975,1.42e-109,305,99.346,1.41e-109,305,99.346
BAB_RS19700,BME_RS05970,1.48e-124,344,99.415,1.47e-124,344,99.415
BAB_RS19705,BME_RS05965,0,1409,100,0,1409,100
BAB_RS19710,BME_RS05960,7.14e-123,340,99.405,7.1e-123,340,99.405
BAB_RS19715,BME_RS05955,5.41e-137,377,100,5.38e-137,377,100
BAB_RS19720,BME_RS05950,2.47e-133,367,99.459,2.46e-133,367,99.459
BAB_RS19725,BME_RS05945,0,701,99.711,0,701,99.711
BAB_RS19730,BME_RS05940,0,649,100,0,649,100
BAB_RS19735,BME_RS05935,4.26e-77,219,100,4.24e-77,219,100
BAB_RS19740,BME_RS05930,1.52e-131,362,100,1.51e-131,362,100
BAB_RS19745,BME_RS05925,7.09e-66,191,98.095,7.05e-66,191,98.095
BAB_RS19750,BME_RS05920,1.11e-12,50.8,100,1.1e-12,50.8,100
BAB_RS19755,BME_RS05915,0,1038,99.609,0,1038,99.609
BAB_RS19760,BME_RS05910,1.54e-47,142,98.592,1.53e-47,142,98.592
BAB_RS19765,BME_RS05905,9.71e-145,397,100,9.66e-145,397,100
BAB_RS19770,BME_RS05900,1.46e-137,379,99.474,1.45e-137,379,99.474
BAB_RS19775,BME_RS05895,3.85e-47,140,100,3.83e-47,140,100
BAB_RS19780,BME_RS05890,0,719,100,0,719,100
BAB_RS19785,BME_RS05885,0,630,99.677,0,630,99.677
BAB_RS19790,BME_RS05880,0,637,98.734,0,637,98.734
BAB_RS19795,BME_RS05875,2.3e-112,312,98.734,2.29e-112,312,98.734
BAB_RS19800,BME_RS05870,4.21e-114,316,100,4.19e-114,316,100
BAB_RS19805,BME_RS05860,4.11e-96,270,100,3.7e-96,270,100
BAB_RS19810,BME_RS05855,0,867,100,0,867,100
BAB_RS19820,BME_RS05840,3.01e-120,333,98.817,3e-120,333,98.817
BAB_RS19825,BME_RS05835,2.05e-94,265,100,2.04e-94,265,100
BAB_RS19830,BME_RS05830,3.91e-80,227,100,3.89e-80,227,100
BAB_RS19835,BME_RS05825,5.55e-98,274,100,5.52e-98,274,100
BAB_RS19840,BME_RS05820,5.49e-13,51.6,100,5.46e-13,51.6,100
BAB_RS19850,BME_RS05810,2.42e-45,135,100,2.41e-45,135,100
BAB_RS19855,BME_RS05805,1.09e-84,239,100,1.08e-84,239,100
BAB_RS19860,BME_RS05800,7.89e-145,397,99.482,7.84e-145,397,99.482
BAB_RS19865,BME_RS05795,5.26e-150,411,99.505,5.23e-150,411,99.505
BAB_RS19870,BME_RS05790,0,815,99.495,0,815,99.495
BAB_RS19875,BME_RS05785,0,493,100,0,493,100
BAB_RS19880,BME_RS05780,0,901,100,0,901,100
BAB_RS19885,BME_RS05775,0,1414,99.568,0,1414,99.568
BAB_RS19890,BME_RS05770,0,677,99.424,0,677,99.424
BAB_RS19895,BME_RS05765,1.39e-121,336,99.387,1.38e-121,336,99.387
BAB_RS19900,BME_RS05760,4.4e-145,399,100,4.37e-145,399,100
BAB_RS19905,BME_RS05755,1.37e-66,192,100,1.36e-66,192,100
BAB_RS19910,BME_RS05750,0,1322,99.546,0,1322,99.546
BAB_RS19915,BME_RS05745,0,1005,99.801,0,1005,99.801
BAB_RS19920,BME_RS05740,0,925,99.791,0,925,99.791
BAB_RS19925,BME_RS05735,0,532,99.623,0,532,99.623
BAB_RS19930,BME_RS05730,0,1114,99.821,0,1114,99.821
BAB_RS19935,BME_RS05725,7.43e-95,266,100,7.39e-95,266,100
BAB_RS19940,BME_RS05720,1.21e-60,176,98.876,1.2e-60,176,98.876
BAB_RS19945,BME_RS05715,0,910,99.321,0,910,99.321
BAB_RS19950,BME_RS05710,0,874,99.542,0,874,99.542
BAB_RS19955,BME_RS05705,1.14e-166,455,100,1.14e-166,455,100
BAB_RS19960,BME_RS05700,0,2376,99.828,0,2376,99.828
BAB_RS19965,BME_RS05695,7.6e-43,129,100,7.55e-43,129,100
BAB_RS19970,BME_RS05690,2.04e-96,270,100,2.03e-96,270,100
BAB_RS19990,BME_RS05680,5.66e-152,416,99.512,5.63e-152,416,99.512
BAB_RS19995,BME_RS05675,0,604,99.659,0,604,99.659
BAB_RS20000,BME_RS05670,0,565,100,0,565,100
BAB_RS20005,BME_RS05665,0,825,99.762,0,825,99.762
BAB_RS20010,BME_RS05660,2.83e-79,225,99.091,2.81e-79,225,99.091
BAB_RS20015,BME_RS05655,1.02e-53,157,100,1.02e-53,157,100
BAB_RS20020,BME_RS05650,0,1515,100,0,1515,100
BAB_RS20025,BME_RS05645,7.72e-98,273,100,7.68e-98,273,100
BAB_RS20030,BME_RS05640,9.32e-156,427,98.605,9.27e-156,427,98.605
BAB_RS20035,BME_RS05635,1.02e-167,457,100,1.02e-167,457,100
BAB_RS20040,BME_RS05630,1.61e-53,157,100,1.6e-53,157,100
BAB_RS20045,BME_RS05625,0,518,99.606,0,518,99.606
BAB_RS20050,BME_RS05620,6.03e-71,203,99.065,5.99e-71,203,99.065
BAB_RS20055,BME_RS05615,0,510,99.608,0,510,99.608
BAB_RS20060,BME_RS05610,3.22e-138,380,98.936,3.2e-138,380,98.936
BAB_RS20065,BME_RS05605,0,593,98.969,0,593,98.969
BAB_RS20070,BME_RS05600,0,883,99.538,0,883,99.538
BAB_RS20075,BME_RS05595,2.29e-165,452,99.556,2.27e-165,452,99.556
BAB_RS20080,BME_RS05590,0,628,99.026,0,628,99.026
BAB_RS20085,BME_RS05585,0,697,100,0,697,100
BAB_RS20090,BME_RS05580,0,853,99.529,0,853,99.529
BAB_RS20095,BME_RS05575,0,787,99.746,0,787,99.746
BAB_RS20100,BME_RS05570,3.08e-64,186,100,3.06e-64,186,100
BAB_RS20105,BME_RS05565,0,512,100,0,512,100
BAB_RS20110,BME_RS05560,0,696,99.118,0,696,99.118
BAB_RS20115,BME_RS05555,0,594,99.66,0,594,99.66
BAB_RS20120,BME_RS05550,2.72e-179,488,99.588,2.7e-179,488,99.588
BAB_RS20125,BME_RS05545,0,763,98.945,0,763,98.945
BAB_RS20130,BME_RS05540,1.32e-165,452,99.559,1.31e-165,452,99.559
BAB_RS20135,BME_RS05535,0,537,99.618,0,537,99.618
BAB_RS20140,BME_RS05530,0,695,99.706,0,695,99.706
