Abortus2308,S_meliloti,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BAB_RS18385,SMc00081,2.25e-98,282,66.5,6.87e-99,283,66.5
BAB_RS18390,SMc00452,5.67e-162,455,64.689,2.34e-167,468,64.689
BAB_RS18395,SMc00022,3.31e-39,129,42.262,1.79e-39,129,42.262
BAB_RS18400,SMc00023,2.38e-91,266,61.735,6.53e-92,267,64.481
BAB_RS18405,SMc00024,0,1294,65.712,0,1296,65.66
BAB_RS18410,SMc04167,8.32e-27,104,30.132,1.31e-22,92,30.132
BAB_RS18415,SMc04266,4.35e-34,112,53.211,2.26e-34,112,53.211
BAB_RS18420,SMc00025,0,1437,78.054,0,1423,78.032
BAB_RS18435,SMc00026,9.43e-38,132,30.952,1.87e-28,107,30.952
BAB_RS18440,SMc00087,4.61e-146,410,65.657,2.32e-146,410,65.657
BAB_RS18450,SM_b20873,6.77e-65,194,59.477,3.42e-65,194,59.477
BAB_RS18455,SM_b21285,7.29e-47,144,62.393,3.82e-47,144,62.393
BAB_RS18465,SM_b21232,2.18e-77,257,45.062,4.15e-83,272,36.63
BAB_RS18475,SMc00125,5.32e-13,52.4,100,2.67e-13,52.4,100
BAB_RS18515,SM_b20832,5.75e-34,119,34.01,2.51e-34,119,34.01
BAB_RS18525,SM_b21248,4.12e-50,170,37.405,3.11e-52,175,38.168
BAB_RS18565,SM_b21078,5.43e-19,85.1,25.562,2.95e-19,85.1,25.562
BAB_RS18580,SMc03248,1.24e-10,56.2,29.412,9.34e-11,56.2,29.412
BAB_RS18610,SMc03111,1.05e-147,421,53.906,1.28e-151,430,53.906
BAB_RS18615,SM_b21503,7.15e-12,63.5,31.034,4.35e-12,63.5,31.034
BAB_RS18620,SMa0270,1.36e-166,479,51.807,7.11e-167,479,51.807
BAB_RS18625,SM_b20719,0,516,80.062,3.76e-173,481,80.062
BAB_RS18630,SM_b20720,0,531,79.062,0,520,78.438
BAB_RS18635,SMc03162,0,628,83.143,0,628,83.143
BAB_RS18640,SMc03161,0,514,67.259,0,555,67.259
BAB_RS18645,SMc03163,0,773,83.945,0,773,83.945
BAB_RS18650,SMc03164,0,707,71.816,0,707,71.816
BAB_RS18655,SMc03165,2.65e-119,345,58.065,3.35e-125,360,58.065
BAB_RS18670,SMc00094,0,689,69.121,0,670,69.121
BAB_RS18675,SMc00093,0,633,70.163,0,632,70.163
BAB_RS18680,SMc00095,3.92e-71,212,56.989,1.6e-73,218,56.989
BAB_RS18685,SMc00035,1.72e-147,417,61.656,8.57e-148,417,61.656
BAB_RS18690,SMa0149,5.51e-32,109,45.963,2.84e-32,109,45.963
BAB_RS18705,SMc00399,3.63e-100,296,49.186,1.18e-102,301,46.847
BAB_RS18725,SMc00041,5.94e-39,125,56.489,1.57e-43,135,59.542
BAB_RS18730,SMc00100,0,694,67.308,0,674,66.73
BAB_RS18735,SMc00039,3.69e-91,266,55.187,2.11e-90,263,66.667
BAB_RS18745,SMc00103,1.9e-115,326,70.37,9.67e-116,326,70.37
BAB_RS18750,SMc00043,1.32e-127,355,84.925,6.68e-128,355,84.925
BAB_RS18760,SMc00114,0,1050,72.95,0,1050,72.95
BAB_RS18765,SMc00058,8e-54,164,61.069,4.05e-54,164,61.069
BAB_RS18785,SMc03245,1.81e-163,465,64.387,3.54e-171,484,64.72
BAB_RS18790,SMc00118,1.24e-55,168,59.701,6.16e-56,168,59.701
BAB_RS18795,SMc00456,3.34e-08,47.4,27,1.64e-08,47.4,27
BAB_RS18800,SMc00059,5.02e-80,259,44.751,7.83e-84,268,44.986
BAB_RS18805,SMc00060,1.01e-21,91.3,28.182,2.14e-22,92,28.182
BAB_RS18810,SMc00061,1.36e-24,87.8,43.119,6.88e-25,87.8,43.119
BAB_RS18815,SMc00120,1.37e-10,59.3,32.624,4.89e-11,59.7,26.756
BAB_RS18820,SMc00128,1.79e-38,127,33.526,9.03e-39,127,33.526
BAB_RS18825,SMc00457,1.56e-51,162,46.032,7.52e-52,162,46.032
BAB_RS18830,SMc00122,0,888,64.023,0,899,64.023
BAB_RS18930,SMc00065,6.98e-10,48.9,51.613,3.26e-14,58.9,51.613
BAB_RS18935,SMc00458,5.04e-138,384,81.081,2.47e-138,384,81.081
BAB_RS18940,SMc00129,2.51e-118,351,47.552,3.61e-137,398,47.836
BAB_RS18945,SMc00067,1.82e-34,115,50.758,2.91e-35,116,50.758
BAB_RS18950,SMc02361,1.92e-82,254,42.969,2.88e-84,258,42.559
BAB_RS18955,SMc02362,2.72e-50,156,58.451,1.25e-50,156,58.451
BAB_RS18960,SMc02363,0,860,68.03,0,897,68.03
BAB_RS18965,SMc02364,5.12e-55,168,65.152,9.37e-57,171,62.585
BAB_RS18970,SMc02365,0,568,60.2,0,572,60.324
BAB_RS18975,SMc02366,1.05e-121,343,75.556,5.24e-122,343,75.556
BAB_RS18980,SMc02367,1.09e-166,476,53.996,5.43e-167,476,53.996
BAB_RS18985,SMc02368,0,1043,56.218,0,1063,56.218
BAB_RS18995,SMc02369,0,689,49.595,0,678,49.595
BAB_RS19000,SMc02370,0,1066,59.977,0,1072,59.977
BAB_RS19005,SMc02371,1.74e-113,328,58.305,2.42e-109,317,58.305
BAB_RS19010,SMc02372,3.33e-128,374,47.42,1.3e-122,359,47.42
BAB_RS19015,SMc02375,1.77e-67,209,44.444,2.81e-71,218,45.614
BAB_RS19020,SMc02377,0,941,83.837,0,961,83.837
BAB_RS19030,SMc02386,0,778,73.8,0,778,73.8
BAB_RS19045,SMc02390,4.6e-126,354,71.552,2.28e-126,354,71.552
BAB_RS19050,SMc02391,5.59e-21,78.6,44.737,1.28e-24,87,44.737
BAB_RS19060,SMc02392,6.89e-16,63.9,62.687,8.28e-27,90.9,62.687
BAB_RS19065,SMc02240,1.26e-47,155,48.241,5.65e-58,180,48.241
BAB_RS19075,SMc01519,1.25e-11,55.1,42.478,1.93e-10,51.2,42.478
BAB_RS19080,SMc02393,1.51e-141,404,55.769,8.76e-143,407,55.769
BAB_RS19085,SMc02397,2.47e-143,404,67.014,1.25e-143,404,67.014
BAB_RS19100,SMc02400,9.54e-27,106,32.828,3.52e-26,103,32.323
BAB_RS19115,SMc01919,9.64e-09,51.2,40.984,5.04e-09,51.2,40.984
BAB_RS19120,SMc02403,0,697,55.452,0,707,55.452
BAB_RS19125,SMc02404,3.66e-161,447,71.429,1.84e-161,447,71.429
BAB_RS19130,SMc02405,2.74e-79,229,70.064,1.39e-79,229,70.064
BAB_RS19140,SMc02407,1.62e-115,324,83.152,8.17e-116,324,83.152
BAB_RS19145,SMc02408,5.98e-66,194,77.037,1.39e-67,197,78.102
BAB_RS19150,SMc02659,0,1077,70.628,0,1082,70.628
BAB_RS19160,SMa1141,2.73e-35,124,36.364,1.39e-35,124,36.364
BAB_RS19170,SMc00990,3.38e-171,482,64.691,0,511,64.691
BAB_RS19175,SMc00994,6.41e-84,250,50.199,3.13e-84,250,50.199
BAB_RS19180,SMc02655,1.74e-37,126,40.659,5.79e-37,124,42.767
BAB_RS19185,SMc02654,6.03e-76,219,78.788,3.14e-76,219,78.788
BAB_RS19190,SMc02653,5.24e-112,320,62.753,2.5e-112,320,62.753
BAB_RS19195,SMc02652,3.59e-93,271,60.909,1.84e-93,271,60.909
BAB_RS19200,SMc02651,6.71e-173,479,76.768,3.39e-173,479,76.768
BAB_RS19205,SMc02635,1.99e-104,301,59.916,5.67e-106,304,57.895
BAB_RS19210,SMc02561,2.76e-38,126,47.977,3.42e-38,125,47.977
BAB_RS19215,SMc02559,2.99e-88,256,64.824,1.47e-88,256,64.824
BAB_RS19220,SMc02558,4.52e-77,233,46.715,2.21e-77,233,46.715
BAB_RS19230,SMc02557,6.3e-53,169,42.387,5.83e-54,171,42.387
BAB_RS19235,SMc02556,2.03e-19,72.8,45.977,3.8e-24,84.3,45.977
BAB_RS19240,SMc02555,6.07e-26,92.8,43.119,3.8e-26,92.8,43.119
BAB_RS19245,SMc02554,1.83e-18,74.3,41.176,9.62e-19,74.3,41.176
BAB_RS19250,SMc02553,2.21e-107,309,61.832,1.28e-114,327,61.832
BAB_RS19265,SMc02551,6.48e-178,506,55.159,3e-178,506,55.159
BAB_RS19270,SMc02546,0,825,73.978,0,825,73.978
BAB_RS19275,SMc02545,7.85e-111,321,54.608,7.38e-106,308,54.608
BAB_RS19285,SMc00579,6.31e-136,382,72.364,3.15e-136,382,72.364
BAB_RS19290,SMc00580,2.61e-125,360,60.062,1.65e-137,391,60.355
BAB_RS19295,SMc00581,9.04e-86,258,44.548,4.51e-86,258,44.548
BAB_RS19300,SMc00582,0,698,47.952,0,710,47.321
BAB_RS19305,SMc00583,4.71e-143,407,55.801,2.03e-136,389,55.801
BAB_RS19310,SMc00584,2.08e-128,373,47.105,1.02e-128,373,47.105
BAB_RS19315,SMc00585,0,609,67.615,0,631,64.741
BAB_RS19320,SMc00586,1.34e-60,181,57.718,6.73e-61,181,57.718
BAB_RS19330,SMc00590,0,884,68.404,0,856,68
BAB_RS19335,SMc00593,5.17e-63,189,54.118,2.6e-63,189,54.118
BAB_RS19340,SMc00595,2.35e-94,266,93.571,1.18e-94,266,93.571
BAB_RS19350,SMc00599,5.35e-62,186,59.06,1.74e-67,199,59.06
BAB_RS19355,SMc00600,3.24e-36,115,61.905,1.65e-36,115,61.905
BAB_RS19360,SMc00601,3.25e-113,318,82.888,1.65e-106,300,82.888
BAB_RS19365,SMc00602,0,1034,77.308,0,1031,75.299
BAB_RS19370,SMc00603,2.65e-106,306,59.756,1.25e-106,306,59.756
BAB_RS19375,SMc00604,8.76e-46,148,41.395,2.21e-49,157,41.395
BAB_RS19380,SMc00605,1.2e-78,231,57.143,6.11e-79,231,57.143
BAB_RS19385,SMc00606,5.02e-59,184,45.503,5.5e-59,183,45.503
BAB_RS19390,SMc00607,8.94e-28,98.6,38.194,4.24e-28,98.6,38.194
BAB_RS19395,SMc00608,3.34e-117,336,57.143,1.67e-117,336,57.143
BAB_RS19400,SMc01807,2.48e-73,224,47.955,2.62e-76,230,47.842
BAB_RS19405,SMc00609,0,988,66.572,0,988,66.572
BAB_RS19410,SM_b21642,9.36e-32,110,38.012,9.63e-32,109,41.606
BAB_RS19415,SMc00614,6.32e-96,276,73.545,7.28e-100,285,73.545
BAB_RS19420,SMc00615,0,536,80.226,0,555,80.226
BAB_RS19425,SMc00616,8.63e-156,450,63.158,1.06e-148,431,64.957
BAB_RS19440,SMc00136,8.13e-121,340,73.077,1.18e-132,370,73.077
BAB_RS19460,SMc00287,1.07e-47,145,63.366,5.37e-48,145,63.366
BAB_RS19465,SMc00308,1.27e-08,41.2,84,6.37e-09,41.2,84
BAB_RS19545,SMa2297,4.58e-14,65.5,37.662,2.3e-11,57.8,31.304
BAB_RS19560,SMc02117,0,538,65.729,0,538,65.729
BAB_RS19565,SMc04406,1.84e-18,79.3,36.232,1.58e-23,92,36.232
BAB_RS19575,SMc02118,3.89e-147,413,70.301,2.51e-147,413,70.301
BAB_RS19595,SMc02121,8.14e-179,490,92,3.93e-179,490,92
BAB_RS19600,SMc02116,3.75e-97,293,43.734,6.17e-88,268,42.711
BAB_RS19605,SMc02115,4.84e-40,124,68.75,2.35e-40,124,68.75
BAB_RS19610,SMc00618,0,1120,76.653,0,1120,76.653
BAB_RS19615,SMc00619,0,536,57.715,0,556,57.341
BAB_RS19620,SMc00622,0,560,66.667,0,560,66.667
BAB_RS19625,SMc01756,0,1068,84.343,0,1068,84.343
BAB_RS19630,SMc01760,5.48e-45,157,28.01,6.1e-45,156,28.392
BAB_RS19635,SMc01761,0,1147,70.649,0,1126,70.649
BAB_RS19640,SMc01764,8.18e-129,362,68.675,4.27e-129,362,68.675
BAB_RS19645,SMc01765,8.9e-43,137,47.333,4.42e-43,137,47.333
BAB_RS19650,SMc01766,1.82e-161,454,68.788,1.16e-165,464,68.788
BAB_RS19655,SM_b20752,2.45e-55,182,38.372,3.12e-69,217,38.372
BAB_RS19660,SMc01767,1.67e-24,89.7,37.984,1.24e-23,86.7,37.984
BAB_RS19665,SMc01768,1.37e-80,234,73.373,1.97e-79,230,73.373
BAB_RS19670,SMc01769,0,565,67.062,0,583,67.299
BAB_RS19675,SMc01770,0,774,87.765,0,774,87.765
BAB_RS19680,SMc01771,1.17e-76,223,69.595,5.86e-77,223,69.595
BAB_RS19685,SMc01772,1.09e-125,365,51.99,5.89e-126,365,51.99
BAB_RS19690,SMc01773,8.2e-109,308,73.5,4.2e-109,308,73.5
BAB_RS19695,SMc01777,6.51e-82,236,79.167,3.27e-82,236,79.167
BAB_RS19700,SMc01778,3.27e-72,212,67.097,1.54e-72,212,67.097
BAB_RS19705,SMc01780,0,1195,86.02,0,1148,86.02
BAB_RS19710,SMc01781,4.28e-58,176,60.563,2.15e-58,176,60.563
BAB_RS19715,SMc01782,4.79e-45,144,50,1.96e-45,144,50
BAB_RS19720,SMc01783,1.64e-50,158,45.556,8.14e-51,158,45.556
BAB_RS19725,SMc01784,0,516,71.681,0,511,72.673
BAB_RS19730,SMc01785,5.24e-180,498,77.399,0,510,77.399
BAB_RS19735,SMc01786,3.87e-61,179,81.731,2.03e-61,179,81.731
BAB_RS19740,SMc01787,5.38e-71,210,60.556,1.25e-69,206,59.777
BAB_RS19745,SMc01278,1.34e-34,112,57.843,6.67e-35,112,57.843
BAB_RS19750,SMc02182,2.19e-12,50.8,100,1.1e-12,50.8,100
BAB_RS19755,SMc01792,0,605,59.02,0,622,59.02
BAB_RS19765,SMc01794,1.07e-88,256,61.658,5.29e-89,256,61.658
BAB_RS19770,SMc01795,9.45e-33,120,37.778,1.49e-32,121,37.778
BAB_RS19775,SMc01799,1.21e-14,59.3,55.172,5.23e-15,59.3,55.172
BAB_RS19780,SMc01800,1.3e-146,416,61.584,2.28e-129,372,61.584
BAB_RS19785,SMc01801,3.22e-170,472,73.052,1.62e-170,472,73.052
BAB_RS19790,SMc01802,0,516,78.233,0,516,78.233
BAB_RS19795,SMc01803,2.75e-87,249,79.114,1.36e-87,249,79.114
BAB_RS19800,SMc01804,4.58e-99,279,85.714,2.3e-99,279,85.714
BAB_RS19805,SMc01805,2.56e-58,175,61.429,2.78e-51,157,61.429
BAB_RS19810,SMc01809,0,702,78.118,0,702,78.118
BAB_RS19840,SMc01938,7.1e-12,49.3,96,3.57e-12,49.3,96
BAB_RS19855,SMc01912,1.24e-70,204,82.645,6.22e-71,204,82.645
BAB_RS19860,SMc01913,1.37e-129,359,89.894,6.83e-130,359,89.894
BAB_RS19865,SMc01914,1.82e-106,301,73.096,9.12e-107,301,73.096
BAB_RS19870,SMc01915,0,738,88.131,0,738,88.131
BAB_RS19875,SMc01917,5.4e-114,325,70.404,1.38e-113,323,70.909
BAB_RS19880,SMc01918,0,755,82.529,0,755,82.529
BAB_RS19885,SMc01920,0,1113,76.945,0,1135,76.945
BAB_RS19890,SMc01921,0,534,77.522,0,525,77.522
BAB_RS19895,SMc01922,3.81e-111,310,90.184,1.93e-111,310,90.184
BAB_RS19900,SMc01923,2.26e-107,304,75.369,6.57e-101,287,75.393
BAB_RS19905,SMc01924,1.5e-53,160,86.275,7e-54,160,86.275
BAB_RS19910,SMc01925,0,1039,77.238,0,1039,77.238
BAB_RS19915,SMc01926,0,822,80.716,0,830,81.557
BAB_RS19920,SMc01927,0,660,69.053,0,648,69.053
BAB_RS19925,SMc01928,8.6e-41,139,37.2,6e-51,164,37.2
BAB_RS19930,SMc01929,0,760,66.182,0,768,66.182
BAB_RS19935,SMc01930,8e-78,224,80.597,4.02e-78,224,80.597
BAB_RS19940,SMc01931,2.51e-25,89,55.172,1.8e-25,89,55.172
BAB_RS19945,SMc01934,0,673,72.273,0,673,72.273
BAB_RS19950,SMc01935,0,620,72.549,0,620,72.549
BAB_RS19955,SMc01376,3.05e-120,338,73.128,1.54e-120,338,73.128
BAB_RS19960,SMc01375,0,1688,72.507,0,1715,72.405
BAB_RS19990,SMc00485,2.34e-129,360,83.902,1.18e-129,360,83.902
BAB_RS19995,SMc00534,1.35e-156,437,75.09,2.94e-143,402,75.09
BAB_RS20000,SMc00535,2.65e-95,279,52.091,3.29e-91,268,51.383
BAB_RS20005,SMc00537,5.31e-153,437,62.278,1.59e-161,457,62.533
BAB_RS20010,SMc00538,7.54e-64,187,79.091,3.82e-64,187,79.091
BAB_RS20015,SMc00487,8.85e-42,128,77.922,4.45e-42,128,77.922
BAB_RS20020,SMc00488,0,1147,78.629,0,1164,78.629
BAB_RS20025,SMc00492,3.83e-46,144,57.692,1.1e-48,149,61.062
BAB_RS20030,SMc04321,6.13e-12,60.1,27.014,3.21e-12,60.1,27.014
BAB_RS20035,SMc00493,1.88e-139,387,82.511,9.46e-140,387,82.511
BAB_RS20040,SMc00494,1.55e-46,140,86.25,7.77e-47,140,86.25
BAB_RS20045,SMc00495,8.98e-173,474,88.583,4.51e-173,474,88.583
BAB_RS20050,SMc00496,2.21e-30,102,60.748,2.5e-38,121,60.748
BAB_RS20060,SMc00505,1.28e-101,288,70.109,6.27e-102,288,70.109
BAB_RS20065,SMc00115,2.77e-55,178,36.17,1.42e-55,178,36.17
BAB_RS20070,SMc00508,0,748,85.219,0,750,85.219
BAB_RS20075,SMc00511,3.35e-116,328,67.568,3.62e-113,320,69.194
BAB_RS20080,SMc04268,1.47e-128,366,58.746,3.33e-133,377,58.746
BAB_RS20085,SMc04270,0,612,85.673,0,612,85.673
BAB_RS20090,SMc04273,0,587,70.023,0,587,70.023
BAB_RS20095,SMc04275,4.42e-130,377,54.453,3.17e-117,343,54.453
BAB_RS20100,SMc04278,1.39e-57,169,90.323,7.14e-58,169,90.323
BAB_RS20110,SMc03798,1.53e-112,328,47.774,7.66e-113,328,47.774
BAB_RS20115,SMc01531,1.32e-69,216,43.537,1.32e-70,218,43.537
BAB_RS20120,SM_b20876,1.14e-67,207,46.531,6.24e-68,207,46.531
BAB_RS20125,SM_b21171,5.64e-159,449,57.143,2.83e-159,449,57.143
BAB_RS20130,SM_b21214,4.42e-81,240,54.839,2.35e-81,240,54.839
BAB_RS20135,SMc00140,3.39e-119,338,61.923,1.95e-117,333,61.923
BAB_RS20140,SMc04235,5.07e-131,375,56.125,2.69e-131,375,56.125
BAB_RS20145,SMc04217,9.2e-56,175,47.393,3.5e-59,183,47.393
BAB_RS20150,SMc04216,7.27e-18,67.4,48.214,4.16e-18,67.4,48.214
BAB_RS20155,SMc04215,3.76e-47,155,41.797,5.73e-46,151,42.802
BAB_RS20160,SMc04214,7.22e-175,486,78.869,4.49e-174,483,78.869
BAB_RS20165,SMc00131,3.42e-101,285,83.648,1.75e-101,285,83.648
BAB_RS20170,SMc04210,3.67e-82,241,55.825,1.04e-76,227,54.369
BAB_RS20175,SMc04211,1.11e-32,112,43.624,7.12e-33,112,43.624
BAB_RS20180,SMc02078,6.36e-89,262,50.575,3.21e-89,262,50.575
BAB_RS20185,SMc02077,2.43e-147,410,72.973,1.23e-147,410,72.973
BAB_RS20190,SMc03152,2.07e-100,289,66.383,8.84e-109,309,66.383
BAB_RS20195,SMc02075,2.49e-48,147,72.381,5.24e-55,163,72.381
BAB_RS20200,SMc02074,0,509,64.912,1.85e-174,489,64.912
BAB_RS20205,SMc02073,0,866,70.94,0,866,70.94
BAB_RS20210,SMc02072,1.83e-54,202,40.05,4.52e-58,213,41.25
BAB_RS20215,SMc02071,1.47e-134,384,58.209,3.31e-139,395,58.209
BAB_RS20220,SMc02070,1.28e-123,352,65.283,5.13e-117,334,64.419
BAB_RS20225,SMc02069,3.9e-86,253,65.403,6.66e-87,254,65.403
BAB_RS20230,SMc02067,3.48e-22,78.6,74.242,1.4e-22,79,74.242
BAB_RS20235,SMc02066,1.11e-29,106,47.619,2.76e-30,107,48
BAB_RS20240,SMc02065,4.96e-142,398,76.613,5.32e-139,389,71.587
BAB_RS20245,SMc02064,0,659,74.239,0,659,74.239
BAB_RS20250,SMc02063,3.6e-116,330,66.135,1.82e-116,330,66.135
BAB_RS20255,SMc02062,1.65e-49,158,40.099,7.63e-50,158,40.099
BAB_RS20265,SMc02060,3.03e-70,228,52.72,8.33e-71,229,52.72
BAB_RS20270,SMc02059,6.96e-141,396,67.491,3.54e-141,396,67.491
BAB_RS20275,SMc02058,3.35e-51,155,69.091,1.64e-51,155,69.091
BAB_RS20285,SMc02056,8.27e-56,168,66.387,1.25e-61,182,68.75
BAB_RS20290,SMc02055,1.37e-89,265,50.362,6.96e-90,265,50.362
BAB_RS20295,SMc02053,0,771,80,0,771,80
BAB_RS20300,SMc02051,3.38e-21,74.3,73.333,1.66e-21,74.3,73.333
BAB_RS20315,SMc00957,1.67e-08,41.2,70.37,8.41e-09,41.2,70.37
BAB_RS20320,SMc02050,0,630,67.64,0,607,67.64
BAB_RS20325,SMc01350,0,909,86.8,0,909,86.8
BAB_RS20330,SMc01349,2.76e-46,146,45.122,1.37e-46,146,45.122
BAB_RS20335,SMc01348,4.92e-71,207,75.758,2.42e-71,207,75.758
BAB_RS20340,SMc01347,2.36e-66,196,76.724,4.57e-69,202,70.896
BAB_RS20345,SMc01346,2.77e-81,238,60.109,1.5e-81,238,60.109
BAB_RS20350,SMc01345,0,759,83.221,0,778,83.221
BAB_RS20355,SMc01344,3.33e-61,184,65.625,9.67e-56,169,63.75
BAB_RS20360,SMc01343,1.84e-68,202,64.189,8.7e-69,202,64.189
BAB_RS20365,SMc01342,1.19e-83,248,55.399,3.53e-82,244,57.868
BAB_RS20375,SMc01340,5.57e-174,488,64.323,1.37e-174,488,64.062
BAB_RS20380,SMc01336,0,733,80.734,0,885,69.369
BAB_RS20390,SMc01335,8.5e-122,358,51.042,4.31e-122,358,51.042
BAB_RS20395,SMc01334,0,1171,68.575,0,1171,68.575
BAB_RS20400,SMc01333,0,515,74.926,0,546,74.926
BAB_RS20430,SMc00523,1.01e-74,223,64.671,3.18e-75,223,64.671
BAB_RS20435,SMc00524,2.11e-66,196,61.935,1.07e-66,196,61.935
BAB_RS20440,SMc00525,0,609,34.022,0,589,34.022
BAB_RS20445,SMc00526,0,659,77.458,0,659,77.644
BAB_RS20450,SMc00527,3.08e-157,444,64.011,1.59e-157,444,64.011
BAB_RS20455,SMc01523,5.24e-41,129,55.556,2.71e-41,129,55.556
BAB_RS20460,SMc00528,3.02e-144,399,83.556,1.52e-144,399,83.556
BAB_RS20465,SMc00529,5.45e-137,394,56.693,8.17e-144,410,56.693
BAB_RS20470,SMc00530,0,912,86.391,0,912,86.391
BAB_RS20475,SMc00531,1.99e-153,424,83.267,9.98e-154,424,83.267
BAB_RS20480,SMc00532,1.52e-155,444,53.365,7.65e-156,444,53.365
BAB_RS20485,SMc00533,0,695,79.419,0,695,79.419
BAB_RS20490,SMc00302,4e-67,197,87.037,1.82e-67,197,87.037
BAB_RS20495,SM_b20958,1.43e-18,82,27.957,6.89e-19,82,27.957
BAB_RS20505,SMc01331,2.11e-97,283,60.643,2.49e-97,282,60.643
BAB_RS20510,SMc00522,0,652,68.064,0,653,69.153
BAB_RS20515,SMc00301,2e-57,172,68.067,1.04e-57,172,68.067
BAB_RS20520,SMc02854,6.34e-16,65.9,38.095,4.65e-16,66.2,38.095
BAB_RS20525,SMa1009,6.5e-11,50.1,39.394,3.61e-11,50.1,39.394
BAB_RS20530,SMc02083,9.5e-91,263,63.47,8.15e-95,273,64.762
BAB_RS20535,SMc02082,2.21e-136,397,50.112,1.76e-134,392,50.112
BAB_RS20540,SMc02081,1.17e-27,103,57.778,4.67e-31,112,36.981
BAB_RS20545,SMc02080,0,1316,68.532,0,1255,68.532
BAB_RS20555,SMc02079,1.07e-89,272,46.646,7.13e-90,272,46.646
BAB_RS20565,SMc00133,9.67e-102,296,60.068,9.86e-106,306,59.247
BAB_RS20580,SMc00142,2.4e-13,62,63.636,1.27e-13,62,63.636
BAB_RS20585,SMc00143,1.97e-28,104,37.931,9.77e-29,104,37.931
BAB_RS20590,SMc00144,0,557,79.882,0,576,79.882
BAB_RS20595,SMc00145,4.8e-56,169,65.546,3.4e-56,169,65.546
BAB_RS20610,SMc00150,6.31e-59,207,32.308,4.15e-59,206,34.133
BAB_RS20625,SM_b21712,2.84e-10,45.4,80,1.43e-10,45.4,80
BAB_RS20630,SMc01036,4.72e-26,89.4,59.036,5.71e-16,63.2,58.824
BAB_RS20705,SMc04432,1.02e-22,82.4,48.75,5.17e-23,82.4,48.75
BAB_RS20710,SMc04431,6.11e-19,71.2,47.059,3.3e-19,71.2,47.059
BAB_RS20755,SM_b20828,4.2e-26,95.5,54.878,7.68e-27,95.5,54.878
BAB_RS20760,SMc02649,1.55e-41,131,54.783,9.49e-42,131,54.783
BAB_RS20765,SMc01187,5.75e-95,286,56.522,1.04e-94,285,58.052
BAB_RS20770,SMc01188,4.38e-131,379,51.475,1.79e-131,379,52.809
BAB_RS20775,SMc01189,4.74e-87,254,57.143,2.6e-87,254,57.143
BAB_RS20780,SMc01190,1.69e-95,285,45.758,1.07e-91,275,45.161
BAB_RS20785,SMc01192,0,769,71.937,0,769,71.937
BAB_RS20790,SMc01193,2.52e-135,379,70.155,1.25e-135,379,70.155
BAB_RS20795,SMc01194,3.21e-114,327,57.955,1.65e-114,327,57.955
BAB_RS20800,SMc03900,0,727,60.377,0,727,60.377
BAB_RS20805,SMc01275,0,529,76.829,0,529,76.829
BAB_RS20810,SM_b20716,2.01e-08,52,23.451,9.81e-09,52,23.451
BAB_RS20815,SMc01276,1.49e-74,222,54.245,7.47e-75,222,54.245
BAB_RS20820,SMc01277,8.47e-99,287,56.489,9.47e-104,299,56.489
BAB_RS20825,SMc00948,0,892,88.913,0,892,88.913
BAB_RS20830,SMc00947,1.28e-69,201,89.286,6.44e-70,201,89.286
BAB_RS20835,SMc00946,8.58e-134,394,49.072,4.52e-138,404,50
BAB_RS20845,SMc00151,2.79e-67,204,46.364,1.57e-70,212,48.341
BAB_RS20850,SMc00152,1.01e-101,292,67.826,5.06e-102,292,67.826
BAB_RS20855,SMc00153,2.04e-47,150,52.349,1.39e-47,150,52.349
BAB_RS20860,SMc00154,0,662,69.978,0,672,69.978
BAB_RS20865,SMc00155,0,761,79.955,0,739,78.821
BAB_RS20875,SMc00161,0,881,77.639,0,881,77.639
BAB_RS20890,SMc00169,0,1161,79.494,0,1170,79.627
BAB_RS20895,SMc00459,3.72e-143,405,63.609,1.87e-143,405,63.609
BAB_RS20900,SMc00174,1.13e-130,377,57.143,8.69e-137,392,57.143
BAB_RS20905,SMc00175,9.2e-130,367,75.61,9.23e-131,369,75.61
BAB_RS20910,SMc00176,2e-64,208,41.391,1.39e-64,208,41.391
BAB_RS20915,SMc00177,2.93e-51,162,45.596,1.44e-51,162,45.596
BAB_RS20920,SMc00190,1.29e-102,362,30.244,1.62e-105,370,30.575
BAB_RS20930,SMc00192,4.54e-53,159,69.811,2.26e-53,159,69.811
BAB_RS20945,SMc00194,3.84e-53,167,43.077,3.76e-53,167,45
BAB_RS20950,SMc00462,3.77e-114,327,63.603,6.4e-117,334,63.603
BAB_RS20955,SMc00463,5.74e-55,165,69.298,2.98e-55,165,69.298
BAB_RS20960,SMc00465,3.22e-64,192,57.471,1.59e-64,192,57.471
BAB_RS20965,SMc00548,1.98e-66,199,62.658,8.53e-68,201,59.412
BAB_RS20970,SMc00466,1.62e-112,329,53.372,4.19e-110,322,53.372
BAB_RS20975,SMc00467,0,639,63.636,0,642,64.242
BAB_RS20980,SMc00468,4.13e-26,95.5,37.063,2.23e-26,95.5,37.063
BAB_RS20985,SMc00469,1.38e-77,224,81.295,7.36e-78,224,81.295
BAB_RS20990,SMc00470,1.64e-14,71.2,48.958,7.24e-25,100,46.602
BAB_RS20995,SMc00471,0,1014,58.072,0,1006,58.304
BAB_RS21000,SM_b20319,5.27e-179,502,64.25,0,511,64.5
