Melitensis16M,O_anthropi,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BME_RS02160,OANT_RS08225,1.32e-159,442,83.764,2.53e-166,458,83.764
BME_RS02165,OANT_RS08230,1.91e-73,211,90.351,1.21e-73,211,90.351
BME_RS02180,OANT_RS08245,0,635,95.224,0,635,95.224
BME_RS02185,OANT_RS08250,0,525,89.073,0,525,89.073
BME_RS02190,OANT_RS08255,0,536,93.571,0,536,93.571
BME_RS02195,OANT_RS08260,0,556,96.454,0,556,96.454
BME_RS02200,OANT_RS08265,0,645,91.954,0,645,91.954
BME_RS02205,OANT_RS08270,1.14e-166,460,89.928,9.51e-173,475,89.928
BME_RS02210,OANT_RS08275,0,603,90.683,0,603,90.683
BME_RS02215,OANT_RS08280,0,716,85.819,0,721,86.7
BME_RS02220,OANT_RS08285,0,542,83.489,0,542,83.489
BME_RS02225,OANT_RS08300,1.1e-33,128,95.455,9.77e-34,127,95.455
BME_RS02230,OANT_RS08305,4.37e-33,108,73.239,4.97e-33,108,73.239
BME_RS02235,OANT_RS08310,1.32e-109,305,98.039,8.4e-110,305,98.039
BME_RS02245,OANT_RS08315,0,1414,93.57,0,1430,93.57
BME_RS02250,OANT_RS08320,0,548,93.377,0,548,93.377
BME_RS02255,OANT_RS08330,0,1129,93.565,0,1129,93.565
BME_RS02260,OANT_RS08340,0,563,89,0,563,89
BME_RS02265,OANT_RS08345,8.54e-104,290,91.391,5.44e-104,290,91.391
BME_RS02270,OANT_RS08350,1.66e-136,379,88.106,1.57e-135,377,88.106
BME_RS02275,OANT_RS08355,0,596,86.462,0,596,86.462
BME_RS02280,OANT_RS08360,4.13e-111,310,91.071,2.62e-111,310,91.071
BME_RS02285,OANT_RS08365,0,1201,90.29,0,1212,90.29
BME_RS02290,OANT_RS08370,0,1654,85.893,0,1665,85.893
BME_RS02295,OANT_RS08375,0,543,88.997,0,545,88.997
BME_RS02300,OANT_RS08380,0,654,96.119,0,654,96.119
BME_RS02305,OANT_RS08385,2.22e-140,389,86.425,1.41e-140,389,86.425
BME_RS02310,OANT_RS08390,1.16e-142,393,90.821,7.38e-143,393,90.821
BME_RS02315,OANT_RS08395,0,726,89.13,0,752,89.13
BME_RS02320,OANT_RS08400,3.51e-129,362,95.082,3.1e-129,362,95.082
BME_RS02330,OANT_RS08410,4.44e-100,282,84.663,2.82e-100,282,84.663
BME_RS02335,OANT_RS08415,0,587,91.447,0,587,91.447
BME_RS02340,OANT_RS08420,4.77e-51,152,84.444,3.17e-51,152,84.444
BME_RS02345,OANT_RS08430,0,554,81.159,0,582,81.159
BME_RS02350,OANT_RS08435,9.39e-94,266,82.581,5.97e-94,266,82.581
BME_RS02355,OANT_RS08440,0,1106,91.234,0,1088,91.234
BME_RS02360,OANT_RS08445,0,1117,88.889,0,1117,88.889
BME_RS02365,OANT_RS08450,6.55e-127,352,93.583,2.72e-127,352,93.583
BME_RS02370,OANT_RS08455,0,808,95.139,0,807,95.139
BME_RS02375,OANT_RS08460,0,515,88.814,0,515,88.814
BME_RS02380,OANT_RS08465,3.23e-118,329,94.475,1.94e-118,330,94.475
BME_RS02385,OANT_RS08470,3.31e-104,292,83.125,2.11e-104,292,83.125
BME_RS02390,OANT_RS08475,4.23e-105,295,83.851,2.61e-105,295,83.851
BME_RS02395,OANT_RS08480,0,721,96.185,0,721,96.185
BME_RS02400,OANT_RS08485,1.36e-163,450,94.215,4.75e-164,451,94.215
BME_RS02405,OANT_RS08490,6.08e-136,376,96.859,5.6e-137,379,94.258
BME_RS02410,OANT_RS08495,0,920,94.246,0,943,94.747
BME_RS02415,OANT_RS08505,0,619,98.71,0,619,98.71
BME_RS02425,OANT_RS08510,3.77e-102,290,72.35,8.3e-99,281,71.429
BME_RS02430,OANT_RS08515,0,765,94.517,0,765,94.517
BME_RS02435,OANT_RS08520,1.14e-173,476,86.792,1.03e-173,476,86.792
BME_RS02440,OANT_RS08525,0,629,84.066,0,629,84.066
BME_RS02445,OANT_RS08530,0,509,93.95,4.57e-180,494,94.834
BME_RS02450,OANT_RS08535,1.06e-52,158,93.182,1.19e-55,165,90.476
BME_RS02455,OANT_RS08540,2.2e-120,333,98.193,1.4e-120,333,98.193
BME_RS02460,OANT_RS08545,3.59e-80,228,95.652,2.28e-80,228,95.652
BME_RS02470,OANT_RS08550,0,837,94.631,0,837,94.631
BME_RS02475,OANT_RS08555,1.53e-172,471,99.574,9.75e-173,471,99.574
BME_RS02480,OANT_RS08560,8.49e-118,328,96.364,5.22e-118,328,96.364
BME_RS02490,OANT_RS08575,5.76e-46,140,91.398,1.48e-41,128,91.398
BME_RS02495,OANT_RS08580,8e-147,405,92.202,5.09e-147,405,92.202
BME_RS02500,OANT_RS08585,1.92e-43,138,61.538,8.21e-53,162,60.947
BME_RS02505,OANT_RS08590,1.67e-46,139,95.775,1.06e-46,139,95.775
BME_RS02510,OANT_RS08595,3.17e-96,279,73.239,2.03e-99,286,73.239
BME_RS02515,OANT_RS08605,0,1706,89.612,0,1724,89.612
BME_RS02520,OANT_RS08610,9.43e-93,266,83.735,2.11e-92,265,83.735
BME_RS02525,OANT_RS08615,7.63e-76,218,76.744,4.86e-76,218,76.744
BME_RS02530,OANT_RS08620,0,501,82.848,0,519,83.495
BME_RS02535,OANT_RS08625,6.17e-77,220,93.103,5.32e-68,197,93.103
BME_RS02540,OANT_RS08630,0,498,86.333,0,518,86.333
BME_RS02545,OANT_RS08635,1.36e-172,481,66.282,8.58e-173,481,66.282
BME_RS02550,OANT_RS08640,1.81e-109,305,95.541,1.15e-109,305,95.541
BME_RS02555,OANT_RS08645,0,610,85.185,0,610,85.185
BME_RS02560,OANT_RS08650,2.49e-114,318,98.718,1.58e-114,318,98.718
BME_RS02565,OANT_RS08655,0,852,90.773,0,836,90.789
BME_RS02570,OANT_RS08660,0,629,94.753,0,629,94.753
BME_RS02575,OANT_RS08665,0,608,96.678,0,608,96.678
BME_RS02590,OANT_RS08700,0,781,93,0,781,93
BME_RS02600,OANT_RS08720,6.67e-47,140,98.551,4.24e-47,140,98.551
BME_RS02605,OANT_RS08725,1.75e-77,224,73.973,1.11e-77,224,73.973
BME_RS02610,OANT_RS08730,0,1072,86.517,0,1105,86.677
BME_RS02615,OANT_RS08735,0,2301,96.813,0,2301,96.813
BME_RS02630,OANT_RS08745,0,541,91.613,0,541,91.613
BME_RS02635,OANT_RS08755,0,780,91.892,0,780,91.892
BME_RS02640,OANT_RS08760,1.96e-91,259,93.333,9.93e-89,252,93.333
BME_RS02645,OANT_RS08765,0,1056,93.202,0,1056,93.202
BME_RS02650,OANT_RS08770,0,1206,92.073,0,1221,92.988
BME_RS02655,OANT_RS08775,0,1305,96.28,0,1305,96.28
BME_RS02660,OANT_RS08780,9.48e-66,190,96.842,6.03e-66,190,96.842
BME_RS02665,OANT_RS08790,6.72e-92,260,91.837,1.71e-93,264,91.837
BME_RS02670,OANT_RS08795,7.58e-46,141,69.231,3.87e-44,136,69.231
BME_RS02675,OANT_RS08800,7.2e-156,430,84,4.6e-156,430,84
BME_RS02680,OANT_RS08805,3.44e-12,50.1,100,2.19e-12,50.1,100
BME_RS02685,OANT_RS11210,2.42e-14,66.2,32.812,2.78e-14,66.2,32.812
BME_RS02710,OANT_RS08850,2.14e-162,449,78.571,1.44e-162,449,78.571
BME_RS02715,OANT_RS08855,0,561,74.044,0,578,74.044
BME_RS02720,OANT_RS08865,1.73e-28,95.5,54.545,1.12e-28,95.5,54.545
BME_RS02725,OANT_RS08870,0,676,93.484,0,676,93.484
BME_RS02730,OANT_RS08885,1.23e-133,371,82.297,7.84e-134,371,82.297
BME_RS02735,OANT_RS08890,8.06e-45,135,95.89,5.13e-45,135,95.89
BME_RS02740,OANT_RS08895,0,692,91.398,0,714,91.398
BME_RS02745,OANT_RS08900,0,838,94.699,0,838,94.699
BME_RS02760,OANT_RS08925,3.02e-178,492,76.206,3.54e-178,491,76.206
BME_RS02770,OANT_RS08930,0,1106,98.179,0,1106,98.179
BME_RS02780,OANT_RS08945,0,832,92.135,0,832,92.135
BME_RS02785,OANT_RS08950,4.75e-71,204,94.393,3.02e-71,204,94.393
BME_RS02790,OANT_RS08955,0,641,93.255,0,641,93.255
BME_RS02795,OANT_RS08960,0,601,95.05,0,601,95.05
BME_RS02800,OANT_RS08965,0,546,91.961,0,527,91.961
BME_RS02805,OANT_RS08970,0,686,93.333,0,687,93.333
BME_RS02810,OANT_RS08975,0,496,86.643,0,516,86.643
BME_RS02815,OANT_RS08995,1.84e-39,127,57.353,1.51e-38,124,55.882
BME_RS02820,OANT_RS09000,9.21e-154,424,87.288,5.86e-154,424,87.288
BME_RS02825,OANT_RS09005,1.34e-169,466,82.463,8.55e-170,466,82.463
BME_RS02830,OANT_RS09010,2.28e-122,343,80,1.49e-122,343,80
BME_RS02835,OANT_RS09025,0,826,91.228,0,826,91.228
BME_RS02840,OANT_RS09030,0,654,94.22,0,654,94.22
BME_RS02845,OANT_RS09035,8.18e-87,246,92.481,5.05e-87,246,92.481
BME_RS02850,OANT_RS09040,0,1142,91.433,0,1142,91.433
BME_RS02855,OANT_RS09045,0,884,94.515,0,884,94.515
BME_RS02860,OANT_RS09050,0,906,92.017,0,887,92.017
BME_RS02865,OANT_RS09055,0,687,95.278,0,687,95.278
BME_RS02870,OANT_RS09060,0,856,90.578,0,829,90.578
BME_RS02875,OANT_RS09065,0,731,94.286,0,731,94.286
BME_RS02880,OANT_RS09070,0,651,87.668,0,645,87.668
BME_RS02885,OANT_RS09075,0,862,94.268,0,862,94.268
BME_RS02890,OANT_RS09080,0,587,92.812,0,587,92.812
BME_RS02895,OANT_RS09085,0,550,89.286,0,532,89.286
BME_RS02900,OANT_RS09090,0,573,90.032,0,573,90.032
BME_RS02905,OANT_RS09095,0,858,98.409,0,858,98.409
BME_RS02910,OANT_RS09100,0,815,94.275,0,827,94.275
BME_RS02915,OANT_RS09105,0,502,85.366,0,502,85.366
BME_RS02920,OANT_RS09110,0,561,93.728,0,561,93.728
BME_RS02925,OANT_RS09115,0,975,93.161,0,974,93.161
BME_RS02930,OANT_RS09120,0,1225,85.734,0,1243,85.734
BME_RS02935,OANT_RS09125,2.95e-149,412,82.051,1.88e-149,412,82.051
BME_RS02940,OANT_RS09140,0,1137,90.461,0,1120,90.461
BME_RS02945,OANT_RS09145,0,534,92.632,0,534,92.632
BME_RS02950,OANT_RS09150,5.65e-119,333,84.103,5.16e-119,332,84.103
BME_RS02955,OANT_RS09160,3.78e-137,380,87.143,2.06e-131,365,87.143
BME_RS02960,OANT_RS09165,9.02e-112,312,90.303,5.74e-112,312,90.303
BME_RS02965,OANT_RS09170,0,1635,94.22,0,1634,94.22
BME_RS02970,OANT_RS09175,0,704,96.369,0,704,96.369
BME_RS02975,OANT_RS09180,5.33e-105,295,84.524,2.42e-98,278,84.524
BME_RS02980,OANT_RS09185,0,926,95.726,0,916,95.726
BME_RS02990,OANT_RS09190,0,1998,80.442,0,1994,80.595
BME_RS02995,OANT_RS09195,1.38e-40,125,73.077,8.25e-41,125,73.077
BME_RS03000,OANT_RS09200,3.42e-28,93.2,74.242,2.18e-28,93.2,74.242
BME_RS03010,OANT_RS09205,8.1e-108,304,81.959,2.06e-114,320,81.959
BME_RS03015,OANT_RS09210,3.75e-126,355,78.696,7.32e-129,362,78.696
BME_RS03020,OANT_RS09215,0,513,91.089,1.48e-173,487,91.089
BME_RS03025,OANT_RS09315,2.94e-66,192,92.233,1.87e-66,192,92.233
BME_RS03030,OANT_RS09320,0,518,93.182,0,518,93.182
BME_RS03035,OANT_RS09325,2.31e-94,268,71.765,1.49e-94,268,71.765
BME_RS03040,OANT_RS09330,0,639,92.068,0,642,92.962
BME_RS03045,OANT_RS09335,0,538,93,0,556,93
BME_RS03050,OANT_RS09340,3.19e-35,110,93.443,2.03e-35,110,93.443
BME_RS03055,OANT_RS09345,0,924,90.076,0,931,90.267
BME_RS03060,OANT_RS09350,0,721,87.532,0,721,87.532
BME_RS03065,OANT_RS09360,0,536,88.294,0,536,88.294
BME_RS03070,OANT_RS09365,6.38e-162,451,73.09,4.62e-151,422,73.09
BME_RS03075,OANT_RS09380,0,1199,93.904,0,1199,93.904
BME_RS03080,OANT_RS09385,7.38e-135,372,95.789,4.69e-135,372,95.789
BME_RS03085,OANT_RS09400,0,743,95.71,0,743,95.71
BME_RS03090,OANT_RS09405,6.55e-83,236,84.211,4.17e-83,236,84.211
BME_RS03095,OANT_RS09410,1.99e-155,429,91.837,2.68e-155,428,91.837
BME_RS03100,OANT_RS09415,0,1238,93.241,0,1238,93.241
BME_RS03105,OANT_RS09420,7.89e-141,389,90.61,5.02e-141,389,90.61
BME_RS03110,OANT_RS09425,0,642,94.69,0,642,94.69
BME_RS03120,OANT_RS09435,0,785,92.683,0,785,92.683
BME_RS03125,OANT_RS09440,9.47e-53,160,55.556,6.2e-53,160,55.556
BME_RS03130,OANT_RS09445,0,669,87.263,0,687,87.263
BME_RS03140,OANT_RS09455,0,566,90.909,0,577,90.909
BME_RS03145,OANT_RS09460,2.88e-79,228,69.718,1.83e-79,228,69.718
BME_RS03195,OANT_RS12680,4.62e-40,141,30.655,6.67e-42,146,30.655
BME_RS03230,OANT_RS12695,2.58e-34,111,53.535,1.64e-34,111,53.535
BME_RS03235,OANT_RS09470,0,575,66.835,0,575,66.835
BME_RS03240,OANT_RS09475,0,581,87.887,0,558,87.887
BME_RS03245,OANT_RS09480,1.89e-57,210,80.8,1.34e-57,210,80.8
BME_RS03250,OANT_RS09485,0,657,91.081,0,664,91.081
BME_RS03255,OANT_RS09490,0,1061,82.448,0,1069,82.448
BME_RS03260,OANT_RS09495,1.39e-151,422,78.853,1.31e-151,421,78.853
BME_RS03265,OANT_RS09500,1.73e-166,464,90.39,1.92e-161,451,90.39
BME_RS03270,OANT_RS09505,8.43e-143,398,77.165,5.34e-143,398,77.165
BME_RS03275,OANT_RS09510,0,677,85.095,0,677,85.095
BME_RS03285,OANT_RS09520,0,671,91.489,0,665,91.223
BME_RS03290,OANT_RS09525,0,514,96.525,0,514,96.525
BME_RS03295,OANT_RS09530,2.54e-178,489,85.874,1.61e-178,489,85.874
BME_RS03300,OANT_RS09570,8.75e-90,254,88.571,5.57e-90,254,88.571
BME_RS03305,OANT_RS09575,1.15e-99,282,79.33,7.21e-100,282,79.33
BME_RS03310,OANT_RS09625,2e-11,48.1,100,1.27e-11,48.1,100
BME_RS03315,OANT_RS09630,1.19e-120,339,89.545,7.5e-136,377,89.545
BME_RS03320,OANT_RS09635,0,928,88.697,0,947,88.697
BME_RS03325,OANT_RS09640,5.96e-28,92.4,70,3.85e-28,92.4,70
BME_RS03330,OANT_RS09645,0,621,91.916,0,603,91.916
BME_RS03335,OANT_RS09650,0,506,91.575,0,506,91.575
BME_RS03340,OANT_RS09655,3.64e-179,491,92.754,0,520,92.754
BME_RS03355,OANT_RS09665,0,558,92.698,0,584,92.698
BME_RS03360,OANT_RS09670,0,945,84.814,0,970,84.814
BME_RS03365,OANT_RS09675,0,1530,90.888,0,1503,90.888
BME_RS03370,OANT_RS09680,7.02e-47,146,58.394,3.98e-47,146,58.394
BME_RS03375,OANT_RS09685,0,1373,81.607,0,1408,82.189
BME_RS03380,OANT_RS09690,5.35e-46,140,73.958,3.41e-46,140,73.958
BME_RS03385,OANT_RS09695,0,1676,94.138,0,1676,94.138
BME_RS03395,OANT_RS09700,0,660,96.084,0,660,96.084
BME_RS03400,OANT_RS09710,0,567,89.18,0,548,89.18
BME_RS03405,OANT_RS09715,5.14e-26,86.3,93.182,3.27e-26,86.3,93.182
BME_RS03410,OANT_RS09725,0,527,90.785,0,525,90.785
BME_RS03415,OANT_RS09730,0,728,88.571,0,728,88.571
BME_RS03420,OANT_RS09735,0,867,88.589,0,867,88.589
BME_RS03425,OANT_RS09740,1.92e-37,116,93.548,1.22e-37,116,93.548
BME_RS03430,OANT_RS09745,2.2e-125,352,90.336,8.82e-127,355,89.916
BME_RS03435,OANT_RS09750,8.82e-112,312,87.861,5.61e-112,312,87.861
BME_RS03440,OANT_RS09755,0,673,95.69,0,643,95.69
BME_RS03445,OANT_RS09760,0,2329,89.628,0,2329,89.628
BME_RS03450,OANT_RS09765,3.8e-155,425,98.113,2.42e-155,425,98.113
BME_RS03455,OANT_RS09770,9.34e-94,265,95.07,5.94e-94,265,95.07
BME_RS03460,OANT_RS09775,2.97e-11,59.3,84.783,3.22e-18,78.6,84.783
BME_RS03465,OANT_RS09780,1.19e-92,262,88.514,9.59e-93,262,88.514
BME_RS03470,OANT_RS09785,1.4e-43,136,66.379,6.82e-44,137,66.379
BME_RS03475,OANT_RS09800,9.42e-165,453,90.438,9.61e-165,452,90.438
BME_RS03480,OANT_RS09805,2.95e-124,350,74.597,2.6e-131,367,74.597
BME_RS03485,OANT_RS09810,0,643,89.973,0,619,89.973
BME_RS03490,OANT_RS09815,0,514,85.666,0,514,85.666
BME_RS03495,OANT_RS09820,0,742,87.385,0,741,87.385
BME_RS03500,OANT_RS09825,0,510,74.772,1.59e-180,499,74.772
BME_RS03505,OANT_RS09830,1.29e-173,481,80.831,4.96e-179,495,81.346
BME_RS03510,OANT_RS09835,0,574,78.846,0,556,78.846
BME_RS03515,OANT_RS09840,1.03e-115,322,87.283,6.58e-116,322,87.283
BME_RS03520,OANT_RS09845,9.95e-104,301,80.22,6.06e-104,301,80.22
BME_RS03530,OANT_RS09850,1e-70,207,87.597,4.65e-72,210,88
BME_RS03535,OANT_RS09855,0,880,78.497,0,895,78.497
BME_RS03540,OANT_RS09860,4.43e-164,451,89.344,2.82e-164,451,89.344
BME_RS03545,OANT_RS09865,2.54e-137,380,92.308,1.61e-137,380,92.308
BME_RS03550,OANT_RS09870,0,540,64.828,0,553,64.828
BME_RS03555,OANT_RS09875,0,626,76.06,0,626,76.06
BME_RS03560,OANT_RS09920,6.2e-141,389,88.208,1.61e-134,373,88.208
BME_RS03565,OANT_RS09925,1.21e-168,462,89.96,7.7e-169,462,89.96
BME_RS03570,OANT_RS09930,0,551,95.273,0,551,95.273
BME_RS03575,OANT_RS09935,5.5e-157,432,90.517,3.41e-157,432,90.517
BME_RS03580,OANT_RS09940,1.66e-57,169,84.043,1.05e-57,169,84.043
BME_RS03585,OANT_RS09950,1.26e-10,45.8,92,8.03e-11,45.8,92
BME_RS03590,OANT_RS09955,1.88e-173,486,70.466,3.95e-176,493,71.649
BME_RS03595,OANT_RS09960,7.7e-48,146,78.261,7.54e-51,153,78.261
BME_RS03600,OANT_RS09965,0,815,97.537,0,815,97.537
BME_RS03605,OANT_RS09970,0,859,96.583,0,859,96.583
BME_RS03610,OANT_RS09980,0,642,96.341,0,642,96.341
BME_RS03620,OANT_RS09985,0,1095,93.771,0,1095,93.771
BME_RS03625,OANT_RS09990,4.7e-166,464,84,4.2e-165,461,83.143
BME_RS03630,OANT_RS09995,3.91e-104,292,93.151,2.1e-104,292,93.151
BME_RS03635,OANT_RS10000,3.72e-137,378,94.819,2.37e-137,378,94.819
BME_RS03640,OANT_RS10005,3.17e-96,272,85.535,7.78e-105,293,85.535
BME_RS03645,OANT_RS10010,2.21e-166,457,89.844,1.81e-173,475,89.844
BME_RS03650,OANT_RS10015,0,511,88.686,0,511,88.686
BME_RS03655,OANT_RS10020,7.29e-43,130,95.588,4.64e-43,130,95.588
BME_RS03660,OANT_RS10050,2.17e-117,327,88,1.38e-117,327,88
BME_RS03665,OANT_RS10055,2.97e-125,349,81.592,9.85e-122,340,81.592
BME_RS03670,OANT_RS10065,8.2e-101,288,67.907,5.29e-101,288,67.907
BME_RS03675,OANT_RS10070,4.76e-154,425,83.333,3.08e-154,425,83.333
BME_RS03680,OANT_RS10075,7.46e-89,252,89.51,4.75e-89,252,89.51
BME_RS03685,OANT_RS10080,0,540,93.357,0,540,93.357
BME_RS03690,OANT_RS10085,3.54e-16,60.1,100,2.25e-16,60.1,100
BME_RS03695,OANT_RS10090,1.28e-10,45.8,100,8.13e-11,45.8,100
BME_RS03705,OANT_RS10100,1.87e-10,45.4,96,1.19e-10,45.4,96
BME_RS03710,OANT_RS10105,3.64e-44,133,100,2.32e-44,133,100
BME_RS03715,OANT_RS10110,7.33e-125,346,98.286,4.66e-125,346,98.286
BME_RS03720,OANT_RS10115,1.67e-99,279,95.775,1.06e-99,279,95.775
BME_RS03725,OANT_RS10120,5.77e-164,449,97.845,3.67e-164,449,97.845
BME_RS03730,OANT_RS10125,9.08e-123,340,98.256,5.78e-123,340,98.256
BME_RS03735,OANT_RS10130,2.42e-77,221,98.387,1.54e-77,221,98.387
BME_RS03740,OANT_RS10135,0,2763,97.749,0,2763,97.749
BME_RS03745,OANT_RS10140,0,2850,98.786,0,2850,98.786
BME_RS03750,OANT_RS10145,1.25e-51,155,84.466,1.53e-49,149,83.505
BME_RS03755,OANT_RS10150,2.49e-86,244,99.187,1.58e-86,244,99.187
BME_RS03760,OANT_RS10155,9.7e-114,316,98.077,6.17e-114,316,98.077
BME_RS03765,OANT_RS10160,0,1388,97.406,0,1388,97.406
BME_RS03770,OANT_RS10165,0,778,97.698,0,778,97.698
BME_RS03775,OANT_RS10170,3.82e-72,206,100,2.43e-72,206,100
BME_RS03780,OANT_RS10175,1.37e-159,439,96.804,4.72e-162,444,96.413
BME_RS03785,OANT_RS10180,3.54e-116,326,94.118,2.25e-116,326,94.118
BME_RS03790,OANT_RS10185,6.95e-66,190,97.938,4.42e-66,190,97.938
BME_RS03795,OANT_RS10190,0,548,96.751,0,548,96.751
BME_RS03800,OANT_RS10195,3.38e-64,186,96.739,2.15e-64,186,96.739
BME_RS03805,OANT_RS10200,1.28e-86,245,95.349,8.17e-87,245,95.349
BME_RS03810,OANT_RS10205,2.29e-176,481,99.153,1.45e-176,481,99.153
BME_RS03815,OANT_RS10210,9.76e-99,276,99.27,6.21e-99,276,99.27
BME_RS03820,OANT_RS10215,4.26e-41,125,98.485,2.71e-41,125,98.485
BME_RS03825,OANT_RS10220,3.51e-54,159,97.5,2.23e-54,159,97.5
BME_RS03830,OANT_RS10225,2.88e-85,241,100,1.84e-85,241,100
BME_RS03835,OANT_RS10230,2.42e-69,199,98.058,1.54e-69,199,98.058
BME_RS03840,OANT_RS10235,1.61e-133,369,95.676,1.03e-133,369,95.676
BME_RS03845,OANT_RS10240,4.01e-68,196,97.03,2.55e-68,196,97.03
BME_RS03850,OANT_RS10245,9.58e-92,258,96.212,6.1e-92,258,96.212
BME_RS03855,OANT_RS10250,7.09e-124,343,97.74,4.51e-124,343,97.74
BME_RS03860,OANT_RS10255,8.33e-67,194,95.833,6.74e-67,194,95.833
BME_RS03865,OANT_RS10260,4.62e-134,370,99.462,2.94e-134,370,99.462
BME_RS03870,OANT_RS10265,3.45e-43,130,100,2.2e-43,130,100
BME_RS03875,OANT_RS10270,3.67e-106,297,98.718,2.33e-106,297,98.718
BME_RS03880,OANT_RS10275,0,888,98.655,0,888,98.655
BME_RS03885,OANT_RS10280,3.96e-138,381,96.907,2.52e-138,381,96.907
BME_RS03890,OANT_RS10285,1.1e-85,242,99.18,6.99e-86,242,99.18
BME_RS03895,OANT_RS10290,4.21e-94,264,100,2.68e-94,264,100
BME_RS03900,OANT_RS10295,0,673,97.329,0,673,97.329
BME_RS03905,OANT_RS10300,1.19e-98,277,97.887,7.58e-99,277,97.887
BME_RS03910,OANT_RS10305,0,788,82.983,0,788,82.983
BME_RS03915,OANT_RS10310,0,841,93.135,0,827,93.224
BME_RS03920,OANT_RS10315,1.49e-129,359,87.113,9.5e-130,359,87.113
BME_RS03925,OANT_RS10320,3.63e-123,345,91.364,1.17e-123,346,91.364
BME_RS03930,OANT_RS10325,0,706,96.676,0,706,96.676
BME_RS03935,OANT_RS10330,0,1629,93.333,0,1631,93.333
BME_RS03945,OANT_RS10355,0,808,95.05,0,808,95.05
BME_RS03950,OANT_RS10360,2.32e-83,238,83.824,1.47e-83,238,83.824
BME_RS03955,OANT_RS10365,3.87e-140,386,94.819,2.46e-140,386,94.819
BME_RS03960,OANT_RS10370,0,511,91.636,0,511,91.636
BME_RS03965,OANT_RS10375,2.59e-170,469,82.31,1.66e-170,469,82.31
BME_RS03970,OANT_RS12625,0,580,87.538,0,563,87.538
BME_RS03975,OANT_RS12620,0,1148,91.97,0,1183,91.324
BME_RS03980,OANT_RS10395,9.17e-69,199,80,5.83e-69,199,80
BME_RS03985,OANT_RS10400,0,1401,95.621,0,1401,95.621
BME_RS03990,OANT_RS10405,0,1263,92.354,0,1263,92.354
BME_RS03995,OANT_RS10410,0,1026,96.863,0,1026,96.863
BME_RS04000,OANT_RS10415,0,905,93.191,0,905,93.191
BME_RS04005,OANT_RS10420,2.4e-120,335,87.778,1.53e-120,335,87.778
BME_RS04015,OANT_RS10425,1.65e-105,295,89.677,1.05e-105,295,89.677
BME_RS04020,OANT_RS10430,2.67e-58,172,81.905,1.71e-58,172,81.905
BME_RS04025,OANT_RS10440,2.42e-61,180,76.106,2.07e-54,162,76.106
BME_RS04030,OANT_RS10445,6.57e-69,200,72.727,4.18e-69,200,72.727
BME_RS04035,OANT_RS10450,1.25e-84,240,93.75,7.95e-85,240,93.75
BME_RS04040,OANT_RS10455,2.09e-65,206,85.496,7.61e-68,212,85.496
BME_RS04045,OANT_RS10460,3.64e-150,417,73.764,2.32e-150,417,73.764
BME_RS04050,OANT_RS10465,0,836,90.792,0,817,90.792
BME_RS04055,OANT_RS10470,7.23e-99,278,92.414,4.6e-99,278,92.414
BME_RS04060,OANT_RS10475,3.99e-47,143,69.388,2.56e-47,143,69.388
BME_RS04065,OANT_RS10480,0,775,84.11,0,771,84.11
BME_RS04070,OANT_RS10485,9.19e-77,219,94.495,5.5e-77,219,94.495
BME_RS04075,OANT_RS10490,0,1558,94.539,0,1599,94.539
BME_RS04080,OANT_RS10505,4.5e-94,265,90,2.86e-94,265,90
BME_RS04085,OANT_RS10510,0,686,83.038,0,686,83.038
BME_RS04090,OANT_RS10515,3.36e-158,436,87.083,2.09e-158,436,87.083
BME_RS04095,OANT_RS10520,2.87e-95,269,88.961,1.83e-95,269,88.961
BME_RS04100,OANT_RS10525,0,507,87.05,5.23e-177,486,87.05
BME_RS04110,OANT_RS10530,0,511,96.484,0,511,96.484
BME_RS04115,OANT_RS10535,0,544,92.131,0,544,92.131
BME_RS04120,OANT_RS10540,4.03e-171,468,96.667,2.57e-171,468,96.667
BME_RS04125,OANT_RS10545,2.34e-127,353,93.011,1.49e-127,353,93.011
BME_RS04130,OANT_RS10550,1.2e-167,461,90.98,7.67e-168,461,90.98
BME_RS04135,OANT_RS10555,1.39e-140,393,87.037,1.69e-149,416,87.037
BME_RS04140,OANT_RS10560,0,656,90.765,0,655,90.765
BME_RS04145,OANT_RS10565,0,1474,91.465,0,1474,91.465
BME_RS04150,OANT_RS10570,0,611,84.615,0,611,84.615
BME_RS04155,OANT_RS10575,3.61e-108,302,93.59,2.3e-108,302,93.59
BME_RS04160,OANT_RS10580,0,506,89.568,0,523,89.568
BME_RS04165,OANT_RS10585,1.02e-167,464,79.798,6.48e-168,464,79.798
BME_RS04170,OANT_RS10590,0,684,85.604,0,684,85.604
BME_RS04175,OANT_RS10595,0,875,96.279,0,875,96.279
BME_RS04180,OANT_RS10600,0,877,90.275,0,877,90.275
BME_RS04190,OANT_RS10605,0,726,66.31,0,680,67.778
BME_RS04195,OANT_RS10610,4.75e-152,420,88.75,2.91e-156,430,90.417
BME_RS04200,OANT_RS10620,0,574,72.525,0,579,72.525
BME_RS04205,OANT_RS10625,2.3e-100,283,89.103,1.4e-100,283,89.103
BME_RS04210,OANT_RS10630,4.27e-174,478,89.773,2.7e-174,478,89.773
BME_RS04215,OANT_RS10635,0,592,90.265,0,592,90.265
