Abortus2308,O_anthropi,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BAB_RS18100,OANT_RS02820,1.68e-57,168,100,1.07e-57,168,100
BAB_RS18105,OANT_RS02825,5.8e-102,288,81.977,3.67e-102,288,81.977
BAB_RS18110,OANT_RS02830,3.04e-37,117,72.414,1.95e-37,117,72.414
BAB_RS18115,OANT_RS02835,5.64e-72,213,84.946,6.6e-70,207,80.645
BAB_RS18120,OANT_RS02840,0,543,87.171,0,543,87.171
BAB_RS18125,OANT_RS02845,0,1220,93.313,0,1196,93.313
BAB_RS18130,OANT_RS02850,2.5e-160,442,84.585,1.74e-152,421,84.585
BAB_RS18135,OANT_RS02855,0,766,91.019,0,749,91.019
BAB_RS18140,OANT_RS02865,1.48e-130,362,85,9.39e-131,362,85
BAB_RS18145,OANT_RS02870,3.19e-60,178,71.074,2.18e-53,160,77.895
BAB_RS18150,OANT_RS02875,1.78e-166,471,60.185,1.19e-166,471,60.185
BAB_RS18155,OANT_RS02885,0,1176,90.287,0,1176,90.287
BAB_RS18160,OANT_RS02890,5.17e-163,447,94.828,3.03e-163,447,94.828
BAB_RS18165,OANT_RS02895,0,515,92.086,0,515,92.086
BAB_RS18170,OANT_RS02905,1.52e-173,474,92.276,9.6e-174,474,92.276
BAB_RS18175,OANT_RS02910,0,981,95.363,0,956,95.363
BAB_RS18180,OANT_RS02915,2.08e-104,295,85.938,1.26e-107,303,85.938
BAB_RS18185,OANT_RS02920,0,904,95.717,0,904,95.717
BAB_RS18190,OANT_RS02925,0,994,96.407,0,994,96.407
BAB_RS18195,OANT_RS02935,0,837,92.019,0,837,92.019
BAB_RS18200,OANT_RS02940,1.63e-132,366,95.238,1.03e-132,366,95.238
BAB_RS18205,OANT_RS02945,1.24e-173,481,81.734,4.68e-171,474,81.734
BAB_RS18210,OANT_RS02950,1.55e-56,166,98.78,9.78e-57,166,98.78
BAB_RS18215,OANT_RS02955,4.15e-72,210,97.143,3.97e-72,210,97.143
BAB_RS18220,OANT_RS02960,0,577,91.72,0,560,92.027
BAB_RS18225,OANT_RS02965,1.58e-175,479,95.51,1e-175,479,95.51
BAB_RS18230,OANT_RS02970,8.57e-50,148,100,5.42e-50,148,100
BAB_RS18235,OANT_RS02975,0,732,94.272,0,753,94.272
BAB_RS18240,OANT_RS02980,0,677,83.495,0,677,83.495
BAB_RS18245,OANT_RS02985,0,516,84.281,0,516,84.281
BAB_RS18250,OANT_RS02990,8.93e-157,430,96.347,5.65e-157,430,96.347
BAB_RS18255,OANT_RS03010,0,917,94.681,0,917,94.681
BAB_RS18260,OANT_RS03015,1.26e-118,332,83.173,2.56e-117,329,83.173
BAB_RS18265,OANT_RS03020,0,525,89.831,0,525,89.831
BAB_RS18270,OANT_RS03025,0,1077,96.739,0,1077,96.739
BAB_RS18275,OANT_RS03030,0,548,87.742,0,548,87.742
BAB_RS18280,OANT_RS03040,1.96e-78,230,65.217,1.26e-78,230,65.217
BAB_RS18290,OANT_RS03045,0,574,96.918,0,574,96.918
BAB_RS18295,OANT_RS03050,8.95e-43,134,83.333,5.79e-43,134,83.333
BAB_RS18300,OANT_RS03055,1.56e-150,417,82,1.05e-150,417,82
BAB_RS18305,OANT_RS03060,0,669,93.714,0,669,93.714
BAB_RS18310,OANT_RS03065,0,614,90.798,0,614,90.798
BAB_RS18315,OANT_RS03070,1.66e-104,293,91.558,1.05e-104,293,91.558
BAB_RS18320,OANT_RS03075,2.54e-103,290,87.578,5.64e-99,279,87.578
BAB_RS18325,OANT_RS03080,4.72e-126,356,63.158,2.98e-126,356,63.158
BAB_RS18330,OANT_RS03095,1.24e-136,377,90.5,7.83e-137,377,90.5
BAB_RS18335,OANT_RS03100,0,1871,95.322,0,1871,95.322
BAB_RS18340,OANT_RS03105,1.27e-137,380,87.379,8.06e-138,380,87.379
BAB_RS18345,OANT_RS03110,0,837,94.186,0,837,94.186
BAB_RS18350,OANT_RS03115,0,887,92.657,0,887,92.657
BAB_RS18355,OANT_RS03120,4.76e-115,322,77.551,3.07e-115,322,77.551
BAB_RS18365,OANT_RS03130,5.61e-34,107,81.967,3.55e-34,107,81.967
BAB_RS18370,OANT_RS03135,6.36e-154,424,90.789,4.03e-154,424,90.789
BAB_RS18375,OANT_RS03140,0,978,86.577,0,982,86.577
BAB_RS18380,OANT_RS03145,0,762,95.756,0,762,95.756
BAB_RS18385,OANT_RS03150,6.62e-131,363,83.744,4.16e-131,363,83.744
BAB_RS18390,OANT_RS03155,0,577,80.392,0,600,80.392
BAB_RS18395,OANT_RS03175,1.04e-103,292,80.571,6.58e-104,292,80.571
BAB_RS18400,OANT_RS03180,7.61e-127,354,84.332,8.16e-131,363,84.332
BAB_RS18405,OANT_RS03185,0,1865,88.358,0,1867,88.358
BAB_RS18410,OANT_RS16690,3.86e-62,197,42.537,3.23e-55,179,42.066
BAB_RS18420,OANT_RS03535,0,1718,93.348,0,1702,93.348
BAB_RS18425,OANT_RS03540,9.28e-139,389,72.593,5.95e-139,389,72.593
BAB_RS18430,OANT_RS03545,2.5e-53,160,82.178,1.89e-53,160,82.178
BAB_RS18435,OANT_RS03560,1.23e-154,428,80.153,7.98e-144,400,80.153
BAB_RS18440,OANT_RS03565,0,526,84.333,0,526,84.333
BAB_RS18445,OANT_RS03570,1.1e-122,342,87.94,6.94e-123,342,87.94
BAB_RS18450,OANT_RS03575,3.63e-107,300,83.432,2.29e-107,300,83.432
BAB_RS18455,OANT_RS03580,8e-76,217,88.136,5.06e-76,217,88.136
BAB_RS18465,OANT_RS03590,0,1113,86.656,0,1061,86.656
BAB_RS18470,OANT_RS03595,0,507,78.209,0,511,78.209
BAB_RS18475,OANT_RS03600,4.23e-13,52.4,100,2.67e-13,52.4,100
BAB_RS18515,OANT_RS14215,2.35e-58,183,38.956,1.46e-58,183,38.956
BAB_RS18520,OANT_RS14220,3.08e-24,95.9,26.141,2.12e-24,95.9,26.141
BAB_RS18530,OANT_RS17455,2.65e-173,483,64.426,1.65e-173,483,64.426
BAB_RS18580,OANT_RS24225,1.79e-08,50.1,28.866,3.12e-08,50.1,28.866
BAB_RS18615,OANT_RS02055,9.72e-11,59.7,29.032,6.9e-11,59.7,29.032
BAB_RS18620,OANT_RS17625,0,877,85.91,0,877,85.91
BAB_RS18625,OANT_RS17630,0,577,93.694,0,567,93.694
BAB_RS18630,OANT_RS17635,0,622,96.25,0,622,96.25
BAB_RS18635,OANT_RS17640,0,698,95.143,0,698,95.143
BAB_RS18640,OANT_RS17645,0,694,87.692,0,694,87.692
BAB_RS18645,OANT_RS17650,0,869,94.943,0,869,94.943
BAB_RS18650,OANT_RS17655,0,844,85.062,0,844,85.062
BAB_RS18655,OANT_RS17660,0,593,85.714,0,593,85.714
BAB_RS18670,OANT_RS14055,0,915,94.456,0,915,94.456
BAB_RS18675,OANT_RS14050,0,857,95.338,0,856,95.338
BAB_RS18680,OANT_RS14045,2.19e-128,356,91.192,1.36e-128,356,91.192
BAB_RS18690,OANT_RS14040,1.9e-97,275,85.161,1.2e-97,275,85.161
BAB_RS18695,OANT_RS14035,7.59e-80,228,86.047,4.8e-80,228,86.047
BAB_RS18700,OANT_RS14030,1.52e-43,132,84.211,6.32e-36,112,84.211
BAB_RS18705,OANT_RS14025,0,608,88.485,0,608,88.485
BAB_RS18725,OANT_RS13975,1.82e-65,191,90.833,7.1e-73,209,90.833
BAB_RS18730,OANT_RS13990,0,918,92.843,0,895,92.843
BAB_RS18735,OANT_RS14000,2.78e-154,425,92.017,3.87e-161,442,92.017
BAB_RS18745,OANT_RS14005,1.55e-146,404,90.783,9.78e-147,404,90.783
BAB_RS18750,OANT_RS14010,6.4e-137,378,91.414,4.03e-137,378,91.414
BAB_RS18755,OANT_RS13965,1.07e-57,171,77.67,6.86e-58,171,77.67
BAB_RS18760,OANT_RS13960,0,1308,89.943,0,1308,89.943
BAB_RS18765,OANT_RS13955,2.73e-101,283,95.775,1.72e-101,283,95.775
BAB_RS18770,OANT_RS13950,1.09e-32,107,62.791,5.94e-33,107,62.791
BAB_RS18775,OANT_RS13945,2.53e-72,211,69.536,1.57e-72,211,69.536
BAB_RS18780,OANT_RS13940,4.63e-126,356,68.939,9.21e-126,355,68.939
BAB_RS18785,OANT_RS13935,0,654,82.033,0,667,83.13
BAB_RS18790,OANT_RS13930,4.22e-98,275,94.326,2.67e-98,275,94.326
BAB_RS18795,OANT_RS13925,1.94e-67,198,67.586,2.57e-70,205,67.586
BAB_RS18800,OANT_RS13920,0,944,76.384,0,919,76.384
BAB_RS18805,OANT_RS13915,4.54e-180,498,77.439,8.52e-178,491,77.439
BAB_RS18810,OANT_RS13910,3.33e-69,200,85.965,2.16e-69,200,85.965
BAB_RS18815,OANT_RS13905,0,542,78.035,1.42e-168,470,78.035
BAB_RS18820,OANT_RS13900,4.67e-111,311,78.889,2.95e-111,311,78.889
BAB_RS18825,OANT_RS13895,1.89e-112,317,77.073,1.18e-112,317,77.073
BAB_RS18830,OANT_RS13890,0,1343,90.746,0,1341,90.746
BAB_RS18845,OANT_RS01285,1.91e-17,80.9,28.363,1.34e-17,80.9,28.363
BAB_RS18850,OANT_RS13880,3.4e-56,168,67.797,3.26e-48,147,67.797
BAB_RS18875,OANT_RS01310,2.61e-10,52,27.586,1.63e-10,52,27.586
BAB_RS18930,OANT_RS13875,1.86e-56,167,84.694,1.18e-56,167,84.694
BAB_RS18935,OANT_RS13870,2.4e-154,425,92.208,1.53e-154,425,92.208
BAB_RS18940,OANT_RS13865,0,771,86.927,0,771,86.927
BAB_RS18945,OANT_RS13860,1.95e-79,229,80.921,1.33e-80,231,80.263
BAB_RS18950,OANT_RS13855,0,546,77.045,0,578,77.045
BAB_RS18955,OANT_RS13850,1.1e-107,301,91.515,6.99e-108,301,91.515
BAB_RS18960,OANT_RS13845,0,1199,91.403,0,1214,91.403
BAB_RS18965,OANT_RS13840,1.44e-79,230,74.684,2.12e-85,244,74.684
BAB_RS18970,OANT_RS13835,0,879,86.513,0,854,86.513
BAB_RS18975,OANT_RS13830,3.48e-165,452,95.319,2.2e-165,452,95.319
BAB_RS18980,OANT_RS13825,0,818,87.768,0,818,87.768
BAB_RS18985,OANT_RS13820,0,1673,83.555,0,1673,83.555
BAB_RS18990,OANT_RS03160,2.44e-46,162,38.866,5.6e-47,162,38.866
BAB_RS18995,OANT_RS13815,0,1444,90.051,0,1444,90.051
BAB_RS19000,OANT_RS13810,0,1546,83.126,0,1546,83.126
BAB_RS19005,OANT_RS13805,0,551,89.342,0,545,89.342
BAB_RS19010,OANT_RS13800,0,772,90.647,0,754,90.647
BAB_RS19015,OANT_RS13795,7.54e-163,451,83.681,1.88e-176,485,83.681
BAB_RS19020,OANT_RS13790,0,1066,92.254,0,1066,92.254
BAB_RS19025,OANT_RS13785,1.23e-85,258,42.9,3.02e-87,262,42.9
BAB_RS19030,OANT_RS13780,0,970,92.2,0,970,92.2
BAB_RS19045,OANT_RS13775,4.91e-157,432,86.864,3.09e-157,432,86.864
BAB_RS19050,OANT_RS13770,9.21e-64,186,89.565,1.32e-65,191,89.565
BAB_RS19060,OANT_RS13765,7.79e-50,149,83.529,4.93e-50,149,83.529
BAB_RS19065,OANT_RS13760,3.08e-138,385,88.018,1.65e-138,385,88.018
BAB_RS19070,OANT_RS13750,2.93e-101,291,80.749,3.65e-100,288,77.387
BAB_RS19075,OANT_RS13745,5.03e-47,145,74.138,6.87e-48,147,74.138
BAB_RS19080,OANT_RS13740,0,616,80.978,0,616,80.978
BAB_RS19085,OANT_RS13735,0,594,89.286,0,594,89.286
BAB_RS19095,OANT_RS13725,2.28e-15,58.2,96.667,1.44e-15,58.2,96.667
BAB_RS19100,OANT_RS13730,1.23e-171,479,72.48,7.37e-172,479,72.48
BAB_RS19105,OANT_RS13715,1.59e-82,241,56.19,9.99e-83,241,56.19
BAB_RS19115,OANT_RS13710,3.41e-55,172,46.429,6.27e-54,169,46.429
BAB_RS19120,OANT_RS13705,0,1199,83.796,0,1188,83.796
BAB_RS19125,OANT_RS13700,0,578,94.539,0,578,94.539
BAB_RS19130,OANT_RS13695,2.88e-111,310,94.304,1.82e-111,310,94.304
BAB_RS19135,OANT_RS13690,1.1e-144,399,86.574,6.74e-145,399,86.574
BAB_RS19140,OANT_RS13685,3.76e-137,378,96.859,2.38e-137,378,96.859
BAB_RS19145,OANT_RS13680,1.02e-84,241,91.045,3.72e-78,224,90.299
BAB_RS19150,OANT_RS13675,0,1490,96.8,0,1490,96.8
BAB_RS19155,OANT_RS13670,7.03e-137,377,97.396,4.45e-137,377,97.396
BAB_RS19160,OANT_RS13665,5.23e-151,418,83.665,3.28e-151,418,83.665
BAB_RS19165,OANT_RS13660,0,747,79.73,0,747,79.73
BAB_RS19170,OANT_RS13655,0,752,92.06,0,752,92.06
BAB_RS19175,OANT_RS13645,0,504,87.365,0,504,87.365
BAB_RS19180,OANT_RS13640,5.16e-116,325,89.474,6.36e-108,304,89.474
BAB_RS19185,OANT_RS13635,5.06e-89,253,92.366,3.77e-89,253,92.366
BAB_RS19190,OANT_RS13630,0,497,93.462,0,497,93.462
BAB_RS19195,OANT_RS13625,1.7e-158,436,89.744,1.07e-158,436,89.744
BAB_RS19200,OANT_RS13620,0,599,92.926,0,599,92.926
BAB_RS19205,OANT_RS13615,2.82e-164,451,89.256,1.75e-164,451,89.256
BAB_RS19210,OANT_RS13610,3.35e-84,243,70.238,1.42e-78,228,70.238
BAB_RS19215,OANT_RS13605,2.38e-136,377,87.745,1.51e-136,377,87.745
BAB_RS19220,OANT_RS13600,1.52e-164,456,77.972,1.06e-164,456,77.972
BAB_RS19225,OANT_RS13595,0,867,94.144,0,867,94.144
BAB_RS19230,OANT_RS13575,5.07e-127,357,72.47,3.1e-127,357,72.47
BAB_RS19235,OANT_RS13570,1.56e-55,164,89.773,9.84e-56,164,89.773
BAB_RS19240,OANT_RS13565,4.82e-71,206,85.714,4.79e-68,198,86.916
BAB_RS19245,OANT_RS13560,3.12e-81,233,76.923,2.04e-81,233,76.923
BAB_RS19250,OANT_RS13555,6.84e-165,454,82.625,4.33e-165,454,82.625
BAB_RS19255,OANT_RS15410,5.1e-60,184,50.777,2.3e-48,154,50.259
BAB_RS19260,OANT_RS13550,6.35e-15,58.9,58.182,4.02e-15,58.9,58.182
BAB_RS19265,OANT_RS13545,0,920,87.425,0,920,87.425
BAB_RS19270,OANT_RS13535,0,1066,96.276,0,1066,96.276
BAB_RS19275,OANT_RS13530,0,528,86.275,0,517,86.275
BAB_RS19280,OANT_RS13525,0,763,69.284,0,763,68.858
BAB_RS19285,OANT_RS13520,0,523,92.029,0,523,92.029
BAB_RS19290,OANT_RS13515,0,553,81.471,0,553,81.471
BAB_RS19295,OANT_RS13510,0,568,85.266,0,568,85.266
BAB_RS19300,OANT_RS13505,0,1414,85.48,0,1414,85.48
BAB_RS19305,OANT_RS13500,0,651,90.608,0,650,90.608
BAB_RS19310,OANT_RS13495,0,716,87.531,0,716,87.531
BAB_RS19315,OANT_RS13490,0,909,91.365,0,931,91.365
BAB_RS19320,OANT_RS13485,6.55e-101,283,91.946,4.14e-101,283,91.946
BAB_RS19325,OANT_RS13480,2.62e-114,320,87.778,1.59e-114,320,87.778
BAB_RS19330,OANT_RS13470,0,1205,93.62,0,1171,93.851
BAB_RS19335,OANT_RS13465,3.56e-100,283,77.647,2.25e-100,283,77.647
BAB_RS19340,OANT_RS13460,4.23e-97,273,95.714,2.68e-97,273,95.714
BAB_RS19345,OANT_RS13455,9.38e-161,444,79.468,5.85e-161,444,79.468
BAB_RS19350,OANT_RS13450,3.14e-83,239,77.124,5.92e-91,258,77.124
BAB_RS19355,OANT_RS13445,8.67e-47,141,78.824,5.49e-47,141,78.824
BAB_RS19360,OANT_RS13440,1.81e-126,351,94.33,8.13e-127,352,94.33
BAB_RS19365,OANT_RS13435,0,1235,91.356,0,1234,91.505
BAB_RS19370,OANT_RS13430,2.99e-160,443,78.148,1.89e-160,443,78.148
BAB_RS19375,OANT_RS13425,3.57e-144,398,89.202,2.26e-144,398,89.202
BAB_RS19380,OANT_RS13410,3.34e-141,389,93.467,2.11e-141,389,93.467
BAB_RS19385,OANT_RS13405,1.42e-125,352,75.983,8.58e-128,357,75.983
BAB_RS19390,OANT_RS13400,5.65e-93,263,80.128,3.55e-93,263,80.128
BAB_RS19395,OANT_RS13395,0,533,87.586,0,533,87.586
BAB_RS19400,OANT_RS13390,7.75e-180,493,88.612,4.9e-180,493,88.612
BAB_RS19405,OANT_RS13385,0,1324,89.601,0,1324,89.601
BAB_RS19410,OANT_RS13380,4.06e-107,301,85.057,1.35e-102,289,85.057
BAB_RS19415,OANT_RS13375,1.98e-115,324,84.39,8.66e-124,345,84.39
BAB_RS19420,OANT_RS13370,0,666,92.011,0,666,92.011
BAB_RS19425,OANT_RS13365,0,662,89.267,0,639,89.267
BAB_RS19430,OANT_RS13355,1.51e-155,432,78.169,4.16e-164,454,78.169
BAB_RS19435,OANT_RS13350,5.75e-111,318,63.214,3.38e-103,298,65.863
BAB_RS19440,OANT_RS17380,1.25e-154,426,91.453,1.41e-163,448,91.453
BAB_RS19450,OANT_RS05570,4.79e-40,150,28.746,3.09e-40,150,28.746
BAB_RS19455,OANT_RS13340,2.37e-12,50.4,100,1.5e-12,50.4,100
BAB_RS19460,OANT_RS13335,4.01e-64,186,87.129,2.54e-64,186,87.129
BAB_RS19465,OANT_RS13330,4.78e-09,42,84,3.02e-09,42,84
BAB_RS19545,OANT_RS13305,1.85e-50,157,72.093,3.4e-65,194,77.465
BAB_RS19550,OANT_RS13300,6.42e-23,81.3,86.585,1.99e-22,79.3,86.585
BAB_RS19560,OANT_RS13280,0,704,85.861,0,704,85.861
BAB_RS19565,OANT_RS13275,3.73e-125,353,70.98,5.05e-134,375,70.98
BAB_RS19575,OANT_RS13265,0,533,95.113,0,533,95.113
BAB_RS19595,OANT_RS13250,0,540,95.539,0,540,95.539
BAB_RS19600,OANT_RS13210,0,628,80.506,0,629,80.506
BAB_RS19605,OANT_RS13205,1.16e-58,171,95.238,7.31e-59,171,95.238
BAB_RS19610,OANT_RS13200,0,1416,93.298,0,1416,93.298
BAB_RS19615,OANT_RS13195,0,949,92.773,0,949,92.773
BAB_RS19620,OANT_RS13190,0,742,94.805,0,742,94.805
BAB_RS19625,OANT_RS13185,0,1196,96.975,0,1196,96.975
BAB_RS19630,OANT_RS13180,0,612,76.382,0,613,76.382
BAB_RS19635,OANT_RS13175,0,1523,96.364,0,1523,96.364
BAB_RS19640,OANT_RS13165,0,503,94.779,0,503,94.779
BAB_RS19645,OANT_RS13160,7.72e-107,298,94.231,4.89e-107,298,94.231
BAB_RS19650,OANT_RS13155,0,668,93.895,0,668,93.895
BAB_RS19655,OANT_RS13150,0,660,90.258,0,660,90.258
BAB_RS19660,OANT_RS13145,5.79e-88,250,83.333,2.65e-83,238,83.333
BAB_RS19665,OANT_RS13135,3.07e-106,298,92.398,2.55e-106,298,92.398
BAB_RS19670,OANT_RS13130,0,818,89.838,0,818,89.838
BAB_RS19675,OANT_RS13125,0,876,97.494,0,876,97.494
BAB_RS19680,OANT_RS13115,2.46e-108,303,94.937,1.55e-108,303,94.937
BAB_RS19685,OANT_RS13110,0,614,85.791,0,637,85.791
BAB_RS19690,OANT_RS13105,4.18e-145,399,96.535,2.64e-145,399,96.535
BAB_RS19695,OANT_RS13100,4.04e-104,291,95.395,2.55e-104,291,95.395
BAB_RS19700,OANT_RS13095,6.16e-116,323,94.048,3.83e-116,323,94.048
BAB_RS19705,OANT_RS13090,0,1372,96.657,0,1372,96.657
BAB_RS19710,OANT_RS13085,2.66e-112,313,91.228,1.75e-112,313,91.228
BAB_RS19715,OANT_RS13080,1.61e-108,305,88.587,2.94e-110,310,88.587
BAB_RS19720,OANT_RS13075,1.01e-120,336,87.568,6.41e-121,336,87.568
BAB_RS19725,OANT_RS13070,0,674,95.93,0,650,96.407
BAB_RS19730,OANT_RS13065,0,608,94.118,0,606,94.118
BAB_RS19735,OANT_RS13060,5.37e-74,212,96.262,3.4e-74,212,96.262
BAB_RS19740,OANT_RS13055,1.5e-128,355,97.207,9.47e-129,355,97.207
BAB_RS19745,OANT_RS13050,1.25e-58,173,85.714,7.89e-59,173,85.714
BAB_RS19750,OANT_RS13030,1.74e-12,50.8,100,1.1e-12,50.8,100
BAB_RS19755,OANT_RS13015,0,850,78.101,0,850,78.101
BAB_RS19765,OANT_RS13000,6.39e-124,345,87.113,1.31e-129,359,87.113
BAB_RS19770,OANT_RS12995,1.86e-88,271,69.189,2.75e-88,272,69.189
BAB_RS19775,OANT_RS12985,1.04e-43,132,91.667,6.56e-44,132,91.667
BAB_RS19780,OANT_RS12980,0,631,90.169,0,606,90.169
BAB_RS19785,OANT_RS12970,0,605,95.161,0,605,95.161
BAB_RS19790,OANT_RS12965,0,613,94.304,0,613,94.304
BAB_RS19795,OANT_RS12950,2.16e-112,313,98.101,1.37e-112,313,98.101
BAB_RS19800,OANT_RS12945,1.31e-108,303,94.805,8.27e-109,303,94.805
BAB_RS19805,OANT_RS12940,5.39e-90,256,82.692,1.26e-82,236,82.692
BAB_RS19810,OANT_RS12930,0,837,95.54,0,837,95.54
BAB_RS19840,OANT_RS12855,8.63e-13,51.6,100,5.46e-13,51.6,100
BAB_RS19855,OANT_RS12585,8.45e-82,233,95.868,5.35e-82,233,95.868
BAB_RS19860,OANT_RS12580,6.04e-142,390,97.409,3.82e-142,390,97.409
BAB_RS19865,OANT_RS12575,7.67e-142,391,93.069,4.85e-142,391,93.069
BAB_RS19870,OANT_RS12565,0,799,96.97,0,799,96.97
BAB_RS19875,OANT_RS12560,1.71e-154,431,93.458,1.25e-157,439,93.578
BAB_RS19880,OANT_RS12555,0,881,96.782,0,881,96.782
BAB_RS19885,OANT_RS12550,0,1359,95.101,0,1359,95.101
BAB_RS19890,OANT_RS12545,0,674,98.271,0,674,98.271
BAB_RS19895,OANT_RS12540,5.69e-119,330,97.546,3.6e-119,330,97.546
BAB_RS19900,OANT_RS12535,1.11e-127,355,93.659,7.51e-128,355,93.659
BAB_RS19905,OANT_RS12530,3.93e-66,191,99.02,2.49e-66,191,99.02
BAB_RS19910,OANT_RS12525,0,1255,92.319,0,1255,92.319
BAB_RS19915,OANT_RS12520,0,964,94.223,0,949,94.223
BAB_RS19920,OANT_RS12515,0,833,93.305,0,853,93.305
BAB_RS19925,OANT_RS12510,0,512,95.849,0,512,95.849
BAB_RS19930,OANT_RS12505,0,1083,96.237,0,1083,96.237
BAB_RS19935,OANT_RS12500,9.77e-91,256,94.776,6.18e-91,256,94.776
BAB_RS19940,OANT_RS12495,7.69e-55,162,88.764,4.86e-55,162,88.764
BAB_RS19945,OANT_RS12490,0,883,95.475,0,883,95.475
BAB_RS19950,OANT_RS12485,0,813,95.183,0,841,95.183
BAB_RS19955,OANT_RS12480,4.54e-162,444,95.595,2.87e-162,444,95.595
BAB_RS19960,OANT_RS12475,0,2229,92.777,0,2208,92.777
BAB_RS19965,OANT_RS12460,6.8e-24,82.4,90.164,1.28e-23,81.3,90.164
BAB_RS19970,OANT_RS12455,1.15e-74,216,76.866,7.5e-75,216,76.866
BAB_RS19990,OANT_RS12445,3.81e-147,404,95.61,2.41e-147,404,95.61
BAB_RS19995,OANT_RS12435,0,521,93.151,0,521,93.151
BAB_RS20000,OANT_RS12430,1.75e-175,482,82.182,5.59e-169,465,82.182
BAB_RS20005,OANT_RS12425,0,726,89.311,0,726,89.311
BAB_RS20010,OANT_RS12420,3.84e-73,210,90.909,2.43e-73,210,90.909
BAB_RS20015,OANT_RS12415,4.76e-53,156,98.701,3.01e-53,156,98.701
BAB_RS20020,OANT_RS12410,0,1439,95.946,0,1439,95.946
BAB_RS20025,OANT_RS12395,2.2e-80,230,93.233,4.64e-81,231,93.233
BAB_RS20030,OANT_RS12390,5.55e-145,400,91.163,3.52e-145,400,91.163
BAB_RS20035,OANT_RS12385,2.59e-164,449,97.309,1.64e-164,449,97.309
BAB_RS20040,OANT_RS12380,2.86e-50,150,94.937,1.81e-50,150,94.937
BAB_RS20045,OANT_RS12375,0,510,98.031,0,510,98.031
BAB_RS20050,OANT_RS12370,3.22e-63,184,87.85,2.04e-63,184,87.85
BAB_RS20055,OANT_RS12365,5.06e-167,459,94.841,6.27e-167,458,94.841
BAB_RS20060,OANT_RS12360,1.51e-133,369,94.149,9.55e-134,369,94.149
BAB_RS20065,OANT_RS12355,0,510,88.448,0,510,88.448
BAB_RS20070,OANT_RS12350,0,874,98.152,0,874,98.152
BAB_RS20075,OANT_RS12345,1.1e-158,435,94.222,2.31e-152,419,95.755
BAB_RS20080,OANT_RS12340,0,581,92.208,0,595,92.208
BAB_RS20085,OANT_RS12335,0,677,96.784,0,677,96.784
BAB_RS20090,OANT_RS12330,0,816,94.588,0,816,94.588
BAB_RS20095,OANT_RS12325,0,688,89.031,0,663,89.031
BAB_RS20100,OANT_RS12320,1.87e-63,184,98.925,1.18e-63,184,98.925
BAB_RS20105,OANT_RS12315,5.46e-149,413,79.447,2.07e-139,389,76.285
BAB_RS20110,OANT_RS12310,0,629,87.611,0,629,87.611
BAB_RS20115,OANT_RS12305,0,513,88.095,0,516,88.095
BAB_RS20120,OANT_RS12300,9.37e-157,432,85.597,5.93e-157,432,85.597
BAB_RS20125,OANT_RS12295,0,692,86.807,0,692,86.807
BAB_RS20130,OANT_RS12290,2.02e-145,402,87.665,1.28e-145,402,87.665
BAB_RS20135,OANT_RS11490,4.69e-178,488,88.433,9.1e-171,469,87.313
BAB_RS20140,OANT_RS12285,0,557,84.615,0,570,84.211
BAB_RS20145,OANT_RS12280,3.33e-151,417,88.462,5.46e-142,393,88.462
BAB_RS20150,OANT_RS12275,7.57e-29,94.7,67.188,4.79e-29,94.7,67.188
BAB_RS20155,OANT_RS12270,7.2e-141,393,80,1.78e-134,377,80
BAB_RS20160,OANT_RS12265,0,588,94.69,0,587,94.69
BAB_RS20165,OANT_RS12260,4.34e-114,317,96.855,2.75e-114,317,96.855
BAB_RS20170,OANT_RS12255,5.67e-138,382,90.995,5.92e-139,384,90.995
BAB_RS20175,OANT_RS12250,2.86e-70,208,64.474,7.11e-70,207,64.474
BAB_RS20180,OANT_RS12245,7.67e-173,474,86.517,4.78e-173,474,86.517
BAB_RS20185,OANT_RS12240,0,498,89.231,0,498,89.231
BAB_RS20190,OANT_RS12235,1.02e-151,419,93.191,6.14e-160,439,93.191
BAB_RS20195,OANT_RS12230,4.46e-72,207,93.519,2.82e-72,207,93.519
BAB_RS20200,OANT_RS12225,0,715,88.806,0,715,88.806
BAB_RS20205,OANT_RS12220,0,1138,94.188,0,1138,94.188
BAB_RS20210,OANT_RS12215,0,951,55.951,0,967,57.116
BAB_RS20215,OANT_RS12205,0,631,90.265,0,631,90.265
BAB_RS20220,OANT_RS12200,8.75e-166,458,85.816,4.35e-167,461,85.816
BAB_RS20225,OANT_RS12195,7.73e-136,379,83.539,3.03e-135,377,83.539
BAB_RS20230,OANT_RS12190,1.75e-34,109,86.842,1.49e-34,109,86.842
BAB_RS20235,OANT_RS12185,1.25e-65,198,71.698,1.3e-63,192,82.645
BAB_RS20240,OANT_RS12180,0,527,94.891,0,507,94.891
BAB_RS20245,OANT_RS12175,0,798,92.037,0,822,92.037
BAB_RS20250,OANT_RS12170,2.54e-175,480,92.885,1.63e-175,480,92.885
BAB_RS20255,OANT_RS12165,3.15e-144,399,90.09,6.27e-152,417,90.09
BAB_RS20265,OANT_RS12160,0,660,79.684,0,699,81.982
BAB_RS20270,OANT_RS12155,0,544,91.986,0,544,91.986
BAB_RS20275,OANT_RS12150,1.04e-72,209,92.035,6.59e-73,209,92.035
BAB_RS20280,OANT_RS12145,0,1303,88.598,0,1301,88.598
