O_anthropi,S_meliloti,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
OANT_RS02700,SMc00859,1.8e-31,102,70.833,1.41e-31,102,70.833
OANT_RS02705,SMc00860,0,532,77.219,0,551,77.219
OANT_RS02710,SMc00861,0,548,47.627,0,543,48.958
OANT_RS02715,SMc00855,0,569,85.161,0,569,85.161
OANT_RS02720,SMc00851,0,1023,68.455,0,1010,68.455
OANT_RS02730,SMc00984,2.9e-120,346,58.544,2.31e-120,346,58.544
OANT_RS02735,SMc00985,0,624,63.871,0,624,63.871
OANT_RS02740,SMc00987,3.58e-74,219,58.564,7.39e-67,200,58.564
OANT_RS02745,SMc00976,3.6e-93,272,59.494,3.19e-102,295,59.2
OANT_RS02750,SMc00977,0,812,67.059,0,782,67.067
OANT_RS02755,SMc00993,0,573,68.396,0,593,68.396
OANT_RS02760,SMc00988,1.69e-128,367,64.194,4.42e-131,374,64.194
OANT_RS02765,SMc00069,5.02e-115,323,75.377,4.05e-115,323,75.377
OANT_RS02770,SMc01464,4.27e-31,120,37.5,1.6e-31,121,37.5
OANT_RS02775,SMc00002,1.54e-22,84,36.792,1.56e-22,84,36.792
OANT_RS02780,SMa0116,1.08e-59,191,36.508,2.14e-52,172,34.921
OANT_RS02785,SMc00005,4.52e-164,453,79.779,3.59e-164,453,79.779
OANT_RS02790,SMc00006,6.05e-69,206,52.85,4.1e-72,214,52.85
OANT_RS02795,SMc01798,4.17e-90,264,53.061,3.23e-90,264,53.061
OANT_RS02800,SMc00070,7.18e-16,63.5,34.94,5.91e-16,63.5,34.94
OANT_RS02805,SMc00007,0,579,81.868,0,602,81.868
OANT_RS02810,SMc00008,0,553,74.124,0,553,74.124
OANT_RS02815,SMc00969,1.83e-144,407,65.615,5.56e-153,428,65.615
OANT_RS02820,SMc00970,1.24e-32,105,64.474,9.76e-33,105,64.474
OANT_RS02835,SMa1765,7.13e-17,71.6,41.228,1.82e-11,57,41.333
OANT_RS02840,SMc00971,3.31e-151,423,67.541,2.64e-151,423,67.541
OANT_RS02845,SMc00972,0,989,76.077,0,989,76.077
OANT_RS02850,SMc00973,2.04e-111,318,63.745,1.6e-111,318,63.745
OANT_RS02855,SMc00974,1.42e-151,433,55.663,9.91e-160,453,55.663
OANT_RS02860,SMc01404,2.91e-65,199,46.725,1.37e-71,215,46.725
OANT_RS02865,SMc02544,3.59e-98,281,65.842,2.92e-98,281,65.842
OANT_RS02875,SMc02543,2.92e-58,197,41.279,1.38e-59,201,40.625
OANT_RS02885,SMc00550,0,1001,78.914,0,1025,78.914
OANT_RS02890,SMc00551,6.6e-119,335,67.826,5.24e-119,335,67.826
OANT_RS02895,SMc00552,7.76e-119,340,68.924,1.41e-124,354,68.924
OANT_RS02905,SMc00553,1.11e-124,351,68.163,8.79e-125,351,68.163
OANT_RS02910,SMc00554,0,842,81.855,0,842,81.855
OANT_RS02915,SMc00555,6.35e-74,219,59.278,1.2e-66,200,59.278
OANT_RS02920,SMc00556,0,763,79.526,0,748,79.526
OANT_RS02925,SMc00561,0,842,82.932,0,842,82.932
OANT_RS02935,SMc02645,1.14e-143,414,51.597,8.88e-144,414,51.597
OANT_RS02940,SMc00565,9.21e-90,258,68.715,1.99e-90,260,66.667
OANT_RS02945,SMc00566,7.29e-69,215,39.286,1.5e-66,209,38.835
OANT_RS02950,SMc00567,8.01e-50,149,85.185,6.37e-50,149,85.185
OANT_RS02955,SMc00568,8.29e-57,172,76.415,1.35e-57,174,77.885
OANT_RS02960,SMc00571,6.58e-174,481,79.085,1.1e-177,491,79.487
OANT_RS02965,SMc00572,2.71e-150,416,80.408,2.15e-150,416,80.408
OANT_RS02970,SMc00573,1.25e-44,135,88.462,9.94e-45,135,88.462
OANT_RS02975,SMc00574,0,685,81.623,0,636,81.623
OANT_RS02980,SMc00575,6.92e-159,451,61.473,1.02e-161,457,60.833
OANT_RS02985,SMc00576,1.49e-103,302,53.821,1.17e-103,302,53.821
OANT_RS02990,SMc00577,5.11e-110,312,71.292,4.05e-110,312,71.292
OANT_RS03010,SMc00960,0,742,75.536,0,758,75.536
OANT_RS03015,SMc00071,1.45e-88,255,78.065,9.09e-88,253,82.27
OANT_RS03020,SMc00009,2.2e-138,390,72.556,6.19e-142,399,71.636
OANT_RS03025,SMc00010,0,894,83.837,0,884,83.837
OANT_RS03030,SMc00450,4.97e-132,377,62.752,4.39e-132,377,62.752
OANT_RS03040,SMc00012,1.43e-89,259,63.959,1.11e-89,259,63.959
OANT_RS03045,SMc00013,7.89e-169,467,80.479,6e-169,467,80.479
OANT_RS03050,SMc00014,1.66e-63,187,68.852,1.28e-63,187,68.852
OANT_RS03055,SMc00085,1.48e-93,273,56.71,1.08e-93,273,56.71
OANT_RS03060,SMc00016,0,538,78.221,0,538,78.221
OANT_RS03065,SMc00017,5.63e-168,468,67.178,4.47e-168,468,67.178
OANT_RS03070,SMc00018,7.99e-84,241,76.351,6.31e-84,241,76.351
OANT_RS03075,SMc00072,2.21e-81,235,72.05,1.75e-81,235,72.05
OANT_RS03080,SMc00073,3.13e-32,118,35.981,2.92e-32,118,35.981
OANT_RS03095,SMc00019,9.84e-80,234,53.646,7.86e-80,234,53.646
OANT_RS03100,SMc00074,0,1253,62.329,0,1273,62.329
OANT_RS03105,SMc00075,8.57e-75,222,55.978,6.71e-75,222,55.978
OANT_RS03110,SMc00451,0,594,65.258,0,594,65.258
OANT_RS03115,SMc00077,0,688,70.346,0,688,70.346
OANT_RS03120,SMc00020,5.57e-43,140,40.116,5.15e-46,147,40.437
OANT_RS03135,SMc00079,1.11e-102,294,61.404,8.93e-103,294,61.404
OANT_RS03145,SMc00021,0,635,80.108,0,635,80.108
OANT_RS03150,SMc00081,3.84e-97,279,64.646,1.77e-97,280,64.646
OANT_RS03155,SMc00452,1.04e-162,457,61.918,3.4e-160,451,61.918
OANT_RS03170,SMc02640,6.89e-96,285,44.88,5.74e-96,285,44.88
OANT_RS03175,SMc00022,1.03e-46,149,45.833,8.8e-47,149,45.833
OANT_RS03180,SMc00023,4.48e-96,278,68.306,1.46e-96,280,68.306
OANT_RS03185,SMc00024,0,1307,65.625,0,1296,65.625
OANT_RS03190,SMc04432,7.21e-25,87.8,47.573,5.79e-25,87.8,47.573
OANT_RS03200,SMa2105,0,545,71.088,0,545,71.088
OANT_RS03220,SMc05001,7.64e-27,92.8,71.875,8.4e-27,92.4,71.875
OANT_RS03285,SMc02394,3.29e-49,149,71.569,2.61e-49,149,71.569
OANT_RS03305,SMc04137,1.41e-48,161,33.447,6.12e-50,164,33.447
OANT_RS03325,SMc01502,2.67e-44,146,42.857,1.86e-44,146,42.857
OANT_RS03330,SMc03123,4.02e-90,270,42.623,1.97e-89,268,42.623
OANT_RS03345,SMa0929,0,1099,83.333,0,1130,83.333
OANT_RS03350,SMa0930,2.09e-21,77.4,59.091,1.7e-21,77.4,59.091
OANT_RS03355,SMa0933,6.82e-28,94.7,58.242,2.17e-31,103,58.242
OANT_RS03360,SM_b21087,0,2186,70.917,0,2145,70.917
OANT_RS03400,SM_b21083,3.7e-49,150,89.888,4.73e-49,150,89.888
OANT_RS03405,SM_b20542,8.31e-84,238,98.291,6.6e-84,238,98.291
OANT_RS03410,SM_b20541,0,1100,97.273,0,1100,97.273
OANT_RS03470,SMa1323,4.37e-51,155,60.177,3.68e-51,155,60.177
OANT_RS03480,SMa1321,1.93e-85,250,57.642,4.83e-83,244,57.642
OANT_RS03485,SMa1319,4.4e-39,123,74.747,5.49e-43,133,74.747
OANT_RS03490,SMa1318,8.79e-64,187,72.566,6.98e-64,187,72.566
OANT_RS03495,SMa1315,0,1336,81.328,0,1350,81.328
OANT_RS03500,SMa1313,8.22e-129,361,73.82,6.56e-129,361,73.82
OANT_RS03510,SMa1311,1.19e-169,470,79.139,4.02e-178,491,79.139
OANT_RS03515,SMa1308,7.33e-140,388,82.96,5.82e-140,388,82.96
OANT_RS03520,SMa1306,8.58e-160,443,86.047,1.15e-168,466,82.437
OANT_RS03525,SMa1303,0,556,73.913,0,593,73.913
OANT_RS03530,SMa1302,0,508,75.153,0,508,75.153
OANT_RS03535,SMc00025,0,1449,78.167,0,1449,78.167
OANT_RS03545,SMc00084,1.49e-08,47.4,29.358,1.87e-08,47,29.358
OANT_RS03550,SM_b20402,3.04e-69,224,36.855,2.77e-69,224,36.855
OANT_RS03560,SMc00026,2.65e-34,123,30.952,9.17e-32,116,30.952
OANT_RS03565,SMc00087,8.05e-146,409,65.306,6.42e-146,409,65.306
OANT_RS03575,SM_b20873,2.6e-66,197,61.039,2.08e-66,197,61.039
OANT_RS03590,SM_b21232,5.1e-75,251,38.034,6.74e-81,266,36.266
OANT_RS03600,SMc00125,5.32e-13,52.4,100,4.23e-13,52.4,100
OANT_RS03640,SMa1070,1.18e-106,326,43.909,9.59e-107,326,43.909
OANT_RS03645,SMa0776,1.15e-91,268,55.833,8.69e-92,268,55.833
OANT_RS03650,SMc03281,3.54e-43,143,38.22,3.14e-43,143,38.22
OANT_RS03655,SMa1623,7.08e-44,137,63.115,6.31e-38,122,63.303
OANT_RS03665,SMa2171,0,902,83.333,0,906,83.333
OANT_RS03690,SMc01153,1.05e-140,393,75.097,8.35e-141,393,75.097
OANT_RS03695,SMc01154,3.76e-129,367,62.252,3.07e-129,367,62.252
OANT_RS03700,SMc04118,4.92e-28,101,30.645,4.17e-28,101,30.645
OANT_RS03705,SMc04117,2.68e-18,76.6,26.63,2.32e-18,76.6,26.63
OANT_RS03710,SMc04115,1.02e-29,102,46,4.94e-30,103,46
OANT_RS03720,SMc04113,2.42e-31,109,40.964,2.94e-34,116,41.772
OANT_RS03725,SMc04112,2.49e-79,238,49.438,6.63e-76,229,48.315
OANT_RS03730,SMc04111,4.55e-176,503,54.076,3.64e-176,503,54.076
OANT_RS03735,SMc04110,3.28e-61,189,44.34,6.23e-54,170,43.229
OANT_RS03740,SMc04109,7.52e-175,493,58.435,1.34e-178,503,58.435
OANT_RS03745,SMc02820,0,745,77.119,0,745,77.119
OANT_RS03750,SMc02821,1.07e-123,356,55.806,5.97e-128,367,53.709
OANT_RS03755,SMc02822,3.5e-142,402,63.95,2.73e-142,402,63.95
OANT_RS03760,SMc02824,7.75e-96,280,58.167,6.18e-96,280,58.167
OANT_RS03765,SMc02825,0,520,58.705,1.81e-180,510,59.502
OANT_RS03770,SMc02826,6.2e-45,139,69.298,4.29e-52,157,69.298
OANT_RS03775,SMc02827,1.3e-109,316,56.491,1.02e-109,316,56.491
OANT_RS03780,SMc04308,1.9e-46,154,34.959,1.46e-46,154,34.959
OANT_RS03785,SMc02849,0,546,78.679,0,546,78.679
OANT_RS03790,SMc02848,6.61e-66,199,62.329,5.01e-66,199,62.329
OANT_RS03800,SMc03157,2.57e-125,354,67.901,7.28e-130,365,66.795
OANT_RS03805,SMc00329,2.81e-65,193,66.176,2.15e-65,193,66.176
OANT_RS03810,SMc00328,3.1e-100,283,77.515,2.45e-100,283,77.515
OANT_RS03815,SMc00327,0,631,75.245,0,631,75.245
OANT_RS03820,SMc00326,2.71e-159,441,78.067,2.12e-159,441,78.067
OANT_RS03825,SMc00325,4.08e-71,222,40.882,1.04e-80,246,40.882
OANT_RS03830,SMc00324,0,1253,86.779,0,1259,86.779
OANT_RS03835,SMc00323,5.54e-45,137,74.157,4.4e-45,137,74.157
OANT_RS03840,SMc00321,4.23e-149,419,66.254,3.23e-149,419,66.254
OANT_RS03845,SMc00320,1.86e-61,183,70.769,1.33e-61,183,70.769
OANT_RS03850,SMc02914,0,1171,66.159,0,1204,73.543
OANT_RS03855,SMc02913,1.57e-72,218,57.576,1.18e-72,218,57.576
OANT_RS03865,SMc02912,0,885,84.749,0,885,84.749
OANT_RS03870,SMc02911,2.14e-75,224,62.286,1.39e-79,234,58.376
OANT_RS03875,SMc01108,4.44e-96,278,62.009,8.39e-103,295,62.009
OANT_RS03880,SMc01109,0,684,81.055,0,683,81.055
OANT_RS03885,SMc01110,1.12e-70,206,80,1.12e-77,223,79.562
OANT_RS03890,SMc01111,0,556,58.012,0,564,58.012
OANT_RS03895,SMc01112,2.72e-126,366,61.755,5.72e-126,365,57.821
OANT_RS03900,SMc01113,2.79e-60,182,57.407,2.3e-60,182,57.407
OANT_RS03905,SMc01114,1.42e-178,495,74.769,4.89e-179,496,74.769
OANT_RS03910,SMc01115,0,691,73.034,0,691,73.034
OANT_RS03915,SMc01116,5.63e-94,276,51.331,4.89e-94,276,51.331
OANT_RS03920,SMc01117,8.93e-36,120,49.045,6.97e-36,120,49.045
OANT_RS03925,SMc01118,3.55e-47,153,45.089,5.36e-57,177,45.089
OANT_RS03935,SMc00382,0,679,78.293,0,679,78.293
OANT_RS03940,SMc00083,9.92e-18,68.2,57.407,1.78e-18,69.7,50.704
OANT_RS03960,SMc02140,7.74e-133,370,82.063,6.12e-133,370,82.063
OANT_RS03965,SMc02141,1.28e-117,333,69.62,1e-117,333,69.62
OANT_RS03970,SMc02142,6.29e-163,450,79.121,4.96e-163,450,79.121
OANT_RS03975,SMc02143,0,630,74.941,0,644,74.941
OANT_RS03980,SMc02144,2.37e-161,457,79.538,1.53e-169,477,79.538
OANT_RS03985,SMc02146,0,503,76.324,0,510,73.178
OANT_RS03990,SMc01969,2.64e-171,481,62.532,2e-177,496,62.532
OANT_RS03995,SM_b20557,3.16e-14,62,42.453,1.68e-22,82.8,42.453
OANT_RS04005,SMc00404,1.64e-41,131,64.356,3.1e-46,142,64.356
OANT_RS04025,SMc00998,4.63e-70,209,56.471,3.34e-72,215,52.02
OANT_RS04030,SMa0723,5.55e-21,83.2,37.313,8.22e-21,83.2,37.313
OANT_RS04035,SMc00413,7.27e-53,165,47.826,5.86e-53,165,47.826
OANT_RS04040,SMc01749,3.71e-50,159,46.746,2.06e-50,159,46.746
OANT_RS04045,SMc00420,0,761,76.908,0,793,76.908
OANT_RS04050,SMc00419,0,500,74.516,0,500,74.516
OANT_RS04055,SMc00883,1.67e-92,273,48.239,1.34e-92,273,48.239
OANT_RS04060,SMc00411,1.03e-46,142,68.421,8.17e-47,142,68.421
OANT_RS04065,SMc00412,3.8e-116,329,73.451,2.93e-116,329,73.451
OANT_RS04070,SMc01960,2.28e-20,81.6,28.962,1.78e-20,81.6,28.962
OANT_RS04075,SMc00414,4.84e-93,268,65.625,3.87e-93,268,65.625
OANT_RS04080,SMc02858,0,595,77.836,0,570,77.836
OANT_RS04085,SMc02857,0,1099,84.219,0,1101,84.219
OANT_RS04090,SMc00375,1.87e-155,436,63.077,1.48e-155,436,63.077
OANT_RS04100,SMc00370,3.53e-138,390,65.306,6.02e-132,374,65.306
OANT_RS04105,SMa0563,1.18e-121,350,52.439,9.46e-122,350,52.439
OANT_RS04120,SMc00366,0,1199,72.367,0,1173,72.367
OANT_RS04125,SMc00365,0,610,78.862,0,610,78.862
OANT_RS04135,SMc00364,1.4e-73,213,80.597,1.12e-73,213,80.597
OANT_RS04140,SMc00363,1.24e-35,112,83.582,9.98e-36,112,83.582
OANT_RS04145,SMc01259,2.78e-09,51.6,31.159,1.1e-08,49.3,31.707
OANT_RS04150,SMc00362,1.35e-84,243,83.803,8.65e-85,243,83.803
OANT_RS04155,SMc00361,4.02e-105,303,58.893,3.45e-105,303,58.893
OANT_RS04160,SMc02691,3.94e-72,228,39.628,3.35e-72,228,39.628
OANT_RS04165,SMc02769,3.16e-55,167,65.385,2.35e-55,167,65.385
OANT_RS04170,SMc02768,1.72e-83,247,53.712,1.36e-83,247,53.712
OANT_RS04180,SMc02767,5.18e-89,259,65.714,2.31e-93,270,65.714
OANT_RS04185,SMc02766,0,688,80.198,0,688,80.198
OANT_RS04195,SMc02765,6.56e-133,375,69.549,3.51e-138,388,69.176
OANT_RS04200,SMc02764,1.85e-152,426,69.93,1.48e-152,426,69.93
OANT_RS04205,SMc02763,0,573,67.882,0,602,67.882
OANT_RS04220,SMc02761,7.81e-57,169,73.832,6.21e-57,169,73.832
OANT_RS04225,SMc02760,0,939,47.109,0,928,47.109
OANT_RS04230,SMc02759,0,825,45.005,0,828,45.005
OANT_RS04235,SMc02758,5.9e-71,215,49.55,6.66e-79,235,50.213
OANT_RS04240,SMc02757,8.89e-171,489,52.684,6.99e-171,489,52.684
OANT_RS04245,SMc02756,0,833,52.157,0,811,50.971
OANT_RS04250,SMc02755,0,843,87.124,0,843,87.124
OANT_RS04260,SMc02754,5.79e-42,130,65.957,4.25e-42,130,65.957
OANT_RS04265,SMc02753,2.23e-70,205,76.692,1.78e-70,205,76.692
OANT_RS04270,SMc02752,1.88e-18,74.7,38.71,1.38e-18,74.7,38.71
OANT_RS04275,SMc04446,0,716,62.857,0,717,63.951
OANT_RS04280,SMc02560,1.67e-147,409,87.342,2.6e-152,421,87.342
OANT_RS04285,SMc02562,0,858,75.373,0,846,75.373
OANT_RS04290,SMc02563,2.08e-41,132,61.429,2.65e-42,134,60.432
OANT_RS04295,SMa1166,7.99e-09,53.1,36.975,8.18e-09,53.1,36.975
OANT_RS04300,SMc02567,0,517,76.899,0,517,76.899
OANT_RS04305,SMc02568,3.25e-45,139,68.269,2.58e-45,139,68.269
OANT_RS04310,SMc02569,6.06e-168,462,91.86,3.86e-168,462,91.86
OANT_RS04315,SMc02570,8.69e-157,432,87.603,1.02e-152,422,88.793
OANT_RS04320,SMc02572,4.61e-117,330,74.537,3.66e-117,330,74.537
OANT_RS04325,SMc02573,9.33e-12,57.8,30.986,6.47e-12,57.8,30.986
OANT_RS04330,SMc02574,3.2e-108,306,72.959,2.54e-108,306,72.959
OANT_RS04335,SMc02575,1.22e-111,313,81.081,9.73e-112,313,81.081
OANT_RS04340,SMc03852,2.88e-62,189,49.49,2.3e-62,189,49.49
OANT_RS04345,SMc02577,0,721,81.839,0,721,81.839
OANT_RS04350,SMc02578,1.07e-133,380,58.095,1.85e-138,392,58.095
OANT_RS04355,SMc02783,2.07e-47,146,59.829,1.58e-47,146,59.829
OANT_RS04360,SMc02784,2.07e-50,159,47.849,1.51e-50,159,47.849
OANT_RS04365,SMc02785,2.38e-127,368,55,1.92e-130,375,55
OANT_RS04370,SMc02786,1.3e-100,289,60.684,7.31e-96,277,60.811
OANT_RS04375,SMc02787,9.47e-30,105,39.759,1.9e-30,107,37.838
OANT_RS04380,SMc02788,3.28e-78,227,76.623,7.86e-79,229,75.641
OANT_RS04385,SMc02789,3.87e-110,314,67.1,3.22e-110,314,67.1
OANT_RS04390,SMc02790,2.34e-73,218,57.068,1.8e-73,218,57.068
OANT_RS04395,SMc02791,9.95e-107,309,56.159,7.75e-107,309,56.159
OANT_RS04400,SMc02792,4.59e-75,222,57.789,6.61e-74,219,57.789
OANT_RS04405,SMc02793,2.35e-130,368,66.92,2.64e-123,350,66.406
OANT_RS04410,SMc02794,1.53e-162,454,69.592,1.14e-162,454,69.592
OANT_RS04415,SMc02795,3.79e-67,200,59.06,1.63e-68,204,51.977
OANT_RS04420,SMc02796,0,818,95.012,0,818,95.012
OANT_RS04430,SMc02797,3.13e-154,442,53.846,2.47e-154,442,53.846
OANT_RS04435,SMc02798,0,856,67.647,0,834,67.647
OANT_RS04440,SMc02799,1.51e-62,191,48.485,1.2e-62,191,48.485
OANT_RS04445,SMc02800,1.96e-142,398,76.628,1.55e-142,398,76.628
OANT_RS04450,SMc02801,1.54e-126,360,61.486,1.24e-126,360,61.486
OANT_RS04455,SMc02802,1.76e-96,287,43.149,1.38e-96,287,43.149
OANT_RS04465,SMc03828,8.12e-151,419,77.567,6.45e-151,419,77.567
OANT_RS04470,SMc03829,8.75e-159,441,83.959,4.06e-162,450,84.247
OANT_RS04475,SMc03830,0,518,79.811,0,506,79.811
OANT_RS04485,SMc04402,0,599,75.521,0,600,75.521
OANT_RS04490,SMc04401,8.56e-174,484,71.726,6.72e-174,484,71.726
OANT_RS04495,SMc04400,0,501,71.171,6.01e-175,486,71.171
OANT_RS04500,SMc04399,0,939,87.736,0,939,87.736
OANT_RS04505,SMc04398,9.17e-144,400,75.781,7.31e-144,400,75.781
OANT_RS04510,SMc04397,0,784,76.587,0,813,76.587
OANT_RS04515,SMc04392,0,754,74.447,0,731,74.447
OANT_RS04520,SMc04391,9.66e-113,322,70.703,2.58e-106,305,70.703
OANT_RS04525,SMc04390,0,952,83.181,0,952,83.181
OANT_RS04530,SMc04046,4.06e-15,65.1,30.833,2.96e-15,65.1,30.833
OANT_RS04615,SMc00089,7.69e-40,127,55.372,5.86e-40,127,55.372
OANT_RS04670,SMc00682,0,515,65.116,0,519,65.116
OANT_RS04675,SMc00683,4.91e-136,390,56.322,1.82e-128,370,56.232
OANT_RS04680,SMc00684,2.19e-156,442,60.638,6.51e-155,439,60.638
OANT_RS04685,SMc00688,6.28e-27,91.3,62.319,5.05e-27,91.3,62.319
OANT_RS04690,SMc00689,2.18e-110,330,58.052,8.21e-115,342,56.842
OANT_RS04695,SMc00690,4.97e-173,479,70.978,5.97e-161,449,70.978
OANT_RS04700,SMc00691,3.93e-130,370,62.791,2.56e-124,355,62.791
OANT_RS04705,SMc00692,4.41e-10,47.8,45.652,2.34e-10,47.8,45.652
OANT_RS04710,SMc00695,1.93e-66,200,53.672,1.51e-66,200,53.672
OANT_RS04715,SMc00696,0,523,70.166,1.22e-179,501,70.166
OANT_RS04720,SMc00697,0,595,68.483,0,595,68.483
OANT_RS04725,SMc00698,1.64e-39,124,65.306,9.93e-37,117,65.306
OANT_RS04730,SMc00699,8.68e-84,244,63.388,6.01e-84,244,63.388
OANT_RS04735,SMc00700,0,600,86.544,0,600,86.544
OANT_RS04740,SMc00701,0,919,72.803,0,875,72.803
OANT_RS04745,SMa0320,7.4e-44,146,37.2,9.1e-43,143,37.2
OANT_RS04750,SMc00703,2.81e-52,165,54.872,4.78e-64,195,54.872
OANT_RS04755,SMc00704,1.95e-54,162,80.208,1.5e-54,162,80.208
OANT_RS04760,SMc00705,7.29e-58,183,38,5.61e-58,183,38
OANT_RS04765,SMc00109,6.49e-41,131,47.328,5.66e-41,131,47.328
OANT_RS04770,SMc04128,0,893,66.757,0,894,66.757
OANT_RS04780,SMc00708,5.34e-111,318,62.055,1.81e-107,308,62.055
OANT_RS04785,SMc03853,2.6e-108,307,75.98,9.73e-112,316,75.98
OANT_RS04790,SMc03854,0,529,57.685,7.98e-178,508,79.18
OANT_RS04795,SMc03855,0,551,66.588,0,577,66.588
OANT_RS04800,SMc03856,2.41e-153,429,74.74,7.85e-145,407,74.74
OANT_RS04805,SMc02475,6.07e-23,87.8,43.21,2.92e-34,116,44.693
OANT_RS04810,SMc02478,3.5e-163,460,61.559,2.76e-163,460,61.559
OANT_RS04815,SMc02479,0,560,88.125,0,581,88.125
OANT_RS04820,SMc02480,0,690,88.413,0,700,88.413
OANT_RS04825,SMc02481,0,522,90.333,0,523,90.333
OANT_RS04830,SMc02482,0,1698,81.2,0,1719,81.3
OANT_RS04835,SMc02483,0,633,78.947,0,622,78.177
OANT_RS04845,SMc02484,8.69e-127,354,83.099,6.97e-127,354,83.099
OANT_RS04850,SMc02485,8.59e-12,58.2,28.188,6.3e-12,58.2,28.188
OANT_RS04855,SMc02487,0,739,77.331,0,739,77.331
OANT_RS04865,SMc02488,9.3e-87,263,46.372,1.47e-95,285,46.372
OANT_RS04870,SMc02489,2.16e-140,397,67.524,5.28e-148,416,67.524
OANT_RS04875,SMc03860,8.78e-66,197,63.128,1.16e-74,220,63.128
OANT_RS04880,SMc03861,1.06e-116,331,71.304,8.3e-117,331,71.304
OANT_RS04890,SMc03863,1.12e-65,195,71.329,1.49e-64,192,77.049
OANT_RS04895,SMc03823,0,845,87.207,0,844,87.207
OANT_RS04900,SM_b20523,1.26e-58,194,35.492,4.89e-59,194,35.492
OANT_RS04915,SMc02463,9.99e-54,162,60.938,7.82e-54,162,60.938
OANT_RS04920,SMc02464,9.71e-56,167,63.2,7.42e-56,167,63.2
OANT_RS04925,SMc02465,0,1038,82.382,0,1036,83.278
OANT_RS04930,SMc02466,1.91e-175,481,87.645,1.52e-175,481,87.645
OANT_RS04935,SMa1358,1.16e-32,108,46.341,9.28e-33,108,46.341
OANT_RS04945,SMc03804,0,530,67.241,0,536,67.488
OANT_RS04950,SMc03805,1.98e-153,428,72.857,1.54e-153,428,72.857
OANT_RS04955,SMc03807,1.06e-130,382,54.015,1.86e-132,386,53.901
OANT_RS04960,SMc03808,0,1061,65.434,0,1080,65.933
OANT_RS04965,SMc03809,4.44e-86,252,62.085,8.28e-85,248,60.377
OANT_RS04970,SMc03818,1.31e-130,368,64.552,1.04e-130,368,64.552
OANT_RS04975,SMa2385,2.02e-163,472,46.935,3.4e-159,461,46.935
OANT_RS04980,SMc03819,1.69e-39,128,46,1.33e-39,128,46
OANT_RS04985,SMc03820,4.35e-135,376,83.26,1.07e-139,387,83.26
OANT_RS04990,SMc03821,8.57e-57,174,51.176,6.85e-57,174,51.176
OANT_RS04995,SMc02513,0,747,77.033,0,718,77.32
OANT_RS05000,SM_b20039,9.08e-180,510,56.502,0,541,56.502
OANT_RS05005,SM_b20040,2.24e-130,369,67.018,1.85e-118,339,67.018
OANT_RS05010,SMc03226,2.25e-96,277,66.505,1.79e-96,277,66.505
OANT_RS05015,SMc03227,4.13e-83,238,79.137,3.26e-83,238,79.137
OANT_RS05020,SMc03228,7.04e-34,110,58.947,1.46e-31,103,58.947
OANT_RS05025,SMc03229,5.17e-79,242,44.713,4.16e-79,242,44.713
OANT_RS05030,SMc03230,0,538,74.167,0,522,74.167
OANT_RS05035,SMc03231,1.78e-141,399,64.935,1.39e-141,399,64.935
OANT_RS05040,SMc03232,4.3e-34,120,38.136,3.29e-34,120,38.136
OANT_RS05045,SMc03233,2.28e-24,102,31.731,2.14e-31,122,32.104
OANT_RS05050,SMc03234,2.39e-157,458,47.764,4.66e-145,426,48.301
OANT_RS05055,SMc03235,2.75e-36,120,41.549,2.18e-36,120,41.549
OANT_RS05060,SMc03237,2.97e-175,493,60.199,1.93e-170,481,60.199
OANT_RS05065,SMc01870,1.25e-115,327,74.561,9.93e-116,327,74.561
OANT_RS05080,SMc00717,1.15e-121,342,78.539,5.06e-128,358,78.539
OANT_RS05085,SMc00716,1.21e-115,336,62.585,2.11e-131,376,62.585
OANT_RS05090,SMc00715,6.42e-60,188,50.556,2.63e-60,189,50.556
OANT_RS05095,SMc00714,5.62e-115,328,61.39,1.18e-112,322,61.39
OANT_RS05100,SMc03239,3.5e-111,311,82.955,2.8e-111,311,82.955
OANT_RS05105,SMc03238,1.92e-31,103,51.042,1.54e-31,103,51.042
OANT_RS05110,SMc00713,3.33e-67,201,61.446,4.29e-73,216,61.446
OANT_RS05115,SMc00712,3.53e-25,101,27.385,2.79e-25,101,27.385
OANT_RS05120,SMc00711,4.87e-168,466,75.667,3.81e-168,466,75.667
OANT_RS05125,SMc00710,0,525,72.299,0,519,72.299
OANT_RS05130,SMc00709,3.39e-126,356,69.71,2.64e-126,356,69.71
OANT_RS05135,SMc00719,1.23e-87,253,71.591,1.04e-87,253,71.591
OANT_RS05140,SMc00722,0,613,44.843,0,609,44.816
OANT_RS05145,SMc00723,0,628,70.784,0,628,70.784
OANT_RS05155,SMc00725,0,785,81.996,0,785,81.996
OANT_RS05160,SMc00726,7.8e-76,226,56.522,1.63e-79,235,54.667
OANT_RS05165,SMc01851,4.27e-69,207,59.048,1.14e-72,216,59.048
OANT_RS05170,SMc01271,7.77e-43,137,53.425,5.6e-43,137,53.425
OANT_RS05175,SM_b20885,4.46e-66,206,40.484,1.45e-63,199,40.484
OANT_RS05180,SMc00734,4.83e-108,313,59.341,5.5e-108,312,58.633
OANT_RS05185,SMc00733,1.56e-120,343,63.433,4.46e-126,357,63.433
OANT_RS05190,SMc00732,7.41e-13,54.7,49.153,2.57e-09,45.4,57.5
