Melitensis16M,S_meliloti,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BME_RS02450,SMc03744,3.06e-37,119,71.951,5.17e-37,117,71.951
BME_RS02455,SMc02678,1.72e-87,251,70.482,8.68e-88,251,70.482
BME_RS02460,SMc04456,2.46e-57,171,77.064,1.22e-57,171,77.064
BME_RS02470,SMc01595,0,577,66.125,0,564,65.463
BME_RS02475,SMc01593,5.03e-124,349,70.87,2.53e-124,349,70.87
BME_RS02480,SMc01592,6.05e-61,184,63.971,2.7e-61,184,63.971
BME_RS02495,SMc01587,6.17e-100,286,64.593,3.05e-100,286,64.593
BME_RS02500,SMc01586,7.31e-20,78.6,49.123,3.53e-23,85.9,47.706
BME_RS02505,SMc01585,5.13e-40,123,81.69,2.59e-40,123,81.69
BME_RS02510,SMc01230,9.29e-30,112,45.455,8.97e-29,108,41.176
BME_RS02515,SMc04231,0,1463,75.773,0,1463,75.773
BME_RS02520,SMc01590,5.27e-11,57,39.706,1.24e-11,58.2,37.647
BME_RS02525,SMc04228,2.3e-65,192,70.543,1.16e-65,192,70.543
BME_RS02530,SMc04225,5.63e-84,256,55.947,7.07e-84,255,55.947
BME_RS02535,SMc04230,4.26e-53,160,69.231,6.06e-51,154,75.758
BME_RS02540,SMc01584,8.56e-96,282,54.795,2.38e-102,298,54.795
BME_RS02550,SMc01218,1.69e-89,255,79.487,8.6e-90,255,79.487
BME_RS02555,SMc01219,2.4e-135,387,55.301,1.2e-135,387,55.301
BME_RS02560,SMc01223,2.48e-82,237,76,1.25e-82,237,76
BME_RS02565,SMa1691,1.13e-134,394,43.348,5.95e-135,394,42.982
BME_RS02570,SMc01224,0,509,73.765,6.48e-179,494,73.765
BME_RS02575,SMc01225,8.36e-164,455,69.36,4.24e-164,455,69.36
BME_RS02590,SMc01578,0,706,83.5,0,706,83.5
BME_RS02595,SM_b20005,9.77e-23,88.6,31.401,4.94e-23,88.6,31.401
BME_RS02600,SMc01428,1.44e-36,114,76.471,7.3e-37,114,76.471
BME_RS02610,SM_b20937,0,631,52.787,0,631,52.787
BME_RS02615,SMc01215,0,2003,84.179,0,2003,84.179
BME_RS02630,SMc01213,1.17e-133,379,62.739,2.56e-138,390,64.331
BME_RS02635,SMc01569,0,632,77.694,0,632,77.694
BME_RS02640,SMc01568,7.57e-70,205,63.758,1.19e-59,178,63.758
BME_RS02645,SM_b21536,9.92e-135,400,41.53,7.72e-139,410,41.53
BME_RS02650,SMc01567,0,720,56.737,0,744,56.845
BME_RS02655,SMc01563,0,1098,83.212,0,1082,82.482
BME_RS02660,SMc00935,1.32e-20,76.6,44.792,7.37e-21,76.6,44.792
BME_RS02665,SMc00064,1.34e-68,202,63.399,1.87e-65,193,68.217
BME_RS02675,SMc01556,1.15e-71,218,57.009,1.07e-77,232,51.765
BME_RS02710,SM_b20336,8.59e-32,115,32.364,4.28e-32,115,32.364
BME_RS02725,SM_b21468,9.3e-147,416,67.164,7.56e-159,446,66.864
BME_RS02730,SMc02275,1.35e-102,293,70.352,6.9e-103,293,70.352
BME_RS02735,SMc00099,9.9e-33,105,77.941,4.8e-33,105,77.941
BME_RS02740,SMc00981,5.52e-155,438,59.569,9.3e-166,464,59.892
BME_RS02745,SMc00982,0,606,66.024,0,606,66.024
BME_RS02760,SMc02818,2.08e-93,277,47.079,7.87e-92,273,47.079
BME_RS02770,SMc04454,0,1003,88.342,0,998,88.342
BME_RS02790,SMc01842,9.59e-112,326,59.748,9.59e-131,374,59.748
BME_RS02795,SMc01843,3.46e-117,337,58.803,1.8e-117,337,58.803
BME_RS02800,SMc00317,8.27e-35,126,32.792,1.2e-30,114,31.699
BME_RS02805,SMc01845,3.05e-134,386,54.839,1.1e-134,387,54.839
BME_RS02810,SMc01846,2.15e-92,271,49.091,1.03e-92,271,49.091
BME_RS02820,SMc01853,4.06e-95,276,57.203,2.04e-95,276,57.203
BME_RS02825,SMc01854,1.92e-102,296,59.839,9.51e-103,296,59.839
BME_RS02830,SMc01855,2.6e-54,169,55.844,1.1e-54,169,55.844
BME_RS02835,SMa1115,2.05e-08,53.5,23.284,2.06e-09,55.8,24.818
BME_RS02840,SMc01858,3.91e-152,429,66.967,1.95e-152,429,66.967
BME_RS02845,SMc01859,7.13e-27,95.1,43.284,2.02e-28,98.2,43.284
BME_RS02850,SMc01860,0,677,60.55,0,677,60.55
BME_RS02855,SMc01861,0,677,71.901,0,669,71.908
BME_RS02860,SMc01862,6.2e-180,510,57.265,0,521,57.265
BME_RS02865,SMc01863,0,569,77.596,0,574,77.596
BME_RS02870,SMc01864,0,576,69.783,0,630,69.783
BME_RS02875,SMc01865,0,514,68.478,0,529,68.478
BME_RS02880,SMc01866,1.85e-165,465,65.676,6.95e-166,466,65.676
BME_RS02885,SMc01867,0,728,79.915,0,729,79.915
BME_RS02890,SMc01868,1.94e-147,415,64.669,3.53e-150,421,64.669
BME_RS02895,SMc01871,1.29e-179,495,76.299,1.24e-164,457,76.299
BME_RS02900,SMc01872,5.83e-97,286,48.515,2.93e-97,286,48.515
BME_RS02905,SMc01873,0,593,67.136,0,568,67.136
BME_RS02910,SMc01874,0,581,68.46,0,560,69.886
BME_RS02915,SMc01875,7.66e-128,364,59.044,4.36e-128,364,59.044
BME_RS02920,SMc01876,4.8e-126,358,66.409,2.92e-127,360,65.185
BME_RS02925,SMc01877,0,727,70.48,0,709,70.736
BME_RS02930,SMc01878,0,1019,71.349,0,1037,71.349
BME_RS02940,SMc01885,0,706,59.174,0,709,59.174
BME_RS02945,SMc01472,2.37e-106,308,53.979,1.22e-106,308,53.979
BME_RS02950,SMc01471,3.26e-75,222,54.787,1.74e-73,217,59.172
BME_RS02955,SM_b20765,2.95e-61,188,50.259,6.29e-58,179,49.239
BME_RS02960,SMc01465,1.41e-73,216,61.585,7.11e-74,216,61.585
BME_RS02965,SMc01461,0,1331,76.362,0,1330,76.152
BME_RS02975,SMc03110,2.19e-40,131,47.436,7.76e-35,116,47.436
BME_RS02980,SMc01455,0,624,64.24,0,619,64.24
BME_RS02990,SMc01454,0,565,32.92,1.78e-175,549,32.58
BME_RS02995,SMc01452,1.1e-19,73.2,47.222,5.37e-20,73.2,47.222
BME_RS03000,SMc01451,5.97e-15,60.1,53.704,3.24e-15,60.1,53.704
BME_RS03010,SMc01450,6.22e-72,213,59.686,2.85e-72,213,59.686
BME_RS03020,SMc03825,3.88e-38,139,32.283,1.51e-33,126,32.283
BME_RS03025,SMc01449,5.8e-38,120,64.078,3.53e-43,133,64.078
BME_RS03030,SMc01444,3.27e-173,476,84.091,1.65e-173,476,84.091
BME_RS03035,SMc01442,5.8e-70,207,56.805,3.07e-70,207,56.805
BME_RS03040,SMc01441,7.71e-150,425,64.89,1.87e-154,436,63.529
BME_RS03045,SMc01440,8.27e-138,389,68.792,3.7e-146,410,68.792
BME_RS03055,SMc01438,0,534,58.039,0,552,57.611
BME_RS03060,SMc00763,0,526,67.008,0,526,67.008
BME_RS03065,SMc01494,8.02e-144,404,68.707,1.9e-144,405,68.707
BME_RS03070,SMc01435,1.85e-115,333,55.789,4.45e-108,313,55.789
BME_RS03075,SMc01431,0,1031,81.895,0,1031,81.895
BME_RS03080,SMc01430,3.33e-110,310,78.947,1.69e-110,310,78.947
BME_RS03085,SMc01414,0,641,81.333,0,654,81.333
BME_RS03095,SMc01407,1e-125,354,73.554,5.14e-116,329,72.47
BME_RS03100,SMc00873,0,647,53.376,0,647,53.376
BME_RS03105,SMc04348,2.29e-64,196,50.704,1.17e-64,196,50.704
BME_RS03110,SMc04346,0,616,85.841,0,594,85.841
BME_RS03120,SMc04323,0,628,74.817,0,640,74.817
BME_RS03130,SMc04274,6.32e-173,483,63.836,3.19e-173,483,63.836
BME_RS03140,SMc04271,6.67e-100,293,53.135,1.25e-103,302,53.135
BME_RS03145,SMa1151,8.33e-32,108,36.735,4.41e-32,108,36.735
BME_RS03230,SMc01941,1.35e-33,109,50.505,6.8e-34,109,50.505
BME_RS03240,SM_b21207,1.36e-21,91.7,29.29,6.93e-24,97.1,29.697
BME_RS03255,SMc02726,9.89e-12,65.5,24.727,7.06e-12,65.1,24.727
BME_RS03275,SMc01163,4.86e-166,466,60.109,2.49e-166,466,60.109
BME_RS03285,SMa0070,9.92e-37,133,32.37,1.32e-43,150,32.37
BME_RS03290,SMa0072,7.21e-68,207,43.496,3.42e-68,207,43.496
BME_RS03295,SMc00165,1.67e-141,396,71.91,1.81e-147,410,71.91
BME_RS03300,SM_b21302,4.06e-38,124,46.259,2.21e-38,124,46.259
BME_RS03310,SMc04364,1.09e-08,41.2,88,5.5e-09,41.2,88
BME_RS03355,SMc02853,1.15e-119,345,58.013,3.63e-126,360,58.013
BME_RS03360,SMa1600,0,578,54.545,0,567,54.545
BME_RS03365,SMc02265,0,1008,62.143,0,1011,62.024
BME_RS03375,SMc04176,0,695,43.575,0,692,43.831
BME_RS03380,SMc04174,2.59e-18,70.5,45.783,1.2e-18,70.5,45.783
BME_RS03385,SMc01987,0,1495,82.181,0,1495,82.181
BME_RS03395,SMc04169,0,532,76.636,0,532,76.636
BME_RS03400,SMc04163,1.86e-119,343,55.254,2.41e-113,326,55.254
BME_RS03410,SM_b20751,3.3e-123,352,66.897,3.15e-130,369,65.986
BME_RS03415,SM_b20753,0,528,67.905,0,528,67.905
BME_RS03420,SMc04309,0,672,69.895,0,672,69.895
BME_RS03435,SMc04305,7.96e-73,214,69.277,7.9e-77,224,69.277
BME_RS03440,SMc04304,0,522,76.385,0,523,76.385
BME_RS03445,SMc04303,0,1791,71.282,0,1805,71.282
BME_RS03450,SMc04302,6.26e-96,276,68.657,3.2e-96,276,68.657
BME_RS03470,SMc04285,2.1e-19,75.9,45.082,7.51e-23,84.3,45.082
BME_RS03475,SMc03187,5.46e-95,276,55.777,2.64e-95,276,55.777
BME_RS03480,SMc03189,2.43e-53,171,42.742,1.32e-53,171,42.742
BME_RS03490,SMc04284,1.59e-149,417,74.436,7.66e-150,417,74.436
BME_RS03495,SMc04282,3.24e-170,482,61.574,5.23e-173,488,61.574
BME_RS03500,SMc04281,1.79e-88,266,50.606,2.98e-92,275,50.606
BME_RS03505,SMc04279,2.8e-100,296,51.839,3.32e-94,280,51.466
BME_RS03510,SMc00513,8.04e-50,168,35.53,4.43e-60,194,35.53
BME_RS03515,SMc00514,7.45e-50,156,46.875,3.81e-50,156,46.875
BME_RS03520,SMc01019,8.57e-45,151,42.935,4.27e-45,151,42.935
BME_RS03535,SMc03190,2.69e-71,227,52,2.35e-70,223,52
BME_RS03540,SMc03191,1e-79,238,50.633,5.2e-80,238,50.633
BME_RS03545,SMc03192,5.67e-90,260,67.327,2.9e-90,260,67.327
BME_RS03550,SMc03193,2.97e-21,93.2,28.169,2.64e-24,101,28.404
BME_RS03555,SMc03188,1.83e-134,389,52.261,9.51e-135,389,52.261
BME_RS03565,SMc00299,9.55e-109,311,69.683,5.08e-109,311,69.683
BME_RS03570,SMc00298,3.53e-175,482,83.764,1.81e-175,482,83.764
BME_RS03575,SMc00297,8.34e-103,295,63.203,4.23e-103,295,63.203
BME_RS03590,SMc00291,1.54e-24,101,47.059,8.14e-25,101,47.059
BME_RS03600,SMc00294,0,729,85.396,0,729,85.396
BME_RS03605,SMc00293,0,635,70.252,0,635,70.252
BME_RS03620,SMc00292,0,646,63.22,0,702,63.22
BME_RS03625,SMc04202,2.72e-59,190,52.821,1.03e-61,195,47.183
BME_RS03630,SMc00290,4.24e-83,239,73.973,1.81e-83,239,73.973
BME_RS03635,SMc00289,5.27e-97,277,69.43,2.65e-97,277,69.43
BME_RS03640,SMc00288,1.64e-34,116,47.863,6.89e-35,116,47.863
BME_RS03645,SMc02114,6.36e-114,325,66.122,3.25e-114,325,66.122
BME_RS03650,SMc02113,2e-143,401,69.742,1.02e-143,401,69.742
BME_RS03655,SMc02112,1.06e-31,102,69.118,6.36e-32,102,69.118
BME_RS03660,SMc04241,2.16e-78,228,62.5,1.1e-78,228,62.5
BME_RS03670,SMc01000,6.36e-16,71.2,27.778,3.32e-16,71.2,27.778
BME_RS03675,SMc01001,1.39e-46,152,38.356,5.66e-51,163,38.559
BME_RS03680,SMc01002,1.62e-37,122,43.262,8.13e-38,122,43.262
BME_RS03685,SMc01327,2.28e-118,339,61.324,3.29e-125,355,61.324
BME_RS03690,SMc01378,5.28e-15,57.4,96.429,2.67e-15,57.4,96.429
BME_RS03695,SMc01379,1.61e-10,45.8,100,8.13e-11,45.8,100
BME_RS03705,SMc01381,1.66e-09,43.5,84,8.41e-10,43.5,84
BME_RS03710,SMc01323,6.25e-22,77.8,66.154,6.03e-22,77,66.154
BME_RS03715,SMc01322,8.84e-105,295,82.955,4.49e-105,295,82.955
BME_RS03720,SMc01321,1.8e-85,244,80.986,9.12e-86,244,80.986
BME_RS03725,SMc01320,1.49e-136,380,81.659,3.57e-130,363,81.659
BME_RS03730,SMc01319,8.96e-93,265,73.256,4.53e-93,265,73.256
BME_RS03735,SMc01318,3.21e-51,156,84.127,6.55e-51,154,80.159
BME_RS03740,SMc01317,0,2486,86.594,0,2486,86.594
BME_RS03745,SMc01316,0,2548,87.277,0,2548,87.277
BME_RS03750,SMc01315,2.08e-19,73.9,41,8.72e-19,71.2,40.816
BME_RS03755,SMc01314,9.44e-84,238,95.935,4.77e-84,238,95.935
BME_RS03760,SMc01313,1.75e-104,293,87.179,8.82e-105,293,87.179
BME_RS03765,SMc01312,0,1203,84.483,0,1203,84.483
BME_RS03770,SMc01311,0,708,91.816,0,708,91.816
BME_RS03775,SMc01310,1.58e-70,203,96.078,7.99e-71,203,96.078
BME_RS03780,SMc01309,5.07e-129,361,79.439,1.18e-133,372,78.475
BME_RS03785,SMc01308,1.2e-93,270,74.706,6.05e-94,270,74.706
BME_RS03790,SMc01307,7.03e-57,168,85.567,3.55e-57,168,85.567
BME_RS03795,SMc01306,4.64e-172,474,86.331,2.74e-172,474,86.331
BME_RS03800,SMc01305,1.82e-65,189,100,9.2e-66,189,100
BME_RS03805,SMc01304,4.86e-77,221,85.271,2.46e-77,221,85.271
BME_RS03810,SMc01303,4.15e-155,427,86.076,2.1e-155,427,86.076
BME_RS03815,SMc01302,2.44e-82,235,81.022,1.23e-82,235,81.022
BME_RS03820,SMc01301,1.08e-32,104,80.303,5.45e-33,104,80.303
BME_RS03825,SMc01300,2.17e-45,137,79.487,1.07e-45,137,79.487
BME_RS03830,SMc01299,8.98e-83,235,96.721,4.54e-83,235,96.721
BME_RS03835,SMc01298,3.32e-56,167,78.641,1.68e-56,167,78.641
BME_RS03840,SMc01297,1.07e-103,293,80,7.73e-110,308,80
BME_RS03845,SMc01296,1.04e-55,165,77.228,5.24e-56,165,77.228
BME_RS03850,SMc01295,4.03e-80,229,82.576,2.03e-80,229,82.576
BME_RS03855,SMc01294,5.19e-99,281,77.966,2.62e-99,281,77.966
BME_RS03860,SMc01293,3.53e-68,198,82.5,1.24e-58,173,82.5
BME_RS03865,SMc01292,1.95e-110,310,86.243,1.58e-103,292,88.69
BME_RS03870,SMc01291,2.49e-30,99,78.788,1.3e-30,99,78.788
BME_RS03875,SMc01290,2.86e-81,234,76.923,1.45e-81,234,76.923
BME_RS03880,SMc01289,0,759,82.735,0,759,82.735
BME_RS03885,SMc01288,4.48e-109,308,78.534,2.24e-109,308,78.534
BME_RS03890,SMc01287,1.46e-67,197,85.841,8.5e-68,197,85.841
BME_RS03895,SMc01286,2.08e-91,258,96.124,1.05e-91,258,96.124
BME_RS03900,SMc01285,0,626,89.614,0,626,89.614
BME_RS03905,SMc01283,9.78e-83,237,87.121,5.19e-83,237,87.786
BME_RS03910,SMc01280,1.83e-175,498,56.512,3.96e-176,499,56.291
BME_RS03915,SMc01279,0,771,85.287,0,764,86.183
BME_RS03920,SMc01561,1.27e-78,230,63.277,1.66e-83,242,62.434
BME_RS03925,SMc00354,5.82e-93,269,71.689,9.53e-93,268,71.689
BME_RS03930,SMc00760,0,658,88.089,0,658,88.089
BME_RS03935,SMc00475,0,1415,77.765,0,1386,78.186
BME_RS03945,SMc00480,0,784,92.079,0,784,92.079
BME_RS03955,SMa0275,1.87e-71,213,53.093,9.52e-72,213,53.093
BME_RS03960,SMc00482,3.96e-128,362,66.045,2e-128,362,66.045
BME_RS03965,SMc00483,4.2e-138,388,72.868,2.12e-138,388,72.868
BME_RS03970,SM_b20292,7.09e-54,177,35.562,6.83e-53,174,36.634
BME_RS03975,SM_b20291,4.01e-55,199,38.739,6.29e-61,215,38.739
BME_RS03980,SM_b21473,3.77e-20,77.4,46.789,2.28e-20,77.4,46.789
BME_RS03985,SM_b20757,0,1195,81.461,0,1218,81.461
BME_RS03990,SM_b20756,0,1040,76.162,0,1039,76.162
BME_RS03995,SM_b20755,0,963,90,0,963,90
BME_RS04000,SM_b20754,0,685,68.017,0,685,68.017
BME_RS04005,SMa1626,2.87e-53,166,50.867,9.28e-54,167,50.282
BME_RS04015,SMc02723,3.46e-83,239,74.342,1.74e-83,239,74.342
BME_RS04025,SM_b21501,1.34e-12,57.4,43.373,2.65e-16,66.2,43.373
BME_RS04035,SMc01260,8.14e-69,201,75.781,4.11e-69,201,75.781
BME_RS04040,SMc01258,2.56e-37,134,54.331,5.86e-34,124,54.331
BME_RS04045,SMc00331,6.15e-65,203,43.411,3.94e-65,203,43.411
BME_RS04050,SMc01256,0,706,75.803,0,686,75.803
BME_RS04055,SMc00995,1.75e-56,171,61.379,6.51e-58,174,61.379
BME_RS04065,SMc00996,1.87e-129,382,47.034,1.35e-129,382,46.882
BME_RS04070,SMc02110,2.76e-66,193,81.481,1.41e-66,193,81.481
BME_RS04075,SMc02109,0,1333,79.216,0,1366,79.502
BME_RS04080,SMc02106,7.22e-66,194,72.143,2.4e-71,207,72.143
BME_RS04085,SMc02105,0,526,65.285,0,526,65.285
BME_RS04090,SMc02104,2.36e-83,246,54.812,1.17e-83,246,54.812
BME_RS04095,SMc02103,4.56e-68,201,65.584,2.31e-68,201,65.584
BME_RS04100,SMc02102,5.75e-91,268,50.988,4.63e-89,263,51.02
BME_RS04110,SMc02101,4.75e-166,457,84.646,2.39e-166,457,84.646
BME_RS04115,SMc02100,4.26e-153,428,70.033,4.77e-153,427,70.033
BME_RS04120,SMc02099,1.45e-130,366,79.167,6.77e-131,366,79.167
BME_RS04125,SMc02098,7.6e-99,281,71.505,3.84e-99,281,71.505
BME_RS04130,SMc02097,1.1e-107,309,66.812,5.42e-108,309,66.812
BME_RS04135,SMc02096,7.96e-62,194,46.559,8.13e-59,185,46.694
BME_RS04140,SMc02095,4.27e-122,355,50.872,9.2e-116,338,50.872
BME_RS04145,SMc02094,0,811,54.003,0,825,54.003
BME_RS04150,SMc02093,6.66e-109,320,50,1.31e-118,343,50
BME_RS04155,SMc02092,5.71e-67,198,67.586,2.83e-67,198,67.586
BME_RS04160,SMc02091,2.71e-79,238,44.358,1.33e-79,238,44.358
BME_RS04165,SMc02090,7.03e-72,221,51.471,3.45e-81,244,51.429
BME_RS04170,SMc02089,2.86e-126,367,50.39,6.86e-134,385,50.39
BME_RS04175,SMc02087,0,803,86.946,0,803,86.946
BME_RS04180,SMc03172,1.81e-95,294,37.975,9.39e-96,294,37.975
BME_RS04190,SMc02086,7.08e-87,283,35.261,1.48e-73,247,35.261
BME_RS04195,SMc01183,3.25e-126,355,76.25,5.49e-131,366,77.5
BME_RS04200,SMc00238,3.59e-133,385,53.202,2.49e-132,382,53.202
BME_RS04205,SMc00237,2.9e-82,238,76.433,1.45e-82,238,76.433
BME_RS04210,SMc00236,7.79e-145,404,78.707,3.62e-152,422,78.707
BME_RS04215,SMc00235,1.21e-160,450,65.373,1.16e-154,434,65.373
BME_RS04220,SMc00234,0,538,47.695,0,540,47.695
BME_RS04225,SMc01023,1.32e-116,332,64.567,6.74e-117,332,64.567
BME_RS04230,SMc01024,7.46e-26,93.6,64.486,9.51e-33,110,62.931
BME_RS04240,SMc01025,0,972,86.9,0,971,86.9
BME_RS04245,SMc01027,1.26e-142,399,78.929,3.14e-145,405,78.929
BME_RS04250,SMc01028,0,712,82.979,0,712,82.979
BME_RS04260,SMc01029,1.8e-25,89.4,48.864,7.75e-26,89.4,48.864
BME_RS04265,SMc01030,0,568,82.235,0,569,82.235
BME_RS04270,SMc01031,0,770,83.878,0,770,83.878
BME_RS04275,SMc01032,0,598,71.366,0,615,72.247
BME_RS04280,SMc01035,0,843,85.421,0,843,85.421
BME_RS04290,SMc01037,0,548,80.312,0,548,80.312
BME_RS04295,SMc01038,1.34e-77,224,73.154,6.65e-78,224,73.154
BME_RS04300,SMc01698,9.76e-42,140,40.93,5.03e-42,140,40.93
BME_RS04305,SMc01039,2.07e-56,172,61.783,1.05e-56,172,61.783
BME_RS04310,SMc01040,5.98e-160,456,62.051,2.94e-160,456,62.051
BME_RS04315,SMc01041,9.29e-136,387,61.491,3.47e-136,387,61.491
BME_RS04320,SMc01042,0,542,71.154,0,542,71.154
BME_RS04325,SMc01043,0,783,78.099,0,783,78.099
BME_RS04330,SMc01044,0,806,55.842,0,806,55.842
BME_RS04335,SMc01045,0,754,80.176,0,754,80.176
BME_RS04340,SMc01046,0,630,64.629,0,630,64.629
BME_RS04350,SMc01048,1.52e-52,155,93.59,7.89e-53,155,93.59
BME_RS04355,SMc01049,0,530,64.877,0,518,64.877
BME_RS04360,SMc01903,9.25e-123,343,78.218,4.65e-123,343,78.218
BME_RS04365,SMc01904,0,781,88.471,0,781,88.471
BME_RS04370,SMc01905,0,1371,84.111,0,1351,84.111
BME_RS04375,SMc01906,5.57e-42,130,73.333,2.78e-42,130,73.333
BME_RS04380,SMc01235,0,1669,84.497,0,1673,84.497
BME_RS04385,SMc01233,2.21e-67,200,60.92,9.12e-67,198,62.644
BME_RS04390,SM_b20758,4.41e-68,208,47.699,2.15e-68,208,47.699
BME_RS04395,SM_b21170,7.6e-41,134,42.697,3.9e-41,134,42.697
BME_RS04400,SMc01232,8.32e-89,258,64.179,4.2e-89,258,64.179
BME_RS04405,SMc01231,0,1509,81.687,0,1503,81.951
BME_RS04415,SMc01209,1.56e-76,223,68.098,7.81e-77,223,68.098
BME_RS04420,SMc01700,2.65e-75,222,64.881,1.26e-75,222,64.881
BME_RS04425,SMc01208,5.08e-97,275,76.22,2.58e-97,275,76.22
BME_RS04430,SMc01207,0,544,76.389,0,544,76.389
BME_RS04435,SMc01206,0,634,79.2,0,634,79.2
BME_RS04440,SMc01522,8.8e-12,58.5,33.621,4.4e-12,58.5,33.621
BME_RS04455,SMc03968,9.77e-130,371,57.944,4.97e-130,371,57.944
BME_RS04465,SM_b21181,0,675,81.378,0,675,81.378
BME_RS04470,SM_b21182,0,522,65.796,0,522,65.796
BME_RS04490,SMc02287,8.89e-42,137,44.565,4.03e-42,137,44.565
BME_RS04505,SMc02297,1.82e-15,75.5,25.954,1.27e-15,75.5,25.954
BME_RS04510,SMc01380,2.34e-13,53.5,100,1.18e-13,53.5,100
BME_RS04520,SMc01003,5.8e-121,348,64.388,1.02e-128,367,64.388
BME_RS04525,SMc01004,1.53e-67,199,69.403,8.32e-68,199,69.403
BME_RS04530,SMc01005,3.43e-92,266,73.118,1.78e-102,291,73.118
BME_RS04535,SMc01006,2.7e-66,196,67.123,4.92e-70,204,67.123
BME_RS04540,SMc01007,1.75e-50,154,73.196,8.9e-51,154,73.196
BME_RS04555,SMc01010,0,1139,81.003,0,1124,81.003
BME_RS04560,SMc01011,3.16e-100,296,56.42,5.54e-101,297,48.795
BME_RS04565,SMc01012,1.73e-15,68.9,46.97,8.34e-16,68.9,46.97
BME_RS04570,SMc01013,7.53e-77,227,57.071,3.75e-77,227,57.071
BME_RS04575,SMc01051,1.41e-116,333,61.111,7.22e-117,333,61.111
BME_RS04585,SMc04030,3.33e-144,407,63.81,4.92e-134,381,63.81
BME_RS04590,SMc00134,4.97e-100,291,59.259,4.37e-108,311,59.259
BME_RS04625,SMa2301,2.84e-32,120,42.162,2.31e-32,120,42.162
BME_RS04630,SMc01171,6.08e-50,157,45.562,3.32e-50,157,45.562
BME_RS04635,SMc01172,1.68e-139,392,64.286,8.59e-140,392,64.286
BME_RS04640,SMc01173,8.27e-126,354,71.193,4.21e-126,354,71.193
BME_RS04645,SMc01174,0,541,75.66,0,541,75.66
BME_RS04650,SM_b20880,2.42e-121,363,45.067,3.45e-121,362,45.794
BME_RS04655,SMc00936,0,515,64.407,0,518,64.407
BME_RS04665,SMc00943,4.14e-92,265,64.467,2.09e-92,265,64.467
BME_RS04670,SMc00944,1.09e-115,329,66.387,5.52e-116,329,66.387
BME_RS04675,SMa1149,1.62e-29,110,34.091,9.64e-30,110,34.091
BME_RS04680,SMc00945,1.25e-74,218,75.556,6.32e-75,218,75.556
BME_RS04685,SMc00828,8.67e-32,109,47.328,4.54e-32,109,47.328
BME_RS04690,SMc01237,0,2094,81.324,0,2126,81.245
BME_RS04700,SMc01849,0,523,59.111,0,523,59.111
BME_RS04705,SM_b20319,1.83e-178,500,64,0,509,64.25
BME_RS04715,SMc00470,1.72e-14,71.2,48.958,7.07e-25,100,46.602
BME_RS04720,SMc00469,1.38e-77,224,81.295,7.4e-78,224,81.295
BME_RS04725,SMc00468,7.89e-25,92,36.364,4.27e-25,92,36.364
BME_RS04730,SMc00467,0,641,63.838,0,644,64.444
BME_RS04735,SMc00466,9.53e-113,330,53.372,3.21e-110,323,53.372
BME_RS04740,SMc00548,1.17e-66,199,62.658,4.45e-68,202,59.412
BME_RS04745,SMc00465,8.05e-64,192,56.897,4e-64,192,56.897
BME_RS04750,SMc00463,5.74e-55,165,69.298,3e-55,165,69.298
BME_RS04755,SMc00462,3.77e-114,327,63.603,6.43e-117,334,63.603
BME_RS04760,SMc00194,2.46e-53,168,45.251,1.49e-53,167,45
BME_RS04775,SMc00192,4.54e-53,159,69.811,2.27e-53,159,69.811
BME_RS04785,SMc00190,8.63e-103,362,30.244,6.66e-106,372,30.418
BME_RS04790,SMc00177,2.93e-51,162,45.596,1.44e-51,162,45.596
BME_RS04795,SMc00176,2e-64,208,41.391,1.4e-64,208,41.391
BME_RS04800,SMc00175,7.27e-129,364,75.203,9.75e-130,366,75.203
BME_RS04805,SMc00174,2.56e-130,377,57.143,1.79e-136,392,57.143
BME_RS04810,SMc00459,1.98e-142,403,63.303,1e-142,403,63.303
BME_RS04815,SMc00169,0,1162,79.494,0,1171,79.627
BME_RS04830,SMc00161,0,882,77.818,0,882,77.818
BME_RS04840,SMc00155,0,764,80.178,0,741,79.039
BME_RS04845,SMc00154,0,661,69.978,0,672,69.978
BME_RS04850,SMc00153,2.48e-47,150,52.349,1.46e-47,150,52.349
BME_RS04855,SMc00152,1.01e-101,292,67.826,5.09e-102,292,67.826
BME_RS04860,SMc00151,2.79e-67,204,46.364,1.58e-70,212,48.341
BME_RS04870,SMc00946,1.84e-134,395,49.278,8.02e-139,406,50.206
BME_RS04875,SMc00947,1.28e-69,201,89.286,6.48e-70,201,89.286
BME_RS04880,SMc00948,0,891,88.913,0,891,88.913
BME_RS04885,SMc01277,5.36e-98,285,56.107,5.84e-103,297,56.107
BME_RS04890,SMc01276,6.75e-70,210,52.358,3.49e-70,210,52.358
BME_RS04895,SM_b20716,2.29e-08,51.6,23.451,1.12e-08,51.6,23.451
BME_RS04900,SMc01275,0,529,76.829,0,529,76.829
BME_RS04905,SMc03900,0,727,60.377,0,728,60.377
BME_RS04910,SMc01194,8.95e-114,326,57.576,4.63e-114,326,57.576
BME_RS04915,SMc01193,2.52e-135,379,70.155,1.25e-135,379,70.155
BME_RS04920,SMc01192,0,767,71.739,0,767,71.739
BME_RS04925,SMc01190,3.17e-95,285,45.758,1.83e-91,274,45.161
BME_RS04930,SMc01189,4.74e-87,254,57.143,2.62e-87,254,57.143
